id,Remarks,cnKey,value
FASHION_EXPIRE_LABEL,,,到期
Gamble_Buy_Success_Template,,,"成功购买{0}经验丹{1},赠送:"
Gamble_PRIMARY,,,低级
Gamble_MIDDLE,,,中级
Gamble_ADVANCED,,,高级
Gamble_Unit_Name,,,个
Fashion_Empty_Tip,,,还没时装呢！赶紧去购买吧！
Fashion_TryOn_Pet,,,展示
Fashion_TryOn_Other,,,试穿
Fashion_Wear_Pet,,,跟随
Fashion_Wear_Other,,,穿戴
Fashion_TakeOff_Pet,,,收回
Fashion_TakeOff_Other,,,卸下
Fashion_Renew_Str,,,续费
Fashion_Buy_Str,,,购买
Fashion_Buy_Title,,,时装购买
Fashion_Renew_Title,,,时装续费
Confirm_Btn_Normal,,,确定
Fashion_BuyWear_Confirm,,,购买并穿戴
Fashion_BuyRelease_Confirm,,,购买并释放
Gfight_BidRule,,,"1、没有竞标成功帮派的成员，都可参与压标玩法。
2、压标货币类型、数量、倍率为系统设定，无法更改
3、只能对1个帮派进行压标
4、被压标的帮派赢得了帮派战胜利，则压标该帮派的所有玩家获得相应奖励，奖励由系统发送
5、被压标帮派的成员，帮战胜利后获得系统设定的奖励，奖励由系统发送
6、压标失败，则货币被系统回收。
7、压标时间：
炼狱祭坛：每周二20:00-每周三20:00
流沙泉眼：每周四20:00-每周五20:00
上古遗迹：每周六20:00-每周日20:00"
Gfight_Rule,,,"1、3级以上帮派，可以由帮主或副帮主通过消耗帮派战令牌竞标。竞标价前4帮派入选帮派据点战斗。一个帮派同时只能竞标一个据点。帮派占领据点后，一定时间内容不可竞标其他据点。
2、竞标结束进入备战阶段，玩家在规定时间内设置帮派防守阵容。每个玩家最多可设置5支防守队伍。
3、备战结束后进入开战阶段，4个参战帮派互相攻打。帮派防守阵容为0时失败。最终剩余防守阵容最多的帮派获得胜利。如果出现多个帮派剩余防守阵容数目一样，则以“帮派所有成员击溃的队伍总数”为准，该数最多者算胜利方。如果帮派所有成员击溃队伍总数还是一样，则以“所有帮派成员中击溃队伍的最后一场战斗结束的时间”越早的算胜利方。
4、战斗胜利的帮派可以占领据点7填。根据据点的不同，每日可收到据点对应的英雄碎片。"
Gfight_LineupRule,,,"上阵规则
1、备战阶段时，参战帮派成员在规定时间内设置帮派防守阵容。每个玩家最多可设置5支防守队伍。
2、主角可以同时在多个队伍上阵，英雄只能在1支队伍上阵
3、开战阶段时，无法调整防守阵容"
GroupCopyRule,,,"
帮派副本
1，帮派副本根据帮派等级开启。
2，每个帮派副本的开启都需要消耗一定的帮派物资。
3，帮主可选择重置帮派副本每次消耗一定的帮派物资。
4，帮派成员可以轮流挑战同一副本，怪物血量不回复。
5，每个帮派成员每天可以进入每个帮派副本挑战2次，最多可以攻克一个关卡。
6，为了不影响其他公会成员的体验，每次选英雄不能超过1分钟，战斗时间不能超过3分钟。
7，每天凌晨5点至8点时怪物们的休息时间，期间无法进行帮派副本战斗。
8，每天挑战两次帮派副本后可通关日常获得一定的个人贡献，个人贡献可在帮派商店进行购物。
9，当每次帮派副本章节通关时，全体帮派成员都可以获得一定的个人贡献。如果重置副本后的七天内通关，全体帮派成员可以获得更多的贡献奖励。
10，帮派副本将记录每个帮派成员打出的单场战斗最高伤害，排名靠前的成员可以在副本通关时获得贡献奖励。
11，完成每个关卡最后一击的成员可以获得一定贡献奖励。
12，每场帮派副本的战斗结束时，挑战者会根据单次战斗的输出伤害，得到一定金币奖励。
13，帮派副本会掉落特殊战利品，帮派成员可以申请获得这些战利品。
14，每天每隔1小时，系统会按照队列顺序自动分配所有未分配战利品。
15，在战利品掉落后才加入帮派的成员无法获得这件战利品，系统自动在自动分配时会暂时跳过队列中加入帮派过晚的玩家。
16，每位玩家同时只能申请一件战利品，取消申请或者申请其他战利品都将离开原队列，原排名不保留。
17，帮主每天可以手动分配一件战利品。通过任何方式获得战利品的玩家，都将自动离开这件战利品的申请队列。
18，在某个申请队列中不处于在首位的玩家可以支付一定帮派贡献插队至首位，被插队的玩家将获得一定帮派贡献的补偿。"
GambleLeftGuarantee,,,再买[FFBB00]{0}[-]个后必送{1}
GambleBuyGuarantee,,,本次必送{0}
GambleCoinPreviewTitle,,,低级经验丹购买——英雄奖励预览
GambleGoldPreviewTitle,,,中级经验丹购买——英雄奖励预览
FashionEnableEffect,,,收集{0}件服饰(已激活)
FashionDisableEffect,,,收集{0}件服饰(未激活)
TeamBattleRule,,,"1.组队战每天5点重置，重置时刷新可挑战的英雄列表，解散所有玩家的队伍
2.每天每个玩家可选择满足要求的多个英雄进行挑战
3.点击挑战后直接进入战斗
4.战斗采取车轮战的模式，直至一方全部战败
5.挑战失败不做记录，视为还未进行挑战
6.仅队长有权限进行邀请、踢出等操作
7.队伍仅在满员后才可以进行挑战
8.挑战成功后，自己的英雄阵容依旧会保留在队伍中，以供同队其他玩家使用
9.玩家进入队伍后若未成功挑战，可随时退出组队
10.自己完成战斗后，每有1名其他队友完成战斗，可获得额外奖励，奖励通过邮件发放"
TeamBattleMail,,,自己完成战斗后，每有1名其他队友完成战斗，可额外获得{0}奖励（邮件发放）
TeamBattleScore,,,完成当前战斗可获得{0}驱魔币
TeamBattleOpenBuyTips,,,{0}开启购买心魔录功能，充值可提升贵族等级
TeamBattleBuyTips,,,今日心魔录购买次数已用完，将贵族等级提升到6级、12级可各增加1次购买次数
TeamBattleTips,,,今日心魔录购买次数已用完，大神，您已经无法再增加购买次数
GroupCopyOpenTips,,GroupCopyOpenTips,帮主、副帮主可开启
GroupCopyNoPriceItemTips,,GroupCopyNoPriceItemTips,没有可分配的战利品
PeakArenaNotOpenTip,,PeakArenaNotOpenTip,每天{0}~{1}期间无法进行巅峰竞技场对战
DecomposeMagicTip,,DecomposeMagicTip,该法宝经过强化，是否分解？
DecomposeQualityTip,,DecomposeQualityTip,是否分解{0}[-]品质道具？
FixEquipLvLimit1,,,16级解锁护符强化
FixEquipLvLimit2,,,36级解锁魂器强化
FunctionCloseTips,,,此功能正在维护中，稍后开放
FrshFinalRewardTips,,,您的进度不足以领取奖励哦。
FrshDesc,,,1.最终奖励根据完成进度领取_2.完成每一项开放活动内容进度+1_3.终极奖励的内容领取时间为开服活动结束后。
RandomBossBornTips,,RandomBossBornTips,魔神出现了，快来帮我讨伐吧！
RandomBossButton,,RandomBossButton,前往讨伐
RandomBossTimeOut,,RandomBossTimeOut,邀请已过期，不能前往讨伐。
RandomBossAccepted,,RandomBossAccepted,邀请已经接受过啦，无需重复接受~
RandomBossExcape,,RandomBossExcape,BOSS已经逃走了！
RandomBossInBattle,,RandomBossInBattle,魔神正在被讨伐，请稍后…
RandomBossTotalFightMax,,RandomBossTotalFightMax,今天已经参与了{0}次讨伐，不能再继续啦！
BossFightMax,,BossFightMax,你讨伐此魔神已达{0}次，不能再继续啦！
BossWasKilled,,BossWasKilled,魔神已经被击杀
RandomBossRule,,RandomBossRule,"
[ff7200]魔神讨伐规则[-]

[2f2f2f]1.通关与扫荡各关卡，即有几率触发魔神讨伐事件。[-]

[2f2f2f]2.讨伐魔神，可以获得丰厚奖励。[-]

[2f2f2f]3.魔神讨伐可以邀请好友与帮派成员前来帮忙，同时也可以受邀参与讨伐其他人的魔神。[-]

[2f2f2f]4.因为精力有限，每天的奖励次数也有限制，要记得查看界面上的剩余次数。[-]

[2f2f2f]5.若在规定时间内没有成功讨伐，魔神会逃走。[-]

[ff7200]魔神讨伐奖励[-]

[2f2f2f]1.只要参与讨伐战斗，即可获得奖励！[-]

[2f2f2f]2.魔神的发现者与魔神的最后击杀者会获得额外的奖励！[-]
"
FightUpNoNextTitle,,FightUpNoNextTitle,已晋级到最高等级称号
NotOpenAtLevelAtCopy,,NotOpenAtLevelAtCopy,主角 {0} 级并且通关“{2}-{3} {4}” {1} 开启
NotOpenAtLevel,,,主角 {0} 级 {1} 开启
FightingNeedMaterial,,,所需晋级材料{0}个
RB_BOSS_NOT_FOUND,,RB_BOSS_NOT_FOUND,还没发现魔神，可通过好友邀请或打战役发现魔神
FightingNeedMaterialLess,,FightingNeedMaterialLess,晋级材料不足
FightingNeedFightLess,,FightingNeedFightLess,战力未达到晋级要求
WorldBossKilledTisp,,WorldBossKilledTisp,世界boss出现{0}后被击败，由{1}进行了最后一击
WBossRuleKey,,WBossRuleKey,"
[ff7200]除魔征战规则[-]

[2f2f2f]1.魔神会在每天12:00、19:00、22:00出现，越接近深夜，魔神的力量就越强[-]

[2f2f2f]2.与魔神进行战斗后，会根据造成的伤害量，换算成金币奖励！[-]

[2f2f2f]3.魔神被击杀后，可以获得丰厚的奖励。[-]

[2f2f2f]4.活动结束后，对所有参与过战斗的玩家，按照排行榜发放奖励。另外，对魔神进行最后一击的玩家有丰厚的额外奖励[-]

[2f2f2f]5.如果魔神连续数次被过快击杀，魔神就会变得更强[-]

[2f2f2f]6.如果魔神连续数次没有被击杀，魔神会因为轻敌而降低自身的战斗力[-]

[2f2f2f]7.每次挑战魔神都可以进行一定次数的鼓舞，鼓舞可增加攻击力，鼓舞的攻击力加成在下次魔神出现时清空[-]

[2f2f2f]8.被魔神打败后，需要一定时间才能复活再挑战。花费钻石可以马上复活，复活的花费会随着次数叠加[-]

[2f2f2f]9.贵族5以上的玩家可以使用自动参战，在线自动参与除魔征战[-]"
AttachChooseMaterial,,AttachChooseMaterial,请选择附灵材料
AttachReachMaxLv,,AttachReachMaxLv,附灵已到达最高等级
AttachHeroLvLimit,,AttachHeroLvLimit,附灵等级不能超过英雄等级
AttachNotOpen,,AttachNotOpen,该灵蕴点未解锁
AttachNotStone,,AttachNotStone,灵石不足，可通过[ff0000]巅峰竞技场[-]获得
AttachUnlock1,,AttachUnlock1,{0}解锁条件{1}: 英雄等级{2}级[-]
AttachUnlock2,,AttachUnlock2,{0}解锁条件{1}: 英雄进阶至{2}[-]
AttachUnlock3,,AttachUnlock3,{0}解锁条件{1}: {2}达到{3}级[-]
AttachSecondSure,,AttachSecondSure,确定要进行附灵吗？
AttachAllStone,,AttachAllStone,已添加所有灵石
AttachNoMaterial,,AttachNoMaterial,当前没有附灵材料，可前往巅峰竞技场获得。
WBConfirmReAlive,,WBConfirmReAlive,"立即复活需要花费{0}钻石
是否继续？(已复活{1}次)"
RB_ParticipationAward,,RB_ParticipationAward,[FF7200]魔神掉落[-]
RB_DiscoveryPackage,,RB_DiscoveryPackage,[FF7200]发现者礼包[-]
RB_FianlBlow,,RB_FianlBlow,[2F2F2F]完成[-][FF7200]最后一击[-][2F2F2F]奖励[-]
LevelNotEnoughUse,,LevelNotEnoughUse,您的等级还无法使用此道具哦
WorldBossKilledTips,,WorldBossKilledTips,"魔神在[ff7200]{0}[-]后[ff7200]被击杀[-]
由[ff7200]{1}[-]完成[ff7200]最后一击[-]"
WorldBossLeaveTips,,WorldBossLeaveTips,"魔神在[ff7200]{0}[-][ff7200]逃跑[-]
魔神[ff7200]下次击杀奖励增加[-]"
CHARGE_CLOSE_TIPS,,CHARGE_CLOSE_TIPS,充值功能暂未开放哦
TipsNoSkillNeedToUpgrade,,TipsNoSkillNeedToUpgrade,暂时没有需要升级技能的英雄
LevelNotEnoughCompose,,LevelNotEnoughCompose,合成所需主角等级不足
ActivityVitalityRewardTips,,ActivityVitalityRewardTips,活跃度达到 [00ff00]{0}[-] 可领取
CommonSoul_Limit,,CommonSoul_Limit,每次最多只能转化{0}个英雄魂石
CommonSoul_Max,,CommonSoul_Max,万能魂石数量不足
CommonSoul_Zero,,CommonSoul_Zero,请选择转化数量
CommonSoul_Use,,CommonSoul_Use,该物品无法直接使用，请点击英雄魂石获取进行转化
DiscountRefreshTips,,DiscountRefreshTips,每天凌晨5点刷新折扣商品
DiscountNotRefreshTips,,DiscountNotRefreshTips,欢迎大家前来购物
GCompFlush,,GCompFlush,榜单实时刷新，海选结束后不再变化
ActiMonthCardRule,,ActiMonthCardRule,月卡规则:_{0}__普通月卡特权:_{1}__至尊月卡特权:_{2}
