id,Remarks,isWindow,windowName,topBar,slideMenu
UITowerPanel,,1,UITowerPanel,,
UIArena,,1,UIArena,,
UIPeakArena,,1,UIPeakArena,,
UIUnendingWar,,1,UIUnendingWar,1,1
UIUnendingWarTips,,1,UIUnendingWarTips,,
UITask,,1,UITask,1,1
UIGetReward,,1,UIGetReward,,
UIDailyActivity,,1,UIDailyActivity,1,1
UIStore,,1,UIStore,1,
UIUpgrade,,1,UIUpgrade,,
UICareerAdvance,,1,UICareerAdvance,,
UIOnekeyEnhance,,1,UIOnekeyEnhance,,
UIVip,,1,UIVip,1,
UIGuideHand,,,UIGuideHand,1,1
UIGuideBubble,,,UIGuideBubble,1,1
UIGuideMM,,,UIGuideMM,1,1
UIMainSlideMenu,,,UIMainSlideMenu,,
UIFloatTips,,,UIFloatTips,,
UILoadLevelWin,,,UILoadLevelWin,,
UIMsgBox,,,UIMsgBox,,
UIMsgTips,,,UIMsgTips,,
UIShowText,,,UIShowText,,
UIWaiting,,,UIWaiting,,
UICreateRole,,,UICreateRole,,
UILoadGame,,,UILoadGame,,
UILoginAndRegist,,,UILoginAndRegist,,
UILoginBackGound,,,UILoginBackGound,,
UISelectServer,,,UISelectServer,,
UIStoryIntro,,,UIStoryIntro,,
UIUpdate,,,UIUpdate,,
UIArenaEnemyInfo,,,UIArenaEnemyInfo,,
UIArenaRecord,,,UIArenaRecord,,
UIArenaRules,,,UIArenaRules,,
UIChat,,,UIChat,,
UIChooseHeadBoxWin,,,UIChooseHeadBoxWin,,
UIChooseHeadWin,,,UIChooseHeadWin,,
UIClientSettingWin,,,UIClientSettingWin,,
UIExchangeCodeWin,,,UIExchangeCodeWin,,
UIRenameWin,,,UIRenameWin,,
UISystemSettingWin,,,UISystemSettingWin,,
UIMapGiftWin,,,UIMapGiftWin,,
UIItemTips,,,UIItemTips,,
UIApplyList,,,UIApplyList,,
UIButtonShow,,,UIButtonShow,,
UIGulidActivity,,,UIGulidActivity,,
UIGulidContribute,,,UIGulidContribute,,
UIGulidEmail,,,UIGulidEmail,,
UIGulidIconList,,,UIGulidIconList,,
UIGulidLog,,,UIGulidLog,,
UIGulidUpdataDes,,,UIGulidUpdataDes,,
UIGulidUpdataSet,,,UIGulidUpdataSet,,
UIMemberButton2,,,UIMemberButton2,,
UIMemberButtonShow,,,UIMemberButtonShow,,
UIMemberMgr,,,UIMemberMgr,,
UIMyGulidInfo,,,UIMyGulidInfo,,
UIOtherGuildList,,,UIOtherGuildList,,
UIOpenLevelUnlock,,,UIOpenLevelUnlock,,
UIPeakArenaEnemyInfo,,,UIPeakArenaEnemyInfo,,
UIPeakArenaEnemys,,,UIPeakArenaEnemys,,
UIPeakArenaRecord,,,UIPeakArenaRecord,,
UIPeakArenaRule,,,UIPeakArenaRule,,
UIPlotPopupSay,,,UIPlotPopupSay,,
UIPlotSkip,,,UIPlotSkip,,
UIOtherRoleInfo,,,UIOtherRoleInfo,,
UIRankingDetailInfo,,,UIRankingDetailInfo,,
UIMagicQuickFroge,,,UIMagicQuickFroge,,
UIMagicTips,,,UIMagicTips,,
UIMagicWeaponInlay,,,UIMagicWeaponInlay,,
UISign,,,UISign,,
UISignGainItem,,,UISignGainItem,,
UISignTips,,,UISignTips,,
UIStoreDetial,,,UIStoreDetial,,
UIIntroducePanel,,,UIIntroducePanel,,
UITowerGiftPanel,,,UITowerGiftPanel,,
UIEquipAttachChooseRole,,,UIEquipAttachChooseRole,,
UIRoleAdvanceMateBack,,,UIRoleAdvanceMateBack,,
UIHeroScenePanel,,,UIHeroScenePanel,,
UIMainBack,,,UIMainBack,,
UIMainHead,,,UIMainHead,,
UIMainIcon,,,UIMainIcon,,
UIMainMask,,,UIMainMask,,
UIMainTopBar,,,UIMainTopBar,,
UIVipUpgrade,,1,UIVipUpgrade,,
UIWorship,,1,UIWorship,,
UIWorshipIntro,,1,UIWorshipIntro,,
UIWorshippersList,,1,UIWorshippersList,,
UITest,,1,UITest,,
UIPVETrial2,,1,UIPVETrial2,,
RoleLogic,,1,RoleLogic,1,1
UIFashion,,1,UIFashion,1,1
