Key,Remarks,cfgId,activityType,typeDesc,tabType,startTime,endTime,condition,reward,activityDesc,gotoEnum,maxValue,startTimeType,activityCode
3007,,3007,5,英雄收集,1,1,6,10,1:20000;803001:25,收集10个英雄,UIGamble,10,2,128
3008,,3008,5,英雄收集,1,1,6,11,1:22500;803001:25,收集11个英雄,UIGamble,11,2,129
3009,,3009,5,英雄收集,1,1,6,12,1:25000;803001:25,收集12个英雄,UIGamble,12,2,130
4001,,4001,3,英雄进阶,1,1,6,4:1,1:1000,4个英雄进阶到绿色,RoleList,4,2,131
4002,,4002,3,英雄进阶,1,1,6,4:2,1:2000,4个英雄进阶到绿色+1,RoleList,4,2,133
4003,,4003,3,英雄进阶,1,1,6,4:3,1:3000,4个英雄进阶到绿色+2,RoleList,4,2,135
4004,,4004,3,英雄进阶,1,1,6,4:4,1:4000,4个英雄进阶到蓝色,RoleList,4,2,138
4005,,4005,3,英雄进阶,1,1,6,4:5,1:5000,4个英雄进阶到蓝色+1,RoleList,4,2,140
4006,,4006,3,英雄进阶,1,1,6,4:6,1:6000,4个英雄进阶到蓝色+2,RoleList,4,2,139
4007,,4007,3,英雄进阶,1,1,6,4:7,1:7000,4个英雄进阶到蓝色+3,RoleList,4,2,136
4008,,4008,3,英雄进阶,1,1,6,1:8,1:8000,1个英雄进阶紫色,RoleList,1,2,137
4009,,4009,3,英雄进阶,1,1,6,2:8,1:9000,2个英雄进阶紫色,RoleList,2,2,141
4010,,4010,3,英雄进阶,1,1,6,3:8,1:10000,3个英雄进阶紫色,RoleList,3,2,132
4011,,4011,3,英雄进阶,1,1,6,4:8,1:20000,4个英雄进阶紫色,RoleList,4,2,134
5001,,5001,4,英雄升星,1,1,6,3:2,1:800;2:10,获得3个2星英雄,UIGamble,3,2,142
5002,,5002,4,英雄升星,1,1,6,2:3,1:800;2:15,获得2个3星英雄,UIGamble,2,2,143
5003,,5003,4,英雄升星,1,1,6,3:3,1:800;2:15,获得3个3星英雄,UIGamble,3,2,144
5004,,5004,4,英雄升星,1,1,6,4:3,1:800;2:15,获得4个3星英雄,UIGamble,4,2,145
5005,,5005,4,英雄升星,1,1,6,1:4,1:800;2:50,获得1个4星英雄,UIGamble,1,2,146
5006,,5006,4,英雄升星,1,1,6,2:4,1:800;2:100,获得2个4星英雄,UIGamble,2,2,147
5007,,5007,4,英雄升星,1,1,6,3:4,1:800;2:150,获得3个4星英雄,UIGamble,3,2,148
6001,,6001,6,论道排名,2,2,5,1000,1:800;2:50,论道场进入1000名以内,CareerArena,,2,149
6002,,6002,6,论道排名,2,2,5,700,1:800;2:60,论道场进入700名以内,CareerArena,,2,150
6003,,6003,6,论道排名,2,2,5,500,1:800;2:70,论道场进入500名以内,CareerArena,,2,151
6004,,6004,6,论道排名,2,2,5,300,1:800;2:80,论道场进入300名以内,CareerArena,,2,152
6005,,6005,6,论道排名,2,2,5,200,1:800;2:90,论道场进入200名以内,CareerArena,,2,153
6006,,6006,6,论道排名,2,2,5,100,1:800;2:100,论道场进入100名以内,CareerArena,,2,154
7001,,7001,12,血战八方,2,2,5,5,1:1000;2:10,论道场挑战对手5次,CareerArena,5,2,155
7002,,7002,12,血战八方,2,2,5,10,1:1500;2:10,论道场挑战对手10次,CareerArena,10,2,156
7003,,7003,12,血战八方,2,2,5,15,1:2000;2:20,论道场挑战对手15次,CareerArena,15,2,157
7004,,7004,12,血战八方,2,2,5,20,1:2500;2:20,论道场挑战对手20次,CareerArena,20,2,158
7005,,7005,12,血战八方,2,2,5,25,1:3000;2:40,论道场挑战对手25次,CareerArena,25,2,159
7006,,7006,12,血战八方,2,2,5,30,1:5000;2:40,论道场挑战对手30次,CareerArena,30,2,160
8001,,8001,7,法宝强化,3,3,4,5,1:500;801001:10,法宝强化到5级,UIMagicWeapon,5,2,161
8002,,8002,7,法宝强化,3,3,4,10,1:800;801001:10,法宝强化到10级,UIMagicWeapon,10,2,162
8003,,8003,7,法宝强化,3,3,4,15,1:1000;801001:10,法宝强化到15级,UIMagicWeapon,15,2,163
8004,,8004,7,法宝强化,3,3,4,20,1:1200;801001:10,法宝强化到20级,UIMagicWeapon,20,2,164
8005,,8005,7,法宝强化,3,3,4,25,1:1500;801001:10,法宝强化到25级,UIMagicWeapon,25,2,165
8006,,8006,7,法宝强化,3,3,4,30,1:2000;801001:10,法宝强化到30级,UIMagicWeapon,30,2,166
8007,,8007,7,法宝强化,3,3,4,34,1:2000;801001:10,法宝强化到34级,UIMagicWeapon,34,2,167
8008,,8008,7,法宝强化,3,3,4,38,1:2000;801001:10,法宝强化到38级,UIMagicWeapon,38,2,168
8009,,8009,7,法宝强化,3,3,4,42,1:2000;801001:10,法宝强化到42级,UIMagicWeapon,42,2,169
9001,,9001,13,法宝收集,3,3,4,1,1:800;2:50,收集1个法宝,UIMagicWeapon,1,2,170
9002,,9002,13,法宝收集,3,3,4,2,1:800;2:150,收集2个法宝,UIMagicWeapon,2,2,171
9003,,9003,13,法宝收集,3,3,4,3,1:800;2:300,收集3个法宝,UIMagicWeapon,3,2,172
9004,,9004,13,法宝收集,3,3,4,4,1:800;2:400,收集4个法宝,UIMagicWeapon,4,2,173
9005,,9005,13,法宝收集,3,3,4,5,1:800;2:500,收集5个法宝,UIMagicWeapon,5,2,174
10001,,10001,8,宝石收集,4,4,3,1:3:3,1:800;2:10,收集3颗3级宝石,BattleTowerMainView,3,2,175
10002,,10002,8,宝石收集,4,4,3,1:4:4,1:800;2:20,收集4颗4级宝石,BattleTowerMainView,4,2,176
10003,,10003,8,宝石收集,4,4,3,1:5:5,1:800;2:30,收集5颗5级宝石,BattleTowerMainView,5,2,177
10004,,10004,8,宝石收集,4,4,3,1:6:6,1:800;2:40,收集6颗6级宝石,BattleTowerMainView,6,2,178
10005,,10005,8,宝石收集,4,4,3,1:7:6,1:800;2:50,收集6颗7级宝石,BattleTowerMainView,6,2,179
10006,,10006,8,宝石收集,4,4,3,1:7:9,1:800;2:60,收集9颗7级宝石,BattleTowerMainView,9,2,180
11001,,11001,9,宝石种类,4,4,3,2:3,1:800;2:10,收集3种宝石,BattleTowerMainView,3,2,181
11002,,11002,9,宝石种类,4,4,3,2:4,1:800;2:15,收集4种宝石,BattleTowerMainView,4,2,182
11003,,11003,9,宝石种类,4,4,3,2:5,1:800;2:20,收集5种宝石,BattleTowerMainView,5,2,183
11004,,11004,9,宝石种类,4,4,3,2:6,1:800;2:25,收集6种宝石,BattleTowerMainView,6,2,184
11005,,11005,9,宝石种类,4,4,3,2:7,1:800;2:30,收集7种宝石,BattleTowerMainView,7,2,185
11006,,11006,9,宝石种类,4,4,3,2:8,1:800;2:35,收集8种宝石,BattleTowerMainView,8,2,186
12001,,12001,10,封神台闯关,5,5,2,6,1:1000;2:10,通关封神台6层,BattleTowerMainView,6,2,187
12002,,12002,10,封神台闯关,5,5,2,9,1:1000;2:20,通关封神台9层,BattleTowerMainView,9,2,188
12003,,12003,10,封神台闯关,5,5,2,12,1:1000;2:30,通关封神台12层,BattleTowerMainView,12,2,189
12004,,12004,10,封神台闯关,5,5,2,15,1:1000;2:40,通关封神台15层,BattleTowerMainView,15,2,190
12005,,12005,10,封神台闯关,5,5,2,18,1:1000;2:50,通关封神台18层,BattleTowerMainView,18,2,191
12006,,12006,10,封神台闯关,5,5,2,21,1:1000;2:60,通关封神台21层,BattleTowerMainView,21,2,192
12007,,12007,10,封神台闯关,5,5,2,24,1:1000;2:70,通关封神台24层,BattleTowerMainView,24,2,193
12008,,12008,10,封神台闯关,5,5,2,27,1:1000;2:80,通关封神台27层,BattleTowerMainView,27,2,194
12009,,12009,10,封神台闯关,5,5,2,30,1:1000;2:90,通关封神台30层,BattleTowerMainView,30,2,195
13001,,13001,14,开启宝箱,5,5,2,10,1:1000;10:1,开启10次宝箱,BattleTowerMainView,10,2,196
13002,,13002,14,开启宝箱,5,5,2,15,1:1000;10:1,开启15次宝箱,BattleTowerMainView,15,2,197
13003,,13003,14,开启宝箱,5,5,2,20,1:1000;10:1,开启20次宝箱,BattleTowerMainView,20,2,198
13004,,13004,14,开启宝箱,5,5,2,30,1:1000;11:1,开启30次宝箱,BattleTowerMainView,30,2,199
13005,,13005,14,开启宝箱,5,5,2,40,1:1000;11:1,开启40次宝箱,BattleTowerMainView,40,2,200
13006,,13006,14,开启宝箱,5,5,2,50,1:1000;11:1,开启50次宝箱,BattleTowerMainView,50,2,201
