Key,Remarks,id,aptitude,growUp
60301102_21,,60301102,21,暴击_2|
60301102_22,,60301102,22,暴击_2|
60301102_23,,60301102,23,暴击_2|
60301102_24,,60301102,24,暴击_2|
60301102_25,,60301102,25,暴击_2|
60301102_26,,60301102,26,暴击_2|
60301102_27,,60301102,27,暴击_3|
60301102_28,,60301102,28,暴击_3|
60301102_29,,60301102,29,暴击_3|
60301102_30,,60301102,30,暴击_3|
60301202_1,,60301202,1,暴击_1|
60301202_2,,60301202,2,暴击_1|
60301202_3,,60301202,3,暴击_1|
60301202_4,,60301202,4,暴击_1|
60301202_5,,60301202,5,暴击_1|
60301202_6,,60301202,6,暴击_1|
60301202_7,,60301202,7,暴击_1|
60301202_8,,60301202,8,暴击_1|
60301202_9,,60301202,9,暴击_1|
60301202_10,,60301202,10,暴击_1|
60301202_11,,60301202,11,暴击_1|
60301202_12,,60301202,12,暴击_1|
60301202_13,,60301202,13,暴击_1|
60301202_14,,60301202,14,暴击_1|
60301202_15,,60301202,15,暴击_1|
60301202_16,,60301202,16,暴击_1|
60301202_17,,60301202,17,暴击_2|
60301202_18,,60301202,18,暴击_2|
60301202_19,,60301202,19,暴击_2|
60301202_20,,60301202,20,暴击_2|
60301202_21,,60301202,21,暴击_2|
60301202_22,,60301202,22,暴击_2|
60301202_23,,60301202,23,暴击_2|
60301202_24,,60301202,24,暴击_2|
60301202_25,,60301202,25,暴击_2|
60301202_26,,60301202,26,暴击_2|
60301202_27,,60301202,27,暴击_3|
60301202_28,,60301202,28,暴击_3|
60301202_29,,60301202,29,暴击_3|
60301202_30,,60301202,30,暴击_3|
60302101_1,,60302101,1,物理攻击_1|
60302101_2,,60302101,2,物理攻击_2|
60302101_3,,60302101,3,物理攻击_3|
60302101_4,,60302101,4,物理攻击_4|
60302101_5,,60302101,5,物理攻击_5|
60302101_6,,60302101,6,物理攻击_6|
60302101_7,,60302101,7,物理攻击_7|
60302101_8,,60302101,8,物理攻击_8|
60302101_9,,60302101,9,物理攻击_9|
60302101_10,,60302101,10,物理攻击_10|
60302101_11,,60302101,11,物理攻击_11|
60302101_12,,60302101,12,物理攻击_12|
60302101_13,,60302101,13,物理攻击_13|
60302101_14,,60302101,14,物理攻击_14|
60302101_15,,60302101,15,物理攻击_15|
60302101_16,,60302101,16,物理攻击_16|
60302101_17,,60302101,17,物理攻击_17|
60302101_18,,60302101,18,物理攻击_18|
60302101_19,,60302101,19,物理攻击_19|
60302101_20,,60302101,20,物理攻击_20|
60302101_21,,60302101,21,物理攻击_21|
60302101_22,,60302101,22,物理攻击_22|
60302101_23,,60302101,23,物理攻击_23|
60302101_24,,60302101,24,物理攻击_24|
60302101_25,,60302101,25,物理攻击_25|
60302101_26,,60302101,26,物理攻击_26|
60302101_27,,60302101,27,物理攻击_27|
60302101_28,,60302101,28,物理攻击_28|
60302101_29,,60302101,29,物理攻击_29|
60302101_30,,60302101,30,物理攻击_30|
60302201_1,,60302201,1,物理攻击_1|
60302201_2,,60302201,2,物理攻击_2|
60302201_3,,60302201,3,物理攻击_3|
60302201_4,,60302201,4,物理攻击_4|
60302201_5,,60302201,5,物理攻击_5|
60302201_6,,60302201,6,物理攻击_6|
60302201_7,,60302201,7,物理攻击_7|
60302201_8,,60302201,8,物理攻击_8|
60302201_9,,60302201,9,物理攻击_9|
60302201_10,,60302201,10,物理攻击_10|
60302201_11,,60302201,11,物理攻击_11|
60302201_12,,60302201,12,物理攻击_12|
60302201_13,,60302201,13,物理攻击_13|
60302201_14,,60302201,14,物理攻击_14|
60302201_15,,60302201,15,物理攻击_15|
60302201_16,,60302201,16,物理攻击_16|
60302201_17,,60302201,17,物理攻击_17|
60302201_18,,60302201,18,物理攻击_18|
60302201_19,,60302201,19,物理攻击_19|
60302201_20,,60302201,20,物理攻击_20|
60302201_21,,60302201,21,物理攻击_21|
60302201_22,,60302201,22,物理攻击_22|
60302201_23,,60302201,23,物理攻击_23|
60302201_24,,60302201,24,物理攻击_24|
60302201_25,,60302201,25,物理攻击_25|
60302201_26,,60302201,26,物理攻击_26|
60302201_27,,60302201,27,物理攻击_27|
60302201_28,,60302201,28,物理攻击_28|
60302201_29,,60302201,29,物理攻击_29|
60302201_30,,60302201,30,物理攻击_30|
60302301_1,,60302301,1,物理攻击_1|
60302301_2,,60302301,2,物理攻击_2|
60302301_3,,60302301,3,物理攻击_3|
60302301_4,,60302301,4,物理攻击_4|
60302301_5,,60302301,5,物理攻击_5|
60302301_6,,60302301,6,物理攻击_6|
60302301_7,,60302301,7,物理攻击_7|
60302301_8,,60302301,8,物理攻击_8|
60302301_9,,60302301,9,物理攻击_9|
60302301_10,,60302301,10,物理攻击_10|
60302301_11,,60302301,11,物理攻击_11|
60302301_12,,60302301,12,物理攻击_12|
60302301_13,,60302301,13,物理攻击_13|
60302301_14,,60302301,14,物理攻击_14|
60302301_15,,60302301,15,物理攻击_15|
60302301_16,,60302301,16,物理攻击_16|
60302301_17,,60302301,17,物理攻击_17|
60302301_18,,60302301,18,物理攻击_18|
60302301_19,,60302301,19,物理攻击_19|
60302301_20,,60302301,20,物理攻击_20|
60302301_21,,60302301,21,物理攻击_21|
60302301_22,,60302301,22,物理攻击_22|
60302301_23,,60302301,23,物理攻击_23|
60302301_24,,60302301,24,物理攻击_24|
60302301_25,,60302301,25,物理攻击_25|
60302301_26,,60302301,26,物理攻击_26|
60302301_27,,60302301,27,物理攻击_27|
60302301_28,,60302301,28,物理攻击_28|
60302301_29,,60302301,29,物理攻击_29|
60302301_30,,60302301,30,物理攻击_30|
60302102_1,,60302102,1,暴击_1|
60302102_2,,60302102,2,暴击_1|
60302102_3,,60302102,3,暴击_1|
60302102_4,,60302102,4,暴击_1|
60302102_5,,60302102,5,暴击_1|
60302102_6,,60302102,6,暴击_1|
60302102_7,,60302102,7,暴击_1|
60302102_8,,60302102,8,暴击_1|
60302102_9,,60302102,9,暴击_1|
60302102_10,,60302102,10,暴击_1|
60302102_11,,60302102,11,暴击_1|
60302102_12,,60302102,12,暴击_1|
60302102_13,,60302102,13,暴击_1|
60302102_14,,60302102,14,暴击_1|
60302102_15,,60302102,15,暴击_1|
60302102_16,,60302102,16,暴击_1|
60302102_17,,60302102,17,暴击_2|
60302102_18,,60302102,18,暴击_2|
60302102_19,,60302102,19,暴击_2|
60302102_20,,60302102,20,暴击_2|
60302102_21,,60302102,21,暴击_2|
60302102_22,,60302102,22,暴击_2|
60302102_23,,60302102,23,暴击_2|
60302102_24,,60302102,24,暴击_2|
60302102_25,,60302102,25,暴击_2|
60302102_26,,60302102,26,暴击_2|
60302102_27,,60302102,27,暴击_3|
60302102_28,,60302102,28,暴击_3|
60302102_29,,60302102,29,暴击_3|
60302102_30,,60302102,30,暴击_3|
60302202_1,,60302202,1,暴击_1|
60302202_2,,60302202,2,暴击_1|
60302202_3,,60302202,3,暴击_1|
60302202_4,,60302202,4,暴击_1|
60302202_5,,60302202,5,暴击_1|
60302202_6,,60302202,6,暴击_1|
60302202_7,,60302202,7,暴击_1|
60302202_8,,60302202,8,暴击_1|
60302202_9,,60302202,9,暴击_1|
60302202_10,,60302202,10,暴击_1|
60302202_11,,60302202,11,暴击_1|
60302202_12,,60302202,12,暴击_1|
60302202_13,,60302202,13,暴击_1|
60302202_14,,60302202,14,暴击_1|
60302202_15,,60302202,15,暴击_1|
60302202_16,,60302202,16,暴击_1|
60302202_17,,60302202,17,暴击_2|
60302202_18,,60302202,18,暴击_2|
60302202_19,,60302202,19,暴击_2|
60302202_20,,60302202,20,暴击_2|
60302202_21,,60302202,21,暴击_2|
60302202_22,,60302202,22,暴击_2|
60302202_23,,60302202,23,暴击_2|
60302202_24,,60302202,24,暴击_2|
60302202_25,,60302202,25,暴击_2|
60302202_26,,60302202,26,暴击_2|
60302202_27,,60302202,27,暴击_3|
60302202_28,,60302202,28,暴击_3|
60302202_29,,60302202,29,暴击_3|
60302202_30,,60302202,30,暴击_3|
60302302_1,,60302302,1,暴击_1|
60302302_2,,60302302,2,暴击_1|
60302302_3,,60302302,3,暴击_1|
60302302_4,,60302302,4,暴击_1|
60302302_5,,60302302,5,暴击_1|
60302302_6,,60302302,6,暴击_1|
60302302_7,,60302302,7,暴击_1|
60302302_8,,60302302,8,暴击_1|
60302302_9,,60302302,9,暴击_1|
60302302_10,,60302302,10,暴击_1|
60302302_11,,60302302,11,暴击_1|
60302302_12,,60302302,12,暴击_1|
60302302_13,,60302302,13,暴击_1|
60302302_14,,60302302,14,暴击_1|
60302302_15,,60302302,15,暴击_1|
60302302_16,,60302302,16,暴击_1|
60302302_17,,60302302,17,暴击_2|
60302302_18,,60302302,18,暴击_2|
60302302_19,,60302302,19,暴击_2|
60302302_20,,60302302,20,暴击_2|
60302302_21,,60302302,21,暴击_2|
60302302_22,,60302302,22,暴击_2|
60302302_23,,60302302,23,暴击_2|
60302302_24,,60302302,24,暴击_2|
60302302_25,,60302302,25,暴击_2|
60302302_26,,60302302,26,暴击_2|
60302302_27,,60302302,27,暴击_3|
60302302_28,,60302302,28,暴击_3|
60302302_29,,60302302,29,暴击_3|
60302302_30,,60302302,30,暴击_3|
60303101_1,,60303101,1,物理攻击_1|
60303101_2,,60303101,2,物理攻击_2|
60303101_3,,60303101,3,物理攻击_3|
60303101_4,,60303101,4,物理攻击_4|
60303101_5,,60303101,5,物理攻击_5|
60303101_6,,60303101,6,物理攻击_6|
60303101_7,,60303101,7,物理攻击_7|
60303101_8,,60303101,8,物理攻击_8|
60303101_9,,60303101,9,物理攻击_9|
60303101_10,,60303101,10,物理攻击_10|
60303101_11,,60303101,11,物理攻击_11|
60303101_12,,60303101,12,物理攻击_12|
60303101_13,,60303101,13,物理攻击_13|
60303101_14,,60303101,14,物理攻击_14|
60303101_15,,60303101,15,物理攻击_15|
60303101_16,,60303101,16,物理攻击_16|
60303101_17,,60303101,17,物理攻击_17|
60303101_18,,60303101,18,物理攻击_18|
60303101_19,,60303101,19,物理攻击_19|
60303101_20,,60303101,20,物理攻击_20|
60303101_21,,60303101,21,物理攻击_21|
60303101_22,,60303101,22,物理攻击_22|
60303101_23,,60303101,23,物理攻击_23|
60303101_24,,60303101,24,物理攻击_24|
60303101_25,,60303101,25,物理攻击_25|
60303101_26,,60303101,26,物理攻击_26|
60303101_27,,60303101,27,物理攻击_27|
60303101_28,,60303101,28,物理攻击_28|
60303101_29,,60303101,29,物理攻击_29|
60303101_30,,60303101,30,物理攻击_30|
60303102_1,,60303102,1,暴击_1|
60303102_2,,60303102,2,暴击_1|
60303102_3,,60303102,3,暴击_1|
60303102_4,,60303102,4,暴击_1|
60303102_5,,60303102,5,暴击_1|
60303102_6,,60303102,6,暴击_1|
60303102_7,,60303102,7,暴击_1|
60303102_8,,60303102,8,暴击_1|
60303102_9,,60303102,9,暴击_1|
60303102_10,,60303102,10,暴击_1|
60303102_11,,60303102,11,暴击_1|
60303102_12,,60303102,12,暴击_1|
60303102_13,,60303102,13,暴击_1|
60303102_14,,60303102,14,暴击_1|
60303102_15,,60303102,15,暴击_1|
60303102_16,,60303102,16,暴击_1|
60303102_17,,60303102,17,暴击_2|
60303102_18,,60303102,18,暴击_2|
60303102_19,,60303102,19,暴击_2|
60303102_20,,60303102,20,暴击_2|
60303102_21,,60303102,21,暴击_2|
60303102_22,,60303102,22,暴击_2|
60303102_23,,60303102,23,暴击_2|
60303102_24,,60303102,24,暴击_2|
60303102_25,,60303102,25,暴击_2|
60303102_26,,60303102,26,暴击_2|
60303102_27,,60303102,27,暴击_3|
60303102_28,,60303102,28,暴击_3|
60303102_29,,60303102,29,暴击_3|
60303102_30,,60303102,30,暴击_3|
60303103_1,,60303103,1,暴击伤害_1|
60303103_2,,60303103,2,暴击伤害_1|
60303103_3,,60303103,3,暴击伤害_1|
60303103_4,,60303103,4,暴击伤害_1|
60303103_5,,60303103,5,暴击伤害_1|
60303103_6,,60303103,6,暴击伤害_1|
60303103_7,,60303103,7,暴击伤害_1|
60303103_8,,60303103,8,暴击伤害_1|
60303103_9,,60303103,9,暴击伤害_1|
60303103_10,,60303103,10,暴击伤害_1|
60303103_11,,60303103,11,暴击伤害_1|
60303103_12,,60303103,12,暴击伤害_1|
60303103_13,,60303103,13,暴击伤害_1|
60303103_14,,60303103,14,暴击伤害_1|
60303103_15,,60303103,15,暴击伤害_1|
60303103_16,,60303103,16,暴击伤害_1|
60303103_17,,60303103,17,暴击伤害_2|
60303103_18,,60303103,18,暴击伤害_2|
60303103_19,,60303103,19,暴击伤害_2|
60303103_20,,60303103,20,暴击伤害_2|
60303103_21,,60303103,21,暴击伤害_2|
60303103_22,,60303103,22,暴击伤害_2|
60303103_23,,60303103,23,暴击伤害_2|
60303103_24,,60303103,24,暴击伤害_2|
60303103_25,,60303103,25,暴击伤害_2|
60303103_26,,60303103,26,暴击伤害_2|
60303103_27,,60303103,27,暴击伤害_3|
60303103_28,,60303103,28,暴击伤害_3|
60303103_29,,60303103,29,暴击伤害_3|
60303103_30,,60303103,30,暴击伤害_3|
60310101_1,,60310101,1,法术攻击_1|
60310101_2,,60310101,2,法术攻击_2|
60310101_3,,60310101,3,法术攻击_3|
60310101_4,,60310101,4,法术攻击_4|
60310101_5,,60310101,5,法术攻击_5|
60310101_6,,60310101,6,法术攻击_6|
60310101_7,,60310101,7,法术攻击_7|
60310101_8,,60310101,8,法术攻击_8|
60310101_9,,60310101,9,法术攻击_9|
60310101_10,,60310101,10,法术攻击_10|
60310101_11,,60310101,11,法术攻击_11|
60310101_12,,60310101,12,法术攻击_12|
60310101_13,,60310101,13,法术攻击_13|
60310101_14,,60310101,14,法术攻击_14|
60310101_15,,60310101,15,法术攻击_15|
60310101_16,,60310101,16,法术攻击_16|
60310101_17,,60310101,17,法术攻击_17|
60310101_18,,60310101,18,法术攻击_18|
60310101_19,,60310101,19,法术攻击_19|
60310101_20,,60310101,20,法术攻击_20|
60310101_21,,60310101,21,法术攻击_21|
60310101_22,,60310101,22,法术攻击_22|
60310101_23,,60310101,23,法术攻击_23|
60310101_24,,60310101,24,法术攻击_24|
60310101_25,,60310101,25,法术攻击_25|
60310101_26,,60310101,26,法术攻击_26|
60310101_27,,60310101,27,法术攻击_27|
60310101_28,,60310101,28,法术攻击_28|
60310101_29,,60310101,29,法术攻击_29|
60310101_30,,60310101,30,法术攻击_30|
60310201_1,,60310201,1,法术攻击_1|
60310201_2,,60310201,2,法术攻击_2|
60310201_3,,60310201,3,法术攻击_3|
60310201_4,,60310201,4,法术攻击_4|
60310201_5,,60310201,5,法术攻击_5|
60310201_6,,60310201,6,法术攻击_6|
60310201_7,,60310201,7,法术攻击_7|
60310201_8,,60310201,8,法术攻击_8|
60310201_9,,60310201,9,法术攻击_9|
60310201_10,,60310201,10,法术攻击_10|
60310201_11,,60310201,11,法术攻击_11|
60310201_12,,60310201,12,法术攻击_12|
60310201_13,,60310201,13,法术攻击_13|
60310201_14,,60310201,14,法术攻击_14|
60310201_15,,60310201,15,法术攻击_15|
60310201_16,,60310201,16,法术攻击_16|
60310201_17,,60310201,17,法术攻击_17|
60310201_18,,60310201,18,法术攻击_18|
60310201_19,,60310201,19,法术攻击_19|
60310201_20,,60310201,20,法术攻击_20|
60310201_21,,60310201,21,法术攻击_21|
60310201_22,,60310201,22,法术攻击_22|
60310201_23,,60310201,23,法术攻击_23|
60310201_24,,60310201,24,法术攻击_24|
60310201_25,,60310201,25,法术攻击_25|
60310201_26,,60310201,26,法术攻击_26|
60310201_27,,60310201,27,法术攻击_27|
60310201_28,,60310201,28,法术攻击_28|
60310201_29,,60310201,29,法术攻击_29|
60310201_30,,60310201,30,法术攻击_30|
60311101_1,,60311101,1,法术攻击_1|
60311101_2,,60311101,2,法术攻击_2|
60311101_3,,60311101,3,法术攻击_3|
60311101_4,,60311101,4,法术攻击_4|
60311101_5,,60311101,5,法术攻击_5|
60311101_6,,60311101,6,法术攻击_6|
60311101_7,,60311101,7,法术攻击_7|
60311101_8,,60311101,8,法术攻击_8|
60311101_9,,60311101,9,法术攻击_9|
60311101_10,,60311101,10,法术攻击_10|
60311101_11,,60311101,11,法术攻击_11|
60311101_12,,60311101,12,法术攻击_12|
60311101_13,,60311101,13,法术攻击_13|
60311101_14,,60311101,14,法术攻击_14|
60311101_15,,60311101,15,法术攻击_15|
60311101_16,,60311101,16,法术攻击_16|
60311101_17,,60311101,17,法术攻击_17|
60311101_18,,60311101,18,法术攻击_18|
60311101_19,,60311101,19,法术攻击_19|
60311101_20,,60311101,20,法术攻击_20|
60311101_21,,60311101,21,法术攻击_21|
60311101_22,,60311101,22,法术攻击_22|
60311101_23,,60311101,23,法术攻击_23|
60311101_24,,60311101,24,法术攻击_24|
60311101_25,,60311101,25,法术攻击_25|
60311101_26,,60311101,26,法术攻击_26|
60311101_27,,60311101,27,法术攻击_27|
60311101_28,,60311101,28,法术攻击_28|
60311101_29,,60311101,29,法术攻击_29|
60311101_30,,60311101,30,法术攻击_30|
60311201_1,,60311201,1,法术攻击_1|
60311201_2,,60311201,2,法术攻击_2|
60311201_3,,60311201,3,法术攻击_3|
60311201_4,,60311201,4,法术攻击_4|
60311201_5,,60311201,5,法术攻击_5|
60311201_6,,60311201,6,法术攻击_6|
60311201_7,,60311201,7,法术攻击_7|
60311201_8,,60311201,8,法术攻击_8|
60311201_9,,60311201,9,法术攻击_9|
60311201_10,,60311201,10,法术攻击_10|
60311201_11,,60311201,11,法术攻击_11|
60311201_12,,60311201,12,法术攻击_12|
60311201_13,,60311201,13,法术攻击_13|
60311201_14,,60311201,14,法术攻击_14|
60311201_15,,60311201,15,法术攻击_15|
60311201_16,,60311201,16,法术攻击_16|
60311201_17,,60311201,17,法术攻击_17|
60311201_18,,60311201,18,法术攻击_18|
60311201_19,,60311201,19,法术攻击_19|
60311201_20,,60311201,20,法术攻击_20|
60311201_21,,60311201,21,法术攻击_21|
60311201_22,,60311201,22,法术攻击_22|
60311201_23,,60311201,23,法术攻击_23|
60311201_24,,60311201,24,法术攻击_24|
60311201_25,,60311201,25,法术攻击_25|
60311201_26,,60311201,26,法术攻击_26|
60311201_27,,60311201,27,法术攻击_27|
60311201_28,,60311201,28,法术攻击_28|
60311201_29,,60311201,29,法术攻击_29|
60311201_30,,60311201,30,法术攻击_30|
60311102_1,,60311102,1,暴击_1|
60311102_2,,60311102,2,暴击_1|
60311102_3,,60311102,3,暴击_1|
60311102_4,,60311102,4,暴击_1|
60311102_5,,60311102,5,暴击_1|
60311102_6,,60311102,6,暴击_1|
60311102_7,,60311102,7,暴击_1|
60311102_8,,60311102,8,暴击_1|
60311102_9,,60311102,9,暴击_1|
60311102_10,,60311102,10,暴击_1|
60311102_11,,60311102,11,暴击_1|
60311102_12,,60311102,12,暴击_1|
60311102_13,,60311102,13,暴击_1|
60311102_14,,60311102,14,暴击_1|
60311102_15,,60311102,15,暴击_1|
60311102_16,,60311102,16,暴击_1|
60311102_17,,60311102,17,暴击_2|
60311102_18,,60311102,18,暴击_2|
60311102_19,,60311102,19,暴击_2|
60311102_20,,60311102,20,暴击_2|
60311102_21,,60311102,21,暴击_2|
60311102_22,,60311102,22,暴击_2|
60311102_23,,60311102,23,暴击_2|
60311102_24,,60311102,24,暴击_2|
60311102_25,,60311102,25,暴击_2|
60311102_26,,60311102,26,暴击_2|
60311102_27,,60311102,27,暴击_3|
60311102_28,,60311102,28,暴击_3|
60311102_29,,60311102,29,暴击_3|
60311102_30,,60311102,30,暴击_3|
60311202_1,,60311202,1,暴击_1|
60311202_2,,60311202,2,暴击_1|
60311202_3,,60311202,3,暴击_1|
60311202_4,,60311202,4,暴击_1|
60311202_5,,60311202,5,暴击_1|
60311202_6,,60311202,6,暴击_1|
60311202_7,,60311202,7,暴击_1|
60311202_8,,60311202,8,暴击_1|
60311202_9,,60311202,9,暴击_1|
60311202_10,,60311202,10,暴击_1|
60311202_11,,60311202,11,暴击_1|
60311202_12,,60311202,12,暴击_1|
60311202_13,,60311202,13,暴击_1|
60311202_14,,60311202,14,暴击_1|
60311202_15,,60311202,15,暴击_1|
60311202_16,,60311202,16,暴击_1|
60311202_17,,60311202,17,暴击_2|
60311202_18,,60311202,18,暴击_2|
60311202_19,,60311202,19,暴击_2|
60311202_20,,60311202,20,暴击_2|
60311202_21,,60311202,21,暴击_2|
60311202_22,,60311202,22,暴击_2|
60311202_23,,60311202,23,暴击_2|
60311202_24,,60311202,24,暴击_2|
60311202_25,,60311202,25,暴击_2|
60311202_26,,60311202,26,暴击_2|
60311202_27,,60311202,27,暴击_3|
60311202_28,,60311202,28,暴击_3|
60311202_29,,60311202,29,暴击_3|
60311202_30,,60311202,30,暴击_3|
60312101_1,,60312101,1,法术攻击_1|
60312101_2,,60312101,2,法术攻击_2|
60312101_3,,60312101,3,法术攻击_3|
60312101_4,,60312101,4,法术攻击_4|
60312101_5,,60312101,5,法术攻击_5|
60312101_6,,60312101,6,法术攻击_6|
60312101_7,,60312101,7,法术攻击_7|
60312101_8,,60312101,8,法术攻击_8|
60312101_9,,60312101,9,法术攻击_9|
60312101_10,,60312101,10,法术攻击_10|
60312101_11,,60312101,11,法术攻击_11|
60312101_12,,60312101,12,法术攻击_12|
60312101_13,,60312101,13,法术攻击_13|
60312101_14,,60312101,14,法术攻击_14|
60312101_15,,60312101,15,法术攻击_15|
60312101_16,,60312101,16,法术攻击_16|
60312101_17,,60312101,17,法术攻击_17|
60312101_18,,60312101,18,法术攻击_18|
60312101_19,,60312101,19,法术攻击_19|
60312101_20,,60312101,20,法术攻击_20|
60312101_21,,60312101,21,法术攻击_21|
60312101_22,,60312101,22,法术攻击_22|
60312101_23,,60312101,23,法术攻击_23|
60312101_24,,60312101,24,法术攻击_24|
60312101_25,,60312101,25,法术攻击_25|
