key,Remarks,weightGroup,itemID,weight,max,belong,order,f1,f2
124,,4,700007,6,1,"0,2,0",,0,
125,,4,700019,6,1,"0,2,0",,0,
126,,4,700031,6,1,"0,2,0",,0,
127,,4,700043,6,1,"0,2,0",,0,
128,,4,700049,6,1,"0,2,0",,0,
129,,4,700055,6,1,"0,2,0",,0,
130,,6,704007,100,3,"0,2,0",,魂石,
131,,6,704006,100,3,"0,2,0",,魂石,
132,,6,704018,100,3,"0,2,0",,魂石,
133,,6,704009,100,3,"0,2,0",,魂石,
134,,6,704011,100,3,"0,2,0",,魂石,
135,,6,704017,100,3,"0,2,0",,魂石,
136,,6,704004,50,3,"0,2,0",,魂石,
137,,6,704001,50,3,"0,2,0",,魂石,
138,,6,704019,50,3,"0,2,0",,魂石,
139,,6,704026,50,3,"0,2,0",,魂石,
140,,6,704027,50,3,"0,2,0",,魂石,
141,,6,704013,50,3,"0,2,0",,魂石,
142,,6,704015,10,3,"0,2,0",,魂石,
143,,6,704010,10,3,"0,2,0",,魂石,
144,,6,704008,10,3,"0,2,0",,魂石,
145,,6,704035,10,3,"0,2,0",,魂石,
146,,6,704024,10,3,"0,2,0",,魂石,
147,,6,704022,10,3,"0,2,0",,魂石,
148,,6,704014,10,3,"0,2,0",,魂石,
149,,7,201012_1,135,1,"0,2,0",,整卡,★★
150,,7,200011_1,135,1,"0,2,0",,整卡,★
151,,7,200001_1,100,1,"0,2,0",,整卡,★★
152,,7,201004_1,100,1,"0,2,0",,整卡,★
153,,7,204004_1,100,1,"0,2,0",,整卡,★★★
154,,7,204006_2,100,1,"0,2,0",,整卡,★
155,,7,204001_1,50,1,"0,2,0",,整卡,★
156,,7,202001_3,50,1,"0,2,0",,整卡,★★★
157,,7,200003_1,50,1,"0,2,0",,整卡,★
158,,7,203010_2,50,1,"0,2,0",,整卡,★★★
159,,7,204002_2,50,1,"0,2,0",,整卡,★★★
160,,7,204003_1,50,1,"0,2,0",,整卡,★★
161,,7,203003_2,10,1,"0,2,0",,整卡,★★
162,,7,202004_3,10,1,"0,2,0",,整卡,★★★
163,,7,201005_2,5,1,"0,2,0",,整卡,★★★
164,,7,204008_2,2,1,"0,2,0",,整卡,★★★
165,,7,204005_3,1,1,"0,2,0",,整卡,★★★
166,,7,200004_2,1,1,"0,2,0",,整卡,★★★
167,,7,203002_2,1,1,"0,2,0",,整卡,★★
168,,1,803001,1000,1,"0,0,3",,经验丹,
169,,1,803002,200,1,"0,0,3",,经验丹,
170,,1,803003,1,1,"0,0,3",,经验丹,
171,,2,802001,200,1,"0,0,3",,金币,
172,,2,802002,1,1,"0,0,3",,金币,
173,,11,704027,1068,3,"0,0,3",,魂石,
174,,11,704013,1068,3,"0,0,3",,魂石,
175,,11,704015,1068,3,"0,0,3",,魂石,
176,,11,704010,1068,3,"0,0,3",,魂石,
177,,11,704008,1068,3,"0,0,3",,魂石,
178,,11,704035,1068,3,"0,0,3",,魂石,
179,,11,704024,1068,3,"0,0,3",,魂石,
180,,11,704022,1068,3,"0,0,3",,魂石,
181,,11,704014,1068,3,"0,0,3",,魂石,
182,,10,202002_3,110,1,"0,0,3",,整卡,
183,,10,201001_3,108,1,"0,0,3",,整卡,
184,,10,202006_3,70,1,"0,0,3",,整卡,
185,,10,200009_3,40,1,"0,0,3",,整卡,
186,,10,203013_3,30,1,"0,0,3",,整卡,
187,,10,203004_3,20,1,"0,0,3",,整卡,
188,,10,200012_3,10,1,"0,0,3",,整卡,
189,,8,203010_2,1000,1,"0,2,0",1,首次十连保底,★★★
190,,8,204004_1,200,1,"0,2,0",1,首次十连保底,★★★
191,,8,200004_2,1,1,"0,2,0",1,首次十连保底,★★★
192,,8,201012_1,1000,1,"0,2,0",2,首次十连保底,★★
193,,8,200001_1,200,1,"0,2,0",2,首次十连保底,★★
194,,8,203003_2,1,1,"0,2,0",2,首次十连保底,★★
195,,9,200011_1,1000,1,"0,2,0",1,常规十连保底,★
196,,9,201004_1,1000,1,"0,2,0",1,常规十连保底,★
197,,9,204006_2,1000,1,"0,2,0",1,常规十连保底,★
198,,9,204001_1,1000,1,"0,2,0",1,常规十连保底,★
199,,9,200003_1,1000,1,"0,2,0",1,常规十连保底,★
200,,12,202001_3,1,1,"0,2,0",1,免费首次保底,★★★
