key,Remarks,roleId,nextRoleId,roleType,sex,modelId,camp,name,imageId,atlas,battleIcon,heroTitle,herName,positionType,careerType,soulStoneId,volumeRadius,goodAt,bustImage,summonFlag,summonNumber,risingNumber,title,titleIcon,transform,heroDesc,heroIllustrate,order,group,starLevel,energy,life,intelligence,HeroRating,attack,physiqueDef,spiritDef,exemptPhysiqueDef,exemptSpiritDef,hit,dodge,critical,toughness,lifeReceive,energyReceive,attackVampire,criticalHurt,energyPerSecond,energyTrans,energyTransFactor,attackEnergy,beatenEnergy,struckEnergy,attackDistance,attackSpeed,moveSpeed,viewRange,lifeGrowUp,attackGrowUp,physicqueDefGrowUp,spiritDefGrowUp,attackType,attrData,precentAttrData,growUp,attrDesc,attackId,skillId01,skillId02,skillId03,skillId04,skillId05,dieSkillId,qualityId,nameIcon,upNeedCoin,voice,reactionTime,attackHurt,cutHurt,cutCritHurt,resist,addCure,cutCure,doHurt,hardStraight,actionName,soundName,canShow,statInfo,sortNum,physiqueAttack,spiritAttack,pAttackGrowUp,sAttackGrowUp,ff1,ff2
101001_4,,101001_4,101001_5,1,,101001,,新手女,Hero_head/head_heroine_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_heroine,,,,,708001,1,学习,hero_end_01,,,160,,JiaoBiao_Chu,70,小镇出生的少女，家乡被妖仙摧毁而踏上了复仇之路。体内隐藏着一种神秘的力量。,努力修炼吧！少女,29,,4,1000,542,9,4,101,33,27,,,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,1,,5.5,"1,000",23823,4466,1488,1191,,能量_1000;生命_542;物理攻击_101;法术攻击_81;物理防御_33;法术防御_27;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;攻击距离_1;移动速度_5.5;视野范围_1000,,生命成长_23823;物攻成长_4466;法攻成长_3573;物防成长_1488;法防成长_1191,,10100100_1,10100101_1,10100102_1,10100103_1,10100104_1,,,101001_1,,4000,sound_101001_1_1.mp3,0.9,,,,,,,,0.5,standby,,1,新手;0.54;0.54;0.54,51,101,81,4466,3573,,物理
101001_5,,101001_5,101001_6,1,,101001,,新手女,Hero_head/head_heroine_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_heroine,,,,,708001,1,学习,hero_end_01,,,240,,JiaoBiao_Chu,120,小镇出生的少女，家乡被妖仙摧毁而踏上了复仇之路。体内隐藏着一种神秘的力量。,努力修炼吧！少女,29,,5,1000,542,9,4,101,33,27,,,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,1,,5.5,"1,000",29779,5583,1861,1488,,能量_1000;生命_542;物理攻击_101;法术攻击_81;物理防御_33;法术防御_27;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;攻击距离_1;移动速度_5.5;视野范围_1000,,生命成长_29779;物攻成长_5583;法攻成长_4466;物防成长_1861;法防成长_1488,,10100100_1,10100101_1,10100102_1,10100103_1,10100104_1,,,101001_1,,5000,sound_101001_1_1.mp3,0.9,,,,,,,,0.5,standby,,1,新手;0.54;0.54;0.54,51,101,81,5583,4466,,物理
101001_6,,101001_6,101001_7,1,,101001,,新手女,Hero_head/head_heroine_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_heroine,,,,,708001,1,学习,hero_end_01,,,360,,JiaoBiao_Chu,216,小镇出生的少女，家乡被妖仙摧毁而踏上了复仇之路。体内隐藏着一种神秘的力量。,努力修炼吧！少女,29,,6,1000,542,9,4,101,33,27,,,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,1,,5.5,"1,000",35774,6707,2235,1788,,能量_1000;生命_542;物理攻击_101;法术攻击_81;物理防御_33;法术防御_27;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;攻击距离_1;移动速度_5.5;视野范围_1000,,生命成长_35774;物攻成长_6707;法攻成长_5366;物防成长_2235;法防成长_1788,,10100100_1,10100101_1,10100102_1,10100103_1,10100104_1,,,101001_1,,6000,sound_101001_1_1.mp3,0.9,,,,,,,,0.5,standby,,1,新手;0.54;0.54;0.54,51,101,81,6707,5366,,物理
101001_7,,101001_7,,1,,101001,,新手女,Hero_head/head_heroine_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_heroine,,,,,708001,1,学习,hero_end_01,,,,,JiaoBiao_Chu,360,小镇出生的少女，家乡被妖仙摧毁而踏上了复仇之路。体内隐藏着一种神秘的力量。,努力修炼吧！少女,29,,7,1000,542,9,4,101,33,27,,,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,1,,5.5,"1,000",41730,7824,2608,2086,,能量_1000;生命_542;物理攻击_101;法术攻击_81;物理防御_33;法术防御_27;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;攻击距离_1;移动速度_5.5;视野范围_1000,,生命成长_41730;物攻成长_7824;法攻成长_6259;物防成长_2608;法防成长_2086,,10100100_1,10100101_1,10100102_1,10100103_1,10100104_1,,,101001_1,,7000,sound_101001_1_1.mp3,0.9,,,,,,,,0.5,standby,,1,新手;0.54;0.54;0.54,51,101,81,7824,6259,,物理
100005_1,,100005_1,100005_2,1,1,100005,,力士男,Hero_head/head_hero_tank_01_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_hero_tank_01,,,,1,708001,1,防御,hero_end_04,,,20,,JiaoBiao_ZhanShi_01,8,前排防御型力士，队伍中不能缺少的坚实壁垒,高血，高防，强控制,29,,1,1000,976,9,4,76,40,32,,,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,,,5.5,"1,000",15516,1212,646,517,,能量_1000;生命_976;物理攻击_76;法术攻击_65;物理防御_40;法术防御_32;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;移动速度_5.5;视野范围_1000,,生命成长_15516;物攻成长_1212;法攻成长_1034;物防成长_646;法防成长_517,,10000500_1,10000501_1,10000502_1,10000503_1,10000504_1,,,100005_1,,50000,sound_100005_1_1.mp3,1.08,,,,,,,,0.5,standby,,1,物理/近战/肉盾/控制;0.54;0.8;0.64,51,76,65,1212,1034,,物理
100005_2,,100005_2,100005_3,1,1,100005,,力士男,Hero_head/head_hero_tank_01_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_hero_tank_01,,,,1,708001,1,防御,hero_end_04,,,30,,JiaoBiao_ZhanShi_01,21,前排防御型力士，队伍中不能缺少的坚实壁垒,高血，高防，强控制,29,,2,1000,976,10,5,76,40,32,,,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,,,5.5,"1,000",24403,1906,1016,813,,能量_1000;生命_976;物理攻击_76;法术攻击_65;物理防御_40;法术防御_32;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;移动速度_5.5;视野范围_1000,,生命成长_24403;物攻成长_1906;法攻成长_1626;物防成长_1016;法防成长_813,,10000500_1,10000501_1,10000502_1,10000503_1,10000504_1,,,100005_1,,100000,sound_100005_1_1.mp3,1.08,,,,,,,,0.5,standby,,1,物理/近战/肉盾/控制;0.54;0.8;0.64,40,76,65,1906,1626,,物理
100005_3,,100005_3,100005_4,1,1,100005,,力士男,Hero_head/head_hero_tank_01_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_hero_tank_01,,,,1,708001,1,防御,hero_end_04,,,80,,JiaoBiao_ZhanShi_01,36,前排防御型力士，队伍中不能缺少的坚实壁垒,高血，高防，强控制,29,,3,1000,976,11,5,76,40,32,,,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,,,5.5,"1,000",32232,2518,1343,1074,,能量_1000;生命_976;物理攻击_76;法术攻击_65;物理防御_40;法术防御_32;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;移动速度_5.5;视野范围_1000,,生命成长_32232;物攻成长_2518;法攻成长_2148;物防成长_1343;法防成长_1074,,10000500_1,10000501_1,10000502_1,10000503_1,10000504_1,,,100005_1,,300000,sound_100005_1_1.mp3,1.08,,,,,,,,0.5,standby,,1,物理/近战/肉盾/控制;0.54;0.8;0.64,39,76,65,2518,2148,,物理
100005_4,,100005_4,100005_5,1,1,100005,,力士男,Hero_head/head_hero_tank_01_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_hero_tank_01,,,,1,708001,1,防御,hero_end_04,,,160,,JiaoBiao_ZhanShi_01,70,前排防御型力士，队伍中不能缺少的坚实壁垒,高血，高防，强控制,29,,4,1000,976,12,6,76,40,32,,,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,,,5.5,"1,000",42882,3350,1786,1429,,能量_1000;生命_976;物理攻击_76;法术攻击_65;物理防御_40;法术防御_32;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;移动速度_5.5;视野范围_1000,,生命成长_42882;物攻成长_3350;法攻成长_2858;物防成长_1786;法防成长_1429,,10000500_1,10000501_1,10000502_1,10000503_1,10000504_1,,,100005_1,,600000,sound_100005_1_1.mp3,1.08,,,,,,,,0.5,standby,,1,物理/近战/肉盾/控制;0.54;0.8;0.64,28,76,65,3350,2858,,物理
100005_5,,100005_5,100005_6,1,1,100005,,力士男,Hero_head/head_hero_tank_01_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_hero_tank_01,,,,1,708001,1,防御,hero_end_04,,,240,,JiaoBiao_ZhanShi_01,120,前排防御型力士，队伍中不能缺少的坚实壁垒,高血，高防，强控制,29,,5,1000,976,13,6,76,40,32,,,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,,,5.5,"1,000",53603,4187,2233,1786,,能量_1000;生命_976;物理攻击_76;法术攻击_65;物理防御_40;法术防御_32;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;移动速度_5.5;视野范围_1000,,生命成长_53603;物攻成长_4187;法攻成长_3573;物防成长_2233;法防成长_1786,,10000500_1,10000501_1,10000502_1,10000503_1,10000504_1,,,100005_1,,1000000,sound_100005_1_1.mp3,1.08,,,,,,,,0.5,standby,,1,物理/近战/肉盾/控制;0.54;0.8;0.64,27,76,65,4187,3573,,物理
100005_6,,100005_6,100005_7,1,1,100005,,力士男,Hero_head/head_hero_tank_01_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_hero_tank_01,,,,1,708001,1,防御,hero_end_04,,,360,,JiaoBiao_ZhanShi_01,216,前排防御型力士，队伍中不能缺少的坚实壁垒,高血，高防，强控制,29,,6,1000,976,14,7,76,40,32,,,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,,,5.5,"1,000",64394,5030,2683,2146,,能量_1000;生命_976;物理攻击_76;法术攻击_65;物理防御_40;法术防御_32;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;移动速度_5.5;视野范围_1000,,生命成长_64394;物攻成长_5030;法攻成长_4292;物防成长_2683;法防成长_2146,,10000500_1,10000501_1,10000502_1,10000503_1,10000504_1,,,100005_1,,1400000,sound_100005_1_1.mp3,1.08,,,,,,,,0.5,standby,,1,物理/近战/肉盾/控制;0.54;0.8;0.64,16,76,65,5030,4292,,物理
100005_7,,100005_7,,1,1,100005,,力士男,Hero_head/head_hero_tank_01_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_hero_tank_01,,,,1,708001,1,防御,hero_end_04,,,,,JiaoBiao_ZhanShi_01,360,前排防御型力士，队伍中不能缺少的坚实壁垒,高血，高防，强控制,29,,7,1000,976,15,7,76,40,32,,,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,,,5.5,"1,000",75115,5868,3129,2503,,能量_1000;生命_976;物理攻击_76;法术攻击_65;物理防御_40;法术防御_32;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;移动速度_5.5;视野范围_1000,,生命成长_75115;物攻成长_5868;法攻成长_5007;物防成长_3129;法防成长_2503,,10000500_1,10000501_1,10000502_1,10000503_1,10000504_1,,,100005_1,,1800000,sound_100005_1_1.mp3,1.08,,,,,,,,0.5,standby,,1,物理/近战/肉盾/控制;0.54;0.8;0.64,15,76,65,5868,5007,,物理
101002_1,,101002_1,101002_2,1,,101002,,力士女,Hero_head/head_heroine_tank_01_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_heroine_tank_01,,,,1,708001,1,防御,hero_end_05,,,20,,JiaoBiao_ZhanShi_01,8,前排防御型力士，队伍中不能缺少的坚实壁垒,高血，高防，强控制,29,,1,1000,976,9,4,76,40,32,,,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,,,5.5,"1,000",15516,1212,646,517,,能量_1000;生命_976;物理攻击_76;法术攻击_65;物理防御_40;法术防御_32;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;移动速度_5.5;视野范围_1000,,生命成长_15516;物攻成长_1212;法攻成长_1034;物防成长_646;法防成长_517,,10100200_1,10100201_1,10100202_1,10100203_1,10100204_1,,,101002_1,,50000,sound_101002_1_1.mp3,1.08,,,,,,,,0.5,standby,,1,物理/近战/肉盾/控制;0.54;0.8;0.64,51,76,65,1212,1034,,物理
101002_2,,101002_2,101002_3,1,,101002,,力士女,Hero_head/head_heroine_tank_01_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_heroine_tank_01,,,,1,708001,1,防御,hero_end_05,,,30,,JiaoBiao_ZhanShi_01,21,前排防御型力士，队伍中不能缺少的坚实壁垒,高血，高防，强控制,29,,2,1000,976,10,5,76,40,32,,,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,,,5.5,"1,000",24403,1906,1016,813,,能量_1000;生命_976;物理攻击_76;法术攻击_65;物理防御_40;法术防御_32;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;移动速度_5.5;视野范围_1000,,生命成长_24403;物攻成长_1906;法攻成长_1626;物防成长_1016;法防成长_813,,10100200_1,10100201_1,10100202_1,10100203_1,10100204_1,,,101002_1,,100000,sound_101002_1_1.mp3,1.08,,,,,,,,0.5,standby,,1,物理/近战/肉盾/控制;0.54;0.8;0.64,40,76,65,1906,1626,,物理
101002_3,,101002_3,101002_4,1,,101002,,力士女,Hero_head/head_heroine_tank_01_ui,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_heroine_tank_01,,,,1,708001,1,防御,hero_end_05,,,80,,JiaoBiao_ZhanShi_01,36,前排防御型力士，队伍中不能缺少的坚实壁垒,高血，高防，强控制,29,,3,1000,976,11,5,76,40,32,,,,,,,,,,,5,1,0|20|8|20|40|8|40|60|8|60|80|8|80|100|8,94,,300,,,5.5,"1,000",32232,2518,1343,1074,,能量_1000;生命_976;物理攻击_76;法术攻击_65;物理防御_40;法术防御_32;每秒回复能量_5;能量转化_1;攻击增加能量_94;击杀增加能量_300;移动速度_5.5;视野范围_1000,,生命成长_32232;物攻成长_2518;法攻成长_2148;物防成长_1343;法防成长_1074,,10100200_1,10100201_1,10100202_1,10100203_1,10100204_1,,,101002_1,,300000,sound_101002_1_1.mp3,1.08,,,,,,,,0.5,standby,,1,物理/近战/肉盾/控制;0.54;0.8;0.64,39,76,65,2518,2148,,物理
