key,Remarks,id,preId,nextId,quality,needExp,needCoin,attriPercent,starLevel
4055,,4055,4054,4056,4,730,260,12210,55
4056,,4056,4055,4057,4,750,260,12432,56
4057,,4057,4056,4058,4,770,260,12654,57
4058,,4058,4057,4059,4,790,260,12876,58
4059,,4059,4058,4060,4,810,260,13098,59
4060,,4060,4059,4061,4,830,260,13320,60
4061,,4061,4060,4062,4,850,260,13542,61
4062,,4062,4061,4063,4,869,260,13764,62
4063,,4063,4062,4064,4,890,260,13986,63
4064,,4064,4063,4065,4,910,260,14208,64
4065,,4065,4064,4066,4,930,260,14430,65
4066,,4066,4065,4067,4,950,260,14652,66
4067,,4067,4066,4068,4,969,260,14874,67
4068,,4068,4067,4069,4,990,260,15096,68
4069,,4069,4068,4070,4,1010,260,15318,69
4070,,4070,4069,4071,4,1050,260,15540,70
4071,,4071,4070,4072,4,1090,260,15762,71
4072,,4072,4071,4073,4,1130,260,15984,72
4073,,4073,4072,4074,4,1170,260,16206,73
4074,,4074,4073,4075,4,1210,260,16428,74
4075,,4075,4074,4076,4,1250,260,16650,75
4076,,4076,4075,4077,4,1290,260,16872,76
4077,,4077,4076,4078,4,1330,260,17094,77
4078,,4078,4077,4079,4,1370,260,17316,78
4079,,4079,4078,4080,4,1410,260,17538,79
4080,,4080,4079,4081,4,1450,260,17760,80
4081,,4081,4080,4082,4,1490,260,17982,81
4082,,4082,4081,4083,4,1530,260,18204,82
4083,,4083,4082,4084,4,1570,260,18426,83
4084,,4084,4083,4085,4,1610,260,18648,84
4085,,4085,4084,4086,4,1650,260,18870,85
4086,,4086,4085,4087,4,1689,260,19092,86
4087,,4087,4086,4088,4,1730,260,19314,87
4088,,4088,4087,4089,4,1770,260,19536,88
4089,,4089,4088,4090,4,1810,260,19758,89
4090,,4090,4089,,4,,,20000,90
