key,Remarks,id,nextId,quality,equip1,equip2,equip3,equip4,equip5,equip6,life,attack,physiqueDef,spiritDef,lifeReceive,energyReceive,critical,toughness,hit,dodge,criticalHurt,attrData,precentAttrData,attrDesc,qualityName,careerName,beizhu,careerIcon,qualityBg,playerQualityBg
100001_15,,100001_15,100001_16,14,700109,700022,700082,700164,700178,700095,,,,,,,,,,,,生命_10400;物理攻击_1950;物理防御_650;法术攻击_1560;法术防御_520;生命回复_9700;能量回复_500,,,橙色+1,新手,标准,JiaoBiao_Chu,bg_head_ChengSe_01,bg_head_ChengSe_01
100001_16,,100001_16,100001_17,15,700110,700023,700082,700164,700179,700095,,,,,,,,,,,,生命_11200;物理攻击_2100;物理防御_700;法术攻击_1680;法术防御_560;生命回复_10446;能量回复_500,,,橙色+2,新手,标准,JiaoBiao_Chu,bg_head_ChengSe_02,bg_head_ChengSe_02
100001_17,,100001_17,100001_18,16,700110,700023,700083,700165,700179,700095,,,,,,,,,,,,生命_12000;物理攻击_2250;物理防御_750;法术攻击_1800;法术防御_600;生命回复_11192;能量回复_500,,,橙色+3,新手,标准,JiaoBiao_Chu,bg_head_ChengSe_03,bg_head_ChengSe_03
100001_18,,100001_18,100001_19,17,700111,700024,700083,700165,700180,700095,,,,,,,,,,,,生命_12800;物理攻击_2400;物理防御_800;法术攻击_1920;法术防御_640;生命回复_11938;能量回复_500,,,橙色+4,新手,标准,JiaoBiao_Chu,bg_head_ChengSe_04,bg_head_ChengSe_04
100001_19,,100001_19,100001_20,18,700111,700024,700084,700165,700180,700095,,,,,,,,,,,,生命_13600;物理攻击_2550;物理防御_850;法术攻击_2040;法术防御_680;生命回复_12685;能量回复_500,,,橙色+5,新手,标准,JiaoBiao_Chu,bg_head_ChengSe_05,bg_head_ChengSe_05
101001_1,,101001_1,101001_2,,700124,700013,700073,700157,700174,700091,,,,,,,,,,,,生命_160;物理攻击_30;物理防御_10;法术攻击_24;法术防御_8;生命回复_149;能量回复_8,,,白色,新手,标准,JiaoBiao_Chu,bg_head_BaiSe,bg_head_BaiSe
101001_2,,101001_2,101001_3,1,700125,700014,700062,700149,700174,700091,,,,,,,,,,,,生命_1600;物理攻击_300;物理防御_100;法术攻击_240;法术防御_80;生命回复_1492;能量回复_83,,,绿色,新手,标准,JiaoBiao_Chu,bg_head_LvSe,bg_head_LvSe
101001_3,,101001_3,101001_4,2,700124,700013,700073,700157,700174,700091,,,,,,,,,,,,生命_2880;物理攻击_540;物理防御_180;法术攻击_432;法术防御_144;生命回复_2686;能量回复_150,,,绿色+1,新手,标准,JiaoBiao_Chu,bg_head_LvSe_01,bg_head_LvSe_01
101001_4,,101001_4,101001_5,3,700125,700014,700062,700149,700174,700091,,,,,,,,,,,,生命_3840;物理攻击_720;物理防御_240;法术攻击_576;法术防御_192;生命回复_3581;能量回复_200,,,绿色+2,新手,标准,JiaoBiao_Chu,bg_head_LvSe_02,bg_head_LvSe_02
101001_5,,101001_5,101001_6,4,700104,700017,700077,700160,700176,700092,,,,,,,,,,,,生命_4480;物理攻击_840;物理防御_280;法术攻击_672;法术防御_224;生命回复_4178;能量回复_233,,,蓝色,新手,标准,JiaoBiao_Chu,bg_head_LanSe,bg_head_LanSe
101001_6,,101001_6,101001_7,5,700105,700018,700077,700160,700176,700092,,,,,,,,,,,,生命_5280;物理攻击_990;物理防御_330;法术攻击_792;法术防御_264;生命回复_4924;能量回复_275,,,蓝色+1,新手,标准,JiaoBiao_Chu,bg_head_LanSe_01,bg_head_LanSe_01
101001_7,,101001_7,101001_8,6,700105,700018,700078,700161,700176,700093,,,,,,,,,,,,生命_6240;物理攻击_1170;物理防御_390;法术攻击_936;法术防御_312;生命回复_5820;能量回复_325,,,蓝色+2,新手,标准,JiaoBiao_Chu,bg_head_LanSe_02,bg_head_LanSe_02
101001_8,,101001_8,101001_9,7,700106,700019,700078,700161,700177,700093,,,,,,,,,,,,生命_6880;物理攻击_1290;物理防御_430;法术攻击_1032;法术防御_344;生命回复_6417;能量回复_358,,,蓝色+3,新手,标准,JiaoBiao_Chu,bg_head_LanSe_03,bg_head_LanSe_03
101001_9,,101001_9,101001_10,8,700106,700019,700079,700161,700177,700093,,,,,,,,,,,,生命_7360;物理攻击_1380;物理防御_460;法术攻击_1104;法术防御_368;生命回复_6864;能量回复_383,,,紫色,新手,标准,JiaoBiao_Chu,bg_head_ZiSe,bg_head_ZiSe
101001_10,,101001_10,101001_11,9,700107,700020,700079,700161,700177,700093,,,,,,,,,,,,生命_7680;物理攻击_1440;物理防御_480;法术攻击_1152;法术防御_384;生命回复_7163;能量回复_400,,,紫色+1,新手,标准,JiaoBiao_Chu,bg_head_ZiSe_01,bg_head_ZiSe_01
101001_11,,101001_11,101001_12,10,700107,700020,700080,700162,700177,700094,,,,,,,,,,,,生命_8000;物理攻击_1500;物理防御_500;法术攻击_1200;法术防御_400;生命回复_7461;能量回复_416,,,紫色+2,新手,标准,JiaoBiao_Chu,bg_head_ZiSe_02,bg_head_ZiSe_02
101001_12,,101001_12,101001_13,11,700108,700021,700080,700162,700178,700094,,,,,,,,,,,,生命_8480;物理攻击_1590;物理防御_530;法术攻击_1272;法术防御_424;生命回复_7909;能量回复_441,,,紫色+3,新手,标准,JiaoBiao_Chu,bg_head_ZiSe_03,bg_head_ZiSe_03
101001_13,,101001_13,101001_14,12,700108,700021,700081,700162,700178,700094,,,,,,,,,,,,生命_8960;物理攻击_1680;物理防御_560;法术攻击_1344;法术防御_448;生命回复_8357;能量回复_466,,,紫色+4,新手,标准,JiaoBiao_Chu,bg_head_ZiSe_04,bg_head_ZiSe_04
101001_14,,101001_14,101001_15,13,700109,700022,700081,700164,700178,700094,,,,,,,,,,,,生命_9600;物理攻击_1800;物理防御_600;法术攻击_1440;法术防御_480;生命回复_8954;能量回复_500,,,橙色,新手,标准,JiaoBiao_Chu,bg_head_ChengSe,bg_head_ChengSe
101001_15,,101001_15,101001_16,14,700109,700022,700082,700164,700178,700095,,,,,,,,,,,,生命_10400;物理攻击_1950;物理防御_650;法术攻击_1560;法术防御_520;生命回复_9700;能量回复_500,,,橙色+1,新手,标准,JiaoBiao_Chu,bg_head_ChengSe_01,bg_head_ChengSe_01
101001_16,,101001_16,101001_17,15,700110,700023,700082,700164,700179,700095,,,,,,,,,,,,生命_11200;物理攻击_2100;物理防御_700;法术攻击_1680;法术防御_560;生命回复_10446;能量回复_500,,,橙色+2,新手,标准,JiaoBiao_Chu,bg_head_ChengSe_02,bg_head_ChengSe_02
101001_17,,101001_17,101001_18,16,700110,700023,700083,700165,700179,700095,,,,,,,,,,,,生命_12000;物理攻击_2250;物理防御_750;法术攻击_1800;法术防御_600;生命回复_11192;能量回复_500,,,橙色+3,新手,标准,JiaoBiao_Chu,bg_head_ChengSe_03,bg_head_ChengSe_03
101001_18,,101001_18,101001_19,17,700111,700024,700083,700165,700180,700095,,,,,,,,,,,,生命_12800;物理攻击_2400;物理防御_800;法术攻击_1920;法术防御_640;生命回复_11938;能量回复_500,,,橙色+4,新手,标准,JiaoBiao_Chu,bg_head_ChengSe_04,bg_head_ChengSe_04
101001_19,,101001_19,101001_20,18,700111,700024,700084,700165,700180,700095,,,,,,,,,,,,生命_13600;物理攻击_2550;物理防御_850;法术攻击_2040;法术防御_680;生命回复_12685;能量回复_500,,,橙色+5,新手,标准,JiaoBiao_Chu,bg_head_ChengSe_05,bg_head_ChengSe_05
100005_1,,100005_1,100005_2,,700100,700013,700073,700157,700174,700091,,,,,,,,,,,,生命_288;物理攻击_22;物理防御_12;法术攻击_19;法术防御_9;生命回复_268;能量回复_8,,,白色,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_BaiSe,bg_head_BaiSe
100005_2,,100005_2,100005_3,1,700101,700014,700074,700158,700174,700091,,,,,,,,,,,,生命_2880;物理攻击_225;物理防御_120;法术攻击_192;法术防御_96;生命回复_2686;能量回复_83,,,绿色,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_LvSe,bg_head_LvSe
100005_3,,100005_3,100005_4,2,700102,700015,700075,700158,700175,700091,,,,,,,,,,,,生命_5184;物理攻击_405;物理防御_216;法术攻击_345;法术防御_172;生命回复_4835;能量回复_150,,,绿色+1,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_LvSe_01,bg_head_LvSe_01
100005_4,,100005_4,100005_5,3,700103,700016,700076,700159,700175,700092,,,,,,,,,,,,生命_6912;物理攻击_540;物理防御_288;法术攻击_460;法术防御_230;生命回复_6447;能量回复_200,,,绿色+2,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_LvSe_02,bg_head_LvSe_02
100005_5,,100005_5,100005_6,4,700104,700017,700077,700160,700176,700092,,,,,,,,,,,,生命_8064;物理攻击_630;物理防御_336;法术攻击_537;法术防御_268;生命回复_7521;能量回复_233,,,蓝色,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_LanSe,bg_head_LanSe
100005_6,,100005_6,100005_7,5,700105,700018,700077,700160,700176,700092,,,,,,,,,,,,生命_9504;物理攻击_742;物理防御_396;法术攻击_633;法术防御_316;生命回复_8864;能量回复_275,,,蓝色+1,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_LanSe_01,bg_head_LanSe_01
100005_7,,100005_7,100005_8,6,700105,700018,700078,700161,700176,700093,,,,,,,,,,,,生命_11232;物理攻击_877;物理防御_468;法术攻击_748;法术防御_374;生命回复_10476;能量回复_325,,,蓝色+2,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_LanSe_02,bg_head_LanSe_02
100005_8,,100005_8,100005_9,7,700106,700019,700078,700161,700177,700093,,,,,,,,,,,,生命_12384;物理攻击_967;物理防御_516;法术攻击_825;法术防御_412;生命回复_11550;能量回复_358,,,蓝色+3,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_LanSe_03,bg_head_LanSe_03
100005_9,,100005_9,100005_10,8,700106,700019,700079,700161,700177,700093,,,,,,,,,,,,生命_13248;物理攻击_1035;物理防御_552;法术攻击_883;法术防御_441;生命回复_12356;能量回复_383,,,紫色,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ZiSe,bg_head_ZiSe
100005_10,,100005_10,100005_11,9,700107,700020,700079,700161,700177,700093,,,,,,,,,,,,生命_13824;物理攻击_1080;物理防御_576;法术攻击_921;法术防御_460;生命回复_12894;能量回复_400,,,紫色+1,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ZiSe_01,bg_head_ZiSe_01
100005_11,,100005_11,100005_12,10,700107,700020,700080,700162,700177,700094,,,,,,,,,,,,生命_14400;物理攻击_1125;物理防御_600;法术攻击_960;法术防御_480;生命回复_13431;能量回复_416,,,紫色+2,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ZiSe_02,bg_head_ZiSe_02
100005_12,,100005_12,100005_13,11,700108,700021,700080,700162,700178,700094,,,,,,,,,,,,生命_15264;物理攻击_1192;物理防御_636;法术攻击_1017;法术防御_508;生命回复_14237;能量回复_441,,,紫色+3,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ZiSe_03,bg_head_ZiSe_03
100005_13,,100005_13,100005_14,12,700108,700021,700081,700162,700178,700094,,,,,,,,,,,,生命_16128;物理攻击_1260;物理防御_672;法术攻击_1075;法术防御_537;生命回复_15043;能量回复_466,,,紫色+4,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ZiSe_04,bg_head_ZiSe_04
100005_14,,100005_14,100005_15,13,700109,700022,700081,700164,700178,700094,,,,,,,,,,,,生命_17280;物理攻击_1350;物理防御_720;法术攻击_1152;法术防御_576;生命回复_16117;能量回复_500,,,橙色,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ChengSe,bg_head_ChengSe
100005_15,,100005_15,100005_16,14,700109,700022,700082,700164,700178,700095,,,,,,,,,,,,生命_18720;物理攻击_1462;物理防御_780;法术攻击_1248;法术防御_624;生命回复_17460;能量回复_500,,,橙色+1,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ChengSe_01,bg_head_ChengSe_01
100005_16,,100005_16,100005_17,15,700110,700023,700082,700164,700179,700095,,,,,,,,,,,,生命_20160;物理攻击_1575;物理防御_840;法术攻击_1344;法术防御_672;生命回复_18803;能量回复_500,,,橙色+2,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ChengSe_02,bg_head_ChengSe_02
100005_17,,100005_17,100005_18,16,700110,700023,700083,700165,700179,700095,,,,,,,,,,,,生命_21600;物理攻击_1687;物理防御_900;法术攻击_1440;法术防御_720;生命回复_20146;能量回复_500,,,橙色+3,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ChengSe_03,bg_head_ChengSe_03
100005_18,,100005_18,100005_19,17,700111,700024,700083,700165,700180,700095,,,,,,,,,,,,生命_23040;物理攻击_1800;物理防御_960;法术攻击_1536;法术防御_768;生命回复_21490;能量回复_500,,,橙色+4,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ChengSe_04,bg_head_ChengSe_04
100005_19,,100005_19,100005_20,18,700111,700024,700084,700165,700180,700095,,,,,,,,,,,,生命_24480;物理攻击_1912;物理防御_1020;法术攻击_1632;法术防御_816;生命回复_22833;能量回复_500,,,橙色+5,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ChengSe_05,bg_head_ChengSe_05
101002_1,,101002_1,101002_2,,700100,700013,700073,700157,700174,700091,,,,,,,,,,,,生命_288;物理攻击_22;物理防御_12;法术攻击_19;法术防御_9;生命回复_268;能量回复_8,,,白色,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_BaiSe,bg_head_BaiSe
101002_2,,101002_2,101002_3,1,700101,700014,700074,700158,700174,700091,,,,,,,,,,,,生命_2880;物理攻击_225;物理防御_120;法术攻击_192;法术防御_96;生命回复_2686;能量回复_83,,,绿色,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_LvSe,bg_head_LvSe
101002_3,,101002_3,101002_4,2,700102,700015,700075,700158,700175,700091,,,,,,,,,,,,生命_5184;物理攻击_405;物理防御_216;法术攻击_345;法术防御_172;生命回复_4835;能量回复_150,,,绿色+1,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_LvSe_01,bg_head_LvSe_01
101002_4,,101002_4,101002_5,3,700103,700016,700076,700159,700175,700092,,,,,,,,,,,,生命_6912;物理攻击_540;物理防御_288;法术攻击_460;法术防御_230;生命回复_6447;能量回复_200,,,绿色+2,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_LvSe_02,bg_head_LvSe_02
101002_5,,101002_5,101002_6,4,700104,700017,700077,700160,700176,700092,,,,,,,,,,,,生命_8064;物理攻击_630;物理防御_336;法术攻击_537;法术防御_268;生命回复_7521;能量回复_233,,,蓝色,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_LanSe,bg_head_LanSe
101002_6,,101002_6,101002_7,5,700105,700018,700077,700160,700176,700092,,,,,,,,,,,,生命_9504;物理攻击_742;物理防御_396;法术攻击_633;法术防御_316;生命回复_8864;能量回复_275,,,蓝色+1,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_LanSe_01,bg_head_LanSe_01
101002_7,,101002_7,101002_8,6,700105,700018,700078,700161,700176,700093,,,,,,,,,,,,生命_11232;物理攻击_877;物理防御_468;法术攻击_748;法术防御_374;生命回复_10476;能量回复_325,,,蓝色+2,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_LanSe_02,bg_head_LanSe_02
101002_8,,101002_8,101002_9,7,700106,700019,700078,700161,700177,700093,,,,,,,,,,,,生命_12384;物理攻击_967;物理防御_516;法术攻击_825;法术防御_412;生命回复_11550;能量回复_358,,,蓝色+3,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_LanSe_03,bg_head_LanSe_03
101002_9,,101002_9,101002_10,8,700106,700019,700079,700161,700177,700093,,,,,,,,,,,,生命_13248;物理攻击_1035;物理防御_552;法术攻击_883;法术防御_441;生命回复_12356;能量回复_383,,,紫色,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ZiSe,bg_head_ZiSe
101002_10,,101002_10,101002_11,9,700107,700020,700079,700161,700177,700093,,,,,,,,,,,,生命_13824;物理攻击_1080;物理防御_576;法术攻击_921;法术防御_460;生命回复_12894;能量回复_400,,,紫色+1,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ZiSe_01,bg_head_ZiSe_01
101002_11,,101002_11,101002_12,10,700107,700020,700080,700162,700177,700094,,,,,,,,,,,,生命_14400;物理攻击_1125;物理防御_600;法术攻击_960;法术防御_480;生命回复_13431;能量回复_416,,,紫色+2,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ZiSe_02,bg_head_ZiSe_02
101002_12,,101002_12,101002_13,11,700108,700021,700080,700162,700178,700094,,,,,,,,,,,,生命_15264;物理攻击_1192;物理防御_636;法术攻击_1017;法术防御_508;生命回复_14237;能量回复_441,,,紫色+3,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ZiSe_03,bg_head_ZiSe_03
101002_13,,101002_13,101002_14,12,700108,700021,700081,700162,700178,700094,,,,,,,,,,,,生命_16128;物理攻击_1260;物理防御_672;法术攻击_1075;法术防御_537;生命回复_15043;能量回复_466,,,紫色+4,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ZiSe_04,bg_head_ZiSe_04
101002_14,,101002_14,101002_15,13,700109,700022,700081,700164,700178,700094,,,,,,,,,,,,生命_17280;物理攻击_1350;物理防御_720;法术攻击_1152;法术防御_576;生命回复_16117;能量回复_500,,,橙色,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ChengSe,bg_head_ChengSe
101002_15,,101002_15,101002_16,14,700109,700022,700082,700164,700178,700095,,,,,,,,,,,,生命_18720;物理攻击_1462;物理防御_780;法术攻击_1248;法术防御_624;生命回复_17460;能量回复_500,,,橙色+1,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ChengSe_01,bg_head_ChengSe_01
101002_16,,101002_16,101002_17,15,700110,700023,700082,700164,700179,700095,,,,,,,,,,,,生命_20160;物理攻击_1575;物理防御_840;法术攻击_1344;法术防御_672;生命回复_18803;能量回复_500,,,橙色+2,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ChengSe_02,bg_head_ChengSe_02
101002_17,,101002_17,101002_18,16,700110,700023,700083,700165,700179,700095,,,,,,,,,,,,生命_21600;物理攻击_1687;物理防御_900;法术攻击_1440;法术防御_720;生命回复_20146;能量回复_500,,,橙色+3,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ChengSe_03,bg_head_ChengSe_03
101002_18,,101002_18,101002_19,17,700111,700024,700083,700165,700180,700095,,,,,,,,,,,,生命_23040;物理攻击_1800;物理防御_960;法术攻击_1536;法术防御_768;生命回复_21490;能量回复_500,,,橙色+4,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ChengSe_04,bg_head_ChengSe_04
101002_19,,101002_19,101002_20,18,700111,700024,700084,700165,700180,700095,,,,,,,,,,,,生命_24480;物理攻击_1912;物理防御_1020;法术攻击_1632;法术防御_816;生命回复_22833;能量回复_500,,,橙色+5,力士,物理力士1,JiaoBiao_ZhanShi_01,bg_head_ChengSe_05,bg_head_ChengSe_05
100002_1,,100002_1,100002_2,,700124,700001,700073,700157,700174,700091,,,,,,,,,,,,生命_160;物理攻击_30;物理防御_10;法术攻击_24;法术防御_8;生命回复_149;能量回复_8,,,白色,行者,物理行者3,JiaoBiao_CiKe_01,bg_head_BaiSe,bg_head_BaiSe
100002_2,,100002_2,100002_3,1,700125,700002,700074,700158,700174,700091,,,,,,,,,,,,生命_1600;物理攻击_300;物理防御_100;法术攻击_240;法术防御_80;生命回复_1492;能量回复_83,,,绿色,行者,物理行者3,JiaoBiao_CiKe_01,bg_head_LvSe,bg_head_LvSe
100002_3,,100002_3,100002_4,2,700126,700003,700075,700158,700175,700091,,,,,,,,,,,,生命_2880;物理攻击_540;物理防御_180;法术攻击_432;法术防御_144;生命回复_2686;能量回复_150,,,绿色+1,行者,物理行者3,JiaoBiao_CiKe_01,bg_head_LvSe_01,bg_head_LvSe_01
100002_4,,100002_4,100002_5,3,700127,700004,700076,700159,700175,700092,,,,,,,,,,,,生命_3840;物理攻击_720;物理防御_240;法术攻击_576;法术防御_192;生命回复_3581;能量回复_200,,,绿色+2,行者,物理行者3,JiaoBiao_CiKe_01,bg_head_LvSe_02,bg_head_LvSe_02
100002_5,,100002_5,100002_6,4,700128,700005,700077,700160,700176,700092,,,,,,,,,,,,生命_4480;物理攻击_840;物理防御_280;法术攻击_672;法术防御_224;生命回复_4178;能量回复_233,,,蓝色,行者,物理行者3,JiaoBiao_CiKe_01,bg_head_LanSe,bg_head_LanSe
100002_6,,100002_6,100002_7,5,700129,700006,700077,700160,700176,700092,,,,,,,,,,,,生命_5280;物理攻击_990;物理防御_330;法术攻击_792;法术防御_264;生命回复_4924;能量回复_275,,,蓝色+1,行者,物理行者3,JiaoBiao_CiKe_01,bg_head_LanSe_01,bg_head_LanSe_01
100002_7,,100002_7,100002_8,6,700129,700006,700078,700161,700176,700093,,,,,,,,,,,,生命_6240;物理攻击_1170;物理防御_390;法术攻击_936;法术防御_312;生命回复_5820;能量回复_325,,,蓝色+2,行者,物理行者3,JiaoBiao_CiKe_01,bg_head_LanSe_02,bg_head_LanSe_02
100002_8,,100002_8,100002_9,7,700130,700007,700078,700161,700177,700093,,,,,,,,,,,,生命_6880;物理攻击_1290;物理防御_430;法术攻击_1032;法术防御_344;生命回复_6417;能量回复_358,,,蓝色+3,行者,物理行者3,JiaoBiao_CiKe_01,bg_head_LanSe_03,bg_head_LanSe_03
100002_9,,100002_9,100002_10,8,700130,700007,700079,700161,700177,700093,,,,,,,,,,,,生命_7360;物理攻击_1380;物理防御_460;法术攻击_1104;法术防御_368;生命回复_6864;能量回复_383,,,紫色,行者,物理行者3,JiaoBiao_CiKe_01,bg_head_ZiSe,bg_head_ZiSe
100002_10,,100002_10,100002_11,9,700131,700008,700079,700161,700177,700093,,,,,,,,,,,,生命_7680;物理攻击_1440;物理防御_480;法术攻击_1152;法术防御_384;生命回复_7163;能量回复_400,,,紫色+1,行者,物理行者3,JiaoBiao_CiKe_01,bg_head_ZiSe_01,bg_head_ZiSe_01
100002_11,,100002_11,100002_12,10,700131,700008,700080,700162,700177,700094,,,,,,,,,,,,生命_8000;物理攻击_1500;物理防御_500;法术攻击_1200;法术防御_400;生命回复_7461;能量回复_416,,,紫色+2,行者,物理行者3,JiaoBiao_CiKe_01,bg_head_ZiSe_02,bg_head_ZiSe_02
100002_12,,100002_12,100002_13,11,700132,700009,700080,700162,700178,700094,,,,,,,,,,,,生命_8480;物理攻击_1590;物理防御_530;法术攻击_1272;法术防御_424;生命回复_7909;能量回复_441,,,紫色+3,行者,物理行者3,JiaoBiao_CiKe_01,bg_head_ZiSe_03,bg_head_ZiSe_03
100002_13,,100002_13,100002_14,12,700132,700009,700081,700162,700178,700094,,,,,,,,,,,,生命_8960;物理攻击_1680;物理防御_560;法术攻击_1344;法术防御_448;生命回复_8357;能量回复_466,,,紫色+4,行者,物理行者3,JiaoBiao_CiKe_01,bg_head_ZiSe_04,bg_head_ZiSe_04
