Key,Remarks,id,cost,composeType,mate1Type,mate1Id,mate1Count,mate2Type,mate2Id,mate2Count,mate3Type,mate3Id,mate3Count,mate4Type,mate4Id,mate4Count,mate5Type,mate5Id,mate5Count
800026,,800026,40500,,1,800025,2,,,,,,,,,,,,
800027,,800027,121500,,1,800026,2,,,,,,,,,,,,
800028,,800028,364500,,1,800027,2,,,,,,,,,,,,
800029,,800029,1093500,,1,800028,2,,,,,,,,,,,,
800032,,800032,500,,1,800031,2,,,,,,,,,,,,
800033,,800033,1500,,1,800032,2,,,,,,,,,,,,
800034,,800034,4500,,1,800033,2,,,,,,,,,,,,
800035,,800035,13500,,1,800034,2,,,,,,,,,,,,
800036,,800036,40500,,1,800035,2,,,,,,,,,,,,
800037,,800037,121500,,1,800036,2,,,,,,,,,,,,
800038,,800038,364500,,1,800037,2,,,,,,,,,,,,
800039,,800039,1093500,,1,800038,2,,,,,,,,,,,,
800042,,800042,500,,1,800041,2,,,,,,,,,,,,
800043,,800043,1500,,1,800042,2,,,,,,,,,,,,
800044,,800044,4500,,1,800043,2,,,,,,,,,,,,
800045,,800045,13500,,1,800044,2,,,,,,,,,,,,
800046,,800046,40500,,1,800045,2,,,,,,,,,,,,
800047,,800047,121500,,1,800046,2,,,,,,,,,,,,
800048,,800048,364500,,1,800047,2,,,,,,,,,,,,
800049,,800049,1093500,,1,800048,2,,,,,,,,,,,,
800052,,800052,500,,1,800051,2,,,,,,,,,,,,
800053,,800053,1500,,1,800052,2,,,,,,,,,,,,
800054,,800054,4500,,1,800053,2,,,,,,,,,,,,
800055,,800055,13500,,1,800054,2,,,,,,,,,,,,
800056,,800056,40500,,1,800055,2,,,,,,,,,,,,
800057,,800057,121500,,1,800056,2,,,,,,,,,,,,
800058,,800058,364500,,1,800057,2,,,,,,,,,,,,
800059,,800059,1093500,,1,800058,2,,,,,,,,,,,,
800062,,800062,500,,1,800061,2,,,,,,,,,,,,
800063,,800063,1500,,1,800062,2,,,,,,,,,,,,
800064,,800064,4500,,1,800063,2,,,,,,,,,,,,
800065,,800065,13500,,1,800064,2,,,,,,,,,,,,
800066,,800066,40500,,1,800065,2,,,,,,,,,,,,
800067,,800067,121500,,1,800066,2,,,,,,,,,,,,
800068,,800068,364500,,1,800067,2,,,,,,,,,,,,
800069,,800069,1093500,,1,800068,2,,,,,,,,,,,,
700196,,700196,10850,,1,702196,150,,,,,,,,,,,,
700195,,700195,7550,,1,702195,60,,,,,,,,,,,,
700194,,700194,4850,,1,702194,55,,,,,,,,,,,,
700193,,700193,3725,,1,702193,50,,,,,,,,,,,,
700192,,700192,1925,,1,702192,5,,,,,,,,,,,,
700191,,700191,1250,,1,702191,10,,,,,,,,,,,,
700188,,700188,9125,,1,702188,120,,,,,,,,,,,,
700187,,700187,7550,,1,702187,60,,,,,,,,,,,,
700186,,700186,6125,,1,702186,45,,,,,,,,,,,,
700185,,700185,4850,,1,702185,55,,,,,,,,,,,,
700184,,700184,2750,,1,702184,15,,,,,,,,,,,,
700183,,700183,1925,,1,702183,5,,,,,,,,,,,,
700180,,700180,10850,,1,702180,150,,,,,,,,,,,,
700179,,700179,9125,,1,702179,120,,,,,,,,,,,,
700178,,700178,6125,,1,702178,45,,,,,,,,,,,,
700177,,700177,3725,,1,702177,50,,,,,,,,,,,,
700176,,700176,1925,,1,702176,5,,,,,,,,,,,,
700173,,700173,9225,,1,702173,120,,,,,,,,,,,,
700172,,700172,7650,,1,702172,65,,,,,,,,,,,,
700170,,700170,3825,,1,702170,55,,,,,,,,,,,,
700169,,700169,2025,,1,702169,5,,,,,,,,,,,,
700165,,700165,10950,,1,702165,150,,,,,,,,,,,,
700164,,700164,9225,,1,702164,120,,,,,,,,,,,,
700159,,700159,1350,,1,702159,10,,,,,,,,,,,,
700156,,700156,10950,,1,702156,150,,,,,,,,,,,,
700155,,700155,9225,,1,702155,120,,,,,,,,,,,,
700153,,700153,4950,,1,702153,60,,,,,,,,,,,,
700147,,700147,11050,,1,702147,150,,,,,,,,,,,,
700146,,700146,9325,,1,702146,120,,,,,,,,,,,,
700145,,700145,7750,,1,702145,85,,,,,,,,,,,,
700141,,700141,2950,,1,702141,30,,,,,,,,,,,,
700140,,700140,2125,,1,702140,5,,,,,,,,,,,,
700135,,700135,11050,,1,702135,150,,,,,,,,,,,,
700134,,700134,9325,,1,702134,120,,,,,,,,,,,,
700133,,700133,7750,,1,702133,85,,,,,,,,,,,,
700123,,700123,11050,,1,702123,150,,,,,,,,,,,,
700122,,700122,9325,,1,702122,120,,,,,,,,,,,,
700121,,700121,7750,,1,702121,85,,,,,,,,,,,,
700111,,700111,11050,,1,702111,150,,,,,,,,,,,,
700110,,700110,9325,,1,702110,120,,,,,,,,,,,,
700109,,700109,7750,,1,702109,85,,,,,,,,,,,,
700106,,700106,3925,,1,702106,50,,,,,,,,,,,,
700103,,700103,1450,,1,702103,10,,,,,,,,,,,,
700099,,700099,10800,,1,702099,150,,,,,,,,,,,,
700095,,700095,10800,,1,702095,150,,,,,,,,,,,,
700090,,700090,10900,,1,702090,150,,,,,,,,,,,,
700089,,700089,9175,,1,702089,120,,,,,,,,,,,,
700088,,700088,7600,,1,702088,80,,,,,,,,,,,,
700087,,700087,6175,,1,702087,60,,,,,,,,,,,,
700084,,700084,10900,,1,702084,150,,,,,,,,,,,,
700083,,700083,9175,,1,702083,120,,,,,,,,,,,,
700082,,700082,7600,,1,702082,80,,,,,,,,,,,,
700072,,700072,10900,,1,702072,150,,,,,,,,,,,,
700071,,700071,9175,,1,702071,120,,,,,,,,,,,,
700070,,700070,7600,,1,702070,80,,,,,,,,,,,,
700067,,700067,3775,,1,702067,65,,,,,,,,,,,,
700068,,700068,4900,,1,702068,55,,,,,,,,,,,,
700065,,700065,1975,,1,702065,5,,,,,,,,,,,,
700060,,700060,11000,,1,702060,150,,,,,,,,,,,,
700059,,700059,9275,,1,702059,120,,,,,,,,,,,,
700058,,700058,7700,,1,702058,90,,,,,,,,,,,,
700054,,700054,11000,,1,702054,150,,,,,,,,,,,,
700053,,700053,9275,,1,702053,120,,,,,,,,,,,,
700052,,700052,7700,,1,702052,90,,,,,,,,,,,,
700049,,700049,3875,,1,702049,50,,,,,,,,,,,,
700048,,700048,11000,,1,702048,150,,,,,,,,,,,,
700047,,700047,9275,,1,702047,120,,,,,,,,,,,,
700046,,700046,7700,,1,702046,90,,,,,,,,,,,,
700041,,700041,2075,,1,702041,10,,,,,,,,,,,,
700036,,700036,11000,,1,702036,150,,,,,,,,,,,,
700035,,700035,9275,,1,702035,120,,,,,,,,,,,,
700034,,700034,7700,,1,702034,90,,,,,,,,,,,,
700031,,700031,3875,,1,702031,75,,,,,,,,,,,,
700024,,700024,11000,,1,702024,150,,,,,,,,,,,,
700023,,700023,9275,,1,702023,120,,,,,,,,,,,,
700022,,700022,7700,,1,702022,90,,,,,,,,,,,,
700012,,700012,11000,,1,702012,150,,,,,,,,,,,,
700011,,700011,9275,,1,702011,120,,,,,,,,,,,,
700010,,700010,7700,,1,702010,90,,,,,,,,,,,,
700006,,700006,2900,,1,702006,10,,,,,,,,,,,,
700004,,700004,1400,,1,702004,10,,,,,,,,,,,,
700056,,700056,5000,,1,702056,40,1,,1,1,,,,,,,,
703144,,703144,1265,,1,707144,35,,,,,,,,,,,,
703143,,703143,1010,,1,707143,15,,,,,,,,,,,,
703142,,703142,785,,1,707142,50,,,,,,,,,,,,
703139,,703139,290,,1,707139,5,,,,,,,,,,,,
703132,,703132,1265,,1,707132,5,,,,,,,,,,,,
703131,,703131,1010,,1,707131,20,,,,,,,,,,,,
703130,,703130,785,,1,707130,35,,,,,,,,,,,,
703129,,703129,590,,1,707129,30,,,,,,,,,,,,
703128,,703128,425,,1,707128,5,,,,,,,,,,,,
703127,,703127,290,,1,707127,5,,,,,,,,,,,,
703120,,703120,1265,,1,707120,5,,,,,,,,,,,,
703119,,703119,1010,,1,707119,20,,,,,,,,,,,,
703118,,703118,785,,1,707118,40,,,,,,,,,,,,
703117,,703117,590,,1,707117,5,,,,,,,,,,,,
703116,,703116,425,,1,707116,5,,,,,,,,,,,,
703115,,703115,290,,1,707115,5,,,,,,,,,,,,
703108,,703108,1265,,1,707108,40,,,,,,,,,,,,
703107,,703107,1010,,1,707107,30,,,,,,,,,,,,
703105,,703105,590,,1,707105,15,,,,,,,,,,,,
703104,,703104,425,,1,707104,5,,,,,,,,,,,,
703098,,703098,1215,,1,707098,60,,,,,,,,,,,,
703097,,703097,735,,1,707097,60,,,,,,,,,,,,
703096,,703096,240,,1,707096,10,,,,,,,,,,,,
703094,,703094,1215,,1,707094,60,,,,,,,,,,,,
703093,,703093,735,,1,707093,60,,,,,,,,,,,,
703092,,703092,240,,1,707092,10,,,,,,,,,,,,
703057,,703057,1255,,1,707057,25,,,,,,,,,,,,
703055,,703055,775,,1,707055,15,,,,,,,,,,,,
703051,,703051,1255,,1,707051,45,,,,,,,,,,,,
703050,,703050,1000,,1,707050,25,,,,,,,,,,,,
703045,,703045,1255,,1,707045,35,,,,,,,,,,,,
703044,,703044,1000,,1,707044,5,,,,,,,,,,,,
703043,,703043,775,,1,707043,40,,,,,,,,,,,,
703042,,703042,580,,1,707042,20,,,,,,,,,,,,
703040,,703040,280,,1,707040,5,,,,,,,,,,,,
703033,,703033,1255,,1,707033,45,,,,,,,,,,,,
703032,,703032,1000,,1,707032,25,,,,,,,,,,,,
703030,,703030,580,,1,707030,20,,,,,,,,,,,,
703029,,703029,415,,1,707029,5,,,,,,,,,,,,
703028,,703028,280,,1,707028,5,,,,,,,,,,,,
703021,,703021,1255,,1,707021,5,,,,,,,,,,,,
703020,,703020,1000,,1,707020,5,,,,,,,,,,,,
703019,,703019,775,,1,707019,40,,,,,,,,,,,,
703018,,703018,580,,1,707018,20,,,,,,,,,,,,
703017,,703017,415,,1,707017,5,,,,,,,,,,,,
703016,,703016,280,,1,707016,5,,,,,,,,,,,,
703009,,703009,1255,,1,707009,65,,,,,,,,,,,,
703008,,703008,1000,,1,707008,20,,,,,,,,,,,,
703007,,703007,775,,1,707007,40,,,,,,,,,,,,
703005,,703005,415,,1,707005,5,,,,,,,,,,,,
700144,,700144,6325,1,,703144,1,1,700143,1,1,700162,1,,,,,,
700143,,700143,5050,1,,703143,1,1,700142,1,1,700079,1,,,,,,
700142,,700142,3925,1,,703142,1,1,700141,1,1,700192,1,,,,,,
700139,,700139,1450,1,,703139,1,1,700138,1,1,700190,1,,,,,,
700132,,700132,6325,1,,703132,1,1,700143,1,1,700194,1,1,700153,1,,,
700131,,700131,5050,1,,703131,1,1,700106,1,1,700170,1,,,,,,
700130,,700130,3925,1,,703130,1,1,700141,1,1,700184,1,,,,,,
700129,,700129,2950,1,,703129,1,1,700140,1,1,700183,1,1,700159,1,,,
700128,,700128,2125,1,,703128,1,1,700139,1,1,700150,1,,,,,,
700127,,700127,1450,1,,703127,1,1,700102,1,1,700158,1,,,,,,
700120,,700120,6325,1,,703120,1,1,700107,1,1,700185,1,1,700153,1,,,
700119,,700119,5050,1,,703119,1,1,700106,1,1,700161,1,,,,,,
700118,,700118,3925,1,,703118,1,1,700105,1,1,700152,1,,,,,,
700117,,700117,2950,1,,703117,1,1,700128,1,1,700176,1,1,700151,1,,,
700116,,700116,2125,1,,703116,1,1,700103,1,1,700168,1,,,,,,
700115,,700115,1450,1,,703115,1,1,700138,1,1,700175,1,,,,,,
700108,,700108,6325,1,,703108,1,1,700107,1,1,700153,1,,,,,,
700107,,700107,5050,1,,703107,1,1,700170,1,1,700177,1,,,,,,
700105,,700105,2950,1,,703105,1,1,700104,1,1,700151,1,,,,,,
700104,,700104,2125,1,,703104,1,1,700103,1,1,700150,1,,,,,,
700098,,700098,6075,1,,703098,1,1,700097,1,1,,,,,,,,
700097,,700097,3675,1,,703097,1,1,700096,1,1,,,,,,,,
700096,,700096,1200,1,,703096,1,1,700091,1,1,,,,,,,,
700094,,700094,6075,1,,703094,1,1,700093,1,1,,,,,,,,
700093,,700093,3675,1,,703093,1,1,700092,1,1,,,,,,,,
700092,,700092,1200,1,,703092,1,1,700091,1,1,,,,,,,,
700057,,700057,6275,1,,703057,1,1,700056,1,1,700162,1,,,,,,
700055,,700055,3875,1,,703055,1,1,700042,1,1,700184,1,,,,,,
700051,,700051,6275,1,,703051,1,1,700056,1,1,700153,1,,,,,,
700050,,700050,5000,1,,703050,1,1,700049,1,1,700161,1,,,,,,
700045,,700045,6275,1,,703045,1,1,700050,1,1,700068,1,,,,,,
700044,,700044,5000,1,,703044,1,1,700049,1,1,700193,1,1,700170,1,,,
700043,,700043,3875,1,,703043,1,1,700006,1,1,700078,1,,,,,,
700042,,700042,2900,1,,703042,1,1,700005,1,1,700192,1,,,,,,
700040,,700040,1400,1,,703040,1,1,700039,1,1,700063,1,,,,,,
700033,,700033,6275,1,,703033,1,1,700056,1,1,700162,1,,,,,,
700032,,700032,5000,1,,703032,1,1,700031,1,1,700161,1,,,,,,
700030,,700030,2900,1,,703030,1,1,700041,1,1,700065,1,,,,,,
700029,,700029,2075,1,,703029,1,1,700004,1,1,700182,1,,,,,,
700028,,700028,1400,1,,703028,1,1,700003,1,1,700063,1,,,,,,
700021,,700021,6275,1,,703021,1,1,700008,1,1,700194,1,1,700153,1,,,
700020,,700020,5000,1,,703020,1,1,700031,1,1,700177,1,1,700161,1,,,
700019,,700019,3875,1,,703019,1,1,700006,1,1,700078,1,,,,,,
700018,,700018,2900,1,,703018,1,1,700041,1,1,700065,1,,,,,,
700017,,700017,2075,1,,703017,1,1,700004,1,1,700076,1,1,700175,1,,,
700016,,700016,1400,1,,703016,1,1,700003,1,1,700063,1,,,,,,
700009,,700009,6275,1,,703009,1,1,700008,1,1,,,,,,,,
700008,,700008,5000,1,,703008,1,1,700007,1,1,700067,1,,,,,,
700007,,700007,3875,1,,703007,1,1,700006,1,1,700066,1,,,,,,
700005,,700005,2075,1,,703005,1,1,700004,1,1,700191,1,,,,,,
700171,,700171,4950,1,,700193,1,1,700170,1,,,,,,,,,
700168,,700168,1350,1,,700182,1,1,700149,1,,,,,,,,,
700163,,700163,6225,1,,700194,1,1,700171,1,,,,,,,,,
700162,,700162,4950,1,,700177,1,1,700170,1,,,,,,,,,
700161,,700161,3825,1,,700184,1,1,700160,1,,,,,,,,,
700160,,700160,2850,1,,700183,1,1,700169,1,,,,,,,,,
700154,,700154,6225,1,,700185,1,1,700171,1,,,,,,,,,
700152,,700152,2850,1,,700183,1,1,700169,1,,,,,,,,,
700151,,700151,2025,1,,700175,1,1,700159,1,,,,,,,,,
700150,,700150,1350,1,,700182,1,1,700167,1,,,,,,,,,
700086,,700086,4900,1,,700067,1,1,700193,1,,,,,,,,,
700085,,700085,3775,1,,700078,1,1,700152,1,,,,,,,,,
700081,,700081,6175,1,,700080,1,1,700185,1,,,,,,,,,
700080,,700080,4900,1,,700067,1,1,700193,1,,,,,,,,,
700079,,700079,3775,1,,700066,1,1,700184,1,,,,,,,,,
700078,,700078,2800,1,,700077,1,1,700176,1,,,,,,,,,
700077,,700077,1975,1,,700064,1,1,700191,1,,,,,,,,,
700076,,700076,1300,1,,700075,1,1,700182,1,,,,,,,,,
700069,,700069,6175,1,,700080,1,1,700185,1,,,,,,,,,
700066,,700066,2800,1,,700065,1,1,700192,1,,,,,,,,,
700064,,700064,1300,1,,700075,1,1,700158,1,,,,,,,,,
602101,,602101,11250,,1,605001,30,,,,,,,,,,,,
602102,,602102,11250,,1,605002,30,,,,,,,,,,,,
602103,,602103,11250,,1,605003,30,,,,,,,,,,,,
602104,,602104,11250,,1,605004,30,,,,,,,,,,,,
602201,,602201,11250,,1,605101,30,,,,,,,,,,,,
602202,,602202,11250,,1,605102,30,,,,,,,,,,,,
602203,,602203,11250,,1,605103,30,,,,,,,,,,,,
602204,,602204,11250,,1,605104,30,,,,,,,,,,,,
602105,,602105,11250,,1,605005,30,,,,,,,,,,,,
602106,,602106,11250,,1,605006,30,,,,,,,,,,,,
602107,,602107,11250,,1,605007,30,,,,,,,,,,,,
602108,,602108,11250,,1,605008,30,,,,,,,,,,,,
602205,,602205,11250,,1,605105,30,,,,,,,,,,,,
602206,,602206,11250,,1,605106,30,,,,,,,,,,,,
602207,,602207,11250,,1,605107,30,,,,,,,,,,,,
602208,,602208,11250,,1,605108,30,,,,,,,,,,,,
