key,Remarks,times,needPurse,coin,critPercent1,critPercent2,critPercent3,critPercent4,critPercent5,critPercent6,critPercent7,critPercent8,critPercent9,critPercent10
34,,34,250,23300,1500,1500,1500,1500,1500,1500,1500,1500,550,1
35,,35,260,23400,1500,1500,1500,1500,1500,1500,1500,1500,550,1
36,,36,270,23500,1500,1500,1500,1500,1500,1500,1500,1500,550,1
37,,37,280,23600,1500,1500,1500,1500,1500,1500,1500,1500,550,1
38,,38,290,23700,1500,1500,1500,1500,1500,1500,1500,1500,550,1
39,,39,300,23800,1500,1500,1500,1500,1500,1500,1500,1500,600,1
40,,40,310,23900,1500,1500,1500,1500,1500,1500,1500,1500,600,1
41,,41,320,24000,1500,1500,1500,1500,1500,1500,1500,1500,600,1
42,,42,330,24100,1500,1500,1500,1500,1500,1500,1500,1500,600,1
43,,43,340,24200,1500,1500,1500,1500,1500,1500,1500,1500,600,1
44,,44,350,24300,1500,1500,1500,1500,1500,1500,1500,1500,600,1
45,,45,360,24400,1500,1500,1500,1500,1500,1500,1500,1500,600,1
46,,46,370,24500,1500,1500,1500,1500,1500,1500,1500,1500,600,1
47,,47,380,24600,1500,1500,1500,1500,1500,1500,1500,1500,620,1
48,,48,390,24700,1500,1500,1500,1500,1500,1500,1500,1500,620,1
49,,49,400,24800,1500,1500,1500,1500,1500,1500,1500,1500,620,1
50,,50,410,24900,1500,1500,1500,1500,1500,1500,1500,1500,620,1
51,,51,420,25000,1500,1500,1500,1500,1500,1500,1500,1500,620,1
52,,52,430,25000,1500,1500,1500,1500,1500,1500,1500,1500,660,1
53,,53,440,25000,1500,1500,1500,1500,1500,1500,1500,1500,740,1
54,,54,450,25000,1500,1500,1500,1500,1500,1500,1500,1500,780,1
55,,55,460,25000,1500,1500,1500,1500,1500,1500,1500,1500,850,1
56,,56,470,25000,1500,1500,1500,1500,1500,1500,1500,1500,920,1
57,,57,480,25000,1500,1500,1500,1500,1500,1500,1500,1500,980,1
58,,58,490,25000,1500,1500,1500,1500,1500,1500,1500,1500,1000,1
59,,59,500,25000,1500,1500,1500,1500,1500,1500,1500,1500,1100,1
60,,60,510,25000,1500,1500,1500,1500,1500,1500,1500,1500,1180,1
61,,61,520,25000,1500,1500,1500,1500,1500,1500,1500,1500,1250,1
62,,62,530,25000,1500,1500,1500,1500,1500,1500,1500,1500,1300,1
63,,63,540,25000,1500,1500,1500,1500,1500,1500,1500,1500,1350,1
64,,64,550,25000,1500,1500,1500,1500,1500,1500,1500,1500,1420,1
65,,65,560,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1
66,,66,570,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,50
67,,67,580,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,100
68,,68,590,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,160
69,,69,600,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,220
70,,70,610,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,280
71,,71,620,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,340
72,,72,630,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,400
73,,73,640,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,460
74,,74,650,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,510
75,,75,660,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,570
76,,76,670,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,630
77,,77,680,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,690
78,,78,690,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,750
79,,79,700,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,800
80,,80,710,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,850
81,,81,720,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,920
82,,82,730,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000
83,,83,740,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1050
84,,84,750,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1100
85,,85,760,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1180
86,,86,770,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1250
87,,87,780,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1300
88,,88,790,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1360
89,,89,800,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1420
90,,90,810,25000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
91,,91,820,25000,1450,1500,1500,1500,1500,1500,1500,1500,1500,1500
92,,92,830,25000,1380,1500,1500,1500,1500,1500,1500,1500,1500,1500
93,,93,840,25000,1310,1500,1500,1500,1500,1500,1500,1500,1500,1500
94,,94,850,25000,1240,1500,1500,1500,1500,1500,1500,1500,1500,1500
95,,95,860,25000,1170,1500,1500,1500,1500,1500,1500,1500,1500,1500
96,,96,870,25000,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
97,,97,880,25000,1040,1500,1500,1500,1500,1500,1500,1500,1500,1500
98,,98,890,25000,970,1500,1500,1500,1500,1500,1500,1500,1500,1500
99,,99,900,25000,910,1500,1500,1500,1500,1500,1500,1500,1500,1500
100,,100,910,25000,850,1500,1500,1500,1500,1500,1500,1500,1500,1500
101,,101,920,25000,790,1500,1500,1500,1500,1500,1500,1500,1500,1500
102,,102,930,25000,730,1500,1500,1500,1500,1500,1500,1500,1500,1500
103,,103,940,25000,670,1500,1500,1500,1500,1500,1500,1500,1500,1500
104,,104,950,25000,610,1500,1500,1500,1500,1500,1500,1500,1500,1500
105,,105,960,25000,550,1500,1500,1500,1500,1500,1500,1500,1500,1500
106,,106,970,25000,490,1500,1500,1500,1500,1500,1500,1500,1500,1500
107,,107,980,25000,430,1500,1500,1500,1500,1500,1500,1500,1500,1500
108,,108,990,25000,380,1500,1500,1500,1500,1500,1500,1500,1500,1500
109,,109,1000,25000,320,1500,1500,1500,1500,1500,1500,1500,1500,1500
110,,110,1000,25000,280,1500,1500,1500,1500,1500,1500,1500,1500,1500
111,,111,1000,25000,210,1500,1500,1500,1500,1500,1500,1500,1500,1500
112,,112,1000,25000,160,1500,1500,1500,1500,1500,1500,1500,1500,1500
113,,113,1000,25000,100,1500,1500,1500,1500,1500,1500,1500,1500,1500
114,,114,1000,25000,50,1500,1500,1500,1500,1500,1500,1500,1500,1500
115,,115,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
116,,116,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
117,,117,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
118,,118,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
119,,119,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
120,,120,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
121,,121,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
122,,122,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
123,,123,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
124,,124,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
125,,125,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
126,,126,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
127,,127,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
128,,128,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
129,,129,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
130,,130,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
131,,131,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
132,,132,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
133,,133,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
134,,134,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
135,,135,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
136,,136,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
137,,137,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
138,,138,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
139,,139,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
140,,140,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
141,,141,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
142,,142,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
143,,143,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
144,,144,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
145,,145,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
146,,146,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
147,,147,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
148,,148,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
149,,149,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
150,,150,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
151,,151,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
152,,152,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
153,,153,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
154,,154,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
155,,155,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
156,,156,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
157,,157,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
158,,158,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
159,,159,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
160,,160,1000,25000,10,1500,1500,1500,1500,1500,1500,1500,1500,1500
