Key,Remarks,level,VIP,id,jubaoNorRewards,jubaoNorCost,lianqiNorRewards,lianqiNorCost,penglaiNorRewards,penglaiNorCost,kunlunNorRewards,kunlunNorCost,wanxianNorRewards,wanxianNorCost,fengshenNorRewards,fengshenNorCost,qiankunNorRewards,qiankunNorCost,xinmo1NorRewards,xinmo1NorCost,xinmo2NorRewards,xinmo2NorCost,xinmo3NorRewards,xinmo3NorCost,xinmo4NorRewards,xinmo4NorCost,xinmo5NorRewards,xinmo5NorCost,xinmo6NorRewards,xinmo6NorCost
53,,53,0~1,53,1:70000,53,803003:50,300,702054:5;702179:5,150,702053:5;702187:5,150,1:500000;6:960,478,10:26,557,801002:61,183,14:50,38,14:50,38,14:50,38,14:50,38,14:0,,14:0,
54,,54,0~1,54,1:70000,53,803003:65,390,702054:5;702179:5,150,702053:5;702187:5,150,1:500000;6:960,478,10:29,599,801002:65,195,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:0,
55,,55,0~1,55,1:70000,53,803003:65,390,702054:5;702179:5,150,702053:5;702187:5,150,1:500000;6:960,478,10:31,662,801002:67,201,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:0,
56,,56,0~1,56,1:70000,53,803003:65,390,702054:5;702179:5,150,702053:5;702187:5,150,1:500000;6:960,478,10:31,662,801002:70,210,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:0,
57,,57,0~1,57,1:70000,53,803003:65,390,702054:5;702179:5,150,702053:5;702187:5,150,1:500000;6:960,478,10:34,725,801002:74,222,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:0,
58,,58,0~1,58,1:70000,53,803003:65,390,702054:5;702179:5,150,702053:5;702187:5,150,1:500000;6:960,478,10:37,777,801002:78,234,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:0,
59,,59,0~1,59,1:70000,53,803003:65,390,702054:5;702179:5,150,702053:5;702187:5,150,1:500000;6:960,478,10:37,777,801002:81,243,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
60,,60,0~1,60,1:70000,53,803003:65,390,702155:3;702193:3,90,702164:3;702188:3,90,1:500000;6:960,478,10:40,840,801002:84,252,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
61,,61,0~1,61,1:70000,53,803003:65,390,702155:3;702193:3,90,702164:3;702188:3,90,1:500000;6:960,478,10:43,903,801002:88,264,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
62,,62,0~1,62,1:70000,53,803003:65,390,702155:3;702193:3,90,702164:3;702188:3,90,1:500000;6:960,478,10:43,903,801002:91,273,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
63,,63,0~1,63,1:70000,53,803003:65,390,702155:3;702193:3,90,702164:3;702188:3,90,1:500000;6:960,478,10:46,956,801002:95,285,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
64,,64,0~1,64,1:70000,53,803003:85,510,702155:3;702193:3,90,702164:3;702188:3,90,1:500000;6:960,478,10:49,1019,801002:98,294,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
65,,65,0~1,65,1:70000,53,803003:85,510,702155:3;702193:3,90,702164:3;702188:3,90,1:500000;6:960,478,10:49,1019,801002:102,306,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
66,,66,0~1,66,1:70000,53,803003:85,510,702155:3;702193:3,90,702164:3;702188:3,90,1:500000;6:960,478,10:51,1082,801002:106,318,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
67,,67,0~1,67,1:70000,53,803003:85,510,702155:3;702193:3,90,702164:3;702188:3,90,1:500000;6:960,478,10:56,1166,801002:110,330,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
68,,68,0~1,68,1:70000,53,803003:85,510,702155:3;702193:3,90,702164:3;702188:3,90,1:500000;6:960,478,10:56,1166,801002:114,342,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
69,,69,0~1,69,1:70000,53,803003:85,510,702155:3;702193:3,90,702164:3;702188:3,90,1:500000;6:960,478,10:60,1260,801002:118,354,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
70,,70,0~1,70,1:70000,53,803003:85,510,702155:3;702193:3,90,702164:3;702188:3,90,1:500000;6:960,478,10:64,1355,801002:122,366,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
71,,71,0~1,71,1:70000,53,803003:85,510,702155:3;702193:3,90,702164:3;702188:3,90,1:500000;6:960,478,10:64,1355,801002:126,378,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
72,,72,0~1,72,1:70000,53,803003:85,510,702155:3;702193:3,90,702164:3;702188:3,90,1:500000;6:960,478,10:69,1439,801002:130,390,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
73,,73,0~1,73,1:70000,53,803003:85,510,702155:3;702193:3,90,702164:3;702188:3,90,1:500000;6:960,478,10:73,1533,801002:135,405,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
74,,74,0~1,74,1:70000,53,803003:105,630,702155:3;702193:3,90,702164:3;702188:3,90,1:500000;6:960,478,10:73,1533,801002:139,417,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
75,,75,0~1,75,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:77,1617,801002:144,432,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
76,,76,0~1,76,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:81,1712,801002:148,444,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
77,,77,0~1,77,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:81,1712,801002:153,459,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
78,,78,0~1,78,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:86,1796,801002:157,471,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
79,,79,0~1,79,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:91,1922,801002:162,486,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
80,,80,0~1,80,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:91,1922,801002:166,498,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
81,,81,0~1,81,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:97,2037,801002:171,513,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
82,,82,0~1,82,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:103,2163,801002:176,528,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
83,,83,0~1,83,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:103,2163,801002:181,543,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
84,,84,0~1,84,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:109,2279,801002:186,558,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
85,,85,0~1,85,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:114,2405,801002:191,573,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
86,,86,0~1,86,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:114,2405,801002:196,588,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
87,,87,0~1,87,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:120,2520,801002:201,603,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
88,,88,0~1,88,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:126,2636,801002:206,618,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
89,,89,0~1,89,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:126,2636,801002:212,636,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
90,,90,0~1,90,1:70000,53,803003:105,630,702156:3;702180:3,90,702165:3;702196:3,90,1:500000;6:960,478,10:131,2762,801002:217,651,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38,14:50,38
91,,1,2,91,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
92,,2,2,92,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
93,,3,2,93,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
94,,4,2,94,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
95,,5,2,95,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
96,,6,2,96,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
97,,7,2,97,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
98,,8,2,98,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
99,,9,2,99,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
100,,10,2,100,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
101,,11,2,101,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
102,,12,2,102,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
103,,13,2,103,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
104,,14,2,104,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
105,,15,2,105,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
106,,16,2,106,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
107,,17,2,107,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
108,,18,2,108,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
109,,19,2,109,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
110,,20,2,110,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
111,,21,2,111,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
112,,22,2,112,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
113,,23,2,113,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
114,,24,2,114,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:3,9,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
115,,25,2,115,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:3,9,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
116,,26,2,116,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:4,12,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
117,,27,2,117,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:5,15,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
118,,28,2,118,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:6,18,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
119,,29,2,119,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:7,21,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
120,,30,2,120,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:8,24,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
121,,31,2,121,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:9,27,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
122,,32,2,122,1:75000,72,803003:32,195,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:10,30,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
123,,33,2,123,1:75000,72,803003:60,360,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:11,33,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
124,,34,2,124,1:75000,72,803003:60,360,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:12,36,14:75,57,14:75,57,14:0,,14:0,,14:0,,14:0,
125,,35,2,125,1:75000,72,803003:60,360,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:15,45,14:75,57,14:75,57,14:75,57,14:0,,14:0,,14:0,
126,,36,2,126,1:75000,72,803003:60,360,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:16,48,14:75,57,14:75,57,14:75,57,14:0,,14:0,,14:0,
