Key,Remarks,id,goodsId,type,storeId,count,costType,cost,prob,level,abc,abc1,abc2,superGoods,exchangeTime
31,,31,700113,4,1001,1,1,4000,10,1_90,3.7037037037037035E-2,1.2,6,,
32,,32,700125,4,1001,1,1,4000,10,1_90,3.7037037037037035E-2,1.2,6,,
33,,33,700137,4,1001,1,1,4000,10,1_90,3.7037037037037035E-2,1.2,6,,
34,,34,700149,4,1001,1,1,4000,10,1_90,3.7037037037037035E-2,1.2,6,,
35,,35,700158,4,1001,1,1,4000,10,1_90,3.7037037037037035E-2,1.2,6,,
36,,36,702004,5,1001,3,1,11000,10,15_90,2.564102564102564E-2,1.2,6,,
37,,37,707092,5,1001,3,1,11000,10,15_90,2.564102564102564E-2,1.2,6,,
38,,38,707096,5,1001,3,1,11000,10,15_90,2.564102564102564E-2,1.2,6,,
39,,39,702103,5,1001,3,1,11000,10,15_90,2.564102564102564E-2,1.2,6,,
40,,40,702141,5,1001,3,1,11000,20,15_90,5.128205128205128E-2,1.2,6,,
41,,41,702140,5,1001,3,1,11000,20,15_90,5.128205128205128E-2,1.2,6,,
42,,42,702041,5,1001,3,1,11000,20,15_90,5.128205128205128E-2,1.2,6,,
43,,43,707139,5,1001,3,1,13000,10,25_90,2.564102564102564E-2,1.2,7,,
44,,44,707040,5,1001,3,1,13000,10,25_90,2.564102564102564E-2,1.2,7,,
45,,45,707005,5,1001,3,1,13000,20,25_90,5.128205128205128E-2,1.2,7,,
46,,46,707017,5,1001,3,1,13000,20,25_90,5.128205128205128E-2,1.2,7,,
47,,47,707029,5,1001,3,1,13000,20,25_90,5.128205128205128E-2,1.2,7,,
48,,48,702065,5,1001,3,1,13000,20,25_90,5.128205128205128E-2,1.2,7,,
49,,49,707104,5,1001,3,1,13000,20,25_90,5.128205128205128E-2,1.2,7,,
50,,50,707116,5,1001,3,1,13000,20,25_90,5.128205128205128E-2,1.2,7,,
51,,51,707128,5,1001,3,1,13000,20,25_90,5.128205128205128E-2,1.2,7,,
52,,52,702176,5,1001,3,1,13000,20,25_90,5.128205128205128E-2,1.2,7,,
53,,53,702183,5,1001,3,1,13000,20,25_90,5.128205128205128E-2,1.2,7,,
54,,54,702006,5,1001,3,1,13000,20,25_90,5.128205128205128E-2,1.2,7,,
55,,55,707115,5,1001,3,1,13000,10,25_90,2.564102564102564E-2,1.2,7,,
56,,56,707105,5,1001,3,1,13000,20,25_90,5.128205128205128E-2,1.2,7,,
57,,57,707117,5,1001,3,1,13000,20,25_90,5.128205128205128E-2,1.2,7,,
58,,58,707129,5,1001,3,1,13000,20,25_90,5.128205128205128E-2,1.2,7,,
201,,201,704010,11,1002,1,1,43000,10,61_90,0.33333333333333331,1,85,,
202,,202,704010,11,1002,1,1,43000,10,1_90,0.33333333333333331,1,85,,
203,,203,704010,11,1002,1,1,43000,10,1_90,0.33333333333333331,1,85,,
204,,204,704014,12,1002,1,2,85,10,1_90,0.5,1,85,,
205,,205,704014,12,1002,1,2,85,10,1_90,0.5,1,85,,
206,,206,802001,13,1002,10,2,22,10,1_41,0.25,1,2.25,,
207,,207,802002,13,1002,5,2,34,10,1_41,0.25,1,6.75,,
208,,208,10,13,1002,5,2,90,10,41_90,0.25,1,18,,
209,,209,11,13,1002,5,2,180,10,41_90,0.25,1,36,,
210,,210,802001,14,1002,10,2,22,10,1_90,0.25,1,2.25,,
211,,211,802002,14,1002,10,2,68,10,1_90,0.25,1,6.75,,
212,,212,802003,14,1002,10,2,105,10,1_90,0.25,1,10.5,,
213,,213,802004,14,1002,10,2,150,10,1_90,0.25,1,15,,
214,,214,700001,15,1002,1,2,3,10,1_90,9.5238095238095247E-3,1,3,,
215,,215,700013,15,1002,1,2,3,10,1_90,9.5238095238095247E-3,1,3,,
216,,216,700025,15,1002,1,2,3,10,1_90,9.5238095238095247E-3,1,3,,
217,,217,700001,15,1002,1,2,3,10,1_90,9.5238095238095247E-3,1,3,,
218,,218,700061,15,1002,1,2,3,10,1_90,9.5238095238095247E-3,1,3,,
219,,219,700073,15,1002,1,2,3,10,1_90,9.5238095238095247E-3,1,3,,
220,,220,700091,15,1002,1,2,3,10,1_90,9.5238095238095247E-3,1,3,,
221,,221,700100,15,1002,1,2,3,10,1_90,9.5238095238095247E-3,1,3,,
222,,222,700112,15,1002,1,2,3,10,1_90,9.5238095238095247E-3,1,3,,
223,,223,700124,15,1002,1,2,3,10,1_90,9.5238095238095247E-3,1,3,,
224,,224,700136,15,1002,1,2,3,10,1_90,9.5238095238095247E-3,1,3,,
225,,225,700148,15,1002,1,2,3,10,1_90,9.5238095238095247E-3,1,3,,
226,,226,700157,15,1002,1,2,3,10,1_90,9.5238095238095247E-3,1,3,,
227,,227,700174,15,1002,1,2,3,10,1_90,9.5238095238095247E-3,1,3,,
228,,228,700181,15,1002,1,2,3,10,1_90,9.5238095238095247E-3,1,3,,
229,,229,700002,15,1002,1,2,6,10,1_90,9.5238095238095247E-3,1,6,,
230,,230,700014,15,1002,1,2,6,10,1_90,9.5238095238095247E-3,1,6,,
231,,231,700026,15,1002,1,2,6,10,1_90,9.5238095238095247E-3,1,6,,
232,,232,700038,15,1002,1,2,6,10,1_90,9.5238095238095247E-3,1,6,,
233,,233,700062,15,1002,1,2,6,10,1_90,9.5238095238095247E-3,1,6,,
234,,234,700074,15,1002,1,2,6,10,1_90,9.5238095238095247E-3,1,6,,
235,,235,700101,15,1002,1,2,6,10,1_90,9.5238095238095247E-3,1,6,,
236,,236,700113,15,1002,1,2,6,10,1_90,9.5238095238095247E-3,1,6,,
237,,237,700125,15,1002,1,2,6,10,1_90,9.5238095238095247E-3,1,6,,
238,,238,700137,15,1002,1,2,6,10,1_90,9.5238095238095247E-3,1,6,,
239,,239,700149,15,1002,1,2,6,10,1_90,9.5238095238095247E-3,1,6,,
240,,240,700158,15,1002,1,2,6,10,1_90,9.5238095238095247E-3,1,6,,
241,,241,700003,15,1002,1,2,9,10,1_90,9.5238095238095247E-3,1,9,,
242,,242,700015,15,1002,1,2,9,10,1_90,9.5238095238095247E-3,1,9,,
243,,243,700027,15,1002,1,2,9,10,1_90,9.5238095238095247E-3,1,9,,
244,,244,700039,15,1002,1,2,9,10,1_90,9.5238095238095247E-3,1,9,,
245,,245,700063,15,1002,1,2,9,10,1_90,9.5238095238095247E-3,1,9,,
246,,246,700004,15,1002,1,2,30,10,1_90,9.5238095238095247E-3,1,30,,
247,,247,700016,15,1002,1,2,30,10,1_90,9.5238095238095247E-3,1,30,,
248,,248,700028,15,1002,1,2,30,10,1_90,9.5238095238095247E-3,1,30,,
249,,249,700040,15,1002,1,2,30,10,1_90,9.5238095238095247E-3,1,30,,
250,,250,700092,15,1002,1,2,33,10,1_90,9.5238095238095247E-3,1,33,,
251,,251,700096,15,1002,1,2,33,10,1_90,9.5238095238095247E-3,1,33,,
252,,252,700103,15,1002,1,2,30,10,1_90,9.5238095238095247E-3,1,30,,
253,,253,700115,15,1002,1,2,30,10,1_90,9.5238095238095247E-3,1,30,,
254,,254,700127,15,1002,1,2,30,10,1_90,9.5238095238095247E-3,1,30,,
255,,255,700139,15,1002,1,2,30,10,1_90,9.5238095238095247E-3,1,30,,
256,,256,700064,15,1002,1,2,12,30,1_90,2.8571428571428571E-2,1,12,,
257,,257,700005,15,1002,1,2,41,30,25_90,2.8571428571428571E-2,1,41,,
258,,258,700017,15,1002,1,2,41,30,25_90,2.8571428571428571E-2,1,41,,
259,,259,700029,15,1002,1,2,41,30,25_90,2.8571428571428571E-2,1,41,,
260,,260,700041,15,1002,1,2,41,30,25_90,2.8571428571428571E-2,1,41,,
261,,261,700065,15,1002,1,2,35,30,25_90,2.8571428571428571E-2,1,35,,
262,,262,700104,15,1002,1,2,41,30,25_90,2.8571428571428571E-2,1,41,,
263,,263,700116,15,1002,1,2,41,30,25_90,2.8571428571428571E-2,1,41,,
264,,264,700128,15,1002,1,2,41,30,25_90,2.8571428571428571E-2,1,41,,
265,,265,700140,15,1002,1,2,41,30,25_90,2.8571428571428571E-2,1,41,,
266,,266,700176,15,1002,1,2,35,30,25_90,2.8571428571428571E-2,1,35,,
267,,267,700183,15,1002,1,2,35,30,25_90,2.8571428571428571E-2,1,35,,
268,,268,700006,15,1002,1,2,70,30,25_90,2.8571428571428571E-2,1,70,,
269,,269,700018,15,1002,1,2,70,30,25_90,2.8571428571428571E-2,1,70,,
270,,270,700030,15,1002,1,2,70,30,25_90,2.8571428571428571E-2,1,70,,
271,,271,700042,15,1002,1,2,70,30,25_90,2.8571428571428571E-2,1,70,,
272,,272,700105,15,1002,1,2,76,30,25_90,2.8571428571428571E-2,1,76,,
273,,273,700117,15,1002,1,2,76,30,25_90,2.8571428571428571E-2,1,76,,
274,,274,700129,15,1002,1,2,76,30,25_90,2.8571428571428571E-2,1,76,,
275,,275,700141,15,1002,1,2,76,30,25_90,2.8571428571428571E-2,1,76,,
276,,276,700066,15,1002,1,2,47,30,25_90,2.8571428571428571E-2,1,47,,
277,,277,702004,16,1002,5,2,30,10,1_90,6.7567567567567571E-3,1,6,,
278,,278,707092,16,1002,5,2,30,10,1_90,6.7567567567567571E-3,1,6,,
279,,279,707096,16,1002,5,2,30,10,1_90,6.7567567567567571E-3,1,6,,
280,,280,702103,16,1002,5,2,30,10,1_90,6.7567567567567571E-3,1,6,,
281,,281,702041,16,1002,5,2,30,10,1_90,6.7567567567567571E-3,1,6,,
282,,282,702140,16,1002,5,2,30,10,1_90,6.7567567567567571E-3,1,6,,
283,,283,702141,16,1002,5,2,30,10,1_90,6.7567567567567571E-3,1,6,,
284,,284,707139,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
285,,285,707005,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
286,,286,707017,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
287,,287,707029,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
288,,288,702065,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
289,,289,707104,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
290,,290,707116,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
291,,291,707128,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
292,,292,702087,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
293,,293,707040,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
294,,294,702176,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
295,,295,702183,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
296,,296,702153,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
297,,297,702170,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
298,,298,707115,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
299,,299,707105,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
300,,300,707117,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
301,,301,707129,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
302,,302,702006,16,1002,5,2,35,20,25_90,1.3513513513513514E-2,1,7,,
303,,303,707127,16,1002,5,2,40,30,41_90,2.0270270270270271E-2,1,8,,
304,,304,707030,16,1002,5,2,40,30,41_90,2.0270270270270271E-2,1,8,,
305,,305,702067,16,1002,5,2,40,30,41_90,2.0270270270270271E-2,1,8,,
306,,306,702177,16,1002,5,2,40,30,41_90,2.0270270270270271E-2,1,8,,
307,,307,702185,16,1002,5,2,40,30,41_90,2.0270270270270271E-2,1,8,,
308,,308,702088,16,1002,5,2,40,30,41_90,2.0270270270270271E-2,1,8,,
309,,309,702068,16,1002,5,2,40,30,41_90,2.0270270270270271E-2,1,8,,
310,,310,702178,16,1002,5,2,40,30,41_90,2.0270270270270271E-2,1,8,,
311,,311,702186,16,1002,5,2,40,30,41_90,2.0270270270270271E-2,1,8,,
312,,312,702070,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
313,,313,702082,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
314,,314,702155,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
315,,315,702164,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
316,,316,702172,16,1002,5,2,35,40,55_90,2.7027027027027029E-2,1,7,,
317,,317,702071,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
318,,318,702089,16,1002,5,2,40,40,55_90,2.7027027027027029E-2,1,8,,
319,,319,702179,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
320,,320,702187,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
321,,321,702036,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
322,,322,702072,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
323,,323,702084,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
324,,324,702111,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
325,,325,702147,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
326,,326,702156,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
327,,327,702165,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
328,,328,702173,16,1002,5,2,35,40,55_90,2.7027027027027029E-2,1,7,,
329,,329,702180,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
330,,330,702188,16,1002,5,2,50,40,55_90,2.7027027027027029E-2,1,10,,
401,,401,704035,21,1003,1,2,108,10,1_90,0.33333333333333331,0.8,135,,
402,,402,704035,21,1003,1,2,108,10,1_90,0.33333333333333331,0.8,135,,
403,,403,704035,21,1003,1,2,108,10,1_90,0.33333333333333331,0.8,135,,
404,,404,704038,22,1003,1,2,108,10,1_90,0.5,0.8,135,,
405,,405,704038,22,1003,1,2,108,10,1_90,0.5,0.8,135,,
406,,406,806555,23,1003,1,2,2300,50,1_90,0.41666666666666669,1,2304,,
407,,407,806556,23,1003,1,2,2700,50,1_90,0.41666666666666669,1,2688,,
408,,408,806579,23,1003,1,2,2700,10,1_90,8.3333333333333329E-2,1,2688,,
409,,409,806580,23,1003,1,2,3100,10,1_90,8.3333333333333329E-2,1,3072,,
410,,410,700001,24,1003,1,2,2,10,1_33,1.5625E-2,0.8,3,,
411,,411,700013,24,1003,1,2,2,10,1_33,1.5625E-2,0.8,3,,
412,,412,700025,24,1003,1,2,2,10,1_33,1.5625E-2,0.8,3,,
413,,413,700001,24,1003,1,2,2,10,1_33,1.5625E-2,0.8,3,,
414,,414,700061,24,1003,1,2,2,10,1_33,1.5625E-2,0.8,3,,
415,,415,700073,24,1003,1,2,2,10,1_33,1.5625E-2,0.8,3,,
416,,416,700091,24,1003,1,2,2,10,1_33,1.5625E-2,0.8,3,,
417,,417,700100,24,1003,1,2,2,10,1_33,1.5625E-2,0.8,3,,
418,,418,700112,24,1003,1,2,2,10,1_33,1.5625E-2,0.8,3,,
419,,419,700124,24,1003,1,2,2,10,1_33,1.5625E-2,0.8,3,,
420,,420,700136,24,1003,1,2,2,10,1_33,1.5625E-2,0.8,3,,
421,,421,700148,24,1003,1,2,2,10,1_33,1.5625E-2,0.8,3,,
422,,422,700157,24,1003,1,2,2,10,1_33,1.5625E-2,0.8,3,,
423,,423,700174,24,1003,1,2,2,10,1_33,1.5625E-2,0.8,3,,
424,,424,700181,24,1003,1,2,2,10,1_33,1.5625E-2,0.8,3,,
425,,425,700002,24,1003,1,2,4,10,1_33,1.5625E-2,0.8,6,,
426,,426,700014,24,1003,1,2,4,10,1_33,1.5625E-2,0.8,6,,
427,,427,700026,24,1003,1,2,4,10,1_33,1.5625E-2,0.8,6,,
428,,428,700038,24,1003,1,2,4,10,1_33,1.5625E-2,0.8,6,,
429,,429,700062,24,1003,1,2,4,10,1_33,1.5625E-2,0.8,6,,
430,,430,700074,24,1003,1,2,4,10,1_33,1.5625E-2,0.8,6,,
431,,431,700101,24,1003,1,2,4,10,1_33,1.5625E-2,0.8,6,,
432,,432,700113,24,1003,1,2,4,10,1_33,1.5625E-2,0.8,6,,
433,,433,700125,24,1003,1,2,4,10,1_33,1.5625E-2,0.8,6,,
434,,434,700137,24,1003,1,2,4,10,1_33,1.5625E-2,0.8,6,,
435,,435,700149,24,1003,1,2,4,10,1_33,1.5625E-2,0.8,6,,
436,,436,700158,24,1003,1,2,4,10,1_33,1.5625E-2,0.8,6,,
437,,437,700003,24,1003,1,2,7,10,1_33,1.5625E-2,0.8,9,,
438,,438,700015,24,1003,1,2,7,10,1_33,1.5625E-2,0.8,9,,
439,,439,700027,24,1003,1,2,7,10,1_33,1.5625E-2,0.8,9,,
440,,440,700039,24,1003,1,2,7,10,1_33,1.5625E-2,0.8,9,,
441,,441,700063,24,1003,1,2,7,10,1_33,1.5625E-2,0.8,9,,
442,,442,700064,24,1003,1,2,9,10,1_33,1.5625E-2,0.8,12,,
443,,443,700004,24,1003,1,2,24,10,1_33,1.5625E-2,0.8,30,,
444,,444,700016,24,1003,1,2,24,10,1_33,1.5625E-2,0.8,30,,
445,,445,700028,24,1003,1,2,24,10,1_33,1.5625E-2,0.8,30,,
446,,446,700040,24,1003,1,2,24,10,1_33,1.5625E-2,0.8,30,,
447,,447,700092,24,1003,1,2,26,10,1_33,1.5625E-2,0.8,33,,
448,,448,700096,24,1003,1,2,26,10,1_33,1.5625E-2,0.8,33,,
449,,449,700103,24,1003,1,2,24,10,1_33,1.5625E-2,0.8,30,,
450,,450,700115,24,1003,1,2,24,10,1_33,1.5625E-2,0.8,30,,
451,,451,700127,24,1003,1,2,24,10,1_33,1.5625E-2,0.8,30,,
452,,452,700139,24,1003,1,2,24,10,1_33,1.5625E-2,0.8,30,,
453,,453,700005,24,1003,1,2,32,10,33_41,1.5625E-2,0.8,41,,
454,,454,700017,24,1003,1,2,32,10,33_41,1.5625E-2,0.8,41,,
455,,455,700029,24,1003,1,2,32,10,33_41,1.5625E-2,0.8,41,,
456,,456,700041,24,1003,1,2,32,10,33_41,1.5625E-2,0.8,41,,
457,,457,700065,24,1003,1,2,28,10,33_41,1.5625E-2,0.8,35,,
458,,458,700104,24,1003,1,2,32,10,33_41,1.5625E-2,0.8,41,,
459,,459,700116,24,1003,1,2,32,10,33_41,1.5625E-2,0.8,41,,
460,,460,700128,24,1003,1,2,32,10,33_41,1.5625E-2,0.8,41,,
461,,461,700140,24,1003,1,2,32,10,33_41,1.5625E-2,0.8,41,,
462,,462,700176,24,1003,1,2,28,10,33_41,1.5625E-2,0.8,35,,
463,,463,700183,24,1003,1,2,28,10,33_41,1.5625E-2,0.8,35,,
464,,464,700006,24,1003,1,2,56,10,33_41,1.5625E-2,0.8,70,,
465,,465,700018,24,1003,1,2,56,10,33_41,1.5625E-2,0.8,70,,
466,,466,700030,24,1003,1,2,56,10,33_41,1.5625E-2,0.8,70,,
467,,467,700042,24,1003,1,2,56,10,33_41,1.5625E-2,0.8,70,,
468,,468,700105,24,1003,1,2,60,10,33_41,1.5625E-2,0.8,76,,
469,,469,700117,24,1003,1,2,60,10,33_41,1.5625E-2,0.8,76,,
470,,470,700129,24,1003,1,2,60,10,33_41,1.5625E-2,0.8,76,,
471,,471,700141,24,1003,1,2,60,10,33_41,1.5625E-2,0.8,76,,
472,,472,700066,24,1003,1,2,37,10,33_41,1.5625E-2,0.8,47,,
473,,473,12,24,1003,5,2,360,10,41_90,1.5625E-2,1,72,,
474,,474,700001,25,1003,1,2,2,10,1_90,2.2522522522522522E-3,0.8,3,,
475,,475,700013,25,1003,1,2,2,10,1_90,2.2522522522522522E-3,0.8,3,,
476,,476,700025,25,1003,1,2,2,10,1_90,2.2522522522522522E-3,0.8,3,,
477,,477,700001,25,1003,1,2,2,10,1_90,2.2522522522522522E-3,0.8,3,,
478,,478,700061,25,1003,1,2,2,10,1_90,2.2522522522522522E-3,0.8,3,,
479,,479,700073,25,1003,1,2,2,10,1_90,2.2522522522522522E-3,0.8,3,,
480,,480,700091,25,1003,1,2,2,10,1_90,2.2522522522522522E-3,0.8,3,,
481,,481,700100,25,1003,1,2,2,10,1_90,2.2522522522522522E-3,0.8,3,,
482,,482,700112,25,1003,1,2,2,10,1_90,2.2522522522522522E-3,0.8,3,,
483,,483,700124,25,1003,1,2,2,10,1_90,2.2522522522522522E-3,0.8,3,,
484,,484,700136,25,1003,1,2,2,10,1_90,2.2522522522522522E-3,0.8,3,,
485,,485,700148,25,1003,1,2,2,10,1_90,2.2522522522522522E-3,0.8,3,,
486,,486,700157,25,1003,1,2,2,10,1_90,2.2522522522522522E-3,0.8,3,,
487,,487,700174,25,1003,1,2,2,10,1_90,2.2522522522522522E-3,0.8,3,,
488,,488,700181,25,1003,1,2,2,10,1_90,2.2522522522522522E-3,0.8,3,,
489,,489,700002,25,1003,1,2,4,10,1_90,2.2522522522522522E-3,0.8,6,,
490,,490,700014,25,1003,1,2,4,10,1_90,2.2522522522522522E-3,0.8,6,,
491,,491,700026,25,1003,1,2,4,10,1_90,2.2522522522522522E-3,0.8,6,,
492,,492,700038,25,1003,1,2,4,10,1_90,2.2522522522522522E-3,0.8,6,,
493,,493,700062,25,1003,1,2,4,10,1_90,2.2522522522522522E-3,0.8,6,,
494,,494,700074,25,1003,1,2,4,10,1_90,2.2522522522522522E-3,0.8,6,,
495,,495,700101,25,1003,1,2,4,10,1_90,2.2522522522522522E-3,0.8,6,,
496,,496,700113,25,1003,1,2,4,10,1_90,2.2522522522522522E-3,0.8,6,,
497,,497,700125,25,1003,1,2,4,10,1_90,2.2522522522522522E-3,0.8,6,,
498,,498,700137,25,1003,1,2,4,10,1_90,2.2522522522522522E-3,0.8,6,,
499,,499,700149,25,1003,1,2,4,10,1_90,2.2522522522522522E-3,0.8,6,,
500,,500,700158,25,1003,1,2,4,10,1_90,2.2522522522522522E-3,0.8,6,,
501,,501,700003,25,1003,1,2,7,10,1_90,2.2522522522522522E-3,0.8,9,,
502,,502,700015,25,1003,1,2,7,10,1_90,2.2522522522522522E-3,0.8,9,,
503,,503,700027,25,1003,1,2,7,10,1_90,2.2522522522522522E-3,0.8,9,,
504,,504,700039,25,1003,1,2,7,10,1_90,2.2522522522522522E-3,0.8,9,,
505,,505,700063,25,1003,1,2,7,30,1_90,6.7567567567567571E-3,0.8,9,,
506,,506,700064,25,1003,1,2,9,30,1_90,6.7567567567567571E-3,0.8,12,,
507,,507,700004,25,1003,1,2,24,10,1_90,2.2522522522522522E-3,0.8,30,,
508,,508,700016,25,1003,1,2,24,10,1_90,2.2522522522522522E-3,0.8,30,,
509,,509,700028,25,1003,1,2,24,10,1_90,2.2522522522522522E-3,0.8,30,,
510,,510,700040,25,1003,1,2,24,10,1_90,2.2522522522522522E-3,0.8,30,,
511,,511,700092,25,1003,1,2,26,10,1_90,2.2522522522522522E-3,0.8,33,,
512,,512,700096,25,1003,1,2,26,10,1_90,2.2522522522522522E-3,0.8,33,,
513,,513,700103,25,1003,1,2,24,10,1_90,2.2522522522522522E-3,0.8,30,,
514,,514,700115,25,1003,1,2,24,10,1_90,2.2522522522522522E-3,0.8,30,,
515,,515,700127,25,1003,1,2,24,10,1_90,2.2522522522522522E-3,0.8,30,,
516,,516,700139,25,1003,1,2,24,10,1_90,2.2522522522522522E-3,0.8,30,,
517,,517,700005,25,1003,1,2,32,30,23_90,6.7567567567567571E-3,0.8,41,,
518,,518,700017,25,1003,1,2,32,30,23_90,6.7567567567567571E-3,0.8,41,,
519,,519,700029,25,1003,1,2,32,30,23_90,6.7567567567567571E-3,0.8,41,,
520,,520,700041,25,1003,1,2,32,30,23_90,6.7567567567567571E-3,0.8,41,,
521,,521,700065,25,1003,1,2,28,30,23_90,6.7567567567567571E-3,0.8,35,,
522,,522,700104,25,1003,1,2,32,30,23_90,6.7567567567567571E-3,0.8,41,,
523,,523,700116,25,1003,1,2,32,30,23_90,6.7567567567567571E-3,0.8,41,,
524,,524,700128,25,1003,1,2,32,30,23_90,6.7567567567567571E-3,0.8,41,,
525,,525,700140,25,1003,1,2,32,30,23_90,6.7567567567567571E-3,0.8,41,,
526,,526,700176,25,1003,1,2,28,30,23_90,6.7567567567567571E-3,0.8,35,,
527,,527,700183,25,1003,1,2,28,30,23_90,6.7567567567567571E-3,0.8,35,,
528,,528,700006,25,1003,1,2,56,30,23_90,6.7567567567567571E-3,0.8,70,,
529,,529,700018,25,1003,1,2,56,30,23_90,6.7567567567567571E-3,0.8,70,,
530,,530,700030,25,1003,1,2,56,30,23_90,6.7567567567567571E-3,0.8,70,,
531,,531,700042,25,1003,1,2,56,30,23_90,6.7567567567567571E-3,0.8,70,,
532,,532,700105,25,1003,1,2,60,30,23_90,6.7567567567567571E-3,0.8,76,,
533,,533,700117,25,1003,1,2,60,30,23_90,6.7567567567567571E-3,0.8,76,,
534,,534,700129,25,1003,1,2,60,30,23_90,6.7567567567567571E-3,0.8,76,,
535,,535,700141,25,1003,1,2,60,30,23_90,6.7567567567567571E-3,0.8,76,,
