key,Remarks,predDef,predName,desc
1002401,,"isAllWear(""202001_1"") | isAllWear(""202001_2"") | isAllWear(""202001_3"") | isAllWear(""202001_4"") | isAllWear(""202001_5"") | isAllWear(""202002_1"") | isAllWear(""202002_2"") | isAllWear(""202002_3"") | isAllWear(""202002_4"") | isAllWear(""202002_5"") | isAllWear(""201001_1"") | isAllWear(""201001_2"") | isAllWear(""201001_3"") | isAllWear(""201001_4"") | isAllWear(""201001_5"") | isAllWear(""204001_1"") | isAllWear(""204001_2"") | isAllWear(""204001_3"") | isAllWear(""204001_4"") | isAllWear(""204001_5"") | isAllWear(""203001_1"") | isAllWear(""203001_2"") | isAllWear(""203001_3"") | isAllWear(""203001_4"") | isAllWear(""203001_5"") | isAllWear(""201002_1"") | isAllWear(""201002_2"") | isAllWear(""201002_3"") | isAllWear(""201002_4"") | isAllWear(""201002_5"") | isAllWear(""201003_1"") | isAllWear(""201003_2"") | isAllWear(""201003_3"") | isAllWear(""201003_4"") | isAllWear(""201003_5"") | isAllWear(""201005_1"") | isAllWear(""201005_2"") | isAllWear(""201005_3"") | isAllWear(""201005_4"") | isAllWear(""201005_5"") | isAllWear(""201004_1"") | isAllWear(""201004_2"") | isAllWear(""201004_3"") | isAllWear(""201004_4"") | isAllWear(""201004_5"") | isAllWear(""202004_1"") | isAllWear(""202004_2"") | isAllWear(""202004_3"") | isAllWear(""202004_4"") | isAllWear(""202004_5"") | isAllWear(""204004_1"") | isAllWear(""204004_2"") | isAllWear(""204004_3"") | isAllWear(""204004_4"") | isAllWear(""204004_5"") | isAllWear(""202006_1"") | isAllWear(""202006_2"") | isAllWear(""202006_3"") | isAllWear(""202006_4"") | isAllWear(""202006_5"") | isAllWear(""204003_1"") | isAllWear(""204003_2"") | isAllWear(""204003_3"") | isAllWear(""204003_4"") | isAllWear(""204003_5"") | isAllWear(""203002_1"") | isAllWear(""203002_2"") | isAllWear(""203002_3"") | isAllWear(""203002_4"") | isAllWear(""203002_5"") | isAllWear(""203003_1"") | isAllWear(""203003_2"") | isAllWear(""203003_3"") | isAllWear(""203003_4"") | isAllWear(""203003_5"") | isAllWear(""200002_1"") | isAllWear(""200002_2"") | isAllWear(""200002_3"") | isAllWear(""200002_4"") | isAllWear(""200002_5"") | isAllWear(""204006_1"") | isAllWear(""204006_2"") | isAllWear(""204006_3"") | isAllWear(""204006_4"") | isAllWear(""204006_5"") | isAllWear(""200001_1"") | isAllWear(""200001_2"") | isAllWear(""200001_3"") | isAllWear(""200001_4"") | isAllWear(""200001_5"") | isAllWear(""200003_1"") | isAllWear(""200003_2"") | isAllWear(""200003_3"") | isAllWear(""200003_4"") | isAllWear(""200003_5"") | isAllWear(""202005_1"") | isAllWear(""202005_2"") | isAllWear(""202005_3"") | isAllWear(""202005_4"") | isAllWear(""202005_5"") | isAllWear(""200009_1"") | isAllWear(""200009_2"") | isAllWear(""200009_3"") | isAllWear(""200009_4"") | isAllWear(""200009_5"") | isAllWear(""200004_1"") | isAllWear(""200004_2"") | isAllWear(""200004_3"") | isAllWear(""200004_4"") | isAllWear(""200004_5"") | isAllWear(""200010_1"") | isAllWear(""200010_2"") | isAllWear(""200010_3"") | isAllWear(""200010_4"") | isAllWear(""200010_5"") | isAllWear(""204005_1"") | isAllWear(""204005_2"") | isAllWear(""204005_3"") | isAllWear(""204005_4"") | isAllWear(""204005_5"") | isAllWear(""201007_1"") | isAllWear(""201007_2"") | isAllWear(""201007_3"") | isAllWear(""201007_4"") | isAllWear(""201007_5"") | isAllWear(""203010_1"") | isAllWear(""203010_2"") | isAllWear(""203010_3"") | isAllWear(""203010_4"") | isAllWear(""203010_5"") | isAllWear(""204002_1"") | isAllWear(""204002_2"") | isAllWear(""204002_3"") | isAllWear(""204002_4"") | isAllWear(""204002_5"") | isAllWear(""203013_1"") | isAllWear(""203013_2"") | isAllWear(""203013_3"") | isAllWear(""203013_4"") | isAllWear(""203013_5"") | isAllWear(""203004_1"") | isAllWear(""203004_2"") | isAllWear(""203004_3"") | isAllWear(""203004_4"") | isAllWear(""203004_5"") | isAllWear(""200012_1"") | isAllWear(""200012_2"") | isAllWear(""200012_3"") | isAllWear(""200012_4"") | isAllWear(""200012_5"") | isAllWear(""201012_1"") | isAllWear(""201012_2"") | isAllWear(""201012_3"") | isAllWear(""201012_4"") | isAllWear(""201012_5"") | isAllWear(""200011_1"") | isAllWear(""200011_2"") | isAllWear(""200011_3"") | isAllWear(""200011_4"") | isAllWear(""200011_5"") | isAllWear(""203011_1"") | isAllWear(""203011_2"") | isAllWear(""203011_3"") | isAllWear(""203011_4"") | isAllWear(""203011_5"") | isAllWear(""204008_1"") | isAllWear(""204008_2"") | isAllWear(""204008_3"") | isAllWear(""204008_4"") | isAllWear(""204008_5"") | isAllWear(""203007_1"") | isAllWear(""203007_2"") | isAllWear(""203007_3"") | isAllWear(""203007_4"") | isAllWear(""203007_5"") | isAllWear(""100001_1"") | isAllWear(""100001_2"") | isAllWear(""100001_3"") | isAllWear(""100001_4"") | isAllWear(""100001_5"") | isAllWear(""101001_1"") | isAllWear(""101001_2"") | isAllWear(""101001_3"") | isAllWear(""101001_4"") | isAllWear(""101001_5"") | isAllWear(""100005_1"") | isAllWear(""100005_2"") | isAllWear(""100005_3"") | isAllWear(""100005_4"") | isAllWear(""100005_5"") | isAllWear(""101002_1"") | isAllWear(""101002_2"") | isAllWear(""101002_3"") | isAllWear(""101002_4"") | isAllWear(""101002_5"") | isAllWear(""100002_1"") | isAllWear(""100002_2"") | isAllWear(""100002_3"") | isAllWear(""100002_4"") | isAllWear(""100002_5"") | isAllWear(""101005_1"") | isAllWear(""101005_2"") | isAllWear(""101005_3"") | isAllWear(""101005_4"") | isAllWear(""101005_5"") | isAllWear(""100008_1"") | isAllWear(""100008_2"") | isAllWear(""100008_3"") | isAllWear(""100008_4"") | isAllWear(""100008_5"") | isAllWear(""101008_1"") | isAllWear(""101008_2"") | isAllWear(""101008_3"") | isAllWear(""101008_4"") | isAllWear(""101008_5"") | isAllWear(""100011_1"") | isAllWear(""100011_2"") | isAllWear(""100011_3"") | isAllWear(""100011_4"") | isAllWear(""100011_5"") | isAllWear(""101011_1"") | isAllWear(""101011_2"") | isAllWear(""101011_3"") | isAllWear(""101011_4"") | isAllWear(""101011_5"")",,
1002402,,player.level >=21,,
1002101,,"player.level >=11 & isCurrentCheckpoint(""110207"",""0"")",,
1002102,,"player.level >=12 & isCurrentCheckpoint(""110208"",""0"")",,
1111,,"!hasHero(""202001"",""Embattle_Copy"") | isInBattle(""Hero_202001_1"",""Embattle_Copy"")",,
1112,,"!hasHero(""200003"",""Embattle_Copy"") | isInBattle(""Hero_200003_1"",""Embattle_Copy"")",,
1113,,"!isCurrentCheckpoint(""110101"",""0"")",,
1114,,"!isCurrentCheckpoint(""110102"",""0"")",,
1010,,false,,
1011,,true,,
1115,,"!hasHero(""202001"",""Embattle_Copy"")",,
1116,,"!hasHero(""200003"",""Embattle_Copy"")",,
1117,,"!hasHero(""204001"",""Embattle_Copy"")",,
1118,,"!hasHero(""204001"",""Embattle_Copy"") | isInBattle(""Hero_204001_1"",""Embattle_Copy"")",,
1119,,"hasHero(""200003"",""Embattle_Copy"")",,
1120,,"!IsVisible(""UIRewardInfo"")",,
1121,,player.starLevel >1,,
