key,Remarks,target,guideActType,extraParam,openConditionalID,skipConditionalID,offsetX,offsetY,handDirection,viewID,suspressDarkLayer,skipable,delayTime,checkTarget,jumpNext,isFadeIn
100070000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1000701,1000702,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100070010,,Activity_Building,Hand_MM,100070010,1000701,1000702,-10,30,Left,MainView,true,,,1010,,
100070020,,item3,Hand,,1000701,1000702,-10,25,Left,UIPVEEntry,true,,,1010,,
100080000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1000801,1000802,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100080010,,Activity_Building,Hand_MM,100080010,1000801,1000802,-10,30,Left,MainView,true,,,1010,,
100080020,,item2,Hand,,1000801,1000802,-10,25,Left,UIPVEEntry,true,,,1010,,
100090010,,PART_ActionIcon/offset/Magic/Button,Hand_MM,100090010,1000901,1000902,-10,25,Left,MainView,true,,,1010,,
100090020,,UI_MagicWeapon(Clone)/offset/BtnForge,Hand,,1000901,1000902,-10,25,Left,UIMagicWeapon,true,,,1010,,
100100010,,PullDown/pulldown,Hand_MM,100100010,1001001,1001002,-10,25,Right,FixLayerView,true,,,1010,,
100100020,,friend,Hand,,1001001,1001002,-10,25,Right,FixLayerView,true,,,1010,,
100110000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1001101,1001102,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100110010,,ArrowLeft/offset/Button,Hand_MM,100110010,1001101,1001102,-10,25,Left,MainView,true,,,1010,,
100110020,,Guild_Building,Hand,,1001101,1001102,-10,25,Left,MainView,true,,,1010,,
100120000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1001201,1001202,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100120010,,Activity_Building,Hand_MM,100120010,1001201,1001202,-10,30,Left,MainView,true,,,1010,,
100120020,,item4,Hand,,1001201,1001202,-10,25,Left,UIPVEEntry,true,,,1010,,
100130000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1001301,1001302,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100130010,,PullDown/pulldown,Hand_MM,100130010,1001301,1001302,-10,25,Right,FixLayerView,true,,,1010,,
100130020,,RightMainMenu/role,Hand,,1001301,1001302,-10,25,Right,FixLayerView,true,,,1010,,
100130030,,roleitem_player,Hand,,1001301,1001302,-10,25,Left,RoleList,true,,,1010,,
100130040,,ForgingBtn,Hand,,1001301,1001302,-10,25,Left,Role,true,,,1010,,
100140000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1001401,1001402,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100140010,,Activity_Building,Hand_MM,100140010,1001401,1001402,-10,30,Left,MainView,true,,,1010,,
100140020,,item5,Hand,,1001401,1001402,-10,25,Left,UIPVEEntry,true,,,1010,,
100150000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1001501,1001502,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100150010,,PART_ActionIcon/offset/Magic/Button,Hand_MM,100150010,1001501,1001502,-10,25,Left,MainView,true,,,1010,,
100150020,,UI_MagicWeapon(Clone)/offset/BtnSmelt,Hand,,1001501,1001502,-10,25,Left,UIMagicWeapon,true,,,1010,,
100160000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1001601,1001602,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100160010,,PullDown/pulldown,Hand_MM,100160010,1001601,1001602,-10,25,Right,FixLayerView,true,,,1010,,
100160020,,RightMainMenu/role,Hand,,1001601,1001602,-10,25,Right,FixLayerView,true,,,1010,,
100160030,,roleitem_player,Hand,,1001601,1001602,-10,25,Left,RoleList,true,,,1010,,
100160040,,BaoShi,Hand,,1001601,1001602,-10,25,Left,Role,true,,,1010,,
100170000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1001701,1001702,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100170010,,ArrowLeft/offset/Button,Hand_MM,100170010,1001701,1001702,-10,25,Left,MainView,true,,,1010,,
100170020,,SecretArea_Building,Hand,,1001701,1001702,-10,255,Left,MainView,true,,,1010,,
100180000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1001801,1001802,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100180010,,ArrowRight/offset/Button,Hand_MM,100180010,1001801,1001802,-10,25,Right,MainView,true,,,1010,,
100180020,,Arena_Building,Hand,,1001801,1001802,-10,230,Left,MainView,true,,,1010,,
100180030,,ZhongJian,Hand,,1001801,1001802,-10,25,Left,UIPVPEntry,true,,,1010,,
13132,,,Send_Cmd,"startPlot(""111222"")",1111,1111,,,Left,UIPVPEntry,,,,1010,,
100190010,,PullDown/pulldown,Hand_MM,100190010,1001901,1001902,-10,25,Right,FixLayerView,,,,1010,true,
100190020,,RightMainMenu/role,Hand,,1001901,1001902,-10,25,Right,FixLayerView,,,,1010,,
100190030,,roleitem_player,Hand_MM,100190030,1001901,1001902,-10,25,Left,RoleList,,,,1010,,
100190040,,skillBtn,Hand,,1001901,1001902,-10,25,Left,Role,,,,1010,,
100190050,,upgradeHeroBtn,Hand_MM,100190050,1001901,1001902,-10,25,Left,Role,,,,1010,,
100200000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1002001,1002002,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100200010,,Shop_Building,Hand_MM,100200010,1002001,1002002,-3195,130,Left,MainView,true,,,1010,,
100200020,,Part_CommodityCell(Clone),Hand,,1002001,1002002,200,25,Left,UIStoreView,true,,,1010,,
100200030,,UI_StoreDetial(Clone)/offset/BtnBuy,Hand,,1002001,1002002,-10,25,Left,UIStoreDetailView,true,,,1010,,
100210000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1002101,1002102,-10,25,Left,RoleLevelUpgrade,true,,,1011,true,
100210010,,PullDown/pulldown,Hand_MM,100210010,1002101,1002102,-10,25,Right,FixLayerView,true,,,1010,,
100210020,,RightMainMenu/backPack,Hand,,1002101,1002102,-10,25,Right,FixLayerView,true,,,1010,,
100210030,,ConsumeBtn,Hand,,1002101,1002102,-10,25,Left,UIItemBag,true,,,1010,,
100210040,,Cell_803001,Hand,,1002101,1002102,-10,25,Left,UIItemBag,true,,,1010,,
100210050,,EquipDetailComposeBtn,Hand,,1002101,1002102,-10,25,Left,UIItemBag,true,,,1010,,
100210060,,204001/AddBtn,Hand,,1002101,1002102,-10,25,Left,UIHeroExpConsume,true,,,1010,,
100220000,,UI_RoleUgrade(Clone)/offset/QueDing,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1002201,1002202,-10,25,Left,RoleLevelUpgrade,,,,1011,true,
100220010,,,Send_Cmd,"startPlot(""200001"")",1002201,1002202,-10,25,Left,MainView,,,,1010,,
100220020,,MainRoleModel,Hand,,1002203,1002202,,250,Left,MainView,,,,1010,,
100220030,,player/career,Hand,,1002201,1002202,-10,25,Left,Role,,,,1010,,
100220040,,,Send_Cmd,"startPlot(""200002"")",1002201,1002202,-10,25,Left,Career,,,,1010,,
100220050,,UI_UpgradeQuality(Clone)/CloseBtn,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1002201,1002204,-10,25,Left,RoleAdvance,,,,1011,true,
100220060,,,Send_Cmd,"startPlot(""200003"")",1002201,1002204,-10,25,Left,MainView,,true,,1011,,
100230010,,UI_Win(Clone)/ToIndex,Hand,,1002301,1002302,-10,25,Left,BattleResultView,,,,1011,true,
100230020,,PullDown/pulldown,Hand_MM,100230020,1002301,1002302,-10,25,Right,FixLayerView,,,,1010,,
100230030,,RightMainMenu/task,Hand,,1002301,1002302,-10,25,Right,FixLayerView,,,,1010,,
100230040,,Scroll View/grid/10_CanAward,Hand,,1002301,1002302,-10,25,Left,Task,,,,1010,,
100230050,,PullDown/pulldown,Hand_MM,100230050,1002301,1002302,-10,25,Right,FixLayerView,,,,1010,,
100230060,,RightMainMenu/role,Hand,,1002301,1002302,-10,25,Right,FixLayerView,,,,1010,,
100230070,,roleitem_204001,Hand,,1002301,1002302,-10,25,Left,RoleList,,,,1002303,,
100240010,,tabEquip/SmeltingBtn,Hand_MM,100240010,1002401,1002402,-10,25,Left,Role,,,,1010,,
