key,name,Remarks,copyID,id,enemy1,enemy2,enemy3,enemy4,enemy5,bossIndex,bossID,boss2ID,boss3ID
110609,,110609_3,110609,110609,m_110609_3_1,m_110609_3_2,m_110609_3_3,m_110609_3_4,,4,m_110609_3_4,Hero_head/head_300015,
110610,,110610_3,110610,110610,m_110610_3_1,,,,,1,m_110610_3_1,Hero_head/head_ShenGongBao,
110611,,110611_3,110611,110611,m_110611_3_1,m_110611_3_2,m_110611_3_3,m_110611_3_4,,4,m_110611_3_4,Hero_head/head_KunPeng,
110612,,110612_1,110612,110612,m_110612_1_1,,,,,1,m_110612_1_1,Hero_head/head_AnHongMoXiang,
110701,,110701_3,110701,110701,m_110701_3_1,m_110701_3_2,m_110701_3_3,m_110701_3_4,,4,m_110701_3_4,Hero_head/head_BiCuiXianZi,
110702,,110702_3,110702,110702,m_110702_3_1,m_110702_3_2,m_110702_3_3,m_110702_3_4,,4,m_110702_3_4,Hero_head/head_LiXingBa,
110703,,110703_3,110703,110703,m_110703_3_1,m_110703_3_2,m_110703_3_3,m_110703_3_4,,4,m_110703_3_4,Hero_head/head_KunPeng,
110704,,110704_3,110704,110704,m_110704_3_1,m_110704_3_2,m_110704_3_3,,,1,m_110704_3_1,Hero_head/head_YangSen,
110705,,110705_3,110705,110705,m_110705_3_1,m_110705_3_2,m_110705_3_3,m_110705_3_4,,4,m_110705_3_4,Hero_head/head_KunPeng,
110706,,110706_1,110706,110706,m_110706_1_1,,,,,1,m_110706_1_1,Hero_head/head_AnShiMoShen,
110707,,110707_3,110707,110707,m_110707_3_1,m_110707_3_2,m_110707_3_3,m_110707_3_4,,4,m_110707_3_4,Hero_head/head_WanGuShiLing,
110708,,110708_3,110708,110708,m_110708_3_1,m_110708_3_2,m_110708_3_3,m_110708_3_4,,4,m_110708_3_4,Hero_head/head_GaoYouGan,
110709,,110709_3,110709,110709,m_110709_3_1,m_110709_3_2,m_110709_3_3,m_110709_3_4,,4,m_110709_3_4,Hero_head/head_BiCuiXianZi,
110710,,110710_3,110710,110710,m_110710_3_1,m_110710_3_2,m_110710_3_3,,,1,m_110710_3_1,Hero_head/head_DongTianJun,
110711,,110711_3,110711,110711,m_110711_3_1,m_110711_3_2,m_110711_3_3,m_110711_3_4,,4,m_110711_3_4,Hero_head/head_WanGuShiLing,
110712,,110712_1,110712,110712,m_110712_1_1,,,,,1,m_110712_1_1,Hero_head/head_TianLeiJinJiu,
110801,,110801_3,110801,110801,m_110801_3_1,m_110801_3_2,m_110801_3_3,m_110801_3_4,,4,m_110801_3_4,Hero_head/head_WanGuShiLing,
110802,,110802_3,110802,110802,m_110802_3_1,m_110802_3_2,m_110802_3_3,m_110802_3_4,,4,m_110802_3_4,Hero_head/head_GaoYouGan,
110803,,110803_3,110803,110803,m_110803_3_1,m_110803_3_2,m_110803_3_3,m_110803_3_4,,4,m_110803_3_4,Hero_head/head_LongGuShou,
110804,,110804_3,110804,110804,m_110804_3_1,m_110804_3_2,m_110804_3_3,,,1,m_110804_3_1,Hero_head/head_DongTianJun,
110805,,110805_3,110805,110805,m_110805_3_1,m_110805_3_2,m_110805_3_3,m_110805_3_4,,4,m_110805_3_4,Hero_head/head_LongGuShou,
110806,,110806_1,110806,110806,m_110806_1_1,,,,,1,m_110806_1_1,Hero_head/head_SanTouLongYan,
110807,,110807_3,110807,110807,m_110807_3_1,m_110807_3_2,m_110807_3_3,m_110807_3_4,,4,m_110807_3_4,Hero_head/head_300015,
110808,,110808_3,110808,110808,m_110808_3_1,m_110808_3_2,m_110808_3_3,,,3,m_110808_3_3,Hero_head/head_JinGuangShengMu,
110809,,110809_3,110809,110809,m_110809_3_1,m_110809_3_2,m_110809_3_3,m_110809_3_4,,4,m_110809_3_4,Hero_head/head_300015,
110810,,110810_3,110810,110810,m_110810_3_1,m_110810_3_2,m_110810_3_3,,,3,m_110810_3_3,Hero_head/head_DaJi,
110811,,110811_3,110811,110811,m_110811_3_1,m_110811_3_2,m_110811_3_3,m_110811_3_4,,4,m_110811_3_4,Hero_head/head_300015,
110812,,110812_1,110812,110812,m_110812_1_1,,,,,1,m_110812_1_1,Hero_head/head_EMoZhiXin,
110901,,110901_3,110901,110901,m_110901_3_1,m_110901_3_2,m_110901_3_3,m_110901_3_4,,4,m_110901_3_4,Hero_head/head_300015,
110902,,110902_3,110902,110902,m_110902_3_1,m_110902_3_2,m_110902_3_3,m_110902_3_4,,4,m_110902_3_4,Hero_head/head_ZhangTianJun,
110903,,110903_3,110903,110903,m_110903_3_1,m_110903_3_2,m_110903_3_3,m_110903_3_4,,4,m_110903_3_4,Hero_head/head_LongGuShou,
110904,,110904_3,110904,110904,m_110904_3_1,m_110904_3_2,m_110904_3_3,,,1,m_110904_3_1,Hero_head/head_DongTianJun,
110905,,110905_3,110905,110905,m_110905_3_1,m_110905_3_2,m_110905_3_3,m_110905_3_4,,4,m_110905_3_4,Hero_head/head_LongGuShou,
110906,,110906_1,110906,110906,m_110906_1_1,,,,,1,m_110906_1_1,Hero_head/head_LingHunLieShou,
110907,,110907_3,110907,110907,m_110907_3_1,m_110907_3_2,m_110907_3_3,m_110907_3_4,,4,m_110907_3_4,Hero_head/head_WanGuShiLing,
110908,,110908_3,110908,110908,m_110908_3_1,m_110908_3_2,m_110908_3_3,m_110908_3_4,,4,m_110908_3_4,Hero_head/head_YuanTianJun,
110909,,110909_3,110909,110909,m_110909_3_1,m_110909_3_2,m_110909_3_3,m_110909_3_4,,4,m_110909_3_4,Hero_head/head_300015,
110910,,110910_3,110910,110910,m_110910_3_1,m_110910_3_2,m_110910_3_3,,,3,m_110910_3_3,Hero_head/head_WenZhong,
110911,,110911_3,110911,110911,m_110911_3_1,m_110911_3_2,m_110911_3_3,m_110911_3_4,,4,m_110911_3_4,Hero_head/head_KunPeng,
110912,,110912_1,110912,110912,m_110912_1_1,,,,,1,m_110912_1_1,Hero_head/head_YuanGuDiLing,
111001,,111001_3,111001,111001,m_111001_3_1,m_111001_3_2,m_111001_3_3,m_111001_3_4,,4,m_111001_3_4,Hero_head/head_LongGuShou,
111002,,111002_3,111002,111002,m_111002_3_1,m_111002_3_2,m_111002_3_3,,,3,m_111002_3_3,Hero_head/head_JinGuangShengMu,
111003,,111003_3,111003,111003,m_111003_3_1,m_111003_3_2,m_111003_3_3,m_111003_3_4,,4,m_111003_3_4,Hero_head/head_LongGuShou,
111004,,111004_3,111004,111004,m_111004_3_1,m_111004_3_2,m_111004_3_3,,,3,m_111004_3_3,Hero_head/head_YuanTianJun,
111005,,111005_3,111005,111005,m_111005_3_1,m_111005_3_2,m_111005_3_3,m_111005_3_4,,4,m_111005_3_4,Hero_head/head_WanGuShiLing,
111006,,111006_1,111006,111006,m_111006_1_1,,,,,1,m_111006_1_1,Hero_head/head_ShenYuanTongShuai,
111007,,111007_3,111007,111007,m_111007_3_1,m_111007_3_2,m_111007_3_3,m_111007_3_4,,4,m_111007_3_4,Hero_head/head_300015,
111008,,111008_3,111008,111008,m_111008_3_1,m_111008_3_2,m_111008_3_3,m_111008_3_4,,4,m_111008_3_4,Hero_head/head_ZhangTianJun,
111009,,111009_3,111009,111009,m_111009_3_1,m_111009_3_2,m_111009_3_3,m_111009_3_4,,4,m_111009_3_4,Hero_head/head_300015,
111010,,111010_3,111010,111010,m_111010_3_1,m_111010_3_2,m_111010_3_3,,,3,m_111010_3_3,Hero_head/head_WenZhong,
111011,,111011_3,111011,111011,m_111011_3_1,m_111011_3_2,m_111011_3_3,m_111011_3_4,,4,m_111011_3_4,Hero_head/head_JiXieShouWei,
111012,,111012_1,111012,111012,m_111012_1_1,,,,,1,m_111012_1_1,Hero_head/head_FengXueNvShen,
111101,,111101_3,111101,111101,m_111101_3_1,m_111101_3_2,m_111101_3_3,m_111101_3_4,,4,m_111101_3_4,Hero_head/head_300015,
111102,,111102_3,111102,111102,m_111102_3_1,,,,,1,m_111102_3_1,Hero_head/head_YangJian,
111103,,111103_3,111103,111103,m_111103_3_1,m_111103_3_2,m_111103_3_3,m_111103_3_4,,4,m_111103_3_4,Hero_head/head_LongGuShou,
111104,,111104_3,111104,111104,m_111104_3_1,m_111104_3_2,m_111104_3_3,,,3,m_111104_3_3,Hero_head/head_YunZhongZi,
111105,,111105_3,111105,111105,m_111105_3_1,m_111105_3_2,m_111105_3_3,m_111105_3_4,,4,m_111105_3_4,Hero_head/head_LongGuShou,
111106,,111106_1,111106,111106,m_111106_1_1,,,,,1,m_111106_1_1,Hero_head/head_LieDiZhiQuan,
111107,,111107_3,111107,111107,m_111107_3_1,m_111107_3_2,m_111107_3_3,m_111107_3_4,,4,m_111107_3_4,Hero_head/head_300015,
111108,,111108_3,111108,111108,m_111108_3_1,m_111108_3_2,m_111108_3_3,m_111108_3_4,,4,m_111108_3_4,Hero_head/head_GuangChengZi,
111109,,111109_3,111109,111109,m_111109_3_1,m_111109_3_2,m_111109_3_3,m_111109_3_4,,4,m_111109_3_4,Hero_head/head_KunPeng,
111110,,111110_3,111110,111110,m_111110_3_1,,,,,1,m_111110_3_1,Hero_head/head_DaoXingTianZun,
111111,,111111_3,111111,111111,m_111111_3_1,m_111111_3_2,m_111111_3_3,m_111111_3_4,,4,m_111111_3_4,Hero_head/head_JiXieShouWei,
111112,,111112_1,111112,111112,m_111112_1_1,,,,,1,m_111112_1_1,Hero_head/head_JuDunZhanShi,
111201,,111201_3,111201,111201,m_111201_3_1,m_111201_3_2,m_111201_3_3,m_111201_3_4,,4,m_111201_3_4,Hero_head/head_300015,
111202,,111202_3,111202,111202,m_111202_3_1,m_111202_3_2,m_111202_3_3,,,3,m_111202_3_3,Hero_head/head_LingBaoDaFaShi,
111203,,111203_3,111203,111203,m_111203_3_1,m_111203_3_2,m_111203_3_3,m_111203_3_4,,4,m_111203_3_4,Hero_head/head_LongGuShou,
111204,,111204_3,111204,111204,m_111204_3_1,m_111204_3_2,m_111204_3_3,,,3,m_111204_3_3,Hero_head/head_LeiZhenZi,
111205,,111205_3,111205,111205,m_111205_3_1,m_111205_3_2,m_111205_3_3,m_111205_3_4,,4,m_111205_3_4,Hero_head/head_LongGuShou,
111206,,111206_1,111206,111206,m_111206_1_1,,,,,1,m_111206_1_1,Hero_head/head_SanTouLongYan,
111207,,111207_3,111207,111207,m_111207_3_1,m_111207_3_2,m_111207_3_3,m_111207_3_4,,4,m_111207_3_4,Hero_head/head_300015,
111208,,111208_3,111208,111208,m_111208_3_1,,,,,1,m_111208_3_1,Hero_head/head_RanDeng,
