key,Remarks,itemid,probability,num,max,quality,itemsFormula
1172,,704006,2500,1,1,1,30006
1173,,704009,2500,1,1,1,30007
1174,,704010,2500,1,1,1,30008
1175,,704011,2500,1,1,1,30009
1176,,704012,1923,1,1,1,30010
1177,,704013,2083,1,1,1,30011
1178,,704016,2500,1,1,1,30012
1179,,704017,2500,1,1,1,30013
1180,,704018,2500,1,1,1,30014
1181,,704019,2500,1,1,1,30015
1182,,704021,2272,1,1,1,30016
1183,,704023,2272,1,1,1,30017
1184,,704024,2500,1,1,1,30018
1185,,704026,2500,1,1,1,30019
1186,,704028,1923,1,1,1,30020
1187,,704030,2500,1,1,1,30021
1188,,704031,1923,1,1,1,30022
1189,,704032,2272,1,1,1,30023
1190,,704033,2500,1,1,1,30024
1191,,704035,2500,1,1,1,30025
1192,,704036,2272,1,1,1,30026
1193,,704037,2272,1,1,1,30027
1194,,704038,2272,1,1,1,30028
1195,,802002,5000,1,1,1,40001
1196,,802001,5000,1,1,1,40001
1197,,802002,5000,1,1,1,40002
1198,,802002,5000,1,1,1,40002
1199,,802003,3000,1,1,1,40003
1200,,802002,4000,1,1,1,40003
1201,,802003,3000,1,1,1,40003
1202,,802003,3000,1,1,1,40004
1203,,802003,4000,1,1,1,40004
1204,,802004,3000,1,1,2,40004
1205,,802004,10000,1,1,2,40005
1206,,803002,10000,1,1,2,40011
1207,,803002,5000,1,1,2,40012
1208,,803003,5000,1,1,2,40012
1209,,803002,5000,1,1,2,40013
1210,,803003,5000,1,1,2,40013
1211,,803002,5000,1,1,2,40014
1212,,803003,5000,1,1,2,40014
1213,,803002,5000,1,1,2,40015
1214,,803003,5000,1,1,2,40015
1215,,700190,5000,1,1,2,50001
1216,,700167,5000,1,1,2,50001
1217,,700149,5000,1,1,2,50001
1218,,700137,5000,1,1,2,50001
1219,,700125,5000,1,1,2,50001
1220,,700113,5000,1,1,2,50001
1221,,700101,8000,1,1,2,50001
1222,,700074,5000,1,1,2,50001
1223,,700062,5000,1,1,2,50001
1224,,700038,5000,1,1,2,50001
1225,,700026,5000,1,1,2,50001
1226,,700014,5000,1,1,2,50001
1227,,700002,5000,1,1,2,50001
1228,,700182,3000,1,1,2,50001
1229,,700175,3000,1,1,2,50001
1230,,700158,5000,1,1,2,50001
1231,,700138,3000,1,1,2,50001
1232,,700126,5000,1,1,2,50001
1233,,700114,5000,1,1,2,50001
1234,,700102,3000,1,1,2,50001
1235,,700075,3000,1,1,2,50001
1236,,700063,5000,1,1,2,50001
1237,,700039,5000,1,1,2,50001
1238,,700027,5000,1,1,2,50001
1239,,700015,5000,1,1,2,50001
1240,,700003,3000,1,1,2,50001
1241,,700191,2500,1,1,2,50002
1242,,700168,3333,1,1,2,50002
1243,,700159,2500,1,1,2,50002
1244,,700150,3333,1,1,2,50002
1245,,700139,3333,1,1,2,50002
1246,,700127,3333,1,1,2,50002
1247,,700115,3333,1,1,2,50002
1248,,700103,3333,1,1,2,50002
1249,,700096,2500,1,1,2,50002
1250,,700092,2500,1,1,2,50002
1251,,700076,3333,1,1,2,50002
1252,,700064,3333,1,1,2,50002
1253,,700040,5500,1,1,2,50002
1254,,700028,3333,1,1,2,50002
1255,,700016,3333,1,1,2,50002
1256,,700004,2500,1,1,1,50002
1257,,700192,3333,1,1,1,50003
1258,,700183,3333,1,1,1,50003
1259,,700176,3333,1,1,1,50003
1260,,700169,3333,1,1,1,50003
1261,,700151,3333,1,1,1,50003
1262,,700140,3333,1,1,1,50003
1263,,700128,7000,1,1,1,50003
1264,,700116,6000,1,1,1,50003
1265,,700104,6000,1,1,1,50003
1266,,700077,7000,1,1,1,50003
1267,,700065,3333,1,1,1,50003
1268,,700041,3333,1,1,1,50003
1269,,700029,3333,1,1,1,50003
1270,,700017,3333,1,1,1,50003
1271,,700005,3333,1,1,1,50003
1272,,700184,1000,1,1,1,50004
1273,,700160,3333,1,1,1,50004
1274,,700152,3333,1,1,1,50004
1275,,700141,1000,1,1,1,50004
1276,,700129,3333,1,1,1,50004
1277,,700117,7000,1,1,1,50004
1278,,700105,6000,1,1,1,50004
1279,,700078,3333,1,1,1,50004
1280,,700066,3333,1,1,1,50004
1281,,700042,3333,1,1,1,50004
1282,,700030,3333,1,1,1,50004
1283,,700018,3333,1,1,1,50004
1284,,700006,1000,1,1,1,50004
1285,,700193,1500,1,1,1,50005
1286,,700177,1500,1,1,1,50005
1287,,700170,1500,1,1,1,50005
1288,,700161,2500,1,1,1,50005
1289,,700142,2500,1,1,1,50005
1290,,700130,2500,1,1,1,50005
1291,,700118,2500,1,1,1,50005
1292,,700106,1500,1,1,1,50005
1293,,700097,1500,1,1,1,50005
1294,,700093,1500,1,1,1,50005
1295,,700085,2500,1,1,1,50005
1296,,700079,2500,1,1,1,50005
1297,,700067,1500,1,1,1,50005
1298,,700055,2500,1,1,1,50005
1299,,700049,1500,1,1,1,50005
1300,,700043,2500,1,1,1,50005
1301,,700031,1000,1,1,1,50005
1302,,700019,2500,1,1,1,50005
1303,,700007,2500,1,1,1,50005
1304,,700174,8000,1,1,1,20002
1305,,700181,8000,1,1,1,20002
1306,,700189,8000,1,1,1,20002
1307,,700148,8000,1,1,1,20002
1308,,700157,8000,1,1,1,20002
1309,,700166,4000,1,1,1,20002
1310,,700100,4000,1,1,1,20002
1311,,700112,8000,1,1,1,20002
1312,,700124,8000,1,1,1,20002
1313,,700136,3000,1,1,1,20002
1314,,700091,8000,1,1,1,20002
1315,,700061,8000,1,1,1,20002
1316,,700073,8000,1,1,1,20002
1317,,700001,3000,1,1,1,20002
1318,,700013,8000,1,1,1,20002
1319,,700025,8000,1,1,1,20002
1320,,700037,8000,1,1,1,20002
1321,,700190,4500,1,1,1,20002
1322,,700149,4500,1,1,1,20002
1323,,700167,4500,1,1,1,20002
1324,,700101,4500,1,1,1,20002
1325,,700113,4500,1,1,1,20002
1326,,700125,4500,1,1,1,20002
1327,,700137,4500,1,1,1,20002
1328,,700062,6000,1,1,1,20002
1329,,700074,6000,1,1,1,20002
1330,,700002,4500,1,1,1,20002
1331,,700014,4500,1,1,1,20002
1332,,700026,4500,1,1,1,20002
1333,,700038,4500,1,1,1,20002
1334,,700175,1000,1,1,1,20002
1335,,700182,1000,1,1,1,20002
1336,,700158,1000,1,1,1,20002
1337,,700102,1000,1,1,1,20002
1338,,700114,1000,1,1,1,20002
1339,,700126,1000,1,1,1,20002
1340,,700138,1000,1,1,1,20002
1341,,700063,1000,1,1,1,20002
1342,,700075,1000,1,1,1,20002
1343,,700003,1000,1,1,1,20002
1344,,700015,1000,1,1,1,20002
1345,,700027,1000,1,1,1,20002
1346,,700039,1000,1,1,1,20002
1347,,604003,1666,1,1,1,90001
1348,,604004,1666,1,1,1,90001
1349,,604005,1666,1,1,1,90001
1350,,604008,1666,1,1,1,90001
1351,,604003,2500,1,1,1,90002
1352,,604004,2500,1,1,1,90002
1353,,604005,2500,1,1,1,90002
1354,,604008,2500,1,1,1,90002
1355,,604015,250,1,1,1,90003
1356,,604016,250,1,1,1,90003
1357,,604006,250,1,1,1,90003
1358,,604009,250,1,1,1,90003
1359,,604014,250,1,1,1,90003
1360,,604007,250,1,1,1,90003
1361,,604011,250,1,1,1,90003
1362,,604013,250,1,1,1,90003
1363,,604017,266,1,1,1,90004
1364,,604010,266,1,1,1,90004
1365,,604012,266,1,1,1,90004
1366,,801001,4800,1,1,1,90005
1367,,801002,900,1,1,1,90005
1368,,801003,300,1,1,1,90005
