id,fk,itemTemplateId,maxMisspCount,maxDropCount
1103041,,700073,1,3
1103051,,700101,1,3
1103061,,700101,1,3
1104011,,700113,1,3
1104021,,700113,1,3
1104031,,700125,1,3
1104041,,700125,1,3
1104051,,700137,1,3
1104061,,700137,1,3
1104071,,700074,1,3
1104081,,700074,1,3
1104091,,702096,1,3
1104101,,702096,1,3
1105011,,702158,1,3
1105021,,702158,1,3
1105031,,702103,2,2
1105041,,702103,2,2
1105051,,702141,2,2
1105061,,702141,2,2
1105071,,702106,2,2
1105081,,702106,2,2
1105091,,702140,2,2
1105101,,702140,2,2
1105111,,702097,2,2
1105121,,702097,2,2
1106011,,702159,2,2
1106021,,702159,2,2
1106031,,702183,2,2
1106041,,702183,2,2
1106051,,702104,2,2
1106061,,702104,2,2
1106071,,702116,2,2
1106081,,702116,2,2
1106091,,702128,2,2
1106101,,702128,2,2
1106111,,702139,2,2
1106121,,702139,2,2
1107011,,702087,2,2
1107021,,702087,2,2
1107031,,702170,2,2
1107041,,702170,2,2
1107051,,702185,2,2
1107061,,702185,2,2
1107071,,702104,2,2
1107081,,702104,2,2
1107091,,702116,2,2
1107101,,702116,2,2
1107111,,702128,2,2
1107121,,702128,2,2
1108011,,702139,2,2
1108021,,702139,2,2
1108031,,702087,2,2
1108041,,702087,2,2
1108051,,702170,2,2
1108061,,702170,2,2
1108071,,702185,2,2
1108081,,702185,2,2
1108091,,702105,2,2
1108101,,702105,2,2
1108111,,702117,2,2
1108121,,702117,2,2
1109011,,702129,2,2
1109021,,702129,2,2
1109031,,702115,2,2
1109041,,702115,2,2
1109051,,702078,2,2
1109061,,702078,2,2
1109071,,702105,2,2
1109081,,702105,2,2
1109091,,702117,2,2
1109101,,702117,2,2
1109111,,702129,2,2
1109121,,702129,2,2
1110011,,702115,2,2
1110021,,702115,2,2
1110031,,702078,2,2
1110041,,702078,2,2
1110051,,702127,3,2
1110061,,702127,3,2
1110071,,702118,3,2
1110081,,702118,3,2
1110091,,702130,3,2
1110101,,702130,3,2
1110111,,702142,3,2
1110121,,702142,3,2
1111011,,702088,3,2
1111021,,702088,3,2
1111031,,702186,3,2
1111041,,702186,3,2
1111051,,702172,3,2
1111061,,702172,3,2
1111071,,702098,3,2
1111081,,702098,3,2
1111091,,702127,3,2
1111101,,702127,3,2
1111111,,702118,3,2
1111121,,702118,3,2
1112011,,702130,3,2
1112021,,702130,3,2
1112031,,702142,3,2
1112041,,702142,3,2
1112051,,702088,3,2
1112061,,702088,3,2
1112071,,702186,3,2
1112081,,702186,3,2
1112091,,702172,3,2
1112101,,702172,3,2
1112111,,702098,3,2
1112121,,702098,3,2
1113011,,702107,3,2
1113021,,702107,3,2
1113031,,702119,3,2
1113041,,702119,3,2
1113051,,702131,3,2
1113061,,702131,3,2
1113071,,702143,3,2
1113081,,702143,3,2
1113091,,702089,3,2
1113101,,702089,3,2
1113111,,702107,3,2
1113121,,702107,3,2
1114011,,702119,3,2
1114021,,702119,3,2
1114031,,702131,3,2
1114041,,702131,3,2
1114051,,702143,3,2
1114061,,702143,3,2
1114071,,702089,3,2
1114081,,702089,3,2
1114091,,702187,3,2
1114101,,702187,3,2
1114111,,702053,3,2
1114121,,702053,3,2
1115011,,702108,3,2
1115021,,702108,3,2
1115031,,702120,3,2
1115041,,702120,3,2
1115051,,702132,3,2
1115061,,702132,3,2
1115071,,702144,3,2
1115081,,702144,3,2
1115091,,702081,3,2
1115101,,702081,3,2
1115111,,702109,7,1
1115121,,702109,7,1
1116011,,702121,7,1
1116021,,702121,7,1
1116031,,702133,7,1
1116041,,702133,7,1
1116051,,702145,7,1
1116061,,702145,7,1
1116071,,702082,7,1
1116081,,702082,7,1
1116091,,702164,7,1
1116101,,702164,7,1
1116111,,702188,7,1
1116121,,702188,7,1
1117011,,702099,7,1
1117021,,702099,7,1
1117031,,702109,7,1
1117041,,702109,7,1
1117051,,702121,7,1
1117061,,702121,7,1
1117071,,702133,7,1
1117081,,702133,7,1
1117091,,702145,7,1
1117101,,702145,7,1
1117111,,702082,7,1
1117121,,702082,7,1
1118011,,702164,7,1
1118021,,702164,7,1
1118031,,702188,7,1
1118041,,702188,7,1
1118051,,702099,7,1
1118061,,702099,7,1
1118071,,702110,7,1
1118081,,702110,7,1
1118091,,702122,7,1
1118101,,702122,7,1
1118111,,702134,7,1
1118121,,702134,7,1
1119011,,702146,7,1
1119021,,702146,7,1
1119031,,702083,7,1
1119041,,702083,7,1
1119051,,702110,7,1
1119061,,702110,7,1
1119071,,702122,7,1
1119081,,702122,7,1
1119091,,702134,7,1
1119101,,702134,7,1
1119111,,702146,7,1
1119121,,702146,7,1
1120011,,702083,7,1
1120021,,702083,7,1
1120031,,702165,7,1
1120041,,702165,7,1
1120051,,702196,7,1
1120061,,702196,7,1
1120071,,702165,7,1
1120081,,702165,7,1
1120091,,702196,7,1
1120101,,702196,7,1
1120111,,702111,7,1
1120121,,702111,7,1
1121011,,702123,7,1
1121021,,702123,7,1
1121031,,702135,7,1
1121041,,702135,7,1
1121051,,702147,7,1
1121061,,702147,7,1
1121071,,702084,7,1
1121081,,702084,7,1
1121091,,702111,7,1
1121101,,702111,7,1
1121111,,702123,7,1
1121121,,702123,7,1
1122011,,702135,7,1
1122021,,702135,7,1
1122031,,702147,7,1
1122041,,702147,7,1
1122051,,702084,7,1
1122061,,702084,7,1
1122071,,702111,7,1
1122081,,702111,7,1
1122091,,702123,7,1
1122101,,702123,7,1
1122111,,702135,7,1
1122121,,702135,7,1
1123011,,702147,7,1
1123021,,702147,7,1
1123031,,702084,7,1
1123041,,702084,7,1
1123051,,702111,7,1
1123061,,702111,7,1
1123071,,702123,7,1
1123081,,702123,7,1
1123091,,702135,7,1
1123101,,702135,7,1
1123111,,702147,7,1
1123121,,702147,7,1
