key,Remarks,id,name,levelType,level,description,startLevelId,endLevelId,levelPicture,rewardNumber,rewardGain,rewardStar,group,godBoxID,chapterRewardCfgId,desc,desc2
1018,,1018,第九章,1,32,北海雪原 · [FF7200]精英[-],120901,120906,bg_map007,3,"807050,807051,807052","6,12,18",9,,,,
1019,,1019,第十章,,35,北海之战,111001,111012,bg_map008,3,"807053,807054,807055","6,12,18",10,,,,
1020,,1020,第十章,1,35,北海之战 ·[FF7200]精英[-],121001,121006,bg_map008,3,"807056,807057,807058","6,12,18",10,,,,
1021,,1021,第十一章,,38,重返昆仑,111101,111112,bg_map009,3,"807059,807060,807061","6,12,18",11,,,,
1022,,1022,第十一章,1,38,重返昆仑 ·[FF7200]精英[-],121101,121106,bg_map009,3,"807062,807063,807064","6,12,18",11,,,,
1023,,1023,第十二章,,41,昆仑秘境,111201,111212,bg_map012,3,"807065,807066,807067","6,12,18",12,,,,
1024,,1024,第十二章,1,41,昆仑秘境 ·[FF7200]精英[-],121201,121206,bg_map012,3,"807068,807069,807070","6,12,18",12,,,,
1025,,1025,第十三章,,44,封神台秘境,111301,111312,bg_map013,3,"807071,807072,807073","6,12,18",13,,,,
1026,,1026,第十三章,1,44,封神台秘境 · [FF7200]精英[-],121301,121306,bg_map013,3,"807074,807075,807076","6,12,18",13,,,,
1027,,1027,第十四章,,47,封神台核心,111401,111412,bg_map005,3,"807077,807078,807079","6,12,18",14,,,,
1028,,1028,第十四章,1,47,封神台核心 · [FF7200]精英[-],121401,121406,bg_map005,3,"807080,807081,807082","6,12,18",14,,,,
1029,,1029,第十五章,,50,朝歌之行,111501,111512,bg_map006,3,"807083,807084,807085","6,12,18",15,,,,
1030,,1030,第十五章,1,50,朝歌之行 · [FF7200]精英[-],121501,121506,bg_map006,3,"807086,807087,807088","6,12,18",15,,,,
1031,,1031,第十六章,,53,殷商皇宫,111601,111612,bg_map007,3,"807089,807090,807091","6,12,18",16,,,,
1032,,1032,第十六章,1,53,殷商皇宫 · [FF7200]精英[-],121601,121606,bg_map007,3,"807092,807093,807094","6,12,18",16,,,,
1033,,1033,第十七章,,57,金鳌腹地,111701,111712,bg_map007,3,"807095,807096,807097","6,12,18",17,,,,
1034,,1034,第十七章,1,57,金鳌腹地 · [FF7200]精英[-],121701,121706,bg_map007,3,"807098,807099,807100","6,12,18",17,,,,
1035,,1035,第十八章,,61,金鳌腹地,111801,111812,bg_map007,3,"807101,807102,807103","6,12,18",18,,,,
1036,,1036,第十八章,1,61,金鳌腹地 · [FF7200]精英[-],121801,121806,bg_map007,3,"807104,807105,807106","6,12,18",18,,,,
1037,,1037,第十九章,,66,金鳌腹地,111901,111912,bg_map007,3,"807107,807108,807109","6,12,18",19,,,,
1038,,1038,第十九章,1,66,金鳌腹地 · [FF7200]精英[-],121901,121906,bg_map007,3,"807110,807111,807112","6,12,18",19,,,,
1039,,1039,第二十章,,71,金鳌腹地,112001,112012,bg_map013,3,"807107,807108,807109","6,12,18",20,,,,
1040,,1040,第二十章,1,71,金鳌腹地 · [FF7200]精英[-],122001,122006,bg_map013,3,"807110,807111,807112","6,12,18",20,,,,
1041,,1041,第二十一章,,76,金鳌腹地,112101,112112,bg_map005,3,"807107,807108,807109","6,12,18",21,,,,
1042,,1042,第二十一章,1,76,金鳌腹地 · [FF7200]精英[-],122101,122106,bg_map005,3,"807110,807111,807112","6,12,18",21,,,,
1043,,1043,第二十二章,,81,金鳌腹地,112201,112212,bg_map006,3,"807107,807108,807109","6,12,18",22,,,,
1044,,1044,第二十二章,1,81,金鳌腹地 · [FF7200]精英[-],122201,122206,bg_map006,3,"807110,807111,807112","6,12,18",22,,,,
1045,,1045,第二十三章,,86,金鳌腹地,112301,112312,bg_map007,3,"807107,807108,807109","6,12,18",23,,,,
1046,,1046,第二十三章,1,86,金鳌腹地 · [FF7200]精英[-],122301,122306,bg_map007,3,"807110,807111,807112","6,12,18",23,,,,
