key,Remarks,level,towerId,gold,towerCoin,count,formatId
83,,55,8,10600,,1,43003
84,,55,9,11700,,1,43003
85,,55,10,12900,300,1,43004
86,,55,11,14100,,1,43004
87,,55,12,15300,,1,43004
88,,55,13,16400,,1,43005
89,,55,14,18000,,1,43005
90,,55,15,19000,500,1,43005
91,,60,1,2500,,1,43001
92,,60,2,3800,,1,43001
93,,60,3,5100,,1,43001
94,,60,4,6400,,1,43002
95,,60,5,7600,200,1,43002
96,,60,6,8900,,1,43002
97,,60,7,10200,,1,43003
98,,60,8,11500,,1,43003
99,,60,9,12700,,1,43003
100,,60,10,14000,300,1,43004
101,,60,11,15300,,1,43004
102,,60,12,16600,,1,43004
103,,60,13,17800,,1,43005
104,,60,14,19000,,1,43005
105,,60,15,20000,500,1,43005
106,,65,1,2700,,1,43001
107,,65,2,4100,,1,43001
108,,65,3,5500,,1,43001
109,,65,4,6900,,1,43002
110,,65,5,8200,200,1,43002
111,,65,6,9600,,1,43002
112,,65,7,11000,,1,43003
113,,65,8,12400,,1,43003
114,,65,9,13700,,1,43003
115,,65,10,15100,300,1,43004
116,,65,11,16500,,1,43004
117,,65,12,17900,,1,43004
118,,65,13,19200,,1,43005
119,,65,14,21000,,1,43005
120,,65,15,22000,500,1,43005
121,,70,1,2900,,1,43001
122,,70,2,4400,,1,43001
123,,70,3,5900,,1,43001
124,,70,4,7400,,1,43002
125,,70,5,8800,200,1,43002
126,,70,6,10300,,1,43002
127,,70,7,11800,,1,43003
128,,70,8,13300,,1,43003
129,,70,9,14700,,1,43003
130,,70,10,16200,300,1,43004
131,,70,11,17700,,1,43004
132,,70,12,19200,,1,43004
133,,70,13,20600,,1,43005
134,,70,14,22000,,1,43005
135,,70,15,24000,500,1,43005
136,,75,1,3100,,1,43001
137,,75,2,4700,,1,43001
138,,75,3,6300,,1,43001
139,,75,4,7900,,1,43002
140,,75,5,9400,200,1,43002
141,,75,6,11000,,1,43002
142,,75,7,12600,,1,43003
143,,75,8,14200,,1,43003
144,,75,9,15700,,1,43003
145,,75,10,17300,300,1,43004
146,,75,11,18900,,1,43004
147,,75,12,20400,,1,43004
148,,75,13,22000,,1,43005
149,,75,14,24000,,1,43005
150,,75,15,25000,500,1,43005
151,,80,1,3300,,1,43001
152,,80,2,5000,,1,43001
153,,80,3,6700,,1,43001
154,,80,4,8400,,1,43002
155,,80,5,10000,200,1,43002
156,,80,6,11700,,1,43002
157,,80,7,13400,,1,43003
158,,80,8,15100,,1,43003
159,,80,9,16700,,1,43003
160,,80,10,18400,300,1,43004
161,,80,11,20100,,1,43004
162,,80,12,21700,,1,43004
163,,80,13,23400,,1,43005
164,,80,14,25000,,1,43005
165,,80,15,27000,500,1,43005
166,,85,1,3500,,1,43001
167,,85,2,5300,,1,43001
168,,85,3,7100,,1,43001
169,,85,4,8900,,1,43002
170,,85,5,10600,200,1,43002
171,,85,6,12400,,1,43002
172,,85,7,14200,,1,43003
173,,85,8,15900,,1,43003
174,,85,9,17700,,1,43003
175,,85,10,19500,300,1,43004
176,,85,11,21300,,1,43004
177,,85,12,23000,,1,43004
178,,85,13,24800,,1,43005
179,,85,14,27000,,1,43005
180,,85,15,28000,500,1,43005
181,,90,1,3700,,1,43001
182,,90,2,5600,,1,43001
183,,90,3,7500,,1,43001
184,,90,4,9400,,1,43002
185,,90,5,11200,200,1,43002
186,,90,6,13100,,1,43002
187,,90,7,15000,,1,43003
188,,90,8,16800,,1,43003
189,,90,9,18700,,1,43003
190,,90,10,20600,300,1,43004
191,,90,11,22500,,1,43004
192,,90,12,24300,,1,43004
193,,90,13,26200,,1,43005
194,,90,14,28000,,1,43005
195,,90,15,30000,500,1,43005
