key,remarks,typeId,minLevel,maxLevel,score,reward
130,,10,66,67,20,"2_30,804002_6"
131,,1,68,69,2,"2_30,804002_4"
132,,2,68,69,4,"2_30,804002_4"
133,,3,68,69,6,"2_30,804002_4"
134,,4,68,69,8,"2_30,804002_6"
135,,5,68,69,10,"2_30,804002_6"
136,,6,68,69,12,"2_30,804002_6"
137,,7,68,69,14,"2_30,804002_6"
138,,8,68,69,16,"2_30,804002_6"
139,,9,68,69,18,"2_30,804002_6"
140,,10,68,69,20,"2_30,804002_6"
141,,1,70,71,2,"2_30,804002_4"
142,,2,70,71,4,"2_30,804002_4"
143,,3,70,71,6,"2_30,804002_4"
144,,4,70,71,8,"2_30,804002_6"
145,,5,70,71,10,"2_30,804002_6"
146,,6,70,71,12,"2_30,804002_6"
147,,7,70,71,14,"2_30,804002_6"
148,,8,70,71,16,"2_30,804002_6"
149,,9,70,71,18,"2_30,804002_6"
150,,10,70,71,20,"2_30,804002_6"
151,,1,72,73,2,"2_30,804002_4"
152,,2,72,73,4,"2_30,804002_4"
153,,3,72,73,6,"2_30,804002_4"
154,,4,72,73,8,"2_30,804002_6"
155,,5,72,73,10,"2_30,804002_6"
156,,6,72,73,12,"2_30,804002_6"
157,,7,72,73,14,"2_30,804002_6"
158,,8,72,73,16,"2_30,804002_6"
159,,9,72,73,18,"2_30,804002_6"
160,,10,72,73,20,"2_30,804002_6"
161,,1,74,75,2,"2_30,804002_4"
162,,2,74,75,4,"2_30,804002_4"
163,,3,74,75,6,"2_30,804002_4"
164,,4,74,75,8,"2_30,804002_7"
165,,5,74,75,10,"2_30,804002_7"
166,,6,74,75,12,"2_30,804002_7"
167,,7,74,75,14,"2_30,804002_7"
168,,8,74,75,16,"2_30,804002_7"
169,,9,74,75,18,"2_30,804002_7"
170,,10,74,75,20,"2_30,804002_7"
171,,1,76,77,2,"2_30,804002_4"
172,,2,76,77,4,"2_30,804002_4"
173,,3,76,77,6,"2_30,804002_4"
174,,4,76,77,8,"2_30,804002_7"
175,,5,76,77,10,"2_30,804002_7"
176,,6,76,77,12,"2_30,804002_7"
177,,7,76,77,14,"2_30,804002_7"
178,,8,76,77,16,"2_30,804002_7"
179,,9,76,77,18,"2_30,804002_7"
180,,10,76,77,20,"2_30,804002_7"
181,,1,78,79,2,"2_30,804002_5"
182,,2,78,79,4,"2_30,804002_5"
183,,3,78,79,6,"2_30,804002_5"
184,,4,78,79,8,"2_30,804002_7"
185,,5,78,79,10,"2_30,804002_7"
186,,6,78,79,12,"2_30,804002_7"
187,,7,78,79,14,"2_30,804002_7"
188,,8,78,79,16,"2_30,804002_7"
189,,9,78,79,18,"2_30,804002_7"
190,,10,78,79,20,"2_30,804002_7"
191,,1,80,81,2,"2_30,804002_5"
192,,2,80,81,4,"2_30,804002_5"
193,,3,80,81,6,"2_30,804002_5"
194,,4,80,81,8,"2_30,804002_7"
195,,5,80,81,10,"2_30,804002_7"
196,,6,80,81,12,"2_30,804002_7"
197,,7,80,81,14,"2_30,804002_7"
198,,8,80,81,16,"2_30,804002_7"
199,,9,80,81,18,"2_30,804002_7"
200,,10,80,81,20,"2_30,804002_7"
201,,1,82,83,2,"2_30,804002_5"
202,,2,82,83,4,"2_30,804002_5"
203,,3,82,83,6,"2_30,804002_5"
204,,4,82,83,8,"2_30,804002_8"
205,,5,82,83,10,"2_30,804002_8"
206,,6,82,83,12,"2_30,804002_8"
207,,7,82,83,14,"2_30,804002_8"
208,,8,82,83,16,"2_30,804002_8"
209,,9,82,83,18,"2_30,804002_8"
210,,10,82,83,20,"2_30,804002_8"
211,,1,84,85,2,"2_30,804002_5"
212,,2,84,85,4,"2_30,804002_5"
213,,3,84,85,6,"2_30,804002_5"
214,,4,84,85,8,"2_30,804002_8"
215,,5,84,85,10,"2_30,804002_8"
216,,6,84,85,12,"2_30,804002_8"
217,,7,84,85,14,"2_30,804002_8"
218,,8,84,85,16,"2_30,804002_8"
219,,9,84,85,18,"2_30,804002_8"
220,,10,84,85,20,"2_30,804002_8"
221,,1,86,87,2,"2_30,804002_5"
222,,2,86,87,4,"2_30,804002_5"
223,,3,86,87,6,"2_30,804002_5"
224,,4,86,87,8,"2_30,804002_8"
225,,5,86,87,10,"2_30,804002_8"
226,,6,86,87,12,"2_30,804002_8"
227,,7,86,87,14,"2_30,804002_8"
228,,8,86,87,16,"2_30,804002_8"
229,,9,86,87,18,"2_30,804002_8"
230,,10,86,87,20,"2_30,804002_8"
231,,1,88,90,2,"2_30,804002_5"
232,,2,88,90,4,"2_30,804002_5"
233,,3,88,90,6,"2_30,804002_5"
234,,4,88,90,8,"2_30,804002_8"
235,,5,88,90,10,"2_30,804002_8"
236,,6,88,90,12,"2_30,804002_8"
237,,7,88,90,14,"2_30,804002_8"
238,,8,88,90,16,"2_30,804002_8"
239,,9,88,90,18,"2_30,804002_8"
240,,10,88,90,20,"2_30,804002_8"
