key,remark,id,title,icon,altar,desc,sortId,quality,preTask,openLevel,superType,finishType,finishParam,reward,achievementPoint,skip,sortId
1020,,1020,英雄数量,Item/801001,Icon,收集12名英雄,46,2,1019,,1,5,12,"803001_40,1_40000",5,,
1021,,1021,英雄数量,Item/801001,Icon,收集13名英雄,47,2,1020,,1,5,13,"803001_45,1_45000",5,,
1022,,1022,英雄数量,Item/801001,Icon,收集14名英雄,48,2,1021,,1,5,14,"803001_50,1_50000",5,,
1023,,1023,英雄数量,Item/801001,Icon,收集15名英雄,49,2,1022,,1,5,15,"803001_55,1_55000",5,,
1024,,1024,英雄数量,Item/801001,Icon,收集16名英雄,50,2,1023,,1,5,16,"803001_60,1_60000",5,,
1025,,1025,英雄数量,Item/801001,Icon,收集17名英雄,51,2,1024,,1,5,17,"803001_65,1_65000",5,,
1026,,1026,英雄数量,Item/801001,Icon,收集18名英雄,52,2,1025,,1,5,18,"803001_70,1_70000",5,,
1027,,1027,英雄数量,Item/801001,Icon,收集19名英雄,53,2,1026,,1,5,19,"803001_75,1_75000",5,,
1028,,1028,英雄数量,Item/801001,Icon,收集20名英雄,54,2,1027,,1,5,20,"803001_80,1_80000",5,,
1029,,1029,英雄数量,Item/801001,Icon,收集21名英雄,55,2,1028,,1,5,21,"803001_85,1_85000",5,,
1030,,1030,英雄数量,Item/801001,Icon,收集22名英雄,56,2,1029,,1,5,22,"803001_90,1_90000",5,,
1031,,1031,英雄数量,Item/801001,Icon,收集23名英雄,57,2,1030,,1,5,23,"803001_95,1_95000",5,,
1032,,1032,英雄数量,Item/801001,Icon,收集24名英雄,58,2,1031,,1,5,24,"803001_100,1_100000",5,,
1033,,1033,英雄数量,Item/801001,Icon,收集25名英雄,59,2,1032,,1,5,25,"803001_105,1_105000",5,,
1034,,1034,英雄数量,Item/801001,Icon,收集26名英雄,60,2,1033,,1,5,26,"803001_110,1_110000",5,,
1035,,1035,英雄数量,Item/801001,Icon,收集27名英雄,61,2,1034,,1,5,27,"803001_115,1_115000",5,,
1036,,1036,英雄数量,Item/801002,Icon,收集28名英雄,62,2,1035,,1,5,28,"803001_120,1_120000",5,,
1037,,1037,英雄数量,Item/801003,Icon,收集29名英雄,63,2,1036,,1,5,29,"803001_125,1_125000",5,,
1038,,1038,勇往直前,Hero_head/head_TianLeiJinJiu,Icon,通关普通战役：封印魔兽,1,1,-1,,1,10,110106,"704004_2,1_1000",5,,
1039,,1039,勇往直前,Hero_head/head_MoLiQing,Icon,通关普通战役：拦路者,2,1,1038,,1,10,110203,"704004_2,1_1000",5,,
1040,,1040,勇往直前,Hero_head/head_MoLiShou,Icon,通关普通战役：魔家大将,3,1,1039,,1,10,110206,"704004_2,1_1000",5,,
1041,,1041,勇往直前,Hero_head/head_EMoZhiXin,Icon,通关普通战役：恶魔傀儡,4,1,1040,,1,10,110209,"704004_2,1_1000",5,,
1042,,1042,势如破竹,Item/icon_ZuanShi_01,Icon,通关精英战役：哼哈神威,5,2,-1,,1,12,120101,"2_15,1_2000",10,,
1043,,1043,势如破竹,Item/icon_ZuanShi_01,Icon,通关精英战役：萝莉助手,6,2,1042,,1,12,120102,"2_15,1_2000",10,,
1044,,1044,势如破竹,Item/icon_ZuanShi_01,Icon,通关精英战役：魔家战力,7,2,1043,,1,12,120103,"2_15,1_2000",10,,
1045,,1045,势如破竹,Item/icon_ZuanShi_01,Icon,通关精英战役：魔家挑战,8,2,1044,,1,12,120201,"2_15,1_2000",10,,
1046,,1046,势如破竹,Item/icon_ZuanShi_01,Icon,通关精英战役：撑伞浪人,9,2,1045,,1,12,120202,"2_15,1_2000",10,,
1047,,1047,势如破竹,Item/icon_ZuanShi_01,Icon,通关精英战役：小熊萝莉,10,2,1046,,1,12,120203,"2_15,1_2000",10,,
1048,,1048,天石之秘,Hero_head/head_MoLiQing,Icon,通关章节：天石之秘,11,3,-1,,1,9,1001,"2_20,704004_3",5,,
1049,,1049,守护灵兽,Hero_head/head_MoLiQing,Icon,通关章节：守护灵兽,12,3,1048,,1,9,1003,"2_30,704004_3",5,,
1050,,1050,李家秘术,Hero_head/head_MoLiQing,Icon,通关章节：李家秘术,13,3,1049,,1,9,1005,"2_40,704004_3",5,,
1051,,1051,派系之争,Hero_head/head_MoLiQing,Icon,通关章节：派系之争,14,3,1050,,1,9,1007,"2_50,704004_3",5,,
1052,,1052,九龙遗址,Hero_head/head_MoLiQing,Icon,通关章节：九龙遗址,15,3,1051,,1,9,1009,"2_60,704004_3",5,,
1053,,1053,闻仲现身,Hero_head/head_MoLiQing,Icon,通关章节：闻仲现身,16,3,1052,,1,9,1011,"2_70,704004_3",5,,
1054,,1054,北海之战,Hero_head/head_MoLiQing,Icon,通关章节：北海之战,17,3,1053,,1,9,1013,"2_80,704004_3",5,,
1055,,1055,倾世妖姬,Hero_head/head_MoLiQing,Icon,通关章节：倾世妖姬,18,3,1054,,1,9,1015,"2_90,704004_3",5,,
1056,,1056,天石之秘·精英,Hero_head/head_MoLiQing,Icon,通关精英章节：天石之秘·精英,19,4,-1,,1,9,1002,"2_40,704004_5",10,,
1057,,1057,守护灵兽·精英,Hero_head/head_MoLiQing,Icon,通关精英章节：守护灵兽·精英,20,4,1056,,1,9,1004,"2_60,704004_5",10,,
1058,,1058,李家秘术·精英,Hero_head/head_MoLiQing,Icon,通关精英章节：李家秘术·精英,21,4,1057,,1,9,1006,"2_80,704004_5",10,,
1059,,1059,派系之争·精英,Hero_head/head_MoLiQing,Icon,通关精英章节：派系之争·精英,22,4,1058,,1,9,1008,"2_100,704004_5",10,,
1060,,1060,九龙遗址·精英,Hero_head/head_MoLiQing,Icon,通关精英章节：九龙遗址·精英,23,4,1059,,1,9,1010,"2_120,704004_5",10,,
1061,,1061,闻仲现身·精英,Hero_head/head_MoLiQing,Icon,通关精英章节：闻仲现身·精英,24,4,1060,,1,9,1012,"2_140,704004_5",10,,
1062,,1062,北海之战·精英,Hero_head/head_MoLiQing,Icon,通关精英章节：北海之战·精英,25,4,1061,,1,9,1014,"2_160,704004_5",10,,
1063,,1063,倾世妖姬·精英,Hero_head/head_MoLiQing,Icon,通关精英章节：倾世妖姬·精英,26,4,1062,,1,9,1016,"2_180,704004_5",10,,
1064,,1064,英雄进阶,Hero_head/head_MoLiShou,Icon,将1个英雄进阶至绿色,62,1,-1,6,1,7,1_1,"2_10,1_1000",10,,
1065,,1065,英雄进阶,Hero_head/head_MoLiShou,Icon,将2个英雄进阶至绿色,63,1,1064,,1,7,2_1,"2_10,1_1000",10,,
1066,,1066,英雄进阶,Hero_head/head_MoLiShou,Icon,将3个英雄进阶至绿色,64,1,1065,,1,7,3_1,"2_10,1_1000",10,,
1067,,1067,英雄进阶,Hero_head/head_MoLiShou,Icon,将4个英雄进阶至绿色,65,1,1066,,1,7,4_1,"2_10,1_1000",10,,
1068,,1068,英雄进阶,Hero_head/head_WangMo,Icon,将1个英雄进阶至绿色+1,66,1,-1,12,1,7,1_2,"2_20,1_5000",10,,
1069,,1069,英雄进阶,Hero_head/head_WangMo,Icon,将2个英雄进阶至绿色+1,67,1,1068,,1,7,2_2,"2_20,1_5000",10,,
1070,,1070,英雄进阶,Hero_head/head_WangMo,Icon,将3个英雄进阶至绿色+1,68,1,1069,,1,7,3_2,"2_20,1_5000",10,,
1071,,1071,英雄进阶,Hero_head/head_WangMo,Icon,将4个英雄进阶至绿色+1,69,1,1070,,1,7,4_2,"2_20,1_5000",10,,
1072,,1072,英雄进阶,Hero_head/head_WuJi,Icon,将1个英雄进阶至蓝色,70,2,-1,18,1,7,1_3,"2_30,1_9000",10,,
1073,,1073,英雄进阶,Hero_head/head_WuJi,Icon,将2个英雄进阶至蓝色,71,2,1072,,1,7,2_3,"2_30,1_9000",10,,
1074,,1074,英雄进阶,Hero_head/head_WuJi,Icon,将3个英雄进阶至蓝色,72,2,1073,,1,7,3_3,"2_30,1_9000",10,,
1075,,1075,英雄进阶,Hero_head/head_WuJi,Icon,将4个英雄进阶至蓝色,73,2,1074,,1,7,4_3,"2_30,1_9000",10,,
1076,,1076,英雄进阶,Hero_head/head_WuJi,Icon,将1个英雄进阶至蓝色+1,74,2,-1,28,1,7,1_4,"2_40,1_13000",10,,
1077,,1077,英雄进阶,Hero_head/head_WuJi,Icon,将2个英雄进阶至蓝色+1,75,2,1076,,1,7,2_4,"2_40,1_13000",10,,
1078,,1078,英雄进阶,Hero_head/head_WuJi,Icon,将3个英雄进阶至蓝色+1,76,2,1077,,1,7,3_4,"2_40,1_13000",10,,
1079,,1079,英雄进阶,Hero_head/head_WuJi,Icon,将4个英雄进阶至蓝色+1,77,2,1078,,1,7,4_4,"2_40,1_13000",10,,
1080,,1080,英雄进阶,Hero_head/head_XiMeiEr_NuQi,Icon,将1个英雄进阶至蓝色+2,78,2,-1,35,1,7,1_5,"2_50,1_17000",10,,
1081,,1081,英雄进阶,Hero_head/head_XiMeiEr_NuQi,Icon,将2个英雄进阶至蓝色+2,79,2,1080,,1,7,2_5,"2_50,1_17000",10,,
1082,,1082,英雄进阶,Hero_head/head_XiMeiEr_NuQi,Icon,将3个英雄进阶至蓝色+2,80,2,1081,,1,7,3_5,"2_50,1_17000",10,,
1083,,1083,英雄进阶,Hero_head/head_XiMeiEr_NuQi,Icon,将4个英雄进阶至蓝色+2,81,2,1082,,1,7,4_5,"2_50,1_17000",10,,
1084,,1084,英雄进阶,Hero_head/head_WenZhong,Icon,将1个英雄进阶至紫色,82,3,-1,44,1,7,1_6,"2_60,1_21000",10,,
1085,,1085,英雄进阶,Hero_head/head_WenZhong,Icon,将2个英雄进阶至紫色,83,3,1084,,1,7,2_6,"2_60,1_21000",10,,
1086,,1086,英雄进阶,Hero_head/head_WenZhong,Icon,将3个英雄进阶至紫色,84,3,1085,,1,7,3_6,"2_60,1_21000",10,,
1087,,1087,英雄进阶,Hero_head/head_WenZhong,Icon,将4个英雄进阶至紫色,85,3,1086,,1,7,4_6,"2_60,1_21000",10,,
1088,,1088,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将1个英雄进阶至紫色+1,86,3,-1,52,1,7,1_7,"2_70,1_25000",10,,
1089,,1089,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将2个英雄进阶至紫色+1,87,3,1088,,1,7,2_7,"2_70,1_25000",10,,
1090,,1090,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将3个英雄进阶至紫色+1,88,3,1089,,1,7,3_7,"2_70,1_25000",10,,
1091,,1091,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将4个英雄进阶至紫色+1,89,3,1090,,1,7,4_7,"2_70,1_25000",10,,
1092,,1092,英雄进阶,Hero_head/head_MoLiHai_NuQi,Icon,将1个英雄进阶至紫色+2,90,3,-1,60,1,7,1_8,"2_80,1_29000",10,,
1093,,1093,英雄进阶,Hero_head/head_MoLiHai_NuQi,Icon,将2个英雄进阶至紫色+2,91,3,1092,,1,7,2_8,"2_80,1_29000",10,,
1094,,1094,英雄进阶,Hero_head/head_MoLiHai_NuQi,Icon,将3个英雄进阶至紫色+2,92,3,1093,,1,7,3_8,"2_80,1_29000",10,,
1095,,1095,英雄进阶,Hero_head/head_MoLiHai_NuQi,Icon,将4个英雄进阶至紫色+2,93,3,1094,,1,7,4_8,"2_80,1_29000",10,,
1096,,1096,英雄进阶,Hero_head/head_MoLiQing,Icon,将1个英雄进阶至紫色+3,94,3,-1,68,1,7,1_9,"2_90,1_33000",10,,
1097,,1097,英雄进阶,Hero_head/head_MoLiQing,Icon,将2个英雄进阶至紫色+3,95,3,1096,,1,7,2_9,"2_90,1_33000",10,,
1098,,1098,英雄进阶,Hero_head/head_MoLiQing,Icon,将3个英雄进阶至紫色+3,96,3,1097,,1,7,3_9,"2_90,1_33000",10,,
1099,,1099,英雄进阶,Hero_head/head_MoLiQing,Icon,将4个英雄进阶至紫色+3,97,3,1098,,1,7,4_9,"2_90,1_33000",10,,
1100,,1100,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将1个英雄进阶至紫色+4,98,3,-1,74,1,7,1_10,"2_100,1_37000",10,,
1101,,1101,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将2个英雄进阶至紫色+4,99,3,1100,,1,7,2_10,"2_100,1_37000",10,,
1102,,1102,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将3个英雄进阶至紫色+4,100,3,1101,,1,7,3_10,"2_100,1_37000",10,,
1103,,1103,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将4个英雄进阶至紫色+4,101,3,1102,,1,7,4_10,"2_100,1_37000",10,,
1104,,1104,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将1个英雄进阶至金色,102,4,-1,82,1,7,1_11,"2_110,1_41000",10,,
1105,,1105,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将2个英雄进阶至金色,103,4,1104,,1,7,2_11,"2_110,1_41000",10,,
1106,,1106,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将3个英雄进阶至金色,104,4,1105,,1,7,3_11,"2_110,1_41000",10,,
1107,,1107,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将4个英雄进阶至金色,105,4,1106,,1,7,4_11,"2_110,1_41000",10,,
1108,,1108,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将1个英雄进阶至金色+1,106,4,-1,90,1,7,1_12,"2_120,1_45000",10,,
1109,,1109,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将2个英雄进阶至金色+1,107,4,1108,,1,7,2_12,"2_120,1_45000",10,,
1110,,1110,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将3个英雄进阶至金色+1,108,4,1109,,1,7,3_12,"2_120,1_45000",10,,
1111,,1111,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将4个英雄进阶至金色+1,109,4,1110,,1,7,4_12,"2_120,1_45000",10,,
1112,,1112,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将1个英雄进阶至金色+2,110,4,-1,95,1,7,1_13,"2_150,1_49000",10,,
1113,,1113,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将2个英雄进阶至金色+2,111,4,1112,,1,7,2_13,"2_150,1_49000",10,,
1114,,1114,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将3个英雄进阶至金色+2,112,4,1113,,1,7,3_13,"2_150,1_49000",10,,
1115,,1115,英雄进阶,Hero_head/head_ShenGongBao_NuQi,Icon,将4个英雄进阶至金色+2,113,4,1114,,1,7,4_13,"2_150,1_49000",10,,
1116,,1116,星级巅峰,Hero_head/head_ShenGongBao_NuQi,Icon,将1个英雄突破至3星,114,4,-1,20,1,6,1_3,"2_50,1_5000",10,,
1117,,1117,星级巅峰,Hero_head/head_ShenGongBao_NuQi,Icon,将2个英雄突破至3星,115,4,1116,,1,6,2_3,"2_50,1_5000",10,,
1118,,1118,星级巅峰,Hero_head/head_ShenGongBao_NuQi,Icon,将3个英雄突破至3星,116,4,1117,,1,6,3_3,"2_50,1_5000",10,,
1119,,1119,星级巅峰,Hero_head/head_ShenGongBao_NuQi,Icon,将4个英雄突破至3星,117,4,1118,,1,6,4_3,"2_50,1_5000",10,,
1120,,1120,星级巅峰,Hero_head/head_ShenGongBao_NuQi,Icon,将1个英雄突破至4星,118,4,-1,20,1,6,1_4,"2_80,1_8000",10,,
1121,,1121,星级巅峰,Hero_head/head_ShenGongBao_NuQi,Icon,将2个英雄突破至4星,119,4,1120,,1,6,2_4,"2_80,1_8000",10,,
1122,,1122,星级巅峰,Hero_head/head_ShenGongBao_NuQi,Icon,将3个英雄突破至4星,120,4,1121,,1,6,3_4,"2_80,1_8000",10,,
1123,,1123,星级巅峰,Hero_head/head_ShenGongBao_NuQi,Icon,将4个英雄突破至4星,121,4,1122,,1,6,4_4,"2_80,1_8000",10,,
1124,,1124,星级巅峰,Hero_head/head_ShenGongBao_NuQi,Icon,将1个英雄突破至5星,122,4,-1,25,1,6,1_5,"2_100,1_11000",10,,
1125,,1125,星级巅峰,Hero_head/head_ShenGongBao_NuQi,Icon,将2个英雄突破至5星,123,4,1124,,1,6,2_5,"2_100,1_11000",10,,
1126,,1126,星级巅峰,Hero_head/head_ShenGongBao_NuQi,Icon,将3个英雄突破至5星,124,4,1125,,1,6,3_5,"2_100,1_11000",10,,
1127,,1127,星级巅峰,Hero_head/head_ShenGongBao_NuQi,Icon,将4个英雄突破至5星,125,4,1126,,1,6,4_5,"2_100,1_11000",10,,
