key,remarks,id,planId,quality,levelNeed,costType,costCount,itemsNeedStr,attrData,precentAttrData
10006_3,,10006_3,10006,3,40,,3700,806515:1;806516:2,生命_2160,
10006_4,,10006_4,10006,4,50,,24000,806517:3;806518:4,生命_2880,
10006_5,,10006_5,10006,5,60,,43000,806519:5;806520:6,生命_3600,
10006_6,,10006_6,10006,6,70,,64500,806521:8;806522:10;806523:12,生命_4320,
10006_7,,10006_7,10006,7,80,,64500,806523:12;806524:14;806525:16,生命_5040,
10006_8,,10006_8,10006,8,90,,64500,806526:18;806527:20;806528:22,生命_5760,
10007_0,,10007_0,10007,,10,,1000,806511:1,,
10007_1,,10007_1,10007,1,20,,1200,806512:1,物理防御_60;生命_360,
10007_2,,10007_2,10007,2,30,,3000,806513:1;806514:1,物理防御_120;生命_720,
10007_3,,10007_3,10007,3,40,,3700,806515:1;806516:2,物理防御_180;生命_1080,
10007_4,,10007_4,10007,4,50,,24000,806517:3;806518:4,物理防御_240;生命_1440,
10007_5,,10007_5,10007,5,60,,43000,806519:5;806520:6,物理防御_300;生命_1800,
10007_6,,10007_6,10007,6,70,,64500,806521:8;806522:10;806523:12,物理防御_360;生命_2160,
10007_7,,10007_7,10007,7,80,,64500,806523:12;806524:14;806525:16,物理防御_420;生命_2520,
10007_8,,10007_8,10007,8,90,,64500,806526:18;806527:20;806528:22,物理防御_480;生命_2880,
10008_0,,10008_0,10008,,10,,1000,806511:1,,
10008_1,,10008_1,10008,1,20,,1200,806512:1,法术防御_48;生命_360,
10008_2,,10008_2,10008,2,30,,3000,806513:1;806514:1,法术防御_96;生命_720,
10008_3,,10008_3,10008,3,40,,3700,806515:1;806516:2,法术防御_144;生命_1080,
10008_4,,10008_4,10008,4,50,,24000,806517:3;806518:4,法术防御_192;生命_1440,
10008_5,,10008_5,10008,5,60,,43000,806519:5;806520:6,法术防御_240;生命_1800,
10008_6,,10008_6,10008,6,70,,64500,806521:8;806522:10;806523:12,法术防御_288;生命_2160,
10008_7,,10008_7,10008,7,80,,64500,806523:12;806524:14;806525:16,法术防御_336;生命_2520,
10008_8,,10008_8,10008,8,90,,64500,806526:18;806527:20;806528:22,法术防御_384;生命_2880,
10009_0,,10009_0,10009,,10,,1000,806511:1,,
10009_1,,10009_1,10009,1,20,,1200,806512:1,物理攻击_118;法术攻击_100,
10009_2,,10009_2,10009,2,30,,3000,806513:1;806514:1,物理攻击_237;法术攻击_201,
10009_3,,10009_3,10009,3,40,,3700,806515:1;806516:2,物理攻击_355;法术攻击_302,
10009_4,,10009_4,10009,4,50,,24000,806517:3;806518:4,物理攻击_474;法术攻击_403,
10009_5,,10009_5,10009,5,60,,43000,806519:5;806520:6,物理攻击_592;法术攻击_504,
10009_6,,10009_6,10009,6,70,,64500,806521:8;806522:10;806523:12,物理攻击_711;法术攻击_604,
10009_7,,10009_7,10009,7,80,,64500,806523:12;806524:14;806525:16,物理攻击_829;法术攻击_705,
10009_8,,10009_8,10009,8,90,,64500,806526:18;806527:20;806528:22,物理攻击_948;法术攻击_806,
10010_0,,10010_0,10010,,10,,1000,806511:1,,
10010_1,,10010_1,10010,1,20,,1200,806512:1,生命_665,
10010_2,,10010_2,10010,2,30,,3000,806513:1;806514:1,生命_1330,
10010_3,,10010_3,10010,3,40,,3700,806515:1;806516:2,生命_1995,
10010_4,,10010_4,10010,4,50,,24000,806517:3;806518:4,生命_2660,
10010_5,,10010_5,10010,5,60,,43000,806519:5;806520:6,生命_3325,
10010_6,,10010_6,10010,6,70,,64500,806521:8;806522:10;806523:12,生命_3990,
10010_7,,10010_7,10010,7,80,,64500,806523:12;806524:14;806525:16,生命_4655,
10010_8,,10010_8,10010,8,90,,64500,806526:18;806527:20;806528:22,生命_5320,
10011_0,,10011_0,10011,,10,,1000,806511:1,,
10011_1,,10011_1,10011,1,20,,1200,806512:1,物理防御_58;生命_332,
10011_2,,10011_2,10011,2,30,,3000,806513:1;806514:1,物理防御_116;生命_665,
10011_3,,10011_3,10011,3,40,,3700,806515:1;806516:2,物理防御_174;生命_997,
10011_4,,10011_4,10011,4,50,,24000,806517:3;806518:4,物理防御_232;生命_1330,
10011_5,,10011_5,10011,5,60,,43000,806519:5;806520:6,物理防御_290;生命_1662,
10011_6,,10011_6,10011,6,70,,64500,806521:8;806522:10;806523:12,物理防御_348;生命_1995,
10011_7,,10011_7,10011,7,80,,64500,806523:12;806524:14;806525:16,物理防御_406;生命_2327,
10011_8,,10011_8,10011,8,90,,64500,806526:18;806527:20;806528:22,物理防御_464;生命_2660,
10012_0,,10012_0,10012,,10,,1000,806511:1,,
10012_1,,10012_1,10012,1,20,,1200,806512:1,法术防御_46;生命_332,
10012_2,,10012_2,10012,2,30,,3000,806513:1;806514:1,法术防御_92;生命_665,
10012_3,,10012_3,10012,3,40,,3700,806515:1;806516:2,法术防御_139;生命_997,
10012_4,,10012_4,10012,4,50,,24000,806517:3;806518:4,法术防御_185;生命_1330,
10012_5,,10012_5,10012,5,60,,43000,806519:5;806520:6,法术防御_232;生命_1662,
10012_6,,10012_6,10012,6,70,,64500,806521:8;806522:10;806523:12,法术防御_278;生命_1995,
10012_7,,10012_7,10012,7,80,,64500,806523:12;806524:14;806525:16,法术防御_324;生命_2327,
10012_8,,10012_8,10012,8,90,,64500,806526:18;806527:20;806528:22,法术防御_371;生命_2660,
10013_0,,10013_0,10013,,10,,1000,806511:1,,
10013_1,,10013_1,10013,1,20,,1200,806512:1,物理攻击_124;法术攻击_105,
10013_2,,10013_2,10013,2,30,,3000,806513:1;806514:1,物理攻击_249;法术攻击_211,
10013_3,,10013_3,10013,3,40,,3700,806515:1;806516:2,物理攻击_373;法术攻击_316,
10013_4,,10013_4,10013,4,50,,24000,806517:3;806518:4,物理攻击_498;法术攻击_422,
10013_5,,10013_5,10013,5,60,,43000,806519:5;806520:6,物理攻击_622;法术攻击_528,
10013_6,,10013_6,10013,6,70,,64500,806521:8;806522:10;806523:12,物理攻击_747;法术攻击_633,
10013_7,,10013_7,10013,7,80,,64500,806523:12;806524:14;806525:16,物理攻击_871;法术攻击_739,
10013_8,,10013_8,10013,8,90,,64500,806526:18;806527:20;806528:22,物理攻击_996;法术攻击_844,
10014_0,,10014_0,10014,,10,,1000,806511:1,,
10014_1,,10014_1,10014,1,20,,1200,806512:1,生命_625,
10014_2,,10014_2,10014,2,30,,3000,806513:1;806514:1,生命_1250,
10014_3,,10014_3,10014,3,40,,3700,806515:1;806516:2,生命_1875,
10014_4,,10014_4,10014,4,50,,24000,806517:3;806518:4,生命_2500,
10014_5,,10014_5,10014,5,60,,43000,806519:5;806520:6,生命_3125,
10014_6,,10014_6,10014,6,70,,64500,806521:8;806522:10;806523:12,生命_3750,
10014_7,,10014_7,10014,7,80,,64500,806523:12;806524:14;806525:16,生命_4375,
10014_8,,10014_8,10014,8,90,,64500,806526:18;806527:20;806528:22,生命_5000,
10015_0,,10015_0,10015,,10,,1000,806511:1,,
10015_1,,10015_1,10015,1,20,,1200,806512:1,物理防御_56;生命_312,
10015_2,,10015_2,10015,2,30,,3000,806513:1;806514:1,物理防御_112;生命_625,
10015_3,,10015_3,10015,3,40,,3700,806515:1;806516:2,物理防御_168;生命_937,
10015_4,,10015_4,10015,4,50,,24000,806517:3;806518:4,物理防御_224;生命_1250,
10015_5,,10015_5,10015,5,60,,43000,806519:5;806520:6,物理防御_280;生命_1562,
10015_6,,10015_6,10015,6,70,,64500,806521:8;806522:10;806523:12,物理防御_336;生命_1875,
10015_7,,10015_7,10015,7,80,,64500,806523:12;806524:14;806525:16,物理防御_392;生命_2187,
10015_8,,10015_8,10015,8,90,,64500,806526:18;806527:20;806528:22,物理防御_448;生命_2500,
10016_0,,10016_0,10016,,10,,1000,806511:1,,
10016_1,,10016_1,10016,1,20,,1200,806512:1,法术防御_44;生命_312,
10016_2,,10016_2,10016,2,30,,3000,806513:1;806514:1,法术防御_89;生命_625,
10016_3,,10016_3,10016,3,40,,3700,806515:1;806516:2,法术防御_134;生命_937,
10016_4,,10016_4,10016,4,50,,24000,806517:3;806518:4,法术防御_179;生命_1250,
10016_5,,10016_5,10016,5,60,,43000,806519:5;806520:6,法术防御_224;生命_1562,
10016_6,,10016_6,10016,6,70,,64500,806521:8;806522:10;806523:12,法术防御_268;生命_1875,
10016_7,,10016_7,10016,7,80,,64500,806523:12;806524:14;806525:16,法术防御_313;生命_2187,
10016_8,,10016_8,10016,8,90,,64500,806526:18;806527:20;806528:22,法术防御_358;生命_2500,
10017_0,,10017_0,10017,,10,,1000,806511:1,,
10017_1,,10017_1,10017,1,20,,1200,806512:1,物理攻击_112;法术攻击_96,
10017_2,,10017_2,10017,2,30,,3000,806513:1;806514:1,物理攻击_225;法术攻击_192,
10017_3,,10017_3,10017,3,40,,3700,806515:1;806516:2,物理攻击_337;法术攻击_288,
10017_4,,10017_4,10017,4,50,,24000,806517:3;806518:4,物理攻击_450;法术攻击_384,
10017_5,,10017_5,10017,5,60,,43000,806519:5;806520:6,物理攻击_562;法术攻击_480,
10017_6,,10017_6,10017,6,70,,64500,806521:8;806522:10;806523:12,物理攻击_675;法术攻击_576,
10017_7,,10017_7,10017,7,80,,64500,806523:12;806524:14;806525:16,物理攻击_787;法术攻击_672,
10017_8,,10017_8,10017,8,90,,64500,806526:18;806527:20;806528:22,物理攻击_900;法术攻击_768,
10018_0,,10018_0,10018,,10,,1000,806511:1,,
10018_1,,10018_1,10018,1,20,,1200,806512:1,生命_720,
10018_2,,10018_2,10018,2,30,,3000,806513:1;806514:1,生命_1440,
10018_3,,10018_3,10018,3,40,,3700,806515:1;806516:2,生命_2160,
10018_4,,10018_4,10018,4,50,,24000,806517:3;806518:4,生命_2880,
10018_5,,10018_5,10018,5,60,,43000,806519:5;806520:6,生命_3600,
10018_6,,10018_6,10018,6,70,,64500,806521:8;806522:10;806523:12,生命_4320,
10018_7,,10018_7,10018,7,80,,64500,806523:12;806524:14;806525:16,生命_5040,
10018_8,,10018_8,10018,8,90,,64500,806526:18;806527:20;806528:22,生命_5760,
10019_0,,10019_0,10019,,10,,1000,806511:1,,
10019_1,,10019_1,10019,1,20,,1200,806512:1,物理防御_48;生命_360,
10019_2,,10019_2,10019,2,30,,3000,806513:1;806514:1,物理防御_96;生命_720,
10019_3,,10019_3,10019,3,40,,3700,806515:1;806516:2,物理防御_144;生命_1080,
10019_4,,10019_4,10019,4,50,,24000,806517:3;806518:4,物理防御_192;生命_1440,
10019_5,,10019_5,10019,5,60,,43000,806519:5;806520:6,物理防御_240;生命_1800,
10019_6,,10019_6,10019,6,70,,64500,806521:8;806522:10;806523:12,物理防御_288;生命_2160,
10019_7,,10019_7,10019,7,80,,64500,806523:12;806524:14;806525:16,物理防御_336;生命_2520,
10019_8,,10019_8,10019,8,90,,64500,806526:18;806527:20;806528:22,物理防御_384;生命_2880,
10020_0,,10020_0,10020,,10,,1000,806511:1,,
10020_1,,10020_1,10020,1,20,,1200,806512:1,法术防御_60;生命_360,
10020_2,,10020_2,10020,2,30,,3000,806513:1;806514:1,法术防御_120;生命_720,
10020_3,,10020_3,10020,3,40,,3700,806515:1;806516:2,法术防御_180;生命_1080,
10020_4,,10020_4,10020,4,50,,24000,806517:3;806518:4,法术防御_240;生命_1440,
10020_5,,10020_5,10020,5,60,,43000,806519:5;806520:6,法术防御_300;生命_1800,
10020_6,,10020_6,10020,6,70,,64500,806521:8;806522:10;806523:12,法术防御_360;生命_2160,
10020_7,,10020_7,10020,7,80,,64500,806523:12;806524:14;806525:16,法术防御_420;生命_2520,
10020_8,,10020_8,10020,8,90,,64500,806526:18;806527:20;806528:22,法术防御_480;生命_2880,
10021_0,,10021_0,10021,,10,,1000,806511:1,,
10021_1,,10021_1,10021,1,20,,1200,806512:1,物理攻击_118;法术攻击_100,
10021_2,,10021_2,10021,2,30,,3000,806513:1;806514:1,物理攻击_237;法术攻击_201,
10021_3,,10021_3,10021,3,40,,3700,806515:1;806516:2,物理攻击_355;法术攻击_302,
10021_4,,10021_4,10021,4,50,,24000,806517:3;806518:4,物理攻击_474;法术攻击_403,
10021_5,,10021_5,10021,5,60,,43000,806519:5;806520:6,物理攻击_592;法术攻击_504,
10021_6,,10021_6,10021,6,70,,64500,806521:8;806522:10;806523:12,物理攻击_711;法术攻击_604,
10021_7,,10021_7,10021,7,80,,64500,806523:12;806524:14;806525:16,物理攻击_829;法术攻击_705,
10021_8,,10021_8,10021,8,90,,64500,806526:18;806527:20;806528:22,物理攻击_948;法术攻击_806,
10022_0,,10022_0,10022,,10,,1000,806511:1,,
10022_1,,10022_1,10022,1,20,,1200,806512:1,生命_665,
10022_2,,10022_2,10022,2,30,,3000,806513:1;806514:1,生命_1330,
10022_3,,10022_3,10022,3,40,,3700,806515:1;806516:2,生命_1995,
10022_4,,10022_4,10022,4,50,,24000,806517:3;806518:4,生命_2660,
10022_5,,10022_5,10022,5,60,,43000,806519:5;806520:6,生命_3325,
10022_6,,10022_6,10022,6,70,,64500,806521:8;806522:10;806523:12,生命_3990,
10022_7,,10022_7,10022,7,80,,64500,806523:12;806524:14;806525:16,生命_4655,
10022_8,,10022_8,10022,8,90,,64500,806526:18;806527:20;806528:22,生命_5320,
10023_0,,10023_0,10023,,10,,1000,806511:1,,
10023_1,,10023_1,10023,1,20,,1200,806512:1,物理防御_46;生命_332,
10023_2,,10023_2,10023,2,30,,3000,806513:1;806514:1,物理防御_92;生命_665,
10023_3,,10023_3,10023,3,40,,3700,806515:1;806516:2,物理防御_139;生命_997,
10023_4,,10023_4,10023,4,50,,24000,806517:3;806518:4,物理防御_185;生命_1330,
10023_5,,10023_5,10023,5,60,,43000,806519:5;806520:6,物理防御_232;生命_1662,
10023_6,,10023_6,10023,6,70,,64500,806521:8;806522:10;806523:12,物理防御_278;生命_1995,
10023_7,,10023_7,10023,7,80,,64500,806523:12;806524:14;806525:16,物理防御_324;生命_2327,
10023_8,,10023_8,10023,8,90,,64500,806526:18;806527:20;806528:22,物理防御_371;生命_2660,
10024_0,,10024_0,10024,,10,,1000,806511:1,,
10024_1,,10024_1,10024,1,20,,1200,806512:1,法术防御_58;生命_332,
10024_2,,10024_2,10024,2,30,,3000,806513:1;806514:1,法术防御_116;生命_665,
10024_3,,10024_3,10024,3,40,,3700,806515:1;806516:2,法术防御_174;生命_997,
10024_4,,10024_4,10024,4,50,,24000,806517:3;806518:4,法术防御_232;生命_1330,
10024_5,,10024_5,10024,5,60,,43000,806519:5;806520:6,法术防御_290;生命_1662,
10024_6,,10024_6,10024,6,70,,64500,806521:8;806522:10;806523:12,法术防御_348;生命_1995,
10024_7,,10024_7,10024,7,80,,64500,806523:12;806524:14;806525:16,法术防御_406;生命_2327,
10024_8,,10024_8,10024,8,90,,64500,806526:18;806527:20;806528:22,法术防御_464;生命_2660,
10025_0,,10025_0,10025,,10,,1000,806511:1,,
10025_1,,10025_1,10025,1,20,,1200,806512:1,物理攻击_124;法术攻击_105,
10025_2,,10025_2,10025,2,30,,3000,806513:1;806514:1,物理攻击_249;法术攻击_211,
10025_3,,10025_3,10025,3,40,,3700,806515:1;806516:2,物理攻击_373;法术攻击_316,
10025_4,,10025_4,10025,4,50,,24000,806517:3;806518:4,物理攻击_498;法术攻击_422,
10025_5,,10025_5,10025,5,60,,43000,806519:5;806520:6,物理攻击_622;法术攻击_528,
10025_6,,10025_6,10025,6,70,,64500,806521:8;806522:10;806523:12,物理攻击_747;法术攻击_633,
10025_7,,10025_7,10025,7,80,,64500,806523:12;806524:14;806525:16,物理攻击_871;法术攻击_739,
10025_8,,10025_8,10025,8,90,,64500,806526:18;806527:20;806528:22,物理攻击_996;法术攻击_844,
10026_0,,10026_0,10026,,10,,1000,806511:1,,
10026_1,,10026_1,10026,1,20,,1200,806512:1,生命_625,
10026_2,,10026_2,10026,2,30,,3000,806513:1;806514:1,生命_1250,
10026_3,,10026_3,10026,3,40,,3700,806515:1;806516:2,生命_1875,
10026_4,,10026_4,10026,4,50,,24000,806517:3;806518:4,生命_2500,
10026_5,,10026_5,10026,5,60,,43000,806519:5;806520:6,生命_3125,
10026_6,,10026_6,10026,6,70,,64500,806521:8;806522:10;806523:12,生命_3750,
10026_7,,10026_7,10026,7,80,,64500,806523:12;806524:14;806525:16,生命_4375,
10026_8,,10026_8,10026,8,90,,64500,806526:18;806527:20;806528:22,生命_5000,
10027_0,,10027_0,10027,,10,,1000,806511:1,,
10027_1,,10027_1,10027,1,20,,1200,806512:1,物理防御_44;生命_312,
10027_2,,10027_2,10027,2,30,,3000,806513:1;806514:1,物理防御_89;生命_625,
10027_3,,10027_3,10027,3,40,,3700,806515:1;806516:2,物理防御_134;生命_937,
10027_4,,10027_4,10027,4,50,,24000,806517:3;806518:4,物理防御_179;生命_1250,
10027_5,,10027_5,10027,5,60,,43000,806519:5;806520:6,物理防御_224;生命_1562,
10027_6,,10027_6,10027,6,70,,64500,806521:8;806522:10;806523:12,物理防御_268;生命_1875,
10027_7,,10027_7,10027,7,80,,64500,806523:12;806524:14;806525:16,物理防御_313;生命_2187,
10027_8,,10027_8,10027,8,90,,64500,806526:18;806527:20;806528:22,物理防御_358;生命_2500,
10028_0,,10028_0,10028,,10,,1000,806511:1,,
10028_1,,10028_1,10028,1,20,,1200,806512:1,法术防御_56;生命_312,
10028_2,,10028_2,10028,2,30,,3000,806513:1;806514:1,法术防御_112;生命_625,
10028_3,,10028_3,10028,3,40,,3700,806515:1;806516:2,法术防御_168;生命_937,
10028_4,,10028_4,10028,4,50,,24000,806517:3;806518:4,法术防御_224;生命_1250,
10028_5,,10028_5,10028,5,60,,43000,806519:5;806520:6,法术防御_280;生命_1562,
10028_6,,10028_6,10028,6,70,,64500,806521:8;806522:10;806523:12,法术防御_336;生命_1875,
10028_7,,10028_7,10028,7,80,,64500,806523:12;806524:14;806525:16,法术防御_392;生命_2187,
10028_8,,10028_8,10028,8,90,,64500,806526:18;806527:20;806528:22,法术防御_448;生命_2500,
10029_0,,10029_0,10029,,10,,1000,806511:1,,
10029_1,,10029_1,10029,1,20,,1200,806512:1,物理攻击_138;法术攻击_110,
10029_2,,10029_2,10029,2,30,,3000,806513:1;806514:1,物理攻击_276;法术攻击_220,
10029_3,,10029_3,10029,3,40,,3700,806515:1;806516:2,物理攻击_414;法术攻击_331,
10029_4,,10029_4,10029,4,50,,24000,806517:3;806518:4,物理攻击_552;法术攻击_441,
10029_5,,10029_5,10029,5,60,,43000,806519:5;806520:6,物理攻击_690;法术攻击_552,
10029_6,,10029_6,10029,6,70,,64500,806521:8;806522:10;806523:12,物理攻击_828;法术攻击_662,
10029_7,,10029_7,10029,7,80,,64500,806523:12;806524:14;806525:16,物理攻击_966;法术攻击_772,
10029_8,,10029_8,10029,8,90,,64500,806526:18;806527:20;806528:22,物理攻击_1104;法术攻击_883,
10030_0,,10030_0,10030,,10,,1000,806511:1,,
10030_1,,10030_1,10030,1,20,,1200,806512:1,生命_435,
10030_2,,10030_2,10030,2,30,,3000,806513:1;806514:1,生命_870,
10030_3,,10030_3,10030,3,40,,3700,806515:1;806516:2,生命_1305,
10030_4,,10030_4,10030,4,50,,24000,806517:3;806518:4,生命_1740,
10030_5,,10030_5,10030,5,60,,43000,806519:5;806520:6,生命_2175,
10030_6,,10030_6,10030,6,70,,64500,806521:8;806522:10;806523:12,生命_2610,
10030_7,,10030_7,10030,7,80,,64500,806523:12;806524:14;806525:16,生命_3045,
10030_8,,10030_8,10030,8,90,,64500,806526:18;806527:20;806528:22,生命_3480,
10031_0,,10031_0,10031,,10,,1000,806511:1,,
10031_1,,10031_1,10031,1,20,,1200,806512:1,物理防御_54;生命_217,
10031_2,,10031_2,10031,2,30,,3000,806513:1;806514:1,物理防御_108;生命_435,
10031_3,,10031_3,10031,3,40,,3700,806515:1;806516:2,物理防御_162;生命_652,
10031_4,,10031_4,10031,4,50,,24000,806517:3;806518:4,物理防御_216;生命_870,
10031_5,,10031_5,10031,5,60,,43000,806519:5;806520:6,物理防御_270;生命_1087,
10031_6,,10031_6,10031,6,70,,64500,806521:8;806522:10;806523:12,物理防御_324;生命_1305,
10031_7,,10031_7,10031,7,80,,64500,806523:12;806524:14;806525:16,物理防御_378;生命_1522,
10031_8,,10031_8,10031,8,90,,64500,806526:18;806527:20;806528:22,物理防御_432;生命_1740,
10032_0,,10032_0,10032,,10,,1000,806511:1,,
10032_1,,10032_1,10032,1,20,,1200,806512:1,法术防御_43;生命_217,
10032_2,,10032_2,10032,2,30,,3000,806513:1;806514:1,法术防御_86;生命_435,
10032_3,,10032_3,10032,3,40,,3700,806515:1;806516:2,法术防御_129;生命_652,
10032_4,,10032_4,10032,4,50,,24000,806517:3;806518:4,法术防御_172;生命_870,
10032_5,,10032_5,10032,5,60,,43000,806519:5;806520:6,法术防御_216;生命_1087,
10032_6,,10032_6,10032,6,70,,64500,806521:8;806522:10;806523:12,法术防御_259;生命_1305,
10032_7,,10032_7,10032,7,80,,64500,806523:12;806524:14;806525:16,法术防御_302;生命_1522,
10032_8,,10032_8,10032,8,90,,64500,806526:18;806527:20;806528:22,法术防御_345;生命_1740,
10033_0,,10033_0,10033,,10,,1000,806511:1,,
10033_1,,10033_1,10033,1,20,,1200,806512:1,物理攻击_144;法术攻击_115,
10033_2,,10033_2,10033,2,30,,3000,806513:1;806514:1,物理攻击_288;法术攻击_230,
10033_3,,10033_3,10033,3,40,,3700,806515:1;806516:2,物理攻击_432;法术攻击_345,
10033_4,,10033_4,10033,4,50,,24000,806517:3;806518:4,物理攻击_576;法术攻击_460,
10033_5,,10033_5,10033,5,60,,43000,806519:5;806520:6,物理攻击_720;法术攻击_576,
10033_6,,10033_6,10033,6,70,,64500,806521:8;806522:10;806523:12,物理攻击_864;法术攻击_691,
10033_7,,10033_7,10033,7,80,,64500,806523:12;806524:14;806525:16,物理攻击_1008;法术攻击_806,
10033_8,,10033_8,10033,8,90,,64500,806526:18;806527:20;806528:22,物理攻击_1152;法术攻击_921,
10034_0,,10034_0,10034,,10,,1000,806511:1,,
10034_1,,10034_1,10034,1,20,,1200,806512:1,生命_415,
10034_2,,10034_2,10034,2,30,,3000,806513:1;806514:1,生命_830,
10034_3,,10034_3,10034,3,40,,3700,806515:1;806516:2,生命_1245,
10034_4,,10034_4,10034,4,50,,24000,806517:3;806518:4,生命_1660,
10034_5,,10034_5,10034,5,60,,43000,806519:5;806520:6,生命_2075,
10034_6,,10034_6,10034,6,70,,64500,806521:8;806522:10;806523:12,生命_2490,
10034_7,,10034_7,10034,7,80,,64500,806523:12;806524:14;806525:16,生命_2905,
10034_8,,10034_8,10034,8,90,,64500,806526:18;806527:20;806528:22,生命_3320,
10035_0,,10035_0,10035,,10,,1000,806511:1,,
10035_1,,10035_1,10035,1,20,,1200,806512:1,物理防御_52;生命_207,
10035_2,,10035_2,10035,2,30,,3000,806513:1;806514:1,物理防御_104;生命_415,
10035_3,,10035_3,10035,3,40,,3700,806515:1;806516:2,物理防御_156;生命_622,
10035_4,,10035_4,10035,4,50,,24000,806517:3;806518:4,物理防御_208;生命_830,
10035_5,,10035_5,10035,5,60,,43000,806519:5;806520:6,物理防御_260;生命_1037,
10035_6,,10035_6,10035,6,70,,64500,806521:8;806522:10;806523:12,物理防御_312;生命_1245,
10035_7,,10035_7,10035,7,80,,64500,806523:12;806524:14;806525:16,物理防御_364;生命_1452,
10035_8,,10035_8,10035,8,90,,64500,806526:18;806527:20;806528:22,物理防御_416;生命_1660,
10036_0,,10036_0,10036,,10,,1000,806511:1,,
