key,备注,强化id,强化属性方案id,等级,增加固定属性,增加百分比属性(万分比）,属性1,值1,属性2,值2,百分比1,值1,百分比2,值2
10001_18,,10001_18,10001,18,物理攻击_270;法术攻击_216,,物理攻击,270,法术攻击,216,,,,
10001_19,,10001_19,10001,19,物理攻击_285;法术攻击_228,,物理攻击,285,法术攻击,228,,,,
10001_20,,10001_20,10001,20,物理攻击_300;法术攻击_240,,物理攻击,300,法术攻击,240,,,,
10001_21,,10001_21,10001,21,物理攻击_315;法术攻击_252,,物理攻击,315,法术攻击,252,,,,
10001_22,,10001_22,10001,22,物理攻击_330;法术攻击_264,,物理攻击,330,法术攻击,264,,,,
10001_23,,10001_23,10001,23,物理攻击_345;法术攻击_276,,物理攻击,345,法术攻击,276,,,,
10001_24,,10001_24,10001,24,物理攻击_360;法术攻击_288,,物理攻击,360,法术攻击,288,,,,
10001_25,,10001_25,10001,25,物理攻击_375;法术攻击_300,,物理攻击,375,法术攻击,300,,,,
10001_26,,10001_26,10001,26,物理攻击_390;法术攻击_312,,物理攻击,390,法术攻击,312,,,,
10001_27,,10001_27,10001,27,物理攻击_405;法术攻击_324,,物理攻击,405,法术攻击,324,,,,
10001_28,,10001_28,10001,28,物理攻击_420;法术攻击_336,,物理攻击,420,法术攻击,336,,,,
10001_29,,10001_29,10001,29,物理攻击_435;法术攻击_348,,物理攻击,435,法术攻击,348,,,,
10001_30,,10001_30,10001,30,物理攻击_450;法术攻击_360,,物理攻击,450,法术攻击,360,,,,
10001_31,,10001_31,10001,31,物理攻击_465;法术攻击_372,,物理攻击,465,法术攻击,372,,,,
10001_32,,10001_32,10001,32,物理攻击_480;法术攻击_384,,物理攻击,480,法术攻击,384,,,,
10001_33,,10001_33,10001,33,物理攻击_495;法术攻击_396,,物理攻击,495,法术攻击,396,,,,
10001_34,,10001_34,10001,34,物理攻击_510;法术攻击_408,,物理攻击,510,法术攻击,408,,,,
10001_35,,10001_35,10001,35,物理攻击_525;法术攻击_420,,物理攻击,525,法术攻击,420,,,,
10001_36,,10001_36,10001,36,物理攻击_540;法术攻击_432,,物理攻击,540,法术攻击,432,,,,
10001_37,,10001_37,10001,37,物理攻击_555;法术攻击_444,,物理攻击,555,法术攻击,444,,,,
10001_38,,10001_38,10001,38,物理攻击_570;法术攻击_456,,物理攻击,570,法术攻击,456,,,,
10001_39,,10001_39,10001,39,物理攻击_585;法术攻击_468,,物理攻击,585,法术攻击,468,,,,
10001_40,,10001_40,10001,40,物理攻击_600;法术攻击_480,,物理攻击,600,法术攻击,480,,,,
10001_41,,10001_41,10001,41,物理攻击_615;法术攻击_492,,物理攻击,615,法术攻击,492,,,,
10001_42,,10001_42,10001,42,物理攻击_630;法术攻击_504,,物理攻击,630,法术攻击,504,,,,
10001_43,,10001_43,10001,43,物理攻击_645;法术攻击_516,,物理攻击,645,法术攻击,516,,,,
10001_44,,10001_44,10001,44,物理攻击_660;法术攻击_528,,物理攻击,660,法术攻击,528,,,,
10001_45,,10001_45,10001,45,物理攻击_675;法术攻击_540,,物理攻击,675,法术攻击,540,,,,
10001_46,,10001_46,10001,46,物理攻击_690;法术攻击_552,,物理攻击,690,法术攻击,552,,,,
10001_47,,10001_47,10001,47,物理攻击_705;法术攻击_564,,物理攻击,705,法术攻击,564,,,,
10001_48,,10001_48,10001,48,物理攻击_720;法术攻击_576,,物理攻击,720,法术攻击,576,,,,
10001_49,,10001_49,10001,49,物理攻击_735;法术攻击_588,,物理攻击,735,法术攻击,588,,,,
10001_50,,10001_50,10001,50,物理攻击_750;法术攻击_600,,物理攻击,750,法术攻击,600,,,,
10001_51,,10001_51,10001,51,物理攻击_765;法术攻击_612,,物理攻击,765,法术攻击,612,,,,
10001_52,,10001_52,10001,52,物理攻击_780;法术攻击_624,,物理攻击,780,法术攻击,624,,,,
10001_53,,10001_53,10001,53,物理攻击_795;法术攻击_636,,物理攻击,795,法术攻击,636,,,,
10001_54,,10001_54,10001,54,物理攻击_810;法术攻击_648,,物理攻击,810,法术攻击,648,,,,
10001_55,,10001_55,10001,55,物理攻击_825;法术攻击_660,,物理攻击,825,法术攻击,660,,,,
10001_56,,10001_56,10001,56,物理攻击_840;法术攻击_672,,物理攻击,840,法术攻击,672,,,,
10001_57,,10001_57,10001,57,物理攻击_855;法术攻击_684,,物理攻击,855,法术攻击,684,,,,
10001_58,,10001_58,10001,58,物理攻击_870;法术攻击_696,,物理攻击,870,法术攻击,696,,,,
10001_59,,10001_59,10001,59,物理攻击_885;法术攻击_708,,物理攻击,885,法术攻击,708,,,,
10001_60,,10001_60,10001,60,物理攻击_900;法术攻击_720,,物理攻击,900,法术攻击,720,,,,
10001_61,,10001_61,10001,61,物理攻击_915;法术攻击_732,,物理攻击,915,法术攻击,732,,,,
10001_62,,10001_62,10001,62,物理攻击_930;法术攻击_744,,物理攻击,930,法术攻击,744,,,,
10001_63,,10001_63,10001,63,物理攻击_945;法术攻击_756,,物理攻击,945,法术攻击,756,,,,
10001_64,,10001_64,10001,64,物理攻击_960;法术攻击_768,,物理攻击,960,法术攻击,768,,,,
10001_65,,10001_65,10001,65,物理攻击_975;法术攻击_780,,物理攻击,975,法术攻击,780,,,,
10001_66,,10001_66,10001,66,物理攻击_990;法术攻击_792,,物理攻击,990,法术攻击,792,,,,
10001_67,,10001_67,10001,67,物理攻击_1005;法术攻击_804,,物理攻击,1005,法术攻击,804,,,,
10001_68,,10001_68,10001,68,物理攻击_1020;法术攻击_816,,物理攻击,1020,法术攻击,816,,,,
10001_69,,10001_69,10001,69,物理攻击_1035;法术攻击_828,,物理攻击,1035,法术攻击,828,,,,
10001_70,,10001_70,10001,70,物理攻击_1050;法术攻击_840,,物理攻击,1050,法术攻击,840,,,,
10001_71,,10001_71,10001,71,物理攻击_1065;法术攻击_852,,物理攻击,1065,法术攻击,852,,,,
10001_72,,10001_72,10001,72,物理攻击_1080;法术攻击_864,,物理攻击,1080,法术攻击,864,,,,
10001_73,,10001_73,10001,73,物理攻击_1095;法术攻击_876,,物理攻击,1095,法术攻击,876,,,,
10001_74,,10001_74,10001,74,物理攻击_1110;法术攻击_888,,物理攻击,1110,法术攻击,888,,,,
10001_75,,10001_75,10001,75,物理攻击_1125;法术攻击_900,,物理攻击,1125,法术攻击,900,,,,
10001_76,,10001_76,10001,76,物理攻击_1140;法术攻击_912,,物理攻击,1140,法术攻击,912,,,,
10001_77,,10001_77,10001,77,物理攻击_1155;法术攻击_924,,物理攻击,1155,法术攻击,924,,,,
10001_78,,10001_78,10001,78,物理攻击_1170;法术攻击_936,,物理攻击,1170,法术攻击,936,,,,
10001_79,,10001_79,10001,79,物理攻击_1185;法术攻击_948,,物理攻击,1185,法术攻击,948,,,,
10001_80,,10001_80,10001,80,物理攻击_1200;法术攻击_960,,物理攻击,1200,法术攻击,960,,,,
10001_81,,10001_81,10001,81,物理攻击_1215;法术攻击_972,,物理攻击,1215,法术攻击,972,,,,
10001_82,,10001_82,10001,82,物理攻击_1230;法术攻击_984,,物理攻击,1230,法术攻击,984,,,,
10001_83,,10001_83,10001,83,物理攻击_1245;法术攻击_996,,物理攻击,1245,法术攻击,996,,,,
10001_84,,10001_84,10001,84,物理攻击_1260;法术攻击_1008,,物理攻击,1260,法术攻击,1008,,,,
10001_85,,10001_85,10001,85,物理攻击_1275;法术攻击_1020,,物理攻击,1275,法术攻击,1020,,,,
10001_86,,10001_86,10001,86,物理攻击_1290;法术攻击_1032,,物理攻击,1290,法术攻击,1032,,,,
10001_87,,10001_87,10001,87,物理攻击_1305;法术攻击_1044,,物理攻击,1305,法术攻击,1044,,,,
10001_88,,10001_88,10001,88,物理攻击_1320;法术攻击_1056,,物理攻击,1320,法术攻击,1056,,,,
10001_89,,10001_89,10001,89,物理攻击_1335;法术攻击_1068,,物理攻击,1335,法术攻击,1068,,,,
10001_90,,10001_90,10001,90,物理攻击_1350;法术攻击_1080,,物理攻击,1350,法术攻击,1080,,,,
10002_1,,10002_1,10002,1,生命_40,,生命,40,,,,,,
10002_2,,10002_2,10002,2,生命_80,,生命,80,,,,,,
10002_3,,10002_3,10002,3,生命_120,,生命,120,,,,,,
10002_4,,10002_4,10002,4,生命_160,,生命,160,,,,,,
10002_5,,10002_5,10002,5,生命_200,,生命,200,,,,,,
10002_6,,10002_6,10002,6,生命_240,,生命,240,,,,,,
10002_7,,10002_7,10002,7,生命_280,,生命,280,,,,,,
10002_8,,10002_8,10002,8,生命_320,,生命,320,,,,,,
10002_9,,10002_9,10002,9,生命_360,,生命,360,,,,,,
10002_10,,10002_10,10002,10,生命_400,,生命,400,,,,,,
10002_11,,10002_11,10002,11,生命_440,,生命,440,,,,,,
10002_12,,10002_12,10002,12,生命_480,,生命,480,,,,,,
10002_13,,10002_13,10002,13,生命_520,,生命,520,,,,,,
10002_14,,10002_14,10002,14,生命_560,,生命,560,,,,,,
10002_15,,10002_15,10002,15,生命_600,,生命,600,,,,,,
10002_16,,10002_16,10002,16,生命_640,,生命,640,,,,,,
10002_17,,10002_17,10002,17,生命_680,,生命,680,,,,,,
10002_18,,10002_18,10002,18,生命_720,,生命,720,,,,,,
10002_19,,10002_19,10002,19,生命_760,,生命,760,,,,,,
10002_20,,10002_20,10002,20,生命_800,,生命,800,,,,,,
10002_21,,10002_21,10002,21,生命_840,,生命,840,,,,,,
10002_22,,10002_22,10002,22,生命_880,,生命,880,,,,,,
10002_23,,10002_23,10002,23,生命_920,,生命,920,,,,,,
10002_24,,10002_24,10002,24,生命_960,,生命,960,,,,,,
10002_25,,10002_25,10002,25,生命_1000,,生命,1000,,,,,,
10002_26,,10002_26,10002,26,生命_1040,,生命,1040,,,,,,
10002_27,,10002_27,10002,27,生命_1080,,生命,1080,,,,,,
10002_28,,10002_28,10002,28,生命_1120,,生命,1120,,,,,,
10002_29,,10002_29,10002,29,生命_1160,,生命,1160,,,,,,
10002_30,,10002_30,10002,30,生命_1200,,生命,1200,,,,,,
10002_31,,10002_31,10002,31,生命_1240,,生命,1240,,,,,,
10002_32,,10002_32,10002,32,生命_1280,,生命,1280,,,,,,
10002_33,,10002_33,10002,33,生命_1320,,生命,1320,,,,,,
10002_34,,10002_34,10002,34,生命_1360,,生命,1360,,,,,,
10002_35,,10002_35,10002,35,生命_1400,,生命,1400,,,,,,
10002_36,,10002_36,10002,36,生命_1440,,生命,1440,,,,,,
10002_37,,10002_37,10002,37,生命_1480,,生命,1480,,,,,,
10002_38,,10002_38,10002,38,生命_1520,,生命,1520,,,,,,
10002_39,,10002_39,10002,39,生命_1560,,生命,1560,,,,,,
10002_40,,10002_40,10002,40,生命_1600,,生命,1600,,,,,,
10002_41,,10002_41,10002,41,生命_1640,,生命,1640,,,,,,
10002_42,,10002_42,10002,42,生命_1680,,生命,1680,,,,,,
10002_43,,10002_43,10002,43,生命_1720,,生命,1720,,,,,,
10002_44,,10002_44,10002,44,生命_1760,,生命,1760,,,,,,
10002_45,,10002_45,10002,45,生命_1800,,生命,1800,,,,,,
10002_46,,10002_46,10002,46,生命_1840,,生命,1840,,,,,,
10002_47,,10002_47,10002,47,生命_1880,,生命,1880,,,,,,
10002_48,,10002_48,10002,48,生命_1920,,生命,1920,,,,,,
10002_49,,10002_49,10002,49,生命_1960,,生命,1960,,,,,,
10002_50,,10002_50,10002,50,生命_2000,,生命,2000,,,,,,
10002_51,,10002_51,10002,51,生命_2040,,生命,2040,,,,,,
10002_52,,10002_52,10002,52,生命_2080,,生命,2080,,,,,,
10002_53,,10002_53,10002,53,生命_2120,,生命,2120,,,,,,
10002_54,,10002_54,10002,54,生命_2160,,生命,2160,,,,,,
10002_55,,10002_55,10002,55,生命_2200,,生命,2200,,,,,,
10002_56,,10002_56,10002,56,生命_2240,,生命,2240,,,,,,
10002_57,,10002_57,10002,57,生命_2280,,生命,2280,,,,,,
10002_58,,10002_58,10002,58,生命_2320,,生命,2320,,,,,,
10002_59,,10002_59,10002,59,生命_2360,,生命,2360,,,,,,
10002_60,,10002_60,10002,60,生命_2400,,生命,2400,,,,,,
10002_61,,10002_61,10002,61,生命_2440,,生命,2440,,,,,,
10002_62,,10002_62,10002,62,生命_2480,,生命,2480,,,,,,
10002_63,,10002_63,10002,63,生命_2520,,生命,2520,,,,,,
10002_64,,10002_64,10002,64,生命_2560,,生命,2560,,,,,,
10002_65,,10002_65,10002,65,生命_2600,,生命,2600,,,,,,
10002_66,,10002_66,10002,66,生命_2640,,生命,2640,,,,,,
10002_67,,10002_67,10002,67,生命_2680,,生命,2680,,,,,,
10002_68,,10002_68,10002,68,生命_2720,,生命,2720,,,,,,
10002_69,,10002_69,10002,69,生命_2760,,生命,2760,,,,,,
10002_70,,10002_70,10002,70,生命_2800,,生命,2800,,,,,,
10002_71,,10002_71,10002,71,生命_2840,,生命,2840,,,,,,
10002_72,,10002_72,10002,72,生命_2880,,生命,2880,,,,,,
10002_73,,10002_73,10002,73,生命_2920,,生命,2920,,,,,,
10002_74,,10002_74,10002,74,生命_2960,,生命,2960,,,,,,
10002_75,,10002_75,10002,75,生命_3000,,生命,3000,,,,,,
10002_76,,10002_76,10002,76,生命_3040,,生命,3040,,,,,,
10002_77,,10002_77,10002,77,生命_3080,,生命,3080,,,,,,
10002_78,,10002_78,10002,78,生命_3120,,生命,3120,,,,,,
10002_79,,10002_79,10002,79,生命_3160,,生命,3160,,,,,,
10002_80,,10002_80,10002,80,生命_3200,,生命,3200,,,,,,
10002_81,,10002_81,10002,81,生命_3240,,生命,3240,,,,,,
10002_82,,10002_82,10002,82,生命_3280,,生命,3280,,,,,,
10002_83,,10002_83,10002,83,生命_3320,,生命,3320,,,,,,
10002_84,,10002_84,10002,84,生命_3360,,生命,3360,,,,,,
10002_85,,10002_85,10002,85,生命_3400,,生命,3400,,,,,,
10002_86,,10002_86,10002,86,生命_3440,,生命,3440,,,,,,
10002_87,,10002_87,10002,87,生命_3480,,生命,3480,,,,,,
10002_88,,10002_88,10002,88,生命_3520,,生命,3520,,,,,,
10002_89,,10002_89,10002,89,生命_3560,,生命,3560,,,,,,
10002_90,,10002_90,10002,90,生命_3600,,生命,3600,,,,,,
10003_1,,10003_1,10003,1,物理防御_5;生命_20,,物理防御,5,生命,20,,,,
10003_2,,10003_2,10003,2,物理防御_10;生命_40,,物理防御,10,生命,40,,,,
10003_3,,10003_3,10003,3,物理防御_15;生命_60,,物理防御,15,生命,60,,,,
10003_4,,10003_4,10003,4,物理防御_20;生命_80,,物理防御,20,生命,80,,,,
10003_5,,10003_5,10003,5,物理防御_25;生命_100,,物理防御,25,生命,100,,,,
10003_6,,10003_6,10003,6,物理防御_30;生命_120,,物理防御,30,生命,120,,,,
10003_7,,10003_7,10003,7,物理防御_35;生命_140,,物理防御,35,生命,140,,,,
10003_8,,10003_8,10003,8,物理防御_40;生命_160,,物理防御,40,生命,160,,,,
10003_9,,10003_9,10003,9,物理防御_45;生命_180,,物理防御,45,生命,180,,,,
10003_10,,10003_10,10003,10,物理防御_50;生命_200,,物理防御,50,生命,200,,,,
10003_11,,10003_11,10003,11,物理防御_55;生命_220,,物理防御,55,生命,220,,,,
10003_12,,10003_12,10003,12,物理防御_60;生命_240,,物理防御,60,生命,240,,,,
10003_13,,10003_13,10003,13,物理防御_65;生命_260,,物理防御,65,生命,260,,,,
10003_14,,10003_14,10003,14,物理防御_70;生命_280,,物理防御,70,生命,280,,,,
10003_15,,10003_15,10003,15,物理防御_75;生命_300,,物理防御,75,生命,300,,,,
10003_16,,10003_16,10003,16,物理防御_80;生命_320,,物理防御,80,生命,320,,,,
10003_17,,10003_17,10003,17,物理防御_85;生命_340,,物理防御,85,生命,340,,,,
10003_18,,10003_18,10003,18,物理防御_90;生命_360,,物理防御,90,生命,360,,,,
10003_19,,10003_19,10003,19,物理防御_95;生命_380,,物理防御,95,生命,380,,,,
10003_20,,10003_20,10003,20,物理防御_100;生命_400,,物理防御,100,生命,400,,,,
10003_21,,10003_21,10003,21,物理防御_105;生命_420,,物理防御,105,生命,420,,,,
10003_22,,10003_22,10003,22,物理防御_110;生命_440,,物理防御,110,生命,440,,,,
10003_23,,10003_23,10003,23,物理防御_115;生命_460,,物理防御,115,生命,460,,,,
10003_24,,10003_24,10003,24,物理防御_120;生命_480,,物理防御,120,生命,480,,,,
10003_25,,10003_25,10003,25,物理防御_125;生命_500,,物理防御,125,生命,500,,,,
10003_26,,10003_26,10003,26,物理防御_130;生命_520,,物理防御,130,生命,520,,,,
10003_27,,10003_27,10003,27,物理防御_135;生命_540,,物理防御,135,生命,540,,,,
10003_28,,10003_28,10003,28,物理防御_140;生命_560,,物理防御,140,生命,560,,,,
10003_29,,10003_29,10003,29,物理防御_145;生命_580,,物理防御,145,生命,580,,,,
10003_30,,10003_30,10003,30,物理防御_150;生命_600,,物理防御,150,生命,600,,,,
10003_31,,10003_31,10003,31,物理防御_155;生命_620,,物理防御,155,生命,620,,,,
10003_32,,10003_32,10003,32,物理防御_160;生命_640,,物理防御,160,生命,640,,,,
10003_33,,10003_33,10003,33,物理防御_165;生命_660,,物理防御,165,生命,660,,,,
10003_34,,10003_34,10003,34,物理防御_170;生命_680,,物理防御,170,生命,680,,,,
10003_35,,10003_35,10003,35,物理防御_175;生命_700,,物理防御,175,生命,700,,,,
10003_36,,10003_36,10003,36,物理防御_180;生命_720,,物理防御,180,生命,720,,,,
10003_37,,10003_37,10003,37,物理防御_185;生命_740,,物理防御,185,生命,740,,,,
10003_38,,10003_38,10003,38,物理防御_190;生命_760,,物理防御,190,生命,760,,,,
10003_39,,10003_39,10003,39,物理防御_195;生命_780,,物理防御,195,生命,780,,,,
10003_40,,10003_40,10003,40,物理防御_200;生命_800,,物理防御,200,生命,800,,,,
10003_41,,10003_41,10003,41,物理防御_205;生命_820,,物理防御,205,生命,820,,,,
10003_42,,10003_42,10003,42,物理防御_210;生命_840,,物理防御,210,生命,840,,,,
10003_43,,10003_43,10003,43,物理防御_215;生命_860,,物理防御,215,生命,860,,,,
10003_44,,10003_44,10003,44,物理防御_220;生命_880,,物理防御,220,生命,880,,,,
10003_45,,10003_45,10003,45,物理防御_225;生命_900,,物理防御,225,生命,900,,,,
10003_46,,10003_46,10003,46,物理防御_230;生命_920,,物理防御,230,生命,920,,,,
10003_47,,10003_47,10003,47,物理防御_235;生命_940,,物理防御,235,生命,940,,,,
10003_48,,10003_48,10003,48,物理防御_240;生命_960,,物理防御,240,生命,960,,,,
10003_49,,10003_49,10003,49,物理防御_245;生命_980,,物理防御,245,生命,980,,,,
10003_50,,10003_50,10003,50,物理防御_250;生命_1000,,物理防御,250,生命,1000,,,,
10003_51,,10003_51,10003,51,物理防御_255;生命_1020,,物理防御,255,生命,1020,,,,
10003_52,,10003_52,10003,52,物理防御_260;生命_1040,,物理防御,260,生命,1040,,,,
10003_53,,10003_53,10003,53,物理防御_265;生命_1060,,物理防御,265,生命,1060,,,,
10003_54,,10003_54,10003,54,物理防御_270;生命_1080,,物理防御,270,生命,1080,,,,
10003_55,,10003_55,10003,55,物理防御_275;生命_1100,,物理防御,275,生命,1100,,,,
10003_56,,10003_56,10003,56,物理防御_280;生命_1120,,物理防御,280,生命,1120,,,,
10003_57,,10003_57,10003,57,物理防御_285;生命_1140,,物理防御,285,生命,1140,,,,
10003_58,,10003_58,10003,58,物理防御_290;生命_1160,,物理防御,290,生命,1160,,,,
10003_59,,10003_59,10003,59,物理防御_295;生命_1180,,物理防御,295,生命,1180,,,,
10003_60,,10003_60,10003,60,物理防御_300;生命_1200,,物理防御,300,生命,1200,,,,
10003_61,,10003_61,10003,61,物理防御_305;生命_1220,,物理防御,305,生命,1220,,,,
10003_62,,10003_62,10003,62,物理防御_310;生命_1240,,物理防御,310,生命,1240,,,,
10003_63,,10003_63,10003,63,物理防御_315;生命_1260,,物理防御,315,生命,1260,,,,
10003_64,,10003_64,10003,64,物理防御_320;生命_1280,,物理防御,320,生命,1280,,,,
10003_65,,10003_65,10003,65,物理防御_325;生命_1300,,物理防御,325,生命,1300,,,,
10003_66,,10003_66,10003,66,物理防御_330;生命_1320,,物理防御,330,生命,1320,,,,
10003_67,,10003_67,10003,67,物理防御_335;生命_1340,,物理防御,335,生命,1340,,,,
10003_68,,10003_68,10003,68,物理防御_340;生命_1360,,物理防御,340,生命,1360,,,,
10003_69,,10003_69,10003,69,物理防御_345;生命_1380,,物理防御,345,生命,1380,,,,
10003_70,,10003_70,10003,70,物理防御_350;生命_1400,,物理防御,350,生命,1400,,,,
10003_71,,10003_71,10003,71,物理防御_355;生命_1420,,物理防御,355,生命,1420,,,,
10003_72,,10003_72,10003,72,物理防御_360;生命_1440,,物理防御,360,生命,1440,,,,
10003_73,,10003_73,10003,73,物理防御_365;生命_1460,,物理防御,365,生命,1460,,,,
10003_74,,10003_74,10003,74,物理防御_370;生命_1480,,物理防御,370,生命,1480,,,,
10003_75,,10003_75,10003,75,物理防御_375;生命_1500,,物理防御,375,生命,1500,,,,
10003_76,,10003_76,10003,76,物理防御_380;生命_1520,,物理防御,380,生命,1520,,,,
10003_77,,10003_77,10003,77,物理防御_385;生命_1540,,物理防御,385,生命,1540,,,,
10003_78,,10003_78,10003,78,物理防御_390;生命_1560,,物理防御,390,生命,1560,,,,
10003_79,,10003_79,10003,79,物理防御_395;生命_1580,,物理防御,395,生命,1580,,,,
10003_80,,10003_80,10003,80,物理防御_400;生命_1600,,物理防御,400,生命,1600,,,,
10003_81,,10003_81,10003,81,物理防御_405;生命_1620,,物理防御,405,生命,1620,,,,
10003_82,,10003_82,10003,82,物理防御_410;生命_1640,,物理防御,410,生命,1640,,,,
10003_83,,10003_83,10003,83,物理防御_415;生命_1660,,物理防御,415,生命,1660,,,,
10003_84,,10003_84,10003,84,物理防御_420;生命_1680,,物理防御,420,生命,1680,,,,
10003_85,,10003_85,10003,85,物理防御_425;生命_1700,,物理防御,425,生命,1700,,,,
10003_86,,10003_86,10003,86,物理防御_430;生命_1720,,物理防御,430,生命,1720,,,,
10003_87,,10003_87,10003,87,物理防御_435;生命_1740,,物理防御,435,生命,1740,,,,
10003_88,,10003_88,10003,88,物理防御_440;生命_1760,,物理防御,440,生命,1760,,,,
10003_89,,10003_89,10003,89,物理防御_445;生命_1780,,物理防御,445,生命,1780,,,,
10003_90,,10003_90,10003,90,物理防御_450;生命_1800,,物理防御,450,生命,1800,,,,
10004_1,,10004_1,10004,1,法术防御_4;生命_20,,法术防御,4,生命,20,,,,
10004_2,,10004_2,10004,2,法术防御_8;生命_40,,法术防御,8,生命,40,,,,
10004_3,,10004_3,10004,3,法术防御_12;生命_60,,法术防御,12,生命,60,,,,
10004_4,,10004_4,10004,4,法术防御_16;生命_80,,法术防御,16,生命,80,,,,
10004_5,,10004_5,10004,5,法术防御_20;生命_100,,法术防御,20,生命,100,,,,
10004_6,,10004_6,10004,6,法术防御_24;生命_120,,法术防御,24,生命,120,,,,
10004_7,,10004_7,10004,7,法术防御_28;生命_140,,法术防御,28,生命,140,,,,
10004_8,,10004_8,10004,8,法术防御_32;生命_160,,法术防御,32,生命,160,,,,
10004_9,,10004_9,10004,9,法术防御_36;生命_180,,法术防御,36,生命,180,,,,
10004_10,,10004_10,10004,10,法术防御_40;生命_200,,法术防御,40,生命,200,,,,
10004_11,,10004_11,10004,11,法术防御_44;生命_220,,法术防御,44,生命,220,,,,
10004_12,,10004_12,10004,12,法术防御_48;生命_240,,法术防御,48,生命,240,,,,
10004_13,,10004_13,10004,13,法术防御_52;生命_260,,法术防御,52,生命,260,,,,
10004_14,,10004_14,10004,14,法术防御_56;生命_280,,法术防御,56,生命,280,,,,
10004_15,,10004_15,10004,15,法术防御_60;生命_300,,法术防御,60,生命,300,,,,
10004_16,,10004_16,10004,16,法术防御_64;生命_320,,法术防御,64,生命,320,,,,
10004_17,,10004_17,10004,17,法术防御_68;生命_340,,法术防御,68,生命,340,,,,
10004_18,,10004_18,10004,18,法术防御_72;生命_360,,法术防御,72,生命,360,,,,
10004_19,,10004_19,10004,19,法术防御_76;生命_380,,法术防御,76,生命,380,,,,
10004_20,,10004_20,10004,20,法术防御_80;生命_400,,法术防御,80,生命,400,,,,
10004_21,,10004_21,10004,21,法术防御_84;生命_420,,法术防御,84,生命,420,,,,
10004_22,,10004_22,10004,22,法术防御_88;生命_440,,法术防御,88,生命,440,,,,
10004_23,,10004_23,10004,23,法术防御_92;生命_460,,法术防御,92,生命,460,,,,
10004_24,,10004_24,10004,24,法术防御_96;生命_480,,法术防御,96,生命,480,,,,
10004_25,,10004_25,10004,25,法术防御_100;生命_500,,法术防御,100,生命,500,,,,
10004_26,,10004_26,10004,26,法术防御_104;生命_520,,法术防御,104,生命,520,,,,
10004_27,,10004_27,10004,27,法术防御_108;生命_540,,法术防御,108,生命,540,,,,
10004_28,,10004_28,10004,28,法术防御_112;生命_560,,法术防御,112,生命,560,,,,
10004_29,,10004_29,10004,29,法术防御_116;生命_580,,法术防御,116,生命,580,,,,
10004_30,,10004_30,10004,30,法术防御_120;生命_600,,法术防御,120,生命,600,,,,
10004_31,,10004_31,10004,31,法术防御_124;生命_620,,法术防御,124,生命,620,,,,
10004_32,,10004_32,10004,32,法术防御_128;生命_640,,法术防御,128,生命,640,,,,
10004_33,,10004_33,10004,33,法术防御_132;生命_660,,法术防御,132,生命,660,,,,
10004_34,,10004_34,10004,34,法术防御_136;生命_680,,法术防御,136,生命,680,,,,
10004_35,,10004_35,10004,35,法术防御_140;生命_700,,法术防御,140,生命,700,,,,
10004_36,,10004_36,10004,36,法术防御_144;生命_720,,法术防御,144,生命,720,,,,
10004_37,,10004_37,10004,37,法术防御_148;生命_740,,法术防御,148,生命,740,,,,
