key,remarks,id,planId,quality,levelNeed,costType,costCount,itemsNeedStr,attrData,precentAttrData,wf1,wf2,wf3,wf4,wf5,wf6,wf7,wf8,wf9
47,,47,10001,7,40,,15000,806515;14,物理攻击_960,,40,物理攻击,960,,,,,,
48,,48,10001,8,45,,20000,806515;16,物理攻击_1080,,45,物理攻击,1080,,,,,,
49,,49,10001,9,50,,30000,806516;18,物理攻击_1200,,50,物理攻击,1200,,,,,,
50,,50,10001,10,54,,50000,806517;20,物理攻击_1296,,54,物理攻击,1296,,,,,,
51,,51,10001,11,58,,70000,806518;22,物理攻击_1392,,58,物理攻击,1392,,,,,,
52,,52,10001,12,62,,90000,806519;24,物理攻击_1488,,62,物理攻击,1488,,,,,,
53,,53,10001,13,66,,120000,806519;26,物理攻击_1584,,66,物理攻击,1584,,,,,,
54,,54,10001,14,70,,150000,806520;28,物理攻击_1680,,70,物理攻击,1680,,,,,,
55,,55,10001,15,74,,180000,806520;30,物理攻击_1776,,74,物理攻击,1776,,,,,,
56,,56,10001,16,78,,210000,806520;32,物理攻击_1872,,78,物理攻击,1872,,,,,,
57,,57,10001,17,82,,250000,806520;34,物理攻击_1968,,82,物理攻击,1968,,,,,,
58,,58,10001,18,86,,300000,806520;36,物理攻击_2064,,86,物理攻击,2064,,,,,,
59,,59,10001,19,90,,500000,806520;38,物理攻击_2160,,90,物理攻击,2160,,,,,,
60,,60,10002,1,1,1,1000,806511;2,生命_64,,1,生命,64,,,,,,
61,,61,10002,2,10,1,2000,806512;4,生命_640,,10,生命,640,,,,,,
62,,62,10002,3,20,1,3000,806512;6,生命_1280,,20,生命,1280,,,,,,
63,,63,10002,4,25,1,5000,806513;8,生命_1600,,25,生命,1600,,,,,,
64,,64,10002,5,30,1,8000,806514;10,生命_1920,,30,生命,1920,,,,,,
65,,65,10002,6,35,1,12000,806514;12,生命_2240,,35,生命,2240,,,,,,
66,,66,10002,7,40,1,15000,806515;14,生命_2560,,40,生命,2560,,,,,,
67,,67,10002,8,45,1,20000,806515;16,生命_2880,,45,生命,2880,,,,,,
68,,68,10002,9,50,1,30000,806516;18,生命_3200,,50,生命,3200,,,,,,
69,,69,10002,10,54,1,50000,806517;20,生命_3456,,54,生命,3456,,,,,,
70,,70,10002,11,58,1,70000,806518;22,生命_3712,,58,生命,3712,,,,,,
71,,71,10002,12,62,1,90000,806519;24,生命_3968,,62,生命,3968,,,,,,
72,,72,10002,13,66,1,110000,806519;26,生命_4224,,66,生命,4224,,,,,,
73,,73,10002,14,70,1,130000,806520;28,生命_4480,,70,生命,4480,,,,,,
74,,74,10002,15,74,1,150000,806520;30,生命_4736,,74,生命,4736,,,,,,
75,,75,10002,16,78,1,170000,806520;32,生命_4992,,78,生命,4992,,,,,,
76,,76,10002,17,82,1,190000,806520;34,生命_5248,,82,生命,5248,,,,,,
77,,77,10002,18,86,1,210000,806520;36,生命_5504,,86,生命,5504,,,,,,
78,,78,10002,19,90,1,230000,806520;38,生命_5760,,90,生命,5760,,,,,,
79,,79,10003,1,1,1,1000,806511;2,物理防御_8;生命_32,,1,物理防御,8,生命,32,,,,
80,,80,10003,2,10,1,2000,806512;4,物理防御_80;生命_320,,10,物理防御,80,生命,320,,,,
81,,81,10003,3,20,1,3000,806512;6,物理防御_160;生命_640,,20,物理防御,160,生命,640,,,,
82,,82,10003,4,25,1,5000,806513;8,物理防御_200;生命_800,,25,物理防御,200,生命,800,,,,
83,,83,10003,5,30,1,8000,806514;10,物理防御_240;生命_960,,30,物理防御,240,生命,960,,,,
84,,84,10003,6,35,1,12000,806514;12,物理防御_280;生命_1120,,35,物理防御,280,生命,1120,,,,
85,,85,10003,7,40,1,15000,806515;14,物理防御_320;生命_1280,,40,物理防御,320,生命,1280,,,,
86,,86,10003,8,45,1,20000,806515;16,物理防御_360;生命_1440,,45,物理防御,360,生命,1440,,,,
87,,87,10003,9,50,1,30000,806516;18,物理防御_400;生命_1600,,50,物理防御,400,生命,1600,,,,
88,,88,10003,10,54,1,50000,806517;20,物理防御_432;生命_1728,,54,物理防御,432,生命,1728,,,,
89,,89,10003,11,58,1,70000,806518;22,物理防御_464;生命_1856,,58,物理防御,464,生命,1856,,,,
90,,90,10003,12,62,1,90000,806519;24,物理防御_496;生命_1984,,62,物理防御,496,生命,1984,,,,
91,,91,10003,13,66,1,110000,806519;26,物理防御_528;生命_2112,,66,物理防御,528,生命,2112,,,,
92,,92,10003,14,70,1,130000,806520;28,物理防御_560;生命_2240,,70,物理防御,560,生命,2240,,,,
93,,93,10003,15,74,1,150000,806520;30,物理防御_592;生命_2368,,74,物理防御,592,生命,2368,,,,
94,,94,10003,16,78,1,170000,806520;32,物理防御_624;生命_2496,,78,物理防御,624,生命,2496,,,,
95,,95,10003,17,82,1,190000,806520;34,物理防御_656;生命_2624,,82,物理防御,656,生命,2624,,,,
96,,96,10003,18,86,1,210000,806520;36,物理防御_688;生命_2752,,86,物理防御,688,生命,2752,,,,
97,,97,10003,19,90,1,230000,806520;38,物理防御_720;生命_2880,,90,物理防御,720,生命,2880,,,,
98,,98,10004,1,1,1,1000,806511;2,法术防御_6;生命_32,,1,法术防御,6,生命,32,,,,
99,,99,10004,2,10,1,2000,806512;4,法术防御_60;生命_320,,10,法术防御,60,生命,320,,,,
100,,100,10004,3,20,1,3000,806512;6,法术防御_120;生命_640,,20,法术防御,120,生命,640,,,,
101,,101,10004,4,25,1,5000,806513;8,法术防御_150;生命_800,,25,法术防御,150,生命,800,,,,
102,,102,10004,5,30,1,8000,806514;10,法术防御_180;生命_960,,30,法术防御,180,生命,960,,,,
103,,103,10004,6,35,1,12000,806514;12,法术防御_210;生命_1120,,35,法术防御,210,生命,1120,,,,
104,,104,10004,7,40,1,15000,806515;14,法术防御_240;生命_1280,,40,法术防御,240,生命,1280,,,,
105,,105,10004,8,45,1,20000,806515;16,法术防御_270;生命_1440,,45,法术防御,270,生命,1440,,,,
106,,106,10004,9,50,1,30000,806516;18,法术防御_300;生命_1600,,50,法术防御,300,生命,1600,,,,
107,,107,10004,10,54,1,50000,806517;20,法术防御_324;生命_1728,,54,法术防御,324,生命,1728,,,,
108,,108,10004,11,58,1,70000,806518;22,法术防御_348;生命_1856,,58,法术防御,348,生命,1856,,,,
109,,109,10004,12,62,1,90000,806519;24,法术防御_372;生命_1984,,62,法术防御,372,生命,1984,,,,
110,,110,10004,13,66,1,110000,806519;26,法术防御_396;生命_2112,,66,法术防御,396,生命,2112,,,,
111,,111,10004,14,70,1,130000,806520;28,法术防御_420;生命_2240,,70,法术防御,420,生命,2240,,,,
112,,112,10004,15,74,1,150000,806520;30,法术防御_444;生命_2368,,74,法术防御,444,生命,2368,,,,
113,,113,10004,16,78,1,170000,806520;32,法术防御_468;生命_2496,,78,法术防御,468,生命,2496,,,,
114,,114,10004,17,82,1,190000,806520;34,法术防御_492;生命_2624,,82,法术防御,492,生命,2624,,,,
115,,115,10004,18,86,1,210000,806520;36,法术防御_516;生命_2752,,86,法术防御,516,生命,2752,,,,
116,,116,10004,19,90,1,230000,806520;38,法术防御_540;生命_2880,,90,法术防御,540,生命,2880,,,,
117,,117,10101,1,1,1,1000,806511;2,物理攻击_18;法术攻击_18,,1,物理攻击,18,法术攻击,18,,,,
118,,118,10101,2,10,1,2000,806512;4,物理攻击_180;法术攻击_180,,10,物理攻击,180,法术攻击,180,,,,
119,,119,10101,3,20,1,3000,806512;6,物理攻击_360;法术攻击_360,,20,物理攻击,360,法术攻击,360,,,,
120,,120,10101,4,25,1,5000,806513;8,物理攻击_450;法术攻击_450,,25,物理攻击,450,法术攻击,450,,,,
121,,121,10101,5,30,1,8000,806514;10,物理攻击_540;法术攻击_540,,30,物理攻击,540,法术攻击,540,,,,
122,,122,10101,6,35,1,12000,806514;12,物理攻击_630;法术攻击_630,,35,物理攻击,630,法术攻击,630,,,,
123,,123,10101,7,40,1,15000,806515;14,物理攻击_720;法术攻击_720,,40,物理攻击,720,法术攻击,720,,,,
124,,124,10101,8,45,1,20000,806515;16,物理攻击_810;法术攻击_810,,45,物理攻击,810,法术攻击,810,,,,
125,,125,10101,9,50,1,30000,806516;18,物理攻击_900;法术攻击_900,,50,物理攻击,900,法术攻击,900,,,,
126,,126,10101,10,54,1,50000,806517;20,物理攻击_972;法术攻击_972,,54,物理攻击,972,法术攻击,972,,,,
127,,127,10101,11,58,1,70000,806518;22,物理攻击_1044;法术攻击_1044,,58,物理攻击,1044,法术攻击,1044,,,,
128,,128,10101,12,62,1,90000,806519;24,物理攻击_1116;法术攻击_1116,,62,物理攻击,1116,法术攻击,1116,,,,
129,,129,10101,13,66,1,110000,806519;26,物理攻击_1188;法术攻击_1188,,66,物理攻击,1188,法术攻击,1188,,,,
130,,130,10101,14,70,1,130000,806520;28,物理攻击_1260;法术攻击_1260,,70,物理攻击,1260,法术攻击,1260,,,,
131,,131,10101,15,74,1,150000,806520;30,物理攻击_1332;法术攻击_1332,,74,物理攻击,1332,法术攻击,1332,,,,
132,,132,10101,16,78,1,170000,806520;32,物理攻击_1404;法术攻击_1404,,78,物理攻击,1404,法术攻击,1404,,,,
133,,133,10101,17,82,1,190000,806520;34,物理攻击_1476;法术攻击_1476,,82,物理攻击,1476,法术攻击,1476,,,,
134,,134,10101,18,86,1,210000,806520;36,物理攻击_1548;法术攻击_1548,,86,物理攻击,1548,法术攻击,1548,,,,
135,,135,10101,19,90,1,230000,806520;38,物理攻击_1620;法术攻击_1620,,90,物理攻击,1620,法术攻击,1620,,,,
136,,136,10201,1,1,1,1000,806511;2,物理攻击_22;法术攻击_22,,1,物理攻击,22,法术攻击,22,,,,
137,,137,10201,2,10,1,2000,806512;4,物理攻击_220;法术攻击_220,,10,物理攻击,220,法术攻击,220,,,,
138,,138,10201,3,20,1,3000,806512;6,物理攻击_440;法术攻击_440,,20,物理攻击,440,法术攻击,440,,,,
139,,139,10201,4,25,1,5000,806513;8,物理攻击_550;法术攻击_550,,25,物理攻击,550,法术攻击,550,,,,
140,,140,10201,5,30,1,8000,806514;10,物理攻击_660;法术攻击_660,,30,物理攻击,660,法术攻击,660,,,,
141,,141,10201,6,35,1,12000,806514;12,物理攻击_770;法术攻击_770,,35,物理攻击,770,法术攻击,770,,,,
142,,142,10201,7,40,1,15000,806515;14,物理攻击_880;法术攻击_880,,40,物理攻击,880,法术攻击,880,,,,
143,,143,10201,8,45,1,20000,806515;16,物理攻击_990;法术攻击_990,,45,物理攻击,990,法术攻击,990,,,,
144,,144,10201,9,50,1,30000,806516;18,物理攻击_1100;法术攻击_1100,,50,物理攻击,1100,法术攻击,1100,,,,
145,,145,10201,10,54,1,50000,806517;20,物理攻击_1188;法术攻击_1188,,54,物理攻击,1188,法术攻击,1188,,,,
146,,146,10201,11,58,1,70000,806518;22,物理攻击_1276;法术攻击_1276,,58,物理攻击,1276,法术攻击,1276,,,,
147,,147,10201,12,62,1,90000,806519;24,物理攻击_1364;法术攻击_1364,,62,物理攻击,1364,法术攻击,1364,,,,
148,,148,10201,13,66,1,110000,806519;26,物理攻击_1452;法术攻击_1452,,66,物理攻击,1452,法术攻击,1452,,,,
149,,149,10201,14,70,1,130000,806520;28,物理攻击_1540;法术攻击_1540,,70,物理攻击,1540,法术攻击,1540,,,,
150,,150,10201,15,74,1,150000,806520;30,物理攻击_1628;法术攻击_1628,,74,物理攻击,1628,法术攻击,1628,,,,
151,,151,10201,16,78,1,170000,806520;32,物理攻击_1716;法术攻击_1716,,78,物理攻击,1716,法术攻击,1716,,,,
152,,152,10201,17,82,1,190000,806520;34,物理攻击_1804;法术攻击_1804,,82,物理攻击,1804,法术攻击,1804,,,,
153,,153,10201,18,86,1,210000,806520;36,物理攻击_1892;法术攻击_1892,,86,物理攻击,1892,法术攻击,1892,,,,
154,,154,10201,19,90,1,230000,806520;38,物理攻击_1980;法术攻击_1980,,90,物理攻击,1980,法术攻击,1980,,,,
155,,155,10301,1,1,1,1000,806511;2,物理攻击_28;法术攻击_28,,1,物理攻击,28,法术攻击,28,,,,
156,,156,10301,2,10,1,2000,806512;4,物理攻击_280;法术攻击_280,,10,物理攻击,280,法术攻击,280,,,,
157,,157,10301,3,20,1,3000,806512;6,物理攻击_560;法术攻击_560,,20,物理攻击,560,法术攻击,560,,,,
158,,158,10301,4,25,1,5000,806513;8,物理攻击_700;法术攻击_700,,25,物理攻击,700,法术攻击,700,,,,
159,,159,10301,5,30,1,8000,806514;10,物理攻击_840;法术攻击_840,,30,物理攻击,840,法术攻击,840,,,,
160,,160,10301,6,35,1,12000,806514;12,物理攻击_980;法术攻击_980,,35,物理攻击,980,法术攻击,980,,,,
161,,161,10301,7,40,1,15000,806515;14,物理攻击_1120;法术攻击_1120,,40,物理攻击,1120,法术攻击,1120,,,,
162,,162,10301,8,45,1,20000,806515;16,物理攻击_1260;法术攻击_1260,,45,物理攻击,1260,法术攻击,1260,,,,
163,,163,10301,9,50,1,30000,806516;18,物理攻击_1400;法术攻击_1400,,50,物理攻击,1400,法术攻击,1400,,,,
164,,164,10301,10,54,1,50000,806517;20,物理攻击_1512;法术攻击_1512,,54,物理攻击,1512,法术攻击,1512,,,,
165,,165,10301,11,58,1,70000,806518;22,物理攻击_1624;法术攻击_1624,,58,物理攻击,1624,法术攻击,1624,,,,
166,,166,10301,12,62,1,90000,806519;24,物理攻击_1736;法术攻击_1736,,62,物理攻击,1736,法术攻击,1736,,,,
167,,167,10301,13,66,1,110000,806519;26,物理攻击_1848;法术攻击_1848,,66,物理攻击,1848,法术攻击,1848,,,,
168,,168,10301,14,70,1,130000,806520;28,物理攻击_1960;法术攻击_1960,,70,物理攻击,1960,法术攻击,1960,,,,
169,,169,10301,15,74,1,150000,806520;30,物理攻击_2072;法术攻击_2072,,74,物理攻击,2072,法术攻击,2072,,,,
170,,170,10301,16,78,1,170000,806520;32,物理攻击_2184;法术攻击_2184,,78,物理攻击,2184,法术攻击,2184,,,,
171,,171,10301,17,82,1,190000,806520;34,物理攻击_2296;法术攻击_2296,,82,物理攻击,2296,法术攻击,2296,,,,
172,,172,10301,18,86,1,210000,806520;36,物理攻击_2408;法术攻击_2408,,86,物理攻击,2408,法术攻击,2408,,,,
173,,173,10301,19,90,1,230000,806520;38,物理攻击_2520;法术攻击_2520,,90,物理攻击,2520,法术攻击,2520,,,,
174,,174,10401,1,1,1,1000,806511;2,物理攻击_25;法术攻击_25,,1,物理攻击,25,法术攻击,25,,,,
175,,175,10401,2,10,1,2000,806512;4,物理攻击_250;法术攻击_250,,10,物理攻击,250,法术攻击,250,,,,
176,,176,10401,3,20,1,3000,806512;6,物理攻击_500;法术攻击_500,,20,物理攻击,500,法术攻击,500,,,,
177,,177,10401,4,25,1,5000,806513;8,物理攻击_625;法术攻击_625,,25,物理攻击,625,法术攻击,625,,,,
178,,178,10401,5,30,1,8000,806514;10,物理攻击_750;法术攻击_750,,30,物理攻击,750,法术攻击,750,,,,
179,,179,10401,6,35,1,12000,806514;12,物理攻击_875;法术攻击_875,,35,物理攻击,875,法术攻击,875,,,,
180,,180,10401,7,40,1,15000,806515;14,物理攻击_1000;法术攻击_1000,,40,物理攻击,1000,法术攻击,1000,,,,
181,,181,10401,8,45,1,20000,806515;16,物理攻击_1125;法术攻击_1125,,45,物理攻击,1125,法术攻击,1125,,,,
182,,182,10401,9,50,1,30000,806516;18,物理攻击_1250;法术攻击_1250,,50,物理攻击,1250,法术攻击,1250,,,,
183,,183,10401,10,54,1,50000,806517;20,物理攻击_1350;法术攻击_1350,,54,物理攻击,1350,法术攻击,1350,,,,
184,,184,10401,11,58,1,70000,806518;22,物理攻击_1450;法术攻击_1450,,58,物理攻击,1450,法术攻击,1450,,,,
185,,185,10401,12,62,1,90000,806519;24,物理攻击_1550;法术攻击_1550,,62,物理攻击,1550,法术攻击,1550,,,,
186,,186,10401,13,66,1,110000,806519;26,物理攻击_1650;法术攻击_1650,,66,物理攻击,1650,法术攻击,1650,,,,
187,,187,10401,14,70,1,130000,806520;28,物理攻击_1750;法术攻击_1750,,70,物理攻击,1750,法术攻击,1750,,,,
188,,188,10401,15,74,1,150000,806520;30,物理攻击_1850;法术攻击_1850,,74,物理攻击,1850,法术攻击,1850,,,,
189,,189,10401,16,78,1,170000,806520;32,物理攻击_1950;法术攻击_1950,,78,物理攻击,1950,法术攻击,1950,,,,
190,,190,10401,17,82,1,190000,806520;34,物理攻击_2050;法术攻击_2050,,82,物理攻击,2050,法术攻击,2050,,,,
191,,191,10401,18,86,1,210000,806520;36,物理攻击_2150;法术攻击_2150,,86,物理攻击,2150,法术攻击,2150,,,,
192,,192,10401,19,90,1,230000,806520;38,物理攻击_2250;法术攻击_2250,,90,物理攻击,2250,法术攻击,2250,,,,
193,,193,10501,1,1,1,1000,806511;2,物理攻击_21;法术攻击_21,,1,物理攻击,21,法术攻击,21,,,,
194,,194,10501,2,10,1,2000,806512;4,物理攻击_210;法术攻击_210,,10,物理攻击,210,法术攻击,210,,,,
195,,195,10501,3,20,1,3000,806512;6,物理攻击_420;法术攻击_420,,20,物理攻击,420,法术攻击,420,,,,
196,,196,10501,4,25,1,5000,806513;8,物理攻击_525;法术攻击_525,,25,物理攻击,525,法术攻击,525,,,,
197,,197,10501,5,30,1,8000,806514;10,物理攻击_630;法术攻击_630,,30,物理攻击,630,法术攻击,630,,,,
198,,198,10501,6,35,1,12000,806514;12,物理攻击_735;法术攻击_735,,35,物理攻击,735,法术攻击,735,,,,
199,,199,10501,7,40,1,15000,806515;14,物理攻击_840;法术攻击_840,,40,物理攻击,840,法术攻击,840,,,,
200,,200,10501,8,45,1,20000,806515;16,物理攻击_945;法术攻击_945,,45,物理攻击,945,法术攻击,945,,,,
201,,201,10501,9,50,1,30000,806516;18,物理攻击_1050;法术攻击_1050,,50,物理攻击,1050,法术攻击,1050,,,,
202,,202,10501,10,54,1,50000,806517;20,物理攻击_1134;法术攻击_1134,,54,物理攻击,1134,法术攻击,1134,,,,
203,,203,10501,11,58,1,70000,806518;22,物理攻击_1218;法术攻击_1218,,58,物理攻击,1218,法术攻击,1218,,,,
204,,204,10501,12,62,1,90000,806519;24,物理攻击_1302;法术攻击_1302,,62,物理攻击,1302,法术攻击,1302,,,,
205,,205,10501,13,66,1,110000,806519;26,物理攻击_1386;法术攻击_1386,,66,物理攻击,1386,法术攻击,1386,,,,
206,,206,10501,14,70,1,130000,806520;28,物理攻击_1470;法术攻击_1470,,70,物理攻击,1470,法术攻击,1470,,,,
207,,207,10501,15,74,1,150000,806520;30,物理攻击_1554;法术攻击_1554,,74,物理攻击,1554,法术攻击,1554,,,,
208,,208,10501,16,78,1,170000,806520;32,物理攻击_1638;法术攻击_1638,,78,物理攻击,1638,法术攻击,1638,,,,
209,,209,10501,17,82,1,190000,806520;34,物理攻击_1722;法术攻击_1722,,82,物理攻击,1722,法术攻击,1722,,,,
210,,210,10501,18,86,1,210000,806520;36,物理攻击_1806;法术攻击_1806,,86,物理攻击,1806,法术攻击,1806,,,,
211,,211,10501,19,90,1,230000,806520;38,物理攻击_1890;法术攻击_1890,,90,物理攻击,1890,法术攻击,1890,,,,
212,,212,10601,1,1,1,1000,806511;2,物理攻击_26;法术攻击_26,,1,物理攻击,26,法术攻击,26,,,,
213,,213,10601,2,10,1,2000,806512;4,物理攻击_260;法术攻击_260,,10,物理攻击,260,法术攻击,260,,,,
214,,214,10601,3,20,1,3000,806512;6,物理攻击_520;法术攻击_520,,20,物理攻击,520,法术攻击,520,,,,
215,,215,10601,4,25,1,5000,806513;8,物理攻击_650;法术攻击_650,,25,物理攻击,650,法术攻击,650,,,,
216,,216,10601,5,30,1,8000,806514;10,物理攻击_780;法术攻击_780,,30,物理攻击,780,法术攻击,780,,,,
217,,217,10601,6,35,1,12000,806514;12,物理攻击_910;法术攻击_910,,35,物理攻击,910,法术攻击,910,,,,
218,,218,10601,7,40,1,15000,806515;14,物理攻击_1040;法术攻击_1040,,40,物理攻击,1040,法术攻击,1040,,,,
219,,219,10601,8,45,1,20000,806515;16,物理攻击_1170;法术攻击_1170,,45,物理攻击,1170,法术攻击,1170,,,,
220,,220,10601,9,50,1,30000,806516;18,物理攻击_1300;法术攻击_1300,,50,物理攻击,1300,法术攻击,1300,,,,
221,,221,10601,10,54,1,50000,806517;20,物理攻击_1404;法术攻击_1404,,54,物理攻击,1404,法术攻击,1404,,,,
222,,222,10601,11,58,1,70000,806518;22,物理攻击_1508;法术攻击_1508,,58,物理攻击,1508,法术攻击,1508,,,,
223,,223,10601,12,62,1,90000,806519;24,物理攻击_1612;法术攻击_1612,,62,物理攻击,1612,法术攻击,1612,,,,
224,,224,10601,13,66,1,110000,806519;26,物理攻击_1716;法术攻击_1716,,66,物理攻击,1716,法术攻击,1716,,,,
225,,225,10601,14,70,1,130000,806520;28,物理攻击_1820;法术攻击_1820,,70,物理攻击,1820,法术攻击,1820,,,,
226,,226,10601,15,74,1,150000,806520;30,物理攻击_1924;法术攻击_1924,,74,物理攻击,1924,法术攻击,1924,,,,
227,,227,10601,16,78,1,170000,806520;32,物理攻击_2028;法术攻击_2028,,78,物理攻击,2028,法术攻击,2028,,,,
228,,228,10601,17,82,1,190000,806520;34,物理攻击_2132;法术攻击_2132,,82,物理攻击,2132,法术攻击,2132,,,,
229,,229,10601,18,86,1,210000,806520;36,物理攻击_2236;法术攻击_2236,,86,物理攻击,2236,法术攻击,2236,,,,
230,,230,10601,19,90,1,230000,806520;38,物理攻击_2340;法术攻击_2340,,90,物理攻击,2340,法术攻击,2340,,,,
231,,231,10005,1,1,1,1000,806521;2,,物理攻击_10;法术攻击_10,1,,,,,物理攻击,10,法术攻击,10
232,,232,10005,2,10,1,2000,806521;4,,物理攻击_100;法术攻击_100,10,,,,,物理攻击,100,法术攻击,100
233,,233,10005,3,20,1,3000,806521;6,,物理攻击_200;法术攻击_200,20,,,,,物理攻击,200,法术攻击,200
234,,234,10005,4,25,1,5000,806521;8,,物理攻击_250;法术攻击_250,25,,,,,物理攻击,250,法术攻击,250
235,,235,10005,5,30,1,8000,806521;10,,物理攻击_300;法术攻击_300,30,,,,,物理攻击,300,法术攻击,300
236,,236,10005,6,35,1,12000,806521;12,,物理攻击_350;法术攻击_350,35,,,,,物理攻击,350,法术攻击,350
237,,237,10005,7,40,1,15000,806521;14,,物理攻击_400;法术攻击_400,40,,,,,物理攻击,400,法术攻击,400
238,,238,10005,8,45,1,20000,806521;16,,物理攻击_450;法术攻击_450,45,,,,,物理攻击,450,法术攻击,450
239,,239,10005,9,50,1,30000,806521;18,,物理攻击_500;法术攻击_500,50,,,,,物理攻击,500,法术攻击,500
240,,240,10005,10,54,1,50000,806521;20,,物理攻击_540;法术攻击_540,54,,,,,物理攻击,540,法术攻击,540
241,,241,10005,11,58,1,70000,806521;22,,物理攻击_580;法术攻击_580,58,,,,,物理攻击,580,法术攻击,580
242,,242,10005,12,62,1,90000,806521;24,,物理攻击_620;法术攻击_620,62,,,,,物理攻击,620,法术攻击,620
243,,243,10005,13,66,1,110000,806521;26,,物理攻击_660;法术攻击_660,66,,,,,物理攻击,660,法术攻击,660
244,,244,10005,14,70,1,130000,806521;28,,物理攻击_700;法术攻击_700,70,,,,,物理攻击,700,法术攻击,700
245,,245,10005,15,74,1,150000,806521;30,,物理攻击_740;法术攻击_740,74,,,,,物理攻击,740,法术攻击,740
246,,246,10005,16,78,1,170000,806521;32,,物理攻击_780;法术攻击_780,78,,,,,物理攻击,780,法术攻击,780
247,,247,10005,17,82,1,190000,806521;34,,物理攻击_820;法术攻击_820,82,,,,,物理攻击,820,法术攻击,820
248,,248,10005,18,86,1,210000,806521;36,,物理攻击_860;法术攻击_860,86,,,,,物理攻击,860,法术攻击,860
249,,249,10005,19,90,1,230000,806521;38,,物理攻击_900;法术攻击_900,90,,,,,物理攻击,900,法术攻击,900
250,,250,10006,1,1,1,1000,806522;2,,生命_100,1,,,,,生命,100,,
251,,251,10006,2,10,1,2000,806522;4,,生命_1000,10,,,,,生命,1000,,
252,,252,10006,3,20,1,3000,806522;6,,生命_2000,20,,,,,生命,2000,,
