key,remarks,id,planId,star,upCostType,upCount,itemsNeedStr,downCostType,downCount,attrData,precentAttrData,wf1,wf2,wf3,wf4,wf5,wf6,wf7,wf8,wf9
21,,21,10004,2,,,806553:6,1,90,法术防御_120;生命_600,,60,法术防御,120,生命,600,,,,
22,,22,10004,3,,,806553:9,1,120,法术防御_200;生命_1000,,70,法术防御,200,生命,1000,,,,
23,,23,10004,4,,,806553:12,1,120,法术防御_280;生命_1400,,80,法术防御,280,生命,1400,,,,
24,,24,10004,5,,,,1,120,法术防御_360;生命_1800,,90,法术防御,360,生命,1800,,,,
25,,25,10005,,,,806553:1,1,30,,,40,,0,,0,,,,
26,,26,10005,1,,,806553:3,1,60,物理攻击_168;法术攻击_144,,50,物理攻击,168,法术攻击,144,,,,
27,,27,10005,2,,,806553:6,1,90,物理攻击_337;法术攻击_288,,60,物理攻击,337,法术攻击,288,,,,
28,,28,10005,3,,,806553:9,1,120,物理攻击_562;法术攻击_480,,70,物理攻击,562,法术攻击,480,,,,
29,,29,10005,4,,,806553:12,1,120,物理攻击_787;法术攻击_672,,80,物理攻击,787,法术攻击,672,,,,
30,,30,10005,5,,,,1,120,物理攻击_1012;法术攻击_864,,90,物理攻击,1012,法术攻击,864,,,,
31,,31,10006,,,,806553:1,1,30,,,40,,0,,0,,,,
32,,32,10006,1,,,806553:3,1,60,生命_1080,,50,生命,1080,,0,,,,
33,,33,10006,2,,,806553:6,1,90,生命_2160,,60,生命,2160,,0,,,,
34,,34,10006,3,,,806553:9,1,120,生命_3600,,70,生命,3600,,0,,,,
35,,35,10006,4,,,806553:12,1,120,生命_5040,,80,生命,5040,,0,,,,
36,,36,10006,5,,,,1,120,生命_6480,,90,生命,6480,,0,,,,
37,,37,10007,,,,806553:1,1,30,,,40,,0,,0,,,,
38,,38,10007,1,,,806553:3,1,60,物理防御_90;生命_540,,50,物理防御,90,生命,540,,,,
39,,39,10007,2,,,806553:6,1,90,物理防御_180;生命_1080,,60,物理防御,180,生命,1080,,,,
40,,40,10007,3,,,806553:9,1,120,物理防御_300;生命_1800,,70,物理防御,300,生命,1800,,,,
41,,41,10007,4,,,806553:12,1,120,物理防御_420;生命_2520,,80,物理防御,420,生命,2520,,,,
42,,42,10007,5,,,,1,120,物理防御_540;生命_3240,,90,物理防御,540,生命,3240,,,,
43,,43,10008,,,,806553:1,1,30,,,40,,0,,0,,,,
44,,44,10008,1,,,806553:3,1,60,法术防御_72;生命_540,,50,法术防御,72,生命,540,,,,
45,,45,10008,2,,,806553:6,1,90,法术防御_144;生命_1080,,60,法术防御,144,生命,1080,,,,
46,,46,10008,3,,,806553:9,1,120,法术防御_240;生命_1800,,70,法术防御,240,生命,1800,,,,
47,,47,10008,4,,,806553:12,1,120,法术防御_336;生命_2520,,80,法术防御,336,生命,2520,,,,
48,,48,10008,5,,,,1,120,法术防御_432;生命_3240,,90,法术防御,432,生命,3240,,,,
49,,49,10009,,,,806553:1,1,30,,,40,,0,,0,,,,
50,,50,10009,1,,,806553:3,1,60,物理攻击_177;法术攻击_151,,50,物理攻击,177,法术攻击,151,,,,
51,,51,10009,2,,,806553:6,1,90,物理攻击_355;法术攻击_302,,60,物理攻击,355,法术攻击,302,,,,
52,,52,10009,3,,,806553:9,1,120,物理攻击_592;法术攻击_504,,70,物理攻击,592,法术攻击,504,,,,
53,,53,10009,4,,,806553:12,1,120,物理攻击_829;法术攻击_705,,80,物理攻击,829,法术攻击,705,,,,
54,,54,10009,5,,,,1,120,物理攻击_1066;法术攻击_907,,90,物理攻击,1066,法术攻击,907,,,,
55,,55,10010,,,,806553:1,1,30,,,40,,0,,0,,,,
56,,56,10010,1,,,806553:3,1,60,生命_997,,50,生命,997,,0,,,,
57,,57,10010,2,,,806553:6,1,90,生命_1995,,60,生命,1995,,0,,,,
58,,58,10010,3,,,806553:9,1,120,生命_3325,,70,生命,3325,,0,,,,
59,,59,10010,4,,,806553:12,1,120,生命_4655,,80,生命,4655,,0,,,,
60,,60,10010,5,,,,1,120,生命_5985,,90,生命,5985,,0,,,,
61,,61,10011,,,,806553:1,1,30,,,40,,0,,0,,,,
62,,62,10011,1,,,806553:3,1,60,物理防御_87;生命_498,,50,物理防御,87,生命,498,,,,
63,,63,10011,2,,,806553:6,1,90,物理防御_174;生命_997,,60,物理防御,174,生命,997,,,,
64,,64,10011,3,,,806553:9,1,120,物理防御_290;生命_1662,,70,物理防御,290,生命,1662,,,,
65,,65,10011,4,,,806553:12,1,120,物理防御_406;生命_2327,,80,物理防御,406,生命,2327,,,,
66,,66,10011,5,,,,1,120,物理防御_522;生命_2992,,90,物理防御,522,生命,2992,,,,
67,,67,10012,,,,806553:1,1,30,,,40,,0,,0,,,,
68,,68,10012,1,,,806553:3,1,60,法术防御_69;生命_498,,50,法术防御,69,生命,498,,,,
69,,69,10012,2,,,806553:6,1,90,法术防御_139;生命_997,,60,法术防御,139,生命,997,,,,
70,,70,10012,3,,,806553:9,1,120,法术防御_232;生命_1662,,70,法术防御,232,生命,1662,,,,
71,,71,10012,4,,,806553:12,1,120,法术防御_324;生命_2327,,80,法术防御,324,生命,2327,,,,
72,,72,10012,5,,,,1,120,法术防御_417;生命_2992,,90,法术防御,417,生命,2992,,,,
73,,73,10013,,,,806553:1,1,30,,,40,,0,,0,,,,
74,,74,10013,1,,,806553:3,1,60,物理攻击_186;法术攻击_158,,50,物理攻击,186,法术攻击,158,,,,
75,,75,10013,2,,,806553:6,1,90,物理攻击_373;法术攻击_316,,60,物理攻击,373,法术攻击,316,,,,
76,,76,10013,3,,,806553:9,1,120,物理攻击_622;法术攻击_528,,70,物理攻击,622,法术攻击,528,,,,
77,,77,10013,4,,,806553:12,1,120,物理攻击_871;法术攻击_739,,80,物理攻击,871,法术攻击,739,,,,
78,,78,10013,5,,,,1,120,物理攻击_1120;法术攻击_950,,90,物理攻击,1120,法术攻击,950,,,,
79,,79,10014,,,,806553:1,1,30,,,40,,0,,0,,,,
80,,80,10014,1,,,806553:3,1,60,生命_937,,50,生命,937,,0,,,,
81,,81,10014,2,,,806553:6,1,90,生命_1875,,60,生命,1875,,0,,,,
82,,82,10014,3,,,806553:9,1,120,生命_3125,,70,生命,3125,,0,,,,
83,,83,10014,4,,,806553:12,1,120,生命_4375,,80,生命,4375,,0,,,,
84,,84,10014,5,,,,1,120,生命_5625,,90,生命,5625,,0,,,,
85,,85,10015,,,,806553:1,1,30,,,40,,0,,0,,,,
86,,86,10015,1,,,806553:3,1,60,物理防御_84;生命_468,,50,物理防御,84,生命,468,,,,
87,,87,10015,2,,,806553:6,1,90,物理防御_168;生命_937,,60,物理防御,168,生命,937,,,,
88,,88,10015,3,,,806553:9,1,120,物理防御_280;生命_1562,,70,物理防御,280,生命,1562,,,,
89,,89,10015,4,,,806553:12,1,120,物理防御_392;生命_2187,,80,物理防御,392,生命,2187,,,,
90,,90,10015,5,,,,1,120,物理防御_504;生命_2812,,90,物理防御,504,生命,2812,,,,
91,,91,10016,,,,806553:1,1,30,,,40,,0,,0,,,,
92,,92,10016,1,,,806553:3,1,60,法术防御_67;生命_468,,50,法术防御,67,生命,468,,,,
93,,93,10016,2,,,806553:6,1,90,法术防御_134;生命_937,,60,法术防御,134,生命,937,,,,
94,,94,10016,3,,,806553:9,1,120,法术防御_224;生命_1562,,70,法术防御,224,生命,1562,,,,
95,,95,10016,4,,,806553:12,1,120,法术防御_313;生命_2187,,80,法术防御,313,生命,2187,,,,
96,,96,10016,5,,,,1,120,法术防御_403;生命_2812,,90,法术防御,403,生命,2812,,,,
97,,97,10017,,,,806553:1,1,30,,,40,,0,,0,,,,
98,,98,10017,1,,,806553:3,1,60,物理攻击_168;法术攻击_144,,50,物理攻击,168,法术攻击,144,,,,
99,,99,10017,2,,,806553:6,1,90,物理攻击_337;法术攻击_288,,60,物理攻击,337,法术攻击,288,,,,
100,,100,10017,3,,,806553:9,1,120,物理攻击_562;法术攻击_480,,70,物理攻击,562,法术攻击,480,,,,
101,,101,10017,4,,,806553:12,1,120,物理攻击_787;法术攻击_672,,80,物理攻击,787,法术攻击,672,,,,
102,,102,10017,5,,,,1,120,物理攻击_1012;法术攻击_864,,90,物理攻击,1012,法术攻击,864,,,,
103,,103,10018,,,,806553:1,1,30,,,40,,0,,0,,,,
104,,104,10018,1,,,806553:3,1,60,生命_1080,,50,生命,1080,,0,,,,
105,,105,10018,2,,,806553:6,1,90,生命_2160,,60,生命,2160,,0,,,,
106,,106,10018,3,,,806553:9,1,120,生命_3600,,70,生命,3600,,0,,,,
107,,107,10018,4,,,806553:12,1,120,生命_5040,,80,生命,5040,,0,,,,
108,,108,10018,5,,,,1,120,生命_6480,,90,生命,6480,,0,,,,
109,,109,10019,,,,806553:1,1,30,,,40,,0,,0,,,,
110,,110,10019,1,,,806553:3,1,60,物理防御_72;生命_540,,50,物理防御,72,生命,540,,,,
111,,111,10019,2,,,806553:6,1,90,物理防御_144;生命_1080,,60,物理防御,144,生命,1080,,,,
112,,112,10019,3,,,806553:9,1,120,物理防御_240;生命_1800,,70,物理防御,240,生命,1800,,,,
113,,113,10019,4,,,806553:12,1,120,物理防御_336;生命_2520,,80,物理防御,336,生命,2520,,,,
114,,114,10019,5,,,,1,120,物理防御_432;生命_3240,,90,物理防御,432,生命,3240,,,,
115,,115,10020,,,,806553:1,1,30,,,40,,0,,0,,,,
116,,116,10020,1,,,806553:3,1,60,法术防御_90;生命_540,,50,法术防御,90,生命,540,,,,
117,,117,10020,2,,,806553:6,1,90,法术防御_180;生命_1080,,60,法术防御,180,生命,1080,,,,
118,,118,10020,3,,,806553:9,1,120,法术防御_300;生命_1800,,70,法术防御,300,生命,1800,,,,
119,,119,10020,4,,,806553:12,1,120,法术防御_420;生命_2520,,80,法术防御,420,生命,2520,,,,
120,,120,10020,5,,,,1,120,法术防御_540;生命_3240,,90,法术防御,540,生命,3240,,,,
121,,121,10021,,,,806553:1,1,30,,,40,,0,,0,,,,
122,,122,10021,1,,,806553:3,1,60,物理攻击_177;法术攻击_151,,50,物理攻击,177,法术攻击,151,,,,
123,,123,10021,2,,,806553:6,1,90,物理攻击_355;法术攻击_302,,60,物理攻击,355,法术攻击,302,,,,
124,,124,10021,3,,,806553:9,1,120,物理攻击_592;法术攻击_504,,70,物理攻击,592,法术攻击,504,,,,
125,,125,10021,4,,,806553:12,1,120,物理攻击_829;法术攻击_705,,80,物理攻击,829,法术攻击,705,,,,
126,,126,10021,5,,,,1,120,物理攻击_1066;法术攻击_907,,90,物理攻击,1066,法术攻击,907,,,,
127,,127,10022,,,,806553:1,1,30,,,40,,0,,0,,,,
128,,128,10022,1,,,806553:3,1,60,生命_997,,50,生命,997,,0,,,,
129,,129,10022,2,,,806553:6,1,90,生命_1995,,60,生命,1995,,0,,,,
130,,130,10022,3,,,806553:9,1,120,生命_3325,,70,生命,3325,,0,,,,
131,,131,10022,4,,,806553:12,1,120,生命_4655,,80,生命,4655,,0,,,,
132,,132,10022,5,,,,1,120,生命_5985,,90,生命,5985,,0,,,,
133,,133,10023,,,,806553:1,1,30,,,40,,0,,0,,,,
134,,134,10023,1,,,806553:3,1,60,物理防御_69;生命_498,,50,物理防御,69,生命,498,,,,
135,,135,10023,2,,,806553:6,1,90,物理防御_139;生命_997,,60,物理防御,139,生命,997,,,,
136,,136,10023,3,,,806553:9,1,120,物理防御_232;生命_1662,,70,物理防御,232,生命,1662,,,,
137,,137,10023,4,,,806553:12,1,120,物理防御_324;生命_2327,,80,物理防御,324,生命,2327,,,,
138,,138,10023,5,,,,1,120,物理防御_417;生命_2992,,90,物理防御,417,生命,2992,,,,
139,,139,10024,,,,806553:1,1,30,,,40,,0,,0,,,,
140,,140,10024,1,,,806553:3,1,60,法术防御_87;生命_498,,50,法术防御,87,生命,498,,,,
141,,141,10024,2,,,806553:6,1,90,法术防御_174;生命_997,,60,法术防御,174,生命,997,,,,
142,,142,10024,3,,,806553:9,1,120,法术防御_290;生命_1662,,70,法术防御,290,生命,1662,,,,
143,,143,10024,4,,,806553:12,1,120,法术防御_406;生命_2327,,80,法术防御,406,生命,2327,,,,
144,,144,10024,5,,,,1,120,法术防御_522;生命_2992,,90,法术防御,522,生命,2992,,,,
145,,145,10025,,,,806553:1,1,30,,,40,,0,,0,,,,
146,,146,10025,1,,,806553:3,1,60,物理攻击_186;法术攻击_158,,50,物理攻击,186,法术攻击,158,,,,
147,,147,10025,2,,,806553:6,1,90,物理攻击_373;法术攻击_316,,60,物理攻击,373,法术攻击,316,,,,
148,,148,10025,3,,,806553:9,1,120,物理攻击_622;法术攻击_528,,70,物理攻击,622,法术攻击,528,,,,
149,,149,10025,4,,,806553:12,1,120,物理攻击_871;法术攻击_739,,80,物理攻击,871,法术攻击,739,,,,
150,,150,10025,5,,,,1,120,物理攻击_1120;法术攻击_950,,90,物理攻击,1120,法术攻击,950,,,,
151,,151,10026,,,,806553:1,1,30,,,40,,0,,0,,,,
152,,152,10026,1,,,806553:3,1,60,生命_937,,50,生命,937,,0,,,,
153,,153,10026,2,,,806553:6,1,90,生命_1875,,60,生命,1875,,0,,,,
154,,154,10026,3,,,806553:9,1,120,生命_3125,,70,生命,3125,,0,,,,
155,,155,10026,4,,,806553:12,1,120,生命_4375,,80,生命,4375,,0,,,,
156,,156,10026,5,,,,1,120,生命_5625,,90,生命,5625,,0,,,,
157,,157,10027,,,,806553:1,1,30,,,40,,0,,0,,,,
158,,158,10027,1,,,806553:3,1,60,物理防御_67;生命_468,,50,物理防御,67,生命,468,,,,
159,,159,10027,2,,,806553:6,1,90,物理防御_134;生命_937,,60,物理防御,134,生命,937,,,,
160,,160,10027,3,,,806553:9,1,120,物理防御_224;生命_1562,,70,物理防御,224,生命,1562,,,,
161,,161,10027,4,,,806553:12,1,120,物理防御_313;生命_2187,,80,物理防御,313,生命,2187,,,,
162,,162,10027,5,,,,1,120,物理防御_403;生命_2812,,90,物理防御,403,生命,2812,,,,
163,,163,10028,,,,806553:1,1,30,,,40,,0,,0,,,,
164,,164,10028,1,,,806553:3,1,60,法术防御_84;生命_468,,50,法术防御,84,生命,468,,,,
165,,165,10028,2,,,806553:6,1,90,法术防御_168;生命_937,,60,法术防御,168,生命,937,,,,
166,,166,10028,3,,,806553:9,1,120,法术防御_280;生命_1562,,70,法术防御,280,生命,1562,,,,
167,,167,10028,4,,,806553:12,1,120,法术防御_392;生命_2187,,80,法术防御,392,生命,2187,,,,
168,,168,10028,5,,,,1,120,法术防御_504;生命_2812,,90,法术防御,504,生命,2812,,,,
169,,169,10029,,,,806553:1,1,30,,,40,,0,,0,,,,
170,,170,10029,1,,,806553:3,1,60,物理攻击_207;法术攻击_165,,50,物理攻击,207,法术攻击,165,,,,
171,,171,10029,2,,,806553:6,1,90,物理攻击_414;法术攻击_331,,60,物理攻击,414,法术攻击,331,,,,
172,,172,10029,3,,,806553:9,1,120,物理攻击_690;法术攻击_552,,70,物理攻击,690,法术攻击,552,,,,
173,,173,10029,4,,,806553:12,1,120,物理攻击_966;法术攻击_772,,80,物理攻击,966,法术攻击,772,,,,
174,,174,10029,5,,,,1,120,物理攻击_1242;法术攻击_993,,90,物理攻击,1242,法术攻击,993,,,,
175,,175,10030,,,,806553:1,1,30,,,40,,0,,0,,,,
176,,176,10030,1,,,806553:3,1,60,生命_652,,50,生命,652,,0,,,,
177,,177,10030,2,,,806553:6,1,90,生命_1305,,60,生命,1305,,0,,,,
178,,178,10030,3,,,806553:9,1,120,生命_2175,,70,生命,2175,,0,,,,
179,,179,10030,4,,,806553:12,1,120,生命_3045,,80,生命,3045,,0,,,,
180,,180,10030,5,,,,1,120,生命_3915,,90,生命,3915,,0,,,,
181,,181,10031,,,,806553:1,1,30,,,40,,0,,0,,,,
182,,182,10031,1,,,806553:3,1,60,物理防御_81;生命_326,,50,物理防御,81,生命,326,,,,
183,,183,10031,2,,,806553:6,1,90,物理防御_162;生命_652,,60,物理防御,162,生命,652,,,,
184,,184,10031,3,,,806553:9,1,120,物理防御_270;生命_1087,,70,物理防御,270,生命,1087,,,,
185,,185,10031,4,,,806553:12,1,120,物理防御_378;生命_1522,,80,物理防御,378,生命,1522,,,,
186,,186,10031,5,,,,1,120,物理防御_486;生命_1957,,90,物理防御,486,生命,1957,,,,
187,,187,10032,,,,806553:1,1,30,,,40,,0,,0,,,,
188,,188,10032,1,,,806553:3,1,60,法术防御_64;生命_326,,50,法术防御,64,生命,326,,,,
189,,189,10032,2,,,806553:6,1,90,法术防御_129;生命_652,,60,法术防御,129,生命,652,,,,
190,,190,10032,3,,,806553:9,1,120,法术防御_216;生命_1087,,70,法术防御,216,生命,1087,,,,
191,,191,10032,4,,,806553:12,1,120,法术防御_302;生命_1522,,80,法术防御,302,生命,1522,,,,
192,,192,10032,5,,,,1,120,法术防御_388;生命_1957,,90,法术防御,388,生命,1957,,,,
193,,193,10033,,,,806553:1,1,30,,,40,,0,,0,,,,
194,,194,10033,1,,,806553:3,1,60,物理攻击_216;法术攻击_172,,50,物理攻击,216,法术攻击,172,,,,
195,,195,10033,2,,,806553:6,1,90,物理攻击_432;法术攻击_345,,60,物理攻击,432,法术攻击,345,,,,
196,,196,10033,3,,,806553:9,1,120,物理攻击_720;法术攻击_576,,70,物理攻击,720,法术攻击,576,,,,
197,,197,10033,4,,,806553:12,1,120,物理攻击_1008;法术攻击_806,,80,物理攻击,1008,法术攻击,806,,,,
198,,198,10033,5,,,,1,120,物理攻击_1296;法术攻击_1036,,90,物理攻击,1296,法术攻击,1036,,,,
199,,199,10034,,,,806553:1,1,30,,,40,,0,,0,,,,
200,,200,10034,1,,,806553:3,1,60,生命_622,,50,生命,622,,0,,,,
201,,201,10034,2,,,806553:6,1,90,生命_1245,,60,生命,1245,,0,,,,
202,,202,10034,3,,,806553:9,1,120,生命_2075,,70,生命,2075,,0,,,,
203,,203,10034,4,,,806553:12,1,120,生命_2905,,80,生命,2905,,0,,,,
204,,204,10034,5,,,,1,120,生命_3735,,90,生命,3735,,0,,,,
205,,205,10035,,,,806553:1,1,30,,,40,,0,,0,,,,
206,,206,10035,1,,,806553:3,1,60,物理防御_78;生命_311,,50,物理防御,78,生命,311,,,,
207,,207,10035,2,,,806553:6,1,90,物理防御_156;生命_622,,60,物理防御,156,生命,622,,,,
208,,208,10035,3,,,806553:9,1,120,物理防御_260;生命_1037,,70,物理防御,260,生命,1037,,,,
209,,209,10035,4,,,806553:12,1,120,物理防御_364;生命_1452,,80,物理防御,364,生命,1452,,,,
210,,210,10035,5,,,,1,120,物理防御_468;生命_1867,,90,物理防御,468,生命,1867,,,,
211,,211,10036,,,,806553:1,1,30,,,40,,0,,0,,,,
212,,212,10036,1,,,806553:3,1,60,法术防御_62;生命_311,,50,法术防御,62,生命,311,,,,
213,,213,10036,2,,,806553:6,1,90,法术防御_124;生命_622,,60,法术防御,124,生命,622,,,,
214,,214,10036,3,,,806553:9,1,120,法术防御_208;生命_1037,,70,法术防御,208,生命,1037,,,,
215,,215,10036,4,,,806553:12,1,120,法术防御_291;生命_1452,,80,法术防御,291,生命,1452,,,,
216,,216,10036,5,,,,1,120,法术防御_374;生命_1867,,90,法术防御,374,生命,1867,,,,
217,,217,10037,,,,806553:1,1,30,,,40,,0,,0,,,,
218,,218,10037,1,,,806553:3,1,60,物理攻击_225;法术攻击_180,,50,物理攻击,225,法术攻击,180,,,,
219,,219,10037,2,,,806553:6,1,90,物理攻击_450;法术攻击_360,,60,物理攻击,450,法术攻击,360,,,,
220,,220,10037,3,,,806553:9,1,120,物理攻击_750;法术攻击_600,,70,物理攻击,750,法术攻击,600,,,,
221,,221,10037,4,,,806553:12,1,120,物理攻击_1050;法术攻击_840,,80,物理攻击,1050,法术攻击,840,,,,
222,,222,10037,5,,,,1,120,物理攻击_1350;法术攻击_1080,,90,物理攻击,1350,法术攻击,1080,,,,
223,,223,10038,,,,806553:1,1,30,,,40,,0,,0,,,,
224,,224,10038,1,,,806553:3,1,60,生命_600,,50,生命,600,,0,,,,
225,,225,10038,2,,,806553:6,1,90,生命_1200,,60,生命,1200,,0,,,,
226,,226,10038,3,,,806553:9,1,120,生命_2000,,70,生命,2000,,0,,,,
227,,227,10038,4,,,806553:12,1,120,生命_2800,,80,生命,2800,,0,,,,
228,,228,10038,5,,,,1,120,生命_3600,,90,生命,3600,,0,,,,
229,,229,10039,,,,806553:1,1,30,,,40,,0,,0,,,,
230,,230,10039,1,,,806553:3,1,60,物理防御_75;生命_300,,50,物理防御,75,生命,300,,,,
231,,231,10039,2,,,806553:6,1,90,物理防御_150;生命_600,,60,物理防御,150,生命,600,,,,
232,,232,10039,3,,,806553:9,1,120,物理防御_250;生命_1000,,70,物理防御,250,生命,1000,,,,
233,,233,10039,4,,,806553:12,1,120,物理防御_350;生命_1400,,80,物理防御,350,生命,1400,,,,
234,,234,10039,5,,,,1,120,物理防御_450;生命_1800,,90,物理防御,450,生命,1800,,,,
235,,235,10040,,,,806553:1,1,30,,,40,,0,,0,,,,
236,,236,10040,1,,,806553:3,1,60,法术防御_60;生命_300,,50,法术防御,60,生命,300,,,,
237,,237,10040,2,,,806553:6,1,90,法术防御_120;生命_600,,60,法术防御,120,生命,600,,,,
238,,238,10040,3,,,806553:9,1,120,法术防御_200;生命_1000,,70,法术防御,200,生命,1000,,,,
239,,239,10040,4,,,806553:12,1,120,法术防御_280;生命_1400,,80,法术防御,280,生命,1400,,,,
240,,240,10040,5,,,,1,120,法术防御_360;生命_1800,,90,法术防御,360,生命,1800,,,,
241,,241,10041,,,,806553:1,1,30,,,40,,0,,0,,,,
242,,242,10041,1,,,806553:3,1,60,物理攻击_218;法术攻击_165,,50,物理攻击,218,法术攻击,165,,,,
243,,243,10041,2,,,806553:6,1,90,物理攻击_436;法术攻击_331,,60,物理攻击,436,法术攻击,331,,,,
244,,244,10041,3,,,806553:9,1,120,物理攻击_727;法术攻击_552,,70,物理攻击,727,法术攻击,552,,,,
245,,245,10041,4,,,806553:12,1,120,物理攻击_1018;法术攻击_772,,80,物理攻击,1018,法术攻击,772,,,,
246,,246,10041,5,,,,1,120,物理攻击_1309;法术攻击_993,,90,物理攻击,1309,法术攻击,993,,,,
247,,247,10042,,,,806553:1,1,30,,,40,,0,,0,,,,
248,,248,10042,1,,,806553:3,1,60,生命_652,,50,生命,652,,0,,,,
249,,249,10042,2,,,806553:6,1,90,生命_1305,,60,生命,1305,,0,,,,
250,,250,10042,3,,,806553:9,1,120,生命_2175,,70,生命,2175,,0,,,,
251,,251,10042,4,,,806553:12,1,120,生命_3045,,80,生命,3045,,0,,,,
252,,252,10042,5,,,,1,120,生命_3915,,90,生命,3915,,0,,,,
253,,253,10043,,,,806553:1,1,30,,,40,,0,,0,,,,
254,,254,10043,1,,,806553:3,1,60,物理防御_64;生命_326,,50,物理防御,64,生命,326,,,,
255,,255,10043,2,,,806553:6,1,90,物理防御_129;生命_652,,60,物理防御,129,生命,652,,,,
256,,256,10043,3,,,806553:9,1,120,物理防御_216;生命_1087,,70,物理防御,216,生命,1087,,,,
257,,257,10043,4,,,806553:12,1,120,物理防御_302;生命_1522,,80,物理防御,302,生命,1522,,,,
258,,258,10043,5,,,,1,120,物理防御_388;生命_1957,,90,物理防御,388,生命,1957,,,,
259,,259,10044,,,,806553:1,1,30,,,40,,0,,0,,,,
260,,260,10044,1,,,806553:3,1,60,法术防御_81;生命_326,,50,法术防御,81,生命,326,,,,
261,,261,10044,2,,,806553:6,1,90,法术防御_162;生命_652,,60,法术防御,162,生命,652,,,,
262,,262,10044,3,,,806553:9,1,120,法术防御_270;生命_1087,,70,法术防御,270,生命,1087,,,,
263,,263,10044,4,,,806553:12,1,120,法术防御_378;生命_1522,,80,法术防御,378,生命,1522,,,,
264,,264,10044,5,,,,1,120,法术防御_486;生命_1957,,90,法术防御,486,生命,1957,,,,
265,,265,10045,,,,806553:1,1,30,,,40,,0,,0,,,,
266,,266,10045,1,,,806553:3,1,60,物理攻击_227;法术攻击_172,,50,物理攻击,227,法术攻击,172,,,,
267,,267,10045,2,,,806553:6,1,90,物理攻击_454;法术攻击_345,,60,物理攻击,454,法术攻击,345,,,,
268,,268,10045,3,,,806553:9,1,120,物理攻击_757;法术攻击_576,,70,物理攻击,757,法术攻击,576,,,,
269,,269,10045,4,,,806553:12,1,120,物理攻击_1060;法术攻击_806,,80,物理攻击,1060,法术攻击,806,,,,
270,,270,10045,5,,,,1,120,物理攻击_1363;法术攻击_1036,,90,物理攻击,1363,法术攻击,1036,,,,
271,,271,10046,,,,806553:1,1,30,,,40,,0,,0,,,,
272,,272,10046,1,,,806553:3,1,60,生命_622,,50,生命,622,,0,,,,
273,,273,10046,2,,,806553:6,1,90,生命_1245,,60,生命,1245,,0,,,,
274,,274,10046,3,,,806553:9,1,120,生命_2075,,70,生命,2075,,0,,,,
275,,275,10046,4,,,806553:12,1,120,生命_2905,,80,生命,2905,,0,,,,
276,,276,10046,5,,,,1,120,生命_3735,,90,生命,3735,,0,,,,
277,,277,10047,,,,806553:1,1,30,,,40,,0,,0,,,,
278,,278,10047,1,,,806553:3,1,60,物理防御_62;生命_311,,50,物理防御,62,生命,311,,,,
279,,279,10047,2,,,806553:6,1,90,物理防御_124;生命_622,,60,物理防御,124,生命,622,,,,
280,,280,10047,3,,,806553:9,1,120,物理防御_208;生命_1037,,70,物理防御,208,生命,1037,,,,
281,,281,10047,4,,,806553:12,1,120,物理防御_291;生命_1452,,80,物理防御,291,生命,1452,,,,
282,,282,10047,5,,,,1,120,物理防御_374;生命_1867,,90,物理防御,374,生命,1867,,,,
283,,283,10048,,,,806553:1,1,30,,,40,,0,,0,,,,
284,,284,10048,1,,,806553:3,1,60,法术防御_78;生命_311,,50,法术防御,78,生命,311,,,,
