key,remarks,id,planId,star,upCostType,upCount,itemsNeedStr,downCostType,downCount,attrData,precentAttrData,fk
116,,116,10303,1,,,806553:3,1,60,物理防御_90;生命_540,,50
117,,117,10303,2,,,806553:6,1,90,物理防御_180;生命_1080,,60
118,,118,10303,3,,,806553:9,1,120,物理防御_270;生命_1620,,70
119,,119,10303,4,,,806553:12,1,120,物理防御_360;生命_2160,,80
120,,120,10303,5,,,,1,120,物理防御_450;生命_2700,,90
121,,121,10304,,,,806553:1,1,30,,,40
122,,122,10304,1,,,806553:3,1,60,法术防御_108;生命_540,,50
123,,123,10304,2,,,806553:6,1,90,法术防御_216;生命_1080,,60
124,,124,10304,3,,,806553:9,1,120,法术防御_324;生命_1620,,70
125,,125,10304,4,,,806553:12,1,120,法术防御_432;生命_2160,,80
126,,126,10304,5,,,,1,120,法术防御_540;生命_2700,,90
127,,127,10402,,,,806553:1,1,30,,,40
128,,128,10402,1,,,806553:3,1,60,生命_900,,50
129,,129,10402,2,,,806553:6,1,90,生命_1800,,60
130,,130,10402,3,,,806553:9,1,120,生命_2700,,70
131,,131,10402,4,,,806553:12,1,120,生命_3600,,80
132,,132,10402,5,,,,1,120,生命_4500,,90
133,,133,10403,,,,806553:1,1,30,,,40
134,,134,10403,1,,,806553:3,1,60,物理防御_126;生命_450,,50
135,,135,10403,2,,,806553:6,1,90,物理防御_252;生命_900,,60
136,,136,10403,3,,,806553:9,1,120,物理防御_378;生命_1350,,70
137,,137,10403,4,,,806553:12,1,120,物理防御_504;生命_1800,,80
138,,138,10403,5,,,,1,120,物理防御_630;生命_2250,,90
139,,139,10404,,,,806553:1,1,30,,,40
140,,140,10404,1,,,806553:3,1,60,法术防御_90;生命_450,,50
141,,141,10404,2,,,806553:6,1,90,法术防御_180;生命_900,,60
142,,142,10404,3,,,806553:9,1,120,法术防御_270;生命_1350,,70
143,,143,10404,4,,,806553:12,1,120,法术防御_360;生命_1800,,80
144,,144,10404,5,,,,1,120,法术防御_450;生命_2250,,90
145,,145,10502,,,,806553:1,1,30,,,40
146,,146,10502,1,,,806553:3,1,60,生命_900,,50
147,,147,10502,2,,,806553:6,1,90,生命_1800,,60
148,,148,10502,3,,,806553:9,1,120,生命_2700,,70
149,,149,10502,4,,,806553:12,1,120,生命_3600,,80
150,,150,10502,5,,,,1,120,生命_4500,,90
151,,151,10503,,,,806553:1,1,30,,,40
152,,152,10503,1,,,806553:3,1,60,物理防御_108;生命_450,,50
153,,153,10503,2,,,806553:6,1,90,物理防御_216;生命_900,,60
154,,154,10503,3,,,806553:9,1,120,物理防御_324;生命_1350,,70
155,,155,10503,4,,,806553:12,1,120,物理防御_432;生命_1800,,80
156,,156,10503,5,,,,1,120,物理防御_540;生命_2250,,90
157,,157,10504,,,,806553:1,1,30,,,40
158,,158,10504,1,,,806553:3,1,60,法术防御_126;生命_450,,50
159,,159,10504,2,,,806553:6,1,90,法术防御_252;生命_900,,60
160,,160,10504,3,,,806553:9,1,120,法术防御_378;生命_1350,,70
161,,161,10504,4,,,806553:12,1,120,法术防御_504;生命_1800,,80
162,,162,10504,5,,,,1,120,法术防御_630;生命_2250,,90
163,,163,10602,,,,806553:1,1,30,,,40
164,,164,10602,1,,,806553:3,1,60,生命_792,,50
165,,165,10602,2,,,806553:6,1,90,生命_1584,,60
166,,166,10602,3,,,806553:9,1,120,生命_2376,,70
167,,167,10602,4,,,806553:12,1,120,生命_3168,,80
168,,168,10602,5,,,,1,120,生命_3960,,90
169,,169,10603,,,,806553:1,1,30,,,40
170,,170,10603,1,,,806553:3,1,60,物理防御_126;生命_396,,50
171,,171,10603,2,,,806553:6,1,90,物理防御_252;生命_792,,60
172,,172,10603,3,,,806553:9,1,120,物理防御_378;生命_1188,,70
173,,173,10603,4,,,806553:12,1,120,物理防御_504;生命_1584,,80
174,,174,10603,5,,,,1,120,物理防御_630;生命_1980,,90
175,,175,10604,,,,806553:1,1,30,,,40
176,,176,10604,1,,,806553:3,1,60,法术防御_90;生命_396,,50
177,,177,10604,2,,,806553:6,1,90,法术防御_180;生命_792,,60
178,,178,10604,3,,,806553:9,1,120,法术防御_270;生命_1188,,70
179,,179,10604,4,,,806553:12,1,120,法术防御_360;生命_1584,,80
180,,180,10604,5,,,,1,120,法术防御_450;生命_1980,,90
181,,181,202001,,,,"806554:1,806553:1",1,30,,,40
182,,182,202001,1,,,"806554:1,806553:3",1,60,物理攻击_504;法术攻击_504,,40
183,,183,202001,2,,,"806554:1,806553:6",1,90,物理攻击_1008;法术攻击_1008,,40
184,,184,202001,3,,,"806554:1,806553:9",1,120,物理攻击_1512;法术攻击_1512,,40
185,,185,202001,4,,,"806554:1,806553:12",1,120,物理攻击_2016;法术攻击_2016,,40
186,,186,202001,5,,,,1,120,物理攻击_2520;法术攻击_2520,,40
187,,187,202002,,,,"806555:1,806553:1",1,30,,,40
188,,188,202002,1,,,"806555:1,806553:3",1,60,物理攻击_450;法术攻击_450,,40
189,,189,202002,2,,,"806555:1,806553:6",1,90,物理攻击_900;法术攻击_900,,40
190,,190,202002,3,,,"806555:1,806553:9",1,120,物理攻击_1350;法术攻击_1350,,40
191,,191,202002,4,,,"806555:1,806553:12",1,120,物理攻击_1800;法术攻击_1800,,40
192,,192,202002,5,,,,1,120,物理攻击_2250;法术攻击_2250,,40
193,,193,201001,,,,"806556:1,806553:1",1,30,,,40
194,,194,201001,1,,,"806556:1,806553:3",1,60,物理攻击_396;法术攻击_396,,40
195,,195,201001,2,,,"806556:1,806553:6",1,90,物理攻击_792;法术攻击_792,,40
196,,196,201001,3,,,"806556:1,806553:9",1,120,物理攻击_1188;法术攻击_1188,,40
197,,197,201001,4,,,"806556:1,806553:12",1,120,物理攻击_1584;法术攻击_1584,,40
198,,198,201001,5,,,,1,120,物理攻击_1980;法术攻击_1980,,40
199,,199,204001,,,,"806557:1,806553:1",1,30,,,40
200,,200,204001,1,,,"806557:1,806553:3",1,60,物理攻击_468;法术攻击_468,,40
201,,201,204001,2,,,"806557:1,806553:6",1,90,物理攻击_936;法术攻击_936,,40
202,,202,204001,3,,,"806557:1,806553:9",1,120,物理攻击_1404;法术攻击_1404,,40
203,,203,204001,4,,,"806557:1,806553:12",1,120,物理攻击_1872;法术攻击_1872,,40
204,,204,204001,5,,,,1,120,物理攻击_2340;法术攻击_2340,,40
205,,205,201005,,,,"806558:1,806553:1",1,30,,,40
206,,206,201005,1,,,"806558:1,806553:3",1,60,物理攻击_396;法术攻击_396,,40
207,,207,201005,2,,,"806558:1,806553:6",1,90,物理攻击_792;法术攻击_792,,40
208,,208,201005,3,,,"806558:1,806553:9",1,120,物理攻击_1188;法术攻击_1188,,40
209,,209,201005,4,,,"806558:1,806553:12",1,120,物理攻击_1584;法术攻击_1584,,40
210,,210,201005,5,,,,1,120,物理攻击_1980;法术攻击_1980,,40
211,,211,201004,,,,"806559:1,806553:1",1,30,,,40
212,,212,201004,1,,,"806559:1,806553:3",1,60,物理攻击_396;法术攻击_396,,40
213,,213,201004,2,,,"806559:1,806553:6",1,90,物理攻击_792;法术攻击_792,,40
214,,214,201004,3,,,"806559:1,806553:9",1,120,物理攻击_1188;法术攻击_1188,,40
215,,215,201004,4,,,"806559:1,806553:12",1,120,物理攻击_1584;法术攻击_1584,,40
216,,216,201004,5,,,,1,120,物理攻击_1980;法术攻击_1980,,40
217,,217,202004,,,,"806560:1,806553:1",1,30,,,40
218,,218,202004,1,,,"806560:1,806553:3",1,60,物理攻击_504;法术攻击_504,,40
219,,219,202004,2,,,"806560:1,806553:6",1,90,物理攻击_1008;法术攻击_1008,,40
220,,220,202004,3,,,"806560:1,806553:9",1,120,物理攻击_1512;法术攻击_1512,,40
221,,221,202004,4,,,"806560:1,806553:12",1,120,物理攻击_2016;法术攻击_2016,,40
222,,222,202004,5,,,,1,120,物理攻击_2520;法术攻击_2520,,40
223,,223,204004,,,,"806561:1,806553:1",1,30,,,40
224,,224,204004,1,,,"806561:1,806553:3",1,60,物理攻击_378;法术攻击_378,,40
225,,225,204004,2,,,"806561:1,806553:6",1,90,物理攻击_756;法术攻击_756,,40
226,,226,204004,3,,,"806561:1,806553:9",1,120,物理攻击_1134;法术攻击_1134,,40
227,,227,204004,4,,,"806561:1,806553:12",1,120,物理攻击_1512;法术攻击_1512,,40
228,,228,204004,5,,,,1,120,物理攻击_1890;法术攻击_1890,,40
229,,229,202006,,,,"806562:1,806553:1",1,30,,,40
230,,230,202006,1,,,"806562:1,806553:3",1,60,物理攻击_396;法术攻击_396,,40
231,,231,202006,2,,,"806562:1,806553:6",1,90,物理攻击_792;法术攻击_792,,40
232,,232,202006,3,,,"806562:1,806553:9",1,120,物理攻击_1188;法术攻击_1188,,40
233,,233,202006,4,,,"806562:1,806553:12",1,120,物理攻击_1584;法术攻击_1584,,40
234,,234,202006,5,,,,1,120,物理攻击_1980;法术攻击_1980,,40
235,,235,204003,,,,"806563:1,806553:1",1,30,,,40
236,,236,204003,1,,,"806563:1,806553:3",1,60,物理攻击_396;法术攻击_396,,40
237,,237,204003,2,,,"806563:1,806553:6",1,90,物理攻击_792;法术攻击_792,,40
238,,238,204003,3,,,"806563:1,806553:9",1,120,物理攻击_1188;法术攻击_1188,,40
239,,239,204003,4,,,"806563:1,806553:12",1,120,物理攻击_1584;法术攻击_1584,,40
240,,240,204003,5,,,,1,120,物理攻击_1980;法术攻击_1980,,40
241,,241,203002,,,,"806564:1,806553:1",1,30,,,40
242,,242,203002,1,,,"806564:1,806553:3",1,60,物理攻击_468;法术攻击_468,,40
243,,243,203002,2,,,"806564:1,806553:6",1,90,物理攻击_936;法术攻击_936,,40
244,,244,203002,3,,,"806564:1,806553:9",1,120,物理攻击_1404;法术攻击_1404,,40
245,,245,203002,4,,,"806564:1,806553:12",1,120,物理攻击_1872;法术攻击_1872,,40
246,,246,203002,5,,,,1,120,物理攻击_2340;法术攻击_2340,,40
247,,247,203003,,,,"806565:1,806553:1",1,30,,,40
248,,248,203003,1,,,"806565:1,806553:3",1,60,物理攻击_450;法术攻击_450,,40
249,,249,203003,2,,,"806565:1,806553:6",1,90,物理攻击_900;法术攻击_900,,40
250,,250,203003,3,,,"806565:1,806553:9",1,120,物理攻击_1350;法术攻击_1350,,40
251,,251,203003,4,,,"806565:1,806553:12",1,120,物理攻击_1800;法术攻击_1800,,40
252,,252,203003,5,,,,1,120,物理攻击_2250;法术攻击_2250,,40
253,,253,200002,,,,"806566:1,806553:1",1,30,,,40
254,,254,200002,1,,,"806566:1,806553:3",1,60,物理攻击_324;法术攻击_324,,40
255,,255,200002,2,,,"806566:1,806553:6",1,90,物理攻击_648;法术攻击_648,,40
256,,256,200002,3,,,"806566:1,806553:9",1,120,物理攻击_972;法术攻击_972,,40
257,,257,200002,4,,,"806566:1,806553:12",1,120,物理攻击_1296;法术攻击_1296,,40
258,,258,200002,5,,,,1,120,物理攻击_1620;法术攻击_1620,,40
259,,259,204006,,,,"806567:1,806553:1",1,30,,,40
260,,260,204006,1,,,"806567:1,806553:3",1,60,物理攻击_324;法术攻击_324,,40
261,,261,204006,2,,,"806567:1,806553:6",1,90,物理攻击_648;法术攻击_648,,40
262,,262,204006,3,,,"806567:1,806553:9",1,120,物理攻击_972;法术攻击_972,,40
263,,263,204006,4,,,"806567:1,806553:12",1,120,物理攻击_1296;法术攻击_1296,,40
264,,264,204006,5,,,,1,120,物理攻击_1620;法术攻击_1620,,40
265,,265,200001,,,,"806568:1,806553:1",1,30,,,40
266,,266,200001,1,,,"806568:1,806553:3",1,60,物理攻击_504;法术攻击_504,,40
267,,267,200001,2,,,"806568:1,806553:6",1,90,物理攻击_1008;法术攻击_1008,,40
268,,268,200001,3,,,"806568:1,806553:9",1,120,物理攻击_1512;法术攻击_1512,,40
269,,269,200001,4,,,"806568:1,806553:12",1,120,物理攻击_2016;法术攻击_2016,,40
270,,270,200001,5,,,,1,120,物理攻击_2520;法术攻击_2520,,40
271,,271,200003,,,,"806569:1,806553:1",1,30,,,40
272,,272,200003,1,,,"806569:1,806553:3",1,60,物理攻击_324;法术攻击_324,,40
273,,273,200003,2,,,"806569:1,806553:6",1,90,物理攻击_648;法术攻击_648,,40
274,,274,200003,3,,,"806569:1,806553:9",1,120,物理攻击_972;法术攻击_972,,40
275,,275,200003,4,,,"806569:1,806553:12",1,120,物理攻击_1296;法术攻击_1296,,40
276,,276,200003,5,,,,1,120,物理攻击_1620;法术攻击_1620,,40
277,,277,202005,,,,"806570:1,806553:1",1,30,,,40
278,,278,202005,1,,,"806570:1,806553:3",1,60,物理攻击_378;法术攻击_378,,40
279,,279,202005,2,,,"806570:1,806553:6",1,90,物理攻击_756;法术攻击_756,,40
280,,280,202005,3,,,"806570:1,806553:9",1,120,物理攻击_1134;法术攻击_1134,,40
281,,281,202005,4,,,"806570:1,806553:12",1,120,物理攻击_1512;法术攻击_1512,,40
282,,282,202005,5,,,,1,120,物理攻击_1890;法术攻击_1890,,40
283,,283,200009,,,,"806571:1,806553:1",1,30,,,40
284,,284,200009,1,,,"806571:1,806553:3",1,60,物理攻击_324;法术攻击_324,,40
285,,285,200009,2,,,"806571:1,806553:6",1,90,物理攻击_648;法术攻击_648,,40
286,,286,200009,3,,,"806571:1,806553:9",1,120,物理攻击_972;法术攻击_972,,40
287,,287,200009,4,,,"806571:1,806553:12",1,120,物理攻击_1296;法术攻击_1296,,40
288,,288,200009,5,,,,1,120,物理攻击_1620;法术攻击_1620,,40
289,,289,200004,,,,"806572:1,806553:1",1,30,,,40
290,,290,200004,1,,,"806572:1,806553:3",1,60,物理攻击_378;法术攻击_378,,40
291,,291,200004,2,,,"806572:1,806553:6",1,90,物理攻击_756;法术攻击_756,,40
292,,292,200004,3,,,"806572:1,806553:9",1,120,物理攻击_1134;法术攻击_1134,,40
293,,293,200004,4,,,"806572:1,806553:12",1,120,物理攻击_1512;法术攻击_1512,,40
294,,294,200004,5,,,,1,120,物理攻击_1890;法术攻击_1890,,40
295,,295,200010,,,,"806573:1,806553:1",1,30,,,40
296,,296,200010,1,,,"806573:1,806553:3",1,60,物理攻击_324;法术攻击_324,,40
297,,297,200010,2,,,"806573:1,806553:6",1,90,物理攻击_648;法术攻击_648,,40
298,,298,200010,3,,,"806573:1,806553:9",1,120,物理攻击_972;法术攻击_972,,40
299,,299,200010,4,,,"806573:1,806553:12",1,120,物理攻击_1296;法术攻击_1296,,40
300,,300,200010,5,,,,1,120,物理攻击_1620;法术攻击_1620,,40
301,,301,204005,,,,"806574:1,806553:1",1,30,,,40
302,,302,204005,1,,,"806574:1,806553:3",1,60,物理攻击_468;法术攻击_468,,40
303,,303,204005,2,,,"806574:1,806553:6",1,90,物理攻击_936;法术攻击_936,,40
304,,304,204005,3,,,"806574:1,806553:9",1,120,物理攻击_1404;法术攻击_1404,,40
305,,305,204005,4,,,"806574:1,806553:12",1,120,物理攻击_1872;法术攻击_1872,,40
306,,306,204005,5,,,,1,120,物理攻击_2340;法术攻击_2340,,40
307,,307,201007,,,,"806575:1,806553:1",1,30,,,40
308,,308,201007,1,,,"806575:1,806553:3",1,60,物理攻击_396;法术攻击_396,,40
309,,309,201007,2,,,"806575:1,806553:6",1,90,物理攻击_792;法术攻击_792,,40
310,,310,201007,3,,,"806575:1,806553:9",1,120,物理攻击_1188;法术攻击_1188,,40
311,,311,201007,4,,,"806575:1,806553:12",1,120,物理攻击_1584;法术攻击_1584,,40
312,,312,201007,5,,,,1,120,物理攻击_1980;法术攻击_1980,,40
313,,313,203010,,,,"806576:1,806553:1",1,30,,,40
314,,314,203010,1,,,"806576:1,806553:3",1,60,物理攻击_450;法术攻击_450,,40
315,,315,203010,2,,,"806576:1,806553:6",1,90,物理攻击_900;法术攻击_900,,40
316,,316,203010,3,,,"806576:1,806553:9",1,120,物理攻击_1350;法术攻击_1350,,40
317,,317,203010,4,,,"806576:1,806553:12",1,120,物理攻击_1800;法术攻击_1800,,40
318,,318,203010,5,,,,1,120,物理攻击_2250;法术攻击_2250,,40
319,,319,204002,,,,"806577:1,806553:1",1,30,,,40
320,,320,204002,1,,,"806577:1,806553:3",1,60,物理攻击_468;法术攻击_468,,40
321,,321,204002,2,,,"806577:1,806553:6",1,90,物理攻击_936;法术攻击_936,,40
322,,322,204002,3,,,"806577:1,806553:9",1,120,物理攻击_1404;法术攻击_1404,,40
323,,323,204002,4,,,"806577:1,806553:12",1,120,物理攻击_1872;法术攻击_1872,,40
324,,324,204002,5,,,,1,120,物理攻击_2340;法术攻击_2340,,40
325,,325,203013,,,,"806578:1,806553:1",1,30,,,40
326,,326,203013,1,,,"806578:1,806553:3",1,60,物理攻击_504;法术攻击_504,,40
327,,327,203013,2,,,"806578:1,806553:6",1,90,物理攻击_1008;法术攻击_1008,,40
328,,328,203013,3,,,"806578:1,806553:9",1,120,物理攻击_1512;法术攻击_1512,,40
329,,329,203013,4,,,"806578:1,806553:12",1,120,物理攻击_2016;法术攻击_2016,,40
330,,330,203013,5,,,,1,120,物理攻击_2520;法术攻击_2520,,40
331,,331,203004,,,,"806579:1,806553:1",1,30,,,40
332,,332,203004,1,,,"806579:1,806553:3",1,60,物理攻击_504;法术攻击_504,,40
333,,333,203004,2,,,"806579:1,806553:6",1,90,物理攻击_1008;法术攻击_1008,,40
334,,334,203004,3,,,"806579:1,806553:9",1,120,物理攻击_1512;法术攻击_1512,,40
335,,335,203004,4,,,"806579:1,806553:12",1,120,物理攻击_2016;法术攻击_2016,,40
336,,336,203004,5,,,,1,120,物理攻击_2520;法术攻击_2520,,40
337,,337,200012,,,,"806580:1,806553:1",1,30,,,40
338,,338,200012,1,,,"806580:1,806553:3",1,60,物理攻击_450;法术攻击_450,,40
339,,339,200012,2,,,"806580:1,806553:6",1,90,物理攻击_900;法术攻击_900,,40
340,,340,200012,3,,,"806580:1,806553:9",1,120,物理攻击_1350;法术攻击_1350,,40
341,,341,200012,4,,,"806580:1,806553:12",1,120,物理攻击_1800;法术攻击_1800,,40
342,,342,200012,5,,,,1,120,物理攻击_2250;法术攻击_2250,,40
343,,343,201012,,,,"806581:1,806553:1",1,30,,,40
344,,344,201012,1,,,"806581:1,806553:3",1,60,物理攻击_396;法术攻击_396,,40
345,,345,201012,2,,,"806581:1,806553:6",1,90,物理攻击_792;法术攻击_792,,40
346,,346,201012,3,,,"806581:1,806553:9",1,120,物理攻击_1188;法术攻击_1188,,40
347,,347,201012,4,,,"806581:1,806553:12",1,120,物理攻击_1584;法术攻击_1584,,40
348,,348,201012,5,,,,1,120,物理攻击_1980;法术攻击_1980,,40
349,,349,200011,,,,"806582:1,806553:1",1,30,,,40
350,,350,200011,1,,,"806582:1,806553:3",1,60,物理攻击_324;法术攻击_324,,40
351,,351,200011,2,,,"806582:1,806553:6",1,90,物理攻击_648;法术攻击_648,,40
352,,352,200011,3,,,"806582:1,806553:9",1,120,物理攻击_972;法术攻击_972,,40
353,,353,200011,4,,,"806582:1,806553:12",1,120,物理攻击_1296;法术攻击_1296,,40
354,,354,200011,5,,,,1,120,物理攻击_1620;法术攻击_1620,,40
355,,355,204008,,,,"806583:1,806553:1",1,30,,,40
356,,356,204008,1,,,"806583:1,806553:3",1,60,物理攻击_378;法术攻击_378,,40
357,,357,204008,2,,,"806583:1,806553:6",1,90,物理攻击_756;法术攻击_756,,40
358,,358,204008,3,,,"806583:1,806553:9",1,120,物理攻击_1134;法术攻击_1134,,40
359,,359,204008,4,,,"806583:1,806553:12",1,120,物理攻击_1512;法术攻击_1512,,40
360,,360,204008,5,,,,1,120,物理攻击_1890;法术攻击_1890,,40
361,,361,203007,,,,"806584:1,806553:1",1,30,,,40
362,,362,203007,1,,,"806584:1,806553:3",1,60,物理攻击_450;法术攻击_450,,40
363,,363,203007,2,,,"806584:1,806553:6",1,90,物理攻击_900;法术攻击_900,,40
364,,364,203007,3,,,"806584:1,806553:9",1,120,物理攻击_1350;法术攻击_1350,,40
365,,365,203007,4,,,"806584:1,806553:12",1,120,物理攻击_1800;法术攻击_1800,,40
