key,remarks,ranking,robotType,level,quality,star,equipments,enchant,gemCount,gemType,gemLevel,firstSkillLevel,secondSkillLevel,thirdSkillLevel,fourthSkillLevel,fifthSkillLevel,fashions,vipLevel,magicId,magicLevel,heroGroupId,heroLevel,heroQuality,heroStar,heroEquipments,heroEnchant,heroGemCount,heroGemType,heroGemLevel,heroFirstSkillLevel,heroSecondSkillLevel,heroThirdSkillLevel,heroFourthSkillLevel,heroFifthSkillLevel,fixEquipLevel,fixEquipQuality,fixEquipStar,taoistLevel,heroFetters,extraAttrId,limitValue
41,,10,2,26,5,2,4,0,0,0,0,26,26,26,0,0,0,0,603701,21,10016,26,5,2,4,0,0,0,0,26,26,26,0,0,9,0,0,,01:1;02:1;03:1;04:1;05:1,,1~10
42,,11,2,27,5,2,6,0,0,0,0,27,27,27,0,0,0,0,603701,22,10015,27,5,2,6,0,0,0,0,27,27,27,0,0,15,1,0,,01:1;02:1;03:1;04:1;05:1,,11~15
43,,12,2,28,6,2,1,0,0,0,0,28,28,28,0,0,"900006,900007,900004",0,603401,23,10015,28,6,2,1,0,0,0,0,28,28,28,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
44,,13,2,29,6,2,2,0,0,0,0,29,29,29,0,0,"900003,900010,900004",0,603501,24,10015,29,6,2,2,0,0,0,0,29,29,29,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
45,,14,2,30,6,2,3,0,0,0,0,30,30,30,0,0,"900005,900001,900004",0,603401,24,10015,30,6,2,3,0,0,0,0,30,30,30,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
46,,15,2,31,6,2,4,0,0,0,0,31,31,31,0,0,"900002,900008,900004",0,603501,25,10015,31,6,2,4,0,0,0,0,31,31,31,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
47,,1,2,25,5,2,3,0,0,0,0,25,25,25,0,0,0,0,603101,10,10017,25,5,2,3,0,0,0,0,25,25,25,0,0,3,0,0,,,,1~10
48,,2,2,25,5,2,3,0,0,0,0,25,25,25,0,0,0,0,603001,10,10017,25,5,2,3,0,0,0,0,25,25,25,0,0,3,0,0,,,,1~10
49,,3,2,26,5,2,4,0,0,0,0,26,26,26,0,0,0,0,603101,11,10017,26,5,2,4,0,0,0,0,26,26,26,0,0,4,0,0,,,,1~10
50,,4,2,26,5,2,4,0,0,0,0,26,26,26,0,0,0,0,603001,11,10017,26,5,2,4,0,0,0,0,26,26,26,0,0,4,0,0,,,,1~10
51,,5,2,27,5,2,6,0,0,0,0,27,27,27,0,0,0,0,603101,12,10017,27,5,2,6,0,0,0,0,27,27,27,0,0,5,0,0,,,,1~10
52,,6,2,27,5,2,6,0,0,0,0,27,27,27,0,0,0,0,603001,22,10016,27,5,2,6,0,0,0,0,27,27,27,0,0,10,1,0,,01:1;02:1;03:1;04:1;05:1,,1~10
53,,7,2,28,6,2,1,0,0,0,0,28,28,28,0,0,0,0,603101,23,10016,28,6,2,1,0,0,0,0,28,28,28,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
54,,8,2,28,6,2,1,0,0,0,0,28,28,28,0,0,0,0,603701,23,10016,28,6,2,1,0,0,0,0,28,28,28,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
55,,9,2,29,6,2,2,0,0,0,0,29,29,29,0,0,0,0,603701,24,10016,29,6,2,2,0,0,0,0,29,29,29,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
56,,10,2,29,6,2,2,0,0,0,0,29,29,29,0,0,0,0,603701,24,10016,29,6,2,2,0,0,0,0,29,29,29,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
57,,11,2,30,6,2,3,0,0,0,0,30,30,30,0,0,0,0,603701,24,10015,30,6,2,3,0,0,0,0,30,30,30,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
58,,12,2,31,6,2,4,0,0,0,0,31,31,31,0,0,"900006,900007,900004",0,603401,25,10015,31,6,2,4,0,0,0,0,31,31,31,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
59,,13,2,32,6,2,6,0,0,0,0,32,32,32,0,0,"900003,900010,900004",0,603501,26,10015,32,6,2,6,0,0,0,0,32,32,32,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
60,,14,2,33,7,2,1,0,0,0,0,33,33,33,0,0,"900005,900001,900004",0,603401,27,10015,33,7,2,1,0,0,0,0,33,33,33,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
61,,15,2,34,7,2,2,0,0,0,0,34,34,34,0,0,"900002,900008,900004",0,603501,28,10015,34,7,2,2,0,0,0,0,34,34,34,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
62,,1,2,28,6,2,1,0,0,0,0,28,28,28,0,0,0,0,603101,13,10017,28,6,2,1,0,0,0,0,28,28,28,0,0,5,0,0,"25,0,0",,,1~10
63,,2,2,28,6,2,1,0,0,0,0,28,28,28,0,0,0,0,603001,13,10017,28,6,2,1,0,0,0,0,28,28,28,0,0,5,0,0,"25,0,0",,,1~10
64,,3,2,29,6,2,2,0,0,0,0,29,29,29,0,0,0,0,603101,14,10017,29,6,2,2,0,0,0,0,29,29,29,0,0,5,0,0,"25,0,0",,,1~10
65,,4,2,29,6,2,2,0,0,0,0,29,29,29,0,0,0,0,603001,14,10017,29,6,2,2,0,0,0,0,29,29,29,0,0,5,0,0,"25,0,0",,,1~10
66,,5,2,30,6,2,3,0,0,0,0,30,30,30,0,0,0,0,603101,14,10017,30,6,2,3,0,0,0,0,30,30,30,0,0,5,0,0,"25,0,0",,,1~10
67,,6,2,30,6,2,3,0,0,0,0,30,30,30,0,0,0,0,603001,24,10016,30,6,2,3,0,0,0,0,30,30,30,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
68,,7,2,31,6,2,4,0,0,0,0,31,31,31,0,0,0,0,603101,25,10016,31,6,2,4,0,0,0,0,31,31,31,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
69,,8,2,31,6,2,4,0,0,0,0,31,31,31,0,0,0,0,603701,25,10016,31,6,2,4,0,0,0,0,31,31,31,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
70,,9,2,32,6,2,6,0,0,0,0,32,32,32,0,0,0,0,603701,26,10016,32,6,2,6,0,0,0,0,32,32,32,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
71,,10,2,32,6,2,6,0,0,0,0,32,32,32,0,0,0,0,603701,26,10016,32,6,2,6,0,0,0,0,32,32,32,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
72,,11,2,33,7,2,1,0,0,0,0,33,33,33,0,0,0,0,603701,27,10015,33,7,2,1,0,0,0,0,33,33,33,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
73,,12,2,34,7,2,2,0,0,0,0,34,34,34,0,0,"900006,900007,900004",0,603401,28,10015,34,7,2,2,0,0,0,0,34,34,34,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
74,,13,2,35,7,2,3,0,0,"800004,800014,800024,800034,800074",4,35,35,35,0,0,"900003,900010,900004",0,603511,28,10015,35,7,2,3,0,0,"800004,800014,800024,800034,800074",4,35,35,35,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
75,,14,2,36,7,2,4,0,0,"800004,800014,800024,800034,800074",4,36,36,36,0,0,"900005,900001,900004",0,603411,29,10015,36,7,2,4,0,0,"800004,800014,800024,800034,800074",4,36,36,36,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
76,,15,2,37,7,2,5,0,0,"800004,800014,800024,800034,800074",4,37,37,37,0,0,"900002,900008,900004",0,603511,30,10015,37,7,2,5,0,0,"800004,800014,800024,800034,800074",4,37,37,37,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
77,,1,2,31,6,2,4,0,0,0,0,31,31,31,0,0,0,0,603101,15,10017,31,6,2,4,0,0,0,0,31,31,31,0,0,5,0,0,"25,0,0",,,1~10
78,,2,2,31,6,2,4,0,0,0,0,31,31,31,0,0,0,0,603001,15,10017,31,6,2,4,0,0,0,0,31,31,31,0,0,5,0,0,"25,0,0",,,1~10
79,,3,2,32,6,2,6,0,0,0,0,32,32,32,0,0,0,0,603101,16,10017,32,6,2,6,0,0,0,0,32,32,32,0,0,5,0,0,"25,0,0",,,1~10
80,,4,2,32,6,2,6,0,0,0,0,32,32,32,0,0,0,0,603001,16,10017,32,6,2,6,0,0,0,0,32,32,32,0,0,5,0,0,"25,0,0",,,1~10
81,,5,2,33,7,2,1,0,0,0,0,33,33,33,0,0,0,0,603101,17,10017,33,7,2,1,0,0,0,0,33,33,33,0,0,5,0,0,"25,0,0",,,1~10
82,,6,2,33,7,2,1,0,0,0,0,33,33,33,0,0,0,0,603001,27,10016,33,7,2,1,0,0,0,0,33,33,33,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
83,,7,2,34,7,2,2,0,0,0,0,34,34,34,0,0,0,0,603101,28,10016,34,7,2,2,0,0,0,0,34,34,34,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
84,,8,2,34,7,2,2,0,0,0,0,34,34,34,0,0,0,0,603701,28,10016,34,7,2,2,0,0,0,0,34,34,34,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
85,,9,2,35,7,2,3,0,0,"800004,800014,800024,800034,800074",4,35,35,35,0,0,0,0,603601,28,10016,35,7,2,3,0,0,"800004,800014,800024,800034,800074",4,35,35,35,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
86,,10,2,35,7,2,3,0,0,"800004,800014,800024,800034,800074",4,35,35,35,0,0,0,0,603601,28,10016,35,7,2,3,0,0,"800004,800014,800024,800034,800074",4,35,35,35,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
87,,11,2,36,7,2,4,0,0,"800004,800014,800024,800034,800074",4,36,36,36,0,0,0,0,603601,29,10015,36,7,2,4,0,0,"800004,800014,800024,800034,800074",4,36,36,36,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
88,,12,2,37,7,2,5,0,0,"800004,800014,800024,800034,800074",4,37,37,37,0,0,"900006,900007,900004",0,603411,30,10015,37,7,2,5,0,0,"800004,800014,800024,800034,800074",4,37,37,37,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
89,,13,2,38,7,2,6,0,0,"800005,800015,800025,800035,800075",5,38,38,38,0,0,"900003,900010,900004",0,603511,31,10015,38,7,2,6,0,0,"800005,800015,800025,800035,800075",5,38,38,38,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
90,,14,2,39,8,2,1,0,0,"800004,800014,800024,800034,800074",4,39,39,39,0,0,"900005,900001,900004",0,603411,32,10015,39,8,2,1,0,0,"800004,800014,800024,800034,800074",4,39,39,39,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
91,,15,2,40,8,2,3,0,0,"800005,800015,800025,800035,800075",5,40,40,40,0,0,"900002,900008,900004",0,603511,32,10015,40,8,2,3,0,0,"800005,800015,800025,800035,800075",5,40,40,40,0,0,15,1,0,"25,13,0",01:1;02:1;03:1;04:1;05:1,,11~15
92,,1,2,34,7,2,2,0,0,0,0,34,34,34,0,0,0,0,603101,18,10017,34,7,2,2,0,0,0,0,34,34,34,0,0,5,0,0,"25,0,0",,,1~10
93,,2,2,34,7,2,2,0,0,0,0,34,34,34,0,0,0,0,603001,18,10017,34,7,2,2,0,0,0,0,34,34,34,0,0,5,0,0,"25,0,0",,,1~10
94,,3,2,35,7,2,3,0,0,"800004,800014,800024,800034,800074",4,35,35,35,0,0,0,0,603111,18,10017,35,7,2,3,0,0,"800004,800014,800024,800034,800074",4,35,35,35,0,0,5,0,0,"25,0,0",,,1~10
95,,4,2,35,7,2,3,0,0,"800004,800014,800024,800034,800074",4,35,35,35,0,0,0,0,603011,18,10017,35,7,2,3,0,0,"800004,800014,800024,800034,800074",4,35,35,35,0,0,5,0,0,"25,0,0",,,1~10
96,,5,2,36,7,2,4,0,0,"800004,800014,800024,800034,800074",4,36,36,36,0,0,0,0,603111,19,10017,36,7,2,4,0,0,"800004,800014,800024,800034,800074",4,36,36,36,0,0,5,0,0,"25,0,0",,,1~10
97,,6,2,36,7,2,4,0,0,"800004,800014,800024,800034,800074",4,36,36,36,0,0,0,0,603011,29,10016,36,7,2,4,0,0,"800004,800014,800024,800034,800074",4,36,36,36,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
98,,7,2,37,7,2,5,0,0,"800004,800014,800024,800034,800074",4,37,37,37,0,0,0,0,603111,30,10016,37,7,2,5,0,0,"800004,800014,800024,800034,800074",4,37,37,37,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
99,,8,2,37,7,2,5,0,0,"800004,800014,800024,800034,800074",4,37,37,37,0,0,0,0,603601,30,10016,37,7,2,5,0,0,"800004,800014,800024,800034,800074",4,37,37,37,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
100,,9,2,38,7,2,6,0,0,"800005,800015,800025,800035,800075",5,38,38,38,0,0,0,0,603601,31,10016,38,7,2,6,0,0,"800005,800015,800025,800035,800075",5,38,38,38,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
101,,10,2,38,7,2,6,0,0,"800005,800015,800025,800035,800075",5,38,38,38,0,0,0,0,603601,31,10016,38,7,2,6,0,0,"800005,800015,800025,800035,800075",5,38,38,38,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
102,,11,2,39,8,2,1,0,0,"800004,800014,800024,800034,800074",4,39,39,39,0,0,0,0,603601,32,10015,39,8,2,1,0,0,"800004,800014,800024,800034,800074",4,39,39,39,0,0,15,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,11~15
103,,12,2,40,8,2,3,0,0,"800005,800015,800025,800035,800075",5,40,40,40,0,0,"900006,900007,900004",0,603411,32,10015,40,8,2,3,0,0,"800005,800015,800025,800035,800075",5,40,40,40,0,0,15,1,0,"25,13,0",01:1;02:1;03:1;04:1;05:1,,11~15
104,,13,2,41,8,2,4,0,0,"800005,800015,800025,800035,800075",5,41,41,41,0,0,"900003,900010,900004",0,603511,33,10015,41,8,2,4,0,0,"800005,800015,800025,800035,800075",5,41,41,41,0,0,17,1,0,"26,17,0",01:1;02:1;03:1;04:1;05:1,,11~15
105,,14,2,42,8,2,6,0,0,"800005,800015,800025,800035,800075",5,42,42,42,0,0,"900005,900001,900004",0,603411,34,10015,42,8,2,6,0,0,"800005,800015,800025,800035,800075",5,42,42,42,0,0,19,1,0,"27,17,0",01:1;02:1;03:1;04:1;05:1,91,11~15
106,,15,2,43,9,2,2,0,0,"800006,800016,800026,800036,800076",6,43,43,43,43,0,"900002,900008,900004",0,603511,35,10015,43,9,2,2,0,0,"800006,800016,800026,800036,800076",6,43,43,43,43,0,20,2,0,"28,17,0",01:1;02:1;03:1;04:1;05:1,92,11~15
107,,1,2,37,7,2,5,0,0,"800004,800014,800024,800034,800074",4,37,37,37,0,0,0,0,603111,20,10017,37,7,2,5,0,0,"800004,800014,800024,800034,800074",4,37,37,37,0,0,5,0,0,"25,0,0",,,1~10
108,,2,2,37,7,2,5,0,0,"800004,800014,800024,800034,800074",4,37,37,37,0,0,0,0,603011,20,10017,37,7,2,5,0,0,"800004,800014,800024,800034,800074",4,37,37,37,0,0,5,0,0,"25,0,0",,,1~10
109,,3,2,38,7,2,6,0,0,"800005,800015,800025,800035,800075",5,38,38,38,0,0,0,0,603111,21,10017,38,7,2,6,0,0,"800005,800015,800025,800035,800075",5,38,38,38,0,0,5,0,0,"25,0,0",,,1~10
110,,4,2,38,7,2,6,0,0,"800005,800015,800025,800035,800075",5,38,38,38,0,0,0,0,603011,21,10017,38,7,2,6,0,0,"800005,800015,800025,800035,800075",5,38,38,38,0,0,5,0,0,"25,0,0",,,1~10
111,,5,2,39,8,2,1,0,0,"800004,800014,800024,800034,800074",4,39,39,39,0,0,0,0,603111,22,10017,39,8,2,1,0,0,"800004,800014,800024,800034,800074",4,39,39,39,0,0,5,0,0,"25,0,0",,,1~10
112,,6,2,39,8,2,1,0,0,"800004,800014,800024,800034,800074",4,39,39,39,0,0,0,0,603011,32,10016,39,8,2,1,0,0,"800004,800014,800024,800034,800074",4,39,39,39,0,0,10,1,0,"25,0,0",01:1;02:1;03:1;04:1;05:1,,1~10
113,,7,2,40,8,2,3,0,0,"800005,800015,800025,800035,800075",5,40,40,40,0,0,0,0,603111,32,10016,40,8,2,3,0,0,"800005,800015,800025,800035,800075",5,40,40,40,0,0,10,1,0,"25,13,0",01:1;02:1;03:1;04:1;05:1,,1~10
114,,8,2,40,8,2,3,0,0,"800005,800015,800025,800035,800075",5,40,40,40,0,0,0,0,603601,32,10016,40,8,2,3,0,0,"800005,800015,800025,800035,800075",5,40,40,40,0,0,10,1,0,"25,13,0",01:1;02:1;03:1;04:1;05:1,,1~10
115,,9,2,41,8,2,4,0,0,"800005,800015,800025,800035,800075",5,41,41,41,0,0,0,0,603601,33,10016,41,8,2,4,0,0,"800005,800015,800025,800035,800075",5,41,41,41,0,0,12,1,0,"26,17,0",01:1;02:1;03:1;04:1;05:1,,1~10
116,,10,2,41,8,2,4,0,0,"800005,800015,800025,800035,800075",5,41,41,41,0,0,0,0,603601,33,10016,41,8,2,4,0,0,"800005,800015,800025,800035,800075",5,41,41,41,0,0,12,1,0,"26,17,0",01:1;02:1;03:1;04:1;05:1,,1~10
117,,11,2,42,8,2,6,0,0,"800005,800015,800025,800035,800075",5,42,42,42,0,0,0,0,603601,34,10015,42,8,2,6,0,0,"800005,800015,800025,800035,800075",5,42,42,42,0,0,19,1,0,"27,17,0",01:1;02:1;03:1;04:1;05:1,91,11~15
118,,12,2,43,9,2,2,0,0,"800006,800016,800026,800036,800076",6,43,43,43,43,0,"900006,900007,900004",0,603411,35,10015,43,9,2,2,0,0,"800006,800016,800026,800036,800076",6,43,43,43,43,0,20,2,0,"28,17,0",01:1;02:1;03:1;04:1;05:1,92,11~15
119,,13,2,44,9,2,4,0,0,"800006,800016,800026,800036,800076",6,44,44,44,44,0,"900003,900010,900004",0,603511,36,10015,44,9,2,4,0,0,"800006,800016,800026,800036,800076",6,44,44,44,44,0,24,2,0,"31,17,0",01:1;02:1;03:1;04:1;05:1,93,11~15
120,,14,2,45,9,2,6,0,0,"800006,800016,800026,800036,800076",6,45,45,45,45,0,"900005,900001,900004",0,603411,36,10015,45,9,2,6,0,0,"800006,800016,800026,800036,800076",6,45,45,45,45,0,28,2,0,"33,17,0",01:1;02:1;03:1;04:1;05:1,94,11~15
121,,15,2,46,10,2,3,0,0,"800006,800016,800026,800036,800076",6,46,46,46,46,0,"900002,900008,900004",0,603511,37,10015,46,10,2,3,0,0,"800006,800016,800026,800036,800076",6,46,46,46,46,0,28,2,0,"33,20,0",01:2;02:2;03:2;04:2;05:2,95,11~15
122,,1,2,40,8,2,3,0,0,"800005,800015,800025,800035,800075",5,40,40,40,0,0,0,0,603111,22,10017,40,8,2,3,0,0,"800005,800015,800025,800035,800075",5,40,40,40,0,0,5,0,0,"25,13,0",,,1~10
123,,2,2,40,8,2,3,0,0,"800005,800015,800025,800035,800075",5,40,40,40,0,0,0,0,603011,22,10017,40,8,2,3,0,0,"800005,800015,800025,800035,800075",5,40,40,40,0,0,5,0,0,"25,13,0",,,1~10
