key,remarks,firstHeroId,secondHeroId,thirdHeroId,fourthHeroId,fifthHeroId,r1,r2,r3,r4,r5
10002_21,,200001,202004,202001,204004,,金吒,雷震子,姜子牙,李靖,
10002_22,,201012,200003,200011,202004,,陈奇,韦护,郑伦,雷震子,
10002_23,,200011,202004,202001,204001,,郑伦,雷震子,姜子牙,龙吉公主,
10002_24,,200011,202004,202001,204004,,郑伦,雷震子,姜子牙,李靖,
10003_1,,201001,202004,202002,202001,,杨戬,雷震子,哪吒,姜子牙,
10003_2,,200009,202004,202001,204001,,黄龙真人,雷震子,姜子牙,龙吉公主,
10003_3,,201012,200011,203004,202001,,陈奇,郑伦,妲己,姜子牙,
10003_4,,200009,200012,202001,204001,,黄龙真人,闻仲,姜子牙,龙吉公主,
10003_5,,204006,201005,203003,200004,,魔礼红,魔礼青,魔礼寿,魔礼海,
10003_6,,204006,200011,202001,200004,,魔礼红,郑伦,姜子牙,魔礼海,
10003_7,,201005,200003,202001,204001,,魔礼青,韦护,姜子牙,龙吉公主,
10003_8,,201005,200004,204004,204001,,魔礼青,魔礼海,李靖,龙吉公主,
10003_9,,201005,202004,203003,202001,,魔礼青,雷震子,魔礼寿,姜子牙,
10003_10,,202001,204001,204004,200004,,姜子牙,龙吉公主,李靖,魔礼海,
10003_11,,200011,200003,202001,200004,,郑伦,韦护,姜子牙,魔礼海,
10003_12,,200011,203003,202001,200004,,郑伦,魔礼寿,姜子牙,魔礼海,
10003_13,,201005,202001,204001,204004,,魔礼青,姜子牙,龙吉公主,李靖,
10003_14,,200011,204006,200003,204001,,郑伦,魔礼红,韦护,龙吉公主,
10003_15,,204006,204004,202001,200004,,魔礼红,李靖,姜子牙,魔礼海,
10003_16,,200011,200001,202001,200004,,郑伦,金吒,姜子牙,魔礼海,
10003_17,,201005,200011,202001,202004,,魔礼青,郑伦,姜子牙,雷震子,
10010_1,,200003,202001,204001,,,韦护,姜子牙,龙吉公主,,
10011_1,,200003,202001,204001,,,韦护,姜子牙,龙吉公主,,
10011_2,,201012,200003,202001,204001,,陈奇,韦护,姜子牙,龙吉公主,
10011_3,,200011,200003,202001,204001,,郑伦,韦护,姜子牙,龙吉公主,
10012_1,,201012,200003,202001,204001,,陈奇,韦护,姜子牙,龙吉公主,
10012_2,,200011,200003,202001,204001,,郑伦,韦护,姜子牙,龙吉公主,
10012_3,,201005,200003,202001,204001,,魔礼青,韦护,姜子牙,龙吉公主,
10012_4,,204006,200003,202001,204001,,魔礼红,韦护,姜子牙,龙吉公主,
10012_5,,200004,200003,202001,204001,,魔礼海,韦护,姜子牙,龙吉公主,
10012_6,,203003,200003,202001,204001,,魔礼寿,韦护,姜子牙,龙吉公主,
10013_1,,201012,200003,202001,204001,,陈奇,韦护,姜子牙,龙吉公主,
10013_2,,200011,200003,202001,204001,,郑伦,韦护,姜子牙,龙吉公主,
10013_3,,201005,200003,202001,204001,,魔礼青,韦护,姜子牙,龙吉公主,
10013_4,,204006,200003,202001,204001,,魔礼红,韦护,姜子牙,龙吉公主,
10013_5,,200004,200003,202001,204001,,魔礼海,韦护,姜子牙,龙吉公主,
10013_6,,203003,200003,202001,204001,,魔礼寿,韦护,姜子牙,龙吉公主,
10013_7,,200001,200003,202001,204001,,金吒,韦护,姜子牙,龙吉公主,
10013_8,,201004,200003,202001,204001,,木吒,韦护,姜子牙,龙吉公主,
10013_9,,204004,200003,202001,204001,,李靖,韦护,姜子牙,龙吉公主,
10014_1,,201012,200003,202001,204001,,陈奇,韦护,姜子牙,龙吉公主,
10014_2,,200011,200003,202001,204001,,郑伦,韦护,姜子牙,龙吉公主,
10014_3,,201005,200003,202001,204001,,魔礼青,韦护,姜子牙,龙吉公主,
10014_4,,204006,200003,202001,204001,,魔礼红,韦护,姜子牙,龙吉公主,
10014_5,,200004,200003,202001,204001,,魔礼海,韦护,姜子牙,龙吉公主,
10014_6,,203003,200003,202001,204001,,魔礼寿,韦护,姜子牙,龙吉公主,
10014_7,,200001,200003,202001,204001,,金吒,韦护,姜子牙,龙吉公主,
10014_8,,201004,200003,202001,204001,,木吒,韦护,姜子牙,龙吉公主,
10014_9,,204004,200003,202001,204001,,李靖,韦护,姜子牙,龙吉公主,
10014_10,,202004,200003,202001,204001,,雷震子,韦护,姜子牙,龙吉公主,
10014_11,,201001,200003,202001,204001,,杨戬,韦护,姜子牙,龙吉公主,
10014_12,,200009,200003,202001,204001,,黄龙真人,韦护,姜子牙,龙吉公主,
10014_13,,203004,200003,202001,204001,,妲己,韦护,姜子牙,龙吉公主,
10014_14,,202002,200003,202001,204001,,哪吒,韦护,姜子牙,龙吉公主,
10004_1,,200011,201001,202004,204001,204004,郑伦,杨戬,雷震子,龙吉公主,李靖
10004_2,,201012,201005,200001,204001,204004,陈奇,魔礼青,金吒,龙吉公主,李靖
10004_3,,200003,201004,202001,204001,204004,韦护,木吒,姜子牙,龙吉公主,李靖
10004_4,,200002,201007,203010,204001,204004,杨森,董天君,广成子,龙吉公主,李靖
10004_5,,204006,201001,202002,204001,204004,魔礼红,杨戬,哪吒,龙吉公主,李靖
10004_6,,201001,201005,203004,204004,203003,杨戬,魔礼青,妲己,李靖,魔礼寿
10004_7,,200006,201004,202004,204004,203003,赵天君,木吒,雷震子,李靖,魔礼寿
10004_8,,204003,201007,200001,204004,203003,武吉,董天君,金吒,李靖,魔礼寿
10004_9,,200011,201001,202001,204004,203003,郑伦,杨戬,姜子牙,李靖,魔礼寿
10004_10,,201012,201005,203010,204004,203003,陈奇,魔礼青,广成子,李靖,魔礼寿
10004_11,,200003,201004,202002,203003,204002,韦护,木吒,哪吒,魔礼寿,喜媚儿
10004_12,,200002,201007,203004,203003,204002,杨森,董天君,妲己,魔礼寿,喜媚儿
10004_13,,204006,201001,202004,203003,204002,魔礼红,杨戬,雷震子,魔礼寿,喜媚儿
10004_14,,201001,201005,200001,203003,204002,杨戬,魔礼青,金吒,魔礼寿,喜媚儿
10004_15,,200006,201004,202001,203003,204002,赵天君,木吒,姜子牙,魔礼寿,喜媚儿
10004_16,,204003,201007,203010,204002,203002,武吉,董天君,广成子,喜媚儿,李兴霸
10004_17,,200011,201001,202002,204002,203002,郑伦,杨戬,哪吒,喜媚儿,李兴霸
10004_18,,201012,201005,203004,204002,203002,陈奇,魔礼青,妲己,喜媚儿,李兴霸
10004_19,,200003,201004,202004,204002,203002,韦护,木吒,雷震子,喜媚儿,李兴霸
10004_20,,200002,201007,200001,204002,203002,杨森,董天君,金吒,喜媚儿,李兴霸
10004_21,,204006,201001,202001,203002,204001,魔礼红,杨戬,姜子牙,李兴霸,龙吉公主
10004_22,,201001,201005,203010,203002,204001,杨戬,魔礼青,广成子,李兴霸,龙吉公主
10004_23,,200006,201004,202002,203002,204001,赵天君,木吒,哪吒,李兴霸,龙吉公主
10004_24,,204003,201007,203004,203002,204001,武吉,董天君,妲己,李兴霸,龙吉公主
10004_25,,200011,202002,202001,203002,204001,郑伦,哪吒,姜子牙,李兴霸,龙吉公主
10005_1,,200010,200012,203004,200004,204005,道行天尊,闻仲,妲己,魔礼海,高友乾
10005_2,,200009,203013,202004,200004,204005,黄龙真人,申公豹,雷震子,魔礼海,高友乾
10005_3,,202006,202002,203004,204008,204005,燃灯道人,哪吒,妲己,张天君,高友乾
10005_4,,200010,203004,203013,204008,200004,道行天尊,妲己,申公豹,张天君,魔礼海
10005_5,,200009,200012,203004,204005,200004,黄龙真人,闻仲,妲己,高友乾,魔礼海
10005_6,,202006,200012,202002,204005,200004,燃灯道人,闻仲,哪吒,高友乾,魔礼海
10006_1,,200011,201001,202004,204001,,郑伦,杨戬,雷震子,龙吉公主,
10006_2,,201012,201005,200001,204001,,陈奇,魔礼青,金吒,龙吉公主,
10006_3,,200003,201004,202001,204001,,韦护,木吒,姜子牙,龙吉公主,
10006_4,,200002,201007,203010,204001,,杨森,董天君,广成子,龙吉公主,
10006_5,,204006,201001,202002,204001,,魔礼红,杨戬,哪吒,龙吉公主,
10006_6,,201001,201005,203004,204004,,杨戬,魔礼青,妲己,李靖,
10006_7,,200006,201004,202004,204004,,赵天君,木吒,雷震子,李靖,
10006_8,,204003,201007,200001,204004,,武吉,董天君,金吒,李靖,
10006_9,,200011,201001,202001,204004,,郑伦,杨戬,姜子牙,李靖,
10006_10,,201012,201005,203010,204004,,陈奇,魔礼青,广成子,李靖,
10006_11,,200003,201004,202002,203003,,韦护,木吒,哪吒,魔礼寿,
10006_12,,200002,201007,203004,203003,,杨森,董天君,妲己,魔礼寿,
10006_13,,204006,201001,202004,203003,,魔礼红,杨戬,雷震子,魔礼寿,
10006_14,,201001,201005,200001,203003,,杨戬,魔礼青,金吒,魔礼寿,
10006_15,,200006,201004,202001,203003,,赵天君,木吒,姜子牙,魔礼寿,
10006_16,,204003,201007,203010,204002,,武吉,董天君,广成子,喜媚儿,
10006_17,,200011,201001,202002,204002,,郑伦,杨戬,哪吒,喜媚儿,
10006_18,,201012,201005,203004,204002,,陈奇,魔礼青,妲己,喜媚儿,
10006_19,,200003,201004,202004,204002,,韦护,木吒,雷震子,喜媚儿,
10006_20,,200002,201007,200001,204002,,杨森,董天君,金吒,喜媚儿,
10006_21,,204006,201001,202001,203002,,魔礼红,杨戬,姜子牙,李兴霸,
10006_22,,201001,201005,203010,203002,,杨戬,魔礼青,广成子,李兴霸,
10006_23,,200006,201004,202002,203002,,赵天君,木吒,哪吒,李兴霸,
10006_24,,204003,201007,203004,203002,,武吉,董天君,妲己,李兴霸,
10006_25,,200011,202002,202001,203002,,郑伦,哪吒,姜子牙,李兴霸,
10007_1,,200010,200012,203004,200004,,道行天尊,闻仲,妲己,魔礼海,
10007_2,,200009,203013,202004,200004,,黄龙真人,申公豹,雷震子,魔礼海,
10007_3,,202006,202002,203004,204008,,燃灯道人,哪吒,妲己,张天君,
10007_4,,200010,203004,203013,204008,,道行天尊,妲己,申公豹,张天君,
10007_5,,200009,200012,203004,204005,,黄龙真人,闻仲,妲己,高友乾,
10007_6,,202006,200012,202002,204005,,燃灯道人,闻仲,哪吒,高友乾,
