key,Remarks,id,CareerType,attrData,precentAttrData,attrDesc,attrName1,attrValue1,attrValueType1,attrName2,attrValue2,attrValueType2,attrName3,attrValue3,attrValueType3,attrName4,attrValue4,attrValueType4,attrName5,attrValue5,attrValueType5
900003_3,,900003,Magican,生命_616;物理攻击_115;物理防御_25;法术攻击_144;法术防御_32,物理防御_100;法术防御_100,生命+616;物理攻击+115;物理防御+25;法术攻击+144;法术防御+32;物理防御+1%;法术防御+1%,life,100,Percentage,dodge,100,Percentage,hit,100,Percentage,,,Percentage,,,Percentage
900003_4,,900003,Priest,生命_512;物理攻击_103;物理防御_29;法术攻击_141;法术防御_36,物理防御_100;法术防御_100,生命+512;物理攻击+103;物理防御+29;法术攻击+141;法术防御+36;物理防御+1%;法术防御+1%,life,100,Percentage,dodge,100,Percentage,hit,100,Percentage,,,Percentage,,,Percentage
900004_1,,900004,Warrior,生命_1728;物理攻击_135;物理防御_72;法术攻击_115;法术防御_57,物理攻击_100;法术攻击_100,生命+1728;物理攻击+135;物理防御+72;法术攻击+115;法术防御+57;物理攻击+1%;法术攻击+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900004_2,,900004,SwordsMan,生命_960;物理攻击_180;物理防御_60;法术攻击_144;法术防御_48,物理攻击_100;法术攻击_100,生命+960;物理攻击+180;物理防御+60;法术攻击+144;法术防御+48;物理攻击+1%;法术攻击+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900004_3,,900004,Magican,生命_924;物理攻击_172;物理防御_38;法术攻击_216;法术防御_48,物理攻击_100;法术攻击_100,生命+924;物理攻击+172;物理防御+38;法术攻击+216;法术防御+48;物理攻击+1%;法术攻击+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900004_4,,900004,Priest,生命_768;物理攻击_155;物理防御_44;法术攻击_211;法术防御_55,物理攻击_100;法术攻击_100,生命+768;物理攻击+155;物理防御+44;法术攻击+211;法术防御+55;物理攻击+1%;法术攻击+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900005_1,,900005,Warrior,生命_1440;物理攻击_112;物理防御_60;法术攻击_96;法术防御_48,物理防御_100;法术防御_100,生命+1440;物理攻击+112;物理防御+60;法术攻击+96;法术防御+48;物理防御+1%;法术防御+1%,lifeReceive,100,Percentage,energyReceive,100,Percentage,hit,100,Percentage,,,Percentage,,,Percentage
900005_2,,900005,SwordsMan,生命_800;物理攻击_150;物理防御_50;法术攻击_120;法术防御_40,物理防御_100;法术防御_100,生命+800;物理攻击+150;物理防御+50;法术攻击+120;法术防御+40;物理防御+1%;法术防御+1%,lifeReceive,100,Percentage,energyReceive,100,Percentage,hit,100,Percentage,,,Percentage,,,Percentage
900005_3,,900005,Magican,生命_770;物理攻击_144;物理防御_32;法术攻击_180;法术防御_40,物理防御_100;法术防御_100,生命+770;物理攻击+144;物理防御+32;法术攻击+180;法术防御+40;物理防御+1%;法术防御+1%,lifeReceive,100,Percentage,energyReceive,100,Percentage,hit,100,Percentage,,,Percentage,,,Percentage
900005_4,,900005,Priest,生命_640;物理攻击_129;物理防御_36;法术攻击_176;法术防御_46,物理防御_100;法术防御_100,生命+640;物理攻击+129;物理防御+36;法术攻击+176;法术防御+46;物理防御+1%;法术防御+1%,lifeReceive,100,Percentage,energyReceive,100,Percentage,hit,100,Percentage,,,Percentage,,,Percentage
900006_1,,900006,Warrior,生命_1728;物理攻击_135;物理防御_72;法术攻击_115;法术防御_57,物理防御_100;法术防御_100,生命+1728;物理攻击+135;物理防御+72;法术攻击+115;法术防御+57;物理防御+1%;法术防御+1%,critical,100,Percentage,criticalHurt,100,Percentage,energyReceive,100,Percentage,,,Percentage,,,Percentage
900006_2,,900006,SwordsMan,生命_960;物理攻击_180;物理防御_60;法术攻击_144;法术防御_48,物理防御_100;法术防御_100,生命+960;物理攻击+180;物理防御+60;法术攻击+144;法术防御+48;物理防御+1%;法术防御+1%,critical,100,Percentage,criticalHurt,100,Percentage,energyReceive,100,Percentage,,,Percentage,,,Percentage
900006_3,,900006,Magican,生命_924;物理攻击_172;物理防御_38;法术攻击_216;法术防御_48,物理防御_100;法术防御_100,生命+924;物理攻击+172;物理防御+38;法术攻击+216;法术防御+48;物理防御+1%;法术防御+1%,critical,100,Percentage,criticalHurt,100,Percentage,energyReceive,100,Percentage,,,Percentage,,,Percentage
900006_4,,900006,Priest,生命_768;物理攻击_155;物理防御_44;法术攻击_211;法术防御_55,物理防御_100;法术防御_100,生命+768;物理攻击+155;物理防御+44;法术攻击+211;法术防御+55;物理防御+1%;法术防御+1%,critical,100,Percentage,criticalHurt,100,Percentage,energyReceive,100,Percentage,,,Percentage,,,Percentage
900007_1,,900007,Warrior,生命_1440;物理攻击_112;物理防御_60;法术攻击_96;法术防御_48,生命_100,生命+1440;物理攻击+112;物理防御+60;法术攻击+96;法术防御+48;生命+1%,attack,100,Percentage,dodge,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900007_2,,900007,SwordsMan,生命_800;物理攻击_150;物理防御_50;法术攻击_120;法术防御_40,生命_100,生命+800;物理攻击+150;物理防御+50;法术攻击+120;法术防御+40;生命+1%,attack,100,Percentage,dodge,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900007_3,,900007,Magican,生命_770;物理攻击_144;物理防御_32;法术攻击_180;法术防御_40,生命_100,生命+770;物理攻击+144;物理防御+32;法术攻击+180;法术防御+40;生命+1%,attack,100,Percentage,dodge,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900007_4,,900007,Priest,生命_640;物理攻击_129;物理防御_36;法术攻击_176;法术防御_46,生命_100,生命+640;物理攻击+129;物理防御+36;法术攻击+176;法术防御+46;生命+1%,attack,100,Percentage,dodge,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900008_1,,900008,Warrior,生命_1728;物理攻击_135;物理防御_72;法术攻击_115;法术防御_57,生命_100,生命+1728;物理攻击+135;物理防御+72;法术攻击+115;法术防御+57;生命+1%,lifeReceive,100,Percentage,hit,100,Percentage,critical,100,Percentage,,,Percentage,,,Percentage
900008_2,,900008,SwordsMan,生命_960;物理攻击_180;物理防御_60;法术攻击_144;法术防御_48,生命_100,生命+960;物理攻击+180;物理防御+60;法术攻击+144;法术防御+48;生命+1%,lifeReceive,100,Percentage,hit,100,Percentage,critical,100,Percentage,,,Percentage,,,Percentage
900008_3,,900008,Magican,生命_924;物理攻击_172;物理防御_38;法术攻击_216;法术防御_48,生命_100,生命+924;物理攻击+172;物理防御+38;法术攻击+216;法术防御+48;生命+1%,lifeReceive,100,Percentage,hit,100,Percentage,critical,100,Percentage,,,Percentage,,,Percentage
900008_4,,900008,Priest,生命_768;物理攻击_155;物理防御_44;法术攻击_211;法术防御_55,生命_100,生命+768;物理攻击+155;物理防御+44;法术攻击+211;法术防御+55;生命+1%,lifeReceive,100,Percentage,hit,100,Percentage,critical,100,Percentage,,,Percentage,,,Percentage
900009_1,,900009,Warrior,生命_1728;物理攻击_135;物理防御_72;法术攻击_115;法术防御_57,物理攻击_100;法术攻击_100,生命+1728;物理攻击+135;物理防御+72;法术攻击+115;法术防御+57;物理攻击+1%;法术攻击+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900009_2,,900009,SwordsMan,生命_960;物理攻击_180;物理防御_60;法术攻击_144;法术防御_48,物理攻击_100;法术攻击_100,生命+960;物理攻击+180;物理防御+60;法术攻击+144;法术防御+48;物理攻击+1%;法术攻击+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900009_3,,900009,Magican,生命_924;物理攻击_172;物理防御_38;法术攻击_216;法术防御_48,物理攻击_100;法术攻击_100,生命+924;物理攻击+172;物理防御+38;法术攻击+216;法术防御+48;物理攻击+1%;法术攻击+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900009_4,,900009,Priest,生命_768;物理攻击_155;物理防御_44;法术攻击_211;法术防御_55,物理攻击_100;法术攻击_100,生命+768;物理攻击+155;物理防御+44;法术攻击+211;法术防御+55;物理攻击+1%;法术攻击+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900010_1,,900010,Warrior,生命_1152;物理攻击_90;物理防御_48;法术攻击_76;法术防御_38,生命_100,生命+1152;物理攻击+90;物理防御+48;法术攻击+76;法术防御+38;生命+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900010_2,,900010,SwordsMan,生命_640;物理攻击_120;物理防御_40;法术攻击_96;法术防御_32,生命_100,生命+640;物理攻击+120;物理防御+40;法术攻击+96;法术防御+32;生命+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900010_3,,900010,Magican,生命_616;物理攻击_115;物理防御_25;法术攻击_144;法术防御_32,生命_100,生命+616;物理攻击+115;物理防御+25;法术攻击+144;法术防御+32;生命+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900010_4,,900010,Priest,生命_512;物理攻击_103;物理防御_29;法术攻击_141;法术防御_36,生命_100,生命+512;物理攻击+103;物理防御+29;法术攻击+141;法术防御+36;生命+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900011_1,,900011,Warrior,生命_864;物理攻击_67;物理防御_36;法术攻击_57;法术防御_28,生命_100,生命+864;物理攻击+67;物理防御+36;法术攻击+57;法术防御+28;生命+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900011_2,,900011,SwordsMan,生命_480;物理攻击_90;物理防御_30;法术攻击_72;法术防御_24,生命_100,生命+480;物理攻击+90;物理防御+30;法术攻击+72;法术防御+24;生命+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900011_3,,900011,Magican,生命_462;物理攻击_86;物理防御_19;法术攻击_108;法术防御_24,生命_100,生命+462;物理攻击+86;物理防御+19;法术攻击+108;法术防御+24;生命+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900011_4,,900011,Priest,生命_384;物理攻击_77;物理防御_22;法术攻击_105;法术防御_27,生命_100,生命+384;物理攻击+77;物理防御+22;法术攻击+105;法术防御+27;生命+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900012_1,,900012,Warrior,生命_1728;物理攻击_135;物理防御_72;法术攻击_115;法术防御_57,物理攻击_100;法术攻击_100,生命+1728;物理攻击+135;物理防御+72;法术攻击+115;法术防御+57;物理攻击+1%;法术攻击+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900012_2,,900012,SwordsMan,生命_960;物理攻击_180;物理防御_60;法术攻击_144;法术防御_48,物理攻击_100;法术攻击_100,生命+960;物理攻击+180;物理防御+60;法术攻击+144;法术防御+48;物理攻击+1%;法术攻击+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900012_3,,900012,Magican,生命_924;物理攻击_172;物理防御_38;法术攻击_216;法术防御_48,物理攻击_100;法术攻击_100,生命+924;物理攻击+172;物理防御+38;法术攻击+216;法术防御+48;物理攻击+1%;法术攻击+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
900012_4,,900012,Priest,生命_768;物理攻击_155;物理防御_44;法术攻击_211;法术防御_55,物理攻击_100;法术攻击_100,生命+768;物理攻击+155;物理防御+44;法术攻击+211;法术防御+55;物理攻击+1%;法术攻击+1%,attack,100,Percentage,attackVampire,100,Percentage,criticalHurt,100,Percentage,,,Percentage,,,Percentage
