key,Remarks,roleId,openLv,prior,extraNum1,extraLv1,extraValue1,extraNum2,extraLv2,extraValue2,extraNum3,extraLv3,extraValue3
203004,,203004,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
203013,,203013,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
200012,,200012,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
201012,,201012,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
200011,,200011,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
203011,,203011,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
204008,,204008,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
203007,,203007,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
100001,,100001,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
101001,,101001,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
100005,,100005,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
101002,,101002,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
100002,,100002,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
101005,,101005,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
100008,,100008,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
101008,,101008,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
100011,,100011,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
101011,,101011,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
