key,Remarks,id,energy,life,attack,physiqueDef,spiritDef,hit,dodge,critical,toughness,resist,attackHurt,cutHurt,criticalHurt,cutCritHurt,lifeReceive,energyReceive,attackVampire,attackSpeed,moveSpeed,addCure,cutCure,attackPercent,criticalHurtPercent,criticalPercent,attackVampirePercent,spiritDefPercent,dodgePercent,physiqueDefPercent,attackHurtPercent,lifePercent,attrData,precentAttrData
13000207,,13000207,,,600,480,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_600;法术攻击_480,
13000208,,13000208,,,700,560,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_700;法术攻击_560,
13000209,,13000209,,,800,640,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_800;法术攻击_640,
13000210,,13000210,,,900,720,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_900;法术攻击_720,
13000301,,13000301,,,75,60,,,,,,,,,19,,,,,,,,,,,,,,,,,,物理攻击_75;法术攻击_60;暴击伤害_19,
13000302,,13000302,,,150,120,,,,,,,,,38,,,,,,,,,,,,,,,,,,物理攻击_150;法术攻击_120;暴击伤害_38,
13000303,,13000303,,,300,240,,,,,,,,,77,,,,,,,,,,,,,,,,,,物理攻击_300;法术攻击_240;暴击伤害_77,
13000304,,13000304,,,450,360,,,,,,,,,116,,,,,,,,,,,,,,,,,,物理攻击_450;法术攻击_360;暴击伤害_116,
13000305,,13000305,,,600,480,,,,,,,,,155,,,,,,,,,,,,,,,,,,物理攻击_600;法术攻击_480;暴击伤害_155,
13000306,,13000306,,,750,600,,,,,,,,,193,,,,,,,,,,,,,,,,,,物理攻击_750;法术攻击_600;暴击伤害_193,
13000307,,13000307,,,900,720,,,,,,,,,232,,,,,,,,,,,,,,,,,,物理攻击_900;法术攻击_720;暴击伤害_232,
13000308,,13000308,,,1050,840,,,,,,,,,271,,,,,,,,,,,,,,,,,,物理攻击_1050;法术攻击_840;暴击伤害_271,
13000309,,13000309,,,1200,960,,,,,,,,,310,,,,,,,,,,,,,,,,,,物理攻击_1200;法术攻击_960;暴击伤害_310,
13000310,,13000310,,,1350,1080,,,,,,,,,348,,,,,,,,,,,,,,,,,,物理攻击_1350;法术攻击_1080;暴击伤害_348,
21000101,,21000101,,186,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_25;生命回复_186,
21000102,,21000102,,373,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_50;生命回复_373,
21000103,,21000103,,746,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_100;生命回复_746,
21000104,,21000104,,1119,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_150;生命回复_1119,
21000105,,21000105,,1492,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_200;生命回复_1492,
21000106,,21000106,,1865,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_250;生命回复_1865,
21000107,,21000107,,2238,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_300;生命回复_2238,
21000108,,21000108,,2611,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_350;生命回复_2611,
21000109,,21000109,,2984,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_400;生命回复_2984,
21000110,,21000110,,3357,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_450;生命回复_3357,
21000201,,21000201,,373,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_50;生命回复_373,
21000202,,21000202,,746,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_100;生命回复_746,
21000203,,21000203,,1492,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_200;生命回复_1492,
21000204,,21000204,,2238,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_300;生命回复_2238,
21000205,,21000205,,2984,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_400;生命回复_2984,
21000206,,21000206,,3730,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_500;生命回复_3730,
21000207,,21000207,,4477,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_600;生命回复_4477,
21000208,,21000208,,5223,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_700;生命回复_5223,
21000209,,21000209,,5969,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_800;生命回复_5969,
21000210,,21000210,,6715,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,物理防御_900;生命回复_6715,
21000301,,21000301,,559,,75,,,19,,,,,,,,,,,,,,,,,,,,,,,,物理防御_75;生命回复_559;闪避_19,
21000302,,21000302,,1119,,150,,,38,,,,,,,,,,,,,,,,,,,,,,,,物理防御_150;生命回复_1119;闪避_38,
21000303,,21000303,,2238,,300,,,77,,,,,,,,,,,,,,,,,,,,,,,,物理防御_300;生命回复_2238;闪避_77,
21000304,,21000304,,3357,,450,,,116,,,,,,,,,,,,,,,,,,,,,,,,物理防御_450;生命回复_3357;闪避_116,
21000305,,21000305,,4477,,600,,,155,,,,,,,,,,,,,,,,,,,,,,,,物理防御_600;生命回复_4477;闪避_155,
21000306,,21000306,,5596,,750,,,193,,,,,,,,,,,,,,,,,,,,,,,,物理防御_750;生命回复_5596;闪避_193,
21000307,,21000307,,6715,,900,,,232,,,,,,,,,,,,,,,,,,,,,,,,物理防御_900;生命回复_6715;闪避_232,
21000308,,21000308,,7834,,1050,,,271,,,,,,,,,,,,,,,,,,,,,,,,物理防御_1050;生命回复_7834;闪避_271,
21000309,,21000309,,8954,,1200,,,310,,,,,,,,,,,,,,,,,,,,,,,,物理防御_1200;生命回复_8954;闪避_310,
21000310,,21000310,,10073,,1350,,,348,,,,,,,,,,,,,,,,,,,,,,,,物理防御_1350;生命回复_10073;闪避_348,
22000101,,22000101,,186,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_20;生命回复_186,
22000102,,22000102,,373,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_40;生命回复_373,
22000103,,22000103,,746,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_80;生命回复_746,
22000104,,22000104,,1119,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_120;生命回复_1119,
22000105,,22000105,,1492,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_160;生命回复_1492,
22000106,,22000106,,1865,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_200;生命回复_1865,
22000107,,22000107,,2238,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_240;生命回复_2238,
22000108,,22000108,,2611,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_280;生命回复_2611,
22000109,,22000109,,2984,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_320;生命回复_2984,
22000110,,22000110,,3357,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_360;生命回复_3357,
22000201,,22000201,,373,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_40;生命回复_373,
22000202,,22000202,,746,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_80;生命回复_746,
22000203,,22000203,,1492,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_160;生命回复_1492,
22000204,,22000204,,2238,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_240;生命回复_2238,
22000205,,22000205,,2984,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_320;生命回复_2984,
22000206,,22000206,,3730,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_400;生命回复_3730,
22000207,,22000207,,4477,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_480;生命回复_4477,
22000208,,22000208,,5223,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_560;生命回复_5223,
22000209,,22000209,,5969,,,640,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_640;生命回复_5969,
22000210,,22000210,,6715,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,法术防御_720;生命回复_6715,
22000301,,22000301,,559,,,60,,,,19,,,,,,,,,,,,,,,,,,,,,,法术防御_60;生命回复_559;韧性_19,
22000302,,22000302,,1119,,,120,,,,38,,,,,,,,,,,,,,,,,,,,,,法术防御_120;生命回复_1119;韧性_38,
22000303,,22000303,,2238,,,240,,,,77,,,,,,,,,,,,,,,,,,,,,,法术防御_240;生命回复_2238;韧性_77,
22000304,,22000304,,3357,,,360,,,,116,,,,,,,,,,,,,,,,,,,,,,法术防御_360;生命回复_3357;韧性_116,
22000305,,22000305,,4477,,,480,,,,155,,,,,,,,,,,,,,,,,,,,,,法术防御_480;生命回复_4477;韧性_155,
22000306,,22000306,,5596,,,600,,,,193,,,,,,,,,,,,,,,,,,,,,,法术防御_600;生命回复_5596;韧性_193,
22000307,,22000307,,6715,,,720,,,,232,,,,,,,,,,,,,,,,,,,,,,法术防御_720;生命回复_6715;韧性_232,
22000308,,22000308,,7834,,,840,,,,271,,,,,,,,,,,,,,,,,,,,,,法术防御_840;生命回复_7834;韧性_271,
22000309,,22000309,,8954,,,960,,,,310,,,,,,,,,,,,,,,,,,,,,,法术防御_960;生命回复_8954;韧性_310,
22000310,,22000310,,10073,,,1080,,,,348,,,,,,,,,,,,,,,,,,,,,,法术防御_1080;生命回复_10073;韧性_348,
23000101,,23000101,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_400,
23000102,,23000102,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_800,
23000103,,23000103,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_1600,
23000104,,23000104,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_2400,
23000105,,23000105,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_3200,
23000106,,23000106,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_4000,
23000107,,23000107,,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_4800,
23000108,,23000108,,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_5600,
23000109,,23000109,,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_6400,
23000110,,23000110,,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_7200,
23000201,,23000201,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_800,
23000202,,23000202,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_1600,
23000203,,23000203,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_3200,
23000204,,23000204,,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_4800,
23000205,,23000205,,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_6400,
23000206,,23000206,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_8000,
23000207,,23000207,,9600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_9600,
23000208,,23000208,,11200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_11200,
23000209,,23000209,,12800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_12800,
23000210,,23000210,,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命_14400,
23000301,,23000301,,1200,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,生命_1200;暴伤减免_19,
23000302,,23000302,,2400,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,生命_2400;暴伤减免_38,
23000303,,23000303,,4800,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,生命_4800;暴伤减免_77,
23000304,,23000304,,7200,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,生命_7200;暴伤减免_116,
23000305,,23000305,,9600,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,生命_9600;暴伤减免_155,
23000306,,23000306,,12000,,,,,,,,,,,,193,,,,,,,,,,,,,,,,,生命_12000;暴伤减免_193,
23000307,,23000307,,14400,,,,,,,,,,,,232,,,,,,,,,,,,,,,,,生命_14400;暴伤减免_232,
23000308,,23000308,,16800,,,,,,,,,,,,271,,,,,,,,,,,,,,,,,生命_16800;暴伤减免_271,
23000309,,23000309,,19200,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,生命_19200;暴伤减免_310,
23000310,,23000310,,21600,,,,,,,,,,,,348,,,,,,,,,,,,,,,,,生命_21600;暴伤减免_348,
