key,remarks,stageId,levelId,fabaoBuff,buffBonus,coBox,hiBox,enimy,score,starReward,copyId,drop,firstDrop,fighting
303_1,,303,1,106,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",281,100,1,150043,"32519,32744,40019",,157948_193047
303_2,,303,2,106,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",282,200,3,150043,"32591,32816,40091",,178741_218462
303_3,,303,3,106,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",283,300,5,150043,"32663,32888,40163",,229248_280193
304_1,,304,1,109,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",284,100,1,150043,"32520,32745,40020",,162073_198090
304_2,,304,2,109,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",285,200,3,150043,"32592,32817,40092",,197307_241154
304_3,,304,3,109,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",286,300,5,150043,"32664,32889,40164",,245910_300557
305_1,,305,1,112,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",287,100,1,150043,"32521,32746,40021",,178741_218462
305_2,,305,2,112,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",288,200,3,150043,"32593,32818,40093",,229248_280193
305_3,,305,3,112,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",289,300,5,150043,"32665,32890,40165",,273178_333885
306_1,,306,1,115,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",290,100,1,150043,"32522,32747,40022",,197307_241154
306_2,,306,2,115,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",291,200,3,150043,"32594,32819,40094",,245910_300557
306_3,,306,3,115,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",292,300,5,150043,"32666,32891,40166",,289856_354269
307_1,,307,1,118,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",293,100,1,150043,"32523,32748,40023",,229248_280193
307_2,,307,2,118,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",294,200,3,150043,"32595,32820,40095",,273178_333885
307_3,,307,3,118,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",295,300,5,150043,"32667,32892,40167",,323999_395998
308_3,,308,3,121,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",298,300,5,150043,"32668,32893,40168",41002,399945_488822
401_1,,401,1,101,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",299,100,1,150044,"32525,32750,40025",,255241_311962
401_2,,401,2,101,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",300,200,3,150044,"32597,32822,40097",,312534_381986
401_3,,401,3,101,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",301,300,5,150044,"32669,32894,40169",,373531_456538
402_1,,402,1,103,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",302,100,1,150044,"32526,32751,40026",,273178_333885
402_2,,402,2,103,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",303,200,3,150044,"32598,32823,40098",,323999_395998
402_3,,402,3,103,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",304,300,5,150044,"32670,32895,40170",,404559_494462
403_1,,403,1,106,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",305,100,1,150044,"32527,32752,40027",,273178_333885
403_2,,403,2,106,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",306,200,3,150044,"32599,32824,40099",,323999_395998
403_3,,403,3,106,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",307,300,5,150044,"32671,32896,40171",,404559_494462
404_1,,404,1,109,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",308,100,1,150044,"32528,32753,40028",,289856_354269
404_2,,404,2,109,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",309,200,3,150044,"32600,32825,40100",,333288_407352
404_3,,404,3,109,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",310,300,5,150044,"32672,32897,40172",,416408_508943
405_1,,405,1,112,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",311,100,1,150044,"32529,32754,40029",,289856_354269
405_2,,405,2,112,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",312,200,3,150044,"32601,32826,40101",,333288_407352
405_3,,405,3,112,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",313,300,5,150044,"32673,32898,40173",,416408_508943
406_1,,406,1,115,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",314,100,1,150044,"32530,32755,40030",,312534_381986
406_2,,406,2,115,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",315,200,3,150044,"32602,32827,40102",,373531_456538
406_3,,406,3,115,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",316,300,5,150044,"32674,32899,40174",,431089_526886
407_1,,407,1,118,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",317,100,1,150044,"32531,32756,40031",,312534_381986
407_2,,407,2,118,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",318,200,3,150044,"32603,32828,40103",,373531_456538
407_3,,407,3,118,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",319,300,5,150044,"32675,32900,40175",,431089_526886
408_3,,408,3,121,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",322,300,5,150044,"32676,32901,40176",41002,529751_647474
501_1,,501,1,101,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",323,100,1,150045,"32533,32758,40033",,333288_407352
501_2,,501,2,101,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",324,200,3,150045,"32605,32830,40105",,416408_508943
501_3,,501,3,101,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",325,300,5,150045,"32677,32902,40177",,480816_587664
502_1,,502,1,103,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",326,100,1,150045,"32534,32759,40034",,373531_456538
502_2,,502,2,103,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",327,200,3,150045,"32606,32831,40106",,431089_526886
502_3,,502,3,103,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",328,300,5,150045,"32678,32903,40178",,490801_599868
503_1,,503,1,106,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",329,100,1,150045,"32535,32760,40035",,373531_456538
503_2,,503,2,106,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",330,200,3,150045,"32607,32832,40107",,431089_526886
503_3,,503,3,106,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",331,300,5,150045,"32679,32904,40179",,490801_599868
504_1,,504,1,109,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",332,100,1,150045,"32536,32761,40036",,404559_494462
504_2,,504,2,109,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",333,200,3,150045,"32608,32833,40108",,441459_539562
504_3,,504,3,109,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",334,300,5,150045,"32680,32905,40180",,509828_623123
505_1,,505,1,112,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",335,100,1,150045,"32537,32762,40037",,404559_494462
505_2,,505,2,112,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",336,200,3,150045,"32609,32834,40109",,441459_539562
505_3,,505,3,112,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",337,300,5,150045,"32681,32906,40181",,509828_623123
506_1,,506,1,115,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",338,100,1,150045,"32538,32763,40038",,416408_508943
506_2,,506,2,115,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",339,200,3,150045,"32610,32835,40110",,480816_587664
506_3,,506,3,115,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",340,300,5,150045,"32682,32907,40182",,526697_643740
507_1,,507,1,118,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",341,100,1,150045,"32539,32764,40039",,416408_508943
507_2,,507,2,118,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",342,200,3,150045,"32611,32836,40111",,480816_587664
507_3,,507,3,118,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",343,300,5,150045,"32683,32908,40183",,526697_643740
508_3,,508,3,121,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",346,300,5,150045,"32684,32909,40184",41003,644525_787753
601_1,,601,1,101,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",347,100,1,150046,"32541,32766,40041",,441459_539562
601_2,,601,2,101,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",348,200,3,150046,"32613,32838,40113",,509828_623123
601_3,,601,3,101,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",349,300,5,150046,"32685,32910,40185",,579704_708527
602_1,,602,1,103,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",350,100,1,150046,"32542,32767,40042",,480816_587664
602_2,,602,2,103,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",351,200,3,150046,"32614,32839,40114",,526697_643740
602_3,,602,3,103,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",352,300,5,150046,"32686,32911,40186",,587820_718447
603_1,,603,1,106,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",353,100,1,150046,"32543,32768,40043",,480816_587664
603_2,,603,2,106,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",354,200,3,150046,"32615,32840,40115",,526697_643740
603_3,,603,3,106,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",355,300,5,150046,"32687,32912,40187",,587820_718447
604_1,,604,1,109,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",356,100,1,150046,"32544,32769,40044",,490801_599868
604_2,,604,2,109,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",357,200,3,150046,"32616,32841,40116",,537104_656461
604_3,,604,3,109,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",358,300,5,150046,"32688,32913,40188",,595933_728362
605_1,,605,1,112,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",359,100,1,150046,"32545,32770,40045",,490801_599868
605_2,,605,2,112,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",360,200,3,150046,"32617,32842,40117",,537104_656461
605_3,,605,3,112,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",361,300,5,150046,"32689,32914,40189",,595933_728362
606_1,,606,1,115,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",362,100,1,150046,"32546,32771,40046",,509828_623123
606_2,,606,2,115,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",363,200,3,150046,"32618,32843,40118",,579704_708527
606_3,,606,3,115,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",364,300,5,150046,"32690,32915,40190",,607491_742490
607_1,,607,1,118,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",365,100,1,150046,"32547,32772,40047",,509828_623123
607_2,,607,2,118,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",366,200,3,150046,"32619,32844,40119",,579704_708527
607_3,,607,3,118,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",367,300,5,150046,"32691,32916,40191",,607491_742490
608_3,,608,3,121,"101,102,103","1_5000:32719,40002","2_80:32723,40012,42003",370,300,5,150046,"32692,32917,40192",41003,753089_920442
