key,remarks,Id,desc,layerID,rate,icon,buffId,fabaoHot1,fabaoHot2,fabaoHot3,fabaoHot4
120,,120,对手增加60%生命，建议使用法宝：,118,1000,Skill/602001a,70000141,602101_70000002,602102_70000002,602103_70000002,602104_70000002
121,,121,对手增加60%物理攻击，建议使用法宝：,118,1000,Skill/602002,70000142,602101_70000002,602102_70000002,602103_70000002,602104_70000002
122,,122,对手增加60%法术攻击，建议使用法宝：,118,1000,Skill/602002a,70000143,602101_70000002,602102_70000002,602103_70000002,602104_70000002
123,,123,对手增加60%物理防御，建议使用法宝：,118,1000,Skill/602003,70000144,602101_70000002,602102_70000002,602103_70000002,602104_70000002
124,,124,对手增加60%法术防御，建议使用法宝：,118,1000,Skill/602004,70000145,602101_70000002,602102_70000002,602103_70000002,602104_70000002
125,,125,对手增加60%暴击，建议使用法宝：,118,1000,Skill/602005,70000146,602101_70000002,602102_70000002,602103_70000002,602104_70000002
126,,126,对手增加60%暴击伤害，建议使用法宝：,118,1000,Skill/602006,70000147,602101_70000002,602102_70000002,602103_70000002,602104_70000002
127,,127,对手增加14%生命，建议使用法宝：,119,1000,Skill/602001a,70000148,602101_70000002,602102_70000002,602103_70000002,602104_70000002
128,,128,对手增加14%物理攻击，建议使用法宝：,119,1000,Skill/602002,70000149,602101_70000002,602102_70000002,602103_70000002,602104_70000002
129,,129,对手增加14%法术攻击，建议使用法宝：,119,1000,Skill/602002a,70000150,602101_70000002,602102_70000002,602103_70000002,602104_70000002
130,,130,对手增加14%物理防御，建议使用法宝：,119,1000,Skill/602003,70000151,602101_70000002,602102_70000002,602103_70000002,602104_70000002
131,,131,对手增加14%法术防御，建议使用法宝：,119,1000,Skill/602004,70000152,602101_70000002,602102_70000002,602103_70000002,602104_70000002
132,,132,对手增加14%暴击，建议使用法宝：,119,1000,Skill/602005,70000153,602101_70000002,602102_70000002,602103_70000002,602104_70000002
133,,133,对手增加14%暴击伤害，建议使用法宝：,119,1000,Skill/602006,70000154,602101_70000002,602102_70000002,602103_70000002,602104_70000002
134,,134,对手增加42%生命，建议使用法宝：,120,1000,Skill/602001a,70000155,602101_70000002,602102_70000002,602103_70000002,602104_70000002
135,,135,对手增加42%物理攻击，建议使用法宝：,120,1000,Skill/602002,70000156,602101_70000002,602102_70000002,602103_70000002,602104_70000002
136,,136,对手增加42%法术攻击，建议使用法宝：,120,1000,Skill/602002a,70000157,602101_70000002,602102_70000002,602103_70000002,602104_70000002
137,,137,对手增加42%物理防御，建议使用法宝：,120,1000,Skill/602003,70000158,602101_70000002,602102_70000002,602103_70000002,602104_70000002
138,,138,对手增加42%法术防御，建议使用法宝：,120,1000,Skill/602004,70000159,602101_70000002,602102_70000002,602103_70000002,602104_70000002
139,,139,对手增加42%暴击，建议使用法宝：,120,1000,Skill/602005,70000160,602101_70000002,602102_70000002,602103_70000002,602104_70000002
140,,140,对手增加42%暴击伤害，建议使用法宝：,120,1000,Skill/602006,70000161,602101_70000002,602102_70000002,602103_70000002,602104_70000002
141,,141,对手增加70%生命，建议使用法宝：,121,1000,Skill/602001a,70000162,602101_70000002,602102_70000002,602103_70000002,602104_70000002
142,,142,对手增加70%物理攻击，建议使用法宝：,121,1000,Skill/602002,70000163,602101_70000002,602102_70000002,602103_70000002,602104_70000002
143,,143,对手增加70%法术攻击，建议使用法宝：,121,1000,Skill/602002a,70000164,602101_70000002,602102_70000002,602103_70000002,602104_70000002
144,,144,对手增加70%物理防御，建议使用法宝：,121,1000,Skill/602003,70000165,602101_70000002,602102_70000002,602103_70000002,602104_70000002
145,,145,对手增加70%法术防御，建议使用法宝：,121,1000,Skill/602004,70000166,602101_70000002,602102_70000002,602103_70000002,602104_70000002
146,,146,对手增加70%暴击，建议使用法宝：,121,1000,Skill/602005,70000167,602101_70000002,602102_70000002,602103_70000002,602104_70000002
147,,147,对手增加70%暴击伤害，建议使用法宝：,121,1000,Skill/602006,70000168,602101_70000002,602102_70000002,602103_70000002,602104_70000002
