key,remark,id,breakId,nextId,isOtherId,plotId,closeIds,guideGroup,force,stopBattleShow,targetType,target,uiType,uiSetting,desc,uiTurn,openLevel,openType,openParam,open1Type,open1Param,closeLevel,closeType,closeParam
100270,,100270,100270,100280,,,,10000,1,,1,pulldown,2,"-10_25,105_0",穿戴装备可以大幅提升英雄的属性，现在就让我们来试试吧！,1,-1,-1,,-1,,7,-1,
100280,,100280,100270,100290,,,,10000,1,,1,mercenary,,-10_25,,1,-1,-1,,-1,,7,-1,
100290,,100290,100270,100300,,,,10000,1,,1,roleitem_player,,-10_25,,,-1,-1,,-1,,7,-1,
100300,,100300,10100210,100310,,,,10000,1,,1,equip_700091,,-10_25,,,-1,-1,,-1,,7,-1,
100310,,100310,11100210,100320,,,,10000,1,,1,EquipBtn,,-10_25,,,-1,-1,,-1,,7,-1,
100320,,100320,,100330,,,,10000,1,,1,CloseBtn,,-10_25,,,-1,-1,,-1,,7,-1,
100330,,100330,,100340,,,,10000,1,,1,Hero_BackBt,,-10_25,,,-1,-1,,-1,,7,-1,
100340,,100340,10100160,100350,,,,10000,1,,1,StagePart_110103/Button/Down,,-10_25,,,-1,-1,,-1,,7,-1,
100350,,100350,10100160,100360,,,,10000,1,,1,EnterMercConfig,,-10_25,,,-1,-1,,-1,,7,-1,
100360,,100360,10100160,100370,,,,10000,1,,1,ChuZhan,,-10_25,,,-1,-1,,-1,,7,-1,
100370,,100370,10100160,100380,,,,10000,1,,,,,,,,,,,,,,,
100380,,100380,,100390,,,,10000,1,,1,UI_RoleUgrade(Clone)/offset/QueDing,,-10_25,,,-1,-1,,-1,,7,-1,
100390,,100390,,100400,,,,10000,1,,1,ToIndex,,-10_25,,,-1,-1,,-1,,7,-1,
100400,,100400,10100160,100410,,,,10000,1,,1,Button1,2,"-10_25,105_0",副本评价累计到指定星级后，可以领取奖励哦！,,-1,-1,,-1,,7,-1,
100410,,100410,10100160,100420,,,,10000,1,,1,UI_MapGift(Clone)/Button,,-10_25,,,-1,-1,,-1,,7,-1,
100420,,100420,100420,100430,,,,10000,1,,1,pulldown,2,"-10_25,105_0",获得了新英雄，快去看看吧！,1,-1,-1,,-1,,7,-1,
100430,,100430,100420,100440,,,,10000,1,,1,mercenary,,-10_25,,1,-1,-1,,-1,,7,-1,
100440,,100440,100420,100450,,,,10000,1,,1,roleitem_204001,,-10_25,,,-1,-1,,-1,,7,-1,
100450,,100450,,100460,,,,10000,1,,1,SureButton,,-10_25,,,-1,-1,,-1,,7,-1,
100460,,100460,,100470,,,,10000,1,,1,Hero_BackBt,,-10_25,,,-1,-1,,-1,,7,-1,
100470,,100470,10100160,100480,,,,10000,1,,1,StagePart_110104/Button/Up,,-10_25,,,-1,-1,,-1,,7,-1,
100480,,100480,10100160,100490,,,,10000,1,,1,EnterMercConfig,,-10_25,,,-1,-1,,-1,,7,-1,
100490,,100490,10100160,100500,,,,10000,1,,1,Hero_204001_1,,-10_25,,,-1,-1,,-1,,7,-1,
100500,,100500,10100550,100510,,,,10000,1,,1,ChuZhan,,-10_25,,,-1,-1,,-1,,7,-1,
100510,,100510,10100550,100520,,,,10000,1,,,,,,,,,,,,,,,
100520,,100520,,100530,,,,10000,1,,1,UI_RoleUgrade(Clone)/offset/QueDing,,-10_25,,,-1,-1,,-1,,7,-1,
100530,,100530,,100540,,,,10000,1,,1,ToIndex,,-10_25,,,-1,-1,,-1,,7,-1,
100540,,100540,100540,100550,,,,10000,1,,1,pulldown,2,"-10_25,105_0",不需要担心后面加入的英雄等级被拉开，我们有凝神丹呢！去用几个试试！,1,-1,-1,,-1,,7,-1,
100550,,100550,100540,100560,,,,10000,1,,1,backPack,,-10_25,,1,-1,-1,,-1,,7,-1,
100560,,100560,100540,100570,,,,10000,1,,1,ConsumeBtn,,-10_25,,,-1,-1,,-1,,7,-1,
100570,,100570,100540,100580,,,,10000,1,,1,Cell_803001,,-10_25,,,-1,-1,,-1,,7,-1,
100580,,100580,100540,100590,,,,10000,1,,1,EquipDetailComposeBtn,,-10_25,,,-1,-1,,-1,,7,-1,
100590,,100590,100540,100600,,,,10000,1,,1,204001/AddBtn,,-10_25,,,-1,-1,,-1,,7,-1,
100600,,100600,,100610,,,,10000,1,,1,CloseBtn,,-10_25,,,-1,-1,,-1,,7,-1,
100610,,100610,,100620,,,,10000,1,,1,FanHui,,-10_25,,,-1,-1,,-1,,7,-1,
100620,,100620,10100160,100630,,,,10000,1,,1,StagePart_110105/Button/Down,,-10_25,,,-1,-1,,-1,,7,-1,
100630,,100630,10100160,100640,,,,10000,1,,1,EnterMercConfig,,-10_25,,,-1,-1,,-1,,7,-1,
100640,,100640,10100160,100650,,,,10000,1,,1,ChuZhan,,-10_25,,,-1,-1,,-1,,7,-1,
100650,,100650,10100160,100660,,,,10000,1,,,,,,,,,,,,,,,
100660,,100660,,100670,,,,10000,1,,1,UI_RoleUgrade(Clone)/offset/QueDing,,-10_25,,,-1,-1,,-1,,7,-1,
100670,,100670,,100680,,,,10000,1,,1,ToIndex,,-10_25,,,-1,-1,,-1,,7,-1,
100680,,100680,100680,100690,,,,10000,1,,1,pulldown,2,"-10_25,105_0",已经收集了所有装备，可以突破能力瓶颈了，让我们来试试进阶吧！,1,-1,-1,,-1,,7,-1,
100690,,100690,100680,100700,,,,10000,1,,1,mercenary,,-10_25,,1,-1,-1,,-1,,7,-1,
100700,,100700,100680,100710,,,,10000,1,,1,roleitem_player,,-10_25,,,-1,-1,,-1,,7,-1,
100710,,100710,10100210,100720,,,,10000,1,,1,equip_700189,,-10_25,,,-1,-1,,-1,,7,-1,
100720,,100720,12100210,100730,,,,10000,1,,1,EquipBtn,,-10_25,,,-1,-1,,-1,,7,-1,
100730,,100730,10100210,100740,,,,10000,1,,1,equip_700157,,-10_25,,,-1,-1,,-1,,7,-1,
100740,,100740,13100210,100750,,,,10000,1,,1,EquipBtn,,-10_25,,,-1,-1,,-1,,7,-1,
100750,,100750,10100210,100760,,,,10000,1,,1,equip_700073,,-10_25,,,-1,-1,,-1,,7,-1,
100760,,100760,14100210,100770,,,,10000,1,,1,EquipBtn,,-10_25,,,-1,-1,,-1,,7,-1,
100770,,100770,10100210,100780,,,,10000,1,,1,equip_700013,,-10_25,,,-1,-1,,-1,,7,-1,
100780,,100780,15100210,100790,,,,10000,1,,1,EquipBtn,,-10_25,,,-1,-1,,-1,,7,-1,
100790,,100790,10100210,100800,,,,10000,1,,1,equip_700124,,-10_25,,,-1,-1,,-1,,7,-1,
100800,,100800,16100210,100810,,,,10000,1,,1,EquipBtn,,-10_25,,,-1,-1,,-1,,7,-1,
100810,,100810,10100210,100820,,,,10000,1,,1,SmeltingBtn,,-10_25,,,-1,-1,,-1,,7,-1,
100820,,100820,,100830,,,,10000,1,,1,UI_UpgradeQuality(Clone)/CloseBtn,,-10_25,,,-1,-1,,-1,,7,-1,
100830,,100830,,100840,,,,10000,1,,1,CloseBtn,,-10_25,,,-1,-1,,-1,,7,-1,
100840,,100840,,100850,,,,10000,1,,1,Hero_BackBt,,-10_25,,,-1,-1,,-1,,7,-1,
100850,,100850,10100160,100860,,,,10000,1,,1,StagePart_110106/Button/Up,,-10_25,,,-1,-1,,-1,,7,-1,
100860,,100860,10100160,100870,,,,10000,1,,1,EnterMercConfig,,-10_25,,,-1,-1,,-1,,7,-1,
100870,,100870,10100160,100880,,,,10000,1,,1,ChuZhan,,-10_25,,,-1,-1,,-1,,7,-1,
100880,,100880,10100160,100881,,,,10000,1,,,,,,,,-1,-1,,-1,,7,-1,
100881,,100881,,100882,,,,10000,1,,1,UI_RoleUgrade(Clone)/offset/QueDing,,-10_25,,,-1,-1,,-1,,7,-1,
100882,,100882,,100890,,,,10000,1,,1,ToIndex,,-10_25,,,-1,-1,,-1,,7,-1,
100890,,100890,10100160,,,,,10000,1,,1,RightArrow,2,"-10_25,105_0",已完成本章节所有关卡，下一章节的作战计划已准备好，去看看吧！,1,-1,-1,,-1,,7,-1,
100900,,100900,100900,100910,,,,10000,1,,1,pulldown,2,"-10_25,105_0",感觉敌人太强了吗？也许是技能等级太低了，让我们去修炼技能试试！,1,8,-1,,-1,,9,-1,
100910,,100910,100900,100920,,,,10000,1,,1,mercenary,,-10_25,,1,-1,-1,,-1,,9,-1,
100920,,100920,100900,100930,,,,10000,1,,1,roleitem_player,,-10_25,,,-1,-1,,-1,,9,-1,
100930,,100930,100900,100940,,,,10000,1,,1,skillBtn,,-10_25,,,-1,-1,,-1,,9,-1,
100940,,100940,10100400,100950,,,,10000,1,,1,upgradeHeroBtn,,-10_25,,,-1,-1,,-1,,9,-1,
100950,,100950,10100400,100960,,,,10000,1,,1,upgradeHeroBtn,,-10_25,,,-1,-1,,-1,,9,-1,
100960,,100960,10100400,,,,,10000,1,,1,upgradeHeroBtn,,-10_25,,,-1,-1,,-1,,9,-1,
200120,,200120,200120,200130,,,,10001,,,1,pulldown,2,"-10_25,105_0",为了让你快速成长，我计划了一份日常任务，完成可获得丰富经验值哦！,1,9,-1,,-1,,10,-1,
200130,,200130,200120,200131,,,,10001,,,1,daily,,-10_25,,1,-1,-1,,-1,,10,-1,
200131,,200131,200120,,,,,10001,,,1,UI_DailyActivity(Clone)/Scroll View/grid/20018_1,,-10_25,,,-1,-1,,-1,,10,-1,
200140,,200140,200140,200150,,,,10002,,,1,ArrowRight/offset/Button,2,"-10_25,105_0",竞技场已经建造完毕，许多高手报名参加了，我们也去试试吧！,1,10,-1,,-1,,11,-1,
200150,,200150,200140,200160,,,,10002,,,2,Arena_Building,,-10_230,,,-1,-1,,-1,,11,-1,
200160,,200160,200140,,,,,10002,,,1,Zuo,,-10_25,,,-1,-1,,-1,,11,-1,
200170,,200170,200170,200180,,,,10003,,,1,Battle,2,"-10_25,105_0",敌人卷土重来，并且带上大量魂玉和精良装备，我们赶紧去击败他们吧！,,11,-1,,-1,,12,-1,
200180,,200180,200170,200190,,,,10003,,,1,DownButtonPanel/EliteButton,,-10_25,,,-1,-1,,-1,,12,-1,
200190,,200190,200170,200191,,,,10003,,,1,StagePart_120101/Button/Up,,-10_25,,,-1,-1,,-1,,12,-1,
200191,,200191,200170,,,,,10003,,,1,EnterMercConfig,,-10_25,,,-1,-1,,-1,,12,-1,
200200,,200200,200200,200210,,,,10004,,,2,Activity_Building,2,"-10_30,105_0",我们发现了上古族人留下的聚宝之地，听说有很多财宝，让通过空间球我们传送过去吧！,,12,-1,,-1,,13,-1,
200210,,200210,200200,,,,,10004,,,1,item1,,-10_25,,,-1,-1,,-1,,13,-1,
200220,,200220,200220,,,,,10005,,,1,PART_ActionIcon(Clone)/offset/Fashion/Button,2,"-10_25,-500_180",就在你出现的那个空间裂缝，我们发现了许多奇装异服，你去看看喜欢不？,,13,-1,,-1,,14,-1,
200230,,200230,200230,200240,,,,10006,,,2,Activity_Building,2,"-10_30,105_0",炼气山谷是一个会聚集灵气的宝地，我们可以在那采集灵气丹药，但要小心妖怪！,,14,-1,,-1,,15,-1,
200240,,200240,200230,,,,,10006,,,1,item2,,-10_25,,,-1,-1,,-1,,15,-1,
200250,,200250,200250,200260,,,,10007,,,1,PART_ActionIcon(Clone)/offset/Magic/Button,2,"-10_25,-500_180",姜子牙先生为你带来了法宝锻造的炉子，我们可以升级法宝了！,,15,-1,,-1,,16,-1,
200260,,200260,200250,,,,,10007,,,1,UI_MagicWeapon(Clone)/offset/BtnForge,,-10_25,,,-1,-1,,-1,,16,-1,
200270,,200270,200270,200280,,,,10008,,,2,Activity_Building,2,"-10_30,105_0",前线告急！去无尽城墙帮忙吧！天尊立下了强大的结界，让我军拥有无限力量！,,16,-1,,-1,,17,-1,
200280,,200280,200270,,,,,10008,,,1,item3,,-10_25,,,-1,-1,,-1,,17,-1,
200290,,200290,200290,200300,,,,10009,,,1,pulldown,2,"-10_25,105_0",一个人的日子多无聊啊，让我们去加几个好友一起游戏吧！,1,18,-1,,-1,,19,-1,
200300,,200300,200290,,,,,10009,,,1,friend,,-10_25,,1,-1,-1,,-1,,19,-1,
200310,,200310,200310,200320,,,,10010,,,1,ArrowLeft/offset/Button,2,"-10_25,105_0",天下还有许多想拯救世界的豪侠，加入或创立帮派，让有志之士都走一起！,,21,-1,,-1,,22,-1,
200320,,200320,200310,,,,,10010,,,2,Guild_Building,,-10_30,,,-1,-1,,-1,,22,-1,
200330,,200330,200330,200340,,,,10011,,,2,Activity_Building,2,"-10_30,105_0",上古神族封印了许多怪物在昆仑和蓬莱作为修炼之用，我们也去那修炼吧！,,22,-1,,-1,,23,-1,
200340,,200340,200330,,,,,10011,,,1,item4,,-10_25,,,-1,-1,,-1,,23,-1,
200350,,200350,200350,200360,,,,10012,,,2,Activity_Building,2,"-10_30,105_0",通天教主布下的万仙阵据说无人能破，但以你救世主的实力一定能打破万仙阵！,,30,-1,,-1,,31,-1,
200360,,200360,200350,,,,,10012,,,1,item5,,-10_25,,,-1,-1,,-1,,31,-1,
200370,,200370,200370,200380,,,,10013,,,1,PART_ActionIcon(Clone)/offset/Magic/Button,2,"-10_25,-500_180",姜子牙先生升级了法宝锻造炉，可以让几个法宝熔炉成更高级的法宝了！,,31,-1,,-1,,32,-1,
200380,,200380,200370,,,,,10013,,,1,UI_MagicWeapon(Clone)/offset/BtnSmelt,,-10_25,,,-1,-1,,-1,,32,-1,
200390,,200390,200390,200400,,,,10014,,,1,pulldown,2,"-10_25,105_0",把带有法力的宝石镶嵌到装备上，可以额外增加装备属性，去镶嵌试试吧！,1,33,-1,,-1,,34,-1,
200400,,200400,200390,200410,,,,10014,,,1,mercenary,,-10_25,,1,-1,-1,,-1,,34,-1,
200410,,200410,200390,200420,,,,10014,,,1,roleitem_player,,-10_25,,,-1,-1,,-1,,34,-1,
200420,,200420,200390,,,,,10014,,,1,BaoShi,,-10_25,,,-1,-1,,-1,,34,-1,
200470,,200470,200470,200480,,,,10017,,,1,pulldown,2,"-10_25,105_0",使用把装备中的法力加工成为灵气，附上其他装备上可以加强装备属性！,1,37,-1,,-1,,38,-1,
200480,,200480,200470,200490,,,,10017,,,1,mercenary,,-10_25,,1,-1,-1,,-1,,38,-1,
200490,,200490,200470,200500,,,,10017,,,1,roleitem_player,,-10_25,,,-1,-1,,-1,,38,-1,
200500,,200500,200470,,,,,10017,,,1,ForgingBtn,,-10_25,,,-1,-1,,-1,,38,-1,
200530,,200530,200530,200540,,,,10019,,,1,ArrowRight/offset/Button,2,"-10_25,105_0",你的努力得到仙人界的认可，现在可有资格进入巅峰竞技场了。,1,40,-1,,-1,,41,-1,
200540,,200540,200530,200550,,,,10019,,,2,Arena_Building,,-10_230,,,-1,-1,,-1,,41,-1,
200550,,200550,200530,,,,,10019,,,1,ZhongJian,,-10_25,,,-1,-1,,-1,,41,-1,
10100090,,10100090,,10100100,1,,,10000,1,,1,Battle,,-10_25,,,1,-1,,-1,,7,-1,
10100100,,10100100,,10100110,1,,,10000,1,,1,StagePart_110101/Button/Down,2,"-10_25,324_157",请选择关卡,,1,-1,,-1,,7,-1,
10100110,,10100110,,,1,,,10000,1,,1,EnterMercConfig,,-10_25,,,1,-1,,-1,,7,-1,
11100090,,11100090,,11100100,1,,,10000,1,,1,Battle,,-10_25,,,1,-1,,-1,,7,-1,
11100100,,11100100,,11100110,1,,,10000,1,,1,StagePart_110101/Button/Down,2,"-10_25,324_157",请选择关卡,,1,-1,,-1,,7,-1,
11100110,,11100110,,,1,,,10000,1,,1,EnterMercConfig,,-10_25,,,1,-1,,-1,,7,-1,
12100090,,12100090,,12100100,1,,,10000,1,,1,Battle,,-10_25,,,1,-1,,-1,,7,-1,
12100100,,12100100,,12100110,1,,,10000,1,,1,StagePart_110101/Button/Down,2,"-10_25,324_157",请选择关卡,,1,-1,,-1,,7,-1,
12100110,,12100110,,12100120,1,,,10000,1,,1,EnterMercConfig,,-10_25,,,1,-1,,-1,,7,-1,
12100120,,12100120,,,1,,,10000,1,,1,ChuZhan,,-10_25,,,1,-1,,-1,,7,-1,
10100160,,10100160,,,1,,,10000,1,,1,Battle,,-10_25,,,1,-1,,-1,,7,-1,
10100210,,10100210,,10100220,1,,,10000,1,,1,pulldown,2,"-10_25,105_0",穿戴装备可以大幅提升角色的属性，现在就让我们来试试吧！,1,1,-1,,-1,,7,-1,
10100220,,10100220,,10100230,1,,,10000,1,,1,mercenary,,-10_25,,1,1,-1,,-1,,7,-1,
10100230,,10100230,,,1,,,10000,1,,1,roleitem_player,,-10_25,,,1,-1,,-1,,7,-1,
11100210,,11100210,,11100220,1,,,10000,1,,1,pulldown,2,"-10_25,105_0",穿戴装备可以大幅提升角色的属性，现在就让我们来试试吧！,1,1,-1,,-1,,7,-1,
11100220,,11100220,,11100230,1,,,10000,1,,1,mercenary,,-10_25,,1,1,-1,,-1,,7,-1,
11100230,,11100230,,11100240,1,,,10000,1,,1,roleitem_player,,-10_25,,,1,-1,,-1,,7,-1,
11100240,,11100240,,,1,,,10000,1,,1,equip_700091,,-10_25,,,1,-1,,-1,,7,-1,
12100210,,12100210,,12100220,1,,,10000,1,,1,pulldown,2,"-10_25,105_0",穿戴装备可以大幅提升角色的属性，现在就让我们来试试吧！,1,1,-1,,-1,,7,-1,
12100220,,12100220,,12100230,1,,,10000,1,,1,mercenary,,-10_25,,1,1,-1,,-1,,7,-1,
12100230,,12100230,,12100260,1,,,10000,1,,1,roleitem_player,,-10_25,,,1,-1,,-1,,7,-1,
12100260,,12100260,,,1,,,10000,1,,1,equip_700189,,-10_25,,,1,-1,,-1,,7,-1,
13100210,,13100210,,13100220,1,,,10000,1,,1,pulldown,2,"-10_25,105_0",穿戴装备可以大幅提升角色的属性，现在就让我们来试试吧！,1,1,-1,,-1,,7,-1,
13100220,,13100220,,13100230,1,,,10000,1,,1,mercenary,,-10_25,,1,1,-1,,-1,,7,-1,
13100230,,13100230,,13100271,1,,,10000,1,,1,roleitem_player,,-10_25,,,1,-1,,-1,,7,-1,
13100271,,13100271,,,1,,,10000,1,,1,equip_700157,,-10_25,,,1,-1,,-1,,7,-1,
14100210,,14100210,,14100220,1,,,10000,1,,1,pulldown,2,"-10_25,105_0",穿戴装备可以大幅提升角色的属性，现在就让我们来试试吧！,1,1,-1,,-1,,7,-1,
14100220,,14100220,,14100230,1,,,10000,1,,1,mercenary,,-10_25,,1,1,-1,,-1,,7,-1,
14100230,,14100230,,14100273,1,,,10000,1,,1,roleitem_player,,-10_25,,,1,-1,,-1,,7,-1,
14100273,,14100273,,,1,,,10000,1,,1,equip_700073,,-10_25,,,1,-1,,-1,,7,-1,
15100210,,15100210,,15100220,1,,,10000,1,,1,pulldown,2,"-10_25,105_0",穿戴装备可以大幅提升角色的属性，现在就让我们来试试吧！,1,1,-1,,-1,,7,-1,
15100220,,15100220,,15100230,1,,,10000,1,,1,mercenary,,-10_25,,1,1,-1,,-1,,7,-1,
15100230,,15100230,,15100275,1,,,10000,1,,1,roleitem_player,,-10_25,,,1,-1,,-1,,7,-1,
15100275,,15100275,,,1,,,10000,1,,1,equip_700013,,-10_25,,,1,-1,,-1,,7,-1,
16100210,,16100210,,16100220,1,,,10000,1,,1,pulldown,2,"-10_25,105_0",穿戴装备可以大幅提升角色的属性，现在就让我们来试试吧！,1,1,-1,,-1,,7,-1,
16100220,,16100220,,16100230,1,,,10000,1,,1,mercenary,,-10_25,,1,1,-1,,-1,,7,-1,
16100230,,16100230,,16100277,1,,,10000,1,,1,roleitem_player,,-10_25,,,1,-1,,-1,,7,-1,
16100277,,16100277,,,1,,,10000,1,,1,equip_700124,,-10_25,,,1,-1,,-1,,7,-1,
10100400,,10100400,,10100410,1,,,10000,1,,1,pulldown,2,"-10_25,105_0",升级技能可以让角色变得更强，现在就让我们来试试吧！,1,1,-1,,-1,,7,-1,
10100410,,10100410,,10100420,1,,,10000,1,,1,mercenary,,-10_25,,1,1,-1,,-1,,7,-1,
10100420,,10100420,,10100430,1,,,10000,1,,1,roleitem_player,,-10_25,,,1,-1,,-1,,7,-1,
10100430,,10100430,,,1,,,10000,1,,1,skillBtn,,-10_25,,,1,-1,,-1,,7,-1,
10100550,,10100550,,10100560,1,,,10000,1,,1,Battle,,-10_25,,,1,-1,,-1,,7,-1,
10100560,,10100560,,10100570,1,,,10000,1,,1,StagePart_110105/Button/Down,,-10_25,,,1,-1,,-1,,7,-1,
10100570,,10100570,,,1,,,10000,1,,1,EnterMercConfig,,-10_25,,,1,-1,,-1,,7,-1,
10100610,,10100610,,10100620,,,,10000,1,,1,pulldown,2,"-10_25,105_0",使用凝神丹可以快速提升伙伴等级，快去试试吧！,1,1,-1,,-1,,7,-1,
10100620,,10100620,,10100630,,,,10000,1,,1,backPack,,-10_25,,1,1,-1,,-1,,7,-1,
10100630,,10100630,,10100640,,,,10000,1,,1,ConsumeBtn,,-10_25,,,1,-1,,-1,,7,-1,
10100640,,10100640,,10100641,,,,10000,1,,1,Cell_803001,,-10_25,,,1,-1,,-1,,7,-1,
10100641,,10100641,,,,,,10000,1,,1,EquipDetailComposeBtn,,-10_25,,,1,-1,,-1,,7,-1,
