key,Remarks,predDef,predName,desc
1001501,,player.level =98,,
1001502,,player.level >=99,,
1001601,,player.level =35,,
1001602,,player.level >=36,,
1001603,,"player.level =35 & getItemCount(""800061"") >=1",,
1001701,,player.level >=98,,
1001702,,player.level >=99,,
1001801,,player.level >=98,,
1001802,,player.level >=99,,
1001901,,player.level =98,,
1001902,,player.level >=99,,
1002001,,player.level =18,,
1002002,,player.level >=19,,
1002101,,"isCurrentCheckpoint(""110305"",""0"") & hasHero(""204001"",""Embattle_Copy"") & !IsVisible(""UIGainHeroScene"")",,
1002102,,"isCurrentCheckpoint(""110306"",""0"")",,
1002201,,"!isCareerSelected() & player.level >=15 & !IsVisible(""UINotice"")",,
1002202,,,,
1002203,,"player.level >=15 & isPlotTrigger(""200001"",""5"")",,
1002204,,player.level >65 & !isCareerSelected(),,
1002205,,"isCareerSelected() & player.level >=15 & !IsVisible(""UINotice"")",,
1002301,,"isCurrentCheckpoint(""110305"",""0"")",,
1002302,,"isCurrentCheckpoint(""110306"",""0"")",,
1002303,,"hasHero(""204001"",""Embattle_Copy"")",,
1002401,,"isAllWear(""202001_1"") | isAllWear(""202001_2"") | isAllWear(""202001_3"") | isAllWear(""202001_4"") | isAllWear(""202001_5"") | isAllWear(""202002_1"") | isAllWear(""202002_2"") | isAllWear(""202002_3"") | isAllWear(""202002_4"") | isAllWear(""202002_5"") | isAllWear(""201001_1"") | isAllWear(""201001_2"") | isAllWear(""201001_3"") | isAllWear(""201001_4"") | isAllWear(""201001_5"") | isAllWear(""204001_1"") | isAllWear(""204001_2"") | isAllWear(""204001_3"") | isAllWear(""204001_4"") | isAllWear(""204001_5"") | isAllWear(""203001_1"") | isAllWear(""203001_2"") | isAllWear(""203001_3"") | isAllWear(""203001_4"") | isAllWear(""203001_5"") | isAllWear(""201002_1"") | isAllWear(""201002_2"") | isAllWear(""201002_3"") | isAllWear(""201002_4"") | isAllWear(""201002_5"") | isAllWear(""201003_1"") | isAllWear(""201003_2"") | isAllWear(""201003_3"") | isAllWear(""201003_4"") | isAllWear(""201003_5"") | isAllWear(""201005_1"") | isAllWear(""201005_2"") | isAllWear(""201005_3"") | isAllWear(""201005_4"") | isAllWear(""201005_5"") | isAllWear(""201004_1"") | isAllWear(""201004_2"") | isAllWear(""201004_3"") | isAllWear(""201004_4"") | isAllWear(""201004_5"") | isAllWear(""202004_1"") | isAllWear(""202004_2"") | isAllWear(""202004_3"") | isAllWear(""202004_4"") | isAllWear(""202004_5"") | isAllWear(""204004_1"") | isAllWear(""204004_2"") | isAllWear(""204004_3"") | isAllWear(""204004_4"") | isAllWear(""204004_5"") | isAllWear(""202006_1"") | isAllWear(""202006_2"") | isAllWear(""202006_3"") | isAllWear(""202006_4"") | isAllWear(""202006_5"") | isAllWear(""204003_1"") | isAllWear(""204003_2"") | isAllWear(""204003_3"") | isAllWear(""204003_4"") | isAllWear(""204003_5"") | isAllWear(""203002_1"") | isAllWear(""203002_2"") | isAllWear(""203002_3"") | isAllWear(""203002_4"") | isAllWear(""203002_5"") | isAllWear(""203003_1"") | isAllWear(""203003_2"") | isAllWear(""203003_3"") | isAllWear(""203003_4"") | isAllWear(""203003_5"") | isAllWear(""200002_1"") | isAllWear(""200002_2"") | isAllWear(""200002_3"") | isAllWear(""200002_4"") | isAllWear(""200002_5"") | isAllWear(""204006_1"") | isAllWear(""204006_2"") | isAllWear(""204006_3"") | isAllWear(""204006_4"") | isAllWear(""204006_5"") | isAllWear(""200001_1"") | isAllWear(""200001_2"") | isAllWear(""200001_3"") | isAllWear(""200001_4"") | isAllWear(""200001_5"") | isAllWear(""200003_1"") | isAllWear(""200003_2"") | isAllWear(""200003_3"") | isAllWear(""200003_4"") | isAllWear(""200003_5"") | isAllWear(""202005_1"") | isAllWear(""202005_2"") | isAllWear(""202005_3"") | isAllWear(""202005_4"") | isAllWear(""202005_5"") | isAllWear(""200009_1"") | isAllWear(""200009_2"") | isAllWear(""200009_3"") | isAllWear(""200009_4"") | isAllWear(""200009_5"") | isAllWear(""200004_1"") | isAllWear(""200004_2"") | isAllWear(""200004_3"") | isAllWear(""200004_4"") | isAllWear(""200004_5"") | isAllWear(""200010_1"") | isAllWear(""200010_2"") | isAllWear(""200010_3"") | isAllWear(""200010_4"") | isAllWear(""200010_5"") | isAllWear(""204005_1"") | isAllWear(""204005_2"") | isAllWear(""204005_3"") | isAllWear(""204005_4"") | isAllWear(""204005_5"") | isAllWear(""201007_1"") | isAllWear(""201007_2"") | isAllWear(""201007_3"") | isAllWear(""201007_4"") | isAllWear(""201007_5"") | isAllWear(""203010_1"") | isAllWear(""203010_2"") | isAllWear(""203010_3"") | isAllWear(""203010_4"") | isAllWear(""203010_5"") | isAllWear(""204002_1"") | isAllWear(""204002_2"") | isAllWear(""204002_3"") | isAllWear(""204002_4"") | isAllWear(""204002_5"") | isAllWear(""203013_1"") | isAllWear(""203013_2"") | isAllWear(""203013_3"") | isAllWear(""203013_4"") | isAllWear(""203013_5"") | isAllWear(""203004_1"") | isAllWear(""203004_2"") | isAllWear(""203004_3"") | isAllWear(""203004_4"") | isAllWear(""203004_5"") | isAllWear(""200012_1"") | isAllWear(""200012_2"") | isAllWear(""200012_3"") | isAllWear(""200012_4"") | isAllWear(""200012_5"") | isAllWear(""201012_1"") | isAllWear(""201012_2"") | isAllWear(""201012_3"") | isAllWear(""201012_4"") | isAllWear(""201012_5"") | isAllWear(""200011_1"") | isAllWear(""200011_2"") | isAllWear(""200011_3"") | isAllWear(""200011_4"") | isAllWear(""200011_5"") | isAllWear(""203011_1"") | isAllWear(""203011_2"") | isAllWear(""203011_3"") | isAllWear(""203011_4"") | isAllWear(""203011_5"") | isAllWear(""204008_1"") | isAllWear(""204008_2"") | isAllWear(""204008_3"") | isAllWear(""204008_4"") | isAllWear(""204008_5"") | isAllWear(""203007_1"") | isAllWear(""203007_2"") | isAllWear(""203007_3"") | isAllWear(""203007_4"") | isAllWear(""203007_5"") | isAllWear(""100001_1"") | isAllWear(""100001_2"") | isAllWear(""100001_3"") | isAllWear(""100001_4"") | isAllWear(""100001_5"") | isAllWear(""101001_1"") | isAllWear(""101001_2"") | isAllWear(""101001_3"") | isAllWear(""101001_4"") | isAllWear(""101001_5"") | isAllWear(""100005_1"") | isAllWear(""100005_2"") | isAllWear(""100005_3"") | isAllWear(""100005_4"") | isAllWear(""100005_5"") | isAllWear(""101002_1"") | isAllWear(""101002_2"") | isAllWear(""101002_3"") | isAllWear(""101002_4"") | isAllWear(""101002_5"") | isAllWear(""100002_1"") | isAllWear(""100002_2"") | isAllWear(""100002_3"") | isAllWear(""100002_4"") | isAllWear(""100002_5"") | isAllWear(""101005_1"") | isAllWear(""101005_2"") | isAllWear(""101005_3"") | isAllWear(""101005_4"") | isAllWear(""101005_5"") | isAllWear(""100008_1"") | isAllWear(""100008_2"") | isAllWear(""100008_3"") | isAllWear(""100008_4"") | isAllWear(""100008_5"") | isAllWear(""101008_1"") | isAllWear(""101008_2"") | isAllWear(""101008_3"") | isAllWear(""101008_4"") | isAllWear(""101008_5"") | isAllWear(""100011_1"") | isAllWear(""100011_2"") | isAllWear(""100011_3"") | isAllWear(""100011_4"") | isAllWear(""100011_5"") | isAllWear(""101011_1"") | isAllWear(""101011_2"") | isAllWear(""101011_3"") | isAllWear(""101011_4"") | isAllWear(""101011_5"")",,
1002402,,player.level >=1,,
1002501,,"(isBattleLose(""110402"") & hasItem(""700100"") & !isEquipWith(""200003_1"",""700100"")) |(isBattleLose(""110402"") & hasItem(""700100"") & !isEquipWith(""200003_2"",""700100"")) |(isBattleLose(""110402"") & hasItem(""700100"") & !isEquipWith(""200003_3"",""700100""))",,
1002502,,"isCurrentCheckpoint(""110403"",""0"")",,
1002503,,"isAllWear(""200003_1"") | isAllWear(""200003_2"") | isAllWear(""200003_3"") | isAllWear(""200003_4"") | isAllWear(""200003_5"")",,
1002601,,getGuideProgress(10001)=999,,
1002602,,player.level >=99,,
1002701,,"player.level =11 & getCheckpointStarNum(""110302"") =3 & !hasItem(""700037"")",,
1002702,,player.level >=12,,
1002703,,"player.level =11 & getCheckpointStarNum(""110302"") =3 & !hasItem(""700037"") & getItemCount(""806001"") >=1",,
1002704,,"player.level =11 & getCheckpointStarNum(""110302"") =3 & hasItem(""700037"")",,
1002801,,"player.level =98 & isCurrentCheckpoint(""110202"",""0"") & isPlotTrigger(""200004"",""5"")",,
1002802,,player.level >=99,,
1002803,,"player.level =98 & isCurrentCheckpoint(""110202"",""0"")",,
1002901,,"(getGuideProgress(10008) <=1 & getItemCount(""603101"") >=1) | (getGuideProgress(10008) =-1 & getItemCount(""603101"") >=1)",,
1002902,,player.level >=24,,
1003001,,player.level =28,,
1003002,,player.level >=29,,
1003101,,"hasHero(""204001"",""Embattle_Copy"") & !isInBattle(""Hero_204001_1"",""Embattle_Copy"")",,
1003102,,"!hasHero(""204001"",""Embattle_Copy"") | isInBattle(""Hero_204001_1"",""Embattle_Copy"")",,
1003201,,"getBattleState(""120101"") !=0 & player.level <=14",,
1003202,,"player.level >=15 & isPlotTrigger(""200001"",""5"")",,
1003203,,"getBattleState(""120201"") =0 & player.level =14 & getFixNormalEquip(0) = 10",,
1003204,,"getBattleState(""120201"") !=0 & player.level =14 & getFixNormalEquip(0) = 10",,
1003205,,"getBattleState(""120201"") >0 & player.level =14 & getFixNormalEquip(0) = 10",,
1003206,,"getBattleState(""120201"") >0 & player.level =14 & getFixNormalEquip(0) < 10",,
3000001,,"!hasHero(""202001"",""Embattle_Copy"") & player.level =1",,
3000002,,"hasHero(""202001"",""Embattle_Copy"") | player.level >=7",,
3000101,,"hasHero(""202001"",""Embattle_Copy"") & player.level =1",,
3000102,,"isCurrentCheckpoint(""110102"",""0"") | player.level >=2",,
3000201,,"isCurrentCheckpoint(""110102"",""0"") & player.level =2 & getItemCount(""700124"") =1 & getItemCount(""700013"") =1 & getItemCount(""700073"") =1 & getItemCount(""700157"") =1 & getItemCount(""700174"") =1",,
3000202,,"isCurrentCheckpoint(""110103"",""0"") | player.level >=3",,
3000301,,"isCurrentCheckpoint(""110103"",""0"") & player.level =3 & player.quality =0",,
3000302,,player.quality >0 | player.level >=4,,
3000401,,"player.level =3 & isCurrentCheckpoint(""110103"",""0"") & player.quality =1",,
3000402,,"isCurrentCheckpoint(""110104"",""0"") | player.level >=4",,
3000501,,"isCurrentCheckpoint(""110104"",""0"") & player.level =4",,
3000502,,"isCurrentCheckpoint(""110105"",""0"") | player.level >=5",,
3000601,,"isCurrentCheckpoint(""110105"",""0"") & player.level =5 & !hasHero(""200003"",""Embattle_Copy"")",,
3000602,,"hasHero(""200003"",""Embattle_Copy"") | player.level >=6",,
3000701,,"isCurrentCheckpoint(""110105"",""0"") & player.level =5 & hasHero(""200003"",""Embattle_Copy"")",,
3000702,,"isCurrentCheckpoint(""110106"",""0"") | player.level >=6",,
3000801,,"isCurrentCheckpoint(""110106"",""0"") & player.level =6",,
3000802,,"isCurrentCheckpoint(""110201"",""0"") | player.level >=7",,
3000901,,"isCurrentCheckpoint(""110201"",""0"") & player.level =7 & !hasItem(""708001"") & player.starLevel =1",,
3000902,,"hasItem(""708001"") | player.level >=8 | player.starLevel >1",,
3001001,,"isCurrentCheckpoint(""110201"",""0"") & player.level =7 & hasItem(""708001"") & player.starLevel =1",,
3001002,,player.starLevel >1 | player.level >=8,,
3001101,,"player.starLevel >1 & isCurrentCheckpoint(""110201"",""0"") & player.level =7 & getGuideProgress(10001)>-1",,
3001102,,"isCurrentCheckpoint(""110202"",""0"") | player.level >=8 ",,
3001201,,"isCurrentCheckpoint(""110102"",""0"") & player.level =2 & getItemCount(""700124"") =0 & getItemCount(""700013"") =0 & getItemCount(""700073"") =0 & getItemCount(""700157"") =0 & getItemCount(""700174"") =0 & player.quality =0",,
3001202,,"player.level >=3 | isCurrentCheckpoint(""110103"",""0"") | player.quality >0",,
3001301,,"isCurrentCheckpoint(""110202"",""0"") & !hasItem(""708001"") & player.level =8",,
3001302,,"!isCurrentCheckpoint(""110202"",""0"") | hasItem(""708001"") | player.level >8",,
3001401,,"isCurrentCheckpoint(""110202"",""0"") & hasItem(""708001"") & player.level =8",,
3001402,,"isCurrentCheckpoint(""110203"",""0"") | player.level >8",,
3001501,,"isCurrentCheckpoint(""110203"",""0"") & player.level =9",,
3001502,,"isCurrentCheckpoint(""110204"",""0"") | player.level >9",,
3001601,,"(isCurrentCheckpoint(""110204"",""0"") & player.level =10 & getSkillLevel(""100001"",""10000101"") =1) | (isCurrentCheckpoint(""110204"",""0"") & player.level =10 & getSkillLevel(""101001"",""10100101"") =1)",,
3001602,,( & player.level =10) | ( & player.level =10),,
3001701,,"(isCurrentCheckpoint(""110204"",""0"") & player.level =10 & getGuideProgress(10001)>-1 & getSkillLevel(""100001"",""10000101"") >1) | (isCurrentCheckpoint(""110204"",""0"") & player.level =10 & getGuideProgress(10001)>-1 & getSkillLevel(""101001"",""10100101"") >1)",,
3001702,,getGuideProgress(10001)=-1 | player.level >=11,,
2000101,,"!hasHero(""202001"",""Embattle_Copy"") & player.level =1",,
2000102,,"hasHero(""202001"",""Embattle_Copy"") | player.level >=2",,
2000201,,"hasHero(""202001"",""Embattle_Copy"") & player.level =1",,
2000202,,"isCurrentCheckpoint(""110102"",""0"") | player.level >=2",,
2000301,,"isCurrentCheckpoint(""110102"",""0"") & player.level =2 & getItemCount(""700124"") =1 & getItemCount(""700013"") =1 & getItemCount(""700073"") =1 & getItemCount(""700157"") =1 & getItemCount(""700174"") =1",,
2000302,,"isCurrentCheckpoint(""110201"",""0"") | player.level >=3",,
2000401,,"isCurrentCheckpoint(""110102"",""0"") & player.level =2 & getItemCount(""700124"") =0 & getItemCount(""700013"") =0 & getItemCount(""700073"") =0 & getItemCount(""700157"") =0 & getItemCount(""700174"") =0 & player.quality =0",,
2000402,,"isCurrentCheckpoint(""110201"",""0"") | player.level >=3",,
2000501,,"isCurrentCheckpoint(""110201"",""0"") & player.level =3 & getItemCount(""700124"") =0 & getItemCount(""700013"") =0 & getItemCount(""700073"") =0 & getItemCount(""700157"") =0 & getItemCount(""700174"") =0 &  getItemCount(""700091"") =1 & player.quality =0",,
2000502,,"isCurrentCheckpoint(""110202"",""0"") | player.level >=4",,
2000601,,"isCurrentCheckpoint(""110201"",""0"") & player.level =3 & getItemCount(""700124"") =0 & getItemCount(""700013"") =0 & getItemCount(""700073"") =0 & getItemCount(""700157"") =0 & getItemCount(""700174"") =0 &  getItemCount(""700091"") =0 & player.quality =0",,
2000602,,"isCurrentCheckpoint(""110202"",""0"") | player.level >=4",,
2000701,,"(isCurrentCheckpoint(""110201"",""0"") & player.level =3 & getItemCount(""700124"") =0 & getItemCount(""700013"") =0 & getItemCount(""700073"") =0 & getItemCount(""700157"") =0 & getItemCount(""700174"") =0 &  getItemCount(""700091"") =0 & player.quality =1 & getSoulCount(""100001"") <1) | (isCurrentCheckpoint(""110201"",""0"") & player.level =3 & getItemCount(""700124"") =0 & getItemCount(""700013"") =0 & getItemCount(""700073"") =0 & getItemCount(""700157"") =0 & getItemCount(""700174"") =0 &  getItemCount(""700091"") =0 & player.quality =1 & getSoulCount(""101001"") <1) ",,
2000702,,"isCurrentCheckpoint(""110202"",""0"") | player.level >=4",,
2000801,,"(isCurrentCheckpoint(""110201"",""0"") & player.level =3 & getItemCount(""700124"") =0 & getItemCount(""700013"") =0 & getItemCount(""700073"") =0 & getItemCount(""700157"") =0 & getItemCount(""700174"") =0 &  getItemCount(""700091"") =0 & player.quality =1 & getSoulCount(""100001"") >1) | (isCurrentCheckpoint(""110201"",""0"") & player.level =3 & getItemCount(""700124"") =0 & getItemCount(""700013"") =0 & getItemCount(""700073"") =0 & getItemCount(""700157"") =0 & getItemCount(""700174"") =0 &  getItemCount(""700091"") =0 & player.quality =1 & getSoulCount(""101001"") >1)",,
2000802,,"isCurrentCheckpoint(""110202"",""0"") | player.level >=4",,
2000901,,"isCurrentCheckpoint(""110202"",""0"") & player.level =4 & !hasHero(""200003"",""Embattle_Copy"")",,
2000902,,"isCurrentCheckpoint(""110203"",""0"") | player.level >=5",,
2001001,,"isCurrentCheckpoint(""110202"",""0"") & player.level =4 & hasHero(""200003"",""Embattle_Copy"")",,
2001002,,"isCurrentCheckpoint(""110203"",""0"") | player.level >=5",,
2001101,,"isCurrentCheckpoint(""110203"",""0"") & player.level =5",,
2001102,,"isCurrentCheckpoint(""110301"",""0"") | player.level >=6",,
2001201,,"(isCurrentCheckpoint(""110301"",""0"") & player.level =6 & getSkillLevel(""100001"",""10000101"") =1) | (isCurrentCheckpoint(""110301"",""0"") & player.level =6 & getSkillLevel(""101001"",""10100101"") =1)",,
2001202,,"(isCurrentCheckpoint(""110301"",""0"") & player.level =6 & getSkillLevel(""100001"",""10000101"") >1) | (isCurrentCheckpoint(""110301"",""0"") & player.level =6 & getSkillLevel(""101001"",""10100101"") >1)",,
2001301,,"(isCurrentCheckpoint(""110301"",""0"") & player.level =6 & getSkillLevel(""100001"",""10000101"") >1) | (isCurrentCheckpoint(""110301"",""0"") & player.level =6 & getSkillLevel(""101001"",""10100101"") >1)",,
2001302,,"isCurrentCheckpoint(""110302"",""0"") | player.level >=7",,
2001401,,"isCurrentCheckpoint(""110302"",""0"") & player.level =7",,
2001402,,"isCurrentCheckpoint(""110303"",""0"") | player.level >=8",,
2001501,,"(isCurrentCheckpoint(""110303"",""0"") & player.level =8 & getSoulCount(""100001"") <19 & player.starLevel =1) |(isCurrentCheckpoint(""110303"",""0"") & player.level =8 & getSoulCount(""101001"") <19 & player.starLevel =1) ",,
2001502,,"isCurrentCheckpoint(""110304"",""0"") | player.level >=9",,
2001601,,"(isCurrentCheckpoint(""110303"",""0"") & player.level =8 & getSoulCount(""100001"") >19 & player.starLevel =1) |(isCurrentCheckpoint(""110303"",""0"") & player.level =8 & getSoulCount(""101001"") >19 & player.starLevel =1) ",,
2001602,,"isCurrentCheckpoint(""110304"",""0"") | player.level >=9",,
2001701,,"(isCurrentCheckpoint(""110303"",""0"") & player.level =8 & getSoulCount(""100001"") <19 & player.starLevel =2 & player.coinCount <70000) |(isCurrentCheckpoint(""110303"",""0"") & player.level =8 & getSoulCount(""101001"") <19 & player.starLevel =2 & player.coinCount <70000) ",,
2001702,,player.coinCount >70000 | player.level >=9,,
2001801,,"(isCurrentCheckpoint(""110303"",""0"") & player.level =8 & getSoulCount(""100001"") <19 & player.starLevel =2 & player.coinCount >70000) |(isCurrentCheckpoint(""110303"",""0"") & player.level =8 & getSoulCount(""101001"") <19 & player.starLevel =2 & player.coinCount >70000) ",,
2001802,,getGuideProgress(10001)=-1 | player.level >=9,,
2002101,,"isCurrentCheckpoint(""110305"",""0"") & hasHero(""204001"",""Embattle_Copy"") & !IsVisible(""UIGainHeroScene"")",,
2002102,,"isCurrentCheckpoint(""110306"",""0"") | getGuideProgress(10021)=-1",,
2002201,,"getBattleState(""120101"") =0 & player.level =14 & getFixNormalEquip(0) < 10",,
2002202,,"player.level >=15 & isPlotTrigger(""200001"",""5"")",,
2002301,,"getBattleState(""120201"") =0 & player.level =14 & getFixNormalEquip(0) = 10",,
2002302,,"getBattleState(""120201"") !=0 | player.level >=15",,
2002401,,isEliteOpen() & player.level = 13,,
2002402,,player.level >=14,,
2002501,,"getBattleState(""120201"") =1 & player.level =14 & getFixNormalEquip(0) = 10",,
2002502,,getFixNormalEquip(0) < 10 | player.level >=15,,
1111,,"!hasHero(""202001"",""Embattle_Copy"") | isInBattle(""Hero_202001_3"",""Embattle_Copy"")",,
1112,,"!hasHero(""200003"",""Embattle_Copy"") | isInBattle(""Hero_200003_1"",""Embattle_Copy"")",,
1113,,"!isCurrentCheckpoint(""110101"",""0"")",,
1114,,"!isCurrentCheckpoint(""110102"",""0"")",,
1010,,false,,
1011,,true,,
1115,,"!hasHero(""202001"",""Embattle_Copy"")",,
1116,,"!hasHero(""200003"",""Embattle_Copy"")",,
1117,,"!hasHero(""204001"",""Embattle_Copy"")",,
1118,,"!hasHero(""204001"",""Embattle_Copy"") | isInBattle(""Hero_204001_1"",""Embattle_Copy"")",,
1119,,"hasHero(""200003"",""Embattle_Copy"")",,
1120,,"!IsVisible(""UIRewardInfo"")",,
1121,,player.starLevel >1,,
1122,,"IsVisible(""RoleList"")",,
