key,Remarks,target,guideActType,extraParam,openConditionalID,skipConditionalID,offsetX,offsetY,handDirection,viewID,suspressDarkLayer,skipable,delayTime,checkTarget,jumpNext,isFadeIn,targetPosition,autoClickTime
100010520,,Part_OnlineGift/BtnOnlineGift,Hand_MM,100010520,1000121,1000102,-10,10,Left,UI_MainViewNew,true,,,1010,,,,
120010010,,BigGrid/BtnBattle,Hand,,1200101,1200102,-10,,Left,UI_MainViewNew,true,,,1010,,true,,
120010020,,StagePart_110301/Button/Down,Hand_MM,120010020,1200101,1200102,-10,10,Left,MainCopyView,true,,,1010,,,,
100030010,,BottomBtn/BtnRole,Hand_MM,100030010,1000301,1000302,-10,10,Right,MainCopyView,true,,,1010,,,,
100030020,,roleitem_player,Hand,,1000301,1000302,-10,10,Left,RoleList,true,,,1010,,,,
100030030,,skillBtn,Hand,,1000301,1000302,-10,10,Left,Role,true,,,1010,,,,
100030040,,upgradeHeroBtn,Hand_MM,100030040,1000301,1000302,-10,10,Left,Role,true,,,1010,,,,
100030050,,CloseBtn,Hand,,1000301,1000302,-10,10,Left,Role,true,,,1010,,true,,
100030060,,Hero_BackBt,Hand,,1000201,1000302,-10,10,Left,RoleList,true,,,1010,,,,
100020010,,,Send_Cmd,"startPlot(""110300"")",1000201,1000202,-10,10,Left,MainCopyView,true,,0.2,1010,,,,
100020020,,SilkBagbg/111/BtnSilkBag,Send_Cmd,OpenMapReward(),1000139,1000202,-10,60,Left,MainCopyView,true,,,1010,,,,
100020030,,Background/BtnGo,Hand,,1000201,1000202,-10,10,Left,UI_CopyChapterReward,true,,0.2,1010,,,,
100040010,,StageSelect/Scroll View/Grid/Part_StageSelect_2/reward/box,Hand,,1000401,1000404,5,50,Left,MainCopyView,true,,,1010,,true,,
100040020,,mapgift/PART_MapGift_3/Button1,Hand,,1000401,1000404,5,10,Left,UI_CopyRewardBox,true,,,1010,,,,
100040030,,BottomBtn/BtnRole,Hand_MM,100040030,1000402,1000404,-10,10,Right,MainCopyView,true,,,1010,,true,,
100040040,,roleitem_player,Hand_MM,100040040,1000402,1000404,-10,10,Left,RoleList,true,,,1010,,,,
100040050,,Progress Bar/AddStoneBtn,Hand_MM,100040050,1000402,1000404,-10,10,Left,Role,true,,,1010,,true,,
100040060,,UI_MsgBox(Clone)/offset/RightButton,Hand,,1000402,1000404,-10,10,Left,UIMsgBox,true,,,1010,,,,
100040070,,UI_Role(Clone)/offset/CloseBtn,Hand,,1000403,1000404,-10,10,Left,Role,true,,1.8,1011,1011,true,,
100040080,,Hero_BackBt,Hand,,1000403,1000404,-10,10,Left,RoleList,true,,,1010,,,,
100040090,,StagePart_110303/Button/Down,Hand_MM,100040090,1000403,1000404,-10,10,Left,MainCopyView,true,,,1010,,,,
100050010,,UI_Win(Clone)/ToIndex,Hand,,1000501,1000504,-10,,Left,BattleResultView,true,,,1011,1011,,,
100050020,,ChestParent_110304,Hand_MM,100050020,1000501,1000504,-10,10,Right,MainCopyView,true,,,1010,,,,
100050030,,UI_CopyBoxReward(Clone)/offset/BtnReceive,Hand,,1000501,1000504,-10,10,Right,UI_CopyBoxReward,true,,,1010,,,,
100050040,,BottomBtn/BtnRole,Hand_MM,100050040,1000501,1000504,-10,10,Left,MainCopyView,true,,,1010,,,,
100050050,,roleitem_204001,Hand,,1000501,1000504,-10,10,Left,RoleList,true,,,1000503,,,,
100050060,,roleitem_204001,Hand_MM,100050060,1000502,1000504,-10,10,Left,RoleList,true,,0.2,1010,,,,
100050070,,name/exp/Button,Hand,,1000502,1000504,-10,10,Left,Role,true,,,1010,,,,
100050080,,Btn_OneKeyGrowUp,Hand,,1000502,1000504,-10,10,Left,FastUpgrade,true,,,1010,,,,
100050090,,CloseBtn,Hand,,1000502,1000504,-10,10,Left,Role,true,,,1010,,true,,
100050100,,Hero_BackBt,Hand,,1000502,1000504,-10,10,Left,RoleList,true,,,1010,,,,
100050110,,BottomBtn/BtnFormation,Hand_MM,100050110,1000502,1000504,-10,10,Right,MainCopyView,true,,,1010,,,,
100050120,,Hero_204001_1,Hand,,1000502,1000504,-10,10,Left,EmbattleView,true,,,1010,,,,
100050130,,UI_Team(NEW)(Clone)/Adapter3/SingleTeamOperate/Qieding,Hand,,1000502,1000504,-10,10,Left,EmbattleView,true,,,1010,,true,,
100050140,,StagePart_110305/Button/Down,Hand,,1000502,1000504,-10,10,Left,MainCopyView,true,,,1010,,,,
100060010,,BottomBtn/BtnRole,Hand_MM,100060010,1000601,1000602,-10,10,Right,MainCopyView,true,,,1010,,,,
100060020,,roleitem_202001,Hand,giveItem(1002701),1000601,1000602,-10,10,Left,RoleList,true,,,1010,,,,
100060030,,equip_700025,Hand_MM,100060030,1000601,1000602,-10,10,Left,Role,true,,,1010,,true,,
100060040,,110302/Btn,Hand,,1000601,1000602,-10,10,Left,EquipInfo,true,,,1010,,true,,
100060050,,SweepPanel/Sweep_Once,Hand_MM,100060050,1000603,1000602,-10,10,Left,CopyLevelDetailsView,true,,0.3,1010,,true,,
100060060,,UI_Sweep(Clone)/offset/Btns/Btn_Close,Hand,,1000604,1000602,-10,10,Left,CopySweepView,true,,,1010,,,,
100060070,,UI_LevelIntro(Clone)/Intro_BackBt,Hand,,1000604,1000602,-10,10,Left,CopyLevelDetailsView,true,,,1010,,,,
100060080,,UI_EquipInfo(Clone)/offset/EquipBtn,Hand,,1000604,1000602,-10,10,Left,EquipInfo,true,,,1010,,true,,
100060090,,tabEquip/SmeltingBtn,Hand,,1000605,1000607,-10,,Left,Role,true,,,1010,,,,
100060100,,tabEquip/SmeltingBtn,Hand,,1000605,1000606,-10,,Left,Role,true,,,1010,,,,
100220000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1002201,1002202,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
100220010,,,Send_Cmd,"startPlot(""200001"")",1002201,1002202,-10,10,Left,UI_MainViewNew,true,,,1010,,,,
100220020,,MainPlayerPos,Hand,,1002203,1002202,,150,Left,UI_MainViewNew,true,,,1010,,,,
100220030,,player/career,Hand,,1002201,1002202,-10,,Left,Role,true,,,1010,,,,
100220040,,,Send_Cmd,"startPlot(""200002"")",1002201,1002202,-10,10,Left,Career,true,,,1010,,,,
100220050,,UI_UpgradeQuality(Clone)/offset/CloseBtn,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",1002205,1002204,-10,,Left,RoleAdvance,true,,1.2,1011,1011,,,
100220060,,,Send_Cmd,"startPlot(""200003"")",1002205,1002204,-10,10,Left,UI_MainViewNew,true,true,,1011,,,,
300010000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3000101,3000102,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300010020,,BigGrid/BtnArena,Hand_MM,300010020,3000101,3000102,-20,10,Left,UI_MainViewNew,true,,,1010,,,,
300010030,,Zuo,Hand,,3000101,3000102,-10,10,Left,UIPVPEntry,true,,,1010,,true,,
300010040,,TiaoZhan/YouBian/Button,Hand,,3000101,3000102,-10,,Left,CareerArena,true,,,1010,,,,
300020000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3000201,3000202,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300020010,,BigGrid/BtnBattle,Hand_MM,300020010,3000201,3000202,-10,,Left,UI_MainViewNew,true,,,1011,1011,,,
300020020,,DownButtonPanel/EliteButton,Hand,,3000201,3000202,-10,,Left,MainCopyView,true,,,1010,,,,
300020030,,StagePart_120101/Button/Up,Hand_MM,300020030,3000200,3000202,-10,60,Left,MainCopyView,true,,,1010,,,,
300020040,,UI_Team(NEW)(Clone)/Adapter3/SingleTeamOperate/ChuZhan,Hand,,3000201,3000202,5,10,Left,EmbattleView,true,,,1010,,,,
300030000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3000301,3000302,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300030010,,BigGrid/BtnExercise,Hand_MM,300030010,3000301,3000302,-10,10,Left,UI_MainViewNew,true,,,1010,,,,
300030020,,GridPVE_Top/PveItem_0,Hand,,3000301,3000302,-10,10,Left,UIPVEEntry,true,,,1010,,,,
300030030,,NanDu/PART_Degree1,Hand,,3000301,3000302,100,10,Left,UIPVETrial2,true,,,1010,,,,
300040000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3000401,3000402,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300040010,,TopGrid/BtnDaily,Hand_MM,300040010,3000401,3000402,-10,,Right,UI_MainViewNew,true,,,1010,,,,
300040020,,UI_DailyActivity(Clone)/ListView/ContentView/20195_1,Hand,,3000401,3000402,-10,10,Left,UIDailyView,true,,,1010,,,,
300050000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3000501,3000502,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300050010,,Switch/BtnSwitch,Hand,,3000501,3000502,-10,,Right,UI_MainViewNew,true,,,1010,,,,
300050020,,PART_ActionIcon/offset/Fashion/Button,Hand_MM,300050020,3000501,3000502,-10,,Left,UI_MainViewNew,true,,,1010,,,,
300050030,,Grid/PartFashionItem_3/offset/button_pulldown,Hand,,3000501,3000502,-10,,Left,Fashion,true,,,1010,,,,
300060000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3000601,3000602,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300060010,,BigGrid/BtnExercise,Hand_MM,300060010,3000601,3000602,-10,10,Left,UI_MainViewNew,true,,,1010,,,,
300060020,,GridPVE_Top/PveItem_2,Hand,,3000601,3000602,-10,10,Left,UIPVEEntry,true,,,1010,,,,
300070000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3000701,3000702,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300070010,,BigGrid/BtnExercise,Hand_MM,300070010,3000701,3000702,-10,10,Left,UI_MainViewNew,true,,,1010,,,,
300070020,,GridPVE_Top/PveItem_1,Hand,,3000701,3000702,-10,10,Left,UIPVEEntry,true,,,1010,,,,
300070030,,Part_FamItem_1/Btn_Dekaron,Hand,,3000701,3000702,-10,10,Left,UIUnendingWar,true,,,1010,,,,
300070040,,Part_MagicItems_2/Btn_Dekaron,Hand,,3000701,3000702,-10,10,Left,UI_MagicFamDekaron,true,true,,1010,,,,
300070050,,UI_MagicWin(Clone)/offset/Btn_Next,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3000703,3000702,-10,,Left,UI_MagicFamWin,true,,,1010,,,,
300080010,,Switch/BtnSwitch,Hand,,3000801,3000802,-10,,Right,UI_MainViewNew,true,,,1010,,,,
300080020,,SmallGrid/BtnMagic,Hand_MM,300080020,3000801,3000802,-10,,Left,UI_MainViewNew,true,,,1010,,,,
300080030,,603101_1,Hand,,3000801,3000802,-10,,Left,New_UI_MagicWeapon,true,,,1010,,,,
300080040,,RightContainer/Wupinxinxi/Anniu2/PaiHangBang,Hand,,3000801,3000802,-10,,Left,New_UI_MagicWeapon,true,,,1010,,,,
300080050,,UI_MagicStrengthenView(Clone)/offset/Zidongqianghua,Hand_MM,300080050,3000801,3000802,-10,,Left,UI_MagicStrengthenView,true,,,1010,,,,
300080060,,UI_MagicWeaponAutoSTView(Clone)/offset/BtnSure,Hand,,3000801,3000802,-10,,Left,UI_MagicWeaponAutoSTView,true,,,1010,,,,
300080070,,UI_MagicStrengthenView(Clone)/offset/Zidongqianghua,Hand_MM,300080070,3000801,3000802,-10,,Left,UI_MagicStrengthenView,true,,,1010,,,,
300080080,,UI_MagicAdancedSuccess(Clone)/offset/Button,Hand,,3000803,3000802,-10,,Left,UI_MagicAdancedSuccess,true,true,,1010,,,,
300080090,,UI_MagicStrengthenView(Clone)/offset/ButtonTuichu,Hand,,3000803,3000802,-10,,Left,UI_MagicStrengthenView,true,true,,1010,,,,
300080100,,RightContainer/Wupinxinxi/Anniu2/TuiJian,Hand_MM,300080100,3000803,3000802,-10,,Left,New_UI_MagicWeapon,true,,,1010,,,,
300090000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3000901,3000902,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300090010,,Switch/BtnSwitch,Hand,300090010,3000901,3000902,-10,,Right,UI_MainViewNew,true,,,1010,,,,
300090020,,SmallGrid/BtnFriend,Hand,,3000901,3000902,-10,10,Right,UI_MainViewNew,true,,,1010,,,,
300090030,,tabList/recommend,Hand,,3000901,3000902,-10,10,Right,Friend,true,,,1010,,,,
300100000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3001001,3001002,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300100010,,Switch/BtnSwitch,Hand_MM,300100010,3001001,3001002,-10,,Right,UI_MainViewNew,true,,,1010,,,,
300100020,,SmallGrid/BtnGroup,Hand,,3001001,3001002,-10,10,Left,UI_MainViewNew,true,,,1010,,,,
300110000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3001101,3001102,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300110010,,BigGrid/BtnExercise,Hand_MM,300110010,3001101,3001102,-10,10,Left,UI_MainViewNew,true,,,1010,,,,
300110020,,GridPVE_Top/PveItem_3,Hand,,3001101,3001102,-10,10,Left,UIPVEEntry,true,,,1010,,,,
300120000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3001201,3001202,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300120010,,BigGrid/BtnExercise,Hand_MM,300120010,3001201,3001202,-10,10,Left,UI_MainViewNew,true,,,1010,,,,
300120020,,GridPVE_Bottom/PveItem_5,Hand,,3001201,3001202,-10,10,Left,UIPVEEntry,true,,,1010,,,,
300130000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3001301,3001302,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300130010,,BottomBtn/BtnRole,Hand_MM,300130010,3001301,3001302,-10,10,Right,UI_MainViewNew,true,,,1010,,,,
300130020,,roleitem_player,Hand,giveItem(300130010),3001301,3001302,-10,10,Left,RoleList,true,,,1010,,,,
300130030,,BaoShi,Hand,,3001301,3001302,-10,,Left,Role,true,,,1010,,,,
300130040,,UI_Inlay(Clone)/offset/XiangQian,Hand,,3001303,3001302,-10,10,Left,UIInlay,true,,,1010,,,,
300140000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3001401,3001402,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300140010,,Switch/BtnSwitch,Hand_MM,300140010,3001401,3001402,-10,,Right,UI_MainViewNew,true,,,1010,,,,
300140020,,SmallGrid/BtnGroup,Hand,,3001401,3001402,-10,10,Left,UI_MainViewNew,true,,,1010,,,,
300140030,,SecretArea_Building,Hand,,3001401,3001402,-10,105,Left,MainView,true,,,1010,,,,
300150000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3001501,3001502,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300150010,,BigGrid/BtnArena,Hand_MM,300150010,3001501,3001502,-20,10,Left,UI_MainViewNew,true,,,1010,,,,
300150020,,ZhongJian,Hand,,3001501,3001502,-10,10,Left,UIPVPEntry,true,,,1010,,,,
300160010,,tabEquip/SmeltingBtn,Hand_MM,300160010,3001601,3001602,-10,,Left,Role,true,,,1010,,,,
300170010,,UI_Win(Clone)/ToIndex,Hand,,3001701,3001702,-10,10,Left,BattleResultView,true,,,1011,1011,,,
300170020,,PullDown/pulldown,Hand_MM,300170020,3001701,3001702,-10,10,Left,FixLayerView,true,,,1010,,,,
300170030,,RightMainMenu/role,Hand,,3001701,3001702,-10,10,Left,FixLayerView,true,,,1010,,,,
300170040,,roleitem_200003,Hand,,3001701,3001702,-10,10,Left,RoleList,true,,,1010,,,,
300170050,,tabEquip/SmeltingBtn,Hand,,3001701,3001702,-10,,Left,Role,true,,,1010,,,,
300170060,,tabEquip/SmeltingBtn,Hand,,3001703,3001702,-10,10,Left,Role,true,,,1010,,,,
300180000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3001801,3001802,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300180010,,Switch/BtnSwitch,Hand_MM,300180010,3001801,3001802,-10,10,Right,UI_MainViewNew,true,,,1010,,,,
300180020,,Switch/BtnTaoist,Hand,,3001801,3001802,-10,10,Left,UI_MainViewNew,true,,,1010,,,,
300180030,,UI_TaoismList(Clone)/offset/Btn_Practice,Hand,,3001801,3001802,-10,10,Left,TaosistView,true,,,1010,,,,
300190000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3001901,3001902,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300190010,,PART_ActionIcon/offset/Fixequip/Button,Hand,,3001901,3001902,-10,,Left,MainView,true,,,1010,,,,
300190020,,Strengthen/Intensify/Btn_OneKey,Hand_MM,300190020,3001901,3001902,-10,,Left,UIFixEquip,true,,,1010,,,,
300190030,,Grid/Part_FixEquipItem(Clone),Hand_MM,300190030,3001903,3001904,-10,10,Left,UIFixEquip,true,,,1010,,,,
300190040,,120201/Btn,Hand,,3001903,3001904,-10,10,Left,UIItemGainWithIcon,true,,,1010,,,,
300200000,,ViewBg/RoleLevelUpgrade,Hand,"if_then_else(isBattling(),JumpBackFromBattle(),ShowMainView())",3002001,3002002,120,-235,Left,RoleLevelUpgrade,true,,,1011,1011,,,
300200010,,BigGrid/BtnExercise,Hand_MM,300200010,3002001,3002002,-10,10,Left,UI_MainViewNew,true,,,1010,,,,
300200020,,GridPVE_Bottom/PveItem_6,Hand,,3002001,3002002,-10,10,Left,UIPVEEntry,true,,,1010,,,,
300200030,,JinRu/BackBtn1,Hand,,3002001,3002002,-10,,Left,BattleTowerMainView,true,,,1010,,,,
300200040,,BtnContainer/BattleBtn,Hand,,3002001,3002002,-10,,Left,BattleTowerMainIntoView,true,,,1010,,,,
