key,Remarks,tip,offsetX,offsetY,mmIcon,personName,audio
100010380,,韦护决定加入我们的队伍，快去叫上他一起启程吧！,180,-95,,小狐仙,Conductress/Conductress_0016.mp3
100010420,,新的英雄加入了，队伍逐渐壮大，要记得将他也放入战阵之中一同战斗！,180,-95,,小狐仙,Conductress/Conductress_0017.mp3
100010440,,前方充满未知的危险，作为[ff0000]力士[-]的韦护能保护我们。,-15,,,小狐仙,Conductress/Conductress_0018.mp3
100010520,,我们每在线一段时间就可以领取一份天尊发来的礼物，快去领取吧！,-115,170,,小狐仙,Conductress/Conductress_0019.mp3
100010530,,恭喜你获得了一个[80ff00]装备宝箱[-]，快去打开看看吧~！,120,,,,
100010580,,好啦，初级教学已经完成啦。不过接下来的路还很长，要继续加油哦！,-115,100,,小狐仙,Conductress/Conductress_0020.mp3
120010020,,继续挑战关卡可解锁更多功能噢~~,165,-120,,小狐仙,
100030010,,感觉到敌人越来越强了吗？别急，[ff0000]升级技能[-]也可以让自己变得更强！,180,-110,,小狐仙,Conductress/Conductress_0022.mp3
100030040,,升级之后可以强化技能的效果，在战斗中发挥更大的作用！,,,,小狐仙,Conductress/Conductress_0023.mp3
100040030,,在我们的旅途中，可以收集到[ff0000]升星材料[-]，这些材料能够提升英雄的[ff0000]星级[-]。,126,-129,,小狐仙,Conductress/Conductress_0024.mp3
100040040,,[ff0000]神族印记[-]和[ff0000]魂石[-]分别是你和英雄的升星材料，在封神途中要注意收集~~,,,,小狐仙,Conductress/Conductress_0025.mp3
100040050,,[ff0000]升星[-]将大幅提高战斗力，是很重要的提升实力的方法哦！,,,,小狐仙,Conductress/Conductress_0026.mp3
100040090,,升星成功！让我们继续旅程吧~,-20,-160,,小狐仙,
100020010,,封神过程中，可以随时去[ff0000]论道场[-]和他人切磋，检测自身实力！,160,,,小狐仙,
100050020,,我们可以从任务、关卡等奖励中获取英雄魂石，用来召唤英雄。,160,205,,小狐仙,Conductress/Conductress_0027.mp3
100050040,,现在让我们去召唤龙吉公主吧~,165,-120,,小狐仙,Conductress/Conductress_0028.mp3
100050060,,龙吉公主拥有强大的[96ff00]治疗[-]法术，在战斗中可以提高我方的生存能力！,-100,120,,小狐仙,Conductress/Conductress_0029.mp3
100060010,,扫荡功能开启，我们可以快速扫荡三星通关的关卡了,165,-120,,小狐仙,Conductress/Conductress_0031.mp3
100060020,,点击扫荡，就可以快速获得装备和经验啦~,-140,-50,,小狐仙,Conductress/Conductress_0033.mp3
100060070,,扫荡结束后如果有可穿装备，要记得给英雄穿戴上哦~,-73,,,小狐仙,
100070010,,将龙吉公主放入战阵之中，一同战斗吧。,165,-120,,小狐仙,Conductress/Conductress_0030.mp3
100220030,,现在你可以选择喜欢的职业进行[FF0000]转职[-]了。,-225,-99,SmallTex/Dialog/tx_202001,姜子牙,
100220040,,每种职业在战斗中有不同的能力，站位也不同。,-270,-150,SmallTex/Dialog/tx_202001,姜子牙,
100220050,,职业分为[FF0000]力士[-]、[FF0000]行者[-]、[FF0000]术士[-]与[FF0000]射手[-]，查看职业介绍后选择自己喜欢的职业吧。,-270,-150,SmallTex/Dialog/tx_202001,姜子牙,
100220070,,转职成功，去关卡中体验你的新职业吧！,,,SmallTex/Dialog/tx_202001,姜子牙,
300010010,,封神过程中，可以随时去[ff0000]论道场[-]和他人切磋，检测自身实力！,220,-70,,小狐仙,
300020010,,[ff0000]精英关卡[-]比普通关卡的难度更高，当然奖励也更加丰厚！,,-50,,小狐仙,
300020030,,可以挑战[ff0000]精英关卡[-]了，感受一下更高难度的战斗吧！,-170,40,,小狐仙,
300030010,,据说仙界有一处[ff0000]聚宝之地[-]，能够通过财神的考验就能带走财宝！,,-50,,小狐仙,
300040010,,"我计划了一份[ff0000]日常任务[-]，完成可获得丰富经验,快速成长！",170,-70,,小狐仙,
300050020,,出门在外当然也要穿出个性！我知道一家[ff0000]时装[-]店，带你去看看吧~,,-110,,小狐仙,
300060010,,炼气山谷是一个会聚集灵气的宝地，我们可以在那采集灵气丹药，但要小心妖怪！,,-80,,小狐仙,
300070010,,乾坤幻境是一处混沌之地，在这里可以收集到上古材料以强化法宝！,,-50,,小狐仙,
300080020,,恭喜完成乾坤幻境的挑战，我在那发现了个新法宝，去看看吧！,250,,,小狐仙,
300080040,,让我们换上新法宝赤炎幡看看吧！,,,,小狐仙,
300080050,,让我们试试强化法宝,,,,小狐仙,
300080070,,每次进化都需要进阶材料，不同品质的进化材料还不同的哦！,-130,,,小狐仙,
300090010,,一个人的日子多无聊啊，让我们去找几位[ff0000]好友一起[-]游戏吧！,310,-55,,小狐仙,
300100010,,有许多有志之士自发组建了帮派，加入或者创立帮派，就可以与他们一起共伐妖仙啦！,180,-70,,小狐仙,
300110010,,上古神族将许多怪物封印在昆仑和蓬莱作为修炼之用，我们也去那修炼吧！,180,-70,,小狐仙,
300120010,,通天教主布下的万仙阵据说无人能破，但以你救世主的实力一定能打破万仙阵！,100,-80,,小狐仙,
300130010,,把带有法力的宝石镶嵌到装备上，可以额外增加装备属性，去镶嵌试试吧！,100,-50,,小狐仙,
300140010,,由探子回报，异空间中的秘境藏有大量上古神族的宝物，我们一起去哪探险吧！,-245,,,小狐仙,
300150010,,你的努力得到仙人界的认可，现在可有资格进入巅峰竞技场了。,,-80,,小狐仙,
300160010,,穿上6件装备后，就可点击进阶啦！进阶后英雄的战斗力会获得提升,-73,120,,小狐仙,
300170020,,优先让上阵英雄穿上装备，是获胜的必要条件。另外技能与英雄等级也至关重要。,,100,,小狐仙,
300180010,,道术开启啦！我点进去看看吧！,-90,160,,小狐仙,
300190040,,神器升级之后可以增加战力，到一定等级还可以进阶成更高级的神器！,-24,-50,,小狐仙,
300190050,,神器的材料已经收集完毕啦~我们去看看这些材料的用途吧！,-24,80,,小狐仙,
300200010,,现在可以进入封神台啦！封神台内可以获得大量宝石，快去挑战吧！,-40,-52,,小狐仙,
300210010,,[ffbb00]心魔录[-]开启啦，在心魔录中挑战英雄的心魔可以获得[ffbb00]英雄魂石[-]！,100,-80,,小狐仙,
300210040,,点击[ffbb00]创建房间[-]，等待队友进入或者点击快速加入，快速匹配一起挑战心魔录的队友！,100,,,小狐仙,
300210070,,队友都准备就绪了，我们赶紧开战吧！,-25,-232,,小狐仙,
300220010,,无论战斗胜利或失败都能获得一定论道场积分奖励，达到一定积分可领取奖励！,,,,小狐仙,
300230030,,[ffbb00]法宝进化[-]开启啦！进化数次后可改变法宝外观！,250,,,小狐仙,
300230050,,消耗一定数量的同类法宝，即可进化,,,,小狐仙,
300240010,,[ffbb00]神器觉醒[-]开启啦！神器觉醒可提升神器星级，大幅提升神器属性！,,,,小狐仙,
300240040,,选择神器页签,,,,小狐仙,
300240070,,觉醒商店每天都可进行1次免费购买,,,,小狐仙,
300250010,,你的努力得到仙人界的认可，现在有资格进入巅峰竞技场了。,,,,小狐仙,
300250040,,根据你的战斗力选择对手进行挑战吧！,-100,50,,小狐仙,
300250080,,战斗结束别忘了在这里领取你的奖励哦~！,,,,小狐仙,
300250120,,巅峰竞技场获得的积分材料可以用于附灵，快去试试吧~!,50,-200,,小狐仙,
300250150,,装备和灵石都可以用于附灵，灵石可以获得大量的附灵经验，现在我们先试试用灵石附灵吧~,310,-10,,小狐仙,
300250160,,再点击附灵按钮就可以啦，记得经常附灵提升战斗力哦~,310,-10,,小狐仙,
