key,Remarks,uniqueId,level,maxLevel,floor,minFightingRatio,maxFightingRatio,robotId,fk,fk1,fk2
165,,165,37,37,15,1.05,1.15,614,38,185700,204270
166,,166,38,38,1,0.45,0.55,615,27,196756,98378
167,,167,38,38,2,0.55,0.65,616,27,196756,118053
168,,168,38,38,3,0.65,0.75,617,30,196756,137729
169,,169,38,38,4,0.75,0.85,618,34,196756,157404
170,,170,38,38,5,0.85,0.95,619,34,196756,177080
171,,171,38,38,6,0.95,1.05,620,37,196756,196756
172,,172,38,38,7,0.95,1.05,621,37,196756,196756
173,,173,38,38,8,0.95,1.05,622,37,196756,196756
174,,174,38,38,9,0.95,1.05,623,37,196756,196756
175,,175,38,38,10,0.95,1.05,624,37,196756,196756
176,,176,38,38,11,1.05,1.15,625,39,196756,216431
177,,177,38,38,12,1.05,1.15,626,39,196756,216431
178,,178,38,38,13,1.05,1.15,627,39,196756,216431
179,,179,38,38,14,1.05,1.15,628,39,196756,216431
180,,180,38,38,15,1.05,1.15,629,39,196756,216431
181,,181,39,39,1,0.45,0.55,630,27,204632,102316
182,,182,39,39,2,0.55,0.65,631,27,204632,122779
183,,183,39,39,3,0.65,0.75,632,31,204632,143242
184,,184,39,39,4,0.75,0.85,633,34,204632,163705
185,,185,39,39,5,0.85,0.95,634,36,204632,184168
186,,186,39,39,6,0.95,1.05,635,38,204632,204632
187,,187,39,39,7,0.95,1.05,636,38,204632,204632
188,,188,39,39,8,0.95,1.05,637,38,204632,204632
189,,189,39,39,9,0.95,1.05,638,38,204632,204632
190,,190,39,39,10,0.95,1.05,639,38,204632,204632
191,,191,39,39,11,1.05,1.15,640,39,204632,225095
192,,192,39,39,12,1.05,1.15,641,39,204632,225095
193,,193,39,39,13,1.05,1.15,642,39,204632,225095
194,,194,39,39,14,1.05,1.15,643,39,204632,225095
195,,195,39,39,15,1.05,1.15,644,39,204632,225095
196,,196,40,40,1,0.45,0.55,645,27,230680,115340
197,,197,40,40,2,0.55,0.65,646,30,230680,138408
198,,198,40,40,3,0.65,0.75,647,34,230680,161476
199,,199,40,40,4,0.75,0.85,648,36,230680,184544
200,,200,40,40,5,0.85,0.95,649,39,230680,207612
201,,201,40,40,6,0.95,1.05,650,39,230680,230680
202,,202,40,40,7,0.95,1.05,651,39,230680,230680
203,,203,40,40,8,0.95,1.05,652,39,230680,230680
204,,204,40,40,9,0.95,1.05,653,39,230680,230680
205,,205,40,40,10,0.95,1.05,654,39,230680,230680
206,,206,40,40,11,1.05,1.15,655,41,230680,253748
207,,207,40,40,12,1.05,1.15,656,41,230680,253748
208,,208,40,40,13,1.05,1.15,657,41,230680,253748
209,,209,40,40,14,1.05,1.15,658,41,230680,253748
210,,210,40,40,15,1.05,1.15,659,41,230680,253748
211,,211,41,41,1,0.45,0.55,660,27,245276,122638
212,,212,41,41,2,0.55,0.65,661,32,245276,147165
213,,213,41,41,3,0.65,0.75,662,34,245276,171693
214,,214,41,41,4,0.75,0.85,663,37,245276,196220
215,,215,41,41,5,0.85,0.95,664,39,245276,220748
216,,216,41,41,6,0.95,1.05,665,40,245276,245276
217,,217,41,41,7,0.95,1.05,666,40,245276,245276
218,,218,41,41,8,0.95,1.05,667,40,245276,245276
219,,219,41,41,9,0.95,1.05,668,40,245276,245276
220,,220,41,41,10,0.95,1.05,669,40,245276,245276
221,,221,41,41,11,1.05,1.15,670,41,245276,269803
222,,222,41,41,12,1.05,1.15,671,41,245276,269803
223,,223,41,41,13,1.05,1.15,672,41,245276,269803
224,,224,41,41,14,1.05,1.15,673,41,245276,269803
225,,225,41,41,15,1.05,1.15,674,41,245276,269803
226,,226,42,42,1,0.45,0.55,675,30,271790,135895
227,,227,42,42,2,0.55,0.65,676,34,271790,163074
228,,228,42,42,3,0.65,0.75,677,37,271790,190253
229,,229,42,42,4,0.75,0.85,678,39,271790,217432
230,,230,42,42,5,0.85,0.95,679,40,271790,244611
231,,231,42,42,6,0.95,1.05,680,41,271790,271790
232,,232,42,42,7,0.95,1.05,681,41,271790,271790
233,,233,42,42,8,0.95,1.05,682,41,271790,271790
234,,234,42,42,9,0.95,1.05,683,41,271790,271790
235,,235,42,42,10,0.95,1.05,684,41,271790,271790
236,,236,42,42,11,1.05,1.15,685,43,271790,298969
237,,237,42,42,12,1.05,1.15,686,43,271790,298969
238,,238,42,42,13,1.05,1.15,687,43,271790,298969
239,,239,42,42,14,1.05,1.15,688,43,271790,298969
240,,240,42,42,15,1.05,1.15,689,43,271790,298969
241,,241,43,43,1,0.45,0.55,690,31,289023,144511
242,,242,43,43,2,0.55,0.65,691,34,289023,173413
243,,243,43,43,3,0.65,0.75,692,38,289023,202316
244,,244,43,43,4,0.75,0.85,693,40,289023,231218
245,,245,43,43,5,0.85,0.95,694,41,289023,260120
246,,246,43,43,6,0.95,1.05,695,42,289023,289023
247,,247,43,43,7,0.95,1.05,696,42,289023,289023
248,,248,43,43,8,0.95,1.05,697,42,289023,289023
249,,249,43,43,9,0.95,1.05,698,42,289023,289023
250,,250,43,43,10,0.95,1.05,699,42,289023,289023
251,,251,43,43,11,1.05,1.15,700,44,289023,317925
252,,252,43,43,12,1.05,1.15,701,44,289023,317925
253,,253,43,43,13,1.05,1.15,702,44,289023,317925
254,,254,43,43,14,1.05,1.15,703,44,289023,317925
255,,255,43,43,15,1.05,1.15,704,44,289023,317925
256,,256,44,44,1,0.45,0.55,705,34,306899,153449
257,,257,44,44,2,0.55,0.65,706,36,306899,184139
258,,258,44,44,3,0.65,0.75,707,39,306899,214829
259,,259,44,44,4,0.75,0.85,708,41,306899,245519
260,,260,44,44,5,0.85,0.95,709,42,306899,276209
261,,261,44,44,6,0.95,1.05,710,43,306899,306899
262,,262,44,44,7,0.95,1.05,711,43,306899,306899
263,,263,44,44,8,0.95,1.05,712,43,306899,306899
264,,264,44,44,9,0.95,1.05,713,43,306899,306899
265,,265,44,44,10,0.95,1.05,714,43,306899,306899
266,,266,44,44,11,1.05,1.15,715,45,306899,337588
267,,267,44,44,12,1.05,1.15,716,45,306899,337588
268,,268,44,44,13,1.05,1.15,717,45,306899,337588
269,,269,44,44,14,1.05,1.15,718,45,306899,337588
270,,270,44,44,15,1.05,1.15,719,45,306899,337588
271,,271,45,45,1,0.45,0.55,720,34,325404,162702
272,,272,45,45,2,0.55,0.65,721,37,325404,195242
273,,273,45,45,3,0.65,0.75,722,39,325404,227782
274,,274,45,45,4,0.75,0.85,723,41,325404,260323
275,,275,45,45,5,0.85,0.95,724,43,325404,292863
276,,276,45,45,6,0.95,1.05,725,44,325404,325404
277,,277,45,45,7,0.95,1.05,726,44,325404,325404
278,,278,45,45,8,0.95,1.05,727,44,325404,325404
279,,279,45,45,9,0.95,1.05,728,44,325404,325404
280,,280,45,45,10,0.95,1.05,729,44,325404,325404
281,,281,45,45,11,1.05,1.15,730,46,325404,357944
282,,282,45,45,12,1.05,1.15,731,46,325404,357944
283,,283,45,45,13,1.05,1.15,732,46,325404,357944
284,,284,45,45,14,1.05,1.15,733,46,325404,357944
285,,285,45,45,15,1.05,1.15,734,46,325404,357944
286,,286,46,46,1,0.45,0.55,735,34,346447,173223
287,,287,46,46,2,0.55,0.65,736,39,346447,207868
288,,288,46,46,3,0.65,0.75,737,40,346447,242512
289,,289,46,46,4,0.75,0.85,738,42,346447,277157
290,,290,46,46,5,0.85,0.95,739,44,346447,311802
291,,291,46,46,6,0.95,1.05,740,45,346447,346447
292,,292,46,46,7,0.95,1.05,741,45,346447,346447
293,,293,46,46,8,0.95,1.05,742,45,346447,346447
294,,294,46,46,9,0.95,1.05,743,45,346447,346447
295,,295,46,46,10,0.95,1.05,744,45,346447,346447
296,,296,46,46,11,1.05,1.15,745,47,346447,381091
297,,297,46,46,12,1.05,1.15,746,47,346447,381091
298,,298,46,46,13,1.05,1.15,747,47,346447,381091
299,,299,46,46,14,1.05,1.15,748,47,346447,381091
300,,300,46,46,15,1.05,1.15,749,47,346447,381091
301,,301,47,47,1,0.45,0.55,750,37,374349,187174
302,,302,47,47,2,0.55,0.65,751,39,374349,224609
303,,303,47,47,3,0.65,0.75,752,41,374349,262044
304,,304,47,47,4,0.75,0.85,753,43,374349,299479
305,,305,47,47,5,0.85,0.95,754,45,374349,336914
306,,306,47,47,6,0.95,1.05,755,46,374349,374349
307,,307,47,47,7,0.95,1.05,756,46,374349,374349
308,,308,47,47,8,0.95,1.05,757,46,374349,374349
309,,309,47,47,9,0.95,1.05,758,46,374349,374349
310,,310,47,47,10,0.95,1.05,759,46,374349,374349
311,,311,47,47,11,1.05,1.15,760,49,374349,411783
312,,312,47,47,12,1.05,1.15,761,49,374349,411783
313,,313,47,47,13,1.05,1.15,762,49,374349,411783
314,,314,47,47,14,1.05,1.15,763,49,374349,411783
315,,315,47,47,15,1.05,1.15,764,49,374349,411783
316,,316,48,48,1,0.45,0.55,765,37,388312,194156
317,,317,48,48,2,0.55,0.65,766,40,388312,232987
318,,318,48,48,3,0.65,0.75,767,42,388312,271818
319,,319,48,48,4,0.75,0.85,768,44,388312,310649
320,,320,48,48,5,0.85,0.95,769,46,388312,349480
321,,321,48,48,6,0.95,1.05,770,47,388312,388312
322,,322,48,48,7,0.95,1.05,771,47,388312,388312
323,,323,48,48,8,0.95,1.05,772,47,388312,388312
324,,324,48,48,9,0.95,1.05,773,47,388312,388312
325,,325,48,48,10,0.95,1.05,774,47,388312,388312
326,,326,48,48,11,1.05,1.15,775,49,388312,427143
327,,327,48,48,12,1.05,1.15,776,49,388312,427143
328,,328,48,48,13,1.05,1.15,777,49,388312,427143
329,,329,48,48,14,1.05,1.15,778,49,388312,427143
330,,330,48,48,15,1.05,1.15,779,49,388312,427143
331,,331,49,49,1,0.45,0.55,780,38,403007,201503
332,,332,49,49,2,0.55,0.65,781,40,403007,241804
333,,333,49,49,3,0.65,0.75,782,42,403007,282104
334,,334,49,49,4,0.75,0.85,783,44,403007,322405
335,,335,49,49,5,0.85,0.95,784,46,403007,362706
336,,336,49,49,6,0.95,1.05,785,48,403007,403007
337,,337,49,49,7,0.95,1.05,786,48,403007,403007
338,,338,49,49,8,0.95,1.05,787,48,403007,403007
339,,339,49,49,9,0.95,1.05,788,48,403007,403007
340,,340,49,49,10,0.95,1.05,789,48,403007,403007
341,,341,49,49,11,1.05,1.15,790,49,403007,443307
342,,342,49,49,12,1.05,1.15,791,49,403007,443307
343,,343,49,49,13,1.05,1.15,792,49,403007,443307
344,,344,49,49,14,1.05,1.15,793,49,403007,443307
345,,345,49,49,15,1.05,1.15,794,49,403007,443307
346,,346,50,50,1,0.45,0.55,795,39,445222,222611
347,,347,50,50,2,0.55,0.65,796,41,445222,267133
348,,348,50,50,3,0.65,0.75,797,44,445222,311655
349,,349,50,50,4,0.75,0.85,798,46,445222,356177
350,,350,50,50,5,0.85,0.95,799,48,445222,400699
351,,351,50,50,6,0.95,1.05,800,49,445222,445222
352,,352,50,50,7,0.95,1.05,801,49,445222,445222
353,,353,50,50,8,0.95,1.05,802,49,445222,445222
354,,354,50,50,9,0.95,1.05,803,49,445222,445222
355,,355,50,50,10,0.95,1.05,804,49,445222,445222
356,,356,50,50,11,1.05,1.15,805,51,445222,489744
357,,357,50,50,12,1.05,1.15,806,51,445222,489744
358,,358,50,50,13,1.05,1.15,807,51,445222,489744
359,,359,50,50,14,1.05,1.15,808,51,445222,489744
360,,360,50,50,15,1.05,1.15,809,51,445222,489744
361,,361,51,51,1,0.45,0.55,810,40,470344,235172
362,,362,51,51,2,0.55,0.65,811,42,470344,282206
363,,363,51,51,3,0.65,0.75,812,45,470344,329240
364,,364,51,51,4,0.75,0.85,813,47,470344,376275
365,,365,51,51,5,0.85,0.95,814,49,470344,423309
366,,366,51,51,6,0.95,1.05,815,50,470344,470344
367,,367,51,51,7,0.95,1.05,816,50,470344,470344
368,,368,51,51,8,0.95,1.05,817,50,470344,470344
369,,369,51,51,9,0.95,1.05,818,50,470344,470344
370,,370,51,51,10,0.95,1.05,819,50,470344,470344
371,,371,51,51,11,1.05,1.15,820,53,470344,517378
372,,372,51,51,12,1.05,1.15,821,53,470344,517378
373,,373,51,51,13,1.05,1.15,822,53,470344,517378
374,,374,51,51,14,1.05,1.15,823,53,470344,517378
375,,375,51,51,15,1.05,1.15,824,53,470344,517378
376,,376,52,52,1,0.45,0.55,825,41,490891,245445
377,,377,52,52,2,0.55,0.65,826,43,490891,294534
378,,378,52,52,3,0.65,0.75,827,45,490891,343623
379,,379,52,52,4,0.75,0.85,828,48,490891,392712
380,,380,52,52,5,0.85,0.95,829,49,490891,441801
381,,381,52,52,6,0.95,1.05,830,51,490891,490891
382,,382,52,52,7,0.95,1.05,831,51,490891,490891
383,,383,52,52,8,0.95,1.05,832,51,490891,490891
384,,384,52,52,9,0.95,1.05,833,51,490891,490891
385,,385,52,52,10,0.95,1.05,834,51,490891,490891
386,,386,52,52,11,1.05,1.15,835,54,490891,539980
387,,387,52,52,12,1.05,1.15,836,54,490891,539980
388,,388,52,52,13,1.05,1.15,837,54,490891,539980
389,,389,52,52,14,1.05,1.15,838,54,490891,539980
390,,390,52,52,15,1.05,1.15,839,54,490891,539980
391,,391,53,53,1,0.45,0.55,840,41,509609,254804
392,,392,53,53,2,0.55,0.65,841,43,509609,305765
393,,393,53,53,3,0.65,0.75,842,46,509609,356726
394,,394,53,53,4,0.75,0.85,843,49,509609,407687
395,,395,53,53,5,0.85,0.95,844,50,509609,458648
396,,396,53,53,6,0.95,1.05,845,52,509609,509609
397,,397,53,53,7,0.95,1.05,846,52,509609,509609
398,,398,53,53,8,0.95,1.05,847,52,509609,509609
399,,399,53,53,9,0.95,1.05,848,52,509609,509609
400,,400,53,53,10,0.95,1.05,849,52,509609,509609
401,,401,53,53,11,1.05,1.15,850,54,509609,560569
402,,402,53,53,12,1.05,1.15,851,54,509609,560569
403,,403,53,53,13,1.05,1.15,852,54,509609,560569
404,,404,53,53,14,1.05,1.15,853,54,509609,560569
405,,405,53,53,15,1.05,1.15,854,54,509609,560569
406,,406,54,54,1,0.45,0.55,855,41,523517,261758
407,,407,54,54,2,0.55,0.65,856,44,523517,314110
408,,408,54,54,3,0.65,0.75,857,46,523517,366461
409,,409,54,54,4,0.75,0.85,858,49,523517,418813
410,,410,54,54,5,0.85,0.95,859,51,523517,471165
411,,411,54,54,6,0.95,1.05,860,53,523517,523517
412,,412,54,54,7,0.95,1.05,861,53,523517,523517
413,,413,54,54,8,0.95,1.05,862,53,523517,523517
414,,414,54,54,9,0.95,1.05,863,53,523517,523517
415,,415,54,54,10,0.95,1.05,864,53,523517,523517
416,,416,54,54,11,1.05,1.15,865,56,523517,575868
417,,417,54,54,12,1.05,1.15,866,56,523517,575868
418,,418,54,54,13,1.05,1.15,867,56,523517,575868
419,,419,54,54,14,1.05,1.15,868,56,523517,575868
420,,420,54,54,15,1.05,1.15,869,56,523517,575868
421,,421,55,55,1,0.45,0.55,870,42,564848,282424
422,,422,55,55,2,0.55,0.65,871,45,564848,338908
423,,423,55,55,3,0.65,0.75,872,48,564848,395393
424,,424,55,55,4,0.75,0.85,873,50,564848,451878
425,,425,55,55,5,0.85,0.95,874,52,564848,508363
426,,426,55,55,6,0.95,1.05,875,54,564848,564848
427,,427,55,55,7,0.95,1.05,876,54,564848,564848
428,,428,55,55,8,0.95,1.05,877,54,564848,564848
429,,429,55,55,9,0.95,1.05,878,54,564848,564848
430,,430,55,55,10,0.95,1.05,879,54,564848,564848
431,,431,55,55,11,1.05,1.15,880,57,564848,621332
432,,432,55,55,12,1.05,1.15,881,57,564848,621332
433,,433,55,55,13,1.05,1.15,882,57,564848,621332
434,,434,55,55,14,1.05,1.15,883,57,564848,621332
435,,435,55,55,15,1.05,1.15,884,57,564848,621332
436,,436,56,56,1,0.45,0.55,885,42,575652,287826
437,,437,56,56,2,0.55,0.65,886,45,575652,345391
438,,438,56,56,3,0.65,0.75,887,48,575652,402956
439,,439,56,56,4,0.75,0.85,888,50,575652,460521
440,,440,56,56,5,0.85,0.95,889,53,575652,518086
441,,441,56,56,6,0.95,1.05,890,55,575652,575652
442,,442,56,56,7,0.95,1.05,891,55,575652,575652
443,,443,56,56,8,0.95,1.05,892,55,575652,575652
444,,444,56,56,9,0.95,1.05,893,55,575652,575652
445,,445,56,56,10,0.95,1.05,894,55,575652,575652
446,,446,56,56,11,1.05,1.15,895,58,575652,633217
447,,447,56,56,12,1.05,1.15,896,58,575652,633217
448,,448,56,56,13,1.05,1.15,897,58,575652,633217
449,,449,56,56,14,1.05,1.15,898,58,575652,633217
450,,450,56,56,15,1.05,1.15,899,58,575652,633217
451,,451,57,57,1,0.45,0.55,900,43,607655,303827
452,,452,57,57,2,0.55,0.65,901,46,607655,364593
453,,453,57,57,3,0.65,0.75,902,49,607655,425358
454,,454,57,57,4,0.75,0.85,903,51,607655,486124
455,,455,57,57,5,0.85,0.95,904,54,607655,546889
456,,456,57,57,6,0.95,1.05,905,56,607655,607655
457,,457,57,57,7,0.95,1.05,906,56,607655,607655
458,,458,57,57,8,0.95,1.05,907,56,607655,607655
459,,459,57,57,9,0.95,1.05,908,56,607655,607655
460,,460,57,57,10,0.95,1.05,909,56,607655,607655
461,,461,57,57,11,1.05,1.15,910,59,607655,668420
462,,462,57,57,12,1.05,1.15,911,59,607655,668420
463,,463,57,57,13,1.05,1.15,912,59,607655,668420
464,,464,57,57,14,1.05,1.15,913,59,607655,668420
465,,465,57,57,15,1.05,1.15,914,59,607655,668420
466,,466,58,58,1,0.45,0.55,915,44,625577,312788
467,,467,58,58,2,0.55,0.65,916,47,625577,375346
468,,468,58,58,3,0.65,0.75,917,49,625577,437903
469,,469,58,58,4,0.75,0.85,918,52,625577,500461
470,,470,58,58,5,0.85,0.95,919,54,625577,563019
471,,471,58,58,6,0.95,1.05,920,57,625577,625577
472,,472,58,58,7,0.95,1.05,921,57,625577,625577
473,,473,58,58,8,0.95,1.05,922,57,625577,625577
474,,474,58,58,9,0.95,1.05,923,57,625577,625577
475,,475,58,58,10,0.95,1.05,924,57,625577,625577
476,,476,58,58,11,1.05,1.15,925,59,625577,688134
477,,477,58,58,12,1.05,1.15,926,59,625577,688134
478,,478,58,58,13,1.05,1.15,927,59,625577,688134
