key,Remarks,floor,groupId,bossPro,markId,bossBreakEvenNum,enemyies
1,,1,1,10,1,,m_160001_1_1;m_160001_1_2;m_160001_1_3;m_160001_1_4
49,,49,17,10,4,,m_160401_1_1;m_160401_1_2;m_160401_1_3;m_160401_1_4
50,,50,17,10,4,1,m_160401_2_1;m_160401_2_2;m_160401_2_3;m_160401_2_4
51,,51,17,10,4,,m_160401_3_1;m_160401_3_2;m_160401_3_3;m_160401_3_4
52,,52,18,10,4,,m_160402_1_1;m_160402_1_2;m_160402_1_3;m_160402_1_4
53,,53,18,10,4,,m_160402_2_1;m_160402_2_2;m_160402_2_3;m_160402_2_4
54,,54,18,10,4,,m_160402_3_1;m_160402_3_2;m_160402_3_3;m_160402_3_4
55,,55,19,10,4,,m_160403_1_1;m_160403_1_2;m_160403_1_3;m_160403_1_4
56,,56,19,10,4,,m_160403_2_1;m_160403_2_2;m_160403_2_3;m_160403_2_4
57,,57,19,10,4,,m_160403_3_1;m_160403_3_2;m_160403_3_3;m_160403_3_4
58,,58,20,10,4,,m_160404_1_1;m_160404_1_2;m_160404_1_3;m_160404_1_4
59,,59,20,10,4,,m_160404_2_1;m_160404_2_2;m_160404_2_3;m_160404_2_4
60,,60,20,10,4,,m_160404_3_1;m_160404_3_2;m_160404_3_3;m_160404_3_4
61,,61,21,10,5,,m_160501_1_1;m_160501_1_2;m_160501_1_3;m_160501_1_4
62,,62,21,10,5,,m_160501_2_1;m_160501_2_2;m_160501_2_3;m_160501_2_4
63,,63,21,10,5,,m_160501_3_1;m_160501_3_2;m_160501_3_3;m_160501_3_4
64,,64,22,10,5,,m_160502_1_1;m_160502_1_2;m_160502_1_3;m_160502_1_4
65,,65,22,10,5,,m_160502_2_1;m_160502_2_2;m_160502_2_3;m_160502_2_4
66,,66,22,10,5,,m_160502_3_1;m_160502_3_2;m_160502_3_3;m_160502_3_4
67,,67,23,10,5,,m_160503_1_1;m_160503_1_2;m_160503_1_3;m_160503_1_4
68,,68,23,10,5,,m_160503_2_1;m_160503_2_2;m_160503_2_3;m_160503_2_4
69,,69,23,10,5,,m_160503_3_1;m_160503_3_2;m_160503_3_3;m_160503_3_4
70,,70,24,10,5,,m_160504_1_1;m_160504_1_2;m_160504_1_3;m_160504_1_4
71,,71,24,10,5,,m_160504_2_1;m_160504_2_2;m_160504_2_3;m_160504_2_4
72,,72,24,10,5,,m_160504_3_1;m_160504_3_2;m_160504_3_3;m_160504_3_4
73,,73,25,10,5,,m_160601_1_1;m_160601_1_2;m_160601_1_3;m_160601_1_4
74,,74,25,10,5,,m_160601_2_1;m_160601_2_2;m_160601_2_3;m_160601_2_4
75,,75,25,10,5,1,m_160601_3_1;m_160601_3_2;m_160601_3_3;m_160601_3_4
76,,76,26,10,6,,m_160602_1_1;m_160602_1_2;m_160602_1_3;m_160602_1_4
77,,77,26,10,6,,m_160602_2_1;m_160602_2_2;m_160602_2_3;m_160602_2_4
78,,78,26,10,6,,m_160602_3_1;m_160602_3_2;m_160602_3_3;m_160602_3_4
79,,79,27,10,6,,m_160603_1_1;m_160603_1_2;m_160603_1_3;m_160603_1_4
80,,80,27,10,6,,m_160603_2_1;m_160603_2_2;m_160603_2_3;m_160603_2_4
81,,81,27,10,6,,m_160603_3_1;m_160603_3_2;m_160603_3_3;m_160603_3_4
82,,82,28,10,6,,m_160604_1_1;m_160604_1_2;m_160604_1_3;m_160604_1_4
83,,83,28,10,6,,m_160604_2_1;m_160604_2_2;m_160604_2_3;m_160604_2_4
84,,84,28,10,6,,m_160604_3_1;m_160604_3_2;m_160604_3_3;m_160604_3_4
85,,85,29,10,6,,m_160701_1_1;m_160701_1_2;m_160701_1_3;m_160701_1_4
86,,86,29,10,6,,m_160701_2_1;m_160701_2_2;m_160701_2_3;m_160701_2_4
87,,87,29,10,6,,m_160701_3_1;m_160701_3_2;m_160701_3_3;m_160701_3_4
88,,88,30,10,6,,m_160702_1_1;m_160702_1_2;m_160702_1_3;m_160702_1_4
89,,89,30,10,6,,m_160702_2_1;m_160702_2_2;m_160702_2_3;m_160702_2_4
90,,90,30,10,6,,m_160702_3_1;m_160702_3_2;m_160702_3_3;m_160702_3_4
91,,91,31,10,7,,m_160703_1_1;m_160703_1_2;m_160703_1_3;m_160703_1_4
92,,92,31,10,7,,m_160703_2_1;m_160703_2_2;m_160703_2_3;m_160703_2_4
93,,93,31,10,7,,m_160703_3_1;m_160703_3_2;m_160703_3_3;m_160703_3_4
94,,94,32,10,7,,m_160704_1_1;m_160704_1_2;m_160704_1_3;m_160704_1_4
95,,95,32,10,7,,m_160704_2_1;m_160704_2_2;m_160704_2_3;m_160704_2_4
96,,96,32,10,7,,m_160704_3_1;m_160704_3_2;m_160704_3_3;m_160704_3_4
97,,97,33,10,7,,m_160801_1_1;m_160801_1_2;m_160801_1_3;m_160801_1_4
98,,98,33,10,7,,m_160801_2_1;m_160801_2_2;m_160801_2_3;m_160801_2_4
99,,99,33,10,7,,m_160801_3_1;m_160801_3_2;m_160801_3_3;m_160801_3_4
100,,100,34,10,7,1,m_160802_1_1;m_160802_1_2;m_160802_1_3;m_160802_1_4
101,,101,34,10,7,,m_160802_2_1;m_160802_2_2;m_160802_2_3;m_160802_2_4
102,,102,34,10,7,,m_160802_3_1;m_160802_3_2;m_160802_3_3;m_160802_3_4
103,,103,35,10,7,,m_160803_1_1;m_160803_1_2;m_160803_1_3;m_160803_1_4
104,,104,35,10,7,,m_160803_2_1;m_160803_2_2;m_160803_2_3;m_160803_2_4
105,,105,35,10,7,,m_160803_3_1;m_160803_3_2;m_160803_3_3;m_160803_3_4
106,,106,36,10,8,,m_160804_1_1;m_160804_1_2;m_160804_1_3;m_160804_1_4
107,,107,36,10,8,,m_160804_2_1;m_160804_2_2;m_160804_2_3;m_160804_2_4
108,,108,36,10,8,,m_160804_3_1;m_160804_3_2;m_160804_3_3;m_160804_3_4
109,,109,37,10,8,,m_160901_1_1;m_160901_1_2;m_160901_1_3;m_160901_1_4
110,,110,37,10,8,,m_160901_2_1;m_160901_2_2;m_160901_2_3;m_160901_2_4
111,,111,37,10,8,,m_160901_3_1;m_160901_3_2;m_160901_3_3;m_160901_3_4
112,,112,38,10,8,,m_160902_1_1;m_160902_1_2;m_160902_1_3;m_160902_1_4
113,,113,38,10,8,,m_160902_2_1;m_160902_2_2;m_160902_2_3;m_160902_2_4
114,,114,38,10,8,,m_160902_3_1;m_160902_3_2;m_160902_3_3;m_160902_3_4
115,,115,39,10,8,,m_160903_1_1;m_160903_1_2;m_160903_1_3;m_160903_1_4
116,,116,39,10,8,,m_160903_2_1;m_160903_2_2;m_160903_2_3;m_160903_2_4
117,,117,39,10,8,,m_160903_3_1;m_160903_3_2;m_160903_3_3;m_160903_3_4
118,,118,40,10,8,,m_160904_1_1;m_160904_1_2;m_160904_1_3;m_160904_1_4
119,,119,40,10,8,,m_160904_2_1;m_160904_2_2;m_160904_2_3;m_160904_2_4
120,,120,40,10,8,1,m_160904_3_1;m_160904_3_2;m_160904_3_3;m_160904_3_4
