key,Remarks,id,planId,level,costType,costCount,exp
87,,87,10001,87,1,0.68,54081
88,,88,10001,88,1,0.68,55902
89,,89,10001,89,1,0.68,57746
90,,90,10001,90,1,0.68,57746
91,,91,10002,1,1,0.68,70
92,,92,10002,2,1,0.68,77
93,,93,10002,3,1,0.68,85
94,,94,10002,4,1,0.68,94
95,,95,10002,5,1,0.68,102
96,,96,10002,6,1,0.68,110
97,,97,10002,7,1,0.68,118
98,,98,10002,8,1,0.68,126
99,,99,10002,9,1,0.68,134
100,,100,10002,10,1,0.68,139
101,,101,10002,11,1,0.68,144
102,,102,10002,12,1,0.68,148
103,,103,10002,13,1,0.68,153
104,,104,10002,14,1,0.68,156
105,,105,10002,15,1,0.68,160
106,,106,10002,16,1,0.68,163
107,,107,10002,17,1,0.68,359
108,,108,10002,18,1,0.68,433
109,,109,10002,19,1,0.68,506
110,,110,10002,20,1,0.68,579
111,,111,10002,21,1,0.68,651
112,,112,10002,22,1,0.68,722
113,,113,10002,23,1,0.68,863
114,,114,10002,24,1,0.68,1003
115,,115,10002,25,1,0.68,1139
116,,116,10002,26,1,0.68,1414
117,,117,10002,27,1,0.68,1541
118,,118,10002,28,1,0.68,1665
119,,119,10002,29,1,0.68,1782
120,,120,10002,30,1,0.68,1894
121,,121,10002,31,1,0.68,1933
122,,122,10002,32,1,0.68,1967
123,,123,10002,33,1,0.68,1995
124,,124,10002,34,1,0.68,2018
125,,125,10002,35,1,0.68,2098
126,,126,10002,36,1,0.68,2108
127,,127,10002,37,1,0.68,2229
128,,128,10002,38,1,0.68,2394
129,,129,10002,39,1,0.68,2596
130,,130,10002,40,1,0.68,2775
131,,131,10002,41,1,0.68,2931
132,,132,10002,42,1,0.68,3209
133,,133,10002,43,1,0.68,4015
134,,134,10002,44,1,0.68,4949
135,,135,10002,45,1,0.68,6186
136,,136,10002,46,1,0.68,6840
137,,137,10002,47,1,0.68,7542
138,,138,10002,48,1,0.68,8071
139,,139,10002,49,1,0.68,8742
140,,140,10002,50,1,0.68,9857
141,,141,10002,51,1,0.68,10500
142,,142,10002,52,1,0.68,11157
143,,143,10002,53,1,0.68,11828
144,,144,10002,54,1,0.68,12514
145,,145,10002,55,1,0.68,13214
146,,146,10002,56,1,0.68,13928
147,,147,10002,57,1,0.68,14657
148,,148,10002,58,1,0.68,15400
149,,149,10002,59,1,0.68,16157
150,,150,10002,60,1,0.68,17304
151,,151,10002,61,1,0.68,18476
152,,152,10002,62,1,0.68,19671
153,,153,10002,63,1,0.68,20890
154,,154,10002,64,1,0.68,22133
155,,155,10002,65,1,0.68,23599
156,,156,10002,66,1,0.68,25095
157,,157,10002,67,1,0.68,26619
158,,158,10002,68,1,0.68,28171
159,,159,10002,69,1,0.68,29752
160,,160,10002,70,1,0.68,31361
161,,161,10002,71,1,0.68,32999
162,,162,10002,72,1,0.68,34666
163,,163,10002,73,1,0.68,36361
164,,164,10002,74,1,0.68,38085
165,,165,10002,75,1,0.68,39837
166,,166,10002,76,1,0.68,41618
167,,167,10002,77,1,0.68,43428
168,,168,10002,78,1,0.68,45266
169,,169,10002,79,1,0.68,47133
170,,170,10002,80,1,0.68,49028
171,,171,10002,81,1,0.68,50952
172,,172,10002,82,1,0.68,52904
173,,173,10002,83,1,0.68,54885
174,,174,10002,84,1,0.68,56895
175,,175,10002,85,1,0.68,58933
176,,176,10002,86,1,0.68,60999
177,,177,10002,87,1,0.68,63095
178,,178,10002,88,1,0.68,65219
179,,179,10002,89,1,0.68,67371
180,,180,10002,90,1,0.68,67371
181,,181,10003,1,1,0.68,80
182,,182,10003,2,1,0.68,89
183,,183,10003,3,1,0.68,98
184,,184,10003,4,1,0.68,107
185,,185,10003,5,1,0.68,116
186,,186,10003,6,1,0.68,125
187,,187,10003,7,1,0.68,135
188,,188,10003,8,1,0.68,144
189,,189,10003,9,1,0.68,153
190,,190,10003,10,1,0.68,159
191,,191,10003,11,1,0.68,164
192,,192,10003,12,1,0.68,170
193,,193,10003,13,1,0.68,174
194,,194,10003,14,1,0.68,179
195,,195,10003,15,1,0.68,183
196,,196,10003,16,1,0.68,187
197,,197,10003,17,1,0.68,411
198,,198,10003,18,1,0.68,495
199,,199,10003,19,1,0.68,579
200,,200,10003,20,1,0.68,662
201,,201,10003,21,1,0.68,744
202,,202,10003,22,1,0.68,825
203,,203,10003,23,1,0.68,987
204,,204,10003,24,1,0.68,1146
205,,205,10003,25,1,0.68,1302
206,,206,10003,26,1,0.68,1616
207,,207,10003,27,1,0.68,1762
208,,208,10003,28,1,0.68,1902
209,,209,10003,29,1,0.68,2037
210,,210,10003,30,1,0.68,2165
211,,211,10003,31,1,0.68,2209
212,,212,10003,32,1,0.68,2248
213,,213,10003,33,1,0.68,2280
214,,214,10003,34,1,0.68,2307
215,,215,10003,35,1,0.68,2397
216,,216,10003,36,1,0.68,2409
217,,217,10003,37,1,0.68,2547
218,,218,10003,38,1,0.68,2736
219,,219,10003,39,1,0.68,2967
220,,220,10003,40,1,0.68,3172
221,,221,10003,41,1,0.68,3350
222,,222,10003,42,1,0.68,3668
223,,223,10003,43,1,0.68,4588
224,,224,10003,44,1,0.68,5657
225,,225,10003,45,1,0.68,7070
226,,226,10003,46,1,0.68,7817
227,,227,10003,47,1,0.68,8620
228,,228,10003,48,1,0.68,9224
229,,229,10003,49,1,0.68,9991
230,,230,10003,50,1,0.68,11265
231,,231,10003,51,1,0.68,12000
232,,232,10003,52,1,0.68,12750
233,,233,10003,53,1,0.68,13518
234,,234,10003,54,1,0.68,14301
235,,235,10003,55,1,0.68,15101
236,,236,10003,56,1,0.68,15918
237,,237,10003,57,1,0.68,16750
238,,238,10003,58,1,0.68,17600
239,,239,10003,59,1,0.68,18465
240,,240,10003,60,1,0.68,19776
241,,241,10003,61,1,0.68,21115
242,,242,10003,62,1,0.68,22481
243,,243,10003,63,1,0.68,23874
244,,244,10003,64,1,0.68,25295
245,,245,10003,65,1,0.68,26971
246,,246,10003,66,1,0.68,28680
247,,247,10003,67,1,0.68,30421
248,,248,10003,68,1,0.68,32195
249,,249,10003,69,1,0.68,34002
250,,250,10003,70,1,0.68,35842
251,,251,10003,71,1,0.68,37714
252,,252,10003,72,1,0.68,39619
253,,253,10003,73,1,0.68,41556
254,,254,10003,74,1,0.68,43526
255,,255,10003,75,1,0.68,45529
256,,256,10003,76,1,0.68,47564
257,,257,10003,77,1,0.68,49632
258,,258,10003,78,1,0.68,51733
259,,259,10003,79,1,0.68,53866
260,,260,10003,80,1,0.68,56032
261,,261,10003,81,1,0.68,58231
262,,262,10003,82,1,0.68,60462
263,,263,10003,83,1,0.68,62726
264,,264,10003,84,1,0.68,65023
265,,265,10003,85,1,0.68,67352
266,,266,10003,86,1,0.68,69714
267,,267,10003,87,1,0.68,72108
268,,268,10003,88,1,0.68,74536
269,,269,10003,89,1,0.68,76995
270,,270,10003,90,1,0.68,76995
271,,271,10004,1,1,0.68,90
272,,272,10004,2,1,0.68,100
273,,273,10004,3,1,0.68,110
274,,274,10004,4,1,0.68,120
275,,275,10004,5,1,0.68,131
276,,276,10004,6,1,0.68,141
277,,277,10004,7,1,0.68,151
278,,278,10004,8,1,0.68,162
279,,279,10004,9,1,0.68,172
280,,280,10004,10,1,0.68,179
281,,281,10004,11,1,0.68,185
282,,282,10004,12,1,0.68,191
283,,283,10004,13,1,0.68,196
284,,284,10004,14,1,0.68,201
285,,285,10004,15,1,0.68,206
286,,286,10004,16,1,0.68,210
287,,287,10004,17,1,0.68,462
288,,288,10004,18,1,0.68,557
289,,289,10004,19,1,0.68,651
290,,290,10004,20,1,0.68,744
291,,291,10004,21,1,0.68,837
292,,292,10004,22,1,0.68,928
293,,293,10004,23,1,0.68,1110
294,,294,10004,24,1,0.68,1289
295,,295,10004,25,1,0.68,1465
296,,296,10004,26,1,0.68,1818
297,,297,10004,27,1,0.68,1982
298,,298,10004,28,1,0.68,2140
299,,299,10004,29,1,0.68,2292
300,,300,10004,30,1,0.68,2435
301,,301,10004,31,1,0.68,2485
302,,302,10004,32,1,0.68,2529
303,,303,10004,33,1,0.68,2565
304,,304,10004,34,1,0.68,2595
305,,305,10004,35,1,0.68,2697
306,,306,10004,36,1,0.68,2710
307,,307,10004,37,1,0.68,2866
308,,308,10004,38,1,0.68,3078
309,,309,10004,39,1,0.68,3337
310,,310,10004,40,1,0.68,3568
311,,311,10004,41,1,0.68,3768
312,,312,10004,42,1,0.68,4126
313,,313,10004,43,1,0.68,5162
314,,314,10004,44,1,0.68,6364
315,,315,10004,45,1,0.68,7954
316,,316,10004,46,1,0.68,8794
317,,317,10004,47,1,0.68,9697
318,,318,10004,48,1,0.68,10378
319,,319,10004,49,1,0.68,11240
320,,320,10004,50,1,0.68,12673
321,,321,10004,51,1,0.68,13500
322,,322,10004,52,1,0.68,14344
323,,323,10004,53,1,0.68,15208
324,,324,10004,54,1,0.68,16089
325,,325,10004,55,1,0.68,16989
326,,326,10004,56,1,0.68,17908
327,,327,10004,57,1,0.68,18844
328,,328,10004,58,1,0.68,19800
329,,329,10004,59,1,0.68,20773
330,,330,10004,60,1,0.68,22248
331,,331,10004,61,1,0.68,23754
332,,332,10004,62,1,0.68,25291
333,,333,10004,63,1,0.68,26859
334,,334,10004,64,1,0.68,28457
335,,335,10004,65,1,0.68,30342
336,,336,10004,66,1,0.68,32265
337,,337,10004,67,1,0.68,34224
338,,338,10004,68,1,0.68,36220
339,,339,10004,69,1,0.68,38253
340,,340,10004,70,1,0.68,40322
341,,341,10004,71,1,0.68,42428
342,,342,10004,72,1,0.68,44571
343,,343,10004,73,1,0.68,46750
344,,344,10004,74,1,0.68,48967
345,,345,10004,75,1,0.68,51220
346,,346,10004,76,1,0.68,53510
347,,347,10004,77,1,0.68,55836
348,,348,10004,78,1,0.68,58199
349,,349,10004,79,1,0.68,60599
350,,350,10004,80,1,0.68,63036
351,,351,10004,81,1,0.68,65510
352,,352,10004,82,1,0.68,68020
353,,353,10004,83,1,0.68,70567
354,,354,10004,84,1,0.68,73150
355,,355,10004,85,1,0.68,75771
356,,356,10004,86,1,0.68,78428
357,,357,10004,87,1,0.68,81122
358,,358,10004,88,1,0.68,83853
359,,359,10004,89,1,0.68,86620
360,,360,10004,90,1,0.68,86620
361,,361,10005,1,1,0.68,100
362,,362,10005,2,1,0.68,111
363,,363,10005,3,1,0.68,122
364,,364,10005,4,1,0.68,134
365,,365,10005,5,1,0.68,145
366,,366,10005,6,1,0.68,157
367,,367,10005,7,1,0.68,168
368,,368,10005,8,1,0.68,180
369,,369,10005,9,1,0.68,191
370,,370,10005,10,1,0.68,199
371,,371,10005,11,1,0.68,206
372,,372,10005,12,1,0.68,212
373,,373,10005,13,1,0.68,218
374,,374,10005,14,1,0.68,224
375,,375,10005,15,1,0.68,229
376,,376,10005,16,1,0.68,234
377,,377,10005,17,1,0.68,514
378,,378,10005,18,1,0.68,619
379,,379,10005,19,1,0.68,723
380,,380,10005,20,1,0.68,827
381,,381,10005,21,1,0.68,930
382,,382,10005,22,1,0.68,1031
383,,383,10005,23,1,0.68,1234
384,,384,10005,24,1,0.68,1433
385,,385,10005,25,1,0.68,1628
386,,386,10005,26,1,0.68,2020
387,,387,10005,27,1,0.68,2202
388,,388,10005,28,1,0.68,2378
389,,389,10005,29,1,0.68,2546
390,,390,10005,30,1,0.68,2706
391,,391,10005,31,1,0.68,2761
392,,392,10005,32,1,0.68,2810
393,,393,10005,33,1,0.68,2851
394,,394,10005,34,1,0.68,2884
395,,395,10005,35,1,0.68,2997
396,,396,10005,36,1,0.68,3011
397,,397,10005,37,1,0.68,3184
398,,398,10005,38,1,0.68,3420
399,,399,10005,39,1,0.68,3708
400,,400,10005,40,1,0.68,3965
401,,401,10005,41,1,0.68,4187
402,,402,10005,42,1,0.68,4585
403,,403,10005,43,1,0.68,5736
404,,404,10005,44,1,0.68,7071
405,,405,10005,45,1,0.68,8838
406,,406,10005,46,1,0.68,9772
407,,407,10005,47,1,0.68,10775
408,,408,10005,48,1,0.68,11531
409,,409,10005,49,1,0.68,12489
410,,410,10005,50,1,0.68,14081
411,,411,10005,51,1,0.68,15000
412,,412,10005,52,1,0.68,15938
413,,413,10005,53,1,0.68,16897
414,,414,10005,54,1,0.68,17877
415,,415,10005,55,1,0.68,18877
416,,416,10005,56,1,0.68,19897
417,,417,10005,57,1,0.68,20938
418,,418,10005,58,1,0.68,22000
419,,419,10005,59,1,0.68,23081
420,,420,10005,60,1,0.68,24721
421,,421,10005,61,1,0.68,26394
422,,422,10005,62,1,0.68,28102
423,,423,10005,63,1,0.68,29843
424,,424,10005,64,1,0.68,31619
425,,425,10005,65,1,0.68,33714
426,,426,10005,66,1,0.68,35850
427,,427,10005,67,1,0.68,38027
428,,428,10005,68,1,0.68,40244
429,,429,10005,69,1,0.68,42503
430,,430,10005,70,1,0.68,44802
431,,431,10005,71,1,0.68,47142
432,,432,10005,72,1,0.68,49523
433,,433,10005,73,1,0.68,51945
434,,434,10005,74,1,0.68,54408
435,,435,10005,75,1,0.68,56911
436,,436,10005,76,1,0.68,59455
437,,437,10005,77,1,0.68,62040
438,,438,10005,78,1,0.68,64666
439,,439,10005,79,1,0.68,67333
440,,440,10005,80,1,0.68,70040
441,,441,10005,81,1,0.68,72789
442,,442,10005,82,1,0.68,75578
443,,443,10005,83,1,0.68,78408
444,,444,10005,84,1,0.68,81278
445,,445,10005,85,1,0.68,84190
446,,446,10005,86,1,0.68,87142
447,,447,10005,87,1,0.68,90136
448,,448,10005,88,1,0.68,93170
449,,449,10005,89,1,0.68,96244
450,,450,10005,90,1,0.68,96244
451,,451,10006,1,1,0.68,100
452,,452,10006,2,1,0.68,111
453,,453,10006,3,1,0.68,122
454,,454,10006,4,1,0.68,134
455,,455,10006,5,1,0.68,145
456,,456,10006,6,1,0.68,157
457,,457,10006,7,1,0.68,168
458,,458,10006,8,1,0.68,180
459,,459,10006,9,1,0.68,191
460,,460,10006,10,1,0.68,199
461,,461,10006,11,1,0.68,206
462,,462,10006,12,1,0.68,212
463,,463,10006,13,1,0.68,218
464,,464,10006,14,1,0.68,224
465,,465,10006,15,1,0.68,229
466,,466,10006,16,1,0.68,234
467,,467,10006,17,1,0.68,514
468,,468,10006,18,1,0.68,619
469,,469,10006,19,1,0.68,723
470,,470,10006,20,1,0.68,827
471,,471,10006,21,1,0.68,930
472,,472,10006,22,1,0.68,1031
473,,473,10006,23,1,0.68,1234
474,,474,10006,24,1,0.68,1433
475,,475,10006,25,1,0.68,1628
476,,476,10006,26,1,0.68,2020
477,,477,10006,27,1,0.68,2202
478,,478,10006,28,1,0.68,2378
479,,479,10006,29,1,0.68,2546
480,,480,10006,30,1,0.68,2706
481,,481,10006,31,1,0.68,2761
482,,482,10006,32,1,0.68,2810
483,,483,10006,33,1,0.68,2851
484,,484,10006,34,1,0.68,2884
485,,485,10006,35,1,0.68,2997
486,,486,10006,36,1,0.68,3011
487,,487,10006,37,1,0.68,3184
488,,488,10006,38,1,0.68,3420
489,,489,10006,39,1,0.68,3708
490,,490,10006,40,1,0.68,3965
491,,491,10006,41,1,0.68,4187
492,,492,10006,42,1,0.68,4585
493,,493,10006,43,1,0.68,5736
494,,494,10006,44,1,0.68,7071
495,,495,10006,45,1,0.68,8838
496,,496,10006,46,1,0.68,9772
497,,497,10006,47,1,0.68,10775
498,,498,10006,48,1,0.68,11531
499,,499,10006,49,1,0.68,12489
500,,500,10006,50,1,0.68,14081
501,,501,10006,51,1,0.68,15000
502,,502,10006,52,1,0.68,15938
503,,503,10006,53,1,0.68,16897
504,,504,10006,54,1,0.68,17877
505,,505,10006,55,1,0.68,18877
506,,506,10006,56,1,0.68,19897
507,,507,10006,57,1,0.68,20938
508,,508,10006,58,1,0.68,22000
509,,509,10006,59,1,0.68,23081
510,,510,10006,60,1,0.68,24721
511,,511,10006,61,1,0.68,26394
512,,512,10006,62,1,0.68,28102
513,,513,10006,63,1,0.68,29843
514,,514,10006,64,1,0.68,31619
515,,515,10006,65,1,0.68,33714
516,,516,10006,66,1,0.68,35850
517,,517,10006,67,1,0.68,38027
518,,518,10006,68,1,0.68,40244
519,,519,10006,69,1,0.68,42503
520,,520,10006,70,1,0.68,44802
521,,521,10006,71,1,0.68,47142
522,,522,10006,72,1,0.68,49523
523,,523,10006,73,1,0.68,51945
524,,524,10006,74,1,0.68,54408
525,,525,10006,75,1,0.68,56911
526,,526,10006,76,1,0.68,59455
527,,527,10006,77,1,0.68,62040
528,,528,10006,78,1,0.68,64666
529,,529,10006,79,1,0.68,67333
530,,530,10006,80,1,0.68,70040
531,,531,10006,81,1,0.68,72789
532,,532,10006,82,1,0.68,75578
533,,533,10006,83,1,0.68,78408
534,,534,10006,84,1,0.68,81278
535,,535,10006,85,1,0.68,84190
536,,536,10006,86,1,0.68,87142
537,,537,10006,87,1,0.68,90136
538,,538,10006,88,1,0.68,93170
539,,539,10006,89,1,0.68,96244
540,,540,10006,90,1,0.68,96244
