key,Remarks,name1,name2,name3
196,,,无限,
197,,,龙爪,
198,,,圣儒,
199,,,凶虎,
200,,,绝叫,
201,,,皇龙,
202,,,爆碎,
203,,,暴风,
204,,,灵心,
205,,,炼心,
206,,,绝代,
207,,,无痕,
208,,,刻骨,
209,,,奔雷,
210,,,虎凤,
211,,,惊天,
212,,,灭神,
213,,,兽王,
214,,,洗髓,
215,,,无上,
216,,,同悲,
217,,,焚天,
218,,,准提,
219,,,巨灵,
220,,,问情,
221,,,问心,
222,,,法性,
223,,,豹族,
224,,,断情,
225,,,玄凤,
226,,,光明,
227,,,天罗,
228,,,流明,
229,,,水镜,
230,,,无极,
231,,,玄阳,
232,,,金刚,
233,,,易筋,
234,,,寰宇,
235,,,盖世,
236,,,圆通,
237,,,绝命,
238,,,霹雳,
239,,,飞仙,
240,,,镜月,
241,,,极火,
242,,,大海,
243,,,毒龙,
244,,,飞虎,
245,,,战虎,
246,,,旋风,
247,,,战豹,
248,,,战神,
249,,,须弥,
250,,,陨日,
251,,,银月,
252,,,风云,
253,,,风刃,
254,,,逆天,
255,,,掩日,
256,,,狂浪,
257,,,血雾,
258,,,灵霄,
259,,,阿含,
260,,,暗影,
261,,,天外,
262,,,摧岳,
263,,,黄沙,
264,,,阎罗,
265,,,丹心,
266,,,孤灯,
267,,,蚀肉,
268,,,战龙,
269,,,青霜,
270,,,不二,
271,,,渡缘,
272,,,半月,
273,,,焚月,
274,,,解脱,
275,,,灭世,
276,,,赤星,
277,,,断肠,
278,,,墨霜,
279,,,炼气,
280,,,金龙,
281,,,狂龙,
282,,,巨龙,
283,,,烈光,
284,,,赤云,
285,,,血光,
286,,,斩海,
287,,,斩情,
288,,,陨星,
289,,,天龙,
290,,,托月,
291,,,墨羽,
292,,,灵龙,
293,,,太虚,
294,,,天狼,
295,,,蚀日,
296,,,邪风,
297,,,天道,
298,,,奇木,
299,,,赤凤,
300,,,轩辕,
301,,,紫雾,
302,,,双龙,
303,,,伏羲,
304,,,涅槃,
305,,,极意,
306,,,傲世,
307,,,贯清,
308,,,轮迴,
309,,,金虹,
310,,,飞花,
311,,,问缘,
312,,,豹社,
313,,,云浪,
314,,,青龙,
315,,,玉鼎,
316,,,崩山,
317,,,鹰帮,
318,,,烈火,
319,,,青涛,
320,,,鹰界,
321,,,蜘蛛,
322,,,日月,
323,,,尸骨,
324,,,飞羽,
325,,,闇云,
326,,,青霞,
327,,,战狼,
328,,,无影,
329,,,光龙,
330,,,至高,
331,,,穿空,
332,,,清风,
333,,,太极,
334,,,长虹,
335,,,震天,
336,,,天马,
337,,,罗汉,
338,,,掣雷,
339,,,鱼龙,
340,,,紫雷,
341,,,飞凤,
342,,,焚野,
343,,,紫霄,
344,,,元始,
345,,,凄煌,
346,,,青羽,
347,,,铁翼,
348,,,天煞,
349,,,太乙,
350,,,神鹰,
351,,,血阳,
352,,,天蛛,
353,,,真空,
354,,,白羽,
355,,,焚城,
356,,,真元,
357,,,飞豹,
358,,,悲问,
359,,,玄武,
360,,,活杀,
361,,,玄雾,
362,,,白月,
363,,,真龙,
364,,,辟邪,
365,,,焚魂,
366,,,风火,
367,,,狂涛,
368,,,万丈,
369,,,断魂,
370,,,星月,
371,,,盘古,
372,,,计都,
373,,,白虎,
374,,,如意,
375,,,空蝉,
376,,,苍龙,
377,,,缘灭,
378,,,飞龙,
379,,,金虎,
380,,,问世,
381,,,碎骨,
382,,,乾元,
383,,,兽心,
384,,,蛟龙,
385,,,玄阴,
386,,,天日,
387,,,血云,
388,,,雷霆,
389,,,龙村,
390,,,残阳,
391,,,阴阳,
392,,,金蝉,
393,,,烈日,
394,,,烈阳,
395,,,螳螂,
396,,,逆练,
397,,,雄狮,
398,,,混元,
399,,,南无,
400,,,天凤,
401,,,万里,
402,,,重生,
403,,,雪狐,
404,,,血魔,
405,,,天问,
406,,,十方,
407,,,龙捲,
408,,,无双,
409,,,白阳,
410,,,紫霞,
411,,,凶灵,
412,,,坎水,
413,,,紫光,
414,,,轰天,
415,,,飞鹰,
416,,,虎爪,
417,,,不灭,
418,,,千仞,
419,,,圆融,
420,,,真武,
421,,,童子,
422,,,摧魂,
423,,,拂柳,
424,,,苍空,
425,,,地煞,
426,,,绝对,
427,,,五行,
428,,,银羽,
429,,,缠身,
430,,,震雷,
431,,,天浪,
432,,,仁王,
433,,,噬魂,
434,,,天悲,
435,,,金光,
436,,,桃花,
437,,,星罗,
438,,,蟠龙,
439,,,天元,
440,,,五蕴,
441,,,梵剑,
442,,,六壬,
443,,,飞虹,
444,,,紫霜,
445,,,修罗,
446,,,闇影,
447,,,坤地,
448,,,昭天,
449,,,银光,
450,,,天极,
451,,,无常,
452,,,极乐,
453,,,圣兽,
454,,,飞蝎,
455,,,玄霜,
456,,,惊雷,
457,,,秘传,
458,,,幽灵,
459,,,虎豹,
460,,,无垢,
461,,,双极,
462,,,如来,
463,,,转日,
464,,,蚀魂,
465,,,残枫,
466,,,大衍,
467,,,凌霄,
468,,,玄雷,
469,,,不败,
470,,,雨霖,
471,,,地狱,
472,,,渡业,
473,,,渡罪,
474,,,虎啸,
475,,,慾天,
476,,,血涛,
477,,,翠虹,
478,,,惊虹,
479,,,毒蛾,
480,,,火网,
481,,,穿日,
482,,,闼婆,
483,,,不动,
484,,,凤居,
485,,,金阳,
486,,,截脉,
487,,,龙吟,
488,,,阴风,
489,,,青光,
490,,,碧霞,
491,,,断筋,
492,,,风雷,
493,,,十绝,
494,,,血炎,
495,,,斩钢,
496,,,神梦,
497,,,火蚕,
498,,,清静,
499,,,哭魂,
500,,,苍雷,
501,,,千鸟,
502,,,玄羽,
503,,,夺魂,
504,,,地藏,
505,,,千山,
506,,,罗喉,
507,,,惊情,
508,,,龙王,
509,,,冷蛇,
510,,,日扬,
511,,,天岛,
512,,,赤炎,
513,,,妖灵,
514,,,生死,
515,,,赤霞,
516,,,飞星,
517,,,白骨,
518,,,星象,
519,,,罗王,
520,,,青炎,
521,,,陀罗,
522,,,托天,
523,,,穿心,
524,,,无相,
525,,,八方,
526,,,无悔,
527,,,天照,
528,,,鹰,
529,,,青虹,
530,,,闇炎,
531,,,烛龙,
532,,,虹光,
533,,,枯禅,
534,,,追日,
535,,,曦和,
536,,,月读,
537,,,毒蛇,
538,,,断岳,
539,,,金涛,
540,,,明心,
541,,,紫羽,
542,,,钢翼,
543,,,玄炎,
544,,,星宿,
545,,,血月,
546,,,苍焰,
547,,,封脉,
548,,,皇涯,
549,,,南斗,
550,,,摧山,
551,,,儒风,
552,,,稻妻,
553,,,飞霜,
554,,,金童,
555,,,银霜,
556,,,屠仙,
557,,,掩月,
558,,,癸水,
559,,,飞狐,
560,,,疾风,
561,,,锁心,
562,,,连环,
563,,,风沙,
564,,,暴雨,
565,,,金狮,
566,,,绝世,
567,,,转生,
568,,,缠丝,
569,,,伏魔,
570,,,天残,
571,,,水仙,
572,,,阿鼻,
573,,,无妄,
574,,,玉女,
575,,,血海,
576,,,旋锋,
577,,,白日,
578,,,迦蓝,
579,,,冰锋,
580,,,兽皇,
581,,,无定,
582,,,钢骨,
583,,,天哲,
584,,,昇龙,
585,,,冰火,
586,,,丽炎,
587,,,流离,
588,,,狮子,
589,,,罗刹,
590,,,惊世,
591,,,青云,
592,,,血鸦,
593,,,翔龙,
594,,,狼牙,
595,,,断空,
596,,,碎肉,
597,,,紫虹,
598,,,丹阳,
599,,,玄光,
600,,,索命,
601,,,魔观,
602,,,屠妖,
603,,,凤门,
604,,,断龙,
605,,,邪心,
606,,,无涯,
607,,,虎狼,
608,,,金羽,
609,,,乾坤,
610,,,大蛇,
611,,,赤霄,
612,,,风魔,
613,,,赤日,
614,,,寒冰,
615,,,三清,
616,,,飘雪,
617,,,斩月,
618,,,遮那,
619,,,自在,
620,,,梁尘,
621,,,情痴,
622,,,百丈,
623,,,大易,
624,,,究极,
625,,,狼王,
626,,,金焰,
627,,,蚀骨,
628,,,梵道,
629,,,玄冥,
630,,,极光,
631,,,琉璃,
632,,,雷光,
633,,,龙会,
634,,,归一,
635,,,芙蓉,
636,,,屠魔,
637,,,天王,
638,,,冲虚,
639,,,穿山,
640,,,花蝶,
641,,,毒蝶,
642,,,魔灵,
643,,,勐虎,
644,,,凤轩,
645,,,无念,
646,,,鱼翔,
647,,,金鼎,
648,,,玄月,
649,,,影月,
650,,,百炼,
651,,,灵蛇,
652,,,无为,
653,,,白凤,
654,,,雷音,
655,,,无情,
656,,,天蚕,
657,,,龙楼,
658,,,无敌,
659,,,寒鸦,
660,,,血龙,
661,,,皇居,
662,,,飞燕,
663,,,镇妖,
664,,,白云,
665,,,天火,
666,,,风霜,
667,,,圣火,
668,,,毒蚕,
669,,,幽冥,
670,,,斩龙,
671,,,炼神,
672,,,乾天,
673,,,临枫,
674,,,邪月,
675,,,销骨,
676,,,霸皇,
677,,,苍炎,
678,,,凤舞,
679,,,银环,
680,,,幽幻,
681,,,闇雷,
682,,,凤凰,
683,,,鬼神,
684,,,弥勒,
685,,,夜叉,
686,,,追魂,
687,,,紫电,
688,,,白焰,
689,,,毒蝎,
690,,,辟心,
691,,,翔鹰,
692,,,落枫,
693,,,摧心,
694,,,梵天,
695,,,碧羽,
696,,,飞雪,
697,,,莲华,
698,,,金钟,
699,,,丧魂,
700,,,定天,
701,,,翠羽,
702,,,天地,
703,,,魔道,
704,,,断脉,
705,,,勾陈,
706,,,天狗,
707,,,尖锋,
708,,,八歧,
709,,,梵祠,
710,,,凤殿,
711,,,离火,
712,,,神风,
713,,,倒海,
714,,,玄龟,
715,,,丹霞,
716,,,昇阳,
717,,,四象,
718,,,飞狼,
719,,,金乌,
720,,,鸿蒙,
721,,,天海,
722,,,凶魔,
723,,,玄天,
724,,,赤火,
725,,,佛村,
726,,,梵海,
727,,,鹰神,
728,,,神圣,
729,,,洛书,
730,,,紫焰,
731,,,缘生,
732,,,飘霜,
733,,,丹鼎,
734,,,狂风,
735,,,青焰,
736,,,虎尾,
737,,,雷风,
738,,,七星,
739,,,沧海,
740,,,虎狱,
741,,,邪影,
742,,,九宫,
743,,,暴虎,
744,,,四方,
745,,,无恨,
746,,,碧涛,
747,,,魔光,
748,,,火狐,
