key,Remarks,id,type,lifeCycle,lifeCycleTime,triggerType,targetType,selectTargetType,selectTargetParam,arguments
203001041,,203001041,,,,0,,,0,4|20300100|203001041
200002011,,200002011,,,,1,1,,0,1|20000201|200002011|201004012
200002021,,200002021,,,,1,1,,0,1|20000202|200002021
200002022,,200002022,,,,0,,,0,1|20000202|200002022
200002031,,200002031,,,,1,,,0,5|20000200|200002031|200002032
203003011,,203003011,13,,,0|3|6,1,9,1,0|20300301|500003|1|0|1|10|1
203003012,,203003012,,,,1,1,,0,1|20300301|203003011
500003031,,500003031,4,,,5,1,,0,1|1|50
203011011,,203011011,,,,1,1,,0,1|20301101|203011011|203011012|203011013
203011021,,203011021,,,,1,1,,0,1|20301102|203011021|203011022
203011031,,203011031,13,,,0|3|6,,4,0,0|20301103|500006|1|0|0|10|1
203011032,,203011032,,,,0,,4,0,1|20301103|203011031
203011041,,203011041,9,,,6|8,,1,0,1|2030110401|203011042
202010021,,202010021,,,,1,1,,0,1|20201002|202010021
202010031,,202010031,,,,1,1,,0,1|20201003|202010031
202010041,,202010041,,,,1,,,0,1|20201000|202010041
200009011,,200009011,,,,1,1,1,1,1|20000901|200009011
200009012,,200009012,,,,1,,,0,1|20000901|200009012
200009021,,200009021,,,,1,1,,0,1|20000902|200009021
200009031,,200009031,4,,,5,1,,0,1|0|200009031
202006011,,202006011,,,,1,,,0,1|20200601|202006011|202006012
202006021,,202006021,1,,,0|2,,,0,1|20200600|1|1|20200606
202006031,,202006031,,,,1,,,0,1|20200600|202006031
202006032,,202006032,,,,1,,,0,1|20200602|202006031
202006033,,202006033,,,,1,,,0,1|20200605|202006031
202006034,,202006034,,,,1,,,0,1|20200606|202006031
202006041,,202006041,1,,,0|2,,,0,3|20200606|0|1|20200605
200012011,,200012011,10,,,2|7,,,0,20001201|0|1|20
200012012,,200012012,,,,0,,,0,1|20001201|200012011
200012021,,200012021,,,,1,1,,0,1|20001202|2000120201|200012022
200012022,,200012022,13,,,1|3|6,1,2,0,0|20001202|500020|1|0|0|10|0.5
200012023,,200012023,13,,,3|6,1,,0,1|12|2000120202|500020|1|0|0|10|0
200012041,,200012041,13,,,3|6,1,,0,2|500019|1|0|0|10|0
202002021,,202002021,,,,1,1,,0,1|20200202|202002021|202002022
402002021,,402002021,,,,1,1,,0,1|40200202|202002021|202002022
202002031,,202002031,5,,,1|7,1,11,2.5,1|20200201|12|202002022|202002031
402002031,,402002031,5,,,1|7,1,11,2.5,1|40200201|12|202002022|202002031
201007011,,201007011,8,,,1,1,11,12,1|20100701|0|1|1|30
201007021,,201007021,,,,1,1,,0,1|20100702|201007021
301020011,,301020011,13,,,0,,,0,0|30102001|300029|5|1|1|-1|301020/Bone002/enter|-160|20|1|3
301020012,,301020012,11,,,9,,,0,1|1|1|30102001
301020031,,301020031,,,,1,1,1,0,1|30102003|301020031
900101001,,900101001,9,,,6|8,,,0,1|900101001
900102001,,900102001,9,,,6|8,,,0,1|900102001
900103001,,900103001,9,,,6|8,,,0,1|900103001
300103001,,300103001,,,,1,1,,0,1|30010300|300103001
300003001,,300003001,,,,1,1,,0,1|30000300|300003001
300010001,,300010001,,,,1,1,,0,1|30001000|300010001
300010011,,300010011,,,,1,1,,0,1|30001001|300010011
300110001,,300110001,,,,1,1,,0,1|30011000|300110001
300110011,,300110011,,,,1,1,,0,1|30011001|300110011
300012001,,300012001,,,,1,1,,0,1|30001200|300012001
300212001,,300212001,,,,1,1,,0,1|30021200|300212001
300013001,,300013001,,,,1,1,,0,1|30001300|300013001
300015001,,300015001,,,,1,1,,0,1|30001500|300015001
300016001,,300016001,,,,1,1,,0,1|30001600|300016001
300216001,,300216001,,,,1,1,,0,1|30021600|300216001
300318001,,300318001,,,,1,1,,0,1|30031800|300318001
602402011,,602402011,9,,,6|8,1,1,0,0|602402011
602401011,,602401011,9,,,6|8,1,1,0,0|602401011
602401021,,602401021,9,,,6|8,1,1,0,0|602401021
602403011,,602403011,9,,,6|8,1,1,0,0|602403011
602403021,,602403021,9,,,6|8,1,1,0,0|602403021
102003011,,102003011,,,,1,1,1,0,1|10200301|102003011
102016011,,102016011,,,,1,1,1,0,1|10201601|102016011
102016012,,102016012,,,,1,1,1,0,1|10201601|102016012
602101011,,602101011,9,,,6|8,,1,0,0|602101011
602102011,,602102011,9,,,6|8,,1,0,0|602102011
602102021,,602102021,9,,,6|8,,1,0,0|602102021
602103011,,602103011,9,,,6|8,,1,0,0|602103011
602103021,,602103021,9,,,6|8,,1,0,0|602103021
602104011,,602104011,9,,,6|8,,1,0,0|602104011
602104021,,602104021,9,,,6|8,,1,0,0|602104021
602104031,,602104031,9,,,6|8,,1,0,0|602104031
602201011,,602201011,9,,,6|8,,1,0,0|602201011
602202011,,602202011,9,,,6|8,,1,0,0|602202011
602202021,,602202021,9,,,6|8,,1,0,0|602202021
602203011,,602203011,9,,,6|8,,1,0,0|602203011
602203021,,602203021,9,,,6|8,,1,0,0|602203021
602204011,,602204011,9,,,6|8,,1,0,0|602204011
602204021,,602204021,9,,,6|8,,1,0,0|602204021
602204031,,602204031,9,,,6|8,,1,0,0|602204031
602105011,,602105011,9,,,6|8,,1,0,0|602105011
602106011,,602106011,9,,,6|8,,1,0,0|602106011
602106021,,602106021,9,,,6|8,,1,0,0|602106021
602107011,,602107011,9,,,6|8,,1,0,0|602107011
602107021,,602107021,9,,,6|8,,1,0,0|602107021
602108011,,602108011,9,,,6|8,,1,0,0|602108011
602108021,,602108021,9,,,6|8,,1,0,0|602108021
602205011,,602205011,9,,,6|8,,1,0,0|602205011
602206011,,602206011,9,,,6|8,,1,0,0|602206011
602206021,,602206021,9,,,6|8,,1,0,0|602206021
602207011,,602207011,9,,,6|8,,1,0,0|602207011
602207021,,602207021,9,,,6|8,,1,0,0|602207021
602208011,,602208011,9,,,6|8,,1,0,0|602208011
602208021,,602208021,9,,,6|8,,1,0,0|602208021
103003011,,103003011,,,,1,1,1,1,1|10300301|103003011
103004011,,103004011,,,,1,1,1,1,1|10300401|103004011
103103011,,103103011,,,,1,1,1,1,1|10310301|103103011
103104011,,103104011,,,,1,1,1,1,1|10310401|103104011
103005011,,103005011,,,,1,1,1,1,1|10300501|103005011
103006011,,103006011,,,,1,1,1,1,1|10300601|103006011
103007011,,103007011,,,,1,1,1,1,1|10300701|103007011|103007012
103008011,,103008011,,,,1,1,1,1,1|10300801|103008011|103008012|103008013
103105011,,103105011,,,,1,1,1,1,1|10310501|103105011
103106011,,103106011,,,,1,1,1,1,1|10310601|103106011
103107011,,103107011,,,,1,1,1,1,1|10310701|103107011|103107012
103108011,,103108011,,,,1,1,1,1,1|10310801|103108011|103108012|1103108013
602309011,,602309011,9,,,6|8,,1,0,0|602309011
602310011,,602310011,9,,,6|8,,1,0,0|602310011
602310021,,602310021,9,,,6|8,,1,0,0|602310021
602311011,,602311011,9,,,6|8,,1,0,0|602311011
602311021,,602311021,9,,,6|8,,1,0,0|602311021
602312011,,602312011,9,,,6|8,,1,0,0|602312011
602312021,,602312021,9,,,6|8,,1,0,0|602312021
602312031,,602312031,9,,,6|8,,1,0,0|602312031
602313011,,602313011,9,,,6|8,,1,0,0|602313011
602314011,,602314011,9,,,6|8,,1,0,0|602314011
602314021,,602314021,9,,,6|8,,1,0,0|602314021
602315011,,602315011,9,,,6|8,,1,0,0|602315011
602315021,,602315021,9,,,6|8,,1,0,0|602315021
602316011,,602316011,9,,,6|8,,1,0,0|602316011
602316021,,602316021,9,,,6|8,,1,0,0|602316021
602316031,,602316031,9,,,6|8,,1,0,0|602316031
500004021,,500004021,,,,1,1,1,0,1|50000402|500004021
500004011,,500004011,,,,1,1,1,0,1|50000401|500004011
500005031,,500005031,,,,1,1,1,0,1|50000503|500005031
500005041,,500005041,,,,1,1,1,0,1|50000504|500005041
204005011,,204005011,,,,1,1,1,0,1|20400501|204005011|204005012
204005021,,204005021,,,,1,1,,0,1|20400502|204005021
204005031,,204005031,,,,1,1,1,0,1|20400501|204005031|204005032
204005041,,204005041,9,,,6|8,,1,0,1|204005041
200006011,,200006011,,,,1,1,,0,1|20000601|201004012
200006021,,200006021,,,,1,1,,0,1|20000602|200006021
200006031,,200006031,2,,,3,,,0,10|200006031
200006032,,200006032,,,,0,,,0,1|20000601|200006031
100005021,,100005021,,,,1,1,,0,1|10000502|100005021
100005031,,100005031,,,,1,1,,0,1|10000501|100005031
101002021,,101002021,,,,1,1,,0,1|10100202|101002021
101002031,,101002031,,,,1,1,,0,1|10100201|101002031
100002031,,100002031,,,,1,1,,0,1|10000201|100002031
101005031,,101005031,,,,1,1,,0,1|10100501|101005031
100011041,,100011041,,,,1,,,0,1|10001100|100011041
100011042,,100011042,,,,1,,,0,1|10001101|100011041
100011043,,100011043,,,,1,,,0,1|10001102|100011041
101011041,,101011041,,,,1,,,0,1|10101100|101011041
101011042,,101011042,,,,1,,,0,1|10101101|101011041
101011043,,101011043,,,,1,,,0,1|10101102|101011041
