key,Remarks,Id,OverlappingType,OverlappingMaxCount,Type,Group,BuffEffectId,DelayTime,LoopDuration,LoopTick,IsCancel,BuffValue,BaseHitRate,LvParam,ResistParam,AbilityChange
100004_33,,100004_33,2,5,18,2,100004,,-1,,,物理攻击_33000|,-1,0.02,0.01,
100004_34,,100004_34,2,5,18,2,100004,,-1,,,物理攻击_34000|,-1,0.02,0.01,
100004_35,,100004_35,2,5,18,2,100004,,-1,,,物理攻击_35000|,-1,0.02,0.01,
100004_36,,100004_36,2,5,18,2,100004,,-1,,,物理攻击_36000|,-1,0.02,0.01,
100004_37,,100004_37,2,5,18,2,100004,,-1,,,物理攻击_37000|,-1,0.02,0.01,
100004_38,,100004_38,2,5,18,2,100004,,-1,,,物理攻击_38000|,-1,0.02,0.01,
100004_39,,100004_39,2,5,18,2,100004,,-1,,,物理攻击_39000|,-1,0.02,0.01,
100004_40,,100004_40,2,5,18,2,100004,,-1,,,物理攻击_40000|,-1,0.02,0.01,
100004_41,,100004_41,2,5,18,2,100004,,-1,,,物理攻击_41000|,-1,0.02,0.01,
100004_42,,100004_42,2,5,18,2,100004,,-1,,,物理攻击_42000|,-1,0.02,0.01,
100004_43,,100004_43,2,5,18,2,100004,,-1,,,物理攻击_43000|,-1,0.02,0.01,
100004_44,,100004_44,2,5,18,2,100004,,-1,,,物理攻击_44000|,-1,0.02,0.01,
100004_45,,100004_45,2,5,18,2,100004,,-1,,,物理攻击_45000|,-1,0.02,0.01,
100004_46,,100004_46,2,5,18,2,100004,,-1,,,物理攻击_46000|,-1,0.02,0.01,
100004_47,,100004_47,2,5,18,2,100004,,-1,,,物理攻击_47000|,-1,0.02,0.01,
100004_48,,100004_48,2,5,18,2,100004,,-1,,,物理攻击_48000|,-1,0.02,0.01,
100004_49,,100004_49,2,5,18,2,100004,,-1,,,物理攻击_49000|,-1,0.02,0.01,
100004_50,,100004_50,2,5,18,2,100004,,-1,,,物理攻击_50000|,-1,0.02,0.01,
100004_51,,100004_51,2,5,18,2,100004,,-1,,,物理攻击_51000|,-1,0.02,0.01,
100004_52,,100004_52,2,5,18,2,100004,,-1,,,物理攻击_52000|,-1,0.02,0.01,
100004_53,,100004_53,2,5,18,2,100004,,-1,,,物理攻击_53000|,-1,0.02,0.01,
100004_54,,100004_54,2,5,18,2,100004,,-1,,,物理攻击_54000|,-1,0.02,0.01,
100004_55,,100004_55,2,5,18,2,100004,,-1,,,物理攻击_55000|,-1,0.02,0.01,
100004_56,,100004_56,2,5,18,2,100004,,-1,,,物理攻击_56000|,-1,0.02,0.01,
100004_57,,100004_57,2,5,18,2,100004,,-1,,,物理攻击_57000|,-1,0.02,0.01,
100004_58,,100004_58,2,5,18,2,100004,,-1,,,物理攻击_58000|,-1,0.02,0.01,
100004_59,,100004_59,2,5,18,2,100004,,-1,,,物理攻击_59000|,-1,0.02,0.01,
100004_60,,100004_60,2,5,18,2,100004,,-1,,,物理攻击_60000|,-1,0.02,0.01,
100004_61,,100004_61,2,5,18,2,100004,,-1,,,物理攻击_61000|,-1,0.02,0.01,
100004_62,,100004_62,2,5,18,2,100004,,-1,,,物理攻击_62000|,-1,0.02,0.01,
100004_63,,100004_63,2,5,18,2,100004,,-1,,,物理攻击_63000|,-1,0.02,0.01,
100004_64,,100004_64,2,5,18,2,100004,,-1,,,物理攻击_64000|,-1,0.02,0.01,
100004_65,,100004_65,2,5,18,2,100004,,-1,,,物理攻击_65000|,-1,0.02,0.01,
100004_66,,100004_66,2,5,18,2,100004,,-1,,,物理攻击_66000|,-1,0.02,0.01,
100004_67,,100004_67,2,5,18,2,100004,,-1,,,物理攻击_67000|,-1,0.02,0.01,
100004_68,,100004_68,2,5,18,2,100004,,-1,,,物理攻击_68000|,-1,0.02,0.01,
100004_69,,100004_69,2,5,18,2,100004,,-1,,,物理攻击_69000|,-1,0.02,0.01,
100004_70,,100004_70,2,5,18,2,100004,,-1,,,物理攻击_70000|,-1,0.02,0.01,
100004_71,,100004_71,2,5,18,2,100004,,-1,,,物理攻击_71000|,-1,0.02,0.01,
100004_72,,100004_72,2,5,18,2,100004,,-1,,,物理攻击_72000|,-1,0.02,0.01,
100004_73,,100004_73,2,5,18,2,100004,,-1,,,物理攻击_73000|,-1,0.02,0.01,
100004_74,,100004_74,2,5,18,2,100004,,-1,,,物理攻击_74000|,-1,0.02,0.01,
100004_75,,100004_75,2,5,18,2,100004,,-1,,,物理攻击_75000|,-1,0.02,0.01,
100004_76,,100004_76,2,5,18,2,100004,,-1,,,物理攻击_76000|,-1,0.02,0.01,
100004_77,,100004_77,2,5,18,2,100004,,-1,,,物理攻击_77000|,-1,0.02,0.01,
100004_78,,100004_78,2,5,18,2,100004,,-1,,,物理攻击_78000|,-1,0.02,0.01,
100004_79,,100004_79,2,5,18,2,100004,,-1,,,物理攻击_79000|,-1,0.02,0.01,
100004_80,,100004_80,2,5,18,2,100004,,-1,,,物理攻击_80000|,-1,0.02,0.01,
100004_81,,100004_81,2,5,18,2,100004,,-1,,,物理攻击_81000|,-1,0.02,0.01,
100004_82,,100004_82,2,5,18,2,100004,,-1,,,物理攻击_82000|,-1,0.02,0.01,
100004_83,,100004_83,2,5,18,2,100004,,-1,,,物理攻击_83000|,-1,0.02,0.01,
100004_84,,100004_84,2,5,18,2,100004,,-1,,,物理攻击_84000|,-1,0.02,0.01,
100004_85,,100004_85,2,5,18,2,100004,,-1,,,物理攻击_85000|,-1,0.02,0.01,
100004_86,,100004_86,2,5,18,2,100004,,-1,,,物理攻击_86000|,-1,0.02,0.01,
100004_87,,100004_87,2,5,18,2,100004,,-1,,,物理攻击_87000|,-1,0.02,0.01,
100004_88,,100004_88,2,5,18,2,100004,,-1,,,物理攻击_88000|,-1,0.02,0.01,
100004_89,,100004_89,2,5,18,2,100004,,-1,,,物理攻击_89000|,-1,0.02,0.01,
100004_90,,100004_90,2,5,18,2,100004,,-1,,,物理攻击_90000|,-1,0.02,0.01,
200001021_1,,200001021_1,,,18,8,200001021,,10,,1,物理攻击_354;攻击速度_1000|,-1,0.1,,
200001021_2,,200001021_2,,,18,8,200001021,,10,,1,物理攻击_447;攻击速度_1000|,-1,0.1,,
200001021_3,,200001021_3,,,18,8,200001021,,10,,1,物理攻击_545;攻击速度_1000|,-1,0.1,,
200001021_4,,200001021_4,,,18,8,200001021,,10,,1,物理攻击_650;攻击速度_1000|,-1,0.1,,
200001021_5,,200001021_5,,,18,8,200001021,,10,,1,物理攻击_760;攻击速度_1000|,-1,0.1,,
200001021_6,,200001021_6,,,18,8,200001021,,10,,1,物理攻击_877;攻击速度_1000|,-1,0.1,,
200001021_7,,200001021_7,,,18,8,200001021,,10,,1,物理攻击_999;攻击速度_1000|,-1,0.1,,
200001021_8,,200001021_8,,,18,8,200001021,,10,,1,物理攻击_1127;攻击速度_1000|,-1,0.1,,
200001021_9,,200001021_9,,,18,8,200001021,,10,,1,物理攻击_1262;攻击速度_1000|,-1,0.1,,
200001021_10,,200001021_10,,,18,8,200001021,,10,,1,物理攻击_1402;攻击速度_1000|,-1,0.1,,
200001021_11,,200001021_11,,,18,8,200001021,,10,,1,物理攻击_1548;攻击速度_1000|,-1,0.1,,
200001021_12,,200001021_12,,,18,8,200001021,,10,,1,物理攻击_1700;攻击速度_1000|,-1,0.1,,
200001021_13,,200001021_13,,,18,8,200001021,,10,,1,物理攻击_1858;攻击速度_1000|,-1,0.1,,
200001021_14,,200001021_14,,,18,8,200001021,,10,,1,物理攻击_2023;攻击速度_1000|,-1,0.1,,
200001021_15,,200001021_15,,,18,8,200001021,,10,,1,物理攻击_2193;攻击速度_1000|,-1,0.1,,
200001021_16,,200001021_16,,,18,8,200001021,,10,,1,物理攻击_2369;攻击速度_1000|,-1,0.1,,
200001021_17,,200001021_17,,,18,8,200001021,,10,,1,物理攻击_2550;攻击速度_1000|,-1,0.1,,
200001021_18,,200001021_18,,,18,8,200001021,,10,,1,物理攻击_2738;攻击速度_1000|,-1,0.1,,
200001021_19,,200001021_19,,,18,8,200001021,,10,,1,物理攻击_2932;攻击速度_1000|,-1,0.1,,
200001021_20,,200001021_20,,,18,8,200001021,,10,,1,物理攻击_3132;攻击速度_1000|,-1,0.1,,
200001021_21,,200001021_21,,,18,8,200001021,,10,,1,物理攻击_3338;攻击速度_1000|,-1,0.1,,
200001021_22,,200001021_22,,,18,8,200001021,,10,,1,物理攻击_3549;攻击速度_1000|,-1,0.1,,
200001021_23,,200001021_23,,,18,8,200001021,,10,,1,物理攻击_3767;攻击速度_1000|,-1,0.1,,
200001021_24,,200001021_24,,,18,8,200001021,,10,,1,物理攻击_3991;攻击速度_1000|,-1,0.1,,
200001021_25,,200001021_25,,,18,8,200001021,,10,,1,物理攻击_4220;攻击速度_1000|,-1,0.1,,
200001021_26,,200001021_26,,,18,8,200001021,,10,,1,物理攻击_4456;攻击速度_1000|,-1,0.1,,
200001021_27,,200001021_27,,,18,8,200001021,,10,,1,物理攻击_4697;攻击速度_1000|,-1,0.1,,
200001021_28,,200001021_28,,,18,8,200001021,,10,,1,物理攻击_4945;攻击速度_1000|,-1,0.1,,
200001021_29,,200001021_29,,,18,8,200001021,,10,,1,物理攻击_5198;攻击速度_1000|,-1,0.1,,
200001021_30,,200001021_30,,,18,8,200001021,,10,,1,物理攻击_5457;攻击速度_1000|,-1,0.1,,
200001021_31,,200001021_31,,,18,8,200001021,,10,,1,物理攻击_5723;攻击速度_1000|,-1,0.1,,
200001021_32,,200001021_32,,,18,8,200001021,,10,,1,物理攻击_5994;攻击速度_1000|,-1,0.1,,
200001021_33,,200001021_33,,,18,8,200001021,,10,,1,物理攻击_6271;攻击速度_1000|,-1,0.1,,
200001021_34,,200001021_34,,,18,8,200001021,,10,,1,物理攻击_6554;攻击速度_1000|,-1,0.1,,
200001021_35,,200001021_35,,,18,8,200001021,,10,,1,物理攻击_6843;攻击速度_1000|,-1,0.1,,
200001021_36,,200001021_36,,,18,8,200001021,,10,,1,物理攻击_7138;攻击速度_1000|,-1,0.1,,
200001021_37,,200001021_37,,,18,8,200001021,,10,,1,物理攻击_7439;攻击速度_1000|,-1,0.1,,
200001021_38,,200001021_38,,,18,8,200001021,,10,,1,物理攻击_7746;攻击速度_1000|,-1,0.1,,
200001021_39,,200001021_39,,,18,8,200001021,,10,,1,物理攻击_8059;攻击速度_1000|,-1,0.1,,
200001021_40,,200001021_40,,,18,8,200001021,,10,,1,物理攻击_8378;攻击速度_1000|,-1,0.1,,
200001021_41,,200001021_41,,,18,8,200001021,,10,,1,物理攻击_8703;攻击速度_1000|,-1,0.1,,
200001021_42,,200001021_42,,,18,8,200001021,,10,,1,物理攻击_9034;攻击速度_1000|,-1,0.1,,
200001021_43,,200001021_43,,,18,8,200001021,,10,,1,物理攻击_9370;攻击速度_1000|,-1,0.1,,
200001021_44,,200001021_44,,,18,8,200001021,,10,,1,物理攻击_9713;攻击速度_1000|,-1,0.1,,
200001021_45,,200001021_45,,,18,8,200001021,,10,,1,物理攻击_10062;攻击速度_1000|,-1,0.1,,
200001021_46,,200001021_46,,,18,8,200001021,,10,,1,物理攻击_10416;攻击速度_1000|,-1,0.1,,
200001021_47,,200001021_47,,,18,8,200001021,,10,,1,物理攻击_10777;攻击速度_1000|,-1,0.1,,
200001021_48,,200001021_48,,,18,8,200001021,,10,,1,物理攻击_11143;攻击速度_1000|,-1,0.1,,
200001021_49,,200001021_49,,,18,8,200001021,,10,,1,物理攻击_11516;攻击速度_1000|,-1,0.1,,
200001021_50,,200001021_50,,,18,8,200001021,,10,,1,物理攻击_11894;攻击速度_1000|,-1,0.1,,
200001021_51,,200001021_51,,,18,8,200001021,,10,,1,物理攻击_12278;攻击速度_1000|,-1,0.1,,
200001021_52,,200001021_52,,,18,8,200001021,,10,,1,物理攻击_12669;攻击速度_1000|,-1,0.1,,
200001021_53,,200001021_53,,,18,8,200001021,,10,,1,物理攻击_13065;攻击速度_1000|,-1,0.1,,
200001021_54,,200001021_54,,,18,8,200001021,,10,,1,物理攻击_13467;攻击速度_1000|,-1,0.1,,
200001021_55,,200001021_55,,,18,8,200001021,,10,,1,物理攻击_13875;攻击速度_1000|,-1,0.1,,
200001021_56,,200001021_56,,,18,8,200001021,,10,,1,物理攻击_14290;攻击速度_1000|,-1,0.1,,
200001021_57,,200001021_57,,,18,8,200001021,,10,,1,物理攻击_14710;攻击速度_1000|,-1,0.1,,
200001021_58,,200001021_58,,,18,8,200001021,,10,,1,物理攻击_15136;攻击速度_1000|,-1,0.1,,
200001021_59,,200001021_59,,,18,8,200001021,,10,,1,物理攻击_15568;攻击速度_1000|,-1,0.1,,
200001021_60,,200001021_60,,,18,8,200001021,,10,,1,物理攻击_16006;攻击速度_1000|,-1,0.1,,
200001021_61,,200001021_61,,,18,8,200001021,,10,,1,物理攻击_16449;攻击速度_1000|,-1,0.1,,
200001021_62,,200001021_62,,,18,8,200001021,,10,,1,物理攻击_16899;攻击速度_1000|,-1,0.1,,
200001021_63,,200001021_63,,,18,8,200001021,,10,,1,物理攻击_17355;攻击速度_1000|,-1,0.1,,
200001021_64,,200001021_64,,,18,8,200001021,,10,,1,物理攻击_17817;攻击速度_1000|,-1,0.1,,
200001021_65,,200001021_65,,,18,8,200001021,,10,,1,物理攻击_18285;攻击速度_1000|,-1,0.1,,
200001021_66,,200001021_66,,,18,8,200001021,,10,,1,物理攻击_18758;攻击速度_1000|,-1,0.1,,
200001021_67,,200001021_67,,,18,8,200001021,,10,,1,物理攻击_19238;攻击速度_1000|,-1,0.1,,
200001021_68,,200001021_68,,,18,8,200001021,,10,,1,物理攻击_19723;攻击速度_1000|,-1,0.1,,
200001021_69,,200001021_69,,,18,8,200001021,,10,,1,物理攻击_20215;攻击速度_1000|,-1,0.1,,
200001021_70,,200001021_70,,,18,8,200001021,,10,,1,物理攻击_20712;攻击速度_1000|,-1,0.1,,
200001021_71,,200001021_71,,,18,8,200001021,,10,,1,物理攻击_21216;攻击速度_1000|,-1,0.1,,
200001021_72,,200001021_72,,,18,8,200001021,,10,,1,物理攻击_21725;攻击速度_1000|,-1,0.1,,
200001021_73,,200001021_73,,,18,8,200001021,,10,,1,物理攻击_22241;攻击速度_1000|,-1,0.1,,
200001021_74,,200001021_74,,,18,8,200001021,,10,,1,物理攻击_22762;攻击速度_1000|,-1,0.1,,
200001021_75,,200001021_75,,,18,8,200001021,,10,,1,物理攻击_23289;攻击速度_1000|,-1,0.1,,
200001021_76,,200001021_76,,,18,8,200001021,,10,,1,物理攻击_23822;攻击速度_1000|,-1,0.1,,
200001021_77,,200001021_77,,,18,8,200001021,,10,,1,物理攻击_24361;攻击速度_1000|,-1,0.1,,
200001021_78,,200001021_78,,,18,8,200001021,,10,,1,物理攻击_24907;攻击速度_1000|,-1,0.1,,
200001021_79,,200001021_79,,,18,8,200001021,,10,,1,物理攻击_25458;攻击速度_1000|,-1,0.1,,
200001021_80,,200001021_80,,,18,8,200001021,,10,,1,物理攻击_26015;攻击速度_1000|,-1,0.1,,
200001021_81,,200001021_81,,,18,8,200001021,,10,,1,物理攻击_26578;攻击速度_1000|,-1,0.1,,
200001021_82,,200001021_82,,,18,8,200001021,,10,,1,物理攻击_27146;攻击速度_1000|,-1,0.1,,
200001021_83,,200001021_83,,,18,8,200001021,,10,,1,物理攻击_27721;攻击速度_1000|,-1,0.1,,
200001021_84,,200001021_84,,,18,8,200001021,,10,,1,物理攻击_28302;攻击速度_1000|,-1,0.1,,
200001021_85,,200001021_85,,,18,8,200001021,,10,,1,物理攻击_28889;攻击速度_1000|,-1,0.1,,
200001021_86,,200001021_86,,,18,8,200001021,,10,,1,物理攻击_29482;攻击速度_1000|,-1,0.1,,
200001021_87,,200001021_87,,,18,8,200001021,,10,,1,物理攻击_30080;攻击速度_1000|,-1,0.1,,
200001021_88,,200001021_88,,,18,8,200001021,,10,,1,物理攻击_30685;攻击速度_1000|,-1,0.1,,
200001021_89,,200001021_89,,,18,8,200001021,,10,,1,物理攻击_31296;攻击速度_1000|,-1,0.1,,
200001021_90,,200001021_90,,,18,8,200001021,,10,,1,物理攻击_31912;攻击速度_1000|,-1,0.1,,
200001031,,200001031,2,5,62,128,200001031,,10,,1,2000010301,-1,0.1,,
200001032_1,,200001032_1,2,5,7,16,200001032,,,,,物理防御_30|,-1,0.1,,
200001032_2,,200001032_2,2,5,7,16,200001032,,,,,物理防御_38|,-1,0.1,,
200001032_3,,200001032_3,2,5,7,16,200001032,,,,,物理防御_47|,-1,0.1,,
200001032_4,,200001032_4,2,5,7,16,200001032,,,,,物理防御_56|,-1,0.1,,
200001032_5,,200001032_5,2,5,7,16,200001032,,,,,物理防御_66|,-1,0.1,,
200001032_6,,200001032_6,2,5,7,16,200001032,,,,,物理防御_76|,-1,0.1,,
200001032_7,,200001032_7,2,5,7,16,200001032,,,,,物理防御_86|,-1,0.1,,
200001032_8,,200001032_8,2,5,7,16,200001032,,,,,物理防御_97|,-1,0.1,,
200001032_9,,200001032_9,2,5,7,16,200001032,,,,,物理防御_109|,-1,0.1,,
200001032_10,,200001032_10,2,5,7,16,200001032,,,,,物理防御_121|,-1,0.1,,
200001032_11,,200001032_11,2,5,7,16,200001032,,,,,物理防御_134|,-1,0.1,,
200001032_12,,200001032_12,2,5,7,16,200001032,,,,,物理防御_147|,-1,0.1,,
200001032_13,,200001032_13,2,5,7,16,200001032,,,,,物理防御_161|,-1,0.1,,
200001032_14,,200001032_14,2,5,7,16,200001032,,,,,物理防御_175|,-1,0.1,,
200001032_15,,200001032_15,2,5,7,16,200001032,,,,,物理防御_190|,-1,0.1,,
200001032_16,,200001032_16,2,5,7,16,200001032,,,,,物理防御_205|,-1,0.1,,
200001032_17,,200001032_17,2,5,7,16,200001032,,,,,物理防御_221|,-1,0.1,,
200001032_18,,200001032_18,2,5,7,16,200001032,,,,,物理防御_237|,-1,0.1,,
200001032_19,,200001032_19,2,5,7,16,200001032,,,,,物理防御_254|,-1,0.1,,
200001032_20,,200001032_20,2,5,7,16,200001032,,,,,物理防御_271|,-1,0.1,,
200001032_21,,200001032_21,2,5,7,16,200001032,,,,,物理防御_289|,-1,0.1,,
200001032_22,,200001032_22,2,5,7,16,200001032,,,,,物理防御_308|,-1,0.1,,
200001032_23,,200001032_23,2,5,7,16,200001032,,,,,物理防御_327|,-1,0.1,,
200001032_24,,200001032_24,2,5,7,16,200001032,,,,,物理防御_346|,-1,0.1,,
200001032_25,,200001032_25,2,5,7,16,200001032,,,,,物理防御_366|,-1,0.1,,
200001032_26,,200001032_26,2,5,7,16,200001032,,,,,物理防御_386|,-1,0.1,,
200001032_27,,200001032_27,2,5,7,16,200001032,,,,,物理防御_407|,-1,0.1,,
200001032_28,,200001032_28,2,5,7,16,200001032,,,,,物理防御_429|,-1,0.1,,
200001032_29,,200001032_29,2,5,7,16,200001032,,,,,物理防御_451|,-1,0.1,,
200001032_30,,200001032_30,2,5,7,16,200001032,,,,,物理防御_473|,-1,0.1,,
200001032_31,,200001032_31,2,5,7,16,200001032,,,,,物理防御_496|,-1,0.1,,
200001032_32,,200001032_32,2,5,7,16,200001032,,,,,物理防御_520|,-1,0.1,,
200001032_33,,200001032_33,2,5,7,16,200001032,,,,,物理防御_544|,-1,0.1,,
200001032_34,,200001032_34,2,5,7,16,200001032,,,,,物理防御_568|,-1,0.1,,
200001032_35,,200001032_35,2,5,7,16,200001032,,,,,物理防御_594|,-1,0.1,,
200001032_36,,200001032_36,2,5,7,16,200001032,,,,,物理防御_619|,-1,0.1,,
200001032_37,,200001032_37,2,5,7,16,200001032,,,,,物理防御_645|,-1,0.1,,
200001032_38,,200001032_38,2,5,7,16,200001032,,,,,物理防御_672|,-1,0.1,,
200001032_39,,200001032_39,2,5,7,16,200001032,,,,,物理防御_699|,-1,0.1,,
200001032_40,,200001032_40,2,5,7,16,200001032,,,,,物理防御_727|,-1,0.1,,
200001032_41,,200001032_41,2,5,7,16,200001032,,,,,物理防御_755|,-1,0.1,,
200001032_42,,200001032_42,2,5,7,16,200001032,,,,,物理防御_784|,-1,0.1,,
200001032_43,,200001032_43,2,5,7,16,200001032,,,,,物理防御_813|,-1,0.1,,
200001032_44,,200001032_44,2,5,7,16,200001032,,,,,物理防御_843|,-1,0.1,,
200001032_45,,200001032_45,2,5,7,16,200001032,,,,,物理防御_873|,-1,0.1,,
200001032_46,,200001032_46,2,5,7,16,200001032,,,,,物理防御_904|,-1,0.1,,
200001032_47,,200001032_47,2,5,7,16,200001032,,,,,物理防御_935|,-1,0.1,,
200001032_48,,200001032_48,2,5,7,16,200001032,,,,,物理防御_967|,-1,0.1,,
200001032_49,,200001032_49,2,5,7,16,200001032,,,,,物理防御_999|,-1,0.1,,
200001032_50,,200001032_50,2,5,7,16,200001032,,,,,物理防御_1032|,-1,0.1,,
200001032_51,,200001032_51,2,5,7,16,200001032,,,,,物理防御_1065|,-1,0.1,,
200001032_52,,200001032_52,2,5,7,16,200001032,,,,,物理防御_1099|,-1,0.1,,
200001032_53,,200001032_53,2,5,7,16,200001032,,,,,物理防御_1134|,-1,0.1,,
200001032_54,,200001032_54,2,5,7,16,200001032,,,,,物理防御_1169|,-1,0.1,,
200001032_55,,200001032_55,2,5,7,16,200001032,,,,,物理防御_1204|,-1,0.1,,
200001032_56,,200001032_56,2,5,7,16,200001032,,,,,物理防御_1240|,-1,0.1,,
200001032_57,,200001032_57,2,5,7,16,200001032,,,,,物理防御_1276|,-1,0.1,,
200001032_58,,200001032_58,2,5,7,16,200001032,,,,,物理防御_1313|,-1,0.1,,
200001032_59,,200001032_59,2,5,7,16,200001032,,,,,物理防御_1351|,-1,0.1,,
200001032_60,,200001032_60,2,5,7,16,200001032,,,,,物理防御_1389|,-1,0.1,,
200001032_61,,200001032_61,2,5,7,16,200001032,,,,,物理防御_1427|,-1,0.1,,
200001032_62,,200001032_62,2,5,7,16,200001032,,,,,物理防御_1466|,-1,0.1,,
200001032_63,,200001032_63,2,5,7,16,200001032,,,,,物理防御_1506|,-1,0.1,,
200001032_64,,200001032_64,2,5,7,16,200001032,,,,,物理防御_1546|,-1,0.1,,
200001032_65,,200001032_65,2,5,7,16,200001032,,,,,物理防御_1587|,-1,0.1,,
200001032_66,,200001032_66,2,5,7,16,200001032,,,,,物理防御_1628|,-1,0.1,,
200001032_67,,200001032_67,2,5,7,16,200001032,,,,,物理防御_1669|,-1,0.1,,
200001032_68,,200001032_68,2,5,7,16,200001032,,,,,物理防御_1712|,-1,0.1,,
200001032_69,,200001032_69,2,5,7,16,200001032,,,,,物理防御_1754|,-1,0.1,,
200001032_70,,200001032_70,2,5,7,16,200001032,,,,,物理防御_1797|,-1,0.1,,
200001032_71,,200001032_71,2,5,7,16,200001032,,,,,物理防御_1841|,-1,0.1,,
200001032_72,,200001032_72,2,5,7,16,200001032,,,,,物理防御_1885|,-1,0.1,,
200001032_73,,200001032_73,2,5,7,16,200001032,,,,,物理防御_1930|,-1,0.1,,
200001032_74,,200001032_74,2,5,7,16,200001032,,,,,物理防御_1975|,-1,0.1,,
200001032_75,,200001032_75,2,5,7,16,200001032,,,,,物理防御_2021|,-1,0.1,,
200001032_76,,200001032_76,2,5,7,16,200001032,,,,,物理防御_2067|,-1,0.1,,
200001032_77,,200001032_77,2,5,7,16,200001032,,,,,物理防御_2114|,-1,0.1,,
200001032_78,,200001032_78,2,5,7,16,200001032,,,,,物理防御_2162|,-1,0.1,,
200001032_79,,200001032_79,2,5,7,16,200001032,,,,,物理防御_2209|,-1,0.1,,
200001032_80,,200001032_80,2,5,7,16,200001032,,,,,物理防御_2258|,-1,0.1,,
200001032_81,,200001032_81,2,5,7,16,200001032,,,,,物理防御_2307|,-1,0.1,,
200001032_82,,200001032_82,2,5,7,16,200001032,,,,,物理防御_2356|,-1,0.1,,
200001032_83,,200001032_83,2,5,7,16,200001032,,,,,物理防御_2406|,-1,0.1,,
200001032_84,,200001032_84,2,5,7,16,200001032,,,,,物理防御_2456|,-1,0.1,,
