Key,Remarks,Id,Type,modeId,level,HeroAttackRate,HeroPhysicalDefenseRate,HeroMagicDefenseRate,HeroLifeRate,MonsterAttack,MonsterPhysicalDefense,MonsterMagicDefense,MonsterLife,Hide,Enter,Die,Normal,Skill01,Skill02,Skill03,Skill04,Skill05,skillOpenCondition,Scale,attackType,viewRange,moveSpeed,AttackRange,reactionTime,doHurt,hardStraight,exemptPhysiqueDef,exemptSpiritDef,AIGroupId
500003_15,,500003_15,,500003,15,1,,,,,,,"20,306",1,50000308,50000309,50000300_1,,50000302_15,50000303_15,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_16,,500003_16,,500003,16,1,,,,,,,"21,935",1,50000308,50000309,50000300_1,,50000302_16,50000303_16,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_17,,500003_17,,500003,17,1,,,,,,,"23,619",1,50000308,50000309,50000300_1,,50000302_17,50000303_17,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_18,,500003_18,,500003,18,1,,,,,,,"25,359",1,50000308,50000309,50000300_1,,50000302_18,50000303_18,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_19,,500003_19,,500003,19,1,,,,,,,"27,154",1,50000308,50000309,50000300_1,,50000302_19,50000303_19,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_20,,500003_20,,500003,20,1,,,,,,,"29,004",1,50000308,50000309,50000300_1,,50000302_20,50000303_20,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_21,,500003_21,,500003,21,1,,,,,,,"30,909",1,50000308,50000309,50000300_1,,50000302_21,50000303_21,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_22,,500003_22,,500003,22,1,,,,,,,"32,869",1,50000308,50000309,50000300_1,,50000302_22,50000303_22,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_23,,500003_23,,500003,23,1,,,,,,,"34,884",1,50000308,50000309,50000300_1,,50000302_23,50000303_23,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_24,,500003_24,,500003,24,1,,,,,,,"36,954",1,50000308,50000309,50000300_1,,50000302_24,50000303_24,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_25,,500003_25,,500003,25,1,,,,,,,"39,080",1,50000308,50000309,50000300_1,,50000302_25,50000303_25,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_26,,500003_26,,500003,26,1,,,,,,,"41,261",1,50000308,50000309,50000300_1,,50000302_26,50000303_26,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_27,,500003_27,,500003,27,1,,,,,,,"43,496",1,50000308,50000309,50000300_1,,50000302_27,50000303_27,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_28,,500003_28,,500003,28,1,,,,,,,"45,787",1,50000308,50000309,50000300_1,,50000302_28,50000303_28,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_29,,500003_29,,500003,29,1,,,,,,,"48,133",1,50000308,50000309,50000300_1,,50000302_29,50000303_29,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_30,,500003_30,,500003,30,1,,,,,,,"50,535",1,50000308,50000309,50000300_1,,50000302_30,50000303_30,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_31,,500003_31,,500003,31,1,,,,,,,"52,991",1,50000308,50000309,50000300_1,,50000302_31,50000303_31,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_32,,500003_32,,500003,32,1,,,,,,,"55,502",1,50000308,50000309,50000300_1,,50000302_32,50000303_32,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_33,,500003_33,,500003,33,1,,,,,,,"58,069",1,50000308,50000309,50000300_1,,50000302_33,50000303_33,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_34,,500003_34,,500003,34,1,,,,,,,"60,690",1,50000308,50000309,50000300_1,,50000302_34,50000303_34,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_35,,500003_35,,500003,35,1,,,,,,,"63,367",1,50000308,50000309,50000300_1,,50000302_35,50000303_35,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_36,,500003_36,,500003,36,1,,,,,,,"66,099",1,50000308,50000309,50000300_1,,50000302_36,50000303_36,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_37,,500003_37,,500003,37,1,,,,,,,"68,886",1,50000308,50000309,50000300_1,,50000302_37,50000303_37,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_38,,500003_38,,500003,38,1,,,,,,,"71,728",1,50000308,50000309,50000300_1,,50000302_38,50000303_38,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_39,,500003_39,,500003,39,1,,,,,,,"74,626",1,50000308,50000309,50000300_1,,50000302_39,50000303_39,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_40,,500003_40,,500003,40,1,,,,,,,"77,578",1,50000308,50000309,50000300_1,,50000302_40,50000303_40,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_41,,500003_41,,500003,41,1,,,,,,,"80,586",1,50000308,50000309,50000300_1,,50000302_41,50000303_41,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_42,,500003_42,,500003,42,1,,,,,,,"83,648",1,50000308,50000309,50000300_1,,50000302_42,50000303_42,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_43,,500003_43,,500003,43,1,,,,,,,"86,766",1,50000308,50000309,50000300_1,,50000302_43,50000303_43,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_44,,500003_44,,500003,44,1,,,,,,,"89,939",1,50000308,50000309,50000300_1,,50000302_44,50000303_44,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_45,,500003_45,,500003,45,1,,,,,,,"93,167",1,50000308,50000309,50000300_1,,50000302_45,50000303_45,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_46,,500003_46,,500003,46,1,,,,,,,"96,450",1,50000308,50000309,50000300_1,,50000302_46,50000303_46,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_47,,500003_47,,500003,47,1,,,,,,,"99,789",1,50000308,50000309,50000300_1,,50000302_47,50000303_47,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_48,,500003_48,,500003,48,1,,,,,,,"103,182",1,50000308,50000309,50000300_1,,50000302_48,50000303_48,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_49,,500003_49,,500003,49,1,,,,,,,"106,631",1,50000308,50000309,50000300_1,,50000302_49,50000303_49,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_50,,500003_50,,500003,50,1,,,,,,,"110,134",1,50000308,50000309,50000300_1,,50000302_50,50000303_50,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_51,,500003_51,,500003,51,1,,,,,,,"113,693",1,50000308,50000309,50000300_1,,50000302_51,50000303_51,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_52,,500003_52,,500003,52,1,,,,,,,"117,307",1,50000308,50000309,50000300_1,,50000302_52,50000303_52,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_53,,500003_53,,500003,53,1,,,,,,,"120,976",1,50000308,50000309,50000300_1,,50000302_53,50000303_53,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_54,,500003_54,,500003,54,1,,,,,,,"124,701",1,50000308,50000309,50000300_1,,50000302_54,50000303_54,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_55,,500003_55,,500003,55,1,,,,,,,"128,480",1,50000308,50000309,50000300_1,,50000302_55,50000303_55,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_56,,500003_56,,500003,56,1,,,,,,,"132,314",1,50000308,50000309,50000300_1,,50000302_56,50000303_56,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_57,,500003_57,,500003,57,1,,,,,,,"136,204",1,50000308,50000309,50000300_1,,50000302_57,50000303_57,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_58,,500003_58,,500003,58,1,,,,,,,"140,149",1,50000308,50000309,50000300_1,,50000302_58,50000303_58,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_59,,500003_59,,500003,59,1,,,,,,,"144,149",1,50000308,50000309,50000300_1,,50000302_59,50000303_59,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_60,,500003_60,,500003,60,1,,,,,,,"148,204",1,50000308,50000309,50000300_1,,50000302_60,50000303_60,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_61,,500003_61,,500003,61,1,,,,,,,"152,314",1,50000308,50000309,50000300_1,,50000302_61,50000303_61,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_62,,500003_62,,500003,62,1,,,,,,,"156,479",1,50000308,50000309,50000300_1,,50000302_62,50000303_62,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_63,,500003_63,,500003,63,1,,,,,,,"160,699",1,50000308,50000309,50000300_1,,50000302_63,50000303_63,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_64,,500003_64,,500003,64,1,,,,,,,"164,975",1,50000308,50000309,50000300_1,,50000302_64,50000303_64,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_65,,500003_65,,500003,65,1,,,,,,,"169,305",1,50000308,50000309,50000300_1,,50000302_65,50000303_65,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_66,,500003_66,,500003,66,1,,,,,,,"173,691",1,50000308,50000309,50000300_1,,50000302_66,50000303_66,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_67,,500003_67,,500003,67,1,,,,,,,"178,132",1,50000308,50000309,50000300_1,,50000302_67,50000303_67,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_68,,500003_68,,500003,68,1,,,,,,,"182,628",1,50000308,50000309,50000300_1,,50000302_68,50000303_68,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_69,,500003_69,,500003,69,1,,,,,,,"187,179",1,50000308,50000309,50000300_1,,50000302_69,50000303_69,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_70,,500003_70,,500003,70,1,,,,,,,"191,785",1,50000308,50000309,50000300_1,,50000302_70,50000303_70,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_71,,500003_71,,500003,71,1,,,,,,,"196,447",1,50000308,50000309,50000300_1,,50000302_71,50000303_71,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_72,,500003_72,,500003,72,1,,,,,,,"201,163",1,50000308,50000309,50000300_1,,50000302_72,50000303_72,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_73,,500003_73,,500003,73,1,,,,,,,"205,935",1,50000308,50000309,50000300_1,,50000302_73,50000303_73,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_74,,500003_74,,500003,74,1,,,,,,,"210,762",1,50000308,50000309,50000300_1,,50000302_74,50000303_74,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_75,,500003_75,,500003,75,1,,,,,,,"215,644",1,50000308,50000309,50000300_1,,50000302_75,50000303_75,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_76,,500003_76,,500003,76,1,,,,,,,"220,581",1,50000308,50000309,50000300_1,,50000302_76,50000303_76,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_77,,500003_77,,500003,77,1,,,,,,,"225,573",1,50000308,50000309,50000300_1,,50000302_77,50000303_77,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_78,,500003_78,,500003,78,1,,,,,,,"230,620",1,50000308,50000309,50000300_1,,50000302_78,50000303_78,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_79,,500003_79,,500003,79,1,,,,,,,"235,723",1,50000308,50000309,50000300_1,,50000302_79,50000303_79,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_80,,500003_80,,500003,80,1,,,,,,,"240,880",1,50000308,50000309,50000300_1,,50000302_80,50000303_80,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_81,,500003_81,,500003,81,1,,,,,,,"246,093",1,50000308,50000309,50000300_1,,50000302_81,50000303_81,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_82,,500003_82,,500003,82,1,,,,,,,"251,361",1,50000308,50000309,50000300_1,,50000302_82,50000303_82,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_83,,500003_83,,500003,83,1,,,,,,,"256,683",1,50000308,50000309,50000300_1,,50000302_83,50000303_83,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_84,,500003_84,,500003,84,1,,,,,,,"262,062",1,50000308,50000309,50000300_1,,50000302_84,50000303_84,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_85,,500003_85,,500003,85,1,,,,,,,"267,495",1,50000308,50000309,50000300_1,,50000302_85,50000303_85,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_86,,500003_86,,500003,86,1,,,,,,,"272,983",1,50000308,50000309,50000300_1,,50000302_86,50000303_86,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_87,,500003_87,,500003,87,1,,,,,,,"278,526",1,50000308,50000309,50000300_1,,50000302_87,50000303_87,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_88,,500003_88,,500003,88,1,,,,,,,"284,125",1,50000308,50000309,50000300_1,,50000302_88,50000303_88,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_89,,500003_89,,500003,89,1,,,,,,,"289,779",1,50000308,50000309,50000300_1,,50000302_89,50000303_89,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500003_90,,500003_90,,500003,90,1,,,,,,,"295,488",1,50000308,50000309,50000300_1,,50000302_90,50000303_90,,,50000302|20300303|50000303|20300304,1,1,32,5.5,4,0.1,0.03,0.25,,,
500004_1,,500004_1,,500004,1,0.5,1,1,,124,,,"8,650",,50000408,50000409,50000400_1,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_2,,500004_2,,500004,2,0.5,,,,157,,,"10,270",,50000408,50000409,50000400_2,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_3,,500004_3,,500004,3,0.5,,,,191,,,"11,890",,50000408,50000409,50000400_3,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_4,,500004_4,,500004,4,0.5,,,,228,,,"13,510",,50000408,50000409,50000400_4,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_5,,500004_5,,500004,5,0.5,,,,267,,,"15,130",,50000408,50000409,50000400_5,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_6,,500004_6,,500004,6,0.5,,,,308,,,"16,750",,50000408,50000409,50000400_6,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_7,,500004_7,,500004,7,0.5,,,,351,,,"18,360",,50000408,50000409,50000400_7,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_8,,500004_8,,500004,8,0.5,,,,396,,,"19,980",,50000408,50000409,50000400_8,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_9,,500004_9,,500004,9,0.5,,,,444,,,"21,600",,50000408,50000409,50000400_9,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_10,,500004_10,,500004,10,0.5,,,,493,,,"23,220",,50000408,50000409,50000400_10,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_11,,500004_11,,500004,11,0.5,,,,544,,,"24,840",,50000408,50000409,50000400_11,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_12,,500004_12,,500004,12,0.5,,,,598,,,"26,460",,50000408,50000409,50000400_12,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_13,,500004_13,,500004,13,0.5,,,,653,,,"28,070",,50000408,50000409,50000400_13,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_14,,500004_14,,500004,14,0.5,,,,711,,,"29,690",,50000408,50000409,50000400_14,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_15,,500004_15,,500004,15,0.5,,,,771,,,"35,760",,50000408,50000409,50000400_15,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_16,,500004_16,,500004,16,0.5,,,,833,,,"38,250",,50000408,50000409,50000400_16,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_17,,500004_17,,500004,17,0.5,,,,897,,,"40,740",,50000408,50000409,50000400_17,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_18,,500004_18,,500004,18,0.5,,,,963,,,"43,220",,50000408,50000409,50000400_18,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_19,,500004_19,,500004,19,0.5,,,,"1,031",,,"45,710",,50000408,50000409,50000400_19,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_20,,500004_20,,500004,20,0.5,,,,"1,101",,,"53,410",,50000408,50000409,50000400_20,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_21,,500004_21,,500004,21,0.5,,,,"1,174",,,"67,940",,50000408,50000409,50000400_21,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_22,,500004_22,,500004,22,0.5,,,,"1,248",,,"70,960",,50000408,50000409,50000400_22,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_23,,500004_23,,500004,23,0.5,,,,"1,325",,,"73,970",,50000408,50000409,50000400_23,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_24,,500004_24,,500004,24,0.5,,,,"1,404",,,"76,980",,50000408,50000409,50000400_24,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_25,,500004_25,,500004,25,0.5,,,,"1,484",,,"84,090",,50000408,50000409,50000400_25,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_26,,500004_26,,500004,26,0.5,,,,"1,567",,,"86,270",,50000408,50000409,50000400_26,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_27,,500004_27,,500004,27,0.5,,,,"1,652",,,"88,440",,50000408,50000409,50000400_27,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_28,,500004_28,,500004,28,0.5,,,,"1,739",,,"90,620",,50000408,50000409,50000400_28,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_29,,500004_29,,500004,29,0.5,,,,"1,828",,,"92,800",,50000408,50000409,50000400_29,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_30,,500004_30,,500004,30,0.5,,,,"1,919",,,"117,810",,50000408,50000409,50000400_30,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_31,,500004_31,,500004,31,0.5,,,,"2,013",,,"120,670",,50000408,50000409,50000400_31,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_32,,500004_32,,500004,32,0.5,,,,"2,108",,,"127,050",,50000408,50000409,50000400_32,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_33,,500004_33,,500004,33,0.5,,,,"2,206",,,"130,330",,50000408,50000409,50000400_33,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_34,,500004_34,,500004,34,0.5,,,,"2,305",,,"133,620",,50000408,50000409,50000400_34,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_35,,500004_35,,500004,35,0.5,,,,"2,407",,,"137,450",,50000408,50000409,50000400_35,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_36,,500004_36,,500004,36,0.5,,,,"2,511",,,"141,600",,50000408,50000409,50000400_36,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_37,,500004_37,,500004,37,0.5,,,,"2,617",,,"145,370",,50000408,50000409,50000400_37,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_38,,500004_38,,500004,38,0.5,,,,"2,725",,,"149,150",,50000408,50000409,50000400_38,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_39,,500004_39,,500004,39,0.5,,,,"2,835",,,"153,460",,50000408,50000409,50000400_39,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_40,,500004_40,,500004,40,0.5,,,,"2,947",,,"183,860",,50000408,50000409,50000400_40,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_41,,500004_41,,500004,41,0.5,,,,"3,061",,,"203,310",,50000408,50000409,50000400_41,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_42,,500004_42,,500004,42,0.5,,,,"3,178",,,"208,550",,50000408,50000409,50000400_42,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_43,,500004_43,,500004,43,0.5,,,,"3,296",,,"213,260",,50000408,50000409,50000400_43,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_44,,500004_44,,500004,44,0.5,,,,"3,417",,,"219,870",,50000408,50000409,50000400_44,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_45,,500004_45,,500004,45,0.5,,,,"3,539",,,"225,950",,50000408,50000409,50000400_45,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_46,,500004_46,,500004,46,0.5,,,,"3,664",,,"233,640",,50000408,50000409,50000400_46,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_47,,500004_47,,500004,47,0.5,,,,"3,791",,,"238,640",,50000408,50000409,50000400_47,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_48,,500004_48,,500004,48,0.5,,,,"3,920",,,"248,440",,50000408,50000409,50000400_48,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_49,,500004_49,,500004,49,0.5,,,,"4,051",,,"253,460",,50000408,50000409,50000400_49,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_50,,500004_50,,500004,50,0.5,,,,"4,184",,,"264,230",,50000408,50000409,50000400_50,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
500004_51,,500004_51,,500004,51,0.5,,,,"4,319",,,"287,580",,50000408,50000409,50000400_51,,,,,,,1,,32,5.5,14,0.1,0.25,0.25,,,
