key,Remarks,ModelActionName,Id,SkillName,ReleaseType,EffectBeginName,EffectBeginBindPoint,EffectBeginDelay,EffectBeginDuration,LoopModelAction,EffectLoopName,EffectLoopBindPoint,EffectLoopTime,LoopReleaseModelAction,EffectLoopReleaseName,EffectLoopReleaseBindPoint,EffectFlyName,EffectFlyStartPoint,EffectFlySpeed,EffectFlyTime,EffectFlyDelay,EffectFlyCombo,EffectFlyEndPoint,EffectEndName,EffectEndPoint,EffectEndDelay,EffectEndDuration,HitEffectName,HitEffectPoint,HiteffectDuration,Type,EffectFlyType,EffectFlyAngle,EffectTargetType,EffectTargetNumber,BulletTargetType,BulletTargetParam,AoeType,TargetType,RandomLimit,CD,StartCDTime,TotalTime,Priority,Distance,FindTargetDistance,HitType,Buff,Vampire,EnergyRecovery,MagicEnergyRecovery,HideHeros,MarkTimeDuration,Description,Icon,Atlas,Voice,BeginEffectSound,EffectSound,EndEffectSound,HitSound
10000502,,skill02,10000502,主角技能,,100005_skill02,,,2,,,,,,,,Common/Cube,,,0.1,0.5,"0.25,0.75",1,,,,,fx_100005_hit2,hit,0.8,3,5,,3,,2,2.5,,1,5,14.4,3.6,3,2,4,6,,500004,,,,1,1,技能攻击,Skill/skill_006,Icon,,Skill/sound_10000502_1.mp3|0,,,
10000503,,,10000503,力士男被动技能1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,5,,,,,,1,,,,,,1,1,力士男被动技能1,Skill/skill_005,Icon,,,,,
10000504,,,10000504,力士男被动技能2,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,5,,,,,,1,,,,,,1,1,力士男被动技能2,Skill/skill_005,Icon,,,,,
10000501,,skill01,10000501,主角必杀,,100005_skill07,,,5.5,,,,,,,,Common/Cube,,,0.2,2,"2.5,0.2,0.2",1,,,,,fx_100005_hit,hit,0.8,2,5,,3,,2,3,,1,5,11.42,,5.6,1,6,6,,,,,,,1,必杀攻击，远程,Skill/skill_002,Icon,Role/voice_10000501_1.mp3|0,Skill/sound_10000501_1.mp3|0,,,
10000800,,attack,10000800,术士男普攻,,,,,4,,,,,,,,fx_100008_attack_fly,,15,,0.45,,1,,,,,Common/Hit,hit,1.5,1,,,1,,1,,1,1,5,3.3,0.2,2.1,5,12,12,,,,,,1,1,普通攻击，近战,,,,,,,Skill/sound_20400101_01.mp3|0
10000807,,skill01_begin,10000807,术士男必杀,2,"fx_100008_skill01_pre,fx_100008_skill01",,,5,skill01_loop,fx_100008_skill01_loop,,2,skill01_loop_release,fx_100008_skill01_end,,Common/Cube,,,0.2,,"0,0.3,0.3,0.3,0.3,0.3",,,,0.3,,fx_100008_hit,hit,1.5,2,5,,3,,2,10,1,1,10,11.51,,4.5,1,10,12,,,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10000801_1.mp3|0,Skill/sound_10000801_1.mp3|0,,,
10000802,,skill02,10000802,术士男技能1,,fx_100008_skill02_begin,,,4,,,,,,,,Common/Cube,,,0.1,1,,,fx_100008_skill02,,0.5,4,fx_100008_hit,hit,1.5,3,5,,2,,1,,1,1,1,13.2,3.3,2,2,6,12,,,,,,1,1,自动技能，加血,Skill/skill_006,Icon,,Skill/sound_10000802_1.mp3|0,,,
10000803,,,10000803,术士男被动技能1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,5,,,,,,1,,,,,,1,1,术士男被动技能1,Skill/skill_005,Icon,,,,,
10000804,,,10000804,术士男被动技能2,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,5,,,,,,1,,,,,,1,1,术士男被动技能2,Skill/skill_005,Icon,,,,,
10000801,,skill01_begin,10000801,术士男必杀,2,"fx_100008_skill01_pre,fx_100008_skill07",,,5,skill01_loop,fx_100008_skill01_loop,,2,skill01_loop_release,fx_100008_skill01_end,,Common/Cube,,,0.2,,"0,0.3,0.3,0.3,0.3,0.3",,,,,,fx_100008_hit,hit,1.5,2,5,,3,,2,10,1,1,10,11.51,,4.5,1,10,12,,,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10000801_1.mp3|0,Skill/sound_10000801_1.mp3|0,,,
10001100,,attack,10001100,射手男普攻,,fx_100011_attack_pre,,,2,,,,,,,,fx_100011_attack_fly,fx_03,10,,0.55,,1,,,,,Common/fx_jisi_hit,hit,1.5,1,,,1,,1,,1,1,5,2.7,,2.1,5,12,12,,,,,,1,1,普通攻击，近战,,,,,,,Skill/sound_10001100_01.mp3|0
10001107,,skill01,10001107,射手男必杀,,"fx_100011_skill07_begin,fx_100011_skill01_fx_02","bind_root,fx_03",,3.8,,,,,,,,Common/Cube,,,0.1,,"2.4,0.3,0.3",,,,,,fx_100011_skill01,bind_root,2.5,2,5,,1,,1,,1,1,5,11.38,,4.5,1,12,12,,10101102,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10001101_1.mp3|0,"Skill/sound_10001101_1.mp3|0,Skill/sound_10001101_hit2.mp3|3.8",Skill/sound_10001101_hit1.mp3|0,,
10001102,,skill02,10001102,射手男技能1,,fx_100011_skill02_pre,fx_02,,2,,,,,,,,Common/Cube,,,0.2,,0.5,,,,,,fx_100011_skill01,bind_root,2.5,3,5,,1,,1,,1,1,5,10.8,2.7,2.5,2,12,12,,500020,,,,1,1,自动技能，加血,Skill/skill_006,Icon,,Skill/sound_10001102_1.mp3|0,,,
10001103,,,10001103,射手男被动1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,1,,,,,,1,1,,,,,1,,射手男被动1,Skill/skill_002,Icon,,,,,
10001104,,,10001104,射手男被动2,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,1,,,,,,1,1,,,,,1,,射手男被动2,Skill/skill_009,Icon,,,,,
10001101,,skill01,10001101,射手男必杀,,"fx_100011_skill07_begin,fx_100011_skill01_fx_02",",fx_02,",,3.8,,,,,,,,Common/Cube,,,0.1,,"3.1,0.3,0.3",,,,,,fx_100011_skill01,bind_root,2.5,2,5,,1,,1,,1,1,1,13.23,,4.5,1,12,12,,100001,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10001101_1.mp3|0,"Skill/sound_10001101_1.mp3|0,Skill/sound_10001101_hit2.mp3|3.8",,,
10100100,,attack,10100100,初始女普攻,,fx_101001_attack,,,2,,,,,,,,Common/Cube,,,0.2,,0.4,1,,,,,Common/Hit,hit,0.8,1,5,,1,,1,,1,1,5,3,0.1,2.2,5,4,6,,,,,,1,1,普通攻击，近战,,,,,,,Skill/sound_10000501_01.mp3|0
10100107,,skill01,10100107,初始女必杀,,fx_101001_skill01,,,4,,,,,,,,Common/Cube,,,0.1,,"1.7,0.2,0.5",1,,,,,fx_101001_skill01_Hit,hit,0.8,2,5,,3,,2,2.5,,1,5,11.6,,5,1,6,6,,,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10100101_1.mp3|0,Skill/sound_10100101_1.mp3|0,,,
10100102,,skill02,10100102,初始女技能1,,fx_101001_skill02,,,3,,,,,,,,Common/Cube,,,0.2,,"0.25,0.4,0.4",1,,,,,fx_101001_skill01_Hit,hit,0.8,3,5,,3,,2,4,,1,5,6.6,,3,2,4,6,,,,,,1,1,自动技能，范围攻击,Skill/skill_006,Icon,,Skill/sound_10100102_1.mp3|0,,,
10100101,,skill01,10100101,初始女必杀,,fx_101001_skill07,,,4,,,,,,,,Common/Cube,,,0.2,,"1.5,0.2,0.5",1,,,,,fx_101001_skill01_Hit,hit,0.8,2,5,,3,,2,3,,1,5,11.6,,5,1,6,6,,,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10100101_1.mp3|0,Skill/sound_10100101_1.mp3|0,,,
10100200,,attack,10100200,力士女普攻,,fx_101002_attack,,,2,,,,,,,,Common/Cube,,,0.2,,0.4,,,,1.2,4,Common/Hit,hit,0.8,1,5,,1,,1,,1,1,5,3.6,0.1,2.5,5,4,6,,,,,,1,1,普通攻击，近战,,,,,,,Skill/sound_10100200_01.mp3|0
10100207,,skill01,10100207,力士女必杀,,fx_101002_skill01,,,5,,,,,,,,Common/Cube,,,0.2,,"1.55,0.25,0.55",1,,,1.2,4,fx_101002_hit,hit,0.8,2,5,,3,,2,2.5,,1,5,11.42,,7,1,5,6,,,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10100201_1.mp3|0,Skill/sound_10100201_1.mp3|0,,,
10100202,,skill02,10100202,力士女技能1,,fx_101002_skill02,,,2,,,,,,,,Common/Cube,,,0.2,,"0.25,0.65",1,,,1.2,4,fx_101002_hit2,hit,0.8,3,5,,3,,2,2.5,,1,5,14.4,3.6,3,2,4,6,,,,,,1,1,自动技能，范围攻击,Skill/skill_006,Icon,,Skill/sound_10100202_1.mp3|0,,,
10100203,,,10100203,力士女被动技能1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,5,,,,,,1,,,,,,1,1,力士女被动技能1,Skill/skill_005,Icon,,,,,
10100204,,,10100204,力士女被动技能2,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,5,,,,,,1,,,,,,1,1,力士女被动技能2,Skill/skill_005,Icon,,,,,
10100201,,skill01,10100201,力士女必杀,,fx_101002_skill07,,,5,,,,,,,,Common/Cube,,,0.2,,"1.45,0.25,0.55",1,,,1.2,4,fx_101002_hit,hit,0.8,2,5,,3,,2,3,,1,5,11.42,,7,1,6,6,,,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10100201_1.mp3|0,Skill/sound_10100201_1.mp3|0,,,
10100500,,attack,10100500,行者男普攻,,fx_101005_attack,,,2,,,,,,,,Common/Cube,,,0.2,,"0.35,0.2",,,,1.2,4,Common/Hit,hit,0.8,1,5,,1,,1,,1,1,5,3,0.2,2,5,4,6,,,1,,,1,1,普通攻击，近战,,,,,,,Skill/sound_30000101_01.mp3|0
10100507,,skill01,10100507,行者男必杀,,"fx_101005_skill01,fx_101005_skill01_01",,,4,,,,,,,,Common/Cube,,,0.2,,"0.85,0.15,0.15,0.3",1,,,,,fx_101005_hit,hit,0.8,2,5,,6,,1,,1,1,5,11.6,,5,1,6,12,,,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10100501_1.mp3|0,Skill/sound_10100501_1.mp3|0,,,
10100502,,skill02,10100502,行者男技能1,,"fx_101005_skill02_pre,fx_101005_skill02",,,3,,,,,,,,Common/Cube,,,0.2,1.85,,1,,,1.2,4,fx_101005_hit,hit,0.8,3,5,,3,,2,2.5,,1,5,12,3,3.1,2,6,6,,,,,,1,1,自动技能，群攻,Skill/skill_006,Icon,,Skill/sound_10100502_1.mp3|0,,,
10100503,,,10100503,行者男被动技能1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,5,,,,,,1,,,,,,1,1,行者男被动技能1,Skill/skill_005,Icon,,,,,
10100504,,,10100504,行者男被动技能2,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,5,,,,,,1,,,,,,1,1,行者男被动技能2,Skill/skill_005,Icon,,,,,
10100501,,skill01,10100501,行者男必杀,,"fx_101005_skill07,fx_101005_skill01_01",,,4,,,,,,,,Common/Cube,,,0.2,,"0.8,0.15,0.15,0.3",1,,,,,fx_101005_hit,hit,0.8,2,5,,6,,1,,1,1,5,11.6,,5,1,6,12,,,,,,,0.7,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10100501_1.mp3|0,Skill/sound_10100501_1.mp3|0,,,
10100800,,attack,10100800,术士女普攻,,,,,4,,,,,,,,fx_101008_attack_fly 1,,15,,0.4,,1,,,,,Common/Hit,hit,1.5,1,,,1,,1,,1,1,5,3.3,0.2,2.1,5,12,12,,,,,,1,1,普通攻击，近战,,,,,,,Skill/sound_20400101_01.mp3|0
10100807,,skill01_begin,10100807,术士女必杀,2,fx_101008_skill01_begin,,0.1,5,skill01_loop,fx_101008_skill01_loop,,2,skill01_loop_release,fx_101008_skill01_end,,Common/Cube,,,0.1,,"0,0.3,0.3,0.3,0.3,0.3",,,,0.3,,fx_101008_skill01_Hit,hit,1.5,2,5,,3,,2,10,1,1,10,11.51,,4.5,1,10,12,,,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10100801_1.mp3|0,Skill/sound_10100801_1.mp3|0,,,
10100802,,skill02,10100802,术士女技能1,,fx_101008_skill02_begin,,,4,,,,,,,,Common/Cube,,,0.1,1,,,fx_101008_skill02,,0.5,4,fx_101008_skill01_Hit,hit,1.5,3,5,,2,,1,,1,1,1,13.2,3.3,2,2,6,12,,,,,,1,1,自动技能，加血,Skill/skill_006,Icon,,Skill/sound_10000802_1.mp3|0,,,
10100803,,,10100803,术士女被动技能1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,5,,,,,,1,,,,,,1,1,术士女被动技能1,Skill/skill_005,Icon,,,,,
10100804,,,10100804,术士女被动技能2,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,5,,,,,,1,,,,,,1,1,术士女被动技能2,Skill/skill_005,Icon,,,,,
10100801,,skill01_begin,10100801,术士女必杀,2,fx_101008_skill07,,,5,skill01_loop,fx_101008_skill01_loop,,2,skill01_loop_release,fx_101008_skill01_end,,Common/Cube,,,0.1,,"0,0.3,0.3,0.3,0.3,0.3",,,,,,fx_101008_skill01_Hit,hit,1.5,2,5,,3,,2,10,1,1,10,11.51,,4.5,1,10,12,,,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10100801_1.mp3|0,Skill/sound_10100801_1.mp3|0,,,
10101100,,attack,10101100,射手女普攻,,,fx_01,,2,,,,,,,,fx_101011_attack_fly,fx_01,10,,0.55,,1,,,,,Common/fx_jisi_hit,hit,1.5,1,,,1,,1,,1,1,5,2.7,,2.1,5,12,12,,,,,,1,1,普通攻击，近战,,,,,,,Skill/sound_10001100_01.mp3|0
10101107,,skill01,10101107,射手女必杀,,"fx_101011_skill07_begin,fx_101011_skill01_fx_02","bind_root,fx_02",,3.8,,,,,,,,Common/Cube,,,0.1,,"2.4,0.3,0.3",,,,,,fx_101011_skill01,bind_root,2.5,2,5,,1,,1,,1,1,5,11.38,,4.5,1,12,12,,10101102,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10101101_1.mp3|0,Skill/sound_10101101_1.mp3|0,,,
10101102,,skill02,10101102,射手女技能1,,fx_101011_skill02_begin,,,2,,,,,,,,Common/Cube,,,0.2,,0.5,1,,,,,fx_101011_skill01,bind_root,2.5,3,5,,1,,1,,1,1,5,10.8,2.7,2.5,2,12,12,,500020,,,,1,1,必杀，前方范围攻击,Skill/skill_002,Icon,,Skill/sound_10001102_1.mp3|0,,,
10101103,,,10101103,射手女被动1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,1,,,,,,1,1,,,,,1,,射手女被动1,Skill/skill_002,Icon,,,,,
10101104,,,10101104,射手女被动2,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,1,,,,,,1,1,,,,,1,,射手女被动2,Skill/skill_009,Icon,,,,,
10101101,,skill01,10101101,射手女必杀,,"fx_101011_skill07_begin,fx_101011_skill01_fx_02","bind_root,fx_02",,3.8,,,,,,,,Common/Cube,,,0.1,,"3.1,0.3,0.3",,,,,,fx_101011_skill01,bind_root,2.5,2,5,,1,,1,24,1,1,1,11.73,6,4.5,1,12,12,,100001,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10101101_1.mp3|0,Skill/sound_10101101_1.mp3|0,,,
10200100,,magic07,10200100,剧情用诛仙剑,,Common/fx_603004_skill01_begin,,,2,,,,,,,,Common/Cube,,,0.2,,"1.5,0.2,0.2",,Common/fx_603004_skill01_end,,1.5,3,Common/fx_601003_skill01_hit,hit,1.5,4,5,,12,,2,10,,1,1,25,,6,,-8,"10,000",,,,,,,1,横向划屏攻击，所有敌人受到伤害，可划屏3次，攻击附近混乱状态。,,,,Magic/sound_10200101_02.mp3|0,,,
10200301,,magic01,10200301,雷光锤,,Common/fx_700004_skill01,,,6,,,,,,,,Common/Cube,,,0.1,2.1,,1,Common/fx_700004_skill01_fly,,1.8,4,Common/fx_700004_hit,hit,1.5,4,5,,3,,2,20,,1,1,25,,6,,,"10,000",,,,,,,1,横向划屏攻击，所有敌人受到伤害，可划屏3次，攻击附近混乱状态。,,,,Magic/sound_60360202_1.mp3|0,,,
10200307,,magic07,10200307,雷光锤,,Common/fx_700004_skill07,,,6,,,,,,,,Common/Cube,,,0.1,1.5,,1,,,,,Common/fx_700004_hit,hit,1.5,4,5,,3,,2,20,,1,1,25,,6,,8,12,,,,,,,1,横向划屏攻击，所有敌人受到伤害，可划屏3次，攻击附近混乱状态。,,,,Magic/sound_60360202_1.mp3|0,,,
10200401,,magic01,10200401,神火轮,,Common/fx_602004_skill01,,,6,,,,,,,,Common/Cube,,,0.2,,"3.1,0.3,0.3,0.3",1,Common/fx_602004_skill01_fly,bind_root,3,4,Common/fx_602004_skill01_hit,hit,,4,5,,12,,2,10,,1,5,25,,6,,,"10,000",,,,,,,1,横向划屏攻击，所有敌人受到伤害，可划屏3次，攻击附近混乱状态。,,,,Magic/sound_60360102_1.mp3|0,,,
10200407,,magic07,10200407,神火轮,,Common/fx_603601_skill01,,,6,,,,,,,,Common/Cube,,,0.2,,"1.6,0.3,0.3,0.3",1,Common/fx_602004_skill01_fly,bind_root,1.3,4,Common/fx_602004_skill01_hit,hit,,4,5,,12,,2,10,,1,5,25,,6,,,12,,,,,,,1,横向划屏攻击，所有敌人受到伤害，可划屏3次，攻击附近混乱状态。,,,,Magic/sound_60360102_1.mp3|0,,,
10201601,,magic01,10201601,战神枪,,"Common/fx_700008_skill01,Common/fx_700008_skill01_hit",,,8,,,,,,,,Common/Cube,,,0.1,2.98,,,Common/fx_700008_skill01_hit_01,,3,10,Common/Hit,hit,0.8,4,5,,3,,3,,3,1,1,25,,6,,12,"10,000",,500001,,,,,1,横向划屏攻击，所有敌人受到伤害，可划屏3次，攻击附近混乱状态。,,,,Magic/sound_10200101_02.mp3|0,,,Skill/sound_20000100_01.mp3|0
10201607,,magic07,10201607,战神枪,,"Common/fx_603603_skill01,Common/fx_700008_skill07_hit",,,8,,,,,,,,Common/Cube,,,0.1,1.58,,,Common/fx_700008_skill01_hit_01,,1.3,10,Common/Hit,hit,0.8,4,5,,3,,3,,3,1,1,25,,6,,12,12,,500001,,,,,1,横向划屏攻击，所有敌人受到伤害，可划屏3次，攻击附近混乱状态。,,,,Magic/sound_10200101_02.mp3|0,,,Skill/sound_20000100_01.mp3|0
10200201,,magic02,10200201,乾坤尺,,Common/fx_700002_begin_2,,,6,,,,,,,,Common/Cube,,,3.2,,,1,,,,,,,,4,5,,3,,1,10,1,,5,25,,10,,10,12,1,600038,,,,,1,,,,,Magic/sound_60350102_1.mp3|0,,,
10200202,,idle,10200202,乾坤尺附属,,Common/fx_700002_hero,,,6,,,,,,,,Common/fx_700002_hero_fly,hit,,0.2,3,,1,,,,,,,,4,5,,4,,1,10,1,1,5,25,,10,,16,20,,,,,,1,1,,,,,,,,
10200207,,magic02,10200207,乾坤尺,,Common/fx_700002_begin_7,,,6,,,,,,,,Common/Cube,,,3.2,,,1,,,,,,,,4,5,,3,,1,10,1,,5,25,,10,,10,12,1,600038,,,,,2,,,,,Magic/sound_60350102_1.mp3|0,,,
10200208,,idle,10200208,乾坤尺附属,,Common/fx_700002_hero,,,6,,,,,,,,Common/fx_700002_hero_fly,hit,,0.2,3,,1,,,,,,,,4,5,,4,,1,10,1,1,5,25,,10,,16,20,,,,,,1,1,,,,,,,,
10202201,,magic02,10202201,噬天尺B,,Common/fx_700003_begin_2,,,6,,,,,,,,Common/Cube,,,3.2,,,1,,,,,,,,4,5,,3,,1,15,1,,5,25,,10,,10,12,1,600038,,,,,1,,,,,Magic/sound_60350102_1.mp3|0,,,
10202202,,idle,10202202,噬天尺附属,,Common/fx_700002_hero,,,6,,,,,,,,Common/fx_700002_hero_fly,hit,,0.2,3,,1,,,,,,,,4,5,,4,,1,10,1,1,5,25,,10,,16,20,,,,,,1,1,,,,,,,,
10202203,,magic02,10202203,噬天尺PVP,,Common/fx_700003_begin_7,,,6,,,,,,,,Common/Cube,,,3.2,,,1,,,,,,,,4,5,,3,,1,15,1,,5,25,,10,,10,12,1,600038,,,,,2,,,,,Magic/sound_60350102_1.mp3|0,,,
10202204,,idle,10202204,噬天尺附属PVP,,Common/fx_700002_hero,,,6,,,,,,,,Common/fx_700002_hero_fly,hit,,0.2,3,,1,,,,,,,,4,5,,4,,1,10,1,1,5,25,,10,,16,20,,,,,,1,1,,,,,,,,
10202301,,magic02,10202301,降妖尺A,,Common/fx_700005_begin_2,,,6,,,,,,,,Common/Cube,,,3.2,,,1,,,,,,,,4,5,,3,,1,10,1,,5,25,,10,,10,12,1,600038,,,,,1,,,,,Magic/sound_60350102_1.mp3|0,,,
10202302,,idle,10202302,降妖尺附属,,Common/fx_700002_hero,,,6,,,,,,,,Common/fx_700002_hero_fly,hit,,0.2,3,,1,,,,,,,,4,5,,4,,1,10,1,1,5,25,,10,,16,20,,,,,,1,1,,,,,,,,
10202303,,magic02,10202303,降妖尺PVP,,Common/fx_700005_begin_7,,,6,,,,,,,,Common/Cube,,,3.2,,,1,,,,,,,,4,5,,3,,1,10,1,,5,25,,10,,10,12,1,600038,,,,,2,,,,,Magic/sound_60350102_1.mp3|0,,,
10202304,,idle,10202304,降妖尺附属PVP,,Common/fx_700002_hero,,,6,,,,,,,,Common/fx_700002_hero_fly,hit,,0.2,3,,1,,,,,,,,4,5,,4,,1,10,1,1,5,25,,10,,16,20,,,,,,1,1,,,,,,,,
10202401,,magic02,10202401,灵幻尺S,,Common/fx_700006_begin_2,,,6,,,,,,,,Common/Cube,,,3.2,,,1,,,,,,,,4,5,,3,,1,10,1,,5,25,,10,,10,12,1,600038,,,,,1,,,,,Magic/sound_60350102_1.mp3|0,,,
10202402,,idle,10202402,灵幻尺附属,,Common/fx_700002_hero,,,6,,,,,,,,Common/fx_700002_hero_fly,hit,,0.2,3,,1,,,,,,,,4,5,,4,,1,10,1,1,5,25,,10,,16,20,,,,,,1,1,,,,,,,,
10202403,,magic02,10202403,灵幻尺PVP,,Common/fx_700006_begin_7,,,6,,,,,,,,Common/Cube,,,3.2,,,1,,,,,,,,4,5,,3,,1,10,1,,5,25,,10,,10,12,1,600038,,,,,2,,,,,Magic/sound_60350102_1.mp3|0,,,
