key,Remarks,Id,enterStartPosX,camStartPosX,fov,camPosX,camPosY,camPosZ,camRotateX,camRotateY,camRotateZ,BossBattle,LockCamera,BattleOffset,fightBoundary,BGM
110000_1,,110000_1,14,14,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110000_2,,110000_2,,,36,4.6,1,7,-23,78.5,,1,1,3,5,Scene/Battle/bg_boss2.mp3
110101_1,,110101_1,10.5,9.9,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110102_1,,110102_1,10.5,9.9,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120101_1,,120101_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110201_1,,110201_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110202_1,,110202_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110203_1,,110203_1,5.4,5.4,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
120201_1,,120201_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120202_1,,120202_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
110301_1,,110301_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110302_1,,110302_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110303_1,,110303_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110304_1,,110304_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110305_1,,110305_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110306_1,,110306_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
120301_1,,120301_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120302_1,,120302_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120303_1,,120303_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
110401_1,,110401_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110402_1,,110402_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110403_1,,110403_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110404_1,,110404_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110405_1,,110405_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110406_1,,110406_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110407_1,,110407_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110408_1,,110408_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110409_1,,110409_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110410_1,,110410_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
120401_1,,120401_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120402_1,,120402_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120403_1,,120403_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120404_1,,120404_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120405_1,,120405_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
110501_1,,110501_1,,,36,-0.25,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110502_1,,110502_1,,,36,-0.25,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110503_1,,110503_1,,,36,-0.25,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110504_1,,110504_1,,,36,-0.25,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110505_1,,110505_1,,,36,-0.25,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110506_1,,110506_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
110507_1,,110507_1,,,36,-0.25,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110508_1,,110508_1,,,36,-0.25,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110509_1,,110509_1,,,36,-0.25,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110510_1,,110510_1,,,36,-0.25,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110511_1,,110511_1,,,36,-0.25,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110512_1,,110512_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
120501_1,,120501_1,,,36,-0.25,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120502_1,,120502_1,,,36,-0.25,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120503_1,,120503_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
120504_1,,120504_1,,,36,-0.25,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120505_1,,120505_1,,,36,-0.25,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120506_1,,120506_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
110601_1,,110601_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110602_1,,110602_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110603_1,,110603_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110604_1,,110604_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110605_1,,110605_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110606_1,,110606_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
110607_1,,110607_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110608_1,,110608_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110609_1,,110609_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110610_1,,110610_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110611_1,,110611_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110612_1,,110612_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
120601_1,,120601_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120602_1,,120602_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120603_1,,120603_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
120604_1,,120604_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120605_1,,120605_1,,,36,0.7,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120606_1,,120606_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
110701_1,,110701_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110702_1,,110702_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110703_1,,110703_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110704_1,,110704_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110705_1,,110705_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110706_1,,110706_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
110707_1,,110707_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110708_1,,110708_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110709_1,,110709_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110710_1,,110710_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110711_1,,110711_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110712_1,,110712_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
120701_1,,120701_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120702_1,,120702_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120703_1,,120703_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
120704_1,,120704_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120705_1,,120705_1,,,36,,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120706_1,,120706_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
110801_1,,110801_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110802_1,,110802_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110803_1,,110803_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110804_1,,110804_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110805_1,,110805_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110806_1,,110806_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
110807_1,,110807_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110808_1,,110808_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110809_1,,110809_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110810_1,,110810_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110811_1,,110811_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110812_1,,110812_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
120801_1,,120801_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120802_1,,120802_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120803_1,,120803_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
120804_1,,120804_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120805_1,,120805_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120806_1,,120806_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
110901_1,,110901_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110902_1,,110902_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110903_1,,110903_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110904_1,,110904_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110905_1,,110905_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110906_1,,110906_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
110907_1,,110907_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110908_1,,110908_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110909_1,,110909_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110910_1,,110910_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110911_1,,110911_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
110912_1,,110912_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
120901_1,,120901_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120902_1,,120902_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120903_1,,120903_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
120904_1,,120904_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120905_1,,120905_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
120906_1,,120906_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
111001_1,,111001_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111002_1,,111002_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111003_1,,111003_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111004_1,,111004_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111005_1,,111005_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111006_1,,111006_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
111007_1,,111007_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111008_1,,111008_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111009_1,,111009_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111010_1,,111010_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111011_1,,111011_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111012_1,,111012_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
121001_1,,121001_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121002_1,,121002_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121003_1,,121003_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
121004_1,,121004_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121005_1,,121005_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121006_1,,121006_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
111101_1,,111101_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111102_1,,111102_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111103_1,,111103_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111104_1,,111104_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111105_1,,111105_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111106_1,,111106_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
111107_1,,111107_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111108_1,,111108_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111109_1,,111109_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111110_1,,111110_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111111_1,,111111_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111112_1,,111112_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
121101_1,,121101_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121102_1,,121102_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121103_1,,121103_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
121104_1,,121104_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121105_1,,121105_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121106_1,,121106_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
111201_1,,111201_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111202_1,,111202_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111203_1,,111203_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111204_1,,111204_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111205_1,,111205_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111206_1,,111206_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
111207_1,,111207_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111208_1,,111208_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111209_1,,111209_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111210_1,,111210_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111211_1,,111211_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111212_1,,111212_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
121201_1,,121201_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121202_1,,121202_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121203_1,,121203_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
121204_1,,121204_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121205_1,,121205_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121206_1,,121206_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
111301_1,,111301_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111302_1,,111302_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111303_1,,111303_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111304_1,,111304_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111305_1,,111305_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111306_1,,111306_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
111307_1,,111307_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111308_1,,111308_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111309_1,,111309_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111310_1,,111310_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111311_1,,111311_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111312_1,,111312_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
121301_1,,121301_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121302_1,,121302_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121303_1,,121303_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
121304_1,,121304_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121305_1,,121305_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121306_1,,121306_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
111401_1,,111401_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111402_1,,111402_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111403_1,,111403_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111404_1,,111404_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111405_1,,111405_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111406_1,,111406_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
111407_1,,111407_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111408_1,,111408_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111409_1,,111409_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111410_1,,111410_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111411_1,,111411_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111412_1,,111412_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
121401_1,,121401_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121402_1,,121402_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121403_1,,121403_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
121404_1,,121404_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121405_1,,121405_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
121406_1,,121406_1,,,36,-15.63,5,,,-18.92,,1,,3,5,Scene/Battle/bg_boss2.mp3
111501_1,,111501_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111502_1,,111502_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111503_1,,111503_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
111504_1,,111504_1,,,36,-0.5,6.79,-12.79,,,,,1,3,5,Scene/Battle/bg_normalbattle.mp3
