key,remarks,itemID,itemNum,vipLimit
2016_2_7,,704011,100,
2016_2_8,,802002,2,5
2016_2_9,,2,80,
2016_2_10,,704011,3,6
2016_2_11,,804002,2,
2016_2_12,,803002,2,7
2016_2_13,,704011,4,8
2016_2_14,,801002,2,
2016_2_15,,802002,3,9
2016_2_16,,2,100,
2016_2_17,,704011,4,10
2016_2_18,,804002,3,
2016_2_19,,803002,3,11
2016_2_20,,704011,4,12
2016_2_21,,801002,3,
2016_2_22,,802002,3,15
2016_2_23,,2,120,
2016_2_24,,704011,4,14
2016_2_25,,804002,3,
2016_2_26,,803002,3,15
2016_2_27,,704011,4,15
2016_2_28,,801002,3,
2016_2_29,,802002,3,15
2016_3_1,,802001,5,1
2016_3_2,,2,50,
2016_3_3,,204004_1,1,2
2016_3_4,,804001,5,
2016_3_5,,803001,5,3
2016_3_6,,704011,3,4
2016_3_7,,801001,5,
2016_3_8,,802002,2,5
2016_3_9,,2,80,
2016_3_10,,704011,3,6
2016_3_11,,804002,2,
2016_3_12,,803002,2,7
2016_3_13,,704011,4,8
2016_3_14,,801002,2,
2016_3_15,,802002,3,9
2016_3_16,,2,100,
2016_3_17,,704011,4,10
2016_3_18,,804002,3,
2016_3_19,,803002,3,11
2016_3_20,,704011,4,12
2016_3_21,,801002,3,
2016_3_22,,802002,3,15
2016_3_23,,2,120,
2016_3_24,,704011,4,14
2016_3_25,,804002,3,
2016_3_26,,803002,3,15
2016_3_27,,704011,4,15
2016_3_28,,801002,3,
2016_3_29,,802002,3,15
2016_3_30,,2,150,
2016_3_31,,704011,4,15
2016_4_1,,2,20,1
2016_4_2,,602003,1,
2016_4_3,,602004,1,2
2016_4_4,,803001,5,3
2016_4_5,,803001,10,
2016_4_6,,803001,15,4
2016_4_7,,2,30,
2016_4_8,,2,30,5
2016_4_9,,602006,1,6
2016_4_10,,602007,1,
2016_4_11,,803002,5,7
2016_4_12,,803002,10,
2016_4_13,,803002,15,8
2016_4_14,,2,50,9
2016_4_15,,2,50,
2016_4_16,,602008,1,10
2016_4_17,,602009,1,
2016_4_18,,801002,5,11
2016_4_19,,801002,10,12
2016_4_20,,801002,15,
2016_4_21,,2,80,13
2016_4_22,,2,80,
2016_4_23,,602011,1,14
2016_4_24,,602012,1,15
2016_4_25,,802002,5,
2016_4_26,,802002,10,15
2016_4_27,,802002,15,
2016_4_28,,2,100,15
2016_4_29,,2,100,15
2016_4_30,,602001,1,
2016_5_1,,802001,5,1
2016_5_2,,2,50,
2016_5_3,,204004_1,1,2
2016_5_4,,804001,5,
2016_5_5,,803001,5,3
2016_5_6,,704011,3,4
2016_5_7,,801001,5,
2016_5_8,,802002,2,5
2016_5_9,,2,80,
2016_5_10,,704011,3,6
2016_5_11,,804002,2,
2016_5_12,,803002,2,7
2016_5_13,,704011,4,8
2016_5_14,,801002,2,
2016_5_15,,802002,3,9
2016_5_16,,2,100,
2016_5_17,,704011,4,10
2016_5_18,,804002,3,
2016_5_19,,803002,3,11
2016_5_20,,704011,4,12
2016_5_21,,801002,3,
2016_5_22,,802002,3,15
2016_5_23,,2,120,
2016_5_24,,704011,4,14
2016_5_25,,804002,3,
2016_5_26,,803002,3,15
2016_5_27,,704011,4,15
2016_5_28,,801002,3,
2016_5_29,,802002,3,15
2016_5_30,,2,150,
2016_5_31,,704011,4,15
2016_6_1,,2,20,1
2016_6_2,,602003,1,
2016_6_3,,602004,1,2
2016_6_4,,803001,5,3
2016_6_5,,803001,10,
2016_6_6,,803001,15,4
2016_6_7,,2,30,
2016_6_8,,2,30,5
2016_6_9,,602006,1,6
2016_6_10,,602007,1,
2016_6_11,,803002,5,7
2016_6_12,,803002,10,
2016_6_13,,803002,15,8
2016_6_14,,2,50,9
2016_6_15,,2,50,
2016_6_16,,602008,1,10
2016_6_17,,602009,1,
2016_6_18,,801002,5,11
2016_6_19,,801002,10,12
2016_6_20,,801002,15,
2016_6_21,,2,80,13
2016_6_22,,2,80,
2016_6_23,,602011,1,14
2016_6_24,,602012,1,15
2016_6_25,,802002,5,
2016_6_26,,802002,10,15
2016_6_27,,802002,15,
2016_6_28,,2,100,15
2016_6_29,,2,100,15
2016_6_30,,602001,1,
2016_7_1,,802001,5,1
2016_7_2,,2,50,
2016_7_3,,204004_1,1,2
2016_7_4,,804001,5,
2016_7_5,,803001,5,3
2016_7_6,,704011,3,4
2016_7_7,,801001,5,
2016_7_8,,802002,2,5
2016_7_9,,2,80,
2016_7_10,,704011,3,6
2016_7_11,,804002,2,
2016_7_12,,803002,2,7
2016_7_13,,704011,4,8
2016_7_14,,801002,2,
2016_7_15,,802002,3,9
2016_7_16,,2,100,
2016_7_17,,704011,4,10
2016_7_18,,804002,3,
2016_7_19,,803002,3,11
2016_7_20,,704011,4,12
2016_7_21,,801002,3,
2016_7_22,,802002,3,15
2016_7_23,,2,120,
2016_7_24,,704011,4,14
2016_7_25,,804002,3,
2016_7_26,,803002,3,15
2016_7_27,,704011,4,15
2016_7_28,,801002,3,
2016_7_29,,802002,3,15
2016_7_30,,2,150,
2016_7_31,,704011,4,15
2016_8_1,,802001,5,1
2016_8_2,,2,50,
2016_8_3,,204004_1,1,2
2016_8_4,,804001,5,
2016_8_5,,803001,5,3
2016_8_6,,704011,3,4
2016_8_7,,801001,5,
2016_8_8,,802002,2,5
2016_8_9,,2,80,
2016_8_10,,704011,3,6
2016_8_11,,804002,2,
2016_8_12,,803002,2,7
2016_8_13,,704011,4,8
2016_8_14,,801002,2,
2016_8_15,,802002,3,9
2016_8_16,,2,100,
2016_8_17,,704011,4,10
2016_8_18,,804002,3,
2016_8_19,,803002,3,11
2016_8_20,,704011,4,12
2016_8_21,,801002,3,
2016_8_22,,802002,3,15
2016_8_23,,2,120,
2016_8_24,,704011,4,14
2016_8_25,,804002,3,
2016_8_26,,803002,3,15
2016_8_27,,704011,4,15
2016_8_28,,801002,3,
2016_8_29,,802002,3,15
2016_8_30,,2,150,
2016_8_31,,704011,4,15
2016_9_1,,802001,5,1
2016_9_2,,2,50,
2016_9_3,,204004_1,1,2
2016_9_4,,804001,5,
2016_9_5,,803001,5,3
2016_9_6,,704011,3,4
2016_9_7,,801001,5,
2016_9_8,,802002,2,5
2016_9_9,,2,80,
2016_9_10,,704011,3,6
2016_9_11,,804002,2,
2016_9_12,,803002,2,7
2016_9_13,,704011,4,8
2016_9_14,,801002,2,
2016_9_15,,802002,3,9
2016_9_16,,2,100,
2016_9_17,,704011,4,10
2016_9_18,,804002,3,
2016_9_19,,803002,3,11
2016_9_20,,704011,4,12
2016_9_21,,801002,3,
2016_9_22,,802002,3,15
2016_9_23,,2,120,
2016_9_24,,704011,4,14
2016_9_25,,804002,3,
2016_9_26,,803002,3,15
2016_9_27,,704011,4,15
2016_9_28,,801002,3,
2016_9_29,,802002,3,15
2016_9_30,,704011,4,15
2016_10_1,,802001,5,1
2016_10_2,,2,50,
2016_10_3,,204004_1,1,2
2016_10_4,,804001,5,
2016_10_5,,803001,5,3
2016_10_6,,704011,3,4
2016_10_7,,801001,5,
2016_10_8,,802002,2,5
2016_10_9,,2,80,
2016_10_10,,704011,3,6
2016_10_11,,804002,2,
2016_10_12,,803002,2,7
2016_10_13,,704011,4,8
2016_10_14,,801002,2,
2016_10_15,,802002,3,9
2016_10_16,,2,100,
2016_10_17,,704011,4,10
2016_10_18,,804002,3,
2016_10_19,,803002,3,11
2016_10_20,,704011,4,12
2016_10_21,,801002,3,
2016_10_22,,802002,3,15
2016_10_23,,2,120,
2016_10_24,,704011,4,14
2016_10_25,,804002,3,
2016_10_26,,803002,3,15
2016_10_27,,704011,4,15
2016_10_28,,801002,3,
2016_10_29,,802002,3,15
2016_10_30,,2,150,
2016_10_31,,704011,4,15
2016_11_1,,802001,5,1
2016_11_2,,2,50,
2016_11_3,,204004_1,1,2
2016_11_4,,804001,5,
2016_11_5,,803001,5,3
2016_11_6,,704011,3,4
2016_11_7,,801001,5,
2016_11_8,,802002,2,5
2016_11_9,,2,80,
2016_11_10,,704011,3,6
2016_11_11,,804002,2,
2016_11_12,,803002,2,7
2016_11_13,,704011,4,8
2016_11_14,,801002,2,
2016_11_15,,802002,3,9
2016_11_16,,2,100,
2016_11_17,,704011,4,10
2016_11_18,,804002,3,
2016_11_19,,803002,3,11
2016_11_20,,704011,4,12
2016_11_21,,801002,3,
2016_11_22,,802002,3,15
2016_11_23,,2,120,
2016_11_24,,704011,4,14
2016_11_25,,804002,3,
2016_11_26,,803002,3,15
2016_11_27,,704011,4,15
2016_11_28,,801002,3,
2016_11_29,,802002,3,15
2016_11_30,,704011,4,15
2016_12_1,,802001,5,1
2016_12_2,,2,50,
2016_12_3,,204004_1,1,2
2016_12_4,,804001,5,
2016_12_5,,803001,5,3
2016_12_6,,704011,3,4
2016_12_7,,801001,5,
2016_12_8,,802002,2,5
2016_12_9,,2,80,
2016_12_10,,704011,3,6
2016_12_11,,804002,2,
2016_12_12,,803002,2,7
2016_12_13,,704011,4,8
2016_12_14,,801002,2,
2016_12_15,,802002,3,9
2016_12_16,,2,100,
2016_12_17,,704011,4,10
2016_12_18,,804002,3,
2016_12_19,,803002,3,11
2016_12_20,,704011,4,12
2016_12_21,,801002,3,
2016_12_22,,802002,3,15
2016_12_23,,2,120,
2016_12_24,,704011,4,14
2016_12_25,,804002,3,
2016_12_26,,803002,3,15
2016_12_27,,704011,4,15
2016_12_28,,801002,3,
2016_12_29,,802002,3,15
2016_12_30,,2,150,
2016_12_31,,704011,4,15
