key,Remarks,roleId,nextRoleId,roleType,sex,modelId,camp,name,imageId,atlas,battleIcon,fullEnergyIcon,careerType,soulStoneId,volumeRadius,goodAt,bustImage,summonFlag,summonNumber,risingNumber,title,titleIcon,transform,heroDesc,heroIllustrate,order,group,starLevel,energy,life,attack,physiqueDef,spiritDef,hit,dodge,critical,toughness,lifeReceive,energyReceive,attackVampire,criticalHurt,energyPerSecond,energyTrans,attackEnergy,struckEnergy,attackDistance,attackSpeed,moveSpeed,viewRange,lifeGrowUp,attackGrowUp,physicqueDefGrowUp,spiritDefGrowUp,attackType,attackId,skillId01,skillId02,skillId03,skillId04,skillId05,dieSkillId,qualityId,nameIcon,upNeedCoin,voice,reactionTime,attackHurt,cutHurt,cutCritHurt,resist,addCure,cutCure,doHurt,hardStraight,actionName,soundName,canShow,statInfo,ff1
201001_1,,201001_1,201001_2,,-1,201001,1,杨戬,head_org/Head_org_YangJian,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_YangJian,Hero_head/head_YangJian_NuQi,2,704003,1,,,,,20,二郎天君,JiaoBiao_XingZhe_01,8,近战物理攻击，能对敌方中后排输出造成威胁,昆仑山第三代弟子中佼佼者，与韦护并称为天才二人组,15,,1,1000,929,147,57,45,,,,,78,2,,,5,6,25,200,,,50,"1,000",9694,1537,601,481,,20100100_1,20100101_1,20100102_1,20100103_1,20100104_1,,,201001_1,,50000,Sound_201001_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201001_1_01.mp3,1,近战/爆发;0.77;0.6;0.6,
201001_2,,201001_2,201001_3,,-1,201001,1,杨戬,head_org/Head_org_YangJian,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_YangJian,Hero_head/head_YangJian_NuQi,2,704003,1,,,,,50,二郎天君,JiaoBiao_XingZhe_01,21,近战物理攻击，能对敌方中后排输出造成威胁,昆仑山第三代弟子中佼佼者，与韦护并称为天才二人组,15,,2,1000,929,147,57,45,,,,,78,2,,,5,6,25,200,,,50,"1,000",14541,2306,902,722,,20100100_1,20100101_1,20100102_1,20100103_1,20100104_1,,,201001_1,,100000,Sound_201001_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201001_1_01.mp3,1,近战/爆发;0.77;0.6;0.6,
201001_3,,201001_3,201001_4,,-1,201001,1,杨戬,head_org/Head_org_YangJian,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_YangJian,Hero_head/head_YangJian_NuQi,2,704003,1,,,1,80,100,二郎天君,JiaoBiao_XingZhe_02,48,近战物理攻击，能对敌方中后排输出造成威胁,昆仑山第三代弟子中佼佼者，与韦护并称为天才二人组,15,,3,1000,929,147,57,45,,,,,78,2,,,5,6,25,200,,,50,"1,000",21327,3382,1323,1059,,20100100_1,20100101_1,20100102_1,20100103_1,20100104_1,,,201001_1,,300000,Sound_201001_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201001_1_01.mp3,1,近战/爆发;0.77;0.6;0.6,杨戬
201001_4,,201001_4,201001_5,,-1,201001,1,杨戬,head_org/Head_org_YangJian,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_YangJian,Hero_head/head_YangJian_NuQi,2,704003,1,,,,,150,二郎天君,JiaoBiao_XingZhe_02,90,近战物理攻击，能对敌方中后排输出造成威胁,昆仑山第三代弟子中佼佼者，与韦护并称为天才二人组,15,,4,1000,929,147,57,45,,,,,78,2,,,5,6,25,200,,,50,"1,000",30798,4885,1911,1529,,20100100_1,20100101_1,20100102_1,20100103_1,20100104_1,,,201001_1,,600000,Sound_201001_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201001_1_01.mp3,1,近战/爆发;0.77;0.6;0.6,
201001_5,,201001_5,,,-1,201001,1,杨戬,head_org/Head_org_YangJian,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_YangJian,Hero_head/head_YangJian_NuQi,2,704003,1,,,,,300,二郎天君,JiaoBiao_XingZhe_03,132,近战物理攻击，能对敌方中后排输出造成威胁,昆仑山第三代弟子中佼佼者，与韦护并称为天才二人组,15,,5,1000,929,147,57,45,,,,,78,2,,,5,6,25,200,,,50,"1,000",48471,7688,3008,2406,,20100100_1,20100101_1,20100102_1,20100103_1,20100104_1,,,201001_1,,1000000,Sound_201001_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201001_1_01.mp3,1,近战/爆发;0.77;0.6;0.6,
204001_1,,204001_1,204001_2,,-1,204001,1,龙吉公主,head_org/Head_org_LongJi,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_LongJiGongZhu,Hero_head/head_LongJiGongZhu_NuQi,4,704004,1,,,1,10,20,昆仑仙子,JiaoBiao_JiSi_01,8,后排辅助，擅长于控制敌人,血统最纯正的仙人之一，燃灯道人的妹妹，隐居在昆仑山,75,,1,1000,521,139,35,44,,,,,17,7,,,5,6,25,200,,,50,"1,000",4885,1311,336,420,1,20400100_1,20400101_1,20400102_1,20400103_1,20400104_1,,,204001_1,,50000,sound_204001_1_1.mp3,,,,,11,,,,0.5,standby,Sound_204001_1_01.mp3,1,远程/控制;0.82;0.37;1,龙吉公主
204001_2,,204001_2,204001_3,,-1,204001,1,龙吉公主,head_org/Head_org_LongJi,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_LongJiGongZhu,Hero_head/head_LongJiGongZhu_NuQi,4,704004,1,,,,,50,昆仑仙子,JiaoBiao_JiSi_01,21,后排辅助，擅长于控制敌人,血统最纯正的仙人之一，燃灯道人的妹妹，隐居在昆仑山,75,,2,1000,521,139,35,44,,,,,17,7,,,5,6,25,200,,,50,"1,000",7328,1967,504,630,1,20400100_1,20400101_1,20400102_1,20400103_1,20400104_1,,,204001_1,,100000,sound_204001_1_1.mp3,,,,,11,,,,0.5,standby,Sound_204001_1_01.mp3,1,远程/控制;0.82;0.37;1,
204001_3,,204001_3,204001_4,,-1,204001,1,龙吉公主,head_org/Head_org_LongJi,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_LongJiGongZhu,Hero_head/head_LongJiGongZhu_NuQi,4,704004,1,,,,,100,昆仑仙子,JiaoBiao_JiSi_02,48,后排辅助，擅长于控制敌人,血统最纯正的仙人之一，燃灯道人的妹妹，隐居在昆仑山,75,,3,1000,521,139,35,44,,,,,17,7,,,5,6,25,200,,,50,"1,000",10748,2885,739,924,1,20400100_1,20400101_1,20400102_1,20400103_1,20400104_1,,,204001_1,,300000,sound_204001_1_1.mp3,,,,,11,,,,0.5,standby,Sound_204001_1_01.mp3,1,远程/控制;0.82;0.37;1,
204001_4,,204001_4,204001_5,,-1,204001,1,龙吉公主,head_org/Head_org_LongJi,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_LongJiGongZhu,Hero_head/head_LongJiGongZhu_NuQi,4,704004,1,,,,,150,昆仑仙子,JiaoBiao_JiSi_02,90,后排辅助，擅长于控制敌人,血统最纯正的仙人之一，燃灯道人的妹妹，隐居在昆仑山,75,,4,1000,521,139,35,44,,,,,17,7,,,5,6,25,200,,,50,"1,000",15536,4170,1068,1335,1,20400100_1,20400101_1,20400102_1,20400103_1,20400104_1,,,204001_1,,600000,sound_204001_1_1.mp3,,,,,11,,,,0.5,standby,Sound_204001_1_01.mp3,1,远程/控制;0.82;0.37;1,
204001_5,,204001_5,,,-1,204001,1,龙吉公主,head_org/Head_org_LongJi,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_LongJiGongZhu,Hero_head/head_LongJiGongZhu_NuQi,4,704004,1,,,,,300,昆仑仙子,JiaoBiao_JiSi_03,132,后排辅助，擅长于控制敌人,血统最纯正的仙人之一，燃灯道人的妹妹，隐居在昆仑山,75,,5,1000,521,139,35,44,,,,,17,7,,,5,6,25,200,,,50,"1,000",24428,6557,1680,2100,1,20400100_1,20400101_1,20400102_1,20400103_1,20400104_1,,,204001_1,,1000000,sound_204001_1_1.mp3,,,,,11,,,,0.5,standby,Sound_204001_1_01.mp3,1,远程/控制;0.82;0.37;1,
203001_1,,203001_1,203001_2,,-1,203001,2,弓箭手,head_org/Head_org_DaJi,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_DaJi,Hero_head/head_DaJi,5,704005,1,,,,,20,绝世妖姬,JiaoBiao_FuShi_01,8,后排物理输出，强大的范围伤害和单控技能,早年叛出金鳌岛，后与王贵人，喜媚儿，圣火女结拜占据朝歌,35,,1,1000,822,192,33,42,,,,,46,5,,,5,6,25,200,,,50,"1,000",8580,2005,356,445,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,,,203001_1,,50000,Sound_203001_1_01.mp3,,,,,11,,,,0.5,standby,Sound_203001_1_01.mp3,,远程/输出;1;0.37;0.67,
203001_2,,203001_2,203001_3,,-1,203001,2,弓箭手,head_org/Head_org_DaJi,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_DaJi,Hero_head/head_DaJi,5,704005,1,,,1,30,50,绝世妖姬,JiaoBiao_FuShi_01,21,后排物理输出，强大的范围伤害和单控技能,早年叛出金鳌岛，后与王贵人，喜媚儿，圣火女结拜占据朝歌,35,,2,1000,822,192,33,42,,,,,46,5,,,5,6,25,200,,,50,"1,000",12870,3008,534,668,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,,,203001_1,,100000,Sound_203001_1_01.mp3,,,,,11,,,,0.5,standby,Sound_203001_1_01.mp3,,远程/输出;1;0.37;0.67,弓箭手
203001_3,,203001_3,203001_4,,-1,203001,2,弓箭手,head_org/Head_org_DaJi,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_DaJi,Hero_head/head_DaJi,5,704005,1,,,,,100,绝世妖姬,JiaoBiao_FuShi_02,48,后排物理输出，强大的范围伤害和单控技能,早年叛出金鳌岛，后与王贵人，喜媚儿，圣火女结拜占据朝歌,35,,3,1000,822,192,33,42,,,,,46,5,,,5,6,25,200,,,50,"1,000",18876,4412,784,980,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,,,203001_1,,300000,Sound_203001_1_01.mp3,,,,,11,,,,0.5,standby,Sound_203001_1_01.mp3,,远程/输出;1;0.37;0.67,
203001_4,,203001_4,203001_5,,-1,203001,2,弓箭手,head_org/Head_org_DaJi,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_DaJi,Hero_head/head_DaJi,5,704005,1,,,,,150,绝世妖姬,JiaoBiao_FuShi_02,90,后排物理输出，强大的范围伤害和单控技能,早年叛出金鳌岛，后与王贵人，喜媚儿，圣火女结拜占据朝歌,35,,4,1000,822,192,33,42,,,,,46,5,,,5,6,25,200,,,50,"1,000",27258,6372,1132,1416,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,,,203001_1,,600000,Sound_203001_1_01.mp3,,,,,11,,,,0.5,standby,Sound_203001_1_01.mp3,,远程/输出;1;0.37;0.67,
203001_5,,203001_5,,,-1,203001,2,弓箭手,head_org/Head_org_DaJi,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_DaJi,Hero_head/head_DaJi,5,704005,1,,,,,300,绝世妖姬,JiaoBiao_FuShi_03,132,后排物理输出，强大的范围伤害和单控技能,早年叛出金鳌岛，后与王贵人，喜媚儿，圣火女结拜占据朝歌,35,,5,1000,822,192,33,42,,,,,46,5,,,5,6,25,200,,,50,"1,000",42900,10028,1782,2228,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,,,203001_1,,1000000,Sound_203001_1_01.mp3,,,,,11,,,,0.5,standby,Sound_203001_1_01.mp3,,远程/输出;1;0.37;0.67,
201002_1,,201002_1,201002_2,,-1,201002,2,雷系拳手,head_org/Head_org_ZhengLun,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_ZhengLun,Hero_head/head_ZhengLun_NuQi,1,704006,1,,,1,10,20,雷电哼将,JiaoBiao_LiShi_01,8,近战物理攻击，能造成强力的群体控制,哼哈二将之一，商朝上将，是妲己的得力手下,3,6,1,1000,1216,114,52,41,,,,,119,2,,,5,6,25,200,,,50,"1,000",11400,1080,497,397,,20100200_1,20100201_1,20100202_1,20100203_1,20100204_1,,,201002_1,,50000,Sound_201002_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201002_1_01.mp3,,近战/肉盾/控制;0.67;1;0.8,雷系拳手
201002_2,,201002_2,201002_3,,-1,201002,2,雷系拳手,head_org/Head_org_ZhengLun,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_ZhengLun,Hero_head/head_ZhengLun_NuQi,1,704006,1,,,,,50,雷电哼将,JiaoBiao_LiShi_01,21,近战物理攻击，能造成强力的群体控制,哼哈二将之一，商朝上将，是妲己的得力手下,3,6,2,1000,1216,114,52,41,,,,,119,2,,,5,6,25,200,,,50,"1,000",17100,1620,745,596,,20100200_1,20100201_1,20100202_1,20100203_1,20100204_1,,,201002_1,,100000,Sound_201002_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201002_1_01.mp3,,近战/肉盾/控制;0.67;1;0.8,
201002_3,,201002_3,201002_4,,-1,201002,2,雷系拳手,head_org/Head_org_ZhengLun,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_ZhengLun,Hero_head/head_ZhengLun_NuQi,1,704006,1,,,,,100,雷电哼将,JiaoBiao_LiShi_02,48,近战物理攻击，能造成强力的群体控制,哼哈二将之一，商朝上将，是妲己的得力手下,3,6,3,1000,1216,114,52,41,,,,,119,2,,,5,6,25,200,,,50,"1,000",25080,2376,1093,874,,20100200_1,20100201_1,20100202_1,20100203_1,20100204_1,,,201002_1,,300000,Sound_201002_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201002_1_01.mp3,,近战/肉盾/控制;0.67;1;0.8,
201002_4,,201002_4,201002_5,,-1,201002,2,雷系拳手,head_org/Head_org_ZhengLun,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_ZhengLun,Hero_head/head_ZhengLun_NuQi,1,704006,1,,,,,150,雷电哼将,JiaoBiao_LiShi_02,90,近战物理攻击，能造成强力的群体控制,哼哈二将之一，商朝上将，是妲己的得力手下,3,6,4,1000,1216,114,52,41,,,,,119,2,,,5,6,25,200,,,50,"1,000",36252,3434,1580,1264,,20100200_1,20100201_1,20100202_1,20100203_1,20100204_1,,,201002_1,,600000,Sound_201002_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201002_1_01.mp3,,近战/肉盾/控制;0.67;1;0.8,
201002_5,,201002_5,,,-1,201002,2,雷系拳手,head_org/Head_org_ZhengLun,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_ZhengLun,Hero_head/head_ZhengLun_NuQi,1,704006,1,,,,,300,雷电哼将,JiaoBiao_LiShi_03,132,近战物理攻击，能造成强力的群体控制,哼哈二将之一，商朝上将，是妲己的得力手下,3,6,5,1000,1216,114,52,41,,,,,119,2,,,5,6,25,200,,,50,"1,000",57000,5400,2485,1988,,20100200_1,20100201_1,20100202_1,20100203_1,20100204_1,,,201002_1,,1000000,Sound_201002_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201002_1_01.mp3,,近战/肉盾/控制;0.67;1;0.8,
201003_1,,201003_1,201003_2,,-1,201003,2,火系拳手,head_org/Head_org_ChenQi,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_ChenQi,Hero_head/head_ChenQi_NuQi,3,704007,1,,,1,10,20,烈火哈将,JiaoBiao_XingZhe_01,8,近战物理攻击，能对敌方群体造成高额的持续伤害,哼哈二将之一，商朝上将，是妲己的得力手下,32,6,1,1000,722,158,37,30,,,,,47,5,,,5,6,25,200,,,50,"1,000",6771,1491,360,288,,20100300_1,20100301_1,20100302_1,20100303_1,20100304_1,,,201003_1,,50000,Sound_201003_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201003_1_01.mp3,,远程/范围/爆发;1;0.53;0.7,火系拳手
201003_2,,201003_2,201003_3,,-1,201003,2,火系拳手,head_org/Head_org_ChenQi,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_ChenQi,Hero_head/head_ChenQi_NuQi,3,704007,1,,,,,50,烈火哈将,JiaoBiao_XingZhe_01,21,近战物理攻击，能对敌方群体造成高额的持续伤害,哼哈二将之一，商朝上将，是妲己的得力手下,32,6,2,1000,722,158,37,30,,,,,47,5,,,5,6,25,200,,,50,"1,000",10157,2237,540,432,,20100300_1,20100301_1,20100302_1,20100303_1,20100304_1,,,201003_1,,100000,Sound_201003_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201003_1_01.mp3,,远程/范围/爆发;1;0.53;0.7,
201003_3,,201003_3,201003_4,,-1,201003,2,火系拳手,head_org/Head_org_ChenQi,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_ChenQi,Hero_head/head_ChenQi_NuQi,3,704007,1,,,,,100,烈火哈将,JiaoBiao_XingZhe_02,48,近战物理攻击，能对敌方群体造成高额的持续伤害,哼哈二将之一，商朝上将，是妲己的得力手下,32,6,3,1000,722,158,37,30,,,,,47,5,,,5,6,25,200,,,50,"1,000",14897,3281,792,633,,20100300_1,20100301_1,20100302_1,20100303_1,20100304_1,,,201003_1,,300000,Sound_201003_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201003_1_01.mp3,,远程/范围/爆发;1;0.53;0.7,
201003_4,,201003_4,201003_5,,-1,201003,2,火系拳手,head_org/Head_org_ChenQi,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_ChenQi,Hero_head/head_ChenQi_NuQi,3,704007,1,,,,,150,烈火哈将,JiaoBiao_XingZhe_02,90,近战物理攻击，能对敌方群体造成高额的持续伤害,哼哈二将之一，商朝上将，是妲己的得力手下,32,6,4,1000,722,158,37,30,,,,,47,5,,,5,6,25,200,,,50,"1,000",21533,4742,1144,915,,20100300_1,20100301_1,20100302_1,20100303_1,20100304_1,,,201003_1,,600000,Sound_201003_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201003_1_01.mp3,,远程/范围/爆发;1;0.53;0.7,
201003_5,,201003_5,,,-1,201003,2,火系拳手,head_org/Head_org_ChenQi,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_ChenQi,Hero_head/head_ChenQi_NuQi,3,704007,1,,,,,300,烈火哈将,JiaoBiao_XingZhe_03,132,近战物理攻击，能对敌方群体造成高额的持续伤害,哼哈二将之一，商朝上将，是妲己的得力手下,32,6,5,1000,722,158,37,30,,,,,47,5,,,5,6,25,200,,,50,"1,000",33857,7457,1800,1440,,20100300_1,20100301_1,20100302_1,20100303_1,20100304_1,,,201003_1,,1000000,Sound_201003_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201003_1_01.mp3,,远程/范围/爆发;1;0.53;0.7,
201005_1,,201005_1,201005_2,,-1,201005,2,魔礼青,head_org/Head_org_MoLiQing,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_MoLiQing,Hero_head/head_MoLiQing_NuQi,2,704008,1,,,,,20,增长天王,JiaoBiao_XingZhe_01,8,近战物理攻击，能对敌方群体造成高额的持续伤害,青、海、红、寿，魔家四兄弟,20,,1,1000,813,152,50,40,,,,,72,2,,,5,6,20,200,,,50,"1,000",8228,1542,514,411,,20100500_1,20100501_1,20100502_1,20100503_1,20100504_1,,,201005_1,,50000,Sound_201005_1_01.mp3,,,,,11,,,,0.5,standby,Sound_201005_1_01.mp3,1,近战/爆发;0.77;0.6;0.6,
