key,Remarks,uniqueId,conditionId,conditionLevel,subConditionId,fettersAttrDesc,fettersAttrData,fettersPrecentAttrData,subConditionRestrict,subConditionValue
2020010401,,2020010401,20200104,1,20200104,Lv.1 同时拥有2个绿色品阶羁绊英雄：生命+6%,,1_600,3_2,1_1
2020010402,,2020010402,20200104,2,20200104,Lv.2 同时拥有2个绿色+1品阶羁绊英雄：生命+6.5%,,1_650,3_2,1_2
2020010403,,2020010403,20200104,3,20200104,Lv.3 同时拥有2个蓝色品阶羁绊英雄：生命+7%,,1_700,3_2,1_3
2020010404,,2020010404,20200104,4,20200104,Lv.4 同时拥有2个蓝色+1品阶羁绊英雄：生命+7.5%,,1_750,3_2,1_4
2020010405,,2020010405,20200104,5,20200104,Lv.5 同时拥有2个蓝色+2品阶羁绊英雄：生命+8%,,1_800,3_2,1_5
2020010406,,2020010406,20200104,6,20200104,Lv.6 同时拥有2个紫色品阶羁绊英雄：生命+8.5%,,1_850,3_2,1_6
2020010407,,2020010407,20200104,7,20200104,Lv.7 同时拥有2个紫色+1品阶羁绊英雄：生命+9%,,1_900,3_2,1_7
2020010408,,2020010408,20200104,8,20200104,Lv.8 同时拥有2个紫色+2品阶羁绊英雄：生命+9.5%,,1_950,3_2,1_8
2020010409,,2020010409,20200104,9,20200104,Lv.9 同时拥有2个紫色+3品阶羁绊英雄：生命+10%,,1_1000,3_2,1_9
2020010410,,2020010410,20200104,10,20200104,Lv.10 同时拥有2个紫色+4品阶羁绊英雄：生命+10.5%,,1_1050,3_2,1_10
2020010411,,2020010411,20200104,11,20200104,Lv.11 同时拥有2个橙色品阶羁绊英雄：生命+11%,,1_1100,3_2,1_11
2020010501,,2020010501,20200105,1,20200105,Lv.1 同时拥有2个绿色品阶羁绊英雄：攻击+6%,,5_600,3_2,1_1
2020010502,,2020010502,20200105,2,20200105,Lv.2 同时拥有2个绿色+1品阶羁绊英雄：攻击+6.5%,,5_650,3_2,1_2
2020010503,,2020010503,20200105,3,20200105,Lv.3 同时拥有2个蓝色品阶羁绊英雄：攻击+7%,,5_700,3_2,1_3
2020010504,,2020010504,20200105,4,20200105,Lv.4 同时拥有2个蓝色+1品阶羁绊英雄：攻击+7.5%,,5_750,3_2,1_4
2020010505,,2020010505,20200105,5,20200105,Lv.5 同时拥有2个蓝色+2品阶羁绊英雄：攻击+8%,,5_800,3_2,1_5
2020010506,,2020010506,20200105,6,20200105,Lv.6 同时拥有2个紫色品阶羁绊英雄：攻击+8.5%,,5_850,3_2,1_6
2020010507,,2020010507,20200105,7,20200105,Lv.7 同时拥有2个紫色+1品阶羁绊英雄：攻击+9%,,5_900,3_2,1_7
2020010508,,2020010508,20200105,8,20200105,Lv.8 同时拥有2个紫色+2品阶羁绊英雄：攻击+9.5%,,5_950,3_2,1_8
2020010509,,2020010509,20200105,9,20200105,Lv.9 同时拥有2个紫色+3品阶羁绊英雄：攻击+10%,,5_1000,3_2,1_9
2020010510,,2020010510,20200105,10,20200105,Lv.10 同时拥有2个紫色+4品阶羁绊英雄：攻击+10.5%,,5_1050,3_2,1_10
2020010511,,2020010511,20200105,11,20200105,Lv.11 同时拥有2个橙色品阶羁绊英雄：攻击+11%,,5_1100,3_2,1_11
2020020101,,2020020101,20200201,1,20200201,Lv.1 同时拥有2个1星羁绊英雄：攻击+4%,,5_400,3_2,2_1
2020020102,,2020020102,20200201,2,20200201,Lv.2 同时拥有2个2星羁绊英雄：攻击+8%,,5_800,3_2,2_2
2020020103,,2020020103,20200201,3,20200201,Lv.3 同时拥有2个3星羁绊英雄：攻击+12%,,5_1200,3_2,2_3
2020020104,,2020020104,20200201,4,20200201,Lv.4 同时拥有2个4星羁绊英雄：攻击+16%,,5_1600,3_2,2_4
2020020105,,2020020105,20200201,5,20200201,Lv.5 同时拥有2个5星羁绊英雄：攻击+20%,,5_2000,3_2,2_5
2020020201,,2020020201,20200202,1,20200202,Lv.1 同时拥有2个1星羁绊英雄：攻击+4%,,5_400,3_2,2_1
2020020202,,2020020202,20200202,2,20200202,Lv.2 同时拥有2个2星羁绊英雄：攻击+8%,,5_800,3_2,2_2
2020020203,,2020020203,20200202,3,20200202,Lv.3 同时拥有2个3星羁绊英雄：攻击+12%,,5_1200,3_2,2_3
2020020204,,2020020204,20200202,4,20200202,Lv.4 同时拥有2个4星羁绊英雄：攻击+16%,,5_1600,3_2,2_4
2020020205,,2020020205,20200202,5,20200202,Lv.5 同时拥有2个5星羁绊英雄：攻击+20%,,5_2000,3_2,2_5
2020020301,,2020020301,20200203,1,20200203,Lv.1 同时拥有2个1星羁绊英雄：攻击+4%,,5_400,3_2,2_1
2020020302,,2020020302,20200203,2,20200203,Lv.2 同时拥有2个2星羁绊英雄：攻击+8%,,5_800,3_2,2_2
2020020303,,2020020303,20200203,3,20200203,Lv.3 同时拥有2个3星羁绊英雄：攻击+12%,,5_1200,3_2,2_3
2020020304,,2020020304,20200203,4,20200203,Lv.4 同时拥有2个4星羁绊英雄：攻击+16%,,5_1600,3_2,2_4
2020020305,,2020020305,20200203,5,20200203,Lv.5 同时拥有2个5星羁绊英雄：攻击+20%,,5_2000,3_2,2_5
2020020401,,2020020401,20200204,1,20200204,Lv.1 同时拥有2个绿色品阶羁绊英雄：生命+6%,,1_600,3_2,1_1
2020020402,,2020020402,20200204,2,20200204,Lv.2 同时拥有2个绿色+1品阶羁绊英雄：生命+6.5%,,1_650,3_2,1_2
2020020403,,2020020403,20200204,3,20200204,Lv.3 同时拥有2个蓝色品阶羁绊英雄：生命+7%,,1_700,3_2,1_3
2020020404,,2020020404,20200204,4,20200204,Lv.4 同时拥有2个蓝色+1品阶羁绊英雄：生命+7.5%,,1_750,3_2,1_4
2020020405,,2020020405,20200204,5,20200204,Lv.5 同时拥有2个蓝色+2品阶羁绊英雄：生命+8%,,1_800,3_2,1_5
2020020406,,2020020406,20200204,6,20200204,Lv.6 同时拥有2个紫色品阶羁绊英雄：生命+8.5%,,1_850,3_2,1_6
2020020407,,2020020407,20200204,7,20200204,Lv.7 同时拥有2个紫色+1品阶羁绊英雄：生命+9%,,1_900,3_2,1_7
2020020408,,2020020408,20200204,8,20200204,Lv.8 同时拥有2个紫色+2品阶羁绊英雄：生命+9.5%,,1_950,3_2,1_8
2020020409,,2020020409,20200204,9,20200204,Lv.9 同时拥有2个紫色+3品阶羁绊英雄：生命+10%,,1_1000,3_2,1_9
2020020410,,2020020410,20200204,10,20200204,Lv.10 同时拥有2个紫色+4品阶羁绊英雄：生命+10.5%,,1_1050,3_2,1_10
2020020411,,2020020411,20200204,11,20200204,Lv.11 同时拥有2个橙色品阶羁绊英雄：生命+11%,,1_1100,3_2,1_11
2020020501,,2020020501,20200205,1,20200205,Lv.1 同时拥有2个绿色品阶羁绊英雄：攻击+6%,,5_600,3_2,1_1
2020020502,,2020020502,20200205,2,20200205,Lv.2 同时拥有2个绿色+1品阶羁绊英雄：攻击+6.5%,,5_650,3_2,1_2
2020020503,,2020020503,20200205,3,20200205,Lv.3 同时拥有2个蓝色品阶羁绊英雄：攻击+7%,,5_700,3_2,1_3
2020020504,,2020020504,20200205,4,20200205,Lv.4 同时拥有2个蓝色+1品阶羁绊英雄：攻击+7.5%,,5_750,3_2,1_4
2020020505,,2020020505,20200205,5,20200205,Lv.5 同时拥有2个蓝色+2品阶羁绊英雄：攻击+8%,,5_800,3_2,1_5
2020020506,,2020020506,20200205,6,20200205,Lv.6 同时拥有2个紫色品阶羁绊英雄：攻击+8.5%,,5_850,3_2,1_6
2020020507,,2020020507,20200205,7,20200205,Lv.7 同时拥有2个紫色+1品阶羁绊英雄：攻击+9%,,5_900,3_2,1_7
2020020508,,2020020508,20200205,8,20200205,Lv.8 同时拥有2个紫色+2品阶羁绊英雄：攻击+9.5%,,5_950,3_2,1_8
2020020509,,2020020509,20200205,9,20200205,Lv.9 同时拥有2个紫色+3品阶羁绊英雄：攻击+10%,,5_1000,3_2,1_9
2020020510,,2020020510,20200205,10,20200205,Lv.10 同时拥有2个紫色+4品阶羁绊英雄：攻击+10.5%,,5_1050,3_2,1_10
2020020511,,2020020511,20200205,11,20200205,Lv.11 同时拥有2个橙色品阶羁绊英雄：攻击+11%,,5_1100,3_2,1_11
2020040101,,2020040101,20200401,1,20200401,Lv.1 同时拥有2个1星羁绊英雄：攻击+4%,,5_400,3_2,2_1
2020040102,,2020040102,20200401,2,20200401,Lv.2 同时拥有2个2星羁绊英雄：攻击+8%,,5_800,3_2,2_2
2020040103,,2020040103,20200401,3,20200401,Lv.3 同时拥有2个3星羁绊英雄：攻击+12%,,5_1200,3_2,2_3
2020040104,,2020040104,20200401,4,20200401,Lv.4 同时拥有2个4星羁绊英雄：攻击+16%,,5_1600,3_2,2_4
2020040105,,2020040105,20200401,5,20200401,Lv.5 同时拥有2个5星羁绊英雄：攻击+20%,,5_2000,3_2,2_5
2020040201,,2020040201,20200402,1,20200402,Lv.1 同时拥有2个1星羁绊英雄：攻击+4%,,5_400,3_2,2_1
2020040202,,2020040202,20200402,2,20200402,Lv.2 同时拥有2个2星羁绊英雄：攻击+8%,,5_800,3_2,2_2
2020040203,,2020040203,20200402,3,20200402,Lv.3 同时拥有2个3星羁绊英雄：攻击+12%,,5_1200,3_2,2_3
2020040204,,2020040204,20200402,4,20200402,Lv.4 同时拥有2个4星羁绊英雄：攻击+16%,,5_1600,3_2,2_4
2020040205,,2020040205,20200402,5,20200402,Lv.5 同时拥有2个5星羁绊英雄：攻击+20%,,5_2000,3_2,2_5
2020040301,,2020040301,20200403,1,20200403,Lv.1 同时拥有2个1星羁绊英雄：攻击+4%,,5_400,3_2,2_1
2020040302,,2020040302,20200403,2,20200403,Lv.2 同时拥有2个2星羁绊英雄：攻击+8%,,5_800,3_2,2_2
2020040303,,2020040303,20200403,3,20200403,Lv.3 同时拥有2个3星羁绊英雄：攻击+12%,,5_1200,3_2,2_3
2020040304,,2020040304,20200403,4,20200403,Lv.4 同时拥有2个4星羁绊英雄：攻击+16%,,5_1600,3_2,2_4
2020040305,,2020040305,20200403,5,20200403,Lv.5 同时拥有2个5星羁绊英雄：攻击+20%,,5_2000,3_2,2_5
2020040401,,2020040401,20200404,1,20200404,Lv.1 同时拥有2个绿色品阶羁绊英雄：生命+6%,,1_600,3_2,1_1
2020040402,,2020040402,20200404,2,20200404,Lv.2 同时拥有2个绿色+1品阶羁绊英雄：生命+6.5%,,1_650,3_2,1_2
2020040403,,2020040403,20200404,3,20200404,Lv.3 同时拥有2个蓝色品阶羁绊英雄：生命+7%,,1_700,3_2,1_3
2020040404,,2020040404,20200404,4,20200404,Lv.4 同时拥有2个蓝色+1品阶羁绊英雄：生命+7.5%,,1_750,3_2,1_4
2020040405,,2020040405,20200404,5,20200404,Lv.5 同时拥有2个蓝色+2品阶羁绊英雄：生命+8%,,1_800,3_2,1_5
2020040501,,2020040501,20200405,1,20200405,Lv.1 同时拥有2个绿色品阶羁绊英雄：攻击+6%,,5_600,3_2,1_1
2020040502,,2020040502,20200405,2,20200405,Lv.2 同时拥有2个绿色+1品阶羁绊英雄：攻击+6.5%,,5_650,3_2,1_2
2020040503,,2020040503,20200405,3,20200405,Lv.3 同时拥有2个蓝色品阶羁绊英雄：攻击+7%,,5_700,3_2,1_3
2020040504,,2020040504,20200405,4,20200405,Lv.4 同时拥有2个蓝色+1品阶羁绊英雄：攻击+7.5%,,5_750,3_2,1_4
2020040505,,2020040505,20200405,5,20200405,Lv.5 同时拥有2个蓝色+2品阶羁绊英雄：攻击+8%,,5_800,3_2,1_5
2020040506,,2020040506,20200405,6,20200405,Lv.6 同时拥有2个紫色品阶羁绊英雄：攻击+8.5%,,5_850,3_2,1_6
2020040507,,2020040507,20200405,7,20200405,Lv.7 同时拥有2个紫色+1品阶羁绊英雄：攻击+9%,,5_900,3_2,1_7
2020040508,,2020040508,20200405,8,20200405,Lv.8 同时拥有2个紫色+2品阶羁绊英雄：攻击+9.5%,,5_950,3_2,1_8
2020040509,,2020040509,20200405,9,20200405,Lv.9 同时拥有2个紫色+3品阶羁绊英雄：攻击+10%,,5_1000,3_2,1_9
2020040510,,2020040510,20200405,10,20200405,Lv.10 同时拥有2个紫色+4品阶羁绊英雄：攻击+10.5%,,5_1050,3_2,1_10
2020040511,,2020040511,20200405,11,20200405,Lv.11 同时拥有2个橙色品阶羁绊英雄：攻击+11%,,5_1100,3_2,1_11
2000010101,,2000010101,20000101,1,20000101,Lv.1 同时拥有2个1星羁绊英雄：攻击+4%,,5_400,3_2,2_1
2000010102,,2000010102,20000101,2,20000101,Lv.2 同时拥有2个2星羁绊英雄：攻击+8%,,5_800,3_2,2_2
2000010103,,2000010103,20000101,3,20000101,Lv.3 同时拥有2个3星羁绊英雄：攻击+12%,,5_1200,3_2,2_3
2000010104,,2000010104,20000101,4,20000101,Lv.4 同时拥有2个4星羁绊英雄：攻击+16%,,5_1600,3_2,2_4
2000010105,,2000010105,20000101,5,20000101,Lv.5 同时拥有2个5星羁绊英雄：攻击+20%,,5_2000,3_2,2_5
2000010201,,2000010201,20000102,1,20000102,Lv.1 同时拥有2个1星羁绊英雄：攻击+4%,,5_400,3_2,2_1
2000010202,,2000010202,20000102,2,20000102,Lv.2 同时拥有2个2星羁绊英雄：攻击+8%,,5_800,3_2,2_2
2000010203,,2000010203,20000102,3,20000102,Lv.3 同时拥有2个3星羁绊英雄：攻击+12%,,5_1200,3_2,2_3
2000010204,,2000010204,20000102,4,20000102,Lv.4 同时拥有2个4星羁绊英雄：攻击+16%,,5_1600,3_2,2_4
2000010205,,2000010205,20000102,5,20000102,Lv.5 同时拥有2个5星羁绊英雄：攻击+20%,,5_2000,3_2,2_5
2000010301,,2000010301,20000103,1,20000103,Lv.1 同时拥有2个1星羁绊英雄：攻击+4%,,5_400,3_2,2_1
2000010302,,2000010302,20000103,2,20000103,Lv.2 同时拥有2个2星羁绊英雄：攻击+8%,,5_800,3_2,2_2
2000010303,,2000010303,20000103,3,20000103,Lv.3 同时拥有2个3星羁绊英雄：攻击+12%,,5_1200,3_2,2_3
2000010304,,2000010304,20000103,4,20000103,Lv.4 同时拥有2个4星羁绊英雄：攻击+16%,,5_1600,3_2,2_4
2000010305,,2000010305,20000103,5,20000103,Lv.5 同时拥有2个5星羁绊英雄：攻击+20%,,5_2000,3_2,2_5
2000010401,,2000010401,20000104,1,20000104,Lv.1 同时拥有2个绿色品阶羁绊英雄：生命+6%,,1_600,3_2,1_1
2000010402,,2000010402,20000104,2,20000104,Lv.2 同时拥有2个绿色+1品阶羁绊英雄：生命+6.5%,,1_650,3_2,1_2
2000010403,,2000010403,20000104,3,20000104,Lv.3 同时拥有2个蓝色品阶羁绊英雄：生命+7%,,1_700,3_2,1_3
2000010404,,2000010404,20000104,4,20000104,Lv.4 同时拥有2个蓝色+1品阶羁绊英雄：生命+7.5%,,1_750,3_2,1_4
2000010405,,2000010405,20000104,5,20000104,Lv.5 同时拥有2个蓝色+2品阶羁绊英雄：生命+8%,,1_800,3_2,1_5
2000010406,,2000010406,20000104,6,20000104,Lv.6 同时拥有2个紫色品阶羁绊英雄：生命+8.5%,,1_850,3_2,1_6
2000010407,,2000010407,20000104,7,20000104,Lv.7 同时拥有2个紫色+1品阶羁绊英雄：生命+9%,,1_900,3_2,1_7
2000010408,,2000010408,20000104,8,20000104,Lv.8 同时拥有2个紫色+2品阶羁绊英雄：生命+9.5%,,1_950,3_2,1_8
2000010409,,2000010409,20000104,9,20000104,Lv.9 同时拥有2个紫色+3品阶羁绊英雄：生命+10%,,1_1000,3_2,1_9
2000010410,,2000010410,20000104,10,20000104,Lv.10 同时拥有2个紫色+4品阶羁绊英雄：生命+10.5%,,1_1050,3_2,1_10
2000010411,,2000010411,20000104,11,20000104,Lv.11 同时拥有2个橙色品阶羁绊英雄：生命+11%,,1_1100,3_2,1_11
2000010501,,2000010501,20000105,1,20000105,Lv.1 同时拥有2个绿色品阶羁绊英雄：攻击+6%,,5_600,3_2,1_1
2000010502,,2000010502,20000105,2,20000105,Lv.2 同时拥有2个绿色+1品阶羁绊英雄：攻击+6.5%,,5_650,3_2,1_2
2000010503,,2000010503,20000105,3,20000105,Lv.3 同时拥有2个蓝色品阶羁绊英雄：攻击+7%,,5_700,3_2,1_3
2000010504,,2000010504,20000105,4,20000105,Lv.4 同时拥有2个蓝色+1品阶羁绊英雄：攻击+7.5%,,5_750,3_2,1_4
2000010505,,2000010505,20000105,5,20000105,Lv.5 同时拥有2个蓝色+2品阶羁绊英雄：攻击+8%,,5_800,3_2,1_5
2000010506,,2000010506,20000105,6,20000105,Lv.6 同时拥有2个紫色品阶羁绊英雄：攻击+8.5%,,5_850,3_2,1_6
2000010507,,2000010507,20000105,7,20000105,Lv.7 同时拥有2个紫色+1品阶羁绊英雄：攻击+9%,,5_900,3_2,1_7
2000010508,,2000010508,20000105,8,20000105,Lv.8 同时拥有2个紫色+2品阶羁绊英雄：攻击+9.5%,,5_950,3_2,1_8
2000010509,,2000010509,20000105,9,20000105,Lv.9 同时拥有2个紫色+3品阶羁绊英雄：攻击+10%,,5_1000,3_2,1_9
2000010510,,2000010510,20000105,10,20000105,Lv.10 同时拥有2个紫色+4品阶羁绊英雄：攻击+10.5%,,5_1050,3_2,1_10
2000010511,,2000010511,20000105,11,20000105,Lv.11 同时拥有2个橙色品阶羁绊英雄：攻击+11%,,5_1100,3_2,1_11
2020050101,,2020050101,20200501,1,20200501,Lv.1 同时拥有2个1星羁绊英雄：攻击+4%,,5_400,3_2,2_1
2020050102,,2020050102,20200501,2,20200501,Lv.2 同时拥有2个2星羁绊英雄：攻击+8%,,5_800,3_2,2_2
2020050103,,2020050103,20200501,3,20200501,Lv.3 同时拥有2个3星羁绊英雄：攻击+12%,,5_1200,3_2,2_3
2020050104,,2020050104,20200501,4,20200501,Lv.4 同时拥有2个4星羁绊英雄：攻击+16%,,5_1600,3_2,2_4
2020050105,,2020050105,20200501,5,20200501,Lv.5 同时拥有2个5星羁绊英雄：攻击+20%,,5_2000,3_2,2_5
2020050201,,2020050201,20200502,1,20200502,Lv.1 同时拥有2个1星羁绊英雄：攻击+4%,,5_400,3_2,2_1
2020050202,,2020050202,20200502,2,20200502,Lv.2 同时拥有2个2星羁绊英雄：攻击+8%,,5_800,3_2,2_2
2020050203,,2020050203,20200502,3,20200502,Lv.3 同时拥有2个3星羁绊英雄：攻击+12%,,5_1200,3_2,2_3
2020050204,,2020050204,20200502,4,20200502,Lv.4 同时拥有2个4星羁绊英雄：攻击+16%,,5_1600,3_2,2_4
2020050205,,2020050205,20200502,5,20200502,Lv.5 同时拥有2个5星羁绊英雄：攻击+20%,,5_2000,3_2,2_5
2020050301,,2020050301,20200503,1,20200503,Lv.1 同时拥有2个1星羁绊英雄：生命+4%,,1_400,3_2,2_1
2020050302,,2020050302,20200503,2,20200503,Lv.2 同时拥有2个2星羁绊英雄：生命+8%,,1_800,3_2,2_2
2020050303,,2020050303,20200503,3,20200503,Lv.3 同时拥有2个3星羁绊英雄：生命+12%,,1_1200,3_2,2_3
2020050304,,2020050304,20200503,4,20200503,Lv.4 同时拥有2个4星羁绊英雄：生命+16%,,1_1600,3_2,2_4
2020050305,,2020050305,20200503,5,20200503,Lv.5 同时拥有2个5星羁绊英雄：生命+20%,,1_2000,3_2,2_5
2020050401,,2020050401,20200504,1,20200504,Lv.1 同时拥有2个绿色品阶羁绊英雄：生命+6%,,1_600,3_2,1_1
2020050402,,2020050402,20200504,2,20200504,Lv.2 同时拥有2个绿色+1品阶羁绊英雄：生命+6.5%,,1_650,3_2,1_2
2020050403,,2020050403,20200504,3,20200504,Lv.3 同时拥有2个蓝色品阶羁绊英雄：生命+7%,,1_700,3_2,1_3
2020050404,,2020050404,20200504,4,20200504,Lv.4 同时拥有2个蓝色+1品阶羁绊英雄：生命+7.5%,,1_750,3_2,1_4
2020050405,,2020050405,20200504,5,20200504,Lv.5 同时拥有2个蓝色+2品阶羁绊英雄：生命+8%,,1_800,3_2,1_5
2020050406,,2020050406,20200504,6,20200504,Lv.6 同时拥有2个紫色品阶羁绊英雄：生命+8.5%,,1_850,3_2,1_6
2020050407,,2020050407,20200504,7,20200504,Lv.7 同时拥有2个紫色+1品阶羁绊英雄：生命+9%,,1_900,3_2,1_7
2020050408,,2020050408,20200504,8,20200504,Lv.8 同时拥有2个紫色+2品阶羁绊英雄：生命+9.5%,,1_950,3_2,1_8
2020050409,,2020050409,20200504,9,20200504,Lv.9 同时拥有2个紫色+3品阶羁绊英雄：生命+10%,,1_1000,3_2,1_9
2020050410,,2020050410,20200504,10,20200504,Lv.10 同时拥有2个紫色+4品阶羁绊英雄：生命+10.5%,,1_1050,3_2,1_10
2020050411,,2020050411,20200504,11,20200504,Lv.11 同时拥有2个橙色品阶羁绊英雄：生命+11%,,1_1100,3_2,1_11
2020050501,,2020050501,20200505,1,20200505,Lv.1 同时拥有2个绿色品阶羁绊英雄：攻击+6%,,5_600,3_2,1_1
2020050502,,2020050502,20200505,2,20200505,Lv.2 同时拥有2个绿色+1品阶羁绊英雄：攻击+6.5%,,5_650,3_2,1_2
2020050503,,2020050503,20200505,3,20200505,Lv.3 同时拥有2个蓝色品阶羁绊英雄：攻击+7%,,5_700,3_2,1_3
2020050504,,2020050504,20200505,4,20200505,Lv.4 同时拥有2个蓝色+1品阶羁绊英雄：攻击+7.5%,,5_750,3_2,1_4
2020050505,,2020050505,20200505,5,20200505,Lv.5 同时拥有2个蓝色+2品阶羁绊英雄：攻击+8%,,5_800,3_2,1_5
2000120101,,2000120101,20001201,1,20001201,Lv.1 同时拥有2个1星羁绊英雄：攻击+4%,,5_400,3_2,2_1
2000120102,,2000120102,20001201,2,20001201,Lv.2 同时拥有2个2星羁绊英雄：攻击+8%,,5_800,3_2,2_2
2000120103,,2000120103,20001201,3,20001201,Lv.3 同时拥有2个3星羁绊英雄：攻击+12%,,5_1200,3_2,2_3
2000120104,,2000120104,20001201,4,20001201,Lv.4 同时拥有2个4星羁绊英雄：攻击+16%,,5_1600,3_2,2_4
2000120105,,2000120105,20001201,5,20001201,Lv.5 同时拥有2个5星羁绊英雄：攻击+20%,,5_2000,3_2,2_5
2000120201,,2000120201,20001202,1,20001202,Lv.1 同时拥有2个1星羁绊英雄：攻击+4%,,5_400,3_2,2_1
2000120202,,2000120202,20001202,2,20001202,Lv.2 同时拥有2个2星羁绊英雄：攻击+8%,,5_800,3_2,2_2
2000120203,,2000120203,20001202,3,20001202,Lv.3 同时拥有2个3星羁绊英雄：攻击+12%,,5_1200,3_2,2_3
2000120204,,2000120204,20001202,4,20001202,Lv.4 同时拥有2个4星羁绊英雄：攻击+16%,,5_1600,3_2,2_4
2000120205,,2000120205,20001202,5,20001202,Lv.5 同时拥有2个5星羁绊英雄：攻击+20%,,5_2000,3_2,2_5
2000120301,,2000120301,20001203,1,20001203,Lv.1 同时拥有2个1星羁绊英雄：攻击+4%,,5_400,3_2,2_1
2000120302,,2000120302,20001203,2,20001203,Lv.2 同时拥有2个2星羁绊英雄：攻击+8%,,5_800,3_2,2_2
2000120303,,2000120303,20001203,3,20001203,Lv.3 同时拥有2个3星羁绊英雄：攻击+12%,,5_1200,3_2,2_3
2000120304,,2000120304,20001203,4,20001203,Lv.4 同时拥有2个4星羁绊英雄：攻击+16%,,5_1600,3_2,2_4
2000120305,,2000120305,20001203,5,20001203,Lv.5 同时拥有2个5星羁绊英雄：攻击+20%,,5_2000,3_2,2_5
2000120401,,2000120401,20001204,1,20001204,Lv.1 同时拥有2个绿色品阶羁绊英雄：生命+6%,,1_600,3_2,1_1
2000120402,,2000120402,20001204,2,20001204,Lv.2 同时拥有2个绿色+1品阶羁绊英雄：生命+6.5%,,1_650,3_2,1_2
2000120403,,2000120403,20001204,3,20001204,Lv.3 同时拥有2个蓝色品阶羁绊英雄：生命+7%,,1_700,3_2,1_3
2000120404,,2000120404,20001204,4,20001204,Lv.4 同时拥有2个蓝色+1品阶羁绊英雄：生命+7.5%,,1_750,3_2,1_4
2000120405,,2000120405,20001204,5,20001204,Lv.5 同时拥有2个蓝色+2品阶羁绊英雄：生命+8%,,1_800,3_2,1_5
2000120406,,2000120406,20001204,6,20001204,Lv.6 同时拥有2个紫色品阶羁绊英雄：生命+8.5%,,1_850,3_2,1_6
2000120407,,2000120407,20001204,7,20001204,Lv.7 同时拥有2个紫色+1品阶羁绊英雄：生命+9%,,1_900,3_2,1_7
2000120408,,2000120408,20001204,8,20001204,Lv.8 同时拥有2个紫色+2品阶羁绊英雄：生命+9.5%,,1_950,3_2,1_8
2000120409,,2000120409,20001204,9,20001204,Lv.9 同时拥有2个紫色+3品阶羁绊英雄：生命+10%,,1_1000,3_2,1_9
2000120410,,2000120410,20001204,10,20001204,Lv.10 同时拥有2个紫色+4品阶羁绊英雄：生命+10.5%,,1_1050,3_2,1_10
2000120411,,2000120411,20001204,11,20001204,Lv.11 同时拥有2个橙色品阶羁绊英雄：生命+11%,,1_1100,3_2,1_11
2000120501,,2000120501,20001205,1,20001205,Lv.1 同时拥有2个绿色品阶羁绊英雄：攻击+6%,,5_600,3_2,1_1
2000120502,,2000120502,20001205,2,20001205,Lv.2 同时拥有2个绿色+1品阶羁绊英雄：攻击+6.5%,,5_650,3_2,1_2
2000120503,,2000120503,20001205,3,20001205,Lv.3 同时拥有2个蓝色品阶羁绊英雄：攻击+7%,,5_700,3_2,1_3
2000120504,,2000120504,20001205,4,20001205,Lv.4 同时拥有2个蓝色+1品阶羁绊英雄：攻击+7.5%,,5_750,3_2,1_4
2000120505,,2000120505,20001205,5,20001205,Lv.5 同时拥有2个蓝色+2品阶羁绊英雄：攻击+8%,,5_800,3_2,1_5
