key,Remarks,fettersId,heroModelId,fettersName,fettersDesc,fettersIcon,fettersConditions,fettersHeroId
20200504,,20200504,202005,奇宝,法宝武器奇特,fetters/fetters_01,20200504,"202005,204008,203002,203010,200001"
20001201,,20001201,200012,金鳌强者,金鳌岛的强者,fetters/fetters_01,20001201,"200012,203004"
20001202,,20001202,200012,幽冥,幽冥之力,fetters/fetters_01,20001202,"200012,201007,203002,202003"
20001203,,20001203,200012,固执,固执的人,fetters/fetters_01,20001203,"200012,204004,203010"
20001204,,20001204,200012,剑术,剑法,fetters/fetters_01,20001204,"200012,202006,200010,201004"
20001205,,20001205,200012,骄傲,骄傲的人,fetters/fetters_01,20001205,"200012,201001,200004,204005"
20001206,,20001206,200012,殷商臣子,效忠殷商的臣子,fetters/fetters_01,20001206,"200012,200011,201012,204002"
20100101,,20100101,201001,仙才,仙资出众,fetters/fetters_01,20100101,"201001,202005,202006,204001"
20100102,,20100102,201001,道法,道法出众,fetters/fetters_01,20100102,"201001,202001,202010,203013"
20100103,,20100103,201001,枪火,枪法,fetters/fetters_01,20100103,"201001,202002,200003,201012"
20100104,,20100104,201001,骄傲,骄傲的人,fetters/fetters_01,20100104,"201001,200012,200004,204005"
20100105,,20100105,201001,三代弟子,三代弟子,fetters/fetters_01,20100105,"201001,204003,202004"
20100501,,20100501,201005,乘风,乘风之力,fetters/fetters_01,20100501,"201005,202005,201004,203002"
20100502,,20100502,201005,魔家四将,魔家四将,fetters/fetters_01,20100502,"201005,200004,203003,204006"
20100503,,20100503,201005,刀光,武器刀光,fetters/fetters_01,20100503,"201005,203010"
20100504,,20100504,201005,潜修,潜心修行,fetters/fetters_01,20100504,"201005,202010,204005,203008"
20100401,,20100401,201004,陈塘父子,陈塘关一家父子4人,fetters/fetters_01,20100401,"201004,204004,200001,202002"
20100402,,20100402,201004,乘风,乘风之力,fetters/fetters_01,20100402,"201004,202005,201005,203002"
20100403,,20100403,201004,剑术,剑法,fetters/fetters_01,20100403,"201004,202006,200012,200010"
20100404,,20100404,201004,不拘,不拘小节性格跳脱,fetters/fetters_01,20100404,"201004,200003,204003"
20200601,,20200601,202006,仙才,仙资出众,fetters/fetters_01,20200601,"202006,202005,201001,204001"
20200602,,20200602,202006,剑术,剑法,fetters/fetters_01,20200602,"202006,200012,200010,201004"
20200603,,20200603,202006,昆仑翘楚,昆仑山实力拔尖的弟子,fetters/fetters_01,20200603,"202006,202002,202004,202001"
20200604,,20200604,202006,焰心,火焰之力,fetters/fetters_01,20200604,"202006,201012,204006"
20200605,,20200605,202006,镇妖,佛光镇妖之力,fetters/fetters_01,20200605,"202006,200012,203008"
20400301,,20400301,204003,神力,天生神力,fetters/fetters_01,20400301,"204003,200001,200011,200009"
20400302,,20400302,204003,不拘,不拘小节性格跳脱,fetters/fetters_01,20400302,"204003,200003,201004"
20400303,,20400303,204003,拳家,拳术,fetters/fetters_01,20400303,"204003,200002,201007"
20400304,,20400304,204003,三代弟子,三代弟子,fetters/fetters_01,20400304,"204003,201001,202004"
20100701,,20100701,201007,飞影,飞行,fetters/fetters_01,20100701,"201007,202004,203004,202010"
20100702,,20100702,201007,幽冥,幽冥之力,fetters/fetters_01,20100702,"201007,200012,203002,202003"
20100703,,20100703,201007,拳家,拳术,fetters/fetters_01,20100703,"201007,200002,204003"
20100704,,20100704,201007,身法天君,十天君中身法出众者,fetters/fetters_01,20100704,"201007,203007"
20101201,,20101201,201012,殷商臣子,效忠殷商的臣子,fetters/fetters_01,20101201,"201012,200011,200012,204002"
20101202,,20101202,201012,枪火,枪法,fetters/fetters_01,20101202,"201012,201001,200003,202002"
20101203,,20101203,201012,焰心,火焰之力,fetters/fetters_01,20101203,"201012,202006,204006"
20101204,,20101204,201012,勇猛,勇猛,fetters/fetters_01,20101204,"201012,200003,202003,200010"
20400101,,20400101,204001,仙才,仙资出众,fetters/fetters_01,20400101,"204001,202005,202006,201001"
20400102,,20400102,204001,美人,美貌出众,fetters/fetters_01,20400102,"204001,203004,200004"
20400103,,20400103,204001,生灵,可与生灵为伴,fetters/fetters_01,20400103,"204001,203003,203011,202004"
20400104,,20400104,204001,向善,内心善良,fetters/fetters_01,20400104,"204001,200009,200011"
20400201,,20400201,204002,妖仙姐妹,姐妹,fetters/fetters_01,20400201,"204002,203004"
20400202,,20400202,204002,残戾,残忍,fetters/fetters_01,20400202,"204002,203002,202003"
20400203,,20400203,204002,童颜,童颜,fetters/fetters_01,20400203,"204002,203003,203011,200010"
20400204,,20400204,204002,殷商臣子,效忠殷商的臣子,fetters/fetters_01,20400204,"204002,200011,200012,201012"
20400401,,20400401,204004,陈塘父子,陈塘关一家父子4人,fetters/fetters_01,20400401,"204004,202002,200001,201004"
20400402,,20400402,204004,固执,固执的人,fetters/fetters_01,20400402,"204004,200012,203010"
20400403,,20400403,204004,守护者,守护,fetters/fetters_01,20400403,"204004,200009,200002"
20400404,,20400404,204004,镇妖,佛光镇妖之力,fetters/fetters_01,20400404,"204004,202006,203008"
20000401,,20000401,200004,骄傲,骄傲的人,fetters/fetters_01,20000401,"200004,200012,201001,204005"
20000402,,20000402,200004,魔家四将,魔家四将,fetters/fetters_01,20000402,"200004,200004,203003,204006"
20000403,,20000403,200004,美人,美貌出众,fetters/fetters_01,20000403,"200004,203004,204001"
20000404,,20000404,200004,冰山,难以接近,fetters/fetters_01,20000404,"200004,202010,203010,203007"
20400501,,20400501,204005,九龙四圣,九龙岛四圣,fetters/fetters_01,20400501,"204005,200002,203002,202003"
20400502,,20400502,204005,御水,御水之力,fetters/fetters_01,20400502,"204005,202001,203007"
20400503,,20400503,204005,潜修,潜心修行,fetters/fetters_01,20400503,"204005,202010,201005,203008"
20400504,,20400504,204005,美学,讲究美学,fetters/fetters_01,20400504,"204005,203004,203013"
20400505,,20400505,204005,骄傲,骄傲的人,fetters/fetters_01,20400505,"204005,200012,200004,201001"
20400801,,20400801,204008,道法天君,十天君中擅长道法者,fetters/fetters_01,20400801,"204008,203008,203007"
20400802,,20400802,204008,奇宝,法宝武器奇特,fetters/fetters_01,20400802,"204008,200001,203002,203010,202005"
20400803,,20400803,204008,改造,酷爱改造,fetters/fetters_01,20400803,"204008,202005"
20400804,,20400804,204008,异能,能操纵奇特的力量,fetters/fetters_01,20400804,"204008,203004,203003"
20300401,,20300401,203004,异能,能操纵奇特的力量,fetters/fetters_01,20300401,"203004,204008,203003"
20300402,,20300402,203004,睿智,足智多谋,fetters/fetters_01,20300402,"203004,200001,202001,200004"
20300403,,20300403,203004,法宝人,法宝众多,fetters/fetters_01,20300403,"203004,202010,202002"
20300404,,20300404,203004,飞影,飞行,fetters/fetters_01,20300404,"203004,201007,202004,202010"
20300301,,20300301,203003,生灵,可与生灵为伴,fetters/fetters_01,20300301,"203003,202004,203011,204001"
20300302,,20300302,203003,魔家四将,魔家四将,fetters/fetters_01,20300302,"203003,200004,201005,204006"
20300303,,20300303,203003,童颜,童颜,fetters/fetters_01,20300303,"203003,204002,203011,200010"
20300304,,20300304,203003,异能,能操纵奇特的力量,fetters/fetters_01,20300304,"203003,203004,204008"
20300201,,20300201,203002,奇宝,法宝武器奇特,fetters/fetters_01,20300201,"203002,204008,200001,203010,202005"
20300202,,20300202,203002,乘风,乘风之力,fetters/fetters_01,20300202,"203002,202005,201004,201005"
20300203,,20300203,203002,幽冥,幽冥之力,fetters/fetters_01,20300203,"203002,201007,200012,202003"
20300204,,20300204,203002,残戾,残忍,fetters/fetters_01,20300204,"203002,204002,202003"
20300205,,20300205,203002,九龙四圣,九龙岛四圣,fetters/fetters_01,20300205,"203002,200002,204005,202003"
20301001,,20301001,203010,奇宝,法宝武器奇特,fetters/fetters_01,20301001,"203010,204008,203002,200001,202005"
20301002,,20301002,203010,固执,固执的人,fetters/fetters_01,20301002,"203010,204004,200012"
20301003,,20301003,203010,刀光,武器刀光,fetters/fetters_01,20301003,"203010,201005"
20301004,,20301004,203010,冰山,难以接近,fetters/fetters_01,20301004,"203010,202010,200004,203007"
20301005,,20301005,203010,身法金仙,十二仙中身法出众者,fetters/fetters_01,20301005,"203010,200010,200009"
20301101,,20301101,203011,生灵,可与生灵为伴,fetters/fetters_01,20301101,"203011,203003,202004,204001"
20301102,,20301102,203011,童颜,童颜,fetters/fetters_01,20301102,"203011,203003,204002,200010"
20301103,,20301103,203011,道法金仙,十二仙中道法出众者,fetters/fetters_01,20301103,"203011,202010"
20301104,,20301104,203011,通灵,通灵之人,fetters/fetters_01,20301104,"203011,203004"
20001101,,20001101,200011,雷元,奔雷之力,fetters/fetters_01,20001101,"200011,203013,202004,202003"
20001102,,20001102,200011,神力,天生神力,fetters/fetters_01,20001102,"200011,204003,200001,200009"
20001103,,20001103,200011,殷商臣子,效忠殷商的臣子,fetters/fetters_01,20001103,"200011,200012,201012,204002"
20001104,,20001104,200011,向善,内心善良,fetters/fetters_01,20001104,"200011,200009,200011"
20000201,,20000201,200002,拳家,拳术,fetters/fetters_01,20000201,"200002,204003,201007"
20000202,,20000202,200002,守护者,守护,fetters/fetters_01,20000202,"200002,200009,204004"
20000203,,20000203,200002,九龙四圣,九龙岛四圣,fetters/fetters_01,20000203,"200002,203002,204005,202003"
20000204,,20000204,200002,温和,和善的人,fetters/fetters_01,20000204,"200002,204006,203008"
20400601,,20400601,204006,温和,和善的人,fetters/fetters_01,20400601,"204006,200002,203008"
20400602,,20400602,204006,魔家四将,魔家四将,fetters/fetters_01,20400602,"204006,201005,203003"
20400603,,20400603,204006,焰心,火焰之力,fetters/fetters_01,20400603,"204006,201012,202006"
20400604,,20400604,204006,从属,听命于妲己、喜媚儿,fetters/fetters_01,20400604,"204006,203004,204002"
20000901,,20000901,200009,神力,天生神力,fetters/fetters_01,20000901,"200009,204003,200011,200001"
20000902,,20000902,200009,向善,内心善良,fetters/fetters_01,20000902,"200009,204001,200011"
20000903,,20000903,200009,守护者,守护,fetters/fetters_01,20000903,"200009,204004,200002"
20000904,,20000904,200009,身法金仙,十二仙中身法出众者,fetters/fetters_01,20000904,"200009,200010,203010"
20000301,,20000301,200003,昆仑好友,修行于昆仑的好友,fetters/fetters_01,20000301,"200003,202001,202005"
20000302,,20000302,200003,枪火,枪法,fetters/fetters_01,20000302,"200003,201001,202002,201012"
20000303,,20000303,200003,不拘,不拘小节性格跳脱,fetters/fetters_01,20000303,"200003,201004,204003"
20000304,,20000304,200003,勇猛,勇猛,fetters/fetters_01,20000304,"200003,201012,202003,200010"
20001001,,20001001,200010,剑术,剑法,fetters/fetters_01,20001001,"200010,202006,200012,201004"
20001002,,20001002,200010,勇猛,勇猛,fetters/fetters_01,20001002,"200010,200003,202003,201012"
20001003,,20001003,200010,身法金仙,十二仙中身法出众者,fetters/fetters_01,20001003,"200010,203010,200009"
20001004,,20001004,200010,童颜,童颜,fetters/fetters_01,20001004,"200010,203003,204002,203011"
20301301,,20301301,203013,道法,道法出众,fetters/fetters_01,20301301,"203013,201001,202010,202001"
20301302,,20301302,203013,雷元,奔雷之力,fetters/fetters_01,20301302,"203013,202004,200011,202003"
20301303,,20301303,203013,美学,讲究美学,fetters/fetters_01,20301303,"203013,203004,204005"
20301304,,20301304,203013,旁观者,中立旁观者,fetters/fetters_01,20301304,"203013,202006,202005"
20200301,,20200301,202003,雷元,奔雷之力,fetters/fetters_01,20200301,"202003,203013,200011,202004"
20200302,,20200302,202003,幽冥,幽冥之力,fetters/fetters_01,20200302,"202003,201007,203002,200012"
20200303,,20200303,202003,勇猛,勇猛,fetters/fetters_01,20200303,"202003,200003,201012,200010"
20200304,,20200304,202003,九龙四圣,九龙岛四圣,fetters/fetters_01,20200304,"202003,203002,204005,200002"
20201001,,20201001,202010,道法,道法出众,fetters/fetters_01,20201001,"202010,201001,202001,203013"
20201002,,20201002,202010,法宝人,法宝众多,fetters/fetters_01,20201002,"202010,202002,203004"
20201003,,20201003,202010,飞影,飞行,fetters/fetters_01,20201003,"202010,201007,203004,202004"
20201004,,20201004,202010,潜修,潜心修行,fetters/fetters_01,20201004,"202010,201005,204005,203008"
20201005,,20201005,202010,冰山,难以接近,fetters/fetters_01,20201005,"202010,200004,203010,203007"
20300801,,20300801,203008,潜修,潜心修行,fetters/fetters_01,20300801,"203008,202010,204005,201005"
20300802,,20300802,203008,镇妖,佛光镇妖之力,fetters/fetters_01,20300802,"203008,200012,204004"
20300803,,20300803,203008,道法天君,十天君中擅长道法者,fetters/fetters_01,20300803,"203008,204008,203007"
20300804,,20300804,203008,温和,和善的人,fetters/fetters_01,20300804,"203008,204006,200002"
20300701,,20300701,203007,御水,御水之力,fetters/fetters_01,20300701,"203007,204005,202001"
20300702,,20300702,203007,身法天君,十天君中身法出众者,fetters/fetters_01,20300702,"203007,201007"
20300703,,20300703,203007,风水相生,提升自身水相法力,fetters/fetters_01,20300703,"203007,201005"
20300704,,20300704,203007,冰山,难以接近,fetters/fetters_01,20300704,"203007,202010,203010,200004"
