key,Remarks,fettersId,heroModelId,fettersName,fettersDesc,fettersIcon,fettersConditions,fettersHeroId,seq
20100702,,20100702,201007,改造,酷爱改造,fetters/fetter_1015,20100702,"201007,204008",2
20100703,,20100703,201007,身法天君,十天君中身法出众者,fetters/fetter_1031,20100703,"201007,200006",3
20100704,,20100704,201007,奇人,奇怪的人，不合群的人,fetters/fetter_1001,20100704,"201007,203007",4
20100705,,20100705,201007,拳家,拳术,fetters/fetter_1030,20100705,"201007,200002",5
20101201,,20101201,201012,焰心,火焰之力,fetters/fetter_1028,20101201,"201012,202006",1
20101202,,20101202,201012,乘风,乘风之力,fetters/fetter_1016,20101202,"201012,202005",2
20101203,,20101203,201012,勇猛,勇猛的人，无所畏惧,fetters/fetter_1032,20101203,"201012,200010",3
20101204,,20101204,201012,殷商臣子,效忠殷商的臣子,fetters/fetter_1022,20101204,"201012,204002",4
20101205,,20101205,201012,哼哈,哼哈二将,fetters/fetter_1001,20101205,"201012,200011",5
20400101,,20400101,204001,美人,美貌出众,fetters/fetter_1033,20400101,"204001,203004",1
20400102,,20400102,204001,善心,心地善良，包容万物,fetters/fetter_1001,20400102,"204001,203011",2
20400103,,20400103,204001,红颜,红颜似水,fetters/fetter_1001,20400103,"204001,200004",3
20400104,,20400104,204001,生灵,可与所有生灵为伴,fetters/fetter_1011,20400104,"204001,203003",4
20400105,,20400105,204001,不可貌相,外表差距很大，但内心都是好人,fetters/fetter_1001,20400105,"204001,200011",5
20400201,,20400201,204002,妖仙姐妹,姐妹,fetters/fetter_1035,20400201,"204002,203004",1
20400202,,20400202,204002,童颜,童颜,fetters/fetter_1037,20400202,"204002,200010",2
20400203,,20400203,204002,残戾,残忍,fetters/fetter_1036,20400203,"204002,203002",3
20400204,,20400204,204002,殷商臣子,效忠殷商的臣子,fetters/fetter_1022,20400204,"204002,200011",4
20400205,,20400205,204002,妲己手下,忠于妲己的手下,fetters/fetter_1001,20400205,"204002,201012",5
20400401,,20400401,204004,守护,守护者,fetters/fetter_1001,20400401,"204004,200009",1
20400402,,20400402,204004,潜修,潜心修行,fetters/fetter_1026,20400402,"204004,204005",2
20400403,,20400403,204004,固执,难以接近,fetters/fetter_1019,20400403,"204004,203010",3
20400404,,20400404,204004,次子,陈塘关父子,fetters/fetter_1001,20400404,"204004,201004",4
20400405,,20400405,204004,长子,陈塘关父子,fetters/fetter_1001,20400405,"204004,200001",5
20000401,,20000401,200004,仙才,出众的天资,fetters/fetter_1023,20000401,"200004,202006",1
20000402,,20000402,200004,魔家四将,魔家四将,fetters/fetter_1024,20000402,"200004,203003",2
20000403,,20000403,200004,冰山,难以接近,fetters/fetter_1039,20000403,"200004,203007",3
20000404,,20000404,200004,赤衣红伞,赤衣红伞,fetters/fetter_1001,20000404,"200004,204006",4
20000405,,20000405,200004,美人,美貌出众,fetters/fetter_1033,20000405,"200004,204001",5
20400501,,20400501,204005,美学,讲究美学,fetters/fetter_1041,20400501,"204005,203013",1
20400502,,20400502,204005,九龙四圣,九龙岛四圣,fetters/fetter_1040,20400502,"204005,200002",2
20400503,,20400503,204005,潜修,潜心修行,fetters/fetter_1026,20400503,"204005,201005",3
20400504,,20400504,204005,御水,御水之力,fetters/fetter_1003,20400504,"204005,202001",4
20400505,,20400505,204005,骄傲,骄傲的人，优雅的人,fetters/fetter_1021,20400505,"204005,200012",5
20400801,,20400801,204008,奇术,天生奇术,fetters/fetter_1001,20400801,"204008,202006",1
20400802,,20400802,204008,道法天君,十天君中擅长道法者,fetters/fetter_1042,20400802,"204008,203007",2
20400803,,20400803,204008,奇宝,拥有奇特的法宝武器,fetters/fetter_1014,20400803,"204008,203010",3
20400804,,20400804,204008,改造,酷爱改造,fetters/fetter_1015,20400804,"204008,202005",4
20400805,,20400805,204008,异能,能操纵奇特的力量,fetters/fetter_1043,20400805,"204008,203003",5
20300401,,20300401,203004,睿智,足智多谋，冷静睿智,fetters/fetter_1005,20300401,"203004,202001",1
20300402,,20300402,203004,飞影,飞行之影,fetters/fetter_1010,20300402,"203004,201007",2
20300403,,20300403,203004,异能,能操纵奇特的力量,fetters/fetter_1043,20300403,"203004,204008",3
20300404,,20300404,203004,魅颜,魅惑众生,fetters/fetter_1001,20300404,"203004,200004",4
20300405,,20300405,203004,奇士,能操纵奇特的力量,fetters/fetter_1001,20300405,"203004,203003",5
20300301,,20300301,203003,熊猫与盾,熊猫与盾，哪个更能抗？,fetters/fetter_1013,20300301,"203003,200009",1
20300302,,20300302,203003,童颜,童颜,fetters/fetter_1037,20300302,"203003,200010",2
20300303,,20300303,203003,玩偶与刀,玩偶可不一定比大刀亲切,fetters/fetter_1024,20300303,"203003,201005",3
20300304,,20300304,203003,魔家兄妹,兄妹情深,fetters/fetter_1001,20300304,"203003,204006",4
20300305,,20300305,203003,生灵,可与所有生灵为伴,fetters/fetter_1011,20300305,"203003,204001",5
20300201,,20300201,203002,美少年,帅哥登场！,fetters/fetter_1001,20300201,"203002,202002",1
20300202,,20300202,203002,奇宝,拥有奇特的法宝武器,fetters/fetter_1014,20300202,"203002,204008",2
20300203,,20300203,203002,幽冥,幽冥鬼力,fetters/fetter_1018,20300203,"203002,201007",3
20300204,,20300204,203002,九龙长幼,九龙岛的监护人与熊孩子……,fetters/fetter_1040,20300204,"203002,200002",4
20300205,,20300205,203002,童颜,童颜,fetters/fetter_1037,20300205,"203002,204002",5
20301001,,20301001,203010,身法金仙,十二仙中身法出众者,fetters/fetter_1044,20301001,"203010,200009",1
20301002,,20301002,203010,刀锋书影,昆仑山上一对奇怪的组合,fetters/fetter_1014,20301002,"203010,202005",2
20301003,,20301003,203010,冰山,难以接近,fetters/fetter_1039,20301003,"203010,200004",3
20301004,,20301004,203010,固执,难以接近,fetters/fetter_1019,20301004,"203010,204004",4
20301005,,20301005,203010,刀光,武器刀光,fetters/fetter_1025,20301005,"203010,201005",5
20001101,,20001101,200011,雷元,奔雷之力,fetters/fetter_1009,20001101,"200011,203013",1
20001102,,20001102,200011,惊天,惊天之雷,fetters/fetter_1001,20001102,"200011,202004",2
20001103,,20001103,200011,殷商臣子,效忠殷商的臣子,fetters/fetter_1022,20001103,"200011,204002",3
20001104,,20001104,200011,神力,天生神力,fetters/fetter_1013,20001104,"200011,204003",4
20001105,,20001105,200011,哼哈二将,哼哈二将,fetters/fetter_1001,20001105,"200011,201012",5
20000201,,20000201,200002,守护者,守护,fetters/fetter_1038,20000201,"200002,200009",1
20000202,,20000202,200002,拳家,拳术,fetters/fetter_1030,20000202,"200002,204003",2
20000203,,20000203,200002,九龙长幼,九龙岛的监护人与熊孩子……,fetters/fetter_1040,20000203,"200002,203002",3
20000204,,20000204,200002,温和,和善的人,fetters/fetter_1047,20000204,"200002,204006",4
20000205,,20000205,200002,双影,九龙岛两位关系要好的友人,fetters/fetter_1001,20000205,"200002,204005",5
20400601,,20400601,204006,枪火,枪法出众,fetters/fetter_1008,20400601,"204006,201001",1
20400602,,20400602,204006,赤衣红伞,赤衣红伞,fetters/fetter_1024,20400602,"204006,200004",2
20400603,,20400603,204006,身法,身法出众,fetters/fetter_1001,20400603,"204006,200006",3
20400604,,20400604,204006,温和,和善的人,fetters/fetter_1047,20400604,"204006,200002",4
20400605,,20400605,204006,从属,听命于妲己、喜媚儿,fetters/fetter_1048,20400605,"204006,204002",5
20000901,,20000901,200009,镇妖,佛光镇妖之力,fetters/fetter_1029,20000901,"200009,202006",1
20000902,,20000902,200009,强壮,体格强壮,fetters/fetter_1001,20000902,"200009,200003",2
20000903,,20000903,200009,力与序,力量！秩序！,fetters/fetter_1044,20000903,"200009,203010",3
20000904,,20000904,200009,守护者,守护,fetters/fetter_1038,20000904,"200009,204004",4
20000905,,20000905,200009,神力,天生神力,fetters/fetter_1013,20000905,"200009,204003",5
20000301,,20000301,200003,雷元,奔雷之力,fetters/fetter_1009,20000301,"200003,203013",1
20000302,,20000302,200003,不拘,不拘小节性格跳脱,fetters/fetter_1027,20000302,"200003,200006",2
20000303,,20000303,200003,昆仑好友,修行于昆仑的好友,fetters/fetter_1002,20000303,"200003,202005",3
20000304,,20000304,200003,勇猛,勇猛的人，无所畏惧,fetters/fetter_1032,20000304,"200003,201012",4
20000305,,20000305,200003,大块头,大块头，大力士,fetters/fetter_1001,20000305,"200003,200011",5
20001001,,20001001,200010,雷元,奔雷之力,fetters/fetter_1009,20001001,"200010,203013",1
20001002,,20001002,200010,神体,经过了长期修炼，体格非常奇特,fetters/fetter_1031,20001002,"200010,203007",2
20001003,,20001003,200010,奇人,奇怪的人,fetters/fetter_1001,20001003,"200010,201007",3
20001004,,20001004,200010,反差,表里不一,fetters/fetter_1001,20001004,"200010,203002",4
20001005,,20001005,200010,孩童,孩童之身,fetters/fetter_1001,20001005,"200010,203003",5
20301301,,20301301,203013,是敌是友,不知两人是敌是友，时而合作时而独行,fetters/fetter_1007,20301301,"203013,203004",1
20301302,,20301302,203013,雷元,奔雷之力,fetters/fetter_1009,20301302,"203013,202004",2
20301303,,20301303,203013,旁观者,中立旁观者,fetters/fetter_1049,20301303,"203013,202005",3
20301304,,20301304,203013,怪诞,怪诞的两个人，个性十足,fetters/fetter_1041,20301304,"203013,204002",4
20301305,,20301305,203013,阴阳两路,过去的师兄弟，如今的两路人,fetters/fetter_1001,20301305,"203013,202001",5
20300701,,20300701,203007,冰火奏鸣,冰与火,fetters/fetter_1020,20300701,"203007,202006",1
20300702,,20300702,203007,困兽,非人似兽,fetters/fetter_1004,20300702,"203007,200006",2
20300703,,20300703,203007,安静,安静的人,fetters/fetter_1001,20300703,"203007,204006",3
20300704,,20300704,203007,冰山,难以接近,fetters/fetter_1039,20300704,"203007,204005",4
20300705,,20300705,203007,冰霜炮火,冰霜与巨炮,fetters/fetter_1005,20300705,"203007,200001",5
20000601,,20000601,200006,骄傲,骄傲的人,fetters/fetter_1021,20000601,"200006,200012",1
20000602,,20000602,200006,身法天君,十天君中身法出众者,fetters/fetter_1031,20000602,"200006,201007",2
20000603,,20000603,200006,奇能,奇能之力,fetters/fetter_1052,20000603,"200006,204008",3
20000604,,20000604,200006,幽冥,幽冥鬼力,fetters/fetter_1018,20000604,"200006,203002",4
20000605,,20000605,200006,体格崇拜,痴迷于好身材,fetters/fetter_1027,20000605,"200006,200003",5
20301101,,20301101,203011,灵兽,与灵兽为伴,fetters/fetter_1001,20301101,"203011,203003",1
20301102,,20301102,203011,童颜,童颜,fetters/fetter_1037,20301102,"203011,200010",2
20301103,,20301103,203011,灵能,通灵异能,fetters/fetter_1001,20301103,"203011,204002",3
20301104,,20301104,203011,生灵,可与所有生灵为伴,fetters/fetter_1011,20301104,"203011,204001",4
20301105,,20301105,203011,天然,性格天然,fetters/fetter_1027,20301105,"203011,200003",5
20200301,,20200301,202003,雷元,奔雷之力,fetters/fetter_1009,20200301,"202003,203013",1
20200302,,20200302,202003,幽冥,幽冥鬼力,fetters/fetter_1018,20200302,"202003,201007",2
20200303,,20200303,202003,九龙四圣,九龙岛四圣,fetters/fetter_1040,20200303,"202003,204005",3
20200304,,20200304,202003,魅骨,魅惑入骨,fetters/fetter_1001,20200304,"202003,203004",4
20200305,,20200305,202003,心机,心机深沉,fetters/fetter_1001,20200305,"202003,200004",5
20201001,,20201001,202010,法宝人,法宝众多,fetters/fetter_1007,20201001,"202010,202002",1
20201002,,20201002,202010,飞影,飞行之影,fetters/fetter_1010,20201002,"202010,202004",2
20201003,,20201003,202010,冰山,难以接近,fetters/fetter_1039,20201003,"202010,203007",3
20201004,,20201004,202010,潜修,潜心修行,fetters/fetter_1026,20201004,"202010,201005",4
20201005,,20201005,202010,道法,道法出众，天资聪颖的昆仑弟子,fetters/fetter_1004,20201005,"202010,202001",5
20300801,,20300801,203008,光芒,耀眼之人,fetters/fetter_1029,20300801,"203008,200012",1
20300802,,20300802,203008,潜修,潜心修行,fetters/fetter_1026,20300802,"203008,201005",2
20300803,,20300803,203008,奇道,道法奇特，世间罕见,fetters/fetter_1001,20300803,"203008,204008",3
20300804,,20300804,203008,蔷薇,刺人的蔷薇,fetters/fetter_1047,20300804,"203008,204006",4
20300805,,20300805,203008,荆棘,越是靠近，越是危险,fetters/fetter_1041,20300805,"203008,204002",5
20300101,,20300101,203001,高高在上,高高在上的仙与高高在上的人,fetters/fetter_1029,20300101,"203001,200012",1
20300102,,20300102,203001,潜修,潜心修行,fetters/fetter_1026,20300102,"203001,201005",2
20300103,,20300103,203001,奇道,道法奇特，世间罕见,fetters/fetter_1001,20300103,"203001,204008",3
20300104,,20300104,203001,仙骨妖颜,金鳌岛的美人，魅惑众生,fetters/fetter_1047,20300104,"203001,204006",4
20300105,,20300105,203001,妖桃,金鳌岛的妖仙,fetters/fetter_1041,20300105,"203001,204002",5
20101301,,20101301,201013,宝杵,降魔伏虎，宝杵荡魔,fetters/fetter_1029,20101301,"201013,200003",1
20101302,,20101302,201013,故友,曾经的至交,fetters/fetter_1026,20101302,"201013,200012",2
20101303,,20101303,201013,仁义,宅心仁厚，义重四方,fetters/fetter_1001,20101303,"201013,203011",3
20101304,,20101304,201013,狂战,冲锋陷阵，所向披靡,fetters/fetter_1047,20101304,"201013,200006",4
20101305,,20101305,201013,铁骨,铁骨铮铮，万夫莫敌,fetters/fetter_1041,20101305,"201013,200009",5
