Key,Remarks,id,cost,composeLevel,composeType,mate1Type,mate1Id,mate1Count,mate2Type,mate2Id,mate2Count,mate3Type,mate3Id,mate3Count,mate4Type,mate4Id,mate4Count,mate5Type,mate5Id,mate5Count,attrDesc
800044,,800044,1500,30,,1,800043,2,,,,,,,,,,,,,
800045,,800045,2000,35,,1,800044,2,,,,,,,,,,,,,
800046,,800046,2500,38,,1,800045,2,,,,,,,,,,,,,
800047,,800047,3000,40,,1,800046,2,,,,,,,,,,,,,
800048,,800048,3500,45,,1,800047,2,,,,,,,,,,,,,
800049,,800049,4000,50,,1,800048,2,,,,,,,,,,,,,
800550,,800550,4500,58,,1,800049,2,,,,,,,,,,,,,
800551,,800551,5000,68,,1,800550,2,,,,,,,,,,,,,
800552,,800552,5500,75,,1,800551,2,,,,,,,,,,,,,
800553,,800553,6000,80,,1,800552,2,,,,,,,,,,,,,
800554,,800554,6500,85,,1,800553,2,,,,,,,,,,,,,
800555,,800555,7000,90,,1,800554,2,,,,,,,,,,,,,
800052,,800052,500,20,,1,800051,2,,,,,,,,,,,,,
800053,,800053,1000,25,,1,800052,2,,,,,,,,,,,,,
800054,,800054,1500,30,,1,800053,2,,,,,,,,,,,,,
800055,,800055,2000,35,,1,800054,2,,,,,,,,,,,,,
800056,,800056,2500,38,,1,800055,2,,,,,,,,,,,,,
800057,,800057,3000,40,,1,800056,2,,,,,,,,,,,,,
800058,,800058,3500,45,,1,800057,2,,,,,,,,,,,,,
800059,,800059,4000,50,,1,800058,2,,,,,,,,,,,,,
800660,,800660,4500,58,,1,800059,2,,,,,,,,,,,,,
800661,,800661,5000,68,,1,800660,2,,,,,,,,,,,,,
800662,,800662,5500,75,,1,800661,2,,,,,,,,,,,,,
800663,,800663,6000,80,,1,800662,2,,,,,,,,,,,,,
800664,,800664,6500,85,,1,800663,2,,,,,,,,,,,,,
800665,,800665,7000,90,,1,800664,2,,,,,,,,,,,,,
800062,,800062,500,20,,1,800061,2,,,,,,,,,,,,,
800063,,800063,1000,25,,1,800062,2,,,,,,,,,,,,,
800064,,800064,1500,30,,1,800063,2,,,,,,,,,,,,,
800065,,800065,2000,35,,1,800064,2,,,,,,,,,,,,,
800066,,800066,2500,38,,1,800065,2,,,,,,,,,,,,,
800067,,800067,3000,40,,1,800066,2,,,,,,,,,,,,,
800068,,800068,3500,45,,1,800067,2,,,,,,,,,,,,,
800069,,800069,4000,50,,1,800068,2,,,,,,,,,,,,,
800770,,800770,4500,58,,1,800069,2,,,,,,,,,,,,,
800771,,800771,5000,68,,1,800770,2,,,,,,,,,,,,,
800772,,800772,5500,75,,1,800771,2,,,,,,,,,,,,,
800773,,800773,6000,80,,1,800772,2,,,,,,,,,,,,,
800774,,800774,6500,85,,1,800773,2,,,,,,,,,,,,,
800775,,800775,7000,90,,1,800774,2,,,,,,,,,,,,,
800072,,800072,500,20,,1,800071,2,,,,,,,,,,,,,
800073,,800073,1000,25,,1,800072,2,,,,,,,,,,,,,
800074,,800074,1500,30,,1,800073,2,,,,,,,,,,,,,
800075,,800075,2000,35,,1,800074,2,,,,,,,,,,,,,
800076,,800076,2500,38,,1,800075,2,,,,,,,,,,,,,
800077,,800077,3000,40,,1,800076,2,,,,,,,,,,,,,
800078,,800078,3500,45,,1,800077,2,,,,,,,,,,,,,
800079,,800079,4000,50,,1,800078,2,,,,,,,,,,,,,
800880,,800880,4500,58,,1,800079,2,,,,,,,,,,,,,
800881,,800881,5000,68,,1,800880,2,,,,,,,,,,,,,
800882,,800882,5500,75,,1,800881,2,,,,,,,,,,,,,
800883,,800883,6000,80,,1,800882,2,,,,,,,,,,,,,
800884,,800884,6500,85,,1,800883,2,,,,,,,,,,,,,
800885,,800885,7000,90,,1,800884,2,,,,,,,,,,,,,
602101,,602101,11250,1,,1,605001,20,,,,,,,,,,,,,
602102,,602102,28750,1,,1,605002,20,,,,,,,,,,,,,
602103,,602103,72500,1,,1,605003,20,,,,,,,,,,,,,
602104,,602104,162500,1,,1,605004,20,,,,,,,,,,,,,
602201,,602201,11250,1,,1,605101,20,,,,,,,,,,,,,
602202,,602202,28750,1,,1,605102,20,,,,,,,,,,,,,
602203,,602203,72500,1,,1,605103,20,,,,,,,,,,,,,
602204,,602204,162500,1,,1,605104,20,,,,,,,,,,,,,
602105,,602105,11250,1,,1,605005,20,,,,,,,,,,,,,
602106,,602106,28750,1,,1,605006,20,,,,,,,,,,,,,
602107,,602107,72500,1,,1,605007,20,,,,,,,,,,,,,
602108,,602108,162500,1,,1,605008,20,,,,,,,,,,,,,
602205,,602205,11250,1,,1,605105,20,,,,,,,,,,,,,
602206,,602206,28750,1,,1,605106,20,,,,,,,,,,,,,
602207,,602207,72500,1,,1,605107,20,,,,,,,,,,,,,
602208,,602208,162500,1,,1,605108,20,,,,,,,,,,,,,
603001,,603001,5600,1,,1,604901,20,,,,,,,,,,,,,
603008,,603011,11250,1,,1,604902,40,,,,,,,,,,,,,
603011,,603021,28100,1,,1,604903,100,,,,,,,,,,,,,
603015,,603031,70300,1,,1,604904,250,,,,,,,,,,,,,
603101,,603101,5600,1,,1,604905,20,,,,,,,,,,,,,
603108,,603111,11250,1,,1,604906,40,,,,,,,,,,,,,
603111,,603121,28100,1,,1,604907,100,,,,,,,,,,,,,
603115,,603131,70300,1,,1,604908,250,,,,,,,,,,,,,
603201,,603201,5600,1,,1,604909,20,,,,,,,,,,,,,
603208,,603211,11250,1,,1,604910,40,,,,,,,,,,,,,
603211,,603221,28100,1,,1,604911,100,,,,,,,,,,,,,
603215,,603231,70300,1,,1,604912,250,,,,,,,,,,,,,
603301,,603301,5600,1,,1,604913,20,,,,,,,,,,,,,
603308,,603311,11250,1,,1,604914,40,,,,,,,,,,,,,
603311,,603321,28100,1,,1,604915,100,,,,,,,,,,,,,
603315,,603331,70300,1,,1,604916,250,,,,,,,,,,,,,
603401,,603401,5600,1,,1,604917,20,,,,,,,,,,,,,
603408,,603411,11250,1,,1,604918,40,,,,,,,,,,,,,
603411,,603421,28100,1,,1,604919,100,,,,,,,,,,,,,
603415,,603431,70300,1,,1,604920,250,,,,,,,,,,,,,
603501,,603501,5600,1,,1,604921,20,,,,,,,,,,,,,
603508,,603511,11250,1,,1,604922,40,,,,,,,,,,,,,
603511,,603521,28100,1,,1,604923,100,,,,,,,,,,,,,
603515,,603531,70300,1,,1,604924,250,,,,,,,,,,,,,
603601,,603601,5600,1,,1,604925,20,,,,,,,,,,,,,
603701,,603701,11250,1,,1,604926,40,,,,,,,,,,,,,
603801,,603801,28100,1,,1,604927,100,,,,,,,,,,,,,
700003,,700003,100,1,1,,700001,1,1,700002,1,,,,,,,,,,
700004,,700004,140,1,,1,702004,3,,,,,,,,,,,,,
700005,,700005,180,1,,1,702005,5,,,,,,,,,,,,,
700006,,700006,220,1,,1,702006,12,,,,,,,,,,,,,
700007,,700007,600,1,,1,702007,15,,,,,,,,,,,,,
700008,,700008,1950,1,,1,702008,25,,,,,,,,,,,,,
700009,,700009,5400,1,,1,702009,35,,,,,,,,,,,,,
700010,,700010,8900,1,,1,702010,45,,,,,,,,,,,,,
700011,,700011,12450,1,,1,702011,70,,,,,,,,,,,,,
700012,,700012,16300,1,,1,702012,95,,,,,,,,,,,,,
700015,,700015,100,1,1,,700013,1,1,700014,1,,,,,,,,,,
700016,,700016,140,1,,1,702056,3,,,,,,,,,,,,,
700017,,700017,180,1,,1,702017,5,,,,,,,,,,,,,
700018,,700018,220,1,,1,702058,12,,,,,,,,,,,,,
700019,,700019,600,1,,1,702019,15,,,,,,,,,,,,,
700020,,700020,1950,1,,1,702020,25,,,,,,,,,,,,,
700021,,700021,5400,1,,1,702021,35,,,,,,,,,,,,,
700022,,700022,8900,1,,1,702022,45,,,,,,,,,,,,,
700023,,700023,12450,1,,1,702023,70,,,,,,,,,,,,,
700024,,700024,16300,1,,1,702024,95,,,,,,,,,,,,,
700027,,700027,100,1,1,,700025,1,1,700026,1,,,,,,,,,,
700028,,700028,140,1,,1,702052,3,,,,,,,,,,,,,
700029,,700029,180,1,,1,702029,5,,,,,,,,,,,,,
700030,,700030,220,1,,1,702031,12,,,,,,,,,,,,,
700031,,700031,600,1,,1,702030,15,,,,,,,,,,,,,
700032,,700032,1950,1,,1,702032,25,,,,,,,,,,,,,
700033,,700033,5400,1,,1,702033,35,,,,,,,,,,,,,
700034,,700034,8900,1,,1,702034,45,,,,,,,,,,,,,
700035,,700035,12450,1,,1,702035,70,,,,,,,,,,,,,
700036,,700036,16300,1,,1,702036,95,,,,,,,,,,,,,
700039,,700039,100,1,1,,700037,1,1,700038,1,,,,,,,,,,
700040,,700040,140,1,,1,702041,3,,,,,,,,,,,,,
700041,,700041,180,1,,1,702040,5,,,,,,,,,,,,,
700042,,700042,220,1,,1,702049,12,,,,,,,,,,,,,
700043,,700043,600,1,,1,702043,15,,,,,,,,,,,,,
700044,,700044,1950,1,,1,702044,25,,,,,,,,,,,,,
700045,,700045,5400,1,,1,702045,35,,,,,,,,,,,,,
700046,,700046,8900,1,,1,702046,45,,,,,,,,,,,,,
700047,,700047,12450,1,,1,702047,70,,,,,,,,,,,,,
700048,,700048,16300,1,,1,702048,95,,,,,,,,,,,,,
700063,,700063,100,1,1,,700061,1,1,700062,1,,,,,,,,,,
700064,,700064,140,1,1,,700062,1,1,700074,1,,,,,,,,,,
700065,,700065,180,1,,1,702065,3,,,,,,,,,,,,,
700066,,700066,220,1,,1,702066,8,,,,,,,,,,,,,
700067,,700067,600,1,,1,702067,10,,,,,,,,,,,,,
700068,,700068,1950,1,,1,702068,20,,,,,,,,,,,,,
700069,,700069,5400,1,,1,702069,25,,,,,,,,,,,,,
700070,,700070,8900,1,,1,702070,30,,,,,,,,,,,,,
700071,,700071,12450,1,,1,702071,45,,,,,,,,,,,,,
700072,,700072,16300,1,,1,702072,65,,,,,,,,,,,,,
700075,,700075,100,1,1,,700073,1,1,700074,1,,,,,,,,,,
700076,,700076,140,1,1,,700074,1,1,700062,1,,,,,,,,,,
700077,,700077,180,1,,1,702087,3,,,,,,,,,,,,,
700078,,700078,220,1,,1,702078,8,,,,,,,,,,,,,
700079,,700079,600,1,,1,702088,10,,,,,,,,,,,,,
700080,,700080,1950,1,,1,702089,20,,,,,,,,,,,,,
700081,,700081,5400,1,,1,702081,25,,,,,,,,,,,,,
700082,,700082,8900,1,,1,702082,30,,,,,,,,,,,,,
700083,,700083,12450,1,,1,702083,45,,,,,,,,,,,,,
700084,,700084,16300,1,,1,702084,65,,,,,,,,,,,,,
700092,,700092,100,1,,1,702092,3,,,,,,,,,,,,,
700093,,700093,140,1,,1,702093,5,,,,,,,,,,,,,
700094,,700094,600,1,,1,702094,20,,,,,,,,,,,,,
700095,,700095,8900,1,,1,702095,45,,,,,,,,,,,,,
700096,,700096,100,1,,1,702096,3,,,,,,,,,,,,,
700097,,700097,140,1,,1,702097,5,,,,,,,,,,,,,
700098,,700098,600,1,,1,702098,20,,,,,,,,,,,,,
700099,,700099,8900,1,,1,702099,45,,,,,,,,,,,,,
700102,,700102,100,1,1,,700100,1,1,700101,1,,,,,,,,,,
700103,,700103,140,1,,1,702103,3,,,,,,,,,,,,,
700104,,700104,180,1,,1,702104,5,,,,,,,,,,,,,
700105,,700105,220,1,,1,702105,12,,,,,,,,,,,,,
700106,,700106,600,1,,1,702127,15,,,,,,,,,,,,,
700107,,700107,1950,1,,1,702107,25,,,,,,,,,,,,,
700108,,700108,5400,1,,1,702108,35,,,,,,,,,,,,,
700109,,700109,8900,1,,1,702109,45,,,,,,,,,,,,,
700110,,700110,12450,1,,1,702110,70,,,,,,,,,,,,,
700111,,700111,16300,1,,1,702111,95,,,,,,,,,,,,,
700114,,700114,100,1,1,,700112,1,1,700113,1,,,,,,,,,,
700115,,700115,140,1,,1,702141,3,,,,,,,,,,,,,
700116,,700116,180,1,,1,702116,5,,,,,,,,,,,,,
700117,,700117,220,1,,1,702117,12,,,,,,,,,,,,,
700118,,700118,600,1,,1,702118,15,,,,,,,,,,,,,
700119,,700119,1950,1,,1,702119,25,,,,,,,,,,,,,
700120,,700120,5400,1,,1,702120,35,,,,,,,,,,,,,
700121,,700121,8900,1,,1,702121,45,,,,,,,,,,,,,
700122,,700122,12450,1,,1,702122,70,,,,,,,,,,,,,
700123,,700123,16300,1,,1,702123,95,,,,,,,,,,,,,
700126,,700126,100,1,1,,700124,1,1,700125,1,,,,,,,,,,
700127,,700127,140,1,,1,702106,3,,,,,,,,,,,,,
700128,,700128,180,1,,1,702128,5,,,,,,,,,,,,,
700129,,700129,220,1,,1,702129,12,,,,,,,,,,,,,
700130,,700130,600,1,,1,702130,15,,,,,,,,,,,,,
700131,,700131,1950,1,,1,702131,25,,,,,,,,,,,,,
700132,,700132,5400,1,,1,702132,35,,,,,,,,,,,,,
700133,,700133,8900,1,,1,702133,45,,,,,,,,,,,,,
700134,,700134,12450,1,,1,702134,70,,,,,,,,,,,,,
700135,,700135,16300,1,,1,702135,95,,,,,,,,,,,,,
700138,,700138,100,1,1,,700136,1,1,700137,1,,,,,,,,,,
700139,,700139,140,1,,1,702140,3,,,,,,,,,,,,,
700140,,700140,180,1,,1,702139,5,,,,,,,,,,,,,
700141,,700141,220,1,,1,702115,12,,,,,,,,,,,,,
700142,,700142,600,1,,1,702142,15,,,,,,,,,,,,,
700143,,700143,1950,1,,1,702143,25,,,,,,,,,,,,,
700144,,700144,5400,1,,1,702144,35,,,,,,,,,,,,,
700145,,700145,8900,1,,1,702145,45,,,,,,,,,,,,,
700146,,700146,12450,1,,1,702146,70,,,,,,,,,,,,,
700147,,700147,16300,1,,1,702147,95,,,,,,,,,,,,,
700149,,700149,100,1,,1,702149,5,,,,,,,,,,,,,
700150,,700150,140,1,,1,702150,8,,,,,,,,,,,,,
700151,,700151,220,1,,1,702153,20,,,,,,,,,,,,,
700153,,700153,600,1,,1,702173,30,,,,,,,,,,,,,
700154,,700154,3300,1,,1,702054,50,,,,,,,,,,,,,
700155,,700155,8900,1,,1,702155,85,,,,,,,,,,,,,
700156,,700156,14600,1,,1,702156,145,,,,,,,,,,,,,
700158,,700158,100,1,,1,702158,5,,,,,,,,,,,,,
700159,,700159,140,1,,1,702159,8,,,,,,,,,,,,,
700160,,700160,220,1,,1,702170,20,,,,,,,,,,,,,
700161,,700161,600,1,,1,702172,30,,,,,,,,,,,,,
700162,,700162,3300,1,,1,702053,50,,,,,,,,,,,,,
700164,,700164,8900,1,,1,702164,85,,,,,,,,,,,,,
700165,,700165,14600,1,,1,702165,145,,,,,,,,,,,,,
700175,,700175,100,1,1,,700174,1,1,700148,1,,,,,,,,,,
700176,,700176,140,1,,1,702176,8,,,,,,,,,,,,,
700177,,700177,220,1,,1,702177,20,,,,,,,,,,,,,
700178,,700178,600,1,,1,702178,30,,,,,,,,,,,,,
700179,,700179,3300,1,,1,702179,50,,,,,,,,,,,,,
700193,,700193,8900,1,,1,702193,85,,,,,,,,,,,,,
700180,,700180,14600,1,,1,702180,145,,,,,,,,,,,,,
700182,,700182,100,1,1,,700181,1,1,700157,1,,,,,,,,,,
700183,,700183,140,1,,1,702183,8,,,,,,,,,,,,,
700185,,700185,220,1,,1,702185,20,,,,,,,,,,,,,
700186,,700186,600,1,,1,702186,30,,,,,,,,,,,,,
700187,,700187,3300,1,,1,702187,50,,,,,,,,,,,,,
700188,,700188,8900,1,,1,702188,85,,,,,,,,,,,,,
700196,,700196,14600,1,,1,702196,145,,,,,,,,,,,,,
