Key,Remarks,id,name,consumeType,quality,icon,atlas,enchantExp,priority,stackNum,description,sellPrice,composeItemID,composeNeedNum,composeCostCoin,attrDesc
702135,,702135,战神虎烈甲碎片,5,17,Equipment/700135,Icon,6,38889,999999,用于合成战神虎烈甲,850,700135,95,16300,
702140,,702140,金乌肩碎片,5,4,Equipment/700140,Icon,2,39988,999999,用于合成金乌肩,200,700139,3,140,
702139,,702139,冥海带碎片,5,5,Equipment/700139,Icon,2,39588,999999,用于合成冥海带,250,700140,5,180,
702115,,702115,追星披碎片,5,6,Equipment/700115,Icon,2,39488,999999,用于合成追星披,300,700141,12,220,
702142,,702142,风雷护肩碎片,5,8,Equipment/700142,Icon,2,39388,999999,用于合成风雷护肩,400,700142,15,600,
702143,,702143,乾坤腰带碎片,5,9,Equipment/700143,Icon,2,39288,999999,用于合成乾坤腰带,450,700143,25,1950,
702144,,702144,修罗护肩碎片,5,11,Equipment/700144,Icon,3,39188,999999,用于合成修罗护肩,550,700144,35,5400,
702145,,702145,玄黄腰带碎片,5,13,Equipment/700145,Icon,6,39088,999999,用于合成玄黄腰带,650,700145,45,8900,
702146,,702146,上古护肩碎片,5,15,Equipment/700146,Icon,6,38988,999999,用于合成上古护肩,750,700146,70,12450,
702147,,702147,洪荒金龙缚碎片,5,17,Equipment/700147,Icon,6,38888,999999,用于合成洪荒金龙缚,850,700147,95,16300,
702149,,702149,护身符碎片,5,1,Equipment/700149,Icon,2,39987,999999,用于合成护身符,50,700149,5,100,
702150,,702150,五龙坠碎片,5,4,Equipment/700150,Icon,2,39687,999999,用于合成五龙坠,200,700150,8,140,
702153,,702153,琥珀项链碎片,5,6,Equipment/700153,Icon,2,39587,999999,用于合成琥珀项链,300,700151,20,220,
702173,,702173,瑶池之宝碎片,5,8,Equipment/700173,Icon,2,39487,999999,用于合成瑶池之宝,400,700153,30,600,
702054,,702054,山海异志录碎片,5,10,Equipment/700054,Icon,3,39287,999999,用于合成山海异志录,500,700154,50,3300,
702155,,702155,圣魔项链碎片,5,13,Equipment/700155,Icon,6,39087,999999,用于合成圣魔项链,650,700155,85,8900,
702156,,702156,八卦如意坠碎片,5,16,Equipment/700156,Icon,6,38987,999999,用于合成八卦如意坠,800,700156,145,14600,
702158,,702158,青冥玉碎片,5,1,Equipment/700158,Icon,2,39986,999999,用于合成青冥玉,50,700158,5,100,
702159,,702159,铁嘴玉碎片,5,4,Equipment/700159,Icon,2,39686,999999,用于合成铁嘴玉,200,700159,8,140,
702170,,702170,赤焰火罩碎片,5,6,Equipment/700170,Icon,2,39586,999999,用于合成赤焰火罩,300,700160,20,220,
702172,,702172,白玉金镯碎片,5,8,Equipment/700172,Icon,2,39486,999999,用于合成白玉金镯,400,700161,30,600,
702053,,702053,孙子兵法碎片,5,10,Equipment/700053,Icon,3,39286,999999,用于合成孙子兵法,500,700162,50,3300,
702164,,702164,清净琉璃碎片,5,13,Equipment/700164,Icon,6,39086,999999,用于合成清净琉璃,650,700164,85,8900,
702165,,702165,玲珑宝塔坠碎片,5,16,Equipment/700165,Icon,6,38986,999999,用于合成玲珑宝塔坠,800,700165,145,14600,
702176,,702176,仙草环碎片,5,4,Equipment/700176,Icon,2,39985,999999,用于合成仙草环,200,700176,8,140,
702177,,702177,兽骨戒指碎片,5,6,Equipment/700177,Icon,2,39585,999999,用于合成兽骨戒指,300,700177,20,220,
702178,,702178,白虎之戒碎片,5,8,Equipment/700178,Icon,2,39385,999999,用于合成白虎之戒,400,700178,30,600,
702179,,702179,天罡戒指碎片,5,10,Equipment/700179,Icon,3,39185,999999,用于合成天罡戒指,500,700179,50,3300,
702193,,702193,玄武之戒碎片,5,13,Equipment/700193,Icon,6,38985,999999,用于合成玄武之戒,650,700193,85,8900,
702180,,702180,混元一气戒碎片,5,16,Equipment/700180,Icon,6,38885,999999,用于合成混元一气戒,800,700180,145,14600,
702183,,702183,青鸾戒碎片,5,4,Equipment/700183,Icon,2,39984,999999,用于合成青鸾戒,200,700183,8,140,
702185,,702185,朱雀之戒碎片,5,6,Equipment/700185,Icon,2,39584,999999,用于合成朱雀之戒,300,700185,20,220,
702186,,702186,地煞戒指碎片,5,8,Equipment/700186,Icon,2,39384,999999,用于合成地煞戒指,400,700186,30,600,
702187,,702187,翡翠戒指碎片,5,10,Equipment/700187,Icon,3,39184,999999,用于合成翡翠戒指,500,700187,50,3300,
702188,,702188,青龙之戒碎片,5,13,Equipment/700188,Icon,6,38984,999999,用于合成青龙之戒,650,700188,85,8900,
702196,,702196,天地须弥戒碎片,5,16,Equipment/700196,Icon,6,38884,999999,用于合成天地须弥戒,800,700196,145,14600,
702195,,702195,琥珀戒指碎片,5,1,Equipment/700195,Icon,1,30001,999999,目前版本已不投放道具,1,700195,999,999999,
702194,,702194,冰鳞戒指碎片,5,1,Equipment/700194,Icon,1,30002,999999,目前版本已不投放道具,1,700194,999,999999,
702192,,702192,凤翔戒碎片,5,1,Equipment/700192,Icon,1,30004,999999,目前版本已不投放道具,1,700192,999,999999,
702191,,702191,虎啸戒碎片,5,1,Equipment/700191,Icon,1,30005,999999,目前版本已不投放道具,1,700191,999,999999,
702184,,702184,龙吟戒碎片,5,1,Equipment/700184,Icon,1,30006,999999,目前版本已不投放道具,1,700184,999,999999,
702169,,702169,隐身符碎片,5,1,Equipment/700169,Icon,1,30007,999999,目前版本已不投放道具,1,700169,999,999999,
702090,,702090,阴阳轮回幡碎片,5,1,Equipment/700090,Icon,1,30008,999999,目前版本已不投放道具,1,700090,999,999999,
702060,,702060,金瓜霹雳锤碎片,5,1,Equipment/700060,Icon,1,30009,999999,目前版本已不投放道具,1,700060,999,999999,
702059,,702059,灭地银锤碎片,5,1,Equipment/700059,Icon,1,30010,999999,目前版本已不投放道具,1,700059,999,999999,
703057,,703057,青龙宝锤卷轴,6,1,Scroll/703057,Icon,1,30011,999999,目前版本已不投放道具,1,700057,999,999999,
703055,,703055,混元钢锤卷轴,6,1,Scroll/703055,Icon,1,30012,999999,目前版本已不投放道具,1,700055,999,999999,
703051,,703051,四大名著卷轴,6,1,Scroll/703051,Icon,1,30013,999999,目前版本已不投放道具,1,700051,999,999999,
703050,,703050,诸子百家卷轴,6,1,Scroll/703050,Icon,1,30014,999999,目前版本已不投放道具,1,700050,999,999999,
703042,,703042,飞烟杖卷轴,6,1,Scroll/703042,Icon,1,30015,999999,目前版本已不投放道具,1,700042,999,999999,
703028,,703028,崆峒印卷轴,6,1,Scroll/703028,Icon,1,30016,999999,目前版本已不投放道具,1,700028,999,999999,
703018,,703018,三板斧卷轴,6,1,Scroll/703018,Icon,1,30017,999999,目前版本已不投放道具,1,700018,999,999999,
703016,,703016,宣花斧卷轴,6,1,Scroll/703016,Icon,1,30018,999999,目前版本已不投放道具,1,700016,999,999999,
707057,,707057,青龙宝锤卷轴碎片,5,1,Scroll/703057,Icon,1,30019,999999,目前版本已不投放道具,1,703057,999,999999,
707055,,707055,混元钢锤卷轴碎片,5,1,Scroll/703055,Icon,1,30020,999999,目前版本已不投放道具,1,703055,999,999999,
707051,,707051,四大名著卷轴碎片,5,1,Scroll/703051,Icon,1,30021,999999,目前版本已不投放道具,1,703051,999,999999,
707050,,707050,诸子百家卷轴碎片,5,1,Scroll/703050,Icon,1,30022,999999,目前版本已不投放道具,1,703050,999,999999,
707042,,707042,飞烟杖卷轴碎片,5,1,Scroll/703042,Icon,1,30023,999999,目前版本已不投放道具,1,703042,999,999999,
707028,,707028,崆峒印卷轴碎片,5,1,Scroll/703028,Icon,1,30024,999999,目前版本已不投放道具,1,703028,999,999999,
707018,,707018,三板斧卷轴碎片,5,1,Scroll/703018,Icon,1,30025,999999,目前版本已不投放道具,1,703018,999,999999,
707016,,707016,宣花斧卷轴碎片,5,1,Scroll/703016,Icon,1,30026,999999,目前版本已不投放道具,1,703016,999,999999,
703005,,703005,昆吾刀卷轴,6,1,Scroll/703005,Icon,1,30027,999999,目前版本已不投放道具,1,700005,999,999999,
703007,,703007,大夏龙雀卷轴,6,1,Scroll/703007,Icon,1,30028,999999,目前版本已不投放道具,1,700007,999,999999,
703008,,703008,干将莫邪卷轴,6,1,Scroll/703008,Icon,1,30029,999999,目前版本已不投放道具,1,700008,999,999999,
703009,,703009,苗刀之祖卷轴,6,1,Scroll/703009,Icon,1,30030,999999,目前版本已不投放道具,1,700009,999,999999,
703017,,703017,火龙枪卷轴,6,1,Scroll/703017,Icon,1,30031,999999,目前版本已不投放道具,1,700017,999,999999,
703019,,703019,蟠龙金枪卷轴,6,1,Scroll/703019,Icon,1,30032,999999,目前版本已不投放道具,1,700019,999,999999,
703020,,703020,干戚神斧卷轴,6,1,Scroll/703020,Icon,1,30033,999999,目前版本已不投放道具,1,700020,999,999999,
703021,,703021,沥泉神矛卷轴,6,1,Scroll/703021,Icon,1,30034,999999,目前版本已不投放道具,1,700021,999,999999,
703029,,703029,神臂弓卷轴,6,1,Scroll/703029,Icon,1,30035,999999,目前版本已不投放道具,1,700029,999,999999,
703030,,703030,混元斗卷轴,6,1,Scroll/703030,Icon,1,30036,999999,目前版本已不投放道具,1,700031,999,999999,
703032,,703032,诛仙剑图卷轴,6,1,Scroll/703032,Icon,1,30037,999999,目前版本已不投放道具,1,700032,999,999999,
703033,,703033,养由基弓卷轴,6,1,Scroll/703033,Icon,1,30038,999999,目前版本已不投放道具,1,700033,999,999999,
703040,,703040,达摩杖卷轴,6,1,Scroll/703040,Icon,1,30039,999999,目前版本已不投放道具,1,700041,999,999999,
703043,,703043,混元法杖卷轴,6,1,Scroll/703043,Icon,1,30040,999999,目前版本已不投放道具,1,700043,999,999999,
703044,,703044,上古魔杖卷轴,6,1,Scroll/703044,Icon,1,30041,999999,目前版本已不投放道具,1,700044,999,999999,
703045,,703045,莲台法杖卷轴,6,1,Scroll/703045,Icon,1,30042,999999,目前版本已不投放道具,1,700045,999,999999,
703104,,703104,龙鳞盔卷轴,6,1,Scroll/703104,Icon,1,30043,999999,目前版本已不投放道具,1,700104,999,999999,
703105,,703105,狂战盔卷轴,6,1,Scroll/703105,Icon,1,30044,999999,目前版本已不投放道具,1,700105,999,999999,
703127,,703127,白虎铠卷轴,6,1,Scroll/703127,Icon,1,30045,999999,目前版本已不投放道具,1,700106,999,999999,
703107,,703107,星辰头盔卷轴,6,1,Scroll/703107,Icon,1,30046,999999,目前版本已不投放道具,1,700107,999,999999,
703108,,703108,贪狼头盔卷轴,6,1,Scroll/703108,Icon,1,30047,999999,目前版本已不投放道具,1,700108,999,999999,
703116,,703116,八荒袍卷轴,6,1,Scroll/703116,Icon,1,30048,999999,目前版本已不投放道具,1,700116,999,999999,
703117,,703117,金乌袍卷轴,6,1,Scroll/703117,Icon,1,30049,999999,目前版本已不投放道具,1,700117,999,999999,
703118,,703118,出尘披风卷轴,6,1,Scroll/703118,Icon,1,30050,999999,目前版本已不投放道具,1,700118,999,999999,
703119,,703119,化羽披风卷轴,6,1,Scroll/703119,Icon,1,30051,999999,目前版本已不投放道具,1,700119,999,999999,
703120,,703120,神风披风卷轴,6,1,Scroll/703120,Icon,1,30052,999999,目前版本已不投放道具,1,700120,999,999999,
703128,,703128,朱雀铠卷轴,6,1,Scroll/703128,Icon,1,30053,999999,目前版本已不投放道具,1,700128,999,999999,
703129,,703129,青龙铠卷轴,6,1,Scroll/703129,Icon,1,30054,999999,目前版本已不投放道具,1,700129,999,999999,
703130,,703130,银鳞胸甲卷轴,6,1,Scroll/703130,Icon,1,30055,999999,目前版本已不投放道具,1,700130,999,999999,
703131,,703131,炎蟒胸甲卷轴,6,1,Scroll/703131,Icon,1,30056,999999,目前版本已不投放道具,1,700131,999,999999,
703132,,703132,斩影胸甲卷轴,6,1,Scroll/703132,Icon,1,30057,999999,目前版本已不投放道具,1,700132,999,999999,
703139,,703139,冥海带卷轴,6,1,Scroll/703139,Icon,1,30058,999999,目前版本已不投放道具,1,700140,999,999999,
703115,,703115,追星披卷轴,6,1,Scroll/703115,Icon,1,30059,999999,目前版本已不投放道具,1,700141,999,999999,
703142,,703142,风雷护肩卷轴,6,1,Scroll/703142,Icon,1,30060,999999,目前版本已不投放道具,1,700142,999,999999,
703143,,703143,乾坤腰带卷轴,6,1,Scroll/703143,Icon,1,30061,999999,目前版本已不投放道具,1,700143,999,999999,
703144,,703144,修罗护肩卷轴,6,1,Scroll/703144,Icon,1,30062,999999,目前版本已不投放道具,1,700144,999,999999,
703092,,703092,逐日靴卷轴,6,1,Scroll/703092,Icon,1,30063,999999,目前版本已不投放道具,1,700092,999,999999,
703093,,703093,炽焰神靴卷轴,6,1,Scroll/703093,Icon,1,30064,999999,目前版本已不投放道具,1,700093,999,999999,
703094,,703094,御风神靴卷轴,6,1,Scroll/703094,Icon,1,30065,999999,目前版本已不投放道具,1,700094,999,999999,
703096,,703096,步云履卷轴,6,1,Scroll/703096,Icon,1,30066,999999,目前版本已不投放道具,1,700096,999,999999,
703097,,703097,乌光神靴卷轴,6,1,Scroll/703097,Icon,1,30067,999999,目前版本已不投放道具,1,700097,999,999999,
703098,,703098,紫光神靴卷轴,6,1,Scroll/703098,Icon,1,30068,999999,目前版本已不投放道具,1,700098,999,999999,
707005,,707005,昆吾刀卷轴碎片,5,1,Scroll/703005,Icon,1,30069,999999,目前版本已不投放道具,1,700098,999,999999,
707007,,707007,大夏龙雀卷轴碎片,5,1,Scroll/703007,Icon,1,30070,999999,目前版本已不投放道具,1,700098,999,999999,
707008,,707008,干将莫邪卷轴碎片,5,1,Scroll/703008,Icon,1,30071,999999,目前版本已不投放道具,1,700098,999,999999,
707009,,707009,苗刀之祖卷轴碎片,5,1,Scroll/703009,Icon,1,30072,999999,目前版本已不投放道具,1,700098,999,999999,
707017,,707017,火龙枪卷轴碎片,5,1,Scroll/703017,Icon,1,30073,999999,目前版本已不投放道具,1,700098,999,999999,
707019,,707019,蟠龙金枪卷轴碎片,5,1,Scroll/703019,Icon,1,30074,999999,目前版本已不投放道具,1,700098,999,999999,
707020,,707020,干戚神斧卷轴碎片,5,1,Scroll/703020,Icon,1,30075,999999,目前版本已不投放道具,1,700098,999,999999,
707021,,707021,沥泉神矛卷轴碎片,5,1,Scroll/703021,Icon,1,30076,999999,目前版本已不投放道具,1,700098,999,999999,
707029,,707029,神臂弓卷轴碎片,5,1,Scroll/703029,Icon,1,30077,999999,目前版本已不投放道具,1,700098,999,999999,
707030,,707030,混元斗卷轴碎片,5,1,Scroll/703030,Icon,1,30078,999999,目前版本已不投放道具,1,700098,999,999999,
707032,,707032,诛仙剑图卷轴碎片,5,1,Scroll/703032,Icon,1,30079,999999,目前版本已不投放道具,1,700098,999,999999,
707033,,707033,养由基弓卷轴碎片,5,1,Scroll/703033,Icon,1,30080,999999,目前版本已不投放道具,1,700098,999,999999,
707040,,707040,达摩杖卷轴碎片,5,1,Scroll/703040,Icon,1,30081,999999,目前版本已不投放道具,1,700098,999,999999,
707043,,707043,混元法杖卷轴碎片,5,1,Scroll/703043,Icon,1,30082,999999,目前版本已不投放道具,1,700098,999,999999,
707044,,707044,上古魔杖卷轴碎片,5,1,Scroll/703044,Icon,1,30083,999999,目前版本已不投放道具,1,700098,999,999999,
707045,,707045,莲台法杖卷轴碎片,5,1,Scroll/703045,Icon,1,30084,999999,目前版本已不投放道具,1,700098,999,999999,
707104,,707104,龙鳞盔卷轴碎片,5,1,Scroll/703104,Icon,1,30085,999999,目前版本已不投放道具,1,700098,999,999999,
707105,,707105,狂战盔卷轴碎片,5,1,Scroll/703105,Icon,1,30086,999999,目前版本已不投放道具,1,700098,999,999999,
707127,,707127,白虎铠卷轴碎片,5,1,Scroll/703127,Icon,1,30087,999999,目前版本已不投放道具,1,700098,999,999999,
707107,,707107,星辰头盔卷轴碎片,5,1,Scroll/703107,Icon,1,30088,999999,目前版本已不投放道具,1,700098,999,999999,
707108,,707108,贪狼头盔卷轴碎片,5,1,Scroll/703108,Icon,1,30089,999999,目前版本已不投放道具,1,700098,999,999999,
707116,,707116,八荒袍卷轴碎片,5,1,Scroll/703116,Icon,1,30090,999999,目前版本已不投放道具,1,700098,999,999999,
707117,,707117,金乌袍卷轴碎片,5,1,Scroll/703117,Icon,1,30091,999999,目前版本已不投放道具,1,700098,999,999999,
707118,,707118,出尘披风卷轴碎片,5,1,Scroll/703118,Icon,1,30092,999999,目前版本已不投放道具,1,700098,999,999999,
707119,,707119,化羽披风卷轴碎片,5,1,Scroll/703119,Icon,1,30093,999999,目前版本已不投放道具,1,700098,999,999999,
707120,,707120,神风披风卷轴碎片,5,1,Scroll/703120,Icon,1,30094,999999,目前版本已不投放道具,1,700098,999,999999,
707128,,707128,朱雀铠卷轴碎片,5,1,Scroll/703128,Icon,1,30095,999999,目前版本已不投放道具,1,700098,999,999999,
707129,,707129,青龙铠卷轴碎片,5,1,Scroll/703129,Icon,1,30096,999999,目前版本已不投放道具,1,700098,999,999999,
