Key,Remarks,modelId,combineUse,useEffectClass,directResult,dropResult
806359,,806359,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35198;35199
806360,,806360,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35186;35187
806361,,806361,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35188;35189
806362,,806362,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35194;35195
806363,,806363,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35190;35191
806364,,806364,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35192;35193
806365,,806365,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35200;35201
806366,,806366,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35202;35203
806370,,806370,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,42010;42014
806371,,806371,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,42011;42014
806372,,806372,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,42012;42016;42015
806373,,806373,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,42013;42015
806120,,806120,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39001;39002;39003;39004;39005;39006;39007
806121,,806121,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39008;39009;39010;39011;39012;39013;39014
806122,,806122,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39015;39016;39017;39018;39019;39020;39021
806123,,806123,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39022;39023;39024;39025;39026;39027;39028
806124,,806124,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39029;39030;39031;39032;39033;39034;39035
806125,,806125,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39036;39037;39038;39039;39040;39041;39042
806126,,806126,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39043;39044;39045;39046;39047;39048;39049
806127,,806127,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39050;39051;39052;39053;39054;39055;39056
806128,,806128,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39057;39058;39059;39060;39061;39062;39063
806129,,806129,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39064;39065;39066;39067;39068;39069
806130,,806130,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39070
806131,,806131,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39071
806132,,806132,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39072
806133,,806133,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39073
806134,,806134,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39074
806135,,806135,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39075
806142,,806142,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39076;39077
806143,,806143,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39078;39079
806144,,806144,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,39080;39081
806145,,806145,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35091;35092;35093;35094
806146,,806146,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35095;35096;35097;35098
806147,,806147,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35099;35100;35101
806148,,806148,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35102;35103;35104;35105
806149,,806149,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35106;35107;35108;35109
806150,,806150,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35110;35111;35112;35113;35114
806151,,806151,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35115;35116;35117;35118
806152,,806152,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35119;35120;35121;35122;35123
806153,,806153,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35124;35125;35126
806154,,806154,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35127;35128;35129;35130
806155,,806155,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35131;35132;35133;35134;35135
806156,,806156,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35136;35137;35138
806157,,806157,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35139;35140;35141;35142
806158,,806158,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35143;35144;35145;35146;35147
806159,,806159,,com.rw.service.item.useeffect.impl.UseTreasureBoxEffectImpl,,35148;35149;35150;35151
