Key,Remarks,id,name,consumeType,enchantExp,quality,property,smeltperc,trainItemId,stackNum,icon,atlas,description,skillId,skillId_passive,Skill_UnLock,upMagic,uplevel,goods,upMagicCost,upMagicMoneyType,itemspit,sellPrice,energyReceive,attackType,struckEnergy,initialEnergy,magicType,composeItemID,composeNeedNum,composeCostCoin,inlayLimit,hideAttr,decomposeGoods,coefficient,conversionGoods
602012,,602012,寒冰阵,2,,8,3,7000,"801001,801002,801003,801004",1,Skill/602012,Icon,冰清玉洁，使己方所有单位回复能量,,,,602002,30,"804001_40,804002_8",2000,1,该阵法不是一天功行就能练成，名为寒冰，实为刀山。内藏玄妙，中有风雷，上有冰山如狼牙，下游冰块如刀剑。,8700,16,,78,250,2,,,,1_10_40_70,110_305,801001_10,0.8,801001
602001,,602001,诛仙剑,2,,13,9,5000,"801001,801002,801003,801004",1,Skill/602001,Icon,召唤多把光剑切割敌阵，攻击敌方全体,,,,0,0,,,,元素之剑,19500,16,1,80,250,2,,,,1_10_40_70,130_30,801001_10,0.8,801001
602002,,602002,太极图,2,,13,3,5000,"801001,801002,801003,801004",1,Skill/602002,Icon,所有己方角色消失，召唤出武神自动攻击，持续6秒，武神攻击附加冰冻效果,,,,0,0,,,,太极图,19500,16,1,76,250,2,,,,1_10_40_70,110_300,801001_10,0.8,801001
602017,,602017,青莲宝色旗,2,,8,5,1200,"801001,801002,801003,801004",1,Skill/602017,Icon,召唤风雪女神协助战斗,,,,602027,30,"804001_40,804002_8",1000,1,四方旗之一，接引道人法宝。祭起时，白气悬空，金光万道，呈莲花之像，异香奇彩。,8700,16,,77,250,2,,,,1_10_40_70,110_307,801001_10,0.8,801001
602027,,602027,乾坤镜,2,,13,2,,"801001,801002,801003,801004",1,Skill/602027,Icon,所有己方单位持续回复生命,,,,0,0,,,,乾坤镜,19500,16,1,79,250,2,,,,1_10_40_70,110_307,801001_10,0.8,801001
603999,,603999,剧情诛仙剑,2,,13,9,5000,"801001,801002,801003,801004",1,Skill/602001,Icon,召唤多把光剑切割敌阵，攻击敌方全体,10200100,,,0,0,,,,剧情诛仙剑,19500,10,1,95,,2,,,,1_10_40_70,110_307,801001_10,0.8,801001
604005,,604005,青云剑（碎片）,2,,1,6,,,999999,Skill/602005,Icon,召唤青云剑群攻击敌方后排，攻击附加眩晕效果,,,,0,0,,,,魔礼青之物，剑上有印符，挥舞此剑如风雷滚动，威势非凡,270,,1,,,1,602005,5,11250,,,801001_1,,
604008,,604008,乾坤尺（碎片）,2,,1,8,,,999999,Skill/602313,Icon,召唤火系武神协助战斗,,,,0,0,,,,燃灯道人宝物，内含乾坤一气，以世界阴阳乾坤合一形成，代表世界阴阳，和定海神珠相生相依,270,,,,,1,602008,5,11250,,,801001_1,,
604015,,604015,莫邪剑（碎片）,2,,4,1,,,999999,Skill/602015,Icon,召唤巨型光剑划破敌阵，攻击所有敌人,,,,0,0,,,,此剑有雌雄即阴阳双剑，皆以锻造者的名字命名。阳剑干将赠与了王，阴剑莫邪留给了锻造者的儿子,690,,1,,,1,602015,10,28750,,,801001_1,,
604006,,604006,无极盾（碎片）,2,,4,2,,,999999,Skill/602006,Icon,横向划屏攻击，所有敌人受到3次伤害,,,,0,0,,,,无极盾（碎片）,690,,,,,1,602006,10,28750,,,801001_1,,
604009,,604009,轮回镜（碎片）,2,,4,9,,,999999,Skill/602009,Icon,召唤暗系武神协助战斗,,,,0,0,,,,轮回，是生与死的不断循环。只有无生，才能涅槃。轮回镜可以看清六道轮回之苦，超越轮回。,690,,1,,,1,602009,10,28750,,,801001_1,,
604014,,604014,降魔杵（碎片）,2,,4,1,,,999999,Skill/602014,Icon,横向划屏攻击，所有敌人受到3次伤害,,,,0,0,,,,降魔杵（碎片）,690,,,,,1,602014,10,28750,,,801001_1,,
604007,,604007,素色云界旗（碎片）,2,,4,3,,,999999,Skill/602007,Icon,氤氲遍地，异香笼罩。使己方所有单位持续回复生命,,,,0,0,,,,四方旗之一，瑶池西王母瑶池之宝。瓷器展开氤氲遍地，一派异香笼罩。龙吉公主，曾用该法宝助姜子牙破殷郊的番天印,690,,1,,,1,602007,10,28750,,,801001_1,,
604011,,604011,红砂阵（碎片）,2,,4,5,,,999999,Skill/602011,Icon,提升所有己方单位的物理防御,,,,0,0,,,,红砂阵（碎片）,690,,,,,1,602011,10,28750,,,801001_1,,
604013,,604013,阴阳镜（碎片）,2,,4,9,,,999999,Skill/602013,Icon,提升所有己方单位的法术防御,,,,0,0,,,,阴阳镜（碎片）,690,,1,,,1,602013,10,28750,,,801001_1,,
604010,,604010,天花妙坠旗（碎片）,2,,8,2,,,999999,Skill/602010,Icon,朦胧乾坤，颠倒五行。降低所有敌方单位的生命回复效果,,,,0,0,,,,天花妙坠旗（碎片）,1740,,1,,,1,602010,20,72500,,,801001_1,,
604012,,604012,寒冰阵（碎片）,2,,8,3,,,999999,Skill/602012,Icon,极寒之冰，冻结万物。降低所有敌方攻击速度,,,,0,0,,,,该阵法不是一天功行就能练成，名为寒冰，实为刀山。内藏玄妙，中有风雷，上有冰山如狼牙，下游冰块如刀剑。,1740,,,,,1,602012,20,72500,,,801001_1,,
604001,,604001,诛仙剑（碎片）,2,,13,9,,,999999,Skill/602001,Icon,召唤多把光剑切割敌阵，攻击敌方全体,,,,0,0,,,,元素之剑,3900,,1,,,1,602001,40,162500,,,801001_1,,
604002,,604002,太极图（碎片）,2,,13,3,,,999999,Skill/602002,Icon,所有己方角色消失，召唤出武神自动攻击，持续6秒，武神攻击附加冰冻效果,,,,0,0,,,,太极图（碎片）,3900,,1,,,1,602002,40,162500,,,801001_1,,
604017,,604017,青莲宝色旗（碎片）,2,,8,5,,,999999,Skill/602017,Icon,召唤土系武神协助战斗,,,,0,0,,,,四方旗之一，接引道人法宝。祭起时，白气悬空，金光万道，呈莲花之像，异香奇彩。,1740,,1,,,1,602017,20,72500,,,801001_1,,
604027,,604027,乾坤镜（碎片）,2,,13,2,,,999999,Skill/602027,Icon,所有己方单位持续回复生命,,,,0,0,,,,乾坤镜（碎片）,3900,,1,,,1,602027,40,162500,,,801001_1,,
604999,,604999,剧情诛仙剑（碎片）,2,,13,9,,,999999,Skill/602001,Icon,召唤多把光剑切割敌阵，攻击敌方全体,,,,0,0,,,,剧情诛仙剑（碎片）,3900,,1,,,1,603999,40,162500,,,801001_1,,
602101,,602101,青云剑,2,,1,6,,"801001,801002,801003,801004",1,Skill/602101,Icon,召唤青云剑群攻击敌方全体,10300101,60210101,"60210202_35_B,60210403_70_S",606002,30,806005_60,600000,1,魔礼青之物，剑上有印符，挥舞此剑如风雷滚动，威势非凡,10000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602102,,602102,莫邪剑,2,,4,6,,"801001,801002,801003,801004",1,Skill/602102,Icon,召唤巨型光剑切割敌阵，攻击敌方全体,10300201,"60210201,60210202",60210403_70_S,606003,35,806005_70,700000,1,此剑有雌雄即阴阳双剑，皆以锻造者的名字命名。阳剑干将赠与了王，阴剑莫邪留给了锻造者的儿子,24000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602103,,602103,飞焰剑,2,,8,6,,"801001,801002,801003,801004",1,Skill/602103,Icon,召唤飞焰剑从天而降，燃烧敌方全体,10300301,"60210301,60210302",60210403_70_S,606007,55,806006_110,1100000,1,元素之剑,90000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602104,,602104,诛仙剑,2,,13,6,,"801001,801002,801003,801004",1,Skill/602104,Icon,召唤血色剑光划破敌阵，攻击敌方全体,10300401,"60210401,60210402,60210403",,606011,75,806007_150,1500000,1,元素之剑,300000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602201,,602201,赤焰幡,2,,1,6,,"801001,801002,801003,801004",1,Skill/602201,Icon,召唤赤焰幡从天而降，燃烧敌方全体,10310101,60220101,"60220202_35_B,60220403_70_S",603102,30,806005_60,600000,1,降魔神器，可化辟邪真火，降妖伏魔，令群魔闻风丧胆，鬼哭狼嚎。,10000,16,1,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602202,,602202,追魂幡,2,,4,6,,"801001,801002,801003,801004",1,Skill/602202,Icon,召唤追魂幡攻击敌方全体,10310201,"60220201,60220202",60220403_70_S,606103,35,806005_70,700000,1,上古妖幡，可吸取万千银魂气息，妖气盖天，阴气十足,24000,16,1,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602203,,602203,坠星幡,2,,8,6,,"801001,801002,801003,801004",1,Skill/602203,Icon,范围攻击，攻击敌方全体,10310301,"60220301,60220302",60220403_70_S,606107,55,806006_110,1100000,1,元素之幡,90000,16,1,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602204,,602204,盘古幡,2,,13,6,,"801001,801002,801003,801004",1,Skill/602204,Icon,范围攻击，攻击敌方全体,10310401,"60220401,60220402,60220403",,606111,75,806007_150,1500000,1,元素之幡,300000,16,1,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602105,,602105,青莲宝色旗,2,,1,6,,"801001,801002,801003,801004",1,Skill/602105,Icon,召唤法阵，使我方全体免疫伤害,10300501,60210501,60210602_35_B,606202,30,806005_60,600000,1,四方旗之一，接引道人法宝。祭起时，白气悬空，金光万道，呈莲花之像，异香奇彩。,10000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602106,,602106,素色云界旗,2,,4,6,,"801001,801002,801003,801004",1,Skill/602106,Icon,召唤法阵，使我方全体免疫伤害,10300601,"60210601,60210602",,606203,35,806005_70,700000,1,四方旗之一，瑶池西王母瑶池之宝。瓷器展开氤氲遍地，一派异香笼罩。龙吉公主，曾用该法宝助姜子牙破殷郊的番天印,24000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602107,,602107,离地焰光旗,2,,8,6,,"801001,801002,801003,801004",1,Skill/602107,Icon,召唤法阵，使我方全体免疫伤害，并治疗生命,10300701,"60210701,60210702",,606207,55,806006_110,1100000,1,四方旗之一,90000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602108,,602108,戊己杏黄旗,2,,13,6,,"801001,801002,801003,801004",1,Skill/602108,Icon,召唤法阵，使我方全体免疫伤害，并治疗生命,10300801,"60210801,60210802",,606211,75,806007_150,1500000,1,四方旗之一,300000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602205,,602205,天绝阵,2,,1,6,,"801001,801002,801003,801004",1,Skill/602205,Icon,召唤法阵，使我方全体免疫伤害,10310501,60220501,60220602_35_B,606302,30,806005_60,600000,1,截教金鳌岛秦天君秦完主持的阵法，是十绝阵头阵。秦完用次阵杀玉虚宫邓华，后被文殊广法天尊破阵。,10000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602206,,602206,寒冰阵,2,,4,6,,"801001,801002,801003,801004",1,Skill/602206,Icon,召唤法阵，使我方全体免疫伤害,10310601,"60220601,60220602",,606303,35,806005_70,700000,1,该阵法不是一天功行就能练成，名为寒冰，实为刀山。内藏玄妙，中有风雷，上有冰山如狼牙，下游冰块如刀剑。,24000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602207,,602207,化血阵,2,,8,6,,"801001,801002,801003,801004",1,Skill/602207,Icon,召唤法阵，使我方全体免疫伤害，并治疗生命,10310701,"60220701,60220702",,606307,55,806006_110,1100000,1,元素之阵,90000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602208,,602208,落魂阵,2,,13,6,,"801001,801002,801003,801004",1,Skill/602208,Icon,召唤法阵，使我方全体免疫伤害，并治疗生命,10310801,"60220801,60220802",,606311,75,806007_150,1500000,1,元素之阵,300000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602309,,602309,轮回镜,2,,1,6,,"801001,801002,801003,801004",1,Skill/602309,Icon,全队合体，召唤男武神协助战斗,10202501,60230901,"60231002_35_B,60231203_70_S",606402,30,806005_60,600000,1,轮回，是生与死的不断循环。只有无生，才能涅槃。轮回镜可以看清六道轮回之苦，超越轮回。,10000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602310,,602310,七星镜,2,,4,6,,"801001,801002,801003,801004",1,Skill/602310,Icon,全队合体，召唤男武神协助战斗,10202601,"60231001,60231002",60231203_70_S,606403,35,806005_70,700000,1,印有七星符印，，必须在汇聚七星之力之地才能锻造，拥有奇特的北斗星辰之力。,24000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602311,,602311,万佛镜,2,,8,6,,"801001,801002,801003,801004",1,Skill/602311,Icon,全队合体，召唤男武神协助战斗,10202701,"60231101,60231102",60231203_70_S,606407,55,806006_110,1100000,1,元素之镜,90000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602312,,602312,镇天镜,2,,13,6,,"801001,801002,801003,801004",1,Skill/602312,Icon,全队合体，召唤男武神协助战斗,10202801,"60231201,60231202,60231203",,606411,75,806007_150,1500000,1,元素之镜,300000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602313,,602313,乾坤尺,2,,1,6,,"801001,801002,801003,801004",1,Skill/602313,Icon,全队合体，召唤女武神协助战斗,10200201,60231301,"60231402_35_B,60231603_70_S",606502,30,806005_60,600000,1,燃灯道人宝物，内含乾坤一气，以世界阴阳乾坤合一形成，代表世界阴阳，和定海神珠相生相依,10000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602314,,602314,噬天尺,2,,4,6,,"801001,801002,801003,801004",1,Skill/602314,Icon,全队合体，召唤女武神协助战斗,10202201,"60231401,60231402",60231603_70_S,606503,35,806005_70,700000,1,集天地之灵气锻造而成，法力可通天，使用此宝物可以呼风唤雨，偷天换日。,24000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602315,,602315,降妖尺,2,,8,6,,"801001,801002,801003,801004",1,Skill/602315,Icon,全队合体，召唤女武神协助战斗,10202301,"60231501,60231502",60231603_70_S,606507,55,806006_110,1100000,1,元素之尺,90000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602316,,602316,灵幻尺,2,,13,6,,"801001,801002,801003,801004",1,Skill/602316,Icon,全队合体，召唤女武神协助战斗,10202401,"60231601,60231602,60231603",,606511,75,806007_150,1500000,1,元素之尺,300000,16,,80,300,2,,,,1_10_40_70,130_32,801001_10,0.8,801001
602003,,602003,雷光锤,2,,4,7,,"801001,801002,801003,801004",1,Skill/602003,Icon,召唤巨型雷光锤，攻击敌方全体,10200301,"60240101,60240102",,0,,,,1,震撼的闪电雷霆，狂暴的雷霆之力，周遭空间震的四分五裂，砸中之人断无生还可能,10000,16,,80,250,2,,,,1_10_40_70,130_31,806006_20,0.8,801001
602004,,602004,神火轮,2,,1,4,,"801001,801002,801003,801004",1,Skill/602004,Icon,召唤神火轮，持续攻击敌方全体,10200401,60240201,,0,,,,1,星辰神兵，神火为轮。熊熊炙热的轮回之火，可以燃尽世间万物。,24000,16,,80,250,2,,,,1_10_40_70,110_301,806005_150,0.8,801001
602016,,602016,战神枪,2,,8,1,,"801001,801002,801003,801004",1,Skill/602016,Icon,召唤金色战神，攻击敌方全体，并造成晕眩,10201601,"60240301,60240302",,0,,,,1,枪尖犹如金莲，莲瓣结合，形成锋利无匹的枪尖，金光留意，犹如能够撕裂虚空,90000,16,,76,250,2,,,,1_10_40_70,110_307,806007_300,0.8,801001
605001,,605001,青云剑（碎片）,2,,1,6,,,999999,Skill/602101,Icon,召唤青云剑群攻击敌方全体,,,60210101_1_C,0,,,,,魔礼青之物，剑上有印符，挥舞此剑如风雷滚动，威势非凡,270,,1,,,1,602101,20,11250,,,801001_1,,
605002,,605002,莫邪剑（碎片）,2,,4,6,,,999999,Skill/602102,Icon,召唤巨型光剑切割敌阵，攻击敌方全体,,,"60210201_1_B,60210202_1_B",0,,,,,此剑有雌雄即阴阳双剑，皆以锻造者的名字命名。阳剑干将赠与了王，阴剑莫邪留给了锻造者的儿子,270,,1,,,1,602102,20,11250,,,801001_1,,
605003,,605003,飞焰剑（碎片）,2,,8,6,,,999999,Skill/602103,Icon,召唤飞焰剑从天而降，燃烧敌方全体,,,"60210301_1_A,60210302_1_A",0,,,,,元素之剑,270,,1,,,1,602103,20,11250,,,801001_1,,
605004,,605004,诛仙剑（碎片）,2,,13,6,,,999999,Skill/602104,Icon,召唤血色剑光划破敌阵，攻击敌方全体,,,"60210401_1_S,60210402_1_S,60210403_1_S",0,,,,,元素之剑,270,,1,,,1,602104,20,11250,,,801001_1,,
605101,,605101,赤焰幡（碎片）,2,,1,6,,,999999,Skill/602201,Icon,召唤赤焰幡从天而降，燃烧敌方全体,,,60220101_1_C,0,,,,,降魔神器，可化辟邪真火，降妖伏魔，令群魔闻风丧胆，鬼哭狼嚎。,270,,1,,,1,602201,20,11250,,,801001_1,,
605102,,605102,追魂幡（碎片）,2,,4,6,,,999999,Skill/602202,Icon,召唤追魂幡攻击敌方全体,,,"60220201_1_B,60220202_1_B",0,,,,,上古妖幡，可吸取万千银魂气息，妖气盖天，阴气十足,270,,1,,,1,602202,20,11250,,,801001_1,,
605103,,605103,坠星幡（碎片）,2,,8,6,,,999999,Skill/602203,Icon,范围攻击，攻击敌方全体,,,"60220301_1_A,60220302_1_A",0,,,,,元素之幡,270,,1,,,1,602203,20,11250,,,801001_1,,
605104,,605104,盘古幡（碎片）,2,,13,6,,,999999,Skill/602204,Icon,范围攻击，攻击敌方全体,,,"60220401_1_S,60220402_1_S,60220403_1_S",0,,,,,元素之幡,270,,1,,,1,602204,20,11250,,,801001_1,,
605005,,605005,青莲宝色旗（碎片）,2,,1,6,,,999999,Skill/602105,Icon,召唤法阵，使我方全体免疫伤害,,,60210501_1_C,0,,,,,四方旗之一，接引道人法宝。祭起时，白气悬空，金光万道，呈莲花之像，异香奇彩。,270,,1,,,1,602105,20,11250,,,801001_1,,
605006,,605006,素色云界旗（碎片）,2,,4,6,,,999999,Skill/602106,Icon,召唤法阵，使我方全体免疫伤害,,,"60210601_1_B,60210602_1_B",0,,,,,四方旗之一，瑶池西王母瑶池之宝。瓷器展开氤氲遍地，一派异香笼罩。龙吉公主，曾用该法宝助姜子牙破殷郊的番天印,270,,1,,,1,602106,20,11250,,,801001_1,,
605007,,605007,离地焰光旗（碎片）,2,,8,6,,,999999,Skill/602107,Icon,召唤法阵，使我方全体免疫伤害，并治疗生命,,,"60210701_1_A,60210702_1_A",0,,,,,四方旗之一,270,,1,,,1,602107,20,11250,,,801001_1,,
605008,,605008,戊己杏黄旗（碎片）,2,,13,6,,,999999,Skill/602108,Icon,召唤法阵，使我方全体免疫伤害，并治疗生命,,,"60210801_1_S,60210802_1_S",0,,,,,四方旗之一,270,,1,,,1,602108,20,11250,,,801001_1,,
605105,,605105,天绝阵（碎片）,2,,1,6,,,999999,Skill/602205,Icon,召唤法阵，使我方全体免疫伤害,,,60220501_1_C,0,,,,,截教金鳌岛秦天君秦完主持的阵法，是十绝阵头阵。秦完用次阵杀玉虚宫邓华，后被文殊广法天尊破阵。,270,,1,,,1,602205,20,11250,,,801001_1,,
605106,,605106,寒冰阵（碎片）,2,,4,6,,,999999,Skill/602206,Icon,召唤法阵，使我方全体免疫伤害,,,"60220601_1_B,60220602_1_B",0,,,,,该阵法不是一天功行就能练成，名为寒冰，实为刀山。内藏玄妙，中有风雷，上有冰山如狼牙，下游冰块如刀剑。,270,,1,,,1,602206,20,11250,,,801001_1,,
605107,,605107,化血阵（碎片）,2,,8,6,,,999999,Skill/602207,Icon,召唤法阵，使我方全体免疫伤害，并治疗生命,,,"60220701_1_A,60220702_1_A",0,,,,,元素之阵,270,,1,,,1,602207,20,11250,,,801001_1,,
605108,,605108,落魂阵（碎片）,2,,13,6,,,999999,Skill/602208,Icon,召唤法阵，使我方全体免疫伤害，并治疗生命,,,"60220801_1_S,60220802_1_S",0,,,,,元素之阵,270,,1,,,1,602208,20,11250,,,801001_1,,
605209,,605209,轮回镜（碎片）,2,,1,6,,,999999,Skill/602309,Icon,全队合体，召唤男武神协助战斗,,,,0,,,,,轮回，是生与死的不断循环。只有无生，才能涅槃。轮回镜可以看清六道轮回之苦，超越轮回。,270,,1,,,1,602309,20,11250,,,801001_1,,
605210,,605210,七星镜（碎片）,2,,4,6,,,999999,Skill/602310,Icon,全队合体，召唤男武神协助战斗,,,,0,,,,,印有七星符印，，必须在汇聚七星之力之地才能锻造，拥有奇特的北斗星辰之力。,270,,1,,,1,602310,20,11250,,,801001_1,,
605211,,605211,万佛镜（碎片）,2,,8,6,,,999999,Skill/602311,Icon,全队合体，召唤男武神协助战斗,,,,0,,,,,元素之镜,270,,1,,,1,602311,20,11250,,,801001_1,,
605212,,605212,镇天镜（碎片）,2,,13,6,,,999999,Skill/602312,Icon,全队合体，召唤男武神协助战斗,,,,0,,,,,元素之镜,270,,1,,,1,602312,20,11250,,,801001_1,,
605213,,605213,乾坤尺（碎片）,2,,1,6,,,999999,Skill/602313,Icon,全队合体，召唤女武神协助战斗,,,,0,,,,,燃灯道人宝物，内含乾坤一气，以世界阴阳乾坤合一形成，代表世界阴阳，和定海神珠相生相依,270,,1,,,1,602313,20,11250,,,801001_1,,
605214,,605214,噬天尺（碎片）,2,,4,6,,,999999,Skill/602314,Icon,全队合体，召唤女武神协助战斗,,,,0,,,,,集天地之灵气锻造而成，法力可通天，使用此宝物可以呼风唤雨，偷天换日。,270,,1,,,1,602314,20,11250,,,801001_1,,
605215,,605215,降妖尺（碎片）,2,,8,6,,,999999,Skill/602315,Icon,全队合体，召唤女武神协助战斗,,,,0,,,,,元素之尺,270,,1,,,1,602315,20,11250,,,801001_1,,
605216,,605216,灵幻尺（碎片）,2,,13,6,,,999999,Skill/602316,Icon,全队合体，召唤女武神协助战斗,,,,0,,,,,元素之尺,270,,1,,,1,602316,20,11250,,,801001_1,,
604004,,604004,神火轮（碎片）,2,,1,4,,,999999,Skill/602004,Icon,召唤神火轮，持续攻击敌方全体,,,60240201_1_C,0,,,,,星辰神兵，神火为轮。熊熊炙热的轮回之火，可以燃尽世间万物。,270,,1,,,1,602004,20,11250,,,806005_1,,
604003,,604003,雷光锤（碎片）,2,,4,7,,,999999,Skill/602003,Icon,召唤巨型雷光锤，攻击敌方全体,,,"60240101_1_C,60240102_1_C",0,,,,,震撼的闪电雷霆，狂暴的雷霆之力，周遭空间震的四分五裂，砸中之人断无生还可能,270,,1,,,1,602003,20,11250,,,806006_1,,
604016,,604016,战神枪（碎片）,2,,8,1,,,999999,Skill/602016,Icon,召唤金色战神，攻击敌方全体，并造成晕眩,,,"60240301_1_B,60240302_1_B",0,,,,,枪尖犹如金莲，莲瓣结合，形成锋利无匹的枪尖，金光留意，犹如能够撕裂虚空,690,,1,,,1,602016,20,28750,,,806007_1,,
603001,,603001,青云剑,2,,1,6,,"801001,801002,801003,801004",1,Skill/602101,Icon,召唤青云剑群攻击敌方全体,10300101,60210101,"60210202_35_B,60210403_70_S",603002,5,806005_5,5000,1,魔礼青之物，剑上有印符，挥舞此剑如风雷滚动，威势非凡,10000,16,,80,300,2,,,,1_10_40_70,130_32,806005_1,0.8,801001
603002,,603002,青云剑,2,,1,6,,"801001,801002,801003,801004",1,Skill/602101,Icon,召唤青云剑群攻击敌方全体,10300101,60210101,"60210202_35_B,60210403_70_S",603003,10,806005_10,10000,1,魔礼青之物，剑上有印符，挥舞此剑如风雷滚动，威势非凡,10000,16,,80,300,2,,,,1_10_40_70,130_32,806005_4,0.8,801001
603003,,603003,青云剑,2,,1,6,,"801001,801002,801003,801004",1,Skill/602101,Icon,召唤青云剑群攻击敌方全体,10300101,60210101,"60210202_35_B,60210403_70_S",603004,15,806005_15,15000,1,魔礼青之物，剑上有印符，挥舞此剑如风雷滚动，威势非凡,10000,16,,80,300,2,,,,1_10_40_70,130_32,806005_12,0.8,801001
