key,Remarks,Id,fov,camPosX,camPosY,camPosZ,camRotateX,camRotateY,camRotateZ,BossBattle,BattleOffset,fightBoundary,BGM
110504,,110504,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110505,,110505,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110506,,110506,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110507,,110507,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110508,,110508,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110509,,110509,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110510,,110510,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110511,,110511,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110512,,110512,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110513,,110513,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110514,,110514,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110515,,110515,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110516,,110516,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110517,,110517,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110518,,110518,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110519,,110519,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110520,,110520,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110521,,110521,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
120501,,120501,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120502,,120502,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120503,,120503,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120504,,120504,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120505,,120505,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120506,,120506,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120507,,120507,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
110601,,110601,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110602,,110602,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110603,,110603,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110604,,110604,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110605,,110605,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110606,,110606,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110607,,110607,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110608,,110608,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110609,,110609,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110610,,110610,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110611,,110611,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110612,,110612,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110613,,110613,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110614,,110614,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110615,,110615,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110616,,110616,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110617,,110617,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110618,,110618,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110619,,110619,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110620,,110620,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110621,,110621,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
120601,,120601,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120602,,120602,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120603,,120603,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120604,,120604,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120605,,120605,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120606,,120606,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120607,,120607,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
110701,,110701,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110702,,110702,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110703,,110703,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110704,,110704,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110705,,110705,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110706,,110706,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110707,,110707,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110708,,110708,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110709,,110709,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110710,,110710,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110711,,110711,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110712,,110712,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110713,,110713,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110714,,110714,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110715,,110715,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110716,,110716,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110717,,110717,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110718,,110718,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110719,,110719,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110720,,110720,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110721,,110721,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
120701,,120701,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120702,,120702,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120703,,120703,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120704,,120704,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120705,,120705,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120706,,120706,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120707,,120707,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
110801,,110801,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110802,,110802,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110803,,110803,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110804,,110804,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110805,,110805,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110806,,110806,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110807,,110807,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110808,,110808,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110809,,110809,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110810,,110810,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110811,,110811,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110812,,110812,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110813,,110813,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110814,,110814,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110815,,110815,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110816,,110816,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110817,,110817,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110818,,110818,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110819,,110819,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110820,,110820,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110821,,110821,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
120801,,120801,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120802,,120802,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120803,,120803,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120804,,120804,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120805,,120805,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120806,,120806,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120807,,120807,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
110901,,110901,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110902,,110902,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110903,,110903,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110904,,110904,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110905,,110905,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110906,,110906,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110907,,110907,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110908,,110908,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110909,,110909,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110910,,110910,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110911,,110911,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110912,,110912,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110913,,110913,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110914,,110914,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110915,,110915,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110916,,110916,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110917,,110917,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110918,,110918,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110919,,110919,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110920,,110920,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110921,,110921,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
120901,,120901,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120902,,120902,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120903,,120903,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120904,,120904,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120905,,120905,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120906,,120906,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120907,,120907,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
111001,,111001,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111002,,111002,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111003,,111003,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111004,,111004,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111005,,111005,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111006,,111006,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111007,,111007,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111008,,111008,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111009,,111009,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111010,,111010,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111011,,111011,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111012,,111012,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111013,,111013,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111014,,111014,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111015,,111015,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111016,,111016,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111017,,111017,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111018,,111018,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111019,,111019,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111020,,111020,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111021,,111021,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
121001,,121001,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
121002,,121002,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
121003,,121003,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
121004,,121004,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
121005,,121005,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
121006,,121006,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
121007,,121007,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
111101,,111101,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
