key,Remarks,roleId,modelId,name,volumeRadius,life,energy,attack,physiqueDef,spiritDef,hit,dodge,attackVampire,critical,criticalHurt,toughness,lifeReceive,energyReceive,energyPerSecond,energyTrans,attackEnergy,struckEnergy,attackHurt,cutHurt,cutCritHurt,resist,addCure,cutCure,doHurt,hardStraight,attackDistance,attackSpeed,moveSpeed,viewRange,lifeGrowUp,attackGrowUp,physicqueDefGrowUp,spiritDefGrowUp,attackType,attackId,skillId01,skillId02,skillId03,skillId04,skillId05,dieSkillId,reactionTime
201001_5,,201001_5,201001,杨戬,1,706,1000,176,143,179,,,,,,,230,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",26000,6500,2600,3250,1,20100100_1,20100101_1,20100102_1,20100103_1,20100104_1,,,0.15
204001_1,,204001_1,204001,龙吉公主,1,602,1000,129,55,69,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",3800,820,400,500,1,20400100_1,20400101_1,20400102_1,20400103_1,20400104_1,,,0.5
204001_2,,204001_2,204001,龙吉公主,1,602,1000,129,63,79,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",5700,1230,600,750,1,20400100_1,20400101_1,20400102_1,20400103_1,20400104_1,,,0.5
204001_3,,204001_3,204001,龙吉公主,1,602,1000,129,74,93,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",8360,1804,880,1100,1,20400100_1,20400101_1,20400102_1,20400103_1,20400104_1,,,0.5
204001_4,,204001_4,204001,龙吉公主,1,602,1000,129,89,112,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",12084,2607,1272,1590,1,20400100_1,20400101_1,20400102_1,20400103_1,20400104_1,,,0.5
204001_5,,204001_5,204001,龙吉公主,1,602,1000,129,119,149,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",19000,4100,2000,2500,1,20400100_1,20400101_1,20400102_1,20400103_1,20400104_1,,,0.5
203001_1,,203001_1,203001,妲己,1,740,1000,136,59,75,,,,,,,80,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",5460,1014,520,650,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,,,0.3
203001_2,,203001_2,203001,妲己,1,740,1000,136,70,88,,,,,,,80,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",8190,1521,780,975,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,,,0.3
203001_3,,203001_3,203001,妲己,1,740,1000,136,84,106,,,,,,,80,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",12012,2230,1144,1430,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,,,0.3
203001_4,,203001_4,203001,妲己,1,740,1000,136,105,131,,,,,,,80,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",17346,3221,1652,2065,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,,,0.3
203001_5,,203001_5,203001,妲己,1,740,1000,136,143,179,,,,,,,80,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",27300,5070,2600,3250,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,,,0.3
201002_1,,201002_1,201002,郑伦,1,824,1000,148,66,83,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",5200,940,480,600,1,20100200_1,20100201_1,20100202_1,20100203_1,20100204_1,,,0.25
201002_2,,201002_2,201002,郑伦,1,824,1000,148,75,95,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",7800,1410,720,900,1,20100200_1,20100201_1,20100202_1,20100203_1,20100204_1,,,0.25
201002_3,,201002_3,201002,郑伦,1,824,1000,148,89,111,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",11440,2068,1056,1320,1,20100200_1,20100201_1,20100202_1,20100203_1,20100204_1,,,0.25
201002_4,,201002_4,201002,郑伦,1,824,1000,148,108,135,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",16536,2989,1526,1908,1,20100200_1,20100201_1,20100202_1,20100203_1,20100204_1,,,0.25
201002_5,,201002_5,201002,郑伦,1,824,1000,148,143,179,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",26000,4700,2400,3000,1,20100200_1,20100201_1,20100202_1,20100203_1,20100204_1,,,0.25
201003_1,,201003_1,201003,陈奇,1,658,1000,164,56,71,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",4400,1100,440,550,1,20100300_1,20100301_1,20100302_1,20100303_1,20100304_1,,,0.1
201003_2,,201003_2,201003,陈奇,1,658,1000,164,65,82,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",6600,1650,660,825,1,20100300_1,20100301_1,20100302_1,20100303_1,20100304_1,,,0.1
201003_3,,201003_3,201003,陈奇,1,658,1000,164,77,97,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",9680,2420,968,1210,1,20100300_1,20100301_1,20100302_1,20100303_1,20100304_1,,,0.1
201003_4,,201003_4,201003,陈奇,1,658,1000,164,94,118,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",13960,3490,1396,1745,1,20100300_1,20100301_1,20100302_1,20100303_1,20100304_1,,,0.1
201003_5,,201003_5,201003,陈奇,1,658,1000,164,127,159,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",22000,5500,2200,2750,1,20100300_1,20100301_1,20100302_1,20100303_1,20100304_1,,,0.1
202003_1,,202003_1,201003,测试陈奇,1,658,1000,164,56,71,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",4400,1100,440,550,1,20100300_1,20100301_1,20100302_1,20100303_1,20100304_1,,,0.2
202003_2,,202003_2,201003,测试陈奇,1,658,1000,164,65,82,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",6600,1650,660,825,1,20100300_1,20100301_1,20100302_1,20100303_1,20100304_1,,,0.2
202003_3,,202003_3,201003,测试陈奇,1,658,1000,164,77,97,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",9680,2420,968,1210,1,20100300_1,20100301_1,20100302_1,20100303_1,20100304_1,,,0.2
202003_4,,202003_4,201003,测试陈奇,1,658,1000,164,94,118,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",13960,3490,1396,1745,1,20100300_1,20100301_1,20100302_1,20100303_1,20100304_1,,,0.2
202003_5,,202003_5,201003,测试陈奇,1,658,1000,164,127,159,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",22000,5500,2200,2750,1,20100300_1,20100301_1,20100302_1,20100303_1,20100304_1,,,0.2
201005_1,,201005_1,201005,魔礼青,1,682,1000,170,58,73,,,,,,,219,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",4800,1200,480,600,1,20100500_1,20100501_1,20100502_1,20100503_1,20100504_1,,,0.15
201005_2,,201005_2,201005,魔礼青,1,682,1000,170,67,85,,,,,,,219,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",7200,1800,720,900,1,20100500_1,20100501_1,20100502_1,20100503_1,20100504_1,,,0.15
201005_3,,201005_3,201005,魔礼青,1,682,1000,170,81,101,,,,,,,219,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",10560,2640,1056,1320,1,20100500_1,20100501_1,20100502_1,20100503_1,20100504_1,,,0.15
201005_4,,201005_4,201005,魔礼青,1,682,1000,170,99,125,,,,,,,219,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",15240,3810,1524,1905,1,20100500_1,20100501_1,20100502_1,20100503_1,20100504_1,,,0.15
201005_5,,201005_5,201005,魔礼青,1,682,1000,170,135,169,,,,,,,219,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",24000,6000,2400,3000,1,20100500_1,20100501_1,20100502_1,20100503_1,20100504_1,,,0.15
201004_1,,201004_1,201004,木吒,1,634,1000,158,55,69,,,,,,,198,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",4000,1000,400,500,1,20100400_1,20100401_1,20100402_1,20100403_1,20100404_1,,,0.1
201004_2,,201004_2,201004,木吒,1,634,1000,158,63,79,,,,,,,198,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",6000,1500,600,750,1,20100400_1,20100401_1,20100402_1,20100403_1,20100404_1,,,0.1
201004_3,,201004_3,201004,木吒,1,634,1000,158,74,93,,,,,,,198,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",8800,2200,880,1100,1,20100400_1,20100401_1,20100402_1,20100403_1,20100404_1,,,0.1
201004_4,,201004_4,201004,木吒,1,634,1000,158,89,112,,,,,,,198,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",12720,3180,1272,1590,1,20100400_1,20100401_1,20100402_1,20100403_1,20100404_1,,,0.1
201004_5,,201004_5,201004,木吒,1,634,1000,158,119,149,,,,,,,198,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",20000,5000,2000,2500,1,20100400_1,20100401_1,20100402_1,20100403_1,20100404_1,,,0.1
202004_1,,202004_1,202004,雷震子,1,528,1000,226,52,65,,,,,,,112,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",3720,1596,432,540,1,20200400_1,20200401_1,20200402_1,20200403_1,20200404_1,,,0.45
202004_2,,202004_2,202004,雷震子,1,528,1000,226,60,76,,,,,,,112,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",5580,2394,648,810,1,20200400_1,20200401_1,20200402_1,20200403_1,20200404_1,,,0.45
202004_3,,202004_3,202004,雷震子,1,528,1000,226,73,91,,,,,,,112,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",8184,3511,950,1188,1,20200400_1,20200401_1,20200402_1,20200403_1,20200404_1,,,0.45
202004_4,,202004_4,202004,雷震子,1,528,1000,226,89,112,,,,,,,112,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",11811,5067,1371,1714,1,20200400_1,20200401_1,20200402_1,20200403_1,20200404_1,,,0.45
202004_5,,202004_5,202004,雷震子,1,528,1000,226,121,152,,,,,,,112,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",18600,7980,2160,2700,1,20200400_1,20200401_1,20200402_1,20200403_1,20200404_1,,,0.45
204004_1,,204004_1,204004,李靖,1,602,1000,129,69,55,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",3800,820,500,400,,20400400_1,20400401_1,20400402_1,20400403_1,20400404_1,,,0.5
204004_2,,204004_2,204004,李靖,1,602,1000,129,79,63,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",5700,1230,750,600,,20400400_1,20400401_1,20400402_1,20400403_1,20400404_1,,,0.5
204004_3,,204004_3,204004,李靖,1,602,1000,129,93,74,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",8360,1804,1100,880,,20400400_1,20400401_1,20400402_1,20400403_1,20400404_1,,,0.5
204004_4,,204004_4,204004,李靖,1,602,1000,129,112,89,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",12084,2607,1590,1272,,20400400_1,20400401_1,20400402_1,20400403_1,20400404_1,,,0.5
204004_5,,204004_5,204004,李靖,1,602,1000,129,149,119,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",19000,4100,2500,2000,,20400400_1,20400401_1,20400402_1,20400403_1,20400404_1,,,0.5
202006_1,,202006_1,202006,燃灯道人,1,706,1000,176,59,75,,,,,,,230,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",5200,1300,520,650,1,20200600_1,20200601_1,20200602_1,20200603_1,20200604_1,,20200609,0.2
202006_2,,202006_2,202006,燃灯道人,1,706,1000,176,70,88,,,,,,,230,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",7800,1950,780,975,1,20200600_1,20200601_1,20200602_1,20200603_1,20200604_1,,20200609,0.2
202006_3,,202006_3,202006,燃灯道人,1,706,1000,176,84,106,,,,,,,230,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",11440,2860,1144,1430,1,20200600_1,20200601_1,20200602_1,20200603_1,20200604_1,,20200609,0.2
202006_4,,202006_4,202006,燃灯道人,1,706,1000,176,105,131,,,,,,,230,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",16520,4130,1652,2065,1,20200600_1,20200601_1,20200602_1,20200603_1,20200604_1,,20200609,0.2
202006_5,,202006_5,202006,燃灯道人,1,706,1000,176,143,179,,,,,,,230,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",26000,6500,2600,3250,1,20200600_1,20200601_1,20200602_1,20200603_1,20200604_1,,20200609,0.2
204003_1,,204003_1,204003,武吉,1,682,1000,170,58,73,,,,,,,219,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",4800,1200,480,600,1,20400300_1,20400301_1,20400302_1,20400303_1,20400304_1,,,0.5
204003_2,,204003_2,204003,武吉,1,682,1000,170,67,85,,,,,,,219,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",7200,1800,720,900,1,20400300_1,20400301_1,20400302_1,20400303_1,20400304_1,,,0.5
204003_3,,204003_3,204003,武吉,1,682,1000,170,81,101,,,,,,,219,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",10560,2640,1056,1320,1,20400300_1,20400301_1,20400302_1,20400303_1,20400304_1,,,0.5
204003_4,,204003_4,204003,武吉,1,682,1000,170,99,125,,,,,,,219,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",15240,3810,1524,1905,1,20400300_1,20400301_1,20400302_1,20400303_1,20400304_1,,,0.5
204003_5,,204003_5,204003,武吉,1,682,1000,170,135,169,,,,,,,219,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",24000,6000,2400,3000,1,20400300_1,20400301_1,20400302_1,20400303_1,20400304_1,,,0.5
203002_1,,203002_1,203002,李兴霸,1,715,1000,132,73,58,,,,,,,76,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",5040,936,600,480,,20300200_1,20300201_1,20300202_1,20300203_1,20300204_1,,,0.3
203002_2,,203002_2,203002,李兴霸,1,715,1000,132,85,67,,,,,,,76,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",7560,1404,900,720,,20300200_1,20300201_1,20300202_1,20300203_1,20300204_1,,,0.3
203002_3,,203002_3,203002,李兴霸,1,715,1000,132,101,81,,,,,,,76,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",11088,2059,1320,1056,,20300200_1,20300201_1,20300202_1,20300203_1,20300204_1,,,0.3
203002_4,,203002_4,203002,李兴霸,1,715,1000,132,125,99,,,,,,,76,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",16002,2971,1905,1524,,20300200_1,20300201_1,20300202_1,20300203_1,20300204_1,,,0.3
203002_5,,203002_5,203002,李兴霸,1,715,1000,132,169,135,,,,,,,76,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",25200,4680,3000,2400,,20300200_1,20300201_1,20300202_1,20300203_1,20300204_1,,,0.3
203003_1,,203003_1,203003,魔礼寿,1,690,1000,127,56,71,,,,,,,72,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",4620,858,440,550,1,20300300_1,20300301_1,20300302_1,20300303_1,20300304_1,,,0.3
203003_2,,203003_2,203003,魔礼寿,1,690,1000,127,65,82,,,,,,,72,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",6930,1287,660,825,1,20300300_1,20300301_1,20300302_1,20300303_1,20300304_1,,,0.3
203003_3,,203003_3,203003,魔礼寿,1,690,1000,127,77,97,,,,,,,72,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",10164,1887,968,1210,1,20300300_1,20300301_1,20300302_1,20300303_1,20300304_1,,,0.3
203003_4,,203003_4,203003,魔礼寿,1,690,1000,127,94,118,,,,,,,72,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",14658,2722,1396,1745,1,20300300_1,20300301_1,20300302_1,20300303_1,20300304_1,,,0.3
203003_5,,203003_5,203003,魔礼寿,1,690,1000,127,127,159,,,,,,,72,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",23100,4290,2200,2750,1,20300300_1,20300301_1,20300302_1,20300303_1,20300304_1,,,0.3
200002_1,,200002_1,200002,杨森,1,824,1000,148,83,66,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",5200,940,600,480,,20000200_1,20000201_1,20000202_1,20000203_1,20000204_1,,,0.25
200002_2,,200002_2,200002,杨森,1,824,1000,148,95,75,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",7800,1410,900,720,,20000200_1,20000201_1,20000202_1,20000203_1,20000204_1,,,0.25
200002_3,,200002_3,200002,杨森,1,824,1000,148,111,89,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",11440,2068,1320,1056,,20000200_1,20000201_1,20000202_1,20000203_1,20000204_1,,,0.25
200002_4,,200002_4,200002,杨森,1,824,1000,148,135,108,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",16536,2989,1908,1526,,20000200_1,20000201_1,20000202_1,20000203_1,20000204_1,,,0.25
200002_5,,200002_5,200002,杨森,1,824,1000,148,179,143,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",26000,4700,3000,2400,,20000200_1,20000201_1,20000202_1,20000203_1,20000204_1,,,0.25
204006_1,,204006_1,204006,魔礼红,1,824,1000,148,83,66,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",5200,940,600,480,,20400600_1,20400601_1,20400602_1,20400603_1,20400604_1,,,0.25
204006_2,,204006_2,204006,魔礼红,1,824,1000,148,95,75,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",7800,1410,900,720,,20400600_1,20400601_1,20400602_1,20400603_1,20400604_1,,,0.25
204006_3,,204006_3,204006,魔礼红,1,824,1000,148,111,89,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",11440,2068,1320,1056,,20400600_1,20400601_1,20400602_1,20400603_1,20400604_1,,,0.25
204006_4,,204006_4,204006,魔礼红,1,824,1000,148,135,108,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",16536,2989,1908,1526,,20400600_1,20400601_1,20400602_1,20400603_1,20400604_1,,,0.25
204006_5,,204006_5,204006,魔礼红,1,824,1000,148,179,143,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",26000,4700,3000,2400,,20400600_1,20400601_1,20400602_1,20400603_1,20400604_1,,,0.25
200001_1,,200001_1,200001,金吒,1,491,1000,210,49,62,,,,,,,101,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",3100,1330,360,450,1,20000100_1,20000101_1,20000102_1,20000103_1,20000104_1,,,0.25
200001_2,,200001_2,200001,金吒,1,491,1000,210,56,71,,,,,,,101,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",4650,1995,540,675,1,20000100_1,20000101_1,20000102_1,20000103_1,20000104_1,,,0.25
200001_3,,200001_3,200001,金吒,1,491,1000,210,66,83,,,,,,,101,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",6820,2926,792,990,1,20000100_1,20000101_1,20000102_1,20000103_1,20000104_1,,,0.25
200001_4,,200001_4,200001,金吒,1,491,1000,210,80,101,,,,,,,101,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",9858,4229,1144,1431,1,20000100_1,20000101_1,20000102_1,20000103_1,20000104_1,,,0.25
200001_5,,200001_5,200001,金吒,1,491,1000,210,107,134,,,,,,,101,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",15500,6650,1800,2250,1,20000100_1,20000101_1,20000102_1,20000103_1,20000104_1,,,0.25
200003_1,,200003_1,200003,韦护,1,824,1000,148,66,83,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",5200,940,480,600,1,20000300_1,20000301_1,20000302_1,20000303_1,20000304_1,,,0.25
200003_2,,200003_2,200003,韦护,1,824,1000,148,75,95,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",7800,1410,720,900,1,20000300_1,20000301_1,20000302_1,20000303_1,20000304_1,,,0.25
200003_3,,200003_3,200003,韦护,1,824,1000,148,89,111,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",11440,2068,1056,1320,1,20000300_1,20000301_1,20000302_1,20000303_1,20000304_1,,,0.25
200003_4,,200003_4,200003,韦护,1,824,1000,148,108,135,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",16536,2989,1526,1908,1,20000300_1,20000301_1,20000302_1,20000303_1,20000304_1,,,0.25
200003_5,,200003_5,200003,韦护,1,824,1000,148,143,179,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",26000,4700,2400,3000,1,20000300_1,20000301_1,20000302_1,20000303_1,20000304_1,,,0.25
202005_1,,202005_1,202005,云中子,1,528,1000,226,52,65,,,,,,,112,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",3720,1596,432,540,1,20200500_1,20200501_1,20200502_1,20200503_1,20200504_1,,,0.25
202005_2,,202005_2,202005,云中子,1,528,1000,226,60,76,,,,,,,112,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",5580,2394,648,810,1,20200500_1,20200501_1,20200502_1,20200503_1,20200504_1,,,0.25
202005_3,,202005_3,202005,云中子,1,528,1000,226,73,91,,,,,,,112,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",8184,3511,950,1188,1,20200500_1,20200501_1,20200502_1,20200503_1,20200504_1,,,0.25
202005_4,,202005_4,202005,云中子,1,528,1000,226,89,112,,,,,,,112,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",11811,5067,1371,1714,1,20200500_1,20200501_1,20200502_1,20200503_1,20200504_1,,,0.25
202005_5,,202005_5,202005,云中子,1,528,1000,226,121,152,,,,,,,112,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",18600,7980,2160,2700,1,20200500_1,20200501_1,20200502_1,20200503_1,20200504_1,,,0.25
200009_1,,200009_1,200009,黄龙真人,1,855,1000,154,68,85,,,,,,,271,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",5720,1034,528,660,1,20000900_1,20000901_1,20000902_1,20000903_1,20000904_1,,,0.25
200009_2,,200009_2,200009,黄龙真人,1,855,1000,154,78,98,,,,,,,271,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",8580,1551,792,990,1,20000900_1,20000901_1,20000902_1,20000903_1,20000904_1,,,0.25
200009_3,,200009_3,200009,黄龙真人,1,855,1000,154,93,117,,,,,,,271,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",12584,2274,1161,1452,1,20000900_1,20000901_1,20000902_1,20000903_1,20000904_1,,,0.25
