Key,Remarks,Id,Type,ModelId,level,HeroAttackRate,HeroPhysicalDefenseRate,HeroMagicDefenseRate,HeroLifeRate,MonsterAttack,MonsterPhysicalDefense,MonsterMagicDefense,MonsterLife,Hide,Enter,Die,Normal,Skill01,Skill02,Skill03,Skill04,Skill05,Scale,AttackType,ViewRange,Speed,AttackRange,ReactionTime,DoHurt,HardStraight,AIGroupId
500003_36,,500003_36,,500003,36,1,,,,,369,295,"43,105",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_37,,500003_37,,500003,37,1,,,,,378,303,"44,285",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_38,,500003_38,,500003,38,1,,,,,552,441,"44,630",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_39,,500003_39,,500003,39,1,,,,,571,456,"46,070",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_40,,500003_40,,500003,40,1,,,,,585,467,"47,250",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_41,,500003_41,,500003,41,1,,,,,600,480,"49,825",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_42,,500003_42,,500003,42,1,,,,,617,493,"51,290",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_43,,500003_43,,500003,43,1,,,,,805,643,"52,485",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_44,,500003_44,,500003,44,1,,,,,837,670,"53,895",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_45,,500003_45,,500003,45,1,,,,,862,689,"55,635",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_46,,500003_46,,500003,46,1,,,,,898,719,"58,165",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_47,,500003_47,,500003,47,1,,,,,898,719,"59,365",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_48,,500003_48,,500003,48,1,,,,,"1,138",909,"64,225",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_49,,500003_49,,500003,49,1,,,,,"1,139",909,"64,570",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_50,,500003_50,,500003,50,1,,,,,"1,181",944,"67,385",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_51,,500003_51,,500003,51,1,,,,,"1,198",958,"69,060",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_52,,500003_52,,500003,52,1,,,,,"1,244",993,"71,275",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_53,,500003_53,,500003,53,1,,,,,"1,443","1,153","72,495",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_54,,500003_54,,500003,54,1,,,,,"1,490","1,192","74,440",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_55,,500003_55,,500003,55,1,,,,,"1,490","1,192","75,660",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_56,,500003_56,,500003,56,1,,,,,"1,517","1,215","76,005",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_57,,500003_57,,500003,57,1,,,,,"1,537","1,231","77,945",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_58,,500003_58,,500003,58,1,,,,,"1,777","1,419","79,170",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_59,,500003_59,,500003,59,1,,,,,"1,778","1,419","79,515",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_60,,500003_60,,500003,60,1,,,,,"1,828","1,462","82,335",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_61,,500003_61,,500003,61,1,,,,,"1,859","1,488","84,685",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_62,,500003_62,,500003,62,1,,,,,"1,859","1,489","85,025",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_63,,500003_63,,500003,63,1,,,,,"1,912","1,528","87,870",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_64,,500003_64,,500003,64,1,,,,,"1,913","1,528","88,210",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_65,,500003_65,,500003,65,1,,,,,"1,943","1,555","88,555",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_66,,500003_66,,500003,66,1,,,,,"1,964","1,571","91,405",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_67,,500003_67,,500003,67,1,,,,,"1,998","1,597","91,745",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_68,,500003_68,,500003,68,1,,,,,"1,998","1,597","92,090",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_69,,500003_69,,500003,69,1,,,,,"2,049","1,636","94,930",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_70,,500003_70,,500003,70,1,,,,,"2,049","1,637","95,275",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_71,,500003_71,,500003,71,1,,,,,"2,080","1,664","95,615",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_72,,500003_72,,500003,72,1,,,,,"2,100","1,680","98,465",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_73,,500003_73,,500003,73,1,,,,,"2,133","1,706","98,810",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_74,,500003_74,,500003,74,1,,,,,"2,134","1,706","99,150",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_75,,500003_75,,500003,75,1,,,,,"2,184","1,749","101,995",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_76,,500003_76,,500003,76,1,,,,,"2,219","1,775","105,150",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_77,,500003_77,,500003,77,1,,,,,"2,282","1,824","106,420",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_78,,500003_78,,500003,78,1,,,,,"2,399","1,919","109,285",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_79,,500003_79,,500003,79,1,,,,,"2,497","1,998","111,480",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_80,,500003_80,,500003,80,1,,,,,"2,497","1,998","113,600",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_81,,500003_81,,500003,81,1,,,,,"2,552","2,040","116,485",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_82,,500003_82,,500003,82,1,,,,,"2,585","2,067","116,830",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_83,,500003_83,,500003,83,1,,,,,"2,619","2,093","118,120",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_84,,500003_84,,500003,84,1,,,,,"2,673","2,139","120,065",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_85,,500003_85,,500003,85,1,,,,,"2,673","2,139","121,355",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_86,,500003_86,,500003,86,1,,,,,"2,708","2,166","121,700",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_87,,500003_87,,500003,87,1,,,,,"2,761","2,208","124,590",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_88,,500003_88,,500003,88,1,,,,,"2,795","2,235","124,930",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_89,,500003_89,,500003,89,1,,,,,"2,829","2,261","126,225",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_90,,500003_90,,500003,90,1,,,,,"3,121","2,497","134,685",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500004_1,,500004_1,,500004,1,1,,,,,10,8,"3,310",,50000408,50000409,50000401_1,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_2,,500004_2,,500004,2,1,,,,,19,15,"3,655",,50000408,50000409,50000401_2,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_3,,500004_3,,500004,3,1,,,,,19,15,"4,575",,50000408,50000409,50000401_3,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_4,,500004_4,,500004,4,1,,,,,20,15,"4,575",,50000408,50000409,50000401_4,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_5,,500004_5,,500004,5,1,,,,,20,16,"5,495",,50000408,50000409,50000401_5,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_6,,500004_6,,500004,6,1,,,,,28,22,"5,840",,50000408,50000409,50000401_6,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_7,,500004_7,,500004,7,1,,,,,35,27,"6,180",,50000408,50000409,50000401_7,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_8,,500004_8,,500004,8,1,,,,,49,39,"7,790",,50000408,50000409,50000401_8,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_9,,500004_9,,500004,9,1,,,,,64,51,"8,475",,50000408,50000409,50000401_9,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_10,,500004_10,,500004,10,1,,,,,80,64,"10,085",,50000408,50000409,50000401_10,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_11,,500004_11,,500004,11,1,,,,,97,77,"10,425",,50000408,50000409,50000401_11,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_12,,500004_12,,500004,12,1,,,,,106,85,"11,690",,50000408,50000409,50000401_12,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_13,,500004_13,,500004,13,1,,,,,115,93,"13,825",,50000408,50000409,50000401_13,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_14,,500004_14,,500004,14,1,,,,,125,99,"14,930",,50000408,50000409,50000401_14,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_15,,500004_15,,500004,15,1,,,,,134,107,"16,035",,50000408,50000409,50000401_15,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_16,,500004_16,,500004,16,1,,,,,154,123,"16,380",,50000408,50000409,50000401_16,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_17,,500004_17,,500004,17,1,,,,,154,123,"17,490",,50000408,50000409,50000401_17,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_18,,500004_18,,500004,18,1,,,,,163,130,"18,590",,50000408,50000409,50000401_18,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_19,,500004_19,,500004,19,1,,,,,174,138,"19,700",,50000408,50000409,50000401_19,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_20,,500004_20,,500004,20,1,,,,,174,138,"22,625",,50000408,50000409,50000401_20,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_21,,500004_21,,500004,21,1,,,,,231,184,"29,370",,50000408,50000409,50000401_21,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_22,,500004_22,,500004,22,1,,,,,240,192,"29,710",,50000408,50000409,50000401_22,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_23,,500004_23,,500004,23,1,,,,,250,200,"30,865",,50000408,50000409,50000401_23,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_24,,500004_24,,500004,24,1,,,,,251,200,"31,210",,50000408,50000409,50000401_24,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_25,,500004_25,,500004,25,1,,,,,261,208,"32,360",,50000408,50000409,50000401_25,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_26,,500004_26,,500004,26,1,,,,,271,216,"32,705",,50000408,50000409,50000401_26,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_27,,500004_27,,500004,27,1,,,,,281,224,"33,045",,50000408,50000409,50000401_27,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_28,,500004_28,,500004,28,1,,,,,281,225,"34,200",,50000408,50000409,50000401_28,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_29,,500004_29,,500004,29,1,,,,,291,232,"34,540",,50000408,50000409,50000401_29,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_30,,500004_30,,500004,30,1,,,,,301,240,"35,695",,50000408,50000409,50000401_30,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_31,,500004_31,,500004,31,1,,,,,312,248,"36,040",,50000408,50000409,50000401_31,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_32,,500004_32,,500004,32,1,,,,,321,257,"37,190",,50000408,50000409,50000401_32,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_33,,500004_33,,500004,33,1,,,,,331,265,"39,885",,50000408,50000409,50000401_33,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_34,,500004_34,,500004,34,1,,,,,342,273,"41,055",,50000408,50000409,50000401_34,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_35,,500004_35,,500004,35,1,,,,,355,283,"41,665",,50000408,50000409,50000401_35,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_36,,500004_36,,500004,36,1,,,,,369,295,"43,105",,50000408,50000409,50000401_36,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_37,,500004_37,,500004,37,1,,,,,378,303,"44,285",,50000408,50000409,50000401_37,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_38,,500004_38,,500004,38,1,,,,,552,441,"44,630",,50000408,50000409,50000401_38,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_39,,500004_39,,500004,39,1,,,,,571,456,"46,070",,50000408,50000409,50000401_39,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_40,,500004_40,,500004,40,1,,,,,585,467,"47,250",,50000408,50000409,50000401_40,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_41,,500004_41,,500004,41,1,,,,,600,480,"49,825",,50000408,50000409,50000401_41,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_42,,500004_42,,500004,42,1,,,,,617,493,"51,290",,50000408,50000409,50000401_42,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_43,,500004_43,,500004,43,1,,,,,805,643,"52,485",,50000408,50000409,50000401_43,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_44,,500004_44,,500004,44,1,,,,,837,670,"53,895",,50000408,50000409,50000401_44,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_45,,500004_45,,500004,45,1,,,,,862,689,"55,635",,50000408,50000409,50000401_45,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_46,,500004_46,,500004,46,1,,,,,898,719,"58,165",,50000408,50000409,50000401_46,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_47,,500004_47,,500004,47,1,,,,,898,719,"59,365",,50000408,50000409,50000401_47,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_48,,500004_48,,500004,48,1,,,,,"1,138",909,"64,225",,50000408,50000409,50000401_48,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_49,,500004_49,,500004,49,1,,,,,"1,139",909,"64,570",,50000408,50000409,50000401_49,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_50,,500004_50,,500004,50,1,,,,,"1,181",944,"67,385",,50000408,50000409,50000401_50,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_51,,500004_51,,500004,51,1,,,,,"1,198",958,"69,060",,50000408,50000409,50000401_51,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_52,,500004_52,,500004,52,1,,,,,"1,244",993,"71,275",,50000408,50000409,50000401_52,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_53,,500004_53,,500004,53,1,,,,,"1,443","1,153","72,495",,50000408,50000409,50000401_53,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_54,,500004_54,,500004,54,1,,,,,"1,490","1,192","74,440",,50000408,50000409,50000401_54,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_55,,500004_55,,500004,55,1,,,,,"1,490","1,192","75,660",,50000408,50000409,50000401_55,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_56,,500004_56,,500004,56,1,,,,,"1,517","1,215","76,005",,50000408,50000409,50000401_56,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_57,,500004_57,,500004,57,1,,,,,"1,537","1,231","77,945",,50000408,50000409,50000401_57,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_58,,500004_58,,500004,58,1,,,,,"1,777","1,419","79,170",,50000408,50000409,50000401_58,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_59,,500004_59,,500004,59,1,,,,,"1,778","1,419","79,515",,50000408,50000409,50000401_59,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_60,,500004_60,,500004,60,1,,,,,"1,828","1,462","82,335",,50000408,50000409,50000401_60,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_61,,500004_61,,500004,61,1,,,,,"1,859","1,488","84,685",,50000408,50000409,50000401_61,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_62,,500004_62,,500004,62,1,,,,,"1,859","1,489","85,025",,50000408,50000409,50000401_62,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_63,,500004_63,,500004,63,1,,,,,"1,912","1,528","87,870",,50000408,50000409,50000401_63,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_64,,500004_64,,500004,64,1,,,,,"1,913","1,528","88,210",,50000408,50000409,50000401_64,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_65,,500004_65,,500004,65,1,,,,,"1,943","1,555","88,555",,50000408,50000409,50000401_65,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_66,,500004_66,,500004,66,1,,,,,"1,964","1,571","91,405",,50000408,50000409,50000401_66,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_67,,500004_67,,500004,67,1,,,,,"1,998","1,597","91,745",,50000408,50000409,50000401_67,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_68,,500004_68,,500004,68,1,,,,,"1,998","1,597","92,090",,50000408,50000409,50000401_68,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_69,,500004_69,,500004,69,1,,,,,"2,049","1,636","94,930",,50000408,50000409,50000401_69,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_70,,500004_70,,500004,70,1,,,,,"2,049","1,637","95,275",,50000408,50000409,50000401_70,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_71,,500004_71,,500004,71,1,,,,,"2,080","1,664","95,615",,50000408,50000409,50000401_71,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_72,,500004_72,,500004,72,1,,,,,"2,100","1,680","98,465",,50000408,50000409,50000401_72,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_73,,500004_73,,500004,73,1,,,,,"2,133","1,706","98,810",,50000408,50000409,50000401_73,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_74,,500004_74,,500004,74,1,,,,,"2,134","1,706","99,150",,50000408,50000409,50000401_74,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_75,,500004_75,,500004,75,1,,,,,"2,184","1,749","101,995",,50000408,50000409,50000401_75,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_76,,500004_76,,500004,76,1,,,,,"2,219","1,775","105,150",,50000408,50000409,50000401_76,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_77,,500004_77,,500004,77,1,,,,,"2,282","1,824","106,420",,50000408,50000409,50000401_77,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_78,,500004_78,,500004,78,1,,,,,"2,399","1,919","109,285",,50000408,50000409,50000401_78,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_79,,500004_79,,500004,79,1,,,,,"2,497","1,998","111,480",,50000408,50000409,50000401_79,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_80,,500004_80,,500004,80,1,,,,,"2,497","1,998","113,600",,50000408,50000409,50000401_80,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_81,,500004_81,,500004,81,1,,,,,"2,552","2,040","116,485",,50000408,50000409,50000401_81,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_82,,500004_82,,500004,82,1,,,,,"2,585","2,067","116,830",,50000408,50000409,50000401_82,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_83,,500004_83,,500004,83,1,,,,,"2,619","2,093","118,120",,50000408,50000409,50000401_83,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_84,,500004_84,,500004,84,1,,,,,"2,673","2,139","120,065",,50000408,50000409,50000401_84,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_85,,500004_85,,500004,85,1,,,,,"2,673","2,139","121,355",,50000408,50000409,50000401_85,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_86,,500004_86,,500004,86,1,,,,,"2,708","2,166","121,700",,50000408,50000409,50000401_86,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_87,,500004_87,,500004,87,1,,,,,"2,761","2,208","124,590",,50000408,50000409,50000401_87,,,,,,1,1,32,,14,0.1,0.25,0.25,
500004_88,,500004_88,,500004,88,1,,,,,"2,795","2,235","124,930",,50000408,50000409,50000401_88,,,,,,1,1,32,,14,0.1,0.25,0.25,
