key,Remarks,consumeId,skillLevel,coinCount,criticalPlans
188,,103,8,800,101|102
189,,103,9,840,101|102
190,,103,10,880,101|102
191,,103,11,1160,101|102
192,,103,12,1440,101|102
193,,103,13,1720,101|102
194,,103,14,2000,101|102
195,,103,15,2280,101|102
196,,103,16,2840,101|102
197,,103,17,3400,101|102
198,,103,18,3960,101|102
199,,103,19,4520,101|102
200,,103,20,5080,101|102
201,,103,21,6800,101|102
202,,103,22,8520,101|102
203,,103,23,10240,101|102
204,,103,24,11960,101|102
205,,103,25,13680,101|102
206,,103,26,15980,101|102
207,,103,27,18280,101|102
208,,103,28,20580,101|102
209,,103,29,22880,101|102
210,,103,30,25180,101|102
211,,103,31,34280,101|102
212,,103,32,43380,101|102
213,,103,33,52480,101|102
214,,103,34,61580,101|102
215,,103,35,70680,101|102
216,,103,36,84780,101|102
217,,103,37,98880,101|102
218,,103,38,112980,101|102
219,,103,39,127080,101|102
220,,103,40,141180,101|102
221,,103,41,164280,101|102
222,,103,42,187380,101|102
223,,103,43,210480,101|102
224,,103,44,233580,101|102
225,,103,45,256680,101|102
226,,103,46,297780,101|102
227,,103,47,338880,101|102
228,,103,48,379980,101|102
229,,103,49,421080,101|102
230,,103,50,462180,101|102
231,,103,51,507780,101|102
232,,103,52,553380,101|102
233,,103,53,598980,101|102
234,,103,54,644580,101|102
235,,103,55,690180,101|102
236,,103,56,740280,101|102
237,,103,57,790380,101|102
238,,103,58,840480,101|102
239,,103,59,890580,101|102
240,,103,60,940680,101|102
241,,103,61,1004280,101|102
242,,103,62,1067880,101|102
243,,103,63,1131480,101|102
244,,103,64,1195080,101|102
245,,103,65,1258680,101|102
246,,103,66,1326780,101|102
247,,103,67,1394880,101|102
248,,103,68,1462980,101|102
249,,103,69,1531080,101|102
250,,103,70,1599180,101|102
251,,103,71,1676280,101|102
252,,103,72,1753380,101|102
253,,103,73,1830480,101|102
254,,103,74,1907580,101|102
255,,103,75,1984680,101|102
256,,103,76,2061780,101|102
257,,103,77,2138880,101|102
258,,103,78,2215980,101|102
259,,103,79,2293080,101|102
260,,103,80,2370180,101|102
261,,103,81,2451780,101|102
262,,103,82,2533380,101|102
263,,103,83,2614980,101|102
264,,103,84,2696580,101|102
265,,103,85,2778180,101|102
266,,103,86,2870970,101|102
267,,103,87,2963760,101|102
268,,103,88,3056550,101|102
269,,103,89,3149340,101|102
270,,103,90,3242130,101|102
