key,remarks,ID,NextID,signNum,reward
146,,146,147,1435,"2,300;1,250000;803002,50"
147,,147,148,1445,"2,300;1,250000;803002,50"
148,,148,149,1455,"2,300;1,250000;803002,50"
149,,149,150,1465,"2,300;1,250000;803002,50"
150,,150,151,1475,"2,300;1,250000;803002,50"
151,,151,152,1485,"2,300;1,250000;803002,50"
152,,152,153,1495,"2,300;1,250000;803002,50"
153,,153,154,1505,"2,300;1,250000;803002,50"
154,,154,155,1515,"2,300;1,250000;803002,50"
155,,155,156,1525,"2,300;1,250000;803002,50"
156,,156,157,1535,"2,300;1,250000;803002,50"
157,,157,158,1545,"2,300;1,250000;803002,50"
158,,158,159,1555,"2,300;1,250000;803002,50"
159,,159,160,1565,"2,300;1,250000;803002,50"
160,,160,161,1575,"2,300;1,250000;803002,50"
161,,161,162,1585,"2,300;1,250000;803002,50"
162,,162,163,1595,"2,300;1,250000;803002,50"
163,,163,164,1605,"2,300;1,250000;803002,50"
164,,164,165,1615,"2,300;1,250000;803002,50"
165,,165,166,1625,"2,300;1,250000;803002,50"
166,,166,167,1635,"2,300;1,250000;803002,50"
167,,167,168,1645,"2,300;1,250000;803002,50"
168,,168,169,1655,"2,300;1,250000;803002,50"
169,,169,170,1665,"2,300;1,250000;803002,50"
170,,170,171,1675,"2,300;1,250000;803002,50"
171,,171,172,1685,"2,300;1,250000;803002,50"
172,,172,173,1695,"2,300;1,250000;803002,50"
173,,173,174,1705,"2,300;1,250000;803002,50"
174,,174,175,1715,"2,300;1,250000;803002,50"
175,,175,176,1725,"2,300;1,250000;803002,50"
176,,176,177,1735,"2,300;1,250000;803002,50"
177,,177,178,1745,"2,300;1,250000;803002,50"
178,,178,179,1755,"2,300;1,250000;803002,50"
179,,179,180,1765,"2,300;1,250000;803002,50"
180,,180,181,1775,"2,300;1,250000;803002,50"
181,,181,182,1785,"2,300;1,250000;803002,50"
182,,182,183,1795,"2,300;1,250000;803002,50"
183,,183,184,1805,"2,300;1,250000;803002,50"
184,,184,185,1815,"2,300;1,250000;803002,50"
185,,185,186,1825,"2,300;1,250000;803002,50"
186,,186,187,1835,"2,300;1,250000;803002,50"
187,,187,188,1845,"2,300;1,250000;803002,50"
188,,188,189,1855,"2,300;1,250000;803002,50"
189,,189,190,1865,"2,300;1,250000;803002,50"
190,,190,191,1875,"2,300;1,250000;803002,50"
191,,191,192,1885,"2,300;1,250000;803002,50"
192,,192,193,1895,"2,300;1,250000;803002,50"
193,,193,194,1905,"2,300;1,250000;803002,50"
194,,194,195,1915,"2,300;1,250000;803002,50"
195,,195,196,1925,"2,300;1,250000;803002,50"
196,,196,197,1935,"2,300;1,250000;803002,50"
197,,197,198,1945,"2,300;1,250000;803002,50"
198,,198,199,1955,"2,300;1,250000;803002,50"
199,,199,200,1965,"2,300;1,250000;803002,50"
200,,200,0,1975,"2,300;1,250000;803002,50"
